"year","regtyp","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2011","Laendlicher Raum","Ostdeutschland","6.57","6.5","3765","4","5","8","8","10","6.51","6.63","0","10","7","7"
"2011","Laendlicher Raum","Westdeutschland","7.02","6.5","5499","5","6","8","9","10","6.97","7.07","0","10","8","8"
"2011","Staedtischer Raum","Ostdeutschland","6.81","6.5","2023","5","6","8","9","10","6.73","6.89","0","10","7","7"
"2011","Staedtischer Raum","Westdeutschland","7.05","6.5","14490","5","6","8","9","10","7.02","7.08","0","10","8","8"
"2012","Laendlicher Raum","Ostdeutschland","6.66","6.5","3902","4","5","8","9","10","6.6","6.72","0","10","7","7"
"2012","Laendlicher Raum","Westdeutschland","7.2","7.5","5751","5","6","8","9","10","7.16","7.24","0","10","8","8"
"2012","Staedtischer Raum","Ostdeutschland","6.84","6.5","2039","5","6","8","9","10","6.76","6.92","0","10","7","7"
"2012","Staedtischer Raum","Westdeutschland","7.15","7.5","14695","5","6","8","9","10","7.12","7.18","0","10","8","8"
"2013","Laendlicher Raum","Ostdeutschland","6.81","6.5","3973","5","6","8","9","10","6.75","6.87","0","10","7","7"
"2013","Laendlicher Raum","Westdeutschland","7.25","7.5","6512","5","6","8","9","10","7.21","7.29","0","10","8","8"
"2013","Staedtischer Raum","Ostdeutschland","6.89","6.5","2115","5","6","8","9","10","6.81","6.97","0","10","7","8"
"2013","Staedtischer Raum","Westdeutschland","7.24","7.5","17956","5","6","8","9","10","7.21","7.27","0","10","8","8"
"2014","Laendlicher Raum","Ostdeutschland","6.81","6.5","3630","5","6","8","9","10","6.75","6.87","0","10","7","7"
"2014","Laendlicher Raum","Westdeutschland","7.27","7.5","5806","5","6","8","9","10","7.23","7.31","0","10","8","8"
"2014","Staedtischer Raum","Ostdeutschland","6.89","6.5","1929","5","6","8","9","10","6.81","6.97","0","10","7","7"
"2014","Staedtischer Raum","Westdeutschland","7.22","7.5","15623","5","6","8","9","10","7.19","7.25","0","10","8","8"
"2015","Laendlicher Raum","Ostdeutschland","6.88","6.5","3477","5","6","8","9","10","6.82","6.94","0","10","7","7"
"2015","Laendlicher Raum","Westdeutschland","7.36","7.5","5840","5","7","8","9","10","7.32","7.4","0","10","8","8"
"2015","Staedtischer Raum","Ostdeutschland","7.07","6.5","1916","5","6","8","9","10","6.99","7.15","0","10","7","8"
"2015","Staedtischer Raum","Westdeutschland","7.33","7.5","15495","5","7","8","9","10","7.3","7.36","0","10","8","8"
"2016","Laendlicher Raum","Ostdeutschland","6.93","6.5","3542","5","6","8","9","10","6.87","6.99","0","10","7","8"
"2016","Laendlicher Raum","Westdeutschland","7.29","7.5","5823","5","7","8","9","10","7.25","7.33","0","10","8","8"
"2016","Staedtischer Raum","Ostdeutschland","7.11","6.5","1952","5","6","8","9","10","7.03","7.19","0","10","7","8"
"2016","Staedtischer Raum","Westdeutschland","7.34","7.5","15800","5","7","8","9","10","7.31","7.37","0","10","8","8"
"2017","Laendlicher Raum","Ostdeutschland","6.89","6.5","3948","5","6","8","9","10","6.84","6.94","0","10","7","7"
"2017","Laendlicher Raum","Westdeutschland","7.33","7.5","6676","5","7","8","9","10","7.29","7.37","0","10","8","8"
"2017","Staedtischer Raum","Ostdeutschland","7.08","6.5","2211","5","6","8","9","10","7.01","7.15","0","10","7","8"
"2017","Staedtischer Raum","Westdeutschland","7.33","7.5","17639","5","7","8","9","10","7.3","7.36","0","10","8","8"
"2018","Laendlicher Raum","Ostdeutschland","7.06","6.5","3821","5","6","8","9","10","7","7.12","0","10","8","8"
"2018","Laendlicher Raum","Westdeutschland","7.44","7.5","6164","5","7","8","9","10","7.4","7.48","0","10","8","8"
"2018","Staedtischer Raum","Ostdeutschland","7.21","7.5","2174","5","7","8","9","10","7.14","7.28","0","10","8","8"
"2018","Staedtischer Raum","Westdeutschland","7.39","7.5","17006","5","7","8","9","10","7.36","7.42","0","10","8","8"
"2019","Laendlicher Raum","Ostdeutschland","7.06","6.5","3796","5","6","8","9","10","7","7.12","0","10","8","8"
"2019","Laendlicher Raum","Westdeutschland","7.5","7.5","5968","5","7","9","9","10","7.46","7.54","0","10","8","8"
"2019","Staedtischer Raum","Ostdeutschland","7.36","7.5","2128","5","7","8","9","10","7.29","7.43","0","10","8","8"
"2019","Staedtischer Raum","Westdeutschland","7.49","7.5","16662","5","7","9","9","10","7.46","7.52","0","10","8","8"
"2020","Laendlicher Raum","Ostdeutschland","7.26","7.5","3632","5","7","8","9","10","7.21","7.31","0","10","8","8"
"2020","Laendlicher Raum","Westdeutschland","7.45","7.5","5919","5","7","8","9","10","7.41","7.49","0","10","8","8"
"2020","Staedtischer Raum","Ostdeutschland","7.29","7.5","2206","5","7","8","9","10","7.22","7.36","0","10","8","8"
"2020","Staedtischer Raum","Westdeutschland","7.52","7.5","17701","5","7","9","9","10","7.5","7.54","0","10","8","8"
