year,bula_h,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1987,"Rhineland-Palatinate, Saarland",female,479,17.02136,13.64723,20.39549,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,Baden-Wuerttemberg,male,1341,6.52893,5.20555,7.85232,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,Baden-Wuerttemberg,female,1287,10.77355,9.07806,12.46903,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,Bavaria,male,1067,7.35540,5.78731,8.92350,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,Bavaria,female,1137,9.36380,7.66865,11.05894,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,Berlin,male,235,9.04912,5.36213,12.73612,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1987,Berlin,female,234,9.20737,5.48350,12.93125,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,Schleswig-Holstein,male,209,5.69006,2.53108,8.84904,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,Schleswig-Holstein,female,218,9.59982,5.66735,13.53228,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,Hamburg,male,121,7.09452,2.47348,11.71556,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,Hamburg,female,124,6.36208,2.02341,10.70075,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,Lower Saxony,male,631,10.81626,8.38825,13.24426,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,Lower Saxony,female,667,13.48558,10.88868,16.08247,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,Bremen,male,54,7.75567,0.45507,15.05626,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,Bremen,female,62,6.65667,0.32640,12.98695,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,North Rhine-Westphalia,male,1752,10.14006,8.72562,11.55451,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,North Rhine-Westphalia,female,1734,14.48989,12.83196,16.14783,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,Hesse,male,667,8.45015,6.33552,10.56479,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,Hesse,female,646,10.95727,8.54404,13.37049,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,"Rhineland-Palatinate, Saarland",male,439,11.53391,8.53755,14.53027,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,"Rhineland-Palatinate, Saarland",female,459,15.60842,12.27938,18.93747,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,Baden-Wuerttemberg,male,1267,6.83243,5.44185,8.22301,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,Baden-Wuerttemberg,female,1224,10.52598,8.80504,12.24693,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,Bavaria,male,1029,7.72789,6.09440,9.36139,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,Bavaria,female,1081,9.75476,7.98407,11.52545,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,Berlin,male,213,6.45841,3.13863,9.77820,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1988,Berlin,female,218,10.72703,6.59610,14.85797,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1989,Schleswig-Holstein,male,202,6.97973,3.44462,10.51485,0.00000,0.00000,0.00000,0.00000,0.00000,,,
1989,Schleswig-Holstein,female,206,10.52977,6.31344,14.74611,0.00000,0.00000,0.00000,0.00000,0.00000,,,
