"year","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"1999","Staedtischer Raum","2.8","2.5","11617","1","2","4","5","7","2.77","2.83","1","13","3","3"
"2000","Laendlicher Raum","2.93","2.5","11149","1","2","4","5","7","2.91","2.95","1","9","3","3"
"2000","Staedtischer Raum","2.78","2.5","20658","1","2","4","5","6","2.76","2.8","1","13","3","3"
"2001","Laendlicher Raum","2.91","2.5","9976","1","2","4","5","7","2.88","2.94","1","9","3","3"
"2001","Staedtischer Raum","2.77","2.5","18752","1","2","4","4","6","2.75","2.79","1","12","3","3"
"2002","Laendlicher Raum","2.92","2.5","10123","1","2","4","5","7","2.89","2.95","1","9","3","3"
"2002","Staedtischer Raum","2.74","1.5","19993","1","2","4","4","6","2.72","2.76","1","12","3","3"
"2003","Laendlicher Raum","2.88","2.5","9640","1","2","4","5","7","2.85","2.91","1","11","3","3"
"2003","Staedtischer Raum","2.74","1.5","19152","1","2","4","4","6","2.72","2.76","1","13","3","3"
"2004","Laendlicher Raum","2.85","2.5","9366","1","2","4","5","6","2.82","2.88","1","12","3","3"
"2004","Staedtischer Raum","2.73","1.5","18565","1","2","4","4","6","2.71","2.75","1","13","3","3"
"2005","Laendlicher Raum","2.84","2.5","8954","1","2","4","5","6","2.81","2.87","1","12","3","3"
"2005","Staedtischer Raum","2.71","1.5","17752","1","2","4","4","6","2.69","2.73","1","13","3","3"
"2006","Laendlicher Raum","2.79","2.5","9853","1","2","4","4","7","2.76","2.82","1","12","3","3"
"2006","Staedtischer Raum","2.7","1.5","18815","1","2","4","4","6","2.68","2.72","1","13","3","3"
"2007","Laendlicher Raum","2.75","2.5","9163","1","2","4","4","7","2.72","2.78","1","13","3","3"
"2007","Staedtischer Raum","2.7","1.5","17455","1","2","4","4","6","2.68","2.72","1","13","3","3"
"2008","Laendlicher Raum","2.74","1.5","8563","1","2","4","4","6","2.71","2.77","1","13","3","3"
"2008","Staedtischer Raum","2.67","1.5","16314","1","2","4","4","6","2.65","2.69","1","10","3","3"
"2009","Laendlicher Raum","2.72","1.5","8182","1","2","4","4","6","2.69","2.75","1","14","3","3"
"2009","Staedtischer Raum","2.65","1.5","15039","1","2","4","4","6","2.63","2.67","1","10","3","3"
"2010","Laendlicher Raum","2.7","1.5","13142","1","2","4","4","6","2.67","2.73","1","15","3","3"
"2010","Staedtischer Raum","2.65","1.5","24326","1","2","4","4","6","2.63","2.67","1","13","3","3"
"2011","Laendlicher Raum","2.69","1.5","15821","1","2","4","4","6","2.67","2.71","1","12","3","3"
"2011","Staedtischer Raum","2.66","1.5","28180","1","2","4","4","6","2.64","2.68","1","13","3","3"
"2012","Laendlicher Raum","2.67","1.5","15455","1","2","4","4","6","2.65","2.69","1","12","3","3"
"2012","Staedtischer Raum","2.65","1.5","26951","1","2","4","4","6","2.63","2.67","1","11","3","3"
"2013","Laendlicher Raum","2.65","1.5","16152","1","2","4","4","6","2.63","2.67","1","12","3","3"
"2013","Staedtischer Raum","2.67","1.5","31513","1","2","4","4","7","2.65","2.69","1","13","3","3"
"2014","Laendlicher Raum","2.62","1.5","14364","1","2","3","4","7","2.59","2.65","1","12","3","3"
"2014","Staedtischer Raum","2.68","1.5","27143","1","2","4","4","7","2.66","2.7","1","12","3","3"
"2015","Laendlicher Raum","2.62","1.5","14124","1","2","3","4","6","2.59","2.65","1","11","3","3"
"2015","Staedtischer Raum","2.66","1.5","26928","1","2","4","4","7","2.64","2.68","1","12","3","3"
"2016","Laendlicher Raum","2.62","1.5","15361","1","2","4","4","6","2.59","2.65","1","12","3","4"
"2016","Staedtischer Raum","2.69","1.5","29727","1","2","4","4","7","2.67","2.71","1","13","4","4"
"2017","Laendlicher Raum","2.62","1.5","17162","1","2","4","4","6","2.59","2.65","1","13","3","4"
"2017","Staedtischer Raum","2.7","1.5","32991","1","2","4","4","7","2.68","2.72","1","13","4","4"
"2018","Laendlicher Raum","2.6","1.5","15974","1","2","4","4","6","2.57","2.63","1","13","3","3"
"2018","Staedtischer Raum","2.69","1.5","32169","1","2","4","5","7","2.67","2.71","1","16","4","4"
"2019","Laendlicher Raum","2.62","1.5","15955","1","2","4","4","6","2.59","2.65","1","13","3","3"
"2019","Staedtischer Raum","2.7","1.5","31907","1","2","4","5","7","2.68","2.72","1","16","3","4"
"2020","Laendlicher Raum","2.68","1.5","15663","1","2","4","4","7","2.65","2.71","1","13","3","3"
"2020","Staedtischer Raum","2.69","1.5","34268","1","2","4","4","7","2.67","2.71","1","12","3","3"
