"year","quintil","mean","median","n","lower_confidence","upper_confidence"
"2006","2","2.94","2.5","5929","2.9","2.98"
"2006","3","2.78","2.5","5914","2.75","2.81"
"2006","4","2.46","1.5","6058","2.43","2.49"
"2006","5 Einkommensstärkstes Quintil","2.33","1.5","5049","2.3","2.36"
"2007","1 Einkommensschwächstes Quintil","2.89","2.5","4896","2.84","2.94"
"2007","2","2.9","2.5","5413","2.86","2.94"
"2007","3","2.81","2.5","5605","2.78","2.84"
"2007","4","2.48","1.5","5736","2.45","2.51"
"2007","5 Einkommensstärkstes Quintil","2.38","1.5","4965","2.35","2.41"
"2008","1 Einkommensschwächstes Quintil","2.82","2.5","4284","2.77","2.87"
"2008","2","2.86","2.5","4676","2.82","2.9"
"2008","3","2.82","2.5","5399","2.79","2.85"
"2008","4","2.51","1.5","5548","2.48","2.54"
"2008","5 Einkommensstärkstes Quintil","2.4","1.5","4970","2.37","2.43"
"2009","1 Einkommensschwächstes Quintil","2.79","1.5","3778","2.74","2.84"
"2009","2","2.87","2.5","4308","2.83","2.91"
"2009","3","2.79","2.5","4874","2.75","2.83"
"2009","4","2.51","1.5","5353","2.48","2.54"
"2009","5 Einkommensstärkstes Quintil","2.42","1.5","4908","2.39","2.45"
"2010","1 Einkommensschwächstes Quintil","2.83","2.5","8133","2.79","2.87"
"2010","2","2.8","2.5","8359","2.77","2.83"
"2010","3","2.8","2.5","7221","2.77","2.83"
"2010","4","2.53","1.5","7305","2.5","2.56"
"2010","5 Einkommensstärkstes Quintil","2.42","1.5","6450","2.39","2.45"
"2011","1 Einkommensschwächstes Quintil","2.78","1.5","8577","2.74","2.82"
"2011","2","2.85","2.5","9269","2.82","2.88"
"2011","3","2.71","1.5","8745","2.68","2.74"
"2011","4","2.6","1.5","9296","2.57","2.63"
"2011","5 Einkommensstärkstes Quintil","2.44","1.5","8114","2.41","2.47"
"2012","1 Einkommensschwächstes Quintil","2.75","1.5","7137","2.71","2.79"
"2012","2","2.84","2.5","8571","2.81","2.87"
"2012","3","2.75","1.5","8842","2.72","2.78"
"2012","4","2.6","1.5","9321","2.57","2.63"
"2012","5 Einkommensstärkstes Quintil","2.45","1.5","8534","2.42","2.48"
"2013","1 Einkommensschwächstes Quintil","2.84","1.5","8781","2.8","2.88"
"2013","2","2.91","2.5","9619","2.88","2.94"
"2013","3","2.72","1.5","9346","2.69","2.75"
"2013","4","2.56","1.5","10558","2.53","2.59"
"2013","5 Einkommensstärkstes Quintil","2.42","1.5","9360","2.39","2.45"
"2014","1 Einkommensschwächstes Quintil","2.87","1.5","6541","2.82","2.92"
"2014","2","2.89","2.5","7845","2.85","2.93"
"2014","3","2.73","1.5","8242","2.7","2.76"
"2014","4","2.56","1.5","9637","2.53","2.59"
"2014","5 Einkommensstärkstes Quintil","2.46","1.5","9242","2.43","2.49"
"2015","1 Einkommensschwächstes Quintil","2.84","1.5","6567","2.79","2.89"
"2015","2","2.84","2.5","7217","2.8","2.88"
"2015","3","2.73","1.5","7978","2.7","2.76"
"2015","4","2.55","1.5","9548","2.52","2.58"
"2015","5 Einkommensstärkstes Quintil","2.48","1.5","9740","2.45","2.51"
"2016","1 Einkommensschwächstes Quintil","2.93","2.5","12932","2.89","2.97"
"2016","2","2.9","2.5","6457","2.86","2.94"
"2016","3","2.74","1.5","6876","2.7","2.78"
"2016","4","2.57","1.5","9275","2.54","2.6"
"2016","5 Einkommensstärkstes Quintil","2.5","1.5","9548","2.47","2.53"
"2017","1 Einkommensschwächstes Quintil","3.06","2.5","14204","3.02","3.1"
"2017","2","2.91","2.5","6551","2.87","2.95"
"2017","3","2.74","1.5","7364","2.7","2.78"
"2017","4","2.6","1.5","10187","2.57","2.63"
"2017","5 Einkommensstärkstes Quintil","2.48","1.5","11847","2.46","2.5"
"2018","1 Einkommensschwächstes Quintil","2.92","1.5","12279","2.88","2.96"
"2018","2","2.86","1.5","6324","2.81","2.91"
"2018","3","2.82","1.5","7085","2.78","2.86"
"2018","4","2.62","1.5","10370","2.59","2.65"
"2018","5 Einkommensstärkstes Quintil","2.49","1.5","12085","2.47","2.51"
"2019","1 Einkommensschwächstes Quintil","2.92","1.5","10053","2.88","2.96"
"2019","2","2.87","1.5","5947","2.82","2.92"
"2019","3","2.79","1.5","6293","2.75","2.83"
"2019","4","2.64","1.5","10227","2.61","2.67"
"2019","5 Einkommensstärkstes Quintil","2.52","1.5","16141","2.5","2.54"
"2020","1 Einkommensschwächstes Quintil","2.99","1.5","9756","2.95","3.03"
"2020","2","2.85","1.5","7350","2.8","2.9"
"2020","3","2.78","1.5","6491","2.74","2.82"
"2020","4","2.68","1.5","10550","2.65","2.71"
"2020","5 Einkommensstärkstes Quintil","2.56","1.5","15784","2.54","2.58"
