"year","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2010","Ostdeutschland","2.46","1.5","7930","1","2","3","4","6","2.43","2.49","1","14","3","3"
"2010","Westdeutschland","2.71","1.5","29538","1","2","4","4","6","2.69","2.73","1","15","3","4"
"2011","Ostdeutschland","2.45","1.5","9146","1","2","3","4","6","2.42","2.48","1","12","3","3"
"2011","Westdeutschland","2.71","1.5","34855","1","2","4","4","6","2.69","2.73","1","13","3","3"
"2012","Ostdeutschland","2.41","1.5","8870","1","2","3","4","6","2.38","2.44","1","12","3","3"
"2012","Westdeutschland","2.71","1.5","33536","1","2","4","4","6","2.69","2.73","1","12","3","3"
"2013","Ostdeutschland","2.42","1.5","8836","1","2","3","4","6","2.39","2.45","1","12","3","3"
"2013","Westdeutschland","2.71","1.5","38829","1","2","4","4","7","2.69","2.73","1","13","3","4"
"2014","Ostdeutschland","2.42","1.5","8022","1","2","3","4","6","2.39","2.45","1","10","3","3"
"2014","Westdeutschland","2.71","1.5","33485","1","2","4","4","7","2.69","2.73","1","12","3","3"
"2015","Ostdeutschland","2.42","1.5","7723","1","2","3","4","6","2.39","2.45","1","10","3","3"
"2015","Westdeutschland","2.69","1.5","33329","1","2","4","4","7","2.67","2.71","1","12","3","3"
"2016","Ostdeutschland","2.45","1.5","8650","1","2","3","4","6","2.41","2.49","1","12","3","3"
"2016","Westdeutschland","2.71","1.5","36438","1","2","4","4","7","2.69","2.73","1","13","4","4"
"2017","Ostdeutschland","2.46","1.5","9378","1","2","3","4","6","2.43","2.49","1","11","3","3"
"2017","Westdeutschland","2.72","1.5","40775","1","2","4","4","7","2.7","2.74","1","13","4","4"
"2018","Ostdeutschland","2.46","1.5","9170","1","2","3","4","7","2.42","2.5","1","11","3","3"
"2018","Westdeutschland","2.7","1.5","38973","1","2","4","4","7","2.68","2.72","1","16","4","4"
"2019","Ostdeutschland","2.47","1.5","9468","1","2","3","4","7","2.44","2.5","1","11","3","3"
"2019","Westdeutschland","2.71","1.5","39100","1","2","4","4","7","2.69","2.73","1","16","4","4"
"2020","Ostdeutschland","2.47","1.5","9140","1","2","3","4","7","2.43","2.51","1","10","3","3"
"2020","Westdeutschland","2.73","1.5","40791","1","2","4","4","7","2.71","2.75","1","13","3","4"
