,Unnamed: 0,year,sampreg,sex,pli0083,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
38,38,1998,East,male,Seldom,0.02083,46,14108,0.01756,0.02414
39,39,1998,East,female,Daily,0.90448,1762,14108,0.87634,0.92988
40,40,1998,East,female,At least once per week,0.07392,158,14108,0.06597,0.08173
41,41,1998,East,female,Seldom,0.0216,42,14108,0.017,0.0266
42,42,2003,West,male,Daily,0.85706,6886,21993,0.83882,0.87456
43,43,2003,West,male,At least once per week,0.09938,860,21993,0.09387,0.10559
44,44,2003,West,male,At least once per month,0.01262,83,21993,0.01048,0.01461
45,45,2003,West,male,Seldom,0.01696,141,21993,0.01473,0.01974
46,46,2003,West,male,Never,0.01398,93,21993,0.01183,0.01663
47,47,2003,West,female,Daily,0.87093,7457,21993,0.85737,0.88556
48,48,2003,West,female,At least once per week,0.08852,889,21993,0.08307,0.09465
49,49,2003,West,female,At least once per month,0.0088,77,21993,0.00719,0.01032
50,50,2003,West,female,Seldom,0.01631,150,21993,0.01392,0.01893
51,51,2003,West,female,Never,0.01544,124,21993,0.01373,0.01759
52,52,2003,East,male,Daily,0.90076,2260,21993,0.87835,0.92594
53,53,2003,East,male,At least once per week,0.07807,222,21993,0.06799,0.08729
54,54,2003,East,male,Seldom,0.02118,53,21993,0.01645,0.02568
55,55,2003,East,female,Daily,0.91069,2439,21993,0.88656,0.93321
56,56,2003,East,female,At least once per week,0.07376,211,21993,0.06461,0.08204
57,57,2003,East,female,Seldom,0.01555,48,21993,0.0124,0.0193
58,58,2008,West,male,Daily,0.83022,5689,19183,0.81377,0.84918
59,59,2008,West,male,At least once per week,0.12478,880,19183,0.11767,0.13226
60,60,2008,West,male,At least once per month,0.01328,96,19183,0.01095,0.01583
61,61,2008,West,male,Seldom,0.02145,140,19183,0.01863,0.0243
62,62,2008,West,male,Never,0.01027,75,19183,0.00865,0.01203
63,63,2008,West,female,Daily,0.83533,6361,19183,0.82005,0.85142
64,64,2008,West,female,At least once per week,0.11064,877,19183,0.10434,0.11635
65,65,2008,West,female,At least once per month,0.01391,105,19183,0.01157,0.01606
66,66,2008,West,female,Seldom,0.02425,189,19183,0.02088,0.02722
67,67,2008,West,female,Never,0.01587,97,19183,0.01315,0.01816
68,68,2008,East,male,Daily,0.85169,1932,19183,0.82121,0.88695
69,69,2008,East,male,At least once per week,0.10386,242,19183,0.08966,0.11743
70,70,2008,East,male,At least once per month,0.02173,43,19183,0.01504,0.0289
71,71,2008,East,male,Seldom,0.02272,50,19183,0.01673,0.02907
72,72,2008,East,female,Daily,0.88591,2104,19183,0.85267,0.92221
73,73,2008,East,female,At least once per week,0.09394,246,19183,0.08312,0.1065
74,74,2008,East,female,Seldom,0.02015,57,19183,0.016,0.02397
75,75,2013,West,male,Daily,0.78123,6901,25435,0.76194,0.79837
76,76,2013,West,male,At least once per week,0.15747,1431,25435,0.14664,0.16772
77,77,2013,West,male,At least once per month,0.02605,231,25435,0.0223,0.03008
78,78,2013,West,male,Seldom,0.02281,253,25435,0.02014,0.02662
79,79,2013,West,male,Never,0.01245,104,25435,0.01032,0.01501
80,80,2013,West,female,Daily,0.80181,8356,25435,0.78118,0.81967
81,81,2013,West,female,At least once per week,0.13582,1767,25435,0.12837,0.1434
82,82,2013,West,female,At least once per month,0.01623,213,25435,0.01328,0.0199
83,83,2013,West,female,Seldom,0.03215,371,25435,0.02835,0.03598
84,84,2013,West,female,Never,0.01399,131,25435,0.01118,0.01632
85,85,2013,East,male,Daily,0.79874,2038,25435,0.76494,0.83944
86,86,2013,East,male,At least once per week,0.14076,374,25435,0.12353,0.16115
87,87,2013,East,male,At least once per month,0.02078,61,25435,0.01539,0.02743
88,88,2013,East,male,Seldom,0.03973,101,25435,0.03255,0.04673
89,89,2013,East,female,Daily,0.8169,2511,25435,0.78666,0.85211
90,90,2013,East,female,At least once per week,0.12167,412,25435,0.10535,0.13798
91,91,2013,East,female,At least once per month,0.02283,56,25435,0.01718,0.03
92,92,2013,East,female,Seldom,0.02568,90,25435,0.02081,0.0326
93,93,2013,East,female,Never,0.01292,34,25435,0.00875,0.01815
94,94,2019,West,male,Daily,0.76929,7151,25576,0.74857,0.79177
95,95,2019,West,male,At least once per week,0.16245,1696,25576,0.15366,0.17502
96,96,2019,West,male,At least once per month,0.02064,220,25576,0.01774,0.02344
97,97,2019,West,male,Seldom,0.03283,375,25576,0.02812,0.03744
98,98,2019,West,male,Never,0.01479,150,25576,0.01208,0.01768
99,99,2019,West,female,Daily,0.76278,7749,25576,0.74089,0.78177
100,100,2019,West,female,At least once per week,0.16042,1923,25576,0.15053,0.1702
101,101,2019,West,female,At least once per month,0.02106,217,25576,0.0173,0.02519
102,102,2019,West,female,Seldom,0.03902,436,25576,0.03451,0.04396
103,103,2019,West,female,Never,0.01672,165,25576,0.01335,0.02046
104,104,2019,East,male,Daily,0.78145,2056,25576,0.74462,0.82344
105,105,2019,East,male,At least once per week,0.16291,393,25576,0.13649,0.18521
106,106,2019,East,male,At least once per month,0.01613,48,25576,0.01083,0.02076
107,107,2019,East,male,Seldom,0.03951,114,25576,0.03224,0.04961
108,108,2019,East,female,Daily,0.81112,2326,25576,0.77429,0.84927
109,109,2019,East,female,At least once per week,0.13849,393,25576,0.11828,0.16008
110,110,2019,East,female,At least once per month,0.01776,47,25576,0.01267,0.02608
111,111,2019,East,female,Seldom,0.03263,117,25576,0.02508,0.04127
112,112,2021,West,male,Daily,0.7228,4474,17129,0.69414,0.74946
113,113,2021,West,male,At least once per week,0.19312,1338,17129,0.17826,0.20891
114,114,2021,West,male,At least once per month,0.02157,165,17129,0.01697,0.02652
115,115,2021,West,male,Seldom,0.04337,298,17129,0.03783,0.04934
116,116,2021,West,male,Never,0.01914,127,17129,0.01459,0.02393
117,117,2021,West,female,Daily,0.73429,5034,17129,0.70504,0.75811
118,118,2021,West,female,At least once per week,0.1904,1550,17129,0.17605,0.20287
119,119,2021,West,female,At least once per month,0.02134,191,17129,0.01711,0.02609
120,120,2021,West,female,Seldom,0.03446,267,17129,0.02906,0.04014
121,121,2021,West,female,Never,0.01951,123,17129,0.01494,0.02407
122,122,2021,East,male,Daily,0.71343,1197,17129,0.65324,0.76222
123,123,2021,East,male,At least once per week,0.21247,343,17129,0.18324,0.24309
124,124,2021,East,male,At least once per month,0.02969,55,17129,0.01886,0.04368
125,125,2021,East,male,Seldom,0.04442,58,17129,0.03353,0.05953
126,126,2021,East,female,Daily,0.74459,1430,17129,0.70174,0.79504
127,127,2021,East,female,At least once per week,0.19728,356,17129,0.16733,0.23424
128,128,2021,East,female,At least once per month,0.02784,51,17129,0.01729,0.03849
129,129,2021,East,female,Seldom,0.0303,72,17129,0.02199,0.04042
