"pli0083","year","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1991","Hessen","","","",""
"Taeglich","1991","Rheinland-Pfalz,Saarland","","","",""
"Taeglich","1991","Baden-Wuerttemberg","","","",""
"Taeglich","1991","Bayern","","","",""
"Taeglich","1991","Saarland","","","",""
"Taeglich","1991","Berlin","","","",""
"Taeglich","1991","Brandenburg","","","",""
"Taeglich","1991","Mecklenburg-Vorpommern","","","",""
"Taeglich","1991","Sachsen","","","",""
"Taeglich","1991","Sachsen-Anhalt","","","",""
"Taeglich","1991","Thueringen","","","",""
"Min 1x pro Woche","1991","Schleswig-Holstein","","","",""
"Min 1x pro Woche","1991","Hamburg","","","",""
"Min 1x pro Woche","1991","Niedersachsen","","","",""
"Min 1x pro Woche","1991","Bremen","","","",""
"Min 1x pro Woche","1991","Nordrhein-Westfalen","","","",""
"Min 1x pro Woche","1991","Hessen","","","",""
"Min 1x pro Woche","1991","Rheinland-Pfalz,Saarland","","","",""
"Min 1x pro Woche","1991","Baden-Wuerttemberg","","","",""
"Min 1x pro Woche","1991","Bayern","","","",""
"Min 1x pro Woche","1991","Saarland","","","",""
"Min 1x pro Woche","1991","Berlin","","","",""
"Min 1x pro Woche","1991","Brandenburg","","","",""
"Min 1x pro Woche","1991","Mecklenburg-Vorpommern","","","",""
"Min 1x pro Woche","1991","Sachsen","","","",""
"Min 1x pro Woche","1991","Sachsen-Anhalt","","","",""
"Min 1x pro Woche","1991","Thueringen","","","",""
"Min 1x pro Monat","1991","Schleswig-Holstein","","","",""
"Min 1x pro Monat","1991","Hamburg","","","",""
"Min 1x pro Monat","1991","Niedersachsen","","","",""
"Min 1x pro Monat","1991","Bremen","","","",""
"Min 1x pro Monat","1991","Nordrhein-Westfalen","","","",""
"Min 1x pro Monat","1991","Hessen","","","",""
"Min 1x pro Monat","1991","Rheinland-Pfalz,Saarland","","","",""
"Min 1x pro Monat","1991","Baden-Wuerttemberg","","","",""
"Min 1x pro Monat","1991","Bayern","","","",""
"Min 1x pro Monat","1991","Saarland","","","",""
"Min 1x pro Monat","1991","Berlin","","","",""
"Min 1x pro Monat","1991","Brandenburg","","","",""
"Min 1x pro Monat","1991","Mecklenburg-Vorpommern","","","",""
"Min 1x pro Monat","1991","Sachsen","","","",""
"Min 1x pro Monat","1991","Sachsen-Anhalt","","","",""
"Min 1x pro Monat","1991","Thueringen","","","",""
"Seltener","1991","Schleswig-Holstein","","","",""
"Seltener","1991","Hamburg","","","",""
"Seltener","1991","Niedersachsen","","","",""
"Seltener","1991","Bremen","","","",""
"Seltener","1991","Nordrhein-Westfalen","","","",""
"Seltener","1991","Hessen","","","",""
"Seltener","1991","Rheinland-Pfalz,Saarland","","","",""
"Seltener","1991","Baden-Wuerttemberg","","","",""
"Seltener","1991","Bayern","","","",""
"Seltener","1991","Saarland","","","",""
"Seltener","1991","Berlin","","","",""
"Seltener","1991","Brandenburg","","","",""
"Seltener","1991","Mecklenburg-Vorpommern","","","",""
"Seltener","1991","Sachsen","","","",""
"Seltener","1991","Sachsen-Anhalt","","","",""
"Seltener","1991","Thueringen","","","",""
"Nie","1991","Schleswig-Holstein","","","",""
"Nie","1991","Hamburg","","","",""
"Nie","1991","Niedersachsen","","","",""
"Nie","1991","Bremen","","","",""
"Nie","1991","Nordrhein-Westfalen","","","",""
"Nie","1991","Hessen","","","",""
"Nie","1991","Rheinland-Pfalz,Saarland","","","",""
"Nie","1991","Baden-Wuerttemberg","","","",""
"Nie","1991","Bayern","","","",""
"Nie","1991","Saarland","","","",""
"Nie","1991","Berlin","","","",""
"Nie","1991","Brandenburg","","","",""
"Nie","1991","Mecklenburg-Vorpommern","","","",""
"Nie","1991","Sachsen","","","",""
"Nie","1991","Sachsen-Anhalt","","","",""
"Nie","1991","Thueringen","","","",""
"Taeglich","1992","Schleswig-Holstein","","","",""
"Taeglich","1992","Hamburg","","","",""
"Taeglich","1992","Niedersachsen","","","",""
"Taeglich","1992","Bremen","","","",""
"Taeglich","1992","Nordrhein-Westfalen","","","",""
"Taeglich","1992","Hessen","","","",""
"Taeglich","1992","Rheinland-Pfalz,Saarland","","","",""
"Taeglich","1992","Baden-Wuerttemberg","","","",""
"Taeglich","1992","Bayern","","","",""
"Taeglich","1992","Saarland","","","",""
"Taeglich","1992","Berlin","","","",""
"Taeglich","1992","Brandenburg","","","",""
"Taeglich","1992","Mecklenburg-Vorpommern","","","",""
"Taeglich","1992","Sachsen","","","",""
"Taeglich","1992","Sachsen-Anhalt","","","",""
"Taeglich","1992","Thueringen","","","",""
"Min 1x pro Woche","1992","Schleswig-Holstein","","","",""
"Min 1x pro Woche","1992","Hamburg","","","",""
"Min 1x pro Woche","1992","Niedersachsen","","","",""
"Min 1x pro Woche","1992","Bremen","","","",""
"Min 1x pro Woche","1992","Nordrhein-Westfalen","","","",""
"Min 1x pro Woche","1992","Hessen","","","",""
"Min 1x pro Woche","1992","Rheinland-Pfalz,Saarland","","","",""
"Min 1x pro Woche","1992","Baden-Wuerttemberg","","","",""
"Min 1x pro Woche","1992","Bayern","","","",""
"Min 1x pro Woche","1992","Saarland","","","",""
"Min 1x pro Woche","1992","Berlin","","","",""
"Min 1x pro Woche","1992","Brandenburg","","","",""
"Min 1x pro Woche","1992","Mecklenburg-Vorpommern","","","",""
"Min 1x pro Woche","1992","Sachsen","","","",""
"Min 1x pro Woche","1992","Sachsen-Anhalt","","","",""
"Min 1x pro Woche","1992","Thueringen","","","",""
"Min 1x pro Monat","1992","Schleswig-Holstein","","","",""
"Min 1x pro Monat","1992","Hamburg","","","",""
"Min 1x pro Monat","1992","Niedersachsen","","","",""
"Min 1x pro Monat","1992","Bremen","","","",""
"Min 1x pro Monat","1992","Nordrhein-Westfalen","","","",""
"Min 1x pro Monat","1992","Hessen","","","",""
"Min 1x pro Monat","1992","Rheinland-Pfalz,Saarland","","","",""
"Min 1x pro Monat","1992","Baden-Wuerttemberg","","","",""
"Min 1x pro Monat","1992","Bayern","","","",""
"Min 1x pro Monat","1992","Saarland","","","",""
"Min 1x pro Monat","1992","Berlin","","","",""
"Min 1x pro Monat","1992","Brandenburg","","","",""
"Min 1x pro Monat","1992","Mecklenburg-Vorpommern","","","",""
"Min 1x pro Monat","1992","Sachsen","","","",""
"Min 1x pro Monat","1992","Sachsen-Anhalt","","","",""
"Min 1x pro Monat","1992","Thueringen","","","",""
"Seltener","1992","Schleswig-Holstein","","","",""
"Seltener","1992","Hamburg","","","",""
"Seltener","1992","Niedersachsen","","","",""
"Seltener","1992","Bremen","","","",""
"Seltener","1992","Nordrhein-Westfalen","","","",""
"Seltener","1992","Hessen","","","",""
"Seltener","1992","Rheinland-Pfalz,Saarland","","","",""
"Seltener","1992","Baden-Wuerttemberg","","","",""
"Seltener","1992","Bayern","","","",""
"Seltener","1992","Saarland","","","",""
"Seltener","1992","Berlin","","","",""
"Seltener","1992","Brandenburg","","","",""
"Seltener","1992","Mecklenburg-Vorpommern","","","",""
"Seltener","1992","Sachsen","","","",""
"Seltener","1992","Sachsen-Anhalt","","","",""
"Seltener","1992","Thueringen","","","",""
"Nie","1992","Schleswig-Holstein","","","",""
"Nie","1992","Hamburg","","","",""
"Nie","1992","Niedersachsen","","","",""
"Nie","1992","Bremen","","","",""
"Nie","1992","Nordrhein-Westfalen","","","",""
"Nie","1992","Hessen","","","",""
"Nie","1992","Rheinland-Pfalz,Saarland","","","",""
"Nie","1992","Baden-Wuerttemberg","","","",""
"Nie","1992","Bayern","","","",""
"Nie","1992","Saarland","","","",""
"Nie","1992","Berlin","","","",""
"Nie","1992","Brandenburg","","","",""
"Nie","1992","Mecklenburg-Vorpommern","","","",""
"Nie","1992","Sachsen","","","",""
"Nie","1992","Sachsen-Anhalt","","","",""
"Nie","1992","Thueringen","","","",""
"Taeglich","1993","Schleswig-Holstein","","","",""
"Taeglich","1993","Hamburg","","","",""
"Taeglich","1993","Niedersachsen","","","",""
"Taeglich","1993","Bremen","","","",""
"Taeglich","1993","Nordrhein-Westfalen","","","",""
"Taeglich","1993","Hessen","","","",""
"Taeglich","1993","Rheinland-Pfalz,Saarland","","","",""
"Taeglich","1993","Baden-Wuerttemberg","","","",""
"Taeglich","1993","Bayern","","","",""
"Taeglich","1993","Saarland","","","",""
"Taeglich","1993","Berlin","","","",""
"Taeglich","1993","Brandenburg","","","",""
"Taeglich","1993","Mecklenburg-Vorpommern","","","",""
"Taeglich","1993","Sachsen","","","",""
"Taeglich","1993","Sachsen-Anhalt","","","",""
"Taeglich","1993","Thueringen","","","",""
"Min 1x pro Woche","1993","Schleswig-Holstein","","","",""
"Min 1x pro Woche","1993","Hamburg","","","",""
"Min 1x pro Woche","1993","Niedersachsen","","","",""
"Min 1x pro Woche","1993","Bremen","","","",""
"Min 1x pro Woche","1993","Nordrhein-Westfalen","","","",""
"Min 1x pro Woche","1993","Hessen","","","",""
"Min 1x pro Woche","1993","Rheinland-Pfalz,Saarland","","","",""
"Min 1x pro Woche","1993","Baden-Wuerttemberg","","","",""
"Min 1x pro Woche","1993","Bayern","","","",""
"Min 1x pro Woche","1993","Saarland","","","",""
"Min 1x pro Woche","1993","Berlin","","","",""
"Min 1x pro Woche","1993","Brandenburg","","","",""
"Min 1x pro Woche","1993","Mecklenburg-Vorpommern","","","",""
"Min 1x pro Woche","1993","Sachsen","","","",""
"Min 1x pro Woche","1993","Sachsen-Anhalt","","","",""
"Min 1x pro Woche","1993","Thueringen","","","",""
"Min 1x pro Monat","1993","Schleswig-Holstein","","","",""
"Min 1x pro Monat","1993","Hamburg","","","",""
"Min 1x pro Monat","1993","Niedersachsen","","","",""
"Min 1x pro Monat","1993","Bremen","","","",""
"Min 1x pro Monat","1993","Nordrhein-Westfalen","","","",""
"Min 1x pro Monat","1993","Hessen","","","",""
"Min 1x pro Monat","1993","Rheinland-Pfalz,Saarland","","","",""
"Min 1x pro Monat","1993","Baden-Wuerttemberg","","","",""
"Min 1x pro Monat","1993","Bayern","","","",""
"Min 1x pro Monat","1993","Saarland","","","",""
"Min 1x pro Monat","1993","Berlin","","","",""
"Min 1x pro Monat","1993","Brandenburg","","","",""
"Min 1x pro Monat","1993","Mecklenburg-Vorpommern","","","",""
"Min 1x pro Monat","1993","Sachsen","","","",""
"Min 1x pro Monat","1993","Sachsen-Anhalt","","","",""
"Min 1x pro Monat","1993","Thueringen","","","",""
"Seltener","1993","Schleswig-Holstein","","","",""
"Seltener","1993","Hamburg","","","",""
"Seltener","1993","Niedersachsen","","","",""
"Seltener","1993","Bremen","","","",""
"Seltener","1993","Nordrhein-Westfalen","","","",""
"Seltener","1993","Hessen","","","",""
"Seltener","1993","Rheinland-Pfalz,Saarland","","","",""
"Seltener","1993","Baden-Wuerttemberg","","","",""
"Seltener","1993","Bayern","","","",""
"Seltener","1993","Saarland","","","",""
"Seltener","1993","Berlin","","","",""
"Seltener","1993","Brandenburg","","","",""
"Seltener","1993","Mecklenburg-Vorpommern","","","",""
"Seltener","1993","Sachsen","","","",""
"Seltener","1993","Sachsen-Anhalt","","","",""
"Seltener","1993","Thueringen","","","",""
"Nie","1993","Schleswig-Holstein","","","",""
"Nie","1993","Hamburg","","","",""
"Nie","1993","Niedersachsen","","","",""
"Nie","1993","Bremen","","","",""
"Nie","1993","Nordrhein-Westfalen","","","",""
"Nie","1993","Hessen","","","",""
"Nie","1993","Rheinland-Pfalz,Saarland","","","",""
"Nie","1993","Baden-Wuerttemberg","","","",""
"Nie","1993","Bayern","","","",""
"Nie","1993","Saarland","","","",""
"Nie","1993","Berlin","","","",""
"Nie","1993","Brandenburg","","","",""
"Nie","1993","Mecklenburg-Vorpommern","","","",""
"Nie","1993","Sachsen","","","",""
"Nie","1993","Sachsen-Anhalt","","","",""
"Nie","1993","Thueringen","","","",""
"Taeglich","1994","Schleswig-Holstein","","","",""
"Taeglich","1994","Hamburg","","","",""
"Taeglich","1994","Niedersachsen","","","",""
"Taeglich","1994","Bremen","","","",""
"Taeglich","1994","Nordrhein-Westfalen","","","",""
"Taeglich","1994","Hessen","","","",""
"Taeglich","1994","Rheinland-Pfalz,Saarland","","","",""
"Taeglich","1994","Baden-Wuerttemberg","","","",""
"Taeglich","1994","Bayern","","","",""
"Taeglich","1994","Saarland","","","",""
"Taeglich","1994","Berlin","","","",""
"Taeglich","1994","Brandenburg","","","",""
"Taeglich","1994","Mecklenburg-Vorpommern","","","",""
"Taeglich","1994","Sachsen","","","",""
"Taeglich","1994","Sachsen-Anhalt","","","",""
"Taeglich","1994","Thueringen","","","",""
"Min 1x pro Woche","1994","Schleswig-Holstein","","","",""
"Min 1x pro Woche","1994","Hamburg","","","",""
"Min 1x pro Woche","1994","Niedersachsen","","","",""
"Min 1x pro Woche","1994","Bremen","","","",""
"Min 1x pro Woche","1994","Nordrhein-Westfalen","","","",""
"Min 1x pro Woche","1994","Hessen","","","",""
"Min 1x pro Woche","1994","Rheinland-Pfalz,Saarland","","","",""
"Min 1x pro Woche","1994","Baden-Wuerttemberg","","","",""
"Min 1x pro Woche","1994","Bayern","","","",""
"Min 1x pro Woche","1994","Saarland","","","",""
"Min 1x pro Woche","1994","Berlin","","","",""
"Min 1x pro Woche","1994","Brandenburg","","","",""
"Min 1x pro Woche","1994","Mecklenburg-Vorpommern","","","",""
"Min 1x pro Woche","1994","Sachsen","","","",""
"Min 1x pro Woche","1994","Sachsen-Anhalt","","","",""
"Min 1x pro Woche","1994","Thueringen","","","",""
"Min 1x pro Monat","1994","Schleswig-Holstein","","","",""
"Min 1x pro Monat","1994","Hamburg","","","",""
"Min 1x pro Monat","1994","Niedersachsen","","","",""
"Min 1x pro Monat","1994","Bremen","","","",""
"Min 1x pro Monat","1994","Nordrhein-Westfalen","","","",""
"Min 1x pro Monat","1994","Hessen","","","",""
"Min 1x pro Monat","1994","Rheinland-Pfalz,Saarland","","","",""
"Min 1x pro Monat","1994","Baden-Wuerttemberg","","","",""
"Min 1x pro Monat","1994","Bayern","","","",""
"Min 1x pro Monat","1994","Saarland","","","",""
"Min 1x pro Monat","1994","Berlin","","","",""
"Min 1x pro Monat","1994","Brandenburg","","","",""
"Min 1x pro Monat","1994","Mecklenburg-Vorpommern","","","",""
"Min 1x pro Monat","1994","Sachsen","","","",""
"Min 1x pro Monat","1994","Sachsen-Anhalt","","","",""
"Min 1x pro Monat","1994","Thueringen","","","",""
"Seltener","1994","Schleswig-Holstein","","","",""
"Seltener","1994","Hamburg","","","",""
"Seltener","1994","Niedersachsen","","","",""
"Seltener","1994","Bremen","","","",""
"Seltener","1994","Nordrhein-Westfalen","","","",""
"Seltener","1994","Hessen","","","",""
"Seltener","1994","Rheinland-Pfalz,Saarland","","","",""
"Seltener","1994","Baden-Wuerttemberg","","","",""
"Seltener","1994","Bayern","","","",""
"Seltener","1994","Saarland","","","",""
"Seltener","1994","Berlin","","","",""
"Seltener","1994","Brandenburg","","","",""
"Seltener","1994","Mecklenburg-Vorpommern","","","",""
"Seltener","1994","Sachsen","","","",""
"Seltener","1994","Sachsen-Anhalt","","","",""
"Seltener","1994","Thueringen","","","",""
"Nie","1994","Schleswig-Holstein","","","",""
"Nie","1994","Hamburg","","","",""
"Nie","1994","Niedersachsen","","","",""
"Nie","1994","Bremen","","","",""
"Nie","1994","Nordrhein-Westfalen","","","",""
"Nie","1994","Hessen","","","",""
"Nie","1994","Rheinland-Pfalz,Saarland","","","",""
"Nie","1994","Baden-Wuerttemberg","","","",""
"Nie","1994","Bayern","","","",""
"Nie","1994","Saarland","","","",""
"Nie","1994","Berlin","","","",""
"Nie","1994","Brandenburg","","","",""
"Nie","1994","Mecklenburg-Vorpommern","","","",""
"Nie","1994","Sachsen","","","",""
"Nie","1994","Sachsen-Anhalt","","","",""
"Nie","1994","Thueringen","","","",""
"Taeglich","1995","Schleswig-Holstein","217","","",""
"Taeglich","1995","Hamburg","114","","",""
"Taeglich","1995","Niedersachsen","885","0.843427994666685","0.821352838268934","0.865503151064437"
"Taeglich","1995","Bremen","77","0.864442801294947","0.794870552631518","0.934015049958377"
"Taeglich","1995","Nordrhein-Westfalen","2194","","",""
"Taeglich","1995","Hessen","781","0.845127112832949","0.821925222614708","0.86832900305119"
"Taeglich","1995","Rheinland-Pfalz,Saarland","593","0.816456153874365","0.787961635494723","0.844950672254006"
"Taeglich","1995","Baden-Wuerttemberg","1487","","",""
"Taeglich","1995","Bayern","1328","","",""
"Taeglich","1995","Saarland","","","",""
"Taeglich","1995","Berlin","468","0.819736584699574","0.788011740676252","0.851461428722897"
"Taeglich","1995","Brandenburg","507","0.862015717671072","0.834068243730996","0.889963191611149"
"Taeglich","1995","Mecklenburg-Vorpommern","368","0.900845684881408","0.87209123564584","0.929600134116977"
"Taeglich","1995","Sachsen","936","0.875488791270502","0.855942141402814","0.89503544113819"
"Taeglich","1995","Sachsen-Anhalt","619","0.921107275292141","0.900934780259712","0.941279770324571"
"Taeglich","1995","Thueringen","583","0.905118904916596","0.882590311616893","0.927647498216299"
"Min 1x pro Woche","1995","Schleswig-Holstein","50","0.16898546205009","0.125170351320549","0.212800572779631"
"Min 1x pro Woche","1995","Hamburg","14","","",""
"Min 1x pro Woche","1995","Niedersachsen","106","","",""
"Min 1x pro Woche","1995","Bremen","11","","",""
"Min 1x pro Woche","1995","Nordrhein-Westfalen","261","","",""
"Min 1x pro Woche","1995","Hessen","109","","",""
"Min 1x pro Woche","1995","Rheinland-Pfalz,Saarland","83","0.125876685343815","0.101460153595329","0.150293217092301"
"Min 1x pro Woche","1995","Baden-Wuerttemberg","208","","",""
"Min 1x pro Woche","1995","Bayern","258","","",""
"Min 1x pro Woche","1995","Saarland","","","",""
"Min 1x pro Woche","1995","Berlin","72","0.143408722105889","0.11448307084006","0.172334373371717"
"Min 1x pro Woche","1995","Brandenburg","44","0.0824639535627243","0.0601737619590057","0.104754145166443"
"Min 1x pro Woche","1995","Mecklenburg-Vorpommern","29","","",""
"Min 1x pro Woche","1995","Sachsen","127","","",""
"Min 1x pro Woche","1995","Sachsen-Anhalt","48","0.0558483396044071","0.0386648230070822","0.073031856201732"
"Min 1x pro Woche","1995","Thueringen","42","0.0614239387804517","0.0429654993737695","0.0798823781871339"
"Min 1x pro Monat","1995","Schleswig-Holstein","6","0.0245289485289819","0.00644298753678554","0.0426149095211783"
"Min 1x pro Monat","1995","Hamburg","2","","",""
"Min 1x pro Monat","1995","Niedersachsen","11","","",""
"Min 1x pro Monat","1995","Bremen","1","","",""
"Min 1x pro Monat","1995","Nordrhein-Westfalen","28","","",""
"Min 1x pro Monat","1995","Hessen","13","","",""
"Min 1x pro Monat","1995","Rheinland-Pfalz,Saarland","13","","",""
"Min 1x pro Monat","1995","Baden-Wuerttemberg","14","","",""
"Min 1x pro Monat","1995","Bayern","32","0.0136881492441463","0.00813201229660211","0.0192442861916904"
"Min 1x pro Monat","1995","Saarland","","","",""
"Min 1x pro Monat","1995","Berlin","6","0.0104450541456342","0.00205463138592977","0.0188354769053387"
"Min 1x pro Monat","1995","Brandenburg","4","0.00834946388564656","0.0009758773954805","0.0157230503758126"
"Min 1x pro Monat","1995","Mecklenburg-Vorpommern","2","","",""
"Min 1x pro Monat","1995","Sachsen","4","0.00321925848913095","-0.000134413302910281","0.00657293028117217"
"Min 1x pro Monat","1995","Sachsen-Anhalt","4","0.00440332693425175","-0.000551382805067589","0.00935803667357108"
"Min 1x pro Monat","1995","Thueringen","8","0.0130410319939618","0.00431941638980876","0.0217626475981148"
"Seltener","1995","Schleswig-Holstein","7","0.0150769989472938","0.000829011521571251","0.0293249863730164"
"Seltener","1995","Hamburg","2","","",""
"Seltener","1995","Niedersachsen","31","0.0319794657853067","0.0212913632004588","0.0426675683701546"
"Seltener","1995","Bremen","4","0.0328305466266757","-0.00338515966490676","0.0690462529182582"
"Seltener","1995","Nordrhein-Westfalen","55","0.0202833366037572","0.0148279648263376","0.0257387083811768"
"Seltener","1995","Hessen","22","","",""
"Seltener","1995","Rheinland-Pfalz,Saarland","13","","",""
"Seltener","1995","Baden-Wuerttemberg","52","0.0388948609985578","0.0299129313014455","0.0478767906956701"
"Seltener","1995","Bayern","44","0.0305577672481897","0.022327475561076","0.0387880589353034"
"Seltener","1995","Saarland","","","",""
"Seltener","1995","Berlin","11","","",""
"Seltener","1995","Brandenburg","24","","",""
"Seltener","1995","Mecklenburg-Vorpommern","13","","",""
"Seltener","1995","Sachsen","17","","",""
"Seltener","1995","Sachsen-Anhalt","13","","",""
"Seltener","1995","Thueringen","16","","",""
"Nie","1995","Schleswig-Holstein","1","","",""
"Nie","1995","Hamburg","","","",""
"Nie","1995","Niedersachsen","8","0.0087815536420532","0.00311403322506505","0.0144490740590413"
"Nie","1995","Bremen","","","",""
"Nie","1995","Nordrhein-Westfalen","27","","",""
"Nie","1995","Hessen","9","0.0157773903923616","0.00778569526989508","0.0237690855148282"
"Nie","1995","Rheinland-Pfalz,Saarland","7","0.0104316690819916","0.00295299222525876","0.0179103459387244"
"Nie","1995","Baden-Wuerttemberg","19","","",""
"Nie","1995","Bayern","18","","",""
"Nie","1995","Saarland","","","",""
"Nie","1995","Berlin","7","0.0102264207818588","0.00192335848098803","0.0185294830827295"
"Nie","1995","Brandenburg","6","0.013118155887232","0.0038979815829019","0.0223383301915621"
"Nie","1995","Mecklenburg-Vorpommern","3","","",""
"Nie","1995","Sachsen","12","","",""
"Nie","1995","Sachsen-Anhalt","2","","",""
"Nie","1995","Thueringen","1","","",""
"Taeglich","1996","Schleswig-Holstein","","","",""
"Taeglich","1996","Hamburg","","","",""
"Taeglich","1996","Niedersachsen","","","",""
"Taeglich","1996","Bremen","","","",""
"Taeglich","1996","Nordrhein-Westfalen","","","",""
"Taeglich","1996","Hessen","","","",""
"Taeglich","1996","Rheinland-Pfalz,Saarland","","","",""
"Taeglich","1996","Baden-Wuerttemberg","","","",""
"Taeglich","1996","Bayern","","","",""
"Taeglich","1996","Saarland","","","",""
"Taeglich","1996","Berlin","","","",""
"Taeglich","1996","Brandenburg","","","",""
"Taeglich","1996","Mecklenburg-Vorpommern","","","",""
"Taeglich","1996","Sachsen","","","",""
"Taeglich","1996","Sachsen-Anhalt","","","",""
"Taeglich","1996","Thueringen","","","",""
"Min 1x pro Woche","1996","Schleswig-Holstein","","","",""
