year,pgisced97,pli0083,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2008,Second Stage of Tertiary Education,Never,0.02216,64,4183,0.01770,0.02663
2013,No answer / don't know,Daily,0.71047,322,425,0.66730,0.75364
2013,No answer / don't know,At least once per week,0.21558,103,425,0.17644,0.25472
2013,Pre-primary Level,Daily,0.68254,284,406,0.63720,0.72787
2013,Pre-primary Level,At least once per week,0.23728,122,406,0.19584,0.27871
2013,Primary Level,Daily,0.84672,291,291,0.80526,0.88819
2013,Lower Secondary Level,Daily,0.87772,2212,2588,0.86509,0.89034
2013,Lower Secondary Level,At least once per week,0.07593,243,2588,0.06572,0.08614
2013,Lower Secondary Level,At least once per month,0.01391,31,2588,0.00940,0.01843
2013,Lower Secondary Level,Seldom,0.02093,67,2588,0.01541,0.02644
2013,Lower Secondary Level,Never,0.01151,35,2588,0.00740,0.01563
2013,Upper Secondary Level,Daily,0.82630,10142,12380,0.81963,0.83298
2013,Upper Secondary Level,At least once per week,0.11443,1524,12380,0.10882,0.12004
2013,Upper Secondary Level,At least once per month,0.01846,217,12380,0.01609,0.02083
2013,Upper Secondary Level,Seldom,0.02925,378,12380,0.02628,0.03222
2013,Upper Secondary Level,Never,0.01156,119,12380,0.00968,0.01344
2013,Post-secondary Non-tertiary Level,Daily,0.76001,1316,1722,0.73984,0.78019
2013,Post-secondary Non-tertiary Level,At least once per week,0.20472,359,1722,0.18566,0.22379
2013,Post-secondary Non-tertiary Level,Seldom,0.01840,47,1722,0.01205,0.02474
2013,First Stage of Tertiary Education,Daily,0.77503,1277,1651,0.75488,0.79518
2013,First Stage of Tertiary Education,At least once per week,0.15206,271,1651,0.13474,0.16939
2013,First Stage of Tertiary Education,At least once per month,0.02880,48,1651,0.02073,0.03687
2013,First Stage of Tertiary Education,Seldom,0.02817,55,1651,0.02018,0.03615
2013,Second Stage of Tertiary Education,Daily,0.69326,3962,5821,0.68141,0.70511
2013,Second Stage of Tertiary Education,At least once per week,0.22231,1341,5821,0.21163,0.23299
2013,Second Stage of Tertiary Education,At least once per month,0.03306,209,5821,0.02846,0.03765
2013,Second Stage of Tertiary Education,Seldom,0.03370,222,5821,0.02906,0.03834
2013,Second Stage of Tertiary Education,Never,0.01767,87,5821,0.01429,0.02106
2019,No answer / don't know,Daily,0.67594,400,518,0.63559,0.71628
2019,No answer / don't know,At least once per week,0.24360,118,518,0.20660,0.28060
2019,Pre-primary Level,Daily,0.72623,216,300,0.67569,0.77677
2019,Pre-primary Level,At least once per week,0.21589,84,300,0.16925,0.26252
2019,Primary Level,Daily,0.83213,332,332,0.79187,0.87240
2019,Lower Secondary Level,Daily,0.83052,1969,2422,0.81558,0.84547
2019,Lower Secondary Level,At least once per week,0.10719,290,2422,0.09487,0.11951
2019,Lower Secondary Level,At least once per month,0.01389,32,2422,0.00923,0.01855
2019,Lower Secondary Level,Seldom,0.03705,100,2422,0.02953,0.04458
2019,Lower Secondary Level,Never,0.01135,31,2422,0.00713,0.01557
2019,Upper Secondary Level,Daily,0.81556,9032,11142,0.80836,0.82277
2019,Upper Secondary Level,At least once per week,0.12570,1444,11142,0.11954,0.13185
2019,Upper Secondary Level,At least once per month,0.01480,157,11142,0.01256,0.01705
2019,Upper Secondary Level,Seldom,0.03232,392,11142,0.02904,0.03560
2019,Upper Secondary Level,Never,0.01162,117,11142,0.00963,0.01360
2019,Post-secondary Non-tertiary Level,Daily,0.74738,1596,2149,0.72900,0.76575
2019,Post-secondary Non-tertiary Level,At least once per week,0.19126,419,2149,0.17463,0.20790
2019,Post-secondary Non-tertiary Level,At least once per month,0.02563,50,2149,0.01895,0.03231
2019,Post-secondary Non-tertiary Level,Seldom,0.02627,84,2149,0.01951,0.03303
2019,First Stage of Tertiary Education,Daily,0.74550,1249,1635,0.72438,0.76662
2019,First Stage of Tertiary Education,At least once per week,0.17012,272,1635,0.15190,0.18833
2019,First Stage of Tertiary Education,At least once per month,0.02925,39,1635,0.02108,0.03743
2019,First Stage of Tertiary Education,Seldom,0.04566,75,1635,0.03554,0.05578
2019,Second Stage of Tertiary Education,Daily,0.67325,4542,7016,0.66227,0.68423
2019,Second Stage of Tertiary Education,At least once per week,0.23134,1771,7016,0.22148,0.24121
2019,Second Stage of Tertiary Education,At least once per month,0.03035,218,7016,0.02634,0.03437
2019,Second Stage of Tertiary Education,Seldom,0.04369,343,7016,0.03891,0.04847
2019,Second Stage of Tertiary Education,Never,0.02136,142,7016,0.01798,0.02475
2021,No answer / don't know,Daily,0.69353,399,579,0.65594,0.73111
2021,No answer / don't know,At least once per week,0.23226,141,579,0.19783,0.26668
2021,No answer / don't know,Seldom,0.05648,39,579,0.03766,0.07531
2021,Pre-primary Level,Daily,0.77320,136,180,0.71185,0.83454
2021,Pre-primary Level,At least once per week,0.12966,44,180,0.08045,0.17888
2021,Primary Level,Daily,0.78031,161,161,0.71615,0.84446
2021,Lower Secondary Level,Daily,0.81983,1054,1324,0.79912,0.84054
2021,Lower Secondary Level,At least once per week,0.12293,210,1324,0.10524,0.14063
2021,Lower Secondary Level,Seldom,0.03092,60,1324,0.02159,0.04024
2021,Upper Secondary Level,Daily,0.76481,5304,6961,0.75484,0.77477
2021,Upper Secondary Level,At least once per week,0.16119,1171,6961,0.15255,0.16983
2021,Upper Secondary Level,At least once per month,0.01852,131,6961,0.01535,0.02169
2021,Upper Secondary Level,Seldom,0.03646,249,6961,0.03205,0.04086
2021,Upper Secondary Level,Never,0.01903,106,6961,0.01582,0.02224
2021,Post-secondary Non-tertiary Level,Daily,0.72911,1080,1512,0.70670,0.75152
2021,Post-secondary Non-tertiary Level,At least once per week,0.19813,326,1512,0.17803,0.21823
2021,Post-secondary Non-tertiary Level,At least once per month,0.02332,43,1512,0.01571,0.03093
2021,Post-secondary Non-tertiary Level,Seldom,0.03744,63,1512,0.02787,0.04701
2021,First Stage of Tertiary Education,Daily,0.74265,719,948,0.71481,0.77049
2021,First Stage of Tertiary Education,At least once per week,0.18279,193,948,0.15818,0.20741
2021,First Stage of Tertiary Education,Seldom,0.02941,36,948,0.01865,0.04017
2021,Second Stage of Tertiary Education,Daily,0.62341,3288,5307,0.61037,0.63645
2021,Second Stage of Tertiary Education,At least once per week,0.27723,1481,5307,0.26518,0.28927
2021,Second Stage of Tertiary Education,At least once per month,0.03082,200,5307,0.02617,0.03547
2021,Second Stage of Tertiary Education,Seldom,0.04486,226,5307,0.03929,0.05043
2021,Second Stage of Tertiary Education,Never,0.02369,112,5307,0.01959,0.02778
