"ple0053","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1986","AkademikerIn","Westdeutschland","74","0.107588579490195","0.0853829576999365","0.129794201280454"
"Ja","1986","AkademikerIn","Ostdeutschland","","","",""
"Nein","1986","(noch) kein Abschluss","Westdeutschland","888","0.877208731486556","0.857126608311059","0.897290854662052"
"Nein","1986","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nein","1986","Hauptschule","Westdeutschland","5309","0.873259355476434","0.86489154589535","0.881627165057517"
"Nein","1986","Hauptschule","Ostdeutschland","","","",""
"Nein","1986","Realschule","Westdeutschland","1554","","",""
"Nein","1986","Realschule","Ostdeutschland","","","",""
"Nein","1986","(Fach-)Abitur","Westdeutschland","718","0.908996483889556","0.88914052988935","0.928852437889762"
"Nein","1986","(Fach-)Abitur","Ostdeutschland","","","",""
"Nein","1986","AkademikerIn","Westdeutschland","674","0.892411420509805","0.870205798719546","0.914617042300063"
"Nein","1986","AkademikerIn","Ostdeutschland","","","",""
"Ja","1987","(noch) kein Abschluss","Westdeutschland","113","","",""
"Ja","1987","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","1987","Hauptschule","Westdeutschland","756","0.134677432648429","0.126036637515924","0.143318227780934"
"Ja","1987","Hauptschule","Ostdeutschland","","","",""
"Ja","1987","Realschule","Westdeutschland","192","","",""
"Ja","1987","Realschule","Ostdeutschland","","","",""
"Ja","1987","(Fach-)Abitur","Westdeutschland","75","0.0915051475189664","0.0712580226902405","0.111752272347692"
"Ja","1987","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja","1987","AkademikerIn","Westdeutschland","79","0.120498067499612","0.0970586169517885","0.143937518047435"
"Ja","1987","AkademikerIn","Ostdeutschland","","","",""
"Nein","1987","(noch) kein Abschluss","Westdeutschland","889","0.894167162980013","0.875119846061083","0.913214479898944"
"Nein","1987","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nein","1987","Hauptschule","Westdeutschland","5240","0.865322567351571","0.856681772219066","0.873963362484076"
"Nein","1987","Hauptschule","Ostdeutschland","","","",""
"Nein","1987","Realschule","Westdeutschland","1559","","",""
"Nein","1987","Realschule","Ostdeutschland","","","",""
"Nein","1987","(Fach-)Abitur","Westdeutschland","704","0.908494852481034","0.888247727652308","0.928741977309759"
"Nein","1987","(Fach-)Abitur","Ostdeutschland","","","",""
"Nein","1987","AkademikerIn","Westdeutschland","662","0.879501932500388","0.856062481952565","0.902941383048211"
"Nein","1987","AkademikerIn","Ostdeutschland","","","",""
"Ja","1988","(noch) kein Abschluss","Westdeutschland","113","","",""
"Ja","1988","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","1988","Hauptschule","Westdeutschland","738","0.140012390647235","0.131020698079192","0.149004083215279"
"Ja","1988","Hauptschule","Ostdeutschland","","","",""
"Ja","1988","Realschule","Westdeutschland","190","","",""
"Ja","1988","Realschule","Ostdeutschland","","","",""
"Ja","1988","(Fach-)Abitur","Westdeutschland","74","0.0851951599037634","0.0650263221704498","0.105363997637077"
"Ja","1988","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja","1988","AkademikerIn","Westdeutschland","67","0.104874386675974","0.0821931990513534","0.127555574300594"
"Ja","1988","AkademikerIn","Ostdeutschland","","","",""
"Nein","1988","(noch) kein Abschluss","Westdeutschland","790","0.877433559114699","0.856044231926954","0.898822886302443"
"Nein","1988","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nein","1988","Hauptschule","Westdeutschland","4983","0.859987609352765","0.850995916784721","0.868979301920809"
"Nein","1988","Hauptschule","Ostdeutschland","","","",""
"Nein","1988","Realschule","Westdeutschland","1509","","",""
"Nein","1988","Realschule","Ostdeutschland","","","",""
"Nein","1988","(Fach-)Abitur","Westdeutschland","662","0.914804840096237","0.894636002362923","0.93497367782955"
"Nein","1988","(Fach-)Abitur","Ostdeutschland","","","",""
"Nein","1988","AkademikerIn","Westdeutschland","634","0.895125613324026","0.872444425699406","0.917806800948647"
"Nein","1988","AkademikerIn","Ostdeutschland","","","",""
"Ja","1989","(noch) kein Abschluss","Westdeutschland","108","","",""
"Ja","1989","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","1989","Hauptschule","Westdeutschland","691","0.133725174994966","0.124709661590407","0.142740688399524"
"Ja","1989","Hauptschule","Ostdeutschland","","","",""
"Ja","1989","Realschule","Westdeutschland","199","","",""
"Ja","1989","Realschule","Ostdeutschland","","","",""
"Ja","1989","(Fach-)Abitur","Westdeutschland","72","0.0960159876925347","0.074945224111565","0.117086751273504"
"Ja","1989","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja","1989","AkademikerIn","Westdeutschland","51","0.0889620677896454","0.0678118844922279","0.110112251087063"
"Ja","1989","AkademikerIn","Ostdeutschland","","","",""
"Nein","1989","(noch) kein Abschluss","Westdeutschland","773","0.905513946227339","0.886199086252079","0.924828806202598"
"Nein","1989","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nein","1989","Hauptschule","Westdeutschland","4784","0.866274825005034","0.857259311600476","0.875290338409593"
"Nein","1989","Hauptschule","Ostdeutschland","","","",""
"Nein","1989","Realschule","Westdeutschland","1451","","",""
"Nein","1989","Realschule","Ostdeutschland","","","",""
"Nein","1989","(Fach-)Abitur","Westdeutschland","679","0.903984012307465","0.882913248726496","0.925054775888435"
"Nein","1989","(Fach-)Abitur","Ostdeutschland","","","",""
"Nein","1989","AkademikerIn","Westdeutschland","645","0.911037932210355","0.889887748912937","0.932188115507772"
"Nein","1989","AkademikerIn","Ostdeutschland","","","",""
"Ja","1990","(noch) kein Abschluss","Westdeutschland","","","",""
"Ja","1990","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","1990","Hauptschule","Westdeutschland","","","",""
"Ja","1990","Hauptschule","Ostdeutschland","","","",""
"Ja","1990","Realschule","Westdeutschland","","","",""
"Ja","1990","Realschule","Ostdeutschland","","","",""
"Ja","1990","(Fach-)Abitur","Westdeutschland","","","",""
"Ja","1990","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja","1990","AkademikerIn","Westdeutschland","","","",""
"Ja","1990","AkademikerIn","Ostdeutschland","","","",""
"Nein","1990","(noch) kein Abschluss","Westdeutschland","","","",""
"Nein","1990","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nein","1990","Hauptschule","Westdeutschland","","","",""
"Nein","1990","Hauptschule","Ostdeutschland","","","",""
"Nein","1990","Realschule","Westdeutschland","","","",""
"Nein","1990","Realschule","Ostdeutschland","","","",""
"Nein","1990","(Fach-)Abitur","Westdeutschland","","","",""
"Nein","1990","(Fach-)Abitur","Ostdeutschland","","","",""
"Nein","1990","AkademikerIn","Westdeutschland","","","",""
"Nein","1990","AkademikerIn","Ostdeutschland","","","",""
"Ja","1991","(noch) kein Abschluss","Westdeutschland","85","0.114859399600562","0.0930488849124061","0.136669914288718"
"Ja","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","1991","Hauptschule","Westdeutschland","675","0.140855011954719","0.131428878021544","0.150281145887894"
"Ja","1991","Hauptschule","Ostdeutschland","","","",""
"Ja","1991","Realschule","Westdeutschland","202","","",""
"Ja","1991","Realschule","Ostdeutschland","","","",""
"Ja","1991","(Fach-)Abitur","Westdeutschland","105","","",""
"Ja","1991","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja","1991","AkademikerIn","Westdeutschland","70","0.102809244244378","0.0806097988723727","0.125008689616384"
"Ja","1991","AkademikerIn","Ostdeutschland","","","",""
"Nein","1991","(noch) kein Abschluss","Westdeutschland","736","0.885140600399438","0.863330085711282","0.906951115087594"
"Nein","1991","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nein","1991","Hauptschule","Westdeutschland","4557","0.859144988045281","0.849718854112106","0.868571121978456"
"Nein","1991","Hauptschule","Ostdeutschland","","","",""
"Nein","1991","Realschule","Westdeutschland","1431","","",""
"Nein","1991","Realschule","Ostdeutschland","","","",""
"Nein","1991","(Fach-)Abitur","Westdeutschland","662","0.859846126130738","0.835278492236944","0.884413760024532"
"Nein","1991","(Fach-)Abitur","Ostdeutschland","","","",""
"Nein","1991","AkademikerIn","Westdeutschland","649","0.897190755755622","0.874991310383616","0.919390201127627"
"Nein","1991","AkademikerIn","Ostdeutschland","","","",""
"Ja","1992","(noch) kein Abschluss","Westdeutschland","79","0.106013802673808","0.0846675662838137","0.127360039063803"
"Ja","1992","(noch) kein Abschluss","Ostdeutschland","3","","",""
"Ja","1992","Hauptschule","Westdeutschland","659","0.138261622477703","0.128788316936109","0.147734928019297"
"Ja","1992","Hauptschule","Ostdeutschland","145","","",""
"Ja","1992","Realschule","Westdeutschland","196","","",""
"Ja","1992","Realschule","Ostdeutschland","130","","",""
"Ja","1992","(Fach-)Abitur","Westdeutschland","87","0.120190391863015","0.0973696364956986","0.143011147230331"
"Ja","1992","(Fach-)Abitur","Ostdeutschland","9","0.103558541833703","0.0478716342976301","0.159245449369776"
"Ja","1992","AkademikerIn","Westdeutschland","74","0.106778014096799","0.0844664608283419","0.129089567365256"
"Ja","1992","AkademikerIn","Ostdeutschland","76","0.082344438727944","0.0644941235049318","0.100194753950956"
"Nein","1992","(noch) kein Abschluss","Westdeutschland","720","0.893986197326192","0.872639960936197","0.915332433716186"
"Nein","1992","(noch) kein Abschluss","Ostdeutschland","67","0.974534837339638","0.937631046284238","1.01143862839504"
"Nein","1992","Hauptschule","Westdeutschland","4441","0.861738377522297","0.852265071980703","0.871211683063891"
"Nein","1992","Hauptschule","Ostdeutschland","1266","","",""
"Nein","1992","Realschule","Westdeutschland","1470","","",""
"Nein","1992","Realschule","Ostdeutschland","1297","","",""
"Nein","1992","(Fach-)Abitur","Westdeutschland","693","0.879809608136985","0.856988852769669","0.902630363504301"
"Nein","1992","(Fach-)Abitur","Ostdeutschland","106","","",""
"Nein","1992","AkademikerIn","Westdeutschland","662","0.893221985903201","0.870910432634744","0.915533539171658"
"Nein","1992","AkademikerIn","Ostdeutschland","835","0.917655561272056","0.899805246049044","0.935505876495068"
"Ja","1993","(noch) kein Abschluss","Westdeutschland","","","",""
"Ja","1993","(noch) kein Abschluss","Ostdeutschland","","","",""
"Ja","1993","Hauptschule","Westdeutschland","","","",""
"Ja","1993","Hauptschule","Ostdeutschland","","","",""
"Ja","1993","Realschule","Westdeutschland","","","",""
"Ja","1993","Realschule","Ostdeutschland","","","",""
"Ja","1993","(Fach-)Abitur","Westdeutschland","","","",""
"Ja","1993","(Fach-)Abitur","Ostdeutschland","","","",""
"Ja","1993","AkademikerIn","Westdeutschland","","","",""
"Ja","1993","AkademikerIn","Ostdeutschland","","","",""
"Nein","1993","(noch) kein Abschluss","Westdeutschland","","","",""
"Nein","1993","(noch) kein Abschluss","Ostdeutschland","","","",""
"Nein","1993","Hauptschule","Westdeutschland","","","",""
"Nein","1993","Hauptschule","Ostdeutschland","","","",""
"Nein","1993","Realschule","Westdeutschland","","","",""
"Nein","1993","Realschule","Ostdeutschland","","","",""
"Nein","1993","(Fach-)Abitur","Westdeutschland","","","",""
"Nein","1993","(Fach-)Abitur","Ostdeutschland","","","",""
"Nein","1993","AkademikerIn","Westdeutschland","","","",""
"Nein","1993","AkademikerIn","Ostdeutschland","","","",""
"Ja","1994","(noch) kein Abschluss","Westdeutschland","87","0.115303433113852","0.092353579831656","0.138253286396047"
"Ja","1994","(noch) kein Abschluss","Ostdeutschland","5","0.0341527757448546","-0.00144438111077403","0.0697499326004832"
"Ja","1994","Hauptschule","Westdeutschland","638","0.149726313842389","0.139633536929762","0.159819090755015"
"Ja","1994","Hauptschule","Ostdeutschland","159","","",""
"Ja","1994","Realschule","Westdeutschland","198","","",""
"Ja","1994","Realschule","Ostdeutschland","133","","",""
"Ja","1994","(Fach-)Abitur","Westdeutschland","78","0.0999835423253898","0.0789586296990686","0.121008454951711"
"Ja","1994","(Fach-)Abitur","Ostdeutschland","14","","",""
"Ja","1994","AkademikerIn","Westdeutschland","72","0.0933088085407266","0.0730517435946857","0.113565873486767"
"Ja","1994","AkademikerIn","Ostdeutschland","78","0.0960033099840899","0.0762798000293685","0.115726819938811"
"Nein","1994","(noch) kein Abschluss","Westdeutschland","657","0.884696566886149","0.861746713603953","0.907646420168344"
"Nein","1994","(noch) kein Abschluss","Ostdeutschland","95","0.965847224255145","0.930250067399517","1.00144438111077"
"Nein","1994","Hauptschule","Westdeutschland","4163","0.850273686157612","0.840180909244985","0.860366463070238"
"Nein","1994","Hauptschule","Ostdeutschland","1116","","",""
"Nein","1994","Realschule","Westdeutschland","1474","","",""
"Nein","1994","Realschule","Ostdeutschland","1241","","",""
"Nein","1994","(Fach-)Abitur","Westdeutschland","704","0.90001645767461","0.878991545048289","0.921041370300931"
"Nein","1994","(Fach-)Abitur","Ostdeutschland","124","","",""
"Nein","1994","AkademikerIn","Westdeutschland","720","0.906691191459273","0.886434126513233","0.926948256405314"
"Nein","1994","AkademikerIn","Ostdeutschland","779","0.90399669001591","0.884273180061189","0.923720199970632"
"Ja","1995","(noch) kein Abschluss","Westdeutschland","82","0.0979332905896406","0.0768158994528463","0.119050681726435"
"Ja","1995","(noch) kein Abschluss","Ostdeutschland","8","0.061740093076358","0.0175585495145466","0.105921636638169"
"Ja","1995","Hauptschule","Westdeutschland","654","0.146173017053839","0.136250950092854","0.156095084014824"
"Ja","1995","Hauptschule","Ostdeutschland","158","","",""
"Ja","1995","Realschule","Westdeutschland","192","","",""
"Ja","1995","Realschule","Ostdeutschland","152","","",""
"Ja","1995","(Fach-)Abitur","Westdeutschland","100","","",""
"Ja","1995","(Fach-)Abitur","Ostdeutschland","16","","",""
"Ja","1995","AkademikerIn","Westdeutschland","79","0.0944655842817104","0.0755354928716265","0.113395675691794"
"Ja","1995","AkademikerIn","Ostdeutschland","90","0.114716806829452","0.0930104190554391","0.136423194603464"
"Nein","1995","(noch) kein Abschluss","Westdeutschland","679","0.902066709410359","0.880949318273565","0.923184100547154"
"Nein","1995","(noch) kein Abschluss","Ostdeutschland","106","","",""
"Nein","1995","Hauptschule","Westdeutschland","4216","0.853826982946161","0.843904915985176","0.863749049907146"
"Nein","1995","Hauptschule","Ostdeutschland","1060","","",""
"Nein","1995","Realschule","Westdeutschland","1577","","",""
"Nein","1995","Realschule","Ostdeutschland","1181","","",""
"Nein","1995","(Fach-)Abitur","Westdeutschland","807","0.882322486099636","0.861352175473421","0.903292796725851"
"Nein","1995","(Fach-)Abitur","Ostdeutschland","137","","",""
"Nein","1995","AkademikerIn","Westdeutschland","838","0.90553441571829","0.886604324308206","0.924464507128374"
"Nein","1995","AkademikerIn","Ostdeutschland","738","0.885283193170548","0.863576805396536","0.906989580944561"
"Ja","1996","(noch) kein Abschluss","Westdeutschland","86","0.11132416241234","0.0884131008572663","0.134235223967414"
"Ja","1996","(noch) kein Abschluss","Ostdeutschland","9","0.0896149069993913","0.0376366401353291","0.141593173863453"
"Ja","1996","Hauptschule","Westdeutschland","603","0.139770046611212","0.129886252445897","0.149653840776526"
"Ja","1996","Hauptschule","Ostdeutschland","173","","",""
"Ja","1996","Realschule","Westdeutschland","208","","",""
"Ja","1996","Realschule","Ostdeutschland","152","","",""
"Ja","1996","(Fach-)Abitur","Westdeutschland","97","0.103921919563346","0.0835623214913001","0.124281517635391"
"Ja","1996","(Fach-)Abitur","Ostdeutschland","18","","",""
"Ja","1996","AkademikerIn","Westdeutschland","99","0.11262059920551","0.0922151472246388","0.133026051186381"
"Ja","1996","AkademikerIn","Ostdeutschland","95","0.119099000885523","0.0971818185333571","0.14101618323769"
"Nein","1996","(noch) kein Abschluss","Westdeutschland","638","0.88867583758766","0.865764776032586","0.911586899142734"
"Nein","1996","(noch) kein Abschluss","Ostdeutschland","107","","",""
"Nein","1996","Hauptschule","Westdeutschland","4125","0.860229953388788","0.850346159223474","0.870113747554103"
"Nein","1996","Hauptschule","Ostdeutschland","1016","","",""
"Nein","1996","Realschule","Westdeutschland","1568","","",""
"Nein","1996","Realschule","Ostdeutschland","1180","","",""
"Nein","1996","(Fach-)Abitur","Westdeutschland","766","0.896078080436654","0.875718482364609","0.9164376785087"
"Nein","1996","(Fach-)Abitur","Ostdeutschland","145","","",""
"Nein","1996","AkademikerIn","Westdeutschland","823","0.88737940079449","0.866973948813619","0.907784852775361"
"Nein","1996","AkademikerIn","Ostdeutschland","744","0.880900999114477","0.858983816762311","0.902818181466643"
"Ja","1997","(noch) kein Abschluss","Westdeutschland","78","0.11572868073317","0.0919967183935858","0.139460643072754"
"Ja","1997","(noch) kein Abschluss","Ostdeutschland","8","0.0833196952875268","0.0358125207698723","0.130826869805181"
"Ja","1997","Hauptschule","Westdeutschland","639","0.147782434037693","0.137520263109116","0.15804460496627"
"Ja","1997","Hauptschule","Ostdeutschland","170","","",""
"Ja","1997","Realschule","Westdeutschland","208","","",""
"Ja","1997","Realschule","Ostdeutschland","119","","",""
"Ja","1997","(Fach-)Abitur","Westdeutschland","92","0.104889083050334","0.0842416303047873","0.125536535795881"
"Ja","1997","(Fach-)Abitur","Ostdeutschland","24","","",""
"Ja","1997","AkademikerIn","Westdeutschland","70","0.0845054582679059","0.0666002868051408","0.102410629730671"
"Ja","1997","AkademikerIn","Ostdeutschland","94","0.135816241913603","0.11257904395748","0.159053439869726"
"Nein","1997","(noch) kein Abschluss","Westdeutschland","620","0.88427131926683","0.860539356927246","0.908003281606414"
"Nein","1997","(noch) kein Abschluss","Ostdeutschland","122","","",""
"Nein","1997","Hauptschule","Westdeutschland","3955","0.852217565962307","0.841955395033729","0.862479736890884"
"Nein","1997","Hauptschule","Ostdeutschland","978","0.847871634123564","0.827096334300901","0.868646933946226"
"Nein","1997","Realschule","Westdeutschland","1567","","",""
"Nein","1997","Realschule","Ostdeutschland","1179","","",""
"Nein","1997","(Fach-)Abitur","Westdeutschland","754","0.895110916949666","0.874463464204119","0.915758369695213"
"Nein","1997","(Fach-)Abitur","Ostdeutschland","145","","",""
"Nein","1997","AkademikerIn","Westdeutschland","857","0.915494541732094","0.897589370269329","0.933399713194859"
"Nein","1997","AkademikerIn","Ostdeutschland","741","0.864183758086397","0.840946560130274","0.88742095604252"
"Ja","1998","(noch) kein Abschluss","Westdeutschland","81","0.124261425832801","0.0996654264480657","0.148857425217537"
"Ja","1998","(noch) kein Abschluss","Ostdeutschland","5","0.0439775577857847","0.00886503445375596","0.0790900811178135"
"Ja","1998","Hauptschule","Westdeutschland","664","0.136939937337698","0.127414717382175","0.146465157293221"
"Ja","1998","Hauptschule","Ostdeutschland","178","","",""
"Ja","1998","Realschule","Westdeutschland","227","","",""
"Ja","1998","Realschule","Ostdeutschland","154","","",""
"Ja","1998","(Fach-)Abitur","Westdeutschland","105","","",""
"Ja","1998","(Fach-)Abitur","Ostdeutschland","18","","",""
"Ja","1998","AkademikerIn","Westdeutschland","102","","",""
"Ja","1998","AkademikerIn","Ostdeutschland","112","","",""
"Nein","1998","(noch) kein Abschluss","Westdeutschland","610","0.875738574167199","0.851142574782463","0.900334573551934"
"Nein","1998","(noch) kein Abschluss","Ostdeutschland","126","","",""
"Nein","1998","Hauptschule","Westdeutschland","4340","0.863060062662302","0.853534842706779","0.872585282617825"
"Nein","1998","Hauptschule","Ostdeutschland","999","0.83843161117035","0.817404874360105","0.859458347980595"
"Nein","1998","Realschule","Westdeutschland","1766","","",""
"Nein","1998","Realschule","Ostdeutschland","1248","","",""
"Nein","1998","(Fach-)Abitur","Westdeutschland","871","0.893750470242191","0.874417666947669","0.913083273536713"
"Nein","1998","(Fach-)Abitur","Ostdeutschland","152","","",""
"Nein","1998","AkademikerIn","Westdeutschland","997","0.891860509919593","0.873499783025417","0.910221236813769"
"Nein","1998","AkademikerIn","Ostdeutschland","756","0.873403688274693","0.851282611362392","0.895524765186994"
"Ja","1999","(noch) kein Abschluss","Westdeutschland","74","0.119839813711343","0.0951184314986084","0.144561195924077"
"Ja","1999","(noch) kein Abschluss","Ostdeutschland","10","","",""
"Ja","1999","Hauptschule","Westdeutschland","669","0.147388774919701","0.137425463989123","0.157352085850278"
"Ja","1999","Hauptschule","Ostdeutschland","179","","",""
"Ja","1999","Realschule","Westdeutschland","206","","",""
"Ja","1999","Realschule","Ostdeutschland","145","","",""
"Ja","1999","(Fach-)Abitur","Westdeutschland","101","","",""
"Ja","1999","(Fach-)Abitur","Ostdeutschland","20","","",""
"Ja","1999","AkademikerIn","Westdeutschland","102","","",""
"Ja","1999","AkademikerIn","Ostdeutschland","119","","",""
"Nein","1999","(noch) kein Abschluss","Westdeutschland","589","0.880160186288657","0.855438804075923","0.904881568501392"
"Nein","1999","(noch) kein Abschluss","Ostdeutschland","116","","",""
"Nein","1999","Hauptschule","Westdeutschland","4194","0.852611225080299","0.842647914149722","0.862574536010877"
"Nein","1999","Hauptschule","Ostdeutschland","972","0.83323352452217","0.811698361094957","0.854768687949383"
"Nein","1999","Realschule","Westdeutschland","1778","","",""
"Nein","1999","Realschule","Ostdeutschland","1251","","",""
"Nein","1999","(Fach-)Abitur","Westdeutschland","842","0.87993231520918","0.859186526685574","0.900678103732786"
"Nein","1999","(Fach-)Abitur","Ostdeutschland","171","","",""
"Nein","1999","AkademikerIn","Westdeutschland","999","0.894720774628311","0.876591954806464","0.912849594450157"
"Nein","1999","AkademikerIn","Ostdeutschland","737","0.857329483584086","0.833900567060955","0.880758400107217"
"Ja","2000","(noch) kein Abschluss","Westdeutschland","66","0.0906198941258501","0.0701432343252971","0.111096553926403"
"Ja","2000","(noch) kein Abschluss","Ostdeutschland","9","0.0613760538349076","0.0243011145133783","0.0984509931564369"
"Ja","2000","Hauptschule","Westdeutschland","1197","","",""
"Ja","2000","Hauptschule","Ostdeutschland","273","","",""
"Ja","2000","Realschule","Westdeutschland","437","0.107713204492946","0.0981285647393486","0.117297844246543"
"Ja","2000","Realschule","Ostdeutschland","246","","",""
"Ja","2000","(Fach-)Abitur","Westdeutschland","203","","",""
"Ja","2000","(Fach-)Abitur","Ostdeutschland","33","0.0920535533657526","0.0620222979696756","0.12208480876183"
"Ja","2000","AkademikerIn","Westdeutschland","231","","",""
"Ja","2000","AkademikerIn","Ostdeutschland","150","","",""
"Nein","2000","(noch) kein Abschluss","Westdeutschland","689","0.90938010587415","0.888903446073597","0.929856765674703"
"Nein","2000","(noch) kein Abschluss","Ostdeutschland","152","","",""
"Nein","2000","Hauptschule","Westdeutschland","7686","0.860241978197973","0.853031452182399","0.867452504213547"
"Nein","2000","Hauptschule","Ostdeutschland","1500","","",""
"Nein","2000","Realschule","Westdeutschland","3582","0.892286795507054","0.882702155753457","0.901871435260651"
"Nein","2000","Realschule","Ostdeutschland","2011","","",""
"Nein","2000","(Fach-)Abitur","Westdeutschland","1789","","",""
"Nein","2000","(Fach-)Abitur","Ostdeutschland","323","0.907946446634247","0.87791519123817","0.937977702030324"
"Nein","2000","AkademikerIn","Westdeutschland","2292","","",""
"Nein","2000","AkademikerIn","Ostdeutschland","1139","","",""
"Ja","2001","(noch) kein Abschluss","Westdeutschland","50","0.0637797574687856","0.0455732984033052","0.0819862165342661"
"Ja","2001","(noch) kein Abschluss","Ostdeutschland","9","0.0612867417718673","0.0256479305282857","0.0969255530154488"
"Ja","2001","Hauptschule","Westdeutschland","1081","","",""
"Ja","2001","Hauptschule","Ostdeutschland","251","","",""
"Ja","2001","Realschule","Westdeutschland","414","0.111913876059369","0.101748805897354","0.122078946221384"
"Ja","2001","Realschule","Ostdeutschland","206","","",""
"Ja","2001","(Fach-)Abitur","Westdeutschland","193","","",""
"Ja","2001","(Fach-)Abitur","Ostdeutschland","45","0.116254389556236","0.0825779023525387","0.149930876759934"
"Ja","2001","AkademikerIn","Westdeutschland","230","","",""
"Ja","2001","AkademikerIn","Ostdeutschland","130","","",""
"Nein","2001","(noch) kein Abschluss","Westdeutschland","642","0.936220242531214","0.918013783465734","0.954426701596695"
"Nein","2001","(noch) kein Abschluss","Ostdeutschland","165","","",""
"Nein","2001","Hauptschule","Westdeutschland","6693","0.853100088989061","0.845230780279039","0.860969397699083"
"Nein","2001","Hauptschule","Ostdeutschland","1342","","",""
