"ple0053","year","bildungsniveau","sex","n","percent","lower_confidence","upper_confidence"
"Ja","1998","(noch) kein Abschluss","maennlich","29","","",""
"Ja","1998","(noch) kein Abschluss","weiblich","57","0.140811424384468","0.108781037626151","0.172841811142785"
"Ja","1998","Hauptschule","maennlich","363","0.123921484465081","0.112162298973322","0.13568066995684"
"Ja","1998","Hauptschule","weiblich","479","0.155159992920387","0.142546413525587","0.167773572315186"
"Ja","1998","Realschule","maennlich","119","0.078811238501564","0.0652612915244682","0.0923611854786598"
"Ja","1998","Realschule","weiblich","262","0.152449297634312","0.136183430070534","0.16871516519809"
"Ja","1998","(Fach-)Abitur","maennlich","47","0.0747477733847425","0.052985921004656","0.0965096257648291"
"Ja","1998","(Fach-)Abitur","weiblich","76","0.137713773302276","0.109789326933224","0.165638219671329"
"Ja","1998","AkademikerIn","maennlich","91","0.0894778976853654","0.0724468838898578","0.106508911480873"
"Ja","1998","AkademikerIn","weiblich","123","0.148821112225987","0.125412034554367","0.172230189897606"
"Nein","1998","(noch) kein Abschluss","maennlich","340","0.917992332046574","0.889997255084711","0.945987409008438"
"Nein","1998","(noch) kein Abschluss","weiblich","396","0.859188575615532","0.827158188857215","0.891218962373849"
"Nein","1998","Hauptschule","maennlich","2653","0.876078515534919","0.86431933004316","0.887837701026678"
"Nein","1998","Hauptschule","weiblich","2686","0.844840007079613","0.832226427684814","0.857453586474413"
"Nein","1998","Realschule","maennlich","1400","0.921188761498436","0.90763881452134","0.934738708475532"
"Nein","1998","Realschule","weiblich","1614","0.847550702365688","0.83128483480191","0.863816569929466"
"Nein","1998","(Fach-)Abitur","maennlich","514","0.925252226615258","0.903490374235171","0.947014078995344"
"Nein","1998","(Fach-)Abitur","weiblich","509","0.862286226697724","0.834361780328671","0.890210673066776"
"Nein","1998","AkademikerIn","maennlich","988","0.910522102314635","0.893491088519127","0.927553116110142"
"Nein","1998","AkademikerIn","weiblich","765","0.851178887774013","0.827769810102394","0.874587965445633"
"Ja","1999","(noch) kein Abschluss","maennlich","42","0.120888793142417","0.0870248114065097","0.154752774878325"
"Ja","1999","(noch) kein Abschluss","weiblich","42","0.106667471028342","0.077592002869312","0.135742939187373"
"Ja","1999","Hauptschule","maennlich","373","0.13284668883765","0.120611260248615","0.145082117426685"
"Ja","1999","Hauptschule","weiblich","475","0.165711066086172","0.152532645990043","0.178889486182301"
"Ja","1999","Realschule","maennlich","115","0.0766022580103373","0.0631610171723969","0.0900434988482776"
"Ja","1999","Realschule","weiblich","236","0.129474177776579","0.114282208134899","0.144666147418259"
"Ja","1999","(Fach-)Abitur","maennlich","44","0.0828080389564274","0.0595851723158836","0.106030905596971"
"Ja","1999","(Fach-)Abitur","weiblich","77","0.15795896255963","0.12860548843087","0.18731243668839"
"Ja","1999","AkademikerIn","maennlich","101","0.0951064326743707","0.0775860359509569","0.112626829397784"
"Ja","1999","AkademikerIn","weiblich","120","0.146194720126755","0.122851970216556","0.169537470036954"
"Nein","1999","(noch) kein Abschluss","maennlich","314","0.879111206857583","0.845247225121675","0.91297518859349"
"Nein","1999","(noch) kein Abschluss","weiblich","391","0.893332528971658","0.864257060812627","0.922407997130688"
"Nein","1999","Hauptschule","maennlich","2583","0.86715331116235","0.854917882573315","0.879388739751385"
"Nein","1999","Hauptschule","weiblich","2583","0.834288933913828","0.821110513817699","0.847467354009957"
"Nein","1999","Realschule","maennlich","1389","0.923397741989663","0.909956501151722","0.936838982827603"
"Nein","1999","Realschule","weiblich","1640","0.870525822223421","0.855333852581741","0.885717791865101"
"Nein","1999","(Fach-)Abitur","maennlich","497","0.917191961043573","0.893969094403029","0.940414827684116"
"Nein","1999","(Fach-)Abitur","weiblich","516","0.84204103744037","0.81268756331161","0.87139451156913"
