year,ple0053,sampreg,proportion,n,lower_confidence,upper_confidence
2015,No,West,0.7925529460619204,38036,0.7884779571617205,0.7966279349621203
2015,No,East,0.20744705393807963,38036,0.20337206503787983,0.21152204283827944
2016,Yes,West,0.7861180904522613,41132,0.7821553367582612,0.7900808441462615
2016,Yes,East,0.2138819095477387,41132,0.2099191558537386,0.2178446632417388
2016,No,West,0.7929403897592663,41132,0.7890244669368894,0.7968563125816431
2016,No,East,0.20705961024073366,41132,0.20314368741835678,0.21097553306311054
2017,Yes,West,0.778746134382907,45410,0.7749282417942364,0.7825640269715776
2017,Yes,East,0.22125386561709307,45410,0.21743597302842246,0.22507175820576367
2017,No,West,0.7900985761226725,45410,0.786352913542791,0.793844238702554
2017,No,East,0.2099014238773275,45410,0.20615576129744603,0.21364708645720895
2018,Yes,West,0.7648435214975139,43121,0.7608406059310637,0.768846437063964
2018,Yes,East,0.2351564785024861,43121,0.2311535629360359,0.23915939406893633
2018,No,West,0.788868778280543,43121,0.785016742843309,0.792720813717777
2018,No,East,0.211131221719457,43121,0.20727918628222297,0.21498325715669103
2019,Yes,West,0.7793946449359721,42417,0.7754485018303584,0.7833407880415858
2019,Yes,East,0.22060535506402795,42417,0.21665921195841423,0.22455149816964168
2019,No,West,0.7843800757985923,42417,0.7804663191531999,0.7882938324439847
2019,No,East,0.2156199242014077,42417,0.2117061675560153,0.21953368084680008
2020,Yes,West,0.7995096703895397,42741,0.7957139666537549,0.8033053741253244
2020,Yes,East,0.20049032961046037,42741,0.19669462587467565,0.2042860333462451
2020,No,West,0.7987199740754243,42741,0.7949186810892501,0.8025212670615984
2020,No,East,0.2012800259245757,42741,0.19747873293840149,0.2050813189107499
2021,Yes,West,0.7878495660559306,27598,0.7830260816535753,0.7926730504582858
2021,Yes,East,0.21215043394406943,27598,0.20732694954171418,0.21697391834642468
2021,No,West,0.7896759658074349,27598,0.7848677253542755,0.7944842062605944
2021,No,East,0.2103240341925651,27598,0.2055157937394057,0.21513227464572449
