,Unnamed: 0,year,bula_h,sampreg,ple0016,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
31,31,2011,Berlin,East,No,1.0,349,20523,0.92623,1.06764
32,32,2011,Brandenburg,East,No,1.0,860,20523,0.93963,1.06553
33,33,2011,Mecklenburg-Western Pomerania,East,No,1.0,502,20523,0.91448,1.08651
34,34,2011,Saxony,East,No,1.0,1374,20523,0.9533,1.04132
35,35,2011,Saxony-Anhalt,East,No,1.0,841,20523,0.93312,1.07151
36,36,2011,Thuringa,East,No,1.0,859,20523,0.94044,1.0703
37,37,2013,Schleswig-Holstein,West,No,1.0,580,18723,0.94128,1.08348
38,38,2013,Hamburg,West,No,1.0,301,18723,0.89723,1.10611
39,39,2013,Lower Saxony,West,Yes,0.02235,39,18723,0.01654,0.02853
40,40,2013,Lower Saxony,West,No,0.97765,1736,18723,0.92997,1.02119
41,41,2013,Bremen,West,No,1.0,117,18723,0.81211,1.2554
42,42,2013,North Rhine-Westphalia,West,Yes,0.01807,61,18723,0.01483,0.02155
43,43,2013,North Rhine-Westphalia,West,No,0.98193,3657,18723,0.95415,1.01001
44,44,2013,Hesse,West,Yes,0.03512,37,18723,0.02907,0.04075
45,45,2013,Hesse,West,No,0.96488,1253,18723,0.91142,1.01781
46,46,2013,"Rhineland-Palatinate, Saarland",West,No,1.0,1073,18723,0.95007,1.05837
47,47,2013,Baden-Wuerttemberg,West,Yes,0.0198,38,18723,0.01478,0.02376
48,48,2013,Baden-Wuerttemberg,West,No,0.9802,2085,18723,0.9398,1.02297
49,49,2013,Bavaria,West,Yes,0.02091,60,18723,0.0172,0.02463
50,50,2013,Bavaria,West,No,0.97909,2887,18723,0.9414,1.01345
51,51,2013,Berlin,West,No,1.0,436,18723,0.91167,1.08953
52,52,2013,Berlin,East,No,1.0,318,18723,0.90323,1.08983
53,53,2013,Brandenburg,East,No,1.0,757,18723,0.93264,1.06583
54,54,2013,Mecklenburg-Western Pomerania,East,No,1.0,442,18723,0.91207,1.0945
55,55,2013,Saxony,East,Yes,0.02228,32,18723,0.01738,0.02739
56,56,2013,Saxony,East,No,0.97772,1303,18723,0.92937,1.03122
57,57,2013,Saxony-Anhalt,East,No,1.0,733,18723,0.93155,1.07812
58,58,2013,Thuringa,East,No,1.0,778,18723,0.94176,1.06764
59,59,2015,Schleswig-Holstein,West,No,1.0,854,24843,0.92067,1.08655
60,60,2015,Hamburg,West,No,1.0,415,24843,0.90383,1.08062
61,61,2015,Lower Saxony,West,Yes,0.02384,48,24843,0.01829,0.02877
62,62,2015,Lower Saxony,West,No,0.97616,2373,24843,0.93521,1.02776
63,63,2015,Bremen,West,No,1.0,169,24843,0.81803,1.18591
64,64,2015,North Rhine-Westphalia,West,Yes,0.01768,80,24843,0.01419,0.02099
65,65,2015,North Rhine-Westphalia,West,No,0.98232,5085,24843,0.94943,1.01366
66,66,2015,Hesse,West,Yes,0.03157,43,24843,0.02356,0.0399
67,67,2015,Hesse,West,No,0.96843,1662,24843,0.92116,1.02284
68,68,2015,"Rhineland-Palatinate, Saarland",West,No,1.0,1469,24843,0.94404,1.05681
69,69,2015,Baden-Wuerttemberg,West,Yes,0.02326,53,24843,0.01798,0.02832
70,70,2015,Baden-Wuerttemberg,West,No,0.97674,2932,24843,0.93391,1.01625
71,71,2015,Bavaria,West,Yes,0.02044,69,24843,0.01727,0.02446
72,72,2015,Bavaria,West,No,0.97956,3958,24843,0.93917,1.01659
73,73,2015,Berlin,West,No,1.0,507,24843,0.91666,1.07085
74,74,2015,Berlin,East,No,1.0,390,24843,0.89039,1.12389
75,75,2015,Brandenburg,East,No,1.0,962,24843,0.93736,1.08117
76,76,2015,Mecklenburg-Western Pomerania,East,No,1.0,546,24843,0.92018,1.11034
77,77,2015,Saxony,East,No,1.0,1481,24843,0.95255,1.06422
78,78,2015,Saxony-Anhalt,East,No,1.0,855,24843,0.91949,1.06735
79,79,2015,Thuringa,East,No,1.0,892,24843,0.92728,1.07276
80,80,2017,Schleswig-Holstein,West,No,1.0,933,26413,0.93753,1.07053
81,81,2017,Hamburg,West,No,1.0,457,26413,0.90281,1.09825
82,82,2017,Lower Saxony,West,Yes,0.0303,58,26413,0.02307,0.03714
83,83,2017,Lower Saxony,West,No,0.9697,2639,26413,0.93163,1.02129
84,84,2017,Bremen,West,No,1.0,214,26413,0.86215,1.15744
85,85,2017,North Rhine-Westphalia,West,Yes,0.01886,87,26413,0.01541,0.02243
86,86,2017,North Rhine-Westphalia,West,No,0.98114,5437,26413,0.95215,1.01302
87,87,2017,Hesse,West,Yes,0.02214,35,26413,0.01513,0.03125
88,88,2017,Hesse,West,No,0.97786,1754,26413,0.93302,1.02521
89,89,2017,"Rhineland-Palatinate, Saarland",West,No,1.0,1497,26413,0.94002,1.05031
90,90,2017,Baden-Wuerttemberg,West,Yes,0.02087,52,26413,0.01568,0.02669
91,91,2017,Baden-Wuerttemberg,West,No,0.97913,2966,26413,0.94296,1.02606
92,92,2017,Bavaria,West,Yes,0.02012,67,26413,0.01617,0.02326
93,93,2017,Bavaria,West,No,0.97988,4144,26413,0.94743,1.01373
94,94,2017,Berlin,West,No,1.0,549,26413,0.91374,1.09143
95,95,2017,Berlin,East,No,1.0,428,26413,0.90097,1.10559
96,96,2017,Brandenburg,East,No,1.0,1006,26413,0.93134,1.06711
97,97,2017,Mecklenburg-Western Pomerania,East,No,1.0,560,26413,0.91958,1.08218
98,98,2017,Saxony,East,Yes,0.02181,42,26413,0.01633,0.02775
99,99,2017,Saxony,East,No,0.97819,1611,26413,0.94001,1.03324
100,100,2017,Saxony-Anhalt,East,Yes,0.03818,31,26413,0.02998,0.04681
101,101,2017,Saxony-Anhalt,East,No,0.96182,892,26413,0.8943,1.04767
102,102,2017,Thuringa,East,No,1.0,954,26413,0.92482,1.08449
103,103,2019,Schleswig-Holstein,West,No,1.0,939,25543,0.92276,1.08449
104,104,2019,Hamburg,West,No,1.0,519,25543,0.90015,1.12387
105,105,2019,Lower Saxony,West,Yes,0.02999,63,25543,0.02315,0.03857
106,106,2019,Lower Saxony,West,No,0.97001,2430,25543,0.92472,1.01367
107,107,2019,Bremen,West,No,1.0,215,25543,0.8227,1.17512
108,108,2019,North Rhine-Westphalia,West,Yes,0.02348,107,25543,0.01985,0.02768
109,109,2019,North Rhine-Westphalia,West,No,0.97652,5299,25543,0.93928,1.00699
110,110,2019,Hesse,West,Yes,0.02293,38,25543,0.01433,0.03309
111,111,2019,Hesse,West,No,0.97707,1673,25543,0.91864,1.02494
112,112,2019,"Rhineland-Palatinate, Saarland",West,Yes,0.03383,37,25543,0.02354,0.04238
113,113,2019,"Rhineland-Palatinate, Saarland",West,No,0.96617,1429,25543,0.91103,1.02444
114,114,2019,Baden-Wuerttemberg,West,Yes,0.02468,54,25543,0.01877,0.03011
115,115,2019,Baden-Wuerttemberg,West,No,0.97532,2745,25543,0.93877,1.013
116,116,2019,Bavaria,West,Yes,0.01441,56,25543,0.01149,0.01836
117,117,2019,Bavaria,West,No,0.98559,3895,25543,0.94531,1.02496
118,118,2019,Berlin,West,No,1.0,560,25543,0.88908,1.09095
119,119,2019,Berlin,East,No,1.0,371,25543,0.87172,1.11928
120,120,2019,Brandenburg,East,Yes,0.04037,36,25543,0.02385,0.06229
121,121,2019,Brandenburg,East,No,0.95963,1075,25543,0.88492,1.03487
122,122,2019,Mecklenburg-Western Pomerania,East,No,1.0,602,25543,0.90481,1.11901
123,123,2019,Saxony,East,Yes,0.01837,37,25543,0.01257,0.02511
124,124,2019,Saxony,East,No,0.98163,1597,25543,0.91862,1.04283
125,125,2019,Saxony-Anhalt,East,No,1.0,866,25543,0.91547,1.0921
126,126,2019,Thuringa,East,No,1.0,900,25543,0.9077,1.09972
127,127,2021,Schleswig-Holstein,West,No,1.0,812,19035,0.90267,1.09528
128,128,2021,Hamburg,West,No,1.0,442,19035,0.86961,1.12053
129,129,2021,Lower Saxony,West,Yes,0.02218,37,19035,0.01346,0.03343
130,130,2021,Lower Saxony,West,No,0.97782,1844,19035,0.91378,1.04298
131,131,2021,Bremen,West,No,1.0,150,19035,0.79952,1.22582
132,132,2021,North Rhine-Westphalia,West,Yes,0.02312,79,19035,0.01874,0.02771
133,133,2021,North Rhine-Westphalia,West,No,0.97688,4033,19035,0.93397,1.02353
134,134,2021,Hesse,West,No,1.0,1301,19035,0.93546,1.07242
135,135,2021,"Rhineland-Palatinate, Saarland",West,Yes,0.05769,36,19035,0.03757,0.07359
136,136,2021,"Rhineland-Palatinate, Saarland",West,No,0.94231,960,19035,0.86298,1.02945
137,137,2021,Baden-Wuerttemberg,West,Yes,0.01548,40,19035,0.01074,0.02001
138,138,2021,Baden-Wuerttemberg,West,No,0.98452,2127,19035,0.9352,1.04332
139,139,2021,Bavaria,West,Yes,0.02309,49,19035,0.01584,0.03144
140,140,2021,Bavaria,West,No,0.97691,2803,19035,0.93373,1.02647
141,141,2021,Berlin,West,No,1.0,553,19035,0.87377,1.10587
142,142,2021,Berlin,East,No,1.0,344,19035,0.86567,1.14157
143,143,2021,Brandenburg,East,No,1.0,683,19035,0.89683,1.09043
144,144,2021,Mecklenburg-Western Pomerania,East,No,1.0,404,19035,0.87272,1.09633
145,145,2021,Saxony,East,No,1.0,1137,19035,0.92002,1.07854
146,146,2021,Saxony-Anhalt,East,No,1.0,588,19035,0.90629,1.13548
147,147,2021,Thuringa,East,No,1.0,613,19035,0.901,1.11029
