"ple0016","year","bildungsniveau","regtyp","n","percent","lower_confidence","upper_confidence"
"Nein","2013","Realschule","Staedtischer Raum","2823","0.984450795982044","0.979921973135967","0.988979618828122"
"Nein","2013","Realschule","Laendlicher Raum","2133","0.982933242695389","0.977487517201903","0.988378968188874"
"Nein","2013","(Fach-)Abitur","Staedtischer Raum","1603","0.9930728647978","0.989031517049407","0.997114212546193"
"Nein","2013","(Fach-)Abitur","Laendlicher Raum","593","0.997758224654782","0.993964466622431","1.00155198268713"
"Nein","2013","AkademikerIn","Staedtischer Raum","3113","0.983390369500333","0.978930816084028","0.987849922916638"
"Nein","2013","AkademikerIn","Laendlicher Raum","1285","0.975060926907876","0.966619754396798","0.983502099418954"
"Ja","2014","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","2014","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","2014","Hauptschule","Staedtischer Raum","","","",""
"Ja","2014","Hauptschule","Laendlicher Raum","","","",""
"Ja","2014","Realschule","Staedtischer Raum","","","",""
"Ja","2014","Realschule","Laendlicher Raum","","","",""
"Ja","2014","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","2014","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","2014","AkademikerIn","Staedtischer Raum","","","",""
"Ja","2014","AkademikerIn","Laendlicher Raum","","","",""
"Nein","2014","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nein","2014","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nein","2014","Hauptschule","Staedtischer Raum","","","",""
"Nein","2014","Hauptschule","Laendlicher Raum","","","",""
"Nein","2014","Realschule","Staedtischer Raum","","","",""
"Nein","2014","Realschule","Laendlicher Raum","","","",""
"Nein","2014","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nein","2014","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nein","2014","AkademikerIn","Staedtischer Raum","","","",""
"Nein","2014","AkademikerIn","Laendlicher Raum","","","",""
"Ja","2015","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","2015","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","2015","Hauptschule","Staedtischer Raum","156","0.0395585993446546","0.033879928378902","0.0452372703104072"
"Ja","2015","Hauptschule","Laendlicher Raum","85","0.0336482148488367","0.0270198210551646","0.0402766086425088"
"Ja","2015","Realschule","Staedtischer Raum","56","0.0173670931525612","0.0131325728806841","0.0216016134244383"
"Ja","2015","Realschule","Laendlicher Raum","49","0.0212085117621932","0.0159123669636441","0.0265046565607422"
"Ja","2015","(Fach-)Abitur","Staedtischer Raum","30","0.00858726790650574","0.00508612425223336","0.0120884115607781"
"Ja","2015","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","2015","AkademikerIn","Staedtischer Raum","51","0.0144572641496623","0.0108524348986029","0.0180620934007216"
"Ja","2015","AkademikerIn","Laendlicher Raum","","","",""
"Nein","2015","(noch) kein Abschluss","Staedtischer Raum","536","0.972016356483507","0.958220431151686","0.985812281815328"
"Nein","2015","(noch) kein Abschluss","Laendlicher Raum","261","0.977265682589941","0.95938682586243","0.995144539317453"
"Nein","2015","Hauptschule","Staedtischer Raum","4370","0.960441400655345","0.954762729689593","0.966120071621098"
"Nein","2015","Hauptschule","Laendlicher Raum","2758","0.966351785151163","0.959723391357491","0.972980178944835"
"Nein","2015","Realschule","Staedtischer Raum","3600","0.982632906847439","0.978398386575562","0.986867427119316"
"Nein","2015","Realschule","Laendlicher Raum","2794","0.978791488237807","0.973495343439258","0.984087633036356"
"Nein","2015","(Fach-)Abitur","Staedtischer Raum","2638","0.991412732093494","0.987911588439222","0.994913875747767"
"Nein","2015","(Fach-)Abitur","Laendlicher Raum","975","0.992235700636348","0.98675155344871","0.997719847823986"
"Nein","2015","AkademikerIn","Staedtischer Raum","4161","0.985542735850338","0.981937906599278","0.989147565101397"
"Nein","2015","AkademikerIn","Laendlicher Raum","1632","0.978332853313874","0.971331089523516","0.985334617104232"
"Ja","2016","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","2016","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","2016","Hauptschule","Staedtischer Raum","","","",""
"Ja","2016","Hauptschule","Laendlicher Raum","","","",""
"Ja","2016","Realschule","Staedtischer Raum","","","",""
"Ja","2016","Realschule","Laendlicher Raum","","","",""
"Ja","2016","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","2016","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","2016","AkademikerIn","Staedtischer Raum","","","",""
"Ja","2016","AkademikerIn","Laendlicher Raum","","","",""
"Nein","2016","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nein","2016","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nein","2016","Hauptschule","Staedtischer Raum","","","",""
"Nein","2016","Hauptschule","Laendlicher Raum","","","",""
"Nein","2016","Realschule","Staedtischer Raum","","","",""
"Nein","2016","Realschule","Laendlicher Raum","","","",""
"Nein","2016","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nein","2016","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nein","2016","AkademikerIn","Staedtischer Raum","","","",""
"Nein","2016","AkademikerIn","Laendlicher Raum","","","",""
"Ja","2017","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","2017","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","2017","Hauptschule","Staedtischer Raum","128","0.0371726027523435","0.0315544976375769","0.04279070786711"
"Ja","2017","Hauptschule","Laendlicher Raum","99","0.0409737116970372","0.0336470128230634","0.0483004105710111"
"Ja","2017","Realschule","Staedtischer Raum","69","0.016764082698773","0.0127149620157926","0.0208132033817534"
"Ja","2017","Realschule","Laendlicher Raum","53","0.0202248531606446","0.0152502227152956","0.0251994836059935"
"Ja","2017","(Fach-)Abitur","Staedtischer Raum","30","0.0114896718327657","0.00767673587213209","0.0153026077933994"
"Ja","2017","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","2017","AkademikerIn","Staedtischer Raum","55","0.0128534767811906","0.00962799634391143","0.0160789572184698"
"Ja","2017","AkademikerIn","Laendlicher Raum","37","0.0234102123289848","0.0164826361248332","0.0303377885331363"
"Nein","2017","(noch) kein Abschluss","Staedtischer Raum","650","0.983139111235211","0.973346201088179","0.992932021382243"
"Nein","2017","(noch) kein Abschluss","Laendlicher Raum","265","0.97513433853253","0.956629049514677","0.993639627550382"
"Nein","2017","Hauptschule","Staedtischer Raum","4228","0.962827397247657","0.95720929213289","0.968445502362423"
"Nein","2017","Hauptschule","Laendlicher Raum","2713","0.959026288302963","0.951699589428989","0.966352987176937"
"Nein","2017","Realschule","Staedtischer Raum","3793","0.983235917301227","0.979186796618247","0.987285037984207"
"Nein","2017","Realschule","Laendlicher Raum","3023","0.979775146839355","0.974800516394006","0.984749777284704"
"Nein","2017","(Fach-)Abitur","Staedtischer Raum","2971","0.988510328167234","0.984697392206601","0.992323264127868"
"Nein","2017","(Fach-)Abitur","Laendlicher Raum","1139","0.993382064585637","0.988691808382272","0.998072320789003"
"Nein","2017","AkademikerIn","Staedtischer Raum","4630","0.987146523218809","0.98392104278153","0.990372003656089"
"Nein","2017","AkademikerIn","Laendlicher Raum","1793","0.976589787671015","0.969662211466864","0.983517363875167"
"Ja","2018","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","2018","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","2018","Hauptschule","Staedtischer Raum","","","",""
"Ja","2018","Hauptschule","Laendlicher Raum","","","",""
"Ja","2018","Realschule","Staedtischer Raum","","","",""
"Ja","2018","Realschule","Laendlicher Raum","","","",""
"Ja","2018","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","2018","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","2018","AkademikerIn","Staedtischer Raum","","","",""
"Ja","2018","AkademikerIn","Laendlicher Raum","","","",""
"Nein","2018","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nein","2018","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nein","2018","Hauptschule","Staedtischer Raum","","","",""
"Nein","2018","Hauptschule","Laendlicher Raum","","","",""
"Nein","2018","Realschule","Staedtischer Raum","","","",""
"Nein","2018","Realschule","Laendlicher Raum","","","",""
"Nein","2018","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nein","2018","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nein","2018","AkademikerIn","Staedtischer Raum","","","",""
"Nein","2018","AkademikerIn","Laendlicher Raum","","","",""
"Ja","2019","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","2019","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","2019","Hauptschule","Staedtischer Raum","130","0.0395122580411381","0.0332738174661944","0.0457506986160817"
"Ja","2019","Hauptschule","Laendlicher Raum","88","0.0437473871603423","0.0355662365431351","0.0519285377775495"
"Ja","2019","Realschule","Staedtischer Raum","73","0.0219932187453641","0.0172489287367407","0.0267375087539875"
"Ja","2019","Realschule","Laendlicher Raum","53","0.0195819632298539","0.0145836476132999","0.0245802788464078"
"Ja","2019","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","2019","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","2019","AkademikerIn","Staedtischer Raum","69","0.0124234943609042","0.00933842429839944","0.0155085644234089"
"Ja","2019","AkademikerIn","Laendlicher Raum","43","0.0230437106212657","0.0163165542877016","0.0297708669548298"
"Nein","2019","(noch) kein Abschluss","Staedtischer Raum","544","0.951595994776976","0.933820527351475","0.969371462202477"
"Nein","2019","(noch) kein Abschluss","Laendlicher Raum","204","0.959582302944101","0.933009720661965","0.986154885226237"
"Nein","2019","Hauptschule","Staedtischer Raum","3616","0.960487741958862","0.954249301383918","0.966726182533806"
"Nein","2019","Hauptschule","Laendlicher Raum","2313","0.956252612839658","0.948071462222451","0.964433763456865"
"Nein","2019","Realschule","Staedtischer Raum","3598","0.978006781254636","0.973262491246012","0.982751071263259"
"Nein","2019","Realschule","Laendlicher Raum","2899","0.980418036770146","0.975419721153592","0.9854163523867"
"Nein","2019","(Fach-)Abitur","Staedtischer Raum","2888","0.993796983179549","0.990947735567966","0.996646230791132"
"Nein","2019","(Fach-)Abitur","Laendlicher Raum","1094","0.995771771203977","0.991942470427263","0.999601071980691"
"Nein","2019","AkademikerIn","Staedtischer Raum","4883","0.987576505639096","0.984491435576591","0.990661575701601"
"Nein","2019","AkademikerIn","Laendlicher Raum","1868","0.976956289378734","0.97022913304517","0.983683445712298"
