"m11104","year","age_gr","n","percent","lower_confidence_percent","upper_confidence_percent"
"Mindestens einmal die Woche","2005","17-34","2157","","",""
"Mindestens einmal die Woche","2005","35-65","3851","0.309423938953981","0.300995525513451","0.31785235239451"
"Mindestens einmal die Woche","2005","66 +","743","0.185280723245251","0.172808919911736","0.197752526578767"
"Fast nie oder nie","2006","17-34","","","",""
"Fast nie oder nie","2006","35-65","","","",""
"Fast nie oder nie","2006","66 +","","","",""
"Mehrmals im Jahr","2006","17-34","","","",""
"Mehrmals im Jahr","2006","35-65","","","",""
"Mehrmals im Jahr","2006","66 +","","","",""
"Mindestens einmal im Monat","2006","17-34","","","",""
"Mindestens einmal im Monat","2006","35-65","","","",""
"Mindestens einmal im Monat","2006","66 +","","","",""
"Mindestens einmal die Woche","2006","17-34","","","",""
"Mindestens einmal die Woche","2006","35-65","","","",""
"Mindestens einmal die Woche","2006","66 +","","","",""
"Fast nie oder nie","2007","17-34","1157","","",""
"Fast nie oder nie","2007","35-65","4230","0.385411967839189","0.376483358845005","0.394340576833373"
"Fast nie oder nie","2007","66 +","2760","","",""
"Mehrmals im Jahr","2007","17-34","1038","","",""
"Mehrmals im Jahr","2007","35-65","2239","","",""
"Mehrmals im Jahr","2007","66 +","352","0.0776599999956011","0.0696522031157462","0.085667796875456"
"Mindestens einmal im Monat","2007","17-34","539","0.116616395704415","0.107425713108","0.125807078300831"
"Mindestens einmal im Monat","2007","35-65","821","0.0685359845189597","0.06390075198932","0.0731712170485994"
"Mindestens einmal im Monat","2007","66 +","138","","",""
"Mindestens einmal die Woche","2007","17-34","1951","","",""
"Mindestens einmal die Woche","2007","35-65","4124","0.344816836791806","0.336097072350839","0.353536601232772"
"Mindestens einmal die Woche","2007","66 +","1041","","",""
"Fast nie oder nie","2008","17-34","872","0.202315278481845","0.190333073371901","0.214297483591789"
"Fast nie oder nie","2008","35-65","3088","0.307092900442717","0.298322173731525","0.315863627153909"
"Fast nie oder nie","2008","66 +","2359","","",""
"Mehrmals im Jahr","2008","17-34","909","0.211994345175559","0.199803506692692","0.224185183658427"
"Mehrmals im Jahr","2008","35-65","2277","","",""
"Mehrmals im Jahr","2008","66 +","459","0.107121939493638","0.097841405733333","0.116402473253943"
"Mindestens einmal im Monat","2008","17-34","489","0.113843913507234","0.104370275355037","0.123317551659431"
"Mindestens einmal im Monat","2008","35-65","848","0.08052509092632","0.0753514207541142","0.0856987610985258"
"Mindestens einmal im Monat","2008","66 +","142","","",""
"Mindestens einmal die Woche","2008","17-34","2048","","",""
"Mindestens einmal die Woche","2008","35-65","4413","0.396066184483185","0.386767066857208","0.405365302109163"
"Mindestens einmal die Woche","2008","66 +","1306","","",""
"Fast nie oder nie","2009","17-34","841","0.202807723912643","0.190268422846372","0.215347024978913"
"Fast nie oder nie","2009","35-65","3462","0.362136040676375","0.352640310144936","0.371631771207813"
"Fast nie oder nie","2009","66 +","2562","","",""
"Mehrmals im Jahr","2009","17-34","890","0.222971332352123","0.209990797766701","0.235951866937546"
"Mehrmals im Jahr","2009","35-65","1987","","",""
"Mehrmals im Jahr","2009","66 +","332","0.0793378706493589","0.0710932883720508","0.087582452926667"
"Mindestens einmal im Monat","2009","17-34","482","0.123556472630341","0.113294183108836","0.133818762151846"
"Mindestens einmal im Monat","2009","35-65","715","0.0748941924368828","0.0696936547262539","0.0800947301475116"
"Mindestens einmal im Monat","2009","66 +","133","","",""
"Mindestens einmal die Woche","2009","17-34","1737","","",""
"Mindestens einmal die Woche","2009","35-65","3677","0.360279820761328","0.350794686793162","0.369764954729495"
"Mindestens einmal die Woche","2009","66 +","1101","","",""
"Fast nie oder nie","2010","17-34","","","",""
"Fast nie oder nie","2010","35-65","","","",""
"Fast nie oder nie","2010","66 +","","","",""
"Mehrmals im Jahr","2010","17-34","","","",""
"Mehrmals im Jahr","2010","35-65","","","",""
"Mehrmals im Jahr","2010","66 +","","","",""
"Mindestens einmal im Monat","2010","17-34","","","",""
"Mindestens einmal im Monat","2010","35-65","","","",""
"Mindestens einmal im Monat","2010","66 +","","","",""
"Mindestens einmal die Woche","2010","17-34","","","",""
"Mindestens einmal die Woche","2010","35-65","","","",""
"Mindestens einmal die Woche","2010","66 +","","","",""
"Fast nie oder nie","2011","17-34","2245","","",""
"Fast nie oder nie","2011","35-65","6251","0.379651134169528","0.372221473801341","0.387080794537715"
"Fast nie oder nie","2011","66 +","3026","0.624660332972077","0.61135813533009","0.637962530614064"
"Mehrmals im Jahr","2011","17-34","1297","","",""
"Mehrmals im Jahr","2011","35-65","2903","","",""
"Mehrmals im Jahr","2011","66 +","383","0.0721559030603661","0.0650476539788684","0.0792641521418638"
"Mindestens einmal im Monat","2011","17-34","562","0.0935010708697244","0.0865701769967613","0.100431964742688"
"Mindestens einmal im Monat","2011","35-65","1105","","",""
"Mindestens einmal im Monat","2011","66 +","139","","",""
"Mindestens einmal die Woche","2011","17-34","2674","","",""
"Mindestens einmal die Woche","2011","35-65","6131","0.365622260802755","0.358249181644959","0.372995339960551"
"Mindestens einmal die Woche","2011","66 +","1542","","",""
"Fast nie oder nie","2012","17-34","","","",""
"Fast nie oder nie","2012","35-65","","","",""
"Fast nie oder nie","2012","66 +","","","",""
"Mehrmals im Jahr","2012","17-34","","","",""
"Mehrmals im Jahr","2012","35-65","","","",""
"Mehrmals im Jahr","2012","66 +","","","",""
"Mindestens einmal im Monat","2012","17-34","","","",""
"Mindestens einmal im Monat","2012","35-65","","","",""
"Mindestens einmal im Monat","2012","66 +","","","",""
"Mindestens einmal die Woche","2012","17-34","","","",""
"Mindestens einmal die Woche","2012","35-65","","","",""
"Mindestens einmal die Woche","2012","66 +","","","",""
"Fast nie oder nie","2013","17-34","1457","","",""
"Fast nie oder nie","2013","35-65","4734","0.305830689670486","0.298429472500561","0.313231906840411"
"Fast nie oder nie","2013","66 +","2237","","",""
"Mehrmals im Jahr","2013","17-34","819","0.140799356046833","0.131690518935432","0.149908193158234"
"Mehrmals im Jahr","2013","35-65","2346","","",""
"Mehrmals im Jahr","2013","66 +","489","0.100083015661172","0.0916757812116261","0.108490250110718"
"Mindestens einmal im Monat","2013","17-34","389","0.0794415345529332","0.0723593897022198","0.0865236794036466"
"Mindestens einmal im Monat","2013","35-65","719","0.0512280578338973","0.0476867410887889","0.0547693745790057"
"Mindestens einmal im Monat","2013","66 +","140","","",""
"Mindestens einmal die Woche","2013","17-34","2936","","",""
"Mindestens einmal die Woche","2013","35-65","7089","0.476501839765815","0.468479154005144","0.484524525526486"
"Mindestens einmal die Woche","2013","66 +","2029","","",""
"Fast nie oder nie","2014","17-34","","","",""
"Fast nie oder nie","2014","35-65","","","",""
"Fast nie oder nie","2014","66 +","","","",""
"Mehrmals im Jahr","2014","17-34","","","",""
"Mehrmals im Jahr","2014","35-65","","","",""
"Mehrmals im Jahr","2014","66 +","","","",""
"Mindestens einmal im Monat","2014","17-34","","","",""
"Mindestens einmal im Monat","2014","35-65","","","",""
"Mindestens einmal im Monat","2014","66 +","","","",""
"Mindestens einmal die Woche","2014","17-34","","","",""
"Mindestens einmal die Woche","2014","35-65","","","",""
"Mindestens einmal die Woche","2014","66 +","","","",""
"Fast nie oder nie","2015","17-34","1920","","",""
"Fast nie oder nie","2015","35-65","5874","0.369379019677017","0.361703570156218","0.377054469197816"
"Fast nie oder nie","2015","66 +","2552","","",""
"Mehrmals im Jahr","2015","17-34","972","0.13987169421747","0.131526404083695","0.148216984351245"
"Mehrmals im Jahr","2015","35-65","2286","","",""
"Mehrmals im Jahr","2015","66 +","415","0.0844653562918957","0.0766511770442067","0.0922795355395848"
"Mindestens einmal im Monat","2015","17-34","462","0.0815453129226124","0.0749608058035082","0.0881298200417166"
"Mindestens einmal im Monat","2015","35-65","852","0.0590595138310995","0.055310565011506","0.062808462650693"
"Mindestens einmal im Monat","2015","66 +","125","","",""
"Mindestens einmal die Woche","2015","17-34","3282","0.554831016780182","0.542873590366443","0.56678844319392"
"Mindestens einmal die Woche","2015","35-65","6177","0.415095164948786","0.407259065427741","0.42293126446983"
"Mindestens einmal die Woche","2015","66 +","1773","","",""
"Fast nie oder nie","2016","17-34","","","",""
"Fast nie oder nie","2016","35-65","","","",""
"Fast nie oder nie","2016","66 +","","","",""
"Mehrmals im Jahr","2016","17-34","","","",""
"Mehrmals im Jahr","2016","35-65","","","",""
"Mehrmals im Jahr","2016","66 +","","","",""
"Mindestens einmal im Monat","2016","17-34","","","",""
"Mindestens einmal im Monat","2016","35-65","","","",""
"Mindestens einmal im Monat","2016","66 +","","","",""
"Mindestens einmal die Woche","2016","17-34","","","",""
"Mindestens einmal die Woche","2016","35-65","","","",""
"Mindestens einmal die Woche","2016","66 +","","","",""
"Fast nie oder nie","2017","17-34","2577","","",""
"Fast nie oder nie","2017","35-65","6717","0.355359040362637","0.34819769305609","0.362520387669184"
"Fast nie oder nie","2017","66 +","2388","","",""
"Mehrmals im Jahr","2017","17-34","1176","","",""
"Mehrmals im Jahr","2017","35-65","2468","","",""
"Mehrmals im Jahr","2017","66 +","439","0.0863230560501323","0.0785065841068644","0.0941395279934003"
"Mindestens einmal im Monat","2017","17-34","541","0.0677502055228995","0.0623474317820826","0.0731529792637164"
"Mindestens einmal im Monat","2017","35-65","877","0.0553197058710949","0.0518992462874244","0.0587401654547654"
"Mindestens einmal im Monat","2017","66 +","145","","",""
"Mindestens einmal die Woche","2017","17-34","4018","0.561665697517572","0.550998827487941","0.572332567547203"
"Mindestens einmal die Woche","2017","35-65","7097","0.441876302304159","0.434445808251897","0.449306796356422"
"Mindestens einmal die Woche","2017","66 +","1987","","",""
"Fast nie oder nie","2018","17-34","662","0.370634125285724","0.346781723887857","0.394486526683591"
"Fast nie oder nie","2018","35-65","850","0.551200308360661","0.526589967997042","0.575810648724279"
"Fast nie oder nie","2018","66 +","16","","",""
"Mehrmals im Jahr","2018","17-34","258","","",""
"Mehrmals im Jahr","2018","35-65","255","","",""
"Mehrmals im Jahr","2018","66 +","1","","",""
"Mindestens einmal im Monat","2018","17-34","92","0.0720766207677024","0.0593045569770352","0.0848486845583697"
"Mindestens einmal im Monat","2018","35-65","86","0.0630253821212266","0.0510011244004315","0.0750496398420218"
"Mindestens einmal im Monat","2018","66 +","1","","",""
"Mindestens einmal die Woche","2018","17-34","563","0.388602922713805","0.364530349156702","0.412675496270908"
"Mindestens einmal die Woche","2018","35-65","378","0.248261315349164","0.226885406193473","0.269637224504855"
"Mindestens einmal die Woche","2018","66 +","5","0.165071398572029","0.0133507265303229","0.316792070613734"
"Fast nie oder nie","2019","17-34","1642","","",""
"Fast nie oder nie","2019","35-65","4848","0.270604166060878","0.263875909738203","0.277332422383554"
"Fast nie oder nie","2019","66 +","1921","","",""
"Mehrmals im Jahr","2019","17-34","881","0.122457400041399","0.114706275086865","0.130208524995932"
"Mehrmals im Jahr","2019","35-65","2343","","",""
