"m11104","year","age_gr","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Mehrmals im Jahr","1986","17-34","maennlich","355","0.184722133767412","0.167984257337764","0.201460010197061"
"Mehrmals im Jahr","1986","17-34","weiblich","367","0.205842084313063","0.188118065028968","0.223566103597158"
"Mehrmals im Jahr","1986","35-65","maennlich","316","0.125349233747621","0.112852808373858","0.137845659121384"
"Mehrmals im Jahr","1986","35-65","weiblich","219","","",""
"Mehrmals im Jahr","1986","66 +","maennlich","10","","",""
"Mehrmals im Jahr","1986","66 +","weiblich","7","0.0110327312954059","0.00266770790988311","0.0193977546809287"
"Mindestens einmal im Monat","1986","17-34","maennlich","168","","",""
"Mindestens einmal im Monat","1986","17-34","weiblich","134","","",""
"Mindestens einmal im Monat","1986","35-65","maennlich","147","","",""
"Mindestens einmal im Monat","1986","35-65","weiblich","97","0.0400230628729149","0.0326226786843757","0.0474234470614542"
"Mindestens einmal im Monat","1986","66 +","maennlich","8","0.0177042146947774","0.00497038734911021","0.0304380420404447"
"Mindestens einmal im Monat","1986","66 +","weiblich","10","","",""
"Mindestens einmal die Woche","1986","17-34","maennlich","912","0.445903484710154","0.424464648534146","0.467342320886161"
"Mindestens einmal die Woche","1986","17-34","weiblich","553","0.31757997670927","0.297172273444949","0.337987679973591"
"Mindestens einmal die Woche","1986","35-65","maennlich","535","0.230252059464861","0.214363532063454","0.246140586866269"
"Mindestens einmal die Woche","1986","35-65","weiblich","456","0.196979006194932","0.181963425682748","0.211994586707116"
"Mindestens einmal die Woche","1986","66 +","maennlich","37","0.082886849547982","0.0562640476950264","0.109509651400938"
"Mindestens einmal die Woche","1986","66 +","weiblich","39","0.0658548539791397","0.045992269556148","0.0857174384021313"
"Fast nie oder nie","1987","17-34","maennlich","","","",""
"Fast nie oder nie","1987","17-34","weiblich","","","",""
"Fast nie oder nie","1987","35-65","maennlich","","","",""
"Fast nie oder nie","1987","35-65","weiblich","","","",""
"Fast nie oder nie","1987","66 +","maennlich","","","",""
"Fast nie oder nie","1987","66 +","weiblich","","","",""
"Mehrmals im Jahr","1987","17-34","maennlich","","","",""
"Mehrmals im Jahr","1987","17-34","weiblich","","","",""
"Mehrmals im Jahr","1987","35-65","maennlich","","","",""
"Mehrmals im Jahr","1987","35-65","weiblich","","","",""
"Mehrmals im Jahr","1987","66 +","maennlich","","","",""
"Mehrmals im Jahr","1987","66 +","weiblich","","","",""
"Mindestens einmal im Monat","1987","17-34","maennlich","","","",""
"Mindestens einmal im Monat","1987","17-34","weiblich","","","",""
"Mindestens einmal im Monat","1987","35-65","maennlich","","","",""
"Mindestens einmal im Monat","1987","35-65","weiblich","","","",""
"Mindestens einmal im Monat","1987","66 +","maennlich","","","",""
"Mindestens einmal im Monat","1987","66 +","weiblich","","","",""
"Mindestens einmal die Woche","1987","17-34","maennlich","","","",""
"Mindestens einmal die Woche","1987","17-34","weiblich","","","",""
"Mindestens einmal die Woche","1987","35-65","maennlich","","","",""
"Mindestens einmal die Woche","1987","35-65","weiblich","","","",""
"Mindestens einmal die Woche","1987","66 +","maennlich","","","",""
"Mindestens einmal die Woche","1987","66 +","weiblich","","","",""
"Fast nie oder nie","1988","17-34","maennlich","606","0.297305290702067","0.277080536591975","0.317530044812158"
"Fast nie oder nie","1988","17-34","weiblich","862","0.387991342524653","0.365869823912058","0.410112861137247"
"Fast nie oder nie","1988","35-65","maennlich","1568","","",""
"Fast nie oder nie","1988","35-65","weiblich","1691","","",""
"Fast nie oder nie","1988","66 +","maennlich","341","0.832382832643278","0.796227116470039","0.868538548816517"
"Fast nie oder nie","1988","66 +","weiblich","531","0.87036245915464","0.843662427962434","0.897062490346846"
"Mehrmals im Jahr","1988","17-34","maennlich","374","0.201427594469248","0.183680991952546","0.219174196985951"
"Mehrmals im Jahr","1988","17-34","weiblich","357","0.208012674030276","0.189586755299218","0.226438592761335"
"Mehrmals im Jahr","1988","35-65","maennlich","312","0.140653766406492","0.127068988438524","0.15423854437446"
"Mehrmals im Jahr","1988","35-65","weiblich","256","","",""
"Mehrmals im Jahr","1988","66 +","maennlich","17","","",""
"Mehrmals im Jahr","1988","66 +","weiblich","15","","",""
"Mindestens einmal im Monat","1988","17-34","maennlich","149","","",""
"Mindestens einmal im Monat","1988","17-34","weiblich","130","","",""
"Mindestens einmal im Monat","1988","35-65","maennlich","132","","",""
"Mindestens einmal im Monat","1988","35-65","weiblich","91","0.0426515345249231","0.0347384358903166","0.0505646331595296"
"Mindestens einmal im Monat","1988","66 +","maennlich","10","","",""
"Mindestens einmal im Monat","1988","66 +","weiblich","8","0.014529846336486","0.00501835646317986","0.0240413362097921"
"Mindestens einmal die Woche","1988","17-34","maennlich","833","0.429518140173486","0.407614804222862","0.451421476124111"
"Mindestens einmal die Woche","1988","17-34","weiblich","515","0.322781543355097","0.301556730152148","0.344006356558046"
"Mindestens einmal die Woche","1988","35-65","maennlich","504","0.22653976051841","0.210183501185396","0.242896019851424"
"Mindestens einmal die Woche","1988","35-65","weiblich","467","0.217472041687666","0.201317454174832","0.233626629200501"
"Mindestens einmal die Woche","1988","66 +","maennlich","42","0.101997248203155","0.0727025367990068","0.131291959607303"
"Mindestens einmal die Woche","1988","66 +","weiblich","54","0.0892975028833154","0.0666299716765007","0.11196503409013"
"Fast nie oder nie","1989","17-34","maennlich","","","",""
"Fast nie oder nie","1989","17-34","weiblich","","","",""
"Fast nie oder nie","1989","35-65","maennlich","","","",""
"Fast nie oder nie","1989","35-65","weiblich","","","",""
"Fast nie oder nie","1989","66 +","maennlich","","","",""
"Fast nie oder nie","1989","66 +","weiblich","","","",""
"Mehrmals im Jahr","1989","17-34","maennlich","","","",""
"Mehrmals im Jahr","1989","17-34","weiblich","","","",""
"Mehrmals im Jahr","1989","35-65","maennlich","","","",""
"Mehrmals im Jahr","1989","35-65","weiblich","","","",""
"Mehrmals im Jahr","1989","66 +","maennlich","","","",""
"Mehrmals im Jahr","1989","66 +","weiblich","","","",""
"Mindestens einmal im Monat","1989","17-34","maennlich","","","",""
"Mindestens einmal im Monat","1989","17-34","weiblich","","","",""
"Mindestens einmal im Monat","1989","35-65","maennlich","","","",""
"Mindestens einmal im Monat","1989","35-65","weiblich","","","",""
"Mindestens einmal im Monat","1989","66 +","maennlich","","","",""
"Mindestens einmal im Monat","1989","66 +","weiblich","","","",""
"Mindestens einmal die Woche","1989","17-34","maennlich","","","",""
"Mindestens einmal die Woche","1989","17-34","weiblich","","","",""
"Mindestens einmal die Woche","1989","35-65","maennlich","","","",""
"Mindestens einmal die Woche","1989","35-65","weiblich","","","",""
"Mindestens einmal die Woche","1989","66 +","maennlich","","","",""
"Mindestens einmal die Woche","1989","66 +","weiblich","","","",""
"Fast nie oder nie","1990","17-34","maennlich","817","0.248002803207794","0.231606879453731","0.264398726961858"
"Fast nie oder nie","1990","17-34","weiblich","1134","","",""
"Fast nie oder nie","1990","35-65","maennlich","1836","","",""
"Fast nie oder nie","1990","35-65","weiblich","2195","","",""
"Fast nie oder nie","1990","66 +","maennlich","416","0.747493121728689","0.710985053968733","0.784001189488646"
"Fast nie oder nie","1990","66 +","weiblich","757","0.841240905135287","0.817190866455022","0.865290943815552"
"Mehrmals im Jahr","1990","17-34","maennlich","583","0.229574340278588","0.213607222592305","0.24554145796487"
"Mehrmals im Jahr","1990","17-34","weiblich","590","0.249985669917066","0.233418111395035","0.266553228439097"
"Mehrmals im Jahr","1990","35-65","maennlich","662","0.220103828222194","0.206328470709442","0.233879185734947"
"Mehrmals im Jahr","1990","35-65","weiblich","498","0.162489312316146","0.150253901585165","0.174724723047127"
"Mehrmals im Jahr","1990","66 +","maennlich","46","0.0930417596177125","0.0686310027969949","0.11745251643843"
"Mehrmals im Jahr","1990","66 +","weiblich","38","0.0453530906656225","0.0316596964660864","0.0590464848651586"
"Mindestens einmal im Monat","1990","17-34","maennlich","258","","",""
"Mindestens einmal im Monat","1990","17-34","weiblich","195","","",""
"Mindestens einmal im Monat","1990","35-65","maennlich","282","","",""
"Mindestens einmal im Monat","1990","35-65","weiblich","179","","",""
"Mindestens einmal im Monat","1990","66 +","maennlich","15","","",""
"Mindestens einmal im Monat","1990","66 +","weiblich","20","","",""
"Mindestens einmal die Woche","1990","17-34","maennlich","1007","","",""
"Mindestens einmal die Woche","1990","17-34","weiblich","705","0.333182134086148","0.315147362672927","0.35121690549937"
"Mindestens einmal die Woche","1990","35-65","maennlich","695","0.235470918905421","0.221363864842108","0.249577972968734"
"Mindestens einmal die Woche","1990","35-65","weiblich","620","0.229964735807148","0.216007580773969","0.243921890840326"
"Mindestens einmal die Woche","1990","66 +","maennlich","67","0.125350087394402","0.0975255411785709","0.153174633610233"
"Mindestens einmal die Woche","1990","66 +","weiblich","72","0.0852543627212592","0.0668765102568203","0.103632215185698"
"Fast nie oder nie","1991","17-34","maennlich","","","",""
"Fast nie oder nie","1991","17-34","weiblich","","","",""
"Fast nie oder nie","1991","35-65","maennlich","","","",""
"Fast nie oder nie","1991","35-65","weiblich","","","",""
"Fast nie oder nie","1991","66 +","maennlich","","","",""
"Fast nie oder nie","1991","66 +","weiblich","","","",""
"Mehrmals im Jahr","1991","17-34","maennlich","","","",""
"Mehrmals im Jahr","1991","17-34","weiblich","","","",""
"Mehrmals im Jahr","1991","35-65","maennlich","","","",""
"Mehrmals im Jahr","1991","35-65","weiblich","","","",""
"Mehrmals im Jahr","1991","66 +","maennlich","","","",""
"Mehrmals im Jahr","1991","66 +","weiblich","","","",""
"Mindestens einmal im Monat","1991","17-34","maennlich","","","",""
"Mindestens einmal im Monat","1991","17-34","weiblich","","","",""
"Mindestens einmal im Monat","1991","35-65","maennlich","","","",""
"Mindestens einmal im Monat","1991","35-65","weiblich","","","",""
"Mindestens einmal im Monat","1991","66 +","maennlich","","","",""
"Mindestens einmal im Monat","1991","66 +","weiblich","","","",""
"Mindestens einmal die Woche","1991","17-34","maennlich","","","",""
"Mindestens einmal die Woche","1991","17-34","weiblich","","","",""
"Mindestens einmal die Woche","1991","35-65","maennlich","","","",""
"Mindestens einmal die Woche","1991","35-65","weiblich","","","",""
"Mindestens einmal die Woche","1991","66 +","maennlich","","","",""
"Mindestens einmal die Woche","1991","66 +","weiblich","","","",""
"Fast nie oder nie","1992","17-34","maennlich","771","0.290092268707793","0.272170332988238","0.308014204427348"
"Fast nie oder nie","1992","17-34","weiblich","1082","","",""
"Fast nie oder nie","1992","35-65","maennlich","2007","","",""
"Fast nie oder nie","1992","35-65","weiblich","2271","","",""
"Fast nie oder nie","1992","66 +","maennlich","451","0.826262254189819","0.79418687907053","0.858337629309108"
"Fast nie oder nie","1992","66 +","weiblich","758","0.872594229063113","0.850387230559949","0.894801227566277"
"Mehrmals im Jahr","1992","17-34","maennlich","528","0.213117806195201","0.196945177621427","0.229290434768974"
"Mehrmals im Jahr","1992","17-34","weiblich","558","0.238726746349735","0.221856549807544","0.255596942891927"
"Mehrmals im Jahr","1992","35-65","maennlich","604","0.187791881443035","0.174584547506803","0.200999215379267"
"Mehrmals im Jahr","1992","35-65","weiblich","452","0.138228208057988","0.126615041965561","0.149841374150415"
"Mehrmals im Jahr","1992","66 +","maennlich","18","","",""
"Mehrmals im Jahr","1992","66 +","weiblich","22","","",""
"Mindestens einmal im Monat","1992","17-34","maennlich","263","","",""
"Mindestens einmal im Monat","1992","17-34","weiblich","160","","",""
"Mindestens einmal im Monat","1992","35-65","maennlich","187","","",""
"Mindestens einmal im Monat","1992","35-65","weiblich","129","","",""
"Mindestens einmal im Monat","1992","66 +","maennlich","11","","",""
"Mindestens einmal im Monat","1992","66 +","weiblich","12","","",""
"Mindestens einmal die Woche","1992","17-34","maennlich","901","0.384245626916243","0.36503577113919","0.403455482693296"
"Mindestens einmal die Woche","1992","17-34","weiblich","653","0.314809949932929","0.296430645732342","0.333189254133517"
"Mindestens einmal die Woche","1992","35-65","maennlich","561","0.196897710670886","0.183449984587893","0.210345436753879"
"Mindestens einmal die Woche","1992","35-65","weiblich","541","0.196895034032275","0.183514923588389","0.210275144476161"
"Mindestens einmal die Woche","1992","66 +","maennlich","56","0.113484964474355","0.0866328857317291","0.140337043216981"
"Mindestens einmal die Woche","1992","66 +","weiblich","74","0.0926864985603179","0.0733723276658552","0.112000669454781"
"Fast nie oder nie","1993","17-34","maennlich","","","",""
"Fast nie oder nie","1993","17-34","weiblich","","","",""
"Fast nie oder nie","1993","35-65","maennlich","","","",""
"Fast nie oder nie","1993","35-65","weiblich","","","",""
"Fast nie oder nie","1993","66 +","maennlich","","","",""
"Fast nie oder nie","1993","66 +","weiblich","","","",""
"Mehrmals im Jahr","1993","17-34","maennlich","","","",""
"Mehrmals im Jahr","1993","17-34","weiblich","","","",""
"Mehrmals im Jahr","1993","35-65","maennlich","","","",""
"Mehrmals im Jahr","1993","35-65","weiblich","","","",""
"Mehrmals im Jahr","1993","66 +","maennlich","","","",""
"Mehrmals im Jahr","1993","66 +","weiblich","","","",""
"Mindestens einmal im Monat","1993","17-34","maennlich","","","",""
"Mindestens einmal im Monat","1993","17-34","weiblich","","","",""
"Mindestens einmal im Monat","1993","35-65","maennlich","","","",""
"Mindestens einmal im Monat","1993","35-65","weiblich","","","",""
"Mindestens einmal im Monat","1993","66 +","maennlich","","","",""
"Mindestens einmal im Monat","1993","66 +","weiblich","","","",""
"Mindestens einmal die Woche","1993","17-34","maennlich","","","",""
"Mindestens einmal die Woche","1993","17-34","weiblich","","","",""
"Mindestens einmal die Woche","1993","35-65","maennlich","","","",""
"Mindestens einmal die Woche","1993","35-65","weiblich","","","",""
"Mindestens einmal die Woche","1993","66 +","maennlich","","","",""
"Mindestens einmal die Woche","1993","66 +","weiblich","","","",""
"Fast nie oder nie","1994","17-34","maennlich","662","0.26501994564165","0.247164585954611","0.282875305328689"
"Fast nie oder nie","1994","17-34","weiblich","1019","","",""
"Fast nie oder nie","1994","35-65","maennlich","1893","","",""
"Fast nie oder nie","1994","35-65","weiblich","2154","","",""
"Fast nie oder nie","1994","66 +","maennlich","454","0.814925676042704","0.782528240184716","0.847323111900692"
"Fast nie oder nie","1994","66 +","weiblich","781","0.874035038324096","0.852174253142701","0.895895823505492"
"Mehrmals im Jahr","1994","17-34","maennlich","558","0.244198522739919","0.226817836060778","0.261579209419059"
"Mehrmals im Jahr","1994","17-34","weiblich","595","0.23417508957892","0.217246688063707","0.251103491094133"
"Mehrmals im Jahr","1994","35-65","maennlich","610","0.204199524511723","0.190271660059268","0.218127388964177"
"Mehrmals im Jahr","1994","35-65","weiblich","456","0.152138044317447","0.139801674451869","0.164474414183024"
"Mehrmals im Jahr","1994","66 +","maennlich","32","0.0698590808465624","0.0485941310867243","0.0911240306064006"
"Mehrmals im Jahr","1994","66 +","weiblich","23","","",""
"Mindestens einmal im Monat","1994","17-34","maennlich","249","","",""
"Mindestens einmal im Monat","1994","17-34","weiblich","186","","",""
"Mindestens einmal im Monat","1994","35-65","maennlich","186","","",""
"Mindestens einmal im Monat","1994","35-65","weiblich","133","","",""
"Mindestens einmal im Monat","1994","66 +","maennlich","10","","",""
"Mindestens einmal im Monat","1994","66 +","weiblich","10","","",""
"Mindestens einmal die Woche","1994","17-34","maennlich","878","0.395500425775201","0.375718752544835","0.415282099005567"
"Mindestens einmal die Woche","1994","17-34","weiblich","604","0.305263927562863","0.286854998351432","0.323672856774293"
"Mindestens einmal die Woche","1994","35-65","maennlich","529","0.194886190559095","0.181200262829879","0.208572118288312"
"Mindestens einmal die Woche","1994","35-65","weiblich","513","0.202486320453373","0.188683342073209","0.216289298833538"
"Mindestens einmal die Woche","1994","66 +","maennlich","56","0.100471697401984","0.075392834684912","0.125550560119056"
"Mindestens einmal die Woche","1994","66 +","weiblich","71","0.0864883650337099","0.0679695863756688","0.105007143691751"
"Fast nie oder nie","1995","17-34","maennlich","516","0.192659046173304","0.176945883644329","0.208372208702279"
"Fast nie oder nie","1995","17-34","weiblich","774","0.264522648810095","0.247159603013988","0.281885694606201"
"Fast nie oder nie","1995","35-65","maennlich","1567","","",""
"Fast nie oder nie","1995","35-65","weiblich","1800","","",""
"Fast nie oder nie","1995","66 +","maennlich","430","0.723318153119886","0.686942144829518","0.759694161410254"
"Fast nie oder nie","1995","66 +","weiblich","744","0.805189146221519","0.779526994113018","0.83085129833002"
"Mehrmals im Jahr","1995","17-34","maennlich","613","0.255128550877077","0.237760119254581","0.272496982499574"
"Mehrmals im Jahr","1995","17-34","weiblich","647","0.256489367135617","0.239298883214527","0.273679851056706"
"Mehrmals im Jahr","1995","35-65","maennlich","826","0.24384965448984","0.229349830338923","0.258349478640757"
"Mehrmals im Jahr","1995","35-65","weiblich","730","0.2188517712877","0.204992503069095","0.232711039506304"
"Mehrmals im Jahr","1995","66 +","maennlich","55","0.108876654261919","0.083548921283401","0.134204387240436"
"Mehrmals im Jahr","1995","66 +","weiblich","57","0.0648734880224569","0.0489144630798461","0.0808325129650677"
"Mindestens einmal im Monat","1995","17-34","maennlich","267","","",""
"Mindestens einmal im Monat","1995","17-34","weiblich","232","","",""
"Mindestens einmal im Monat","1995","35-65","maennlich","246","","",""
"Mindestens einmal im Monat","1995","35-65","weiblich","168","","",""
"Mindestens einmal im Monat","1995","66 +","maennlich","23","","",""
"Mindestens einmal im Monat","1995","66 +","weiblich","19","","",""
"Mindestens einmal die Woche","1995","17-34","maennlich","1024","","",""
"Mindestens einmal die Woche","1995","17-34","weiblich","826","0.391053696405059","0.371844131660471","0.410263261149647"
"Mindestens einmal die Woche","1995","35-65","maennlich","730","0.257780497465256","0.243010215193804","0.272550779736708"
"Mindestens einmal die Woche","1995","35-65","weiblich","721","0.261241043886496","0.246515524380348","0.275966563392644"
"Mindestens einmal die Woche","1995","66 +","maennlich","73","0.133119174037442","0.105496861774257","0.160741486300627"
"Mindestens einmal die Woche","1995","66 +","weiblich","95","0.107625734396487","0.0875454838768997","0.127705984916074"
"Fast nie oder nie","1996","17-34","maennlich","570","0.231226711730091","0.214151236882746","0.248302186577435"
"Fast nie oder nie","1996","17-34","weiblich","916","0.335076548696801","0.316176517277284","0.353976580116317"
"Fast nie oder nie","1996","35-65","maennlich","1750","","",""
"Fast nie oder nie","1996","35-65","weiblich","1989","","",""
"Fast nie oder nie","1996","66 +","maennlich","456","0.730334572450118","0.694735843569456","0.765933301330779"
"Fast nie oder nie","1996","66 +","weiblich","776","0.818792188769409","0.793982695129761","0.843601682409057"
"Mehrmals im Jahr","1996","17-34","maennlich","619","0.263660273985207","0.245815292119134","0.281505255851281"
"Mehrmals im Jahr","1996","17-34","weiblich","652","0.263761591186446","0.246116671074586","0.281406511298306"
"Mehrmals im Jahr","1996","35-65","maennlich","730","0.225574977627894","0.211340613314615","0.239809341941174"
"Mehrmals im Jahr","1996","35-65","weiblich","597","0.186957075466562","0.17379584769938","0.200118303233744"
"Mehrmals im Jahr","1996","66 +","maennlich","58","0.105371905941477","0.0807430289687104","0.130000782914243"
"Mehrmals im Jahr","1996","66 +","weiblich","37","0.0457624182875585","0.0323030294697709","0.0592218071053461"
"Mindestens einmal im Monat","1996","17-34","maennlich","270","","",""
"Mindestens einmal im Monat","1996","17-34","weiblich","214","","",""
"Mindestens einmal im Monat","1996","35-65","maennlich","215","","",""
"Mindestens einmal im Monat","1996","35-65","weiblich","170","","",""
"Mindestens einmal im Monat","1996","66 +","maennlich","25","","",""
"Mindestens einmal im Monat","1996","66 +","weiblich","23","","",""
"Mindestens einmal die Woche","1996","17-34","maennlich","883","0.402330399740561","0.382470518219258","0.422190281261865"
"Mindestens einmal die Woche","1996","17-34","weiblich","614","0.312346974879234","0.293789964307843","0.330903985450626"
"Mindestens einmal die Woche","1996","35-65","maennlich","617","0.227878424733886","0.213592861256405","0.242163988211367"
"Mindestens einmal die Woche","1996","35-65","weiblich","615","0.222729055351365","0.208683355967717","0.236774754735012"
"Mindestens einmal die Woche","1996","66 +","maennlich","58","0.107092741053998","0.0822874618624559","0.131898020245541"
"Mindestens einmal die Woche","1996","66 +","weiblich","90","0.109994350762276","0.0898420716464553","0.130146629878097"
"Fast nie oder nie","1997","17-34","maennlich","592","0.24404964274858","0.226453765601211","0.261645519895948"
"Fast nie oder nie","1997","17-34","weiblich","877","0.346935945199762","0.327470240404322","0.366401649995202"
"Fast nie oder nie","1997","35-65","maennlich","1774","","",""
"Fast nie oder nie","1997","35-65","weiblich","2009","","",""
"Fast nie oder nie","1997","66 +","maennlich","491","0.781320689976175","0.748810403170473","0.813830976781878"
"Fast nie oder nie","1997","66 +","weiblich","758","0.820692774942057","0.795741406653228","0.845644143230885"
"Mehrmals im Jahr","1997","17-34","maennlich","564","0.246385619324682","0.228733068878605","0.264038169770758"
"Mehrmals im Jahr","1997","17-34","weiblich","623","0.271614969585998","0.253425294140847","0.289804645031149"
"Mehrmals im Jahr","1997","35-65","maennlich","647","0.203489956114917","0.189631696176368","0.217348216053465"
"Mehrmals im Jahr","1997","35-65","weiblich","551","0.172519591484047","0.159690566075154","0.185348616892941"
"Mehrmals im Jahr","1997","66 +","maennlich","47","0.0737612597738893","0.0532033988147309","0.0943191207330477"
"Mehrmals im Jahr","1997","66 +","weiblich","41","0.0487291364332931","0.0347251519227131","0.062733120943873"
"Mindestens einmal im Monat","1997","17-34","maennlich","244","","",""
"Mindestens einmal im Monat","1997","17-34","weiblich","159","","",""
"Mindestens einmal im Monat","1997","35-65","maennlich","189","","",""
"Mindestens einmal im Monat","1997","35-65","weiblich","141","","",""
"Mindestens einmal im Monat","1997","66 +","maennlich","17","","",""
"Mindestens einmal im Monat","1997","66 +","weiblich","7","0.010433999319108","0.00382473757339181","0.0170432610648242"
"Mindestens einmal die Woche","1997","17-34","maennlich","889","0.407403867752966","0.387275100654718","0.427532634851214"
"Mindestens einmal die Woche","1997","17-34","weiblich","638","0.315363984149056","0.296361800496543","0.334366167801568"
"Mindestens einmal die Woche","1997","35-65","maennlich","632","0.234262160798109","0.21968299374109","0.248841327855128"
"Mindestens einmal die Woche","1997","35-65","weiblich","631","0.236513310109103","0.22208471246244","0.250941907755766"
"Mindestens einmal die Woche","1997","66 +","maennlich","66","0.118754041012647","0.0933106461070656","0.144197435918228"
"Mindestens einmal die Woche","1997","66 +","weiblich","102","","",""
"Fast nie oder nie","1998","17-34","maennlich","500","0.19192160610442","0.17616286033734","0.2076803518715"
"Fast nie oder nie","1998","17-34","weiblich","684","0.247652884973975","0.230497631807895","0.264808138140055"
"Fast nie oder nie","1998","35-65","maennlich","1530","","",""
"Fast nie oder nie","1998","35-65","weiblich","1790","","",""
"Fast nie oder nie","1998","66 +","maennlich","530","0.687646739022081","0.654411905613311","0.720881572430851"
"Fast nie oder nie","1998","66 +","weiblich","850","0.782063315084354","0.757407102442051","0.806719527726656"
"Mehrmals im Jahr","1998","17-34","maennlich","612","0.245348958242292","0.228130345279682","0.262567571204902"
"Mehrmals im Jahr","1998","17-34","weiblich","664","0.263459528261607","0.245952131725521","0.280966924797693"
