"m11104","year","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Mindestens einmal die Woche","1988","Westdeutschland","2415","","",""
"Mindestens einmal die Woche","1988","Ostdeutschland","","","",""
"Fast nie oder nie","1989","Westdeutschland","","","",""
"Fast nie oder nie","1989","Ostdeutschland","","","",""
"Mehrmals im Jahr","1989","Westdeutschland","","","",""
"Mehrmals im Jahr","1989","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1989","Westdeutschland","","","",""
"Mindestens einmal im Monat","1989","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1989","Westdeutschland","","","",""
"Mindestens einmal die Woche","1989","Ostdeutschland","","","",""
"Fast nie oder nie","1990","Westdeutschland","4218","0.425174100971494","0.415180184188127","0.435168017754862"
"Fast nie oder nie","1990","Ostdeutschland","2937","","",""
"Mehrmals im Jahr","1990","Westdeutschland","1789","","",""
"Mehrmals im Jahr","1990","Ostdeutschland","628","0.133352691255535","0.123176308390424","0.143529074120646"
"Mindestens einmal im Monat","1990","Westdeutschland","802","0.0873597815809367","0.0816517057278531","0.0930678574340204"
"Mindestens einmal im Monat","1990","Ostdeutschland","147","","",""
"Mindestens einmal die Woche","1990","Westdeutschland","2591","","",""
"Mindestens einmal die Woche","1990","Ostdeutschland","575","0.127254636282346","0.117278739856467","0.137230532708224"
"Fast nie oder nie","1991","Westdeutschland","","","",""
"Fast nie oder nie","1991","Ostdeutschland","","","",""
"Mehrmals im Jahr","1991","Westdeutschland","","","",""
"Mehrmals im Jahr","1991","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1991","Westdeutschland","","","",""
"Mindestens einmal im Monat","1991","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1991","Westdeutschland","","","",""
"Mindestens einmal die Woche","1991","Ostdeutschland","","","",""
"Fast nie oder nie","1992","Westdeutschland","4765","0.516373861882469","0.506131102040718","0.526616621724221"
"Fast nie oder nie","1992","Ostdeutschland","2575","","",""
"Mehrmals im Jahr","1992","Westdeutschland","1473","","",""
"Mehrmals im Jahr","1992","Ostdeutschland","709","0.158453207794535","0.147030670211615","0.169875745377455"
"Mindestens einmal im Monat","1992","Westdeutschland","617","0.0675763222886027","0.0624313397493366","0.0727213048278687"
"Mindestens einmal im Monat","1992","Ostdeutschland","145","","",""
"Mindestens einmal die Woche","1992","Westdeutschland","2289","","",""
"Mindestens einmal die Woche","1992","Ostdeutschland","497","0.120938948993333","0.110739761925942","0.131138136060725"
"Fast nie oder nie","1993","Westdeutschland","","","",""
"Fast nie oder nie","1993","Ostdeutschland","","","",""
"Mehrmals im Jahr","1993","Westdeutschland","","","",""
"Mehrmals im Jahr","1993","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1993","Westdeutschland","","","",""
"Mindestens einmal im Monat","1993","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1993","Westdeutschland","","","",""
"Mindestens einmal die Woche","1993","Ostdeutschland","","","",""
"Fast nie oder nie","1994","Westdeutschland","4510","0.502462736192221","0.492104130310857","0.512821342073585"
"Fast nie oder nie","1994","Ostdeutschland","2453","","",""
"Mehrmals im Jahr","1994","Westdeutschland","1625","","",""
"Mehrmals im Jahr","1994","Ostdeutschland","649","0.152423765362383","0.140861049977181","0.163986480747585"
"Mindestens einmal im Monat","1994","Westdeutschland","625","0.0651032776861496","0.05999211365355","0.0702144417187492"
"Mindestens einmal im Monat","1994","Ostdeutschland","149","","",""
"Mindestens einmal die Woche","1994","Westdeutschland","2190","","",""
"Mindestens einmal die Woche","1994","Ostdeutschland","461","0.116621917461738","0.106296502697095","0.126947332226381"
"Fast nie oder nie","1995","Westdeutschland","4128","0.41831352476219","0.408405154101994","0.428221895422385"
"Fast nie oder nie","1995","Ostdeutschland","1703","","",""
"Mehrmals im Jahr","1995","Westdeutschland","1910","","",""
"Mehrmals im Jahr","1995","Ostdeutschland","1018","","",""
"Mindestens einmal im Monat","1995","Westdeutschland","727","0.075726050198225","0.0704119490392062","0.0810401513572438"
"Mindestens einmal im Monat","1995","Ostdeutschland","228","","",""
"Mindestens einmal die Woche","1995","Westdeutschland","2756","","",""
"Mindestens einmal die Woche","1995","Ostdeutschland","713","0.180735355462939","0.16827235570896","0.193198355216918"
"Fast nie oder nie","1996","Westdeutschland","4393","0.462979389375995","0.452840435043838","0.473118343708151"
"Fast nie oder nie","1996","Ostdeutschland","2064","","",""
"Mehrmals im Jahr","1996","Westdeutschland","1890","","",""
"Mehrmals im Jahr","1996","Ostdeutschland","803","0.201090127093173","0.188092396730409","0.214087857455937"
"Mindestens einmal im Monat","1996","Westdeutschland","714","0.0748749278394667","0.069523307508676","0.0802265481702573"
"Mindestens einmal im Monat","1996","Ostdeutschland","203","","",""
"Mindestens einmal die Woche","1996","Westdeutschland","2294","","",""
"Mindestens einmal die Woche","1996","Ostdeutschland","583","0.146419787090509","0.134955546017747","0.157884028163271"
"Fast nie oder nie","1997","Westdeutschland","4421","0.48260237072309","0.472335024637157","0.492869716809024"
"Fast nie oder nie","1997","Ostdeutschland","2080","","",""
"Mehrmals im Jahr","1997","Westdeutschland","1709","","",""
"Mehrmals im Jahr","1997","Ostdeutschland","764","0.198199536620481","0.18515930409379","0.211239769147172"
"Mindestens einmal im Monat","1997","Westdeutschland","598","0.0612409622826938","0.0563143393153325","0.0661675852500551"
"Mindestens einmal im Monat","1997","Ostdeutschland","159","","",""
"Mindestens einmal die Woche","1997","Westdeutschland","2371","","",""
"Mindestens einmal die Woche","1997","Ostdeutschland","587","0.149956856889793","0.138277887626603","0.161635826152982"
"Fast nie oder nie","1998","Westdeutschland","4192","0.40180817872535","0.392330493523175","0.411285863927526"
"Fast nie oder nie","1998","Ostdeutschland","1692","","",""
"Mehrmals im Jahr","1998","Westdeutschland","2154","","",""
"Mehrmals im Jahr","1998","Ostdeutschland","1037","","",""
"Mindestens einmal im Monat","1998","Westdeutschland","853","0.0811153308100549","0.0758375101029473","0.0863931515171626"
"Mindestens einmal im Monat","1998","Ostdeutschland","249","","",""
"Mindestens einmal die Woche","1998","Westdeutschland","3080","0.317558137147305","0.308558663476729","0.326557610817881"
"Mindestens einmal die Woche","1998","Ostdeutschland","854","0.207892325932501","0.195043995999728","0.220740655865274"
"Fast nie oder nie","1999","Westdeutschland","4508","0.467474033423288","0.45759417598849","0.477353890858087"
"Fast nie oder nie","1999","Ostdeutschland","2064","","",""
"Mehrmals im Jahr","1999","Westdeutschland","1967","","",""
"Mehrmals im Jahr","1999","Ostdeutschland","808","0.205836336546621","0.192876892036913","0.21879578105633"
"Mindestens einmal im Monat","1999","Westdeutschland","709","0.0676970219264962","0.0627223453048634","0.0726716985481289"
"Mindestens einmal im Monat","1999","Ostdeutschland","210","","",""
"Mindestens einmal die Woche","1999","Westdeutschland","2613","","",""
"Mindestens einmal die Woche","1999","Ostdeutschland","657","0.165367260564972","0.153459150704158","0.177275370425787"
"Fast nie oder nie","2000","Westdeutschland","","","",""
"Fast nie oder nie","2000","Ostdeutschland","","","",""
"Mehrmals im Jahr","2000","Westdeutschland","","","",""
"Mehrmals im Jahr","2000","Ostdeutschland","","","",""
"Mindestens einmal im Monat","2000","Westdeutschland","","","",""
"Mindestens einmal im Monat","2000","Ostdeutschland","","","",""
"Mindestens einmal die Woche","2000","Westdeutschland","","","",""
"Mindestens einmal die Woche","2000","Ostdeutschland","","","",""
"Fast nie oder nie","2001","Westdeutschland","7839","0.488910247115105","0.481243141368226","0.496577352861984"
"Fast nie oder nie","2001","Ostdeutschland","2993","","",""
"Mehrmals im Jahr","2001","Westdeutschland","2676","","",""
"Mehrmals im Jahr","2001","Ostdeutschland","999","0.167590012443229","0.157621609409657","0.177558415476801"
"Mindestens einmal im Monat","2001","Westdeutschland","1083","","",""
"Mindestens einmal im Monat","2001","Ostdeutschland","279","","",""
"Mindestens einmal die Woche","2001","Westdeutschland","4731","0.287923401543115","0.280978435358977","0.294868367727253"
"Mindestens einmal die Woche","2001","Ostdeutschland","1122","","",""
"Fast nie oder nie","2002","Westdeutschland","","","",""
"Fast nie oder nie","2002","Ostdeutschland","","","",""
"Mehrmals im Jahr","2002","Westdeutschland","","","",""
"Mehrmals im Jahr","2002","Ostdeutschland","","","",""
"Mindestens einmal im Monat","2002","Westdeutschland","","","",""
"Mindestens einmal im Monat","2002","Ostdeutschland","","","",""
"Mindestens einmal die Woche","2002","Westdeutschland","","","",""
"Mindestens einmal die Woche","2002","Ostdeutschland","","","",""
"Fast nie oder nie","2003","Westdeutschland","6062","0.396133003620645","0.38871643510519","0.4035495721361"
"Fast nie oder nie","2003","Ostdeutschland","2147","","",""
"Mehrmals im Jahr","2003","Westdeutschland","3051","0.183033045676697","0.177169249706165","0.188896841647228"
"Mehrmals im Jahr","2003","Ostdeutschland","1216","","",""
"Mindestens einmal im Monat","2003","Westdeutschland","1327","","",""
"Mindestens einmal im Monat","2003","Ostdeutschland","398","0.0701396685501544","0.0632790926570542","0.0770002444432547"
"Mindestens einmal die Woche","2003","Westdeutschland","6266","0.344477194015861","0.337271331151709","0.351683056880013"
"Mindestens einmal die Woche","2003","Ostdeutschland","1562","","",""
"Fast nie oder nie","2004","Westdeutschland","","","",""
"Fast nie oder nie","2004","Ostdeutschland","","","",""
"Mehrmals im Jahr","2004","Westdeutschland","","","",""
"Mehrmals im Jahr","2004","Ostdeutschland","","","",""
"Mindestens einmal im Monat","2004","Westdeutschland","","","",""
"Mindestens einmal im Monat","2004","Ostdeutschland","","","",""
"Mindestens einmal die Woche","2004","Westdeutschland","","","",""
"Mindestens einmal die Woche","2004","Ostdeutschland","","","",""
"Fast nie oder nie","2005","Westdeutschland","6033","0.418233971616268","0.410481275483581","0.425986667748955"
"Fast nie oder nie","2005","Ostdeutschland","2291","","",""
"Mehrmals im Jahr","2005","Westdeutschland","2767","","",""
"Mehrmals im Jahr","2005","Ostdeutschland","1099","","",""
"Mindestens einmal im Monat","2005","Westdeutschland","1251","","",""
"Mindestens einmal im Monat","2005","Ostdeutschland","367","0.0695278608736231","0.0624834115100127","0.0765723102372334"
"Mindestens einmal die Woche","2005","Westdeutschland","5500","0.323154427732749","0.315803895575891","0.330504959889607"
"Mindestens einmal die Woche","2005","Ostdeutschland","1251","","",""
"Fast nie oder nie","2006","Westdeutschland","","","",""
"Fast nie oder nie","2006","Ostdeutschland","","","",""
"Mehrmals im Jahr","2006","Westdeutschland","","","",""
"Mehrmals im Jahr","2006","Ostdeutschland","","","",""
"Mindestens einmal im Monat","2006","Westdeutschland","","","",""
"Mindestens einmal im Monat","2006","Ostdeutschland","","","",""
"Mindestens einmal die Woche","2006","Westdeutschland","","","",""
"Mindestens einmal die Woche","2006","Ostdeutschland","","","",""
"Fast nie oder nie","2007","Westdeutschland","5869","0.403386623261698","0.395640288002356","0.41113295852104"
"Fast nie oder nie","2007","Ostdeutschland","2278","","",""
"Mehrmals im Jahr","2007","Westdeutschland","2592","","",""
"Mehrmals im Jahr","2007","Ostdeutschland","1037","","",""
"Mindestens einmal im Monat","2007","Westdeutschland","1155","","",""
"Mindestens einmal im Monat","2007","Ostdeutschland","343","0.0674494804910843","0.0604859715731594","0.0744129894090092"
"Mindestens einmal die Woche","2007","Westdeutschland","5791","0.352300570196003","0.344757772145647","0.35984336824636"
"Mindestens einmal die Woche","2007","Ostdeutschland","1325","","",""
"Fast nie oder nie","2008","Westdeutschland","4564","0.334882604847023","0.327191046380504","0.342574163313542"
"Fast nie oder nie","2008","Ostdeutschland","1755","","",""
"Mehrmals im Jahr","2008","Westdeutschland","2589","","",""
"Mehrmals im Jahr","2008","Ostdeutschland","1056","","",""
"Mindestens einmal im Monat","2008","Westdeutschland","1147","","",""
"Mindestens einmal im Monat","2008","Ostdeutschland","332","0.0712576815127053","0.0639395209058531","0.0785758421195576"
"Mindestens einmal die Woche","2008","Westdeutschland","6163","0.403159897273631","0.395165484670265","0.411154309876998"
"Mindestens einmal die Woche","2008","Ostdeutschland","1604","","",""
"Fast nie oder nie","2009","Westdeutschland","4850","0.371203463382645","0.363025533801182","0.379381392964108"
"Fast nie oder nie","2009","Ostdeutschland","2015","","",""
"Mehrmals im Jahr","2009","Westdeutschland","2310","","",""
"Mehrmals im Jahr","2009","Ostdeutschland","899","0.18720729728363","0.175825395592587","0.198589198974674"
"Mindestens einmal im Monat","2009","Westdeutschland","989","0.0773198203803575","0.0727986247383847","0.0818410160223303"
"Mindestens einmal im Monat","2009","Ostdeutschland","341","0.0743727346894435","0.0667169715165098","0.0820284978623773"
"Mindestens einmal die Woche","2009","Westdeutschland","5258","0.374951018370293","0.366756440603849","0.383145596136737"
"Mindestens einmal die Woche","2009","Ostdeutschland","1257","","",""
"Fast nie oder nie","2010","Westdeutschland","","","",""
"Fast nie oder nie","2010","Ostdeutschland","","","",""
"Mehrmals im Jahr","2010","Westdeutschland","","","",""
"Mehrmals im Jahr","2010","Ostdeutschland","","","",""
"Mindestens einmal im Monat","2010","Westdeutschland","","","",""
"Mindestens einmal im Monat","2010","Ostdeutschland","","","",""
"Mindestens einmal die Woche","2010","Westdeutschland","","","",""
"Mindestens einmal die Woche","2010","Ostdeutschland","","","",""
"Fast nie oder nie","2011","Westdeutschland","8514","0.394460915065467","0.387998331950216","0.400923498180718"
"Fast nie oder nie","2011","Ostdeutschland","3008","0.466171112762884","0.453841042848893","0.478501182676874"
"Mehrmals im Jahr","2011","Westdeutschland","3497","0.159287642896047","0.154448729818386","0.164126555973707"
"Mehrmals im Jahr","2011","Ostdeutschland","1086","","",""
"Mindestens einmal im Monat","2011","Westdeutschland","1402","","",""
"Mindestens einmal im Monat","2011","Ostdeutschland","404","0.0641783813685472","0.0581210303531666","0.0702357323839279"
"Mindestens einmal die Woche","2011","Westdeutschland","8557","0.38128863155893","0.374866132654436","0.387711130463425"
"Mindestens einmal die Woche","2011","Ostdeutschland","1790","","",""
"Fast nie oder nie","2012","Westdeutschland","","","",""
"Fast nie oder nie","2012","Ostdeutschland","","","",""
"Mehrmals im Jahr","2012","Westdeutschland","","","",""
"Mehrmals im Jahr","2012","Ostdeutschland","","","",""
"Mindestens einmal im Monat","2012","Westdeutschland","","","",""
"Mindestens einmal im Monat","2012","Ostdeutschland","","","",""
"Mindestens einmal die Woche","2012","Westdeutschland","","","",""
"Mindestens einmal die Woche","2012","Ostdeutschland","","","",""
"Fast nie oder nie","2013","Westdeutschland","6193","0.312351956375987","0.305880064962233","0.318823847789741"
"Fast nie oder nie","2013","Ostdeutschland","2235","","",""
"Mehrmals im Jahr","2013","Westdeutschland","2720","","",""
"Mehrmals im Jahr","2013","Ostdeutschland","934","0.175463024049563","0.165575655343099","0.185350392756027"
"Mindestens einmal im Monat","2013","Westdeutschland","968","0.0520665069112765","0.0489641328814811","0.0551688809410719"
"Mindestens einmal im Monat","2013","Ostdeutschland","280","","",""
"Mindestens einmal die Woche","2013","Westdeutschland","9818","0.49939872386913","0.49241646910175","0.506380978636511"
"Mindestens einmal die Woche","2013","Ostdeutschland","2236","","",""
"Fast nie oder nie","2014","Westdeutschland","","","",""
"Fast nie oder nie","2014","Ostdeutschland","","","",""
"Mehrmals im Jahr","2014","Westdeutschland","","","",""
"Mehrmals im Jahr","2014","Ostdeutschland","","","",""
"Mindestens einmal im Monat","2014","Westdeutschland","","","",""
"Mindestens einmal im Monat","2014","Ostdeutschland","","","",""
"Mindestens einmal die Woche","2014","Westdeutschland","","","",""
"Mindestens einmal die Woche","2014","Ostdeutschland","","","",""
"Fast nie oder nie","2015","Westdeutschland","7852","0.359940881825327","0.353496186666916","0.366385576983738"
"Fast nie oder nie","2015","Ostdeutschland","2494","","",""
"Mehrmals im Jahr","2015","Westdeutschland","2934","","",""
"Mehrmals im Jahr","2015","Ostdeutschland","739","0.140615762544211","0.13132851675648","0.149903008331942"
"Mindestens einmal im Monat","2015","Westdeutschland","1126","","",""
"Mindestens einmal im Monat","2015","Ostdeutschland","313","0.0572248274276189","0.0510193877436451","0.0634302671115928"
"Mindestens einmal die Woche","2015","Westdeutschland","9396","0.450396192369022","0.443715846187976","0.457076538550068"
"Mindestens einmal die Woche","2015","Ostdeutschland","1836","","",""
"Fast nie oder nie","2016","Westdeutschland","","","",""
"Fast nie oder nie","2016","Ostdeutschland","","","",""
"Mehrmals im Jahr","2016","Westdeutschland","","","",""
"Mehrmals im Jahr","2016","Ostdeutschland","","","",""
"Mindestens einmal im Monat","2016","Westdeutschland","","","",""
"Mindestens einmal im Monat","2016","Ostdeutschland","","","",""
"Mindestens einmal die Woche","2016","Westdeutschland","","","",""
"Mindestens einmal die Woche","2016","Ostdeutschland","","","",""
"Fast nie oder nie","2017","Westdeutschland","8962","0.349195116528625","0.343198077164547","0.355192155892703"
"Fast nie oder nie","2017","Ostdeutschland","2720","","",""
"Mehrmals im Jahr","2017","Westdeutschland","3217","0.128483235076788","0.124273657458048","0.132692812695527"
"Mehrmals im Jahr","2017","Ostdeutschland","866","0.140899716445729","0.132208595848732","0.149590837042726"
"Mindestens einmal im Monat","2017","Westdeutschland","1250","","",""
"Mindestens einmal im Monat","2017","Ostdeutschland","313","0.0547057940855018","0.0490251321227271","0.0603864560482766"
"Mindestens einmal die Woche","2017","Westdeutschland","10845","","",""
"Mindestens einmal die Woche","2017","Ostdeutschland","2257","","",""
"Fast nie oder nie","2018","Westdeutschland","1294","","",""
"Fast nie oder nie","2018","Ostdeutschland","234","","",""
"Mehrmals im Jahr","2018","Westdeutschland","460","0.166177068135574","0.152118134592641","0.180236001678507"
"Mehrmals im Jahr","2018","Ostdeutschland","54","0.112482196880322","0.0840382832061561","0.140926110554487"
"Mindestens einmal im Monat","2018","Westdeutschland","168","","",""
"Mindestens einmal im Monat","2018","Ostdeutschland","11","","",""
"Mindestens einmal die Woche","2018","Westdeutschland","771","0.320114473408416","0.302494693975724","0.337734252841109"
"Mindestens einmal die Woche","2018","Ostdeutschland","175","","",""
"Fast nie oder nie","2019","Westdeutschland","6434","0.274216153080985","0.268424567050917","0.280007739111053"
"Fast nie oder nie","2019","Ostdeutschland","1961","","",""
"Mehrmals im Jahr","2019","Westdeutschland","2865","","",""
"Mehrmals im Jahr","2019","Ostdeutschland","906","0.153867382186341","0.14472377863305","0.163010985739633"
"Mindestens einmal im Monat","2019","Westdeutschland","1022","","",""
"Mindestens einmal im Monat","2019","Ostdeutschland","316","0.0581985862523665","0.0522657717028808","0.0641314008018522"
"Mindestens einmal die Woche","2019","Westdeutschland","12472","","",""
"Mindestens einmal die Woche","2019","Ostdeutschland","2799","","",""
