"m11104","year","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1986","Bayern","930","0.547737490730585","0.524411789199392","0.571063192261778"
"Fast nie oder nie","1986","Saarland","","","",""
"Fast nie oder nie","1986","Berlin","211","","",""
"Fast nie oder nie","1986","Brandenburg","","","",""
"Fast nie oder nie","1986","Mecklenburg-Vorpommern","","","",""
"Fast nie oder nie","1986","Sachsen","","","",""
"Fast nie oder nie","1986","Sachsen-Anhalt","","","",""
"Fast nie oder nie","1986","Thueringen","","","",""
"Mehrmals im Jahr","1986","Schleswig-Holstein","43","0.128436380201275","0.0917211441276673","0.165151616274882"
"Mehrmals im Jahr","1986","Hamburg","27","","",""
"Mehrmals im Jahr","1986","Niedersachsen","136","","",""
"Mehrmals im Jahr","1986","Bremen","13","","",""
"Mehrmals im Jahr","1986","Nordrhein-Westfalen","352","0.122262442269494","0.110188828944583","0.134336055594406"
"Mehrmals im Jahr","1986","Hessen","102","","",""
"Mehrmals im Jahr","1986","Rheinland-Pfalz,Saarland","77","0.0972190004639785","0.0761980377001236","0.118239963227834"
"Mehrmals im Jahr","1986","Baden-Wuerttemberg","249","","",""
"Mehrmals im Jahr","1986","Bayern","234","","",""
"Mehrmals im Jahr","1986","Saarland","","","",""
"Mehrmals im Jahr","1986","Berlin","41","0.089418137225567","0.0593950283887685","0.119441246062365"
"Mehrmals im Jahr","1986","Brandenburg","","","",""
"Mehrmals im Jahr","1986","Mecklenburg-Vorpommern","","","",""
"Mehrmals im Jahr","1986","Sachsen","","","",""
"Mehrmals im Jahr","1986","Sachsen-Anhalt","","","",""
"Mehrmals im Jahr","1986","Thueringen","","","",""
"Mindestens einmal im Monat","1986","Schleswig-Holstein","16","","",""
"Mindestens einmal im Monat","1986","Hamburg","19","","",""
"Mindestens einmal im Monat","1986","Niedersachsen","57","0.049131708757441","0.0363470824577511","0.0619163350571309"
"Mindestens einmal im Monat","1986","Bremen","6","0.04460804227247","0.00567363336951549","0.0835424511754245"
"Mindestens einmal im Monat","1986","Nordrhein-Westfalen","144","","",""
"Mindestens einmal im Monat","1986","Hessen","36","0.0385633245856031","0.0268382452576059","0.0502884039136003"
"Mindestens einmal im Monat","1986","Rheinland-Pfalz,Saarland","42","0.0578837659462755","0.0413139969009087","0.0744535349916424"
"Mindestens einmal im Monat","1986","Baden-Wuerttemberg","111","","",""
"Mindestens einmal im Monat","1986","Bayern","108","","",""
"Mindestens einmal im Monat","1986","Saarland","","","",""
"Mindestens einmal im Monat","1986","Berlin","25","","",""
"Mindestens einmal im Monat","1986","Brandenburg","","","",""
"Mindestens einmal im Monat","1986","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal im Monat","1986","Sachsen","","","",""
"Mindestens einmal im Monat","1986","Sachsen-Anhalt","","","",""
"Mindestens einmal im Monat","1986","Thueringen","","","",""
"Mindestens einmal die Woche","1986","Schleswig-Holstein","82","0.259117460227125","0.211036208144455","0.307198712309794"
"Mindestens einmal die Woche","1986","Hamburg","62","0.250325556736905","0.196733530358248","0.303917583115561"
"Mindestens einmal die Woche","1986","Niedersachsen","295","","",""
"Mindestens einmal die Woche","1986","Bremen","14","","",""
"Mindestens einmal die Woche","1986","Nordrhein-Westfalen","708","0.257063557861993","0.24095693549851","0.273170180225476"
"Mindestens einmal die Woche","1986","Hessen","248","","",""
"Mindestens einmal die Woche","1986","Rheinland-Pfalz,Saarland","152","","",""
"Mindestens einmal die Woche","1986","Baden-Wuerttemberg","424","0.221128615792069","0.202793194561747","0.23946403702239"
"Mindestens einmal die Woche","1986","Bayern","477","0.270676766685639","0.249853987166358","0.291499546204919"
"Mindestens einmal die Woche","1986","Saarland","","","",""
"Mindestens einmal die Woche","1986","Berlin","70","0.211159957319178","0.168217824550049","0.254102090088308"
"Mindestens einmal die Woche","1986","Brandenburg","","","",""
"Mindestens einmal die Woche","1986","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal die Woche","1986","Sachsen","","","",""
"Mindestens einmal die Woche","1986","Sachsen-Anhalt","","","",""
"Mindestens einmal die Woche","1986","Thueringen","","","",""
"Fast nie oder nie","1987","Schleswig-Holstein","","","",""
"Fast nie oder nie","1987","Hamburg","","","",""
"Fast nie oder nie","1987","Niedersachsen","","","",""
"Fast nie oder nie","1987","Bremen","","","",""
"Fast nie oder nie","1987","Nordrhein-Westfalen","","","",""
"Fast nie oder nie","1987","Hessen","","","",""
"Fast nie oder nie","1987","Rheinland-Pfalz,Saarland","","","",""
"Fast nie oder nie","1987","Baden-Wuerttemberg","","","",""
"Fast nie oder nie","1987","Bayern","","","",""
"Fast nie oder nie","1987","Saarland","","","",""
"Fast nie oder nie","1987","Berlin","","","",""
"Fast nie oder nie","1987","Brandenburg","","","",""
"Fast nie oder nie","1987","Mecklenburg-Vorpommern","","","",""
"Fast nie oder nie","1987","Sachsen","","","",""
"Fast nie oder nie","1987","Sachsen-Anhalt","","","",""
"Fast nie oder nie","1987","Thueringen","","","",""
"Mehrmals im Jahr","1987","Schleswig-Holstein","","","",""
"Mehrmals im Jahr","1987","Hamburg","","","",""
"Mehrmals im Jahr","1987","Niedersachsen","","","",""
"Mehrmals im Jahr","1987","Bremen","","","",""
"Mehrmals im Jahr","1987","Nordrhein-Westfalen","","","",""
"Mehrmals im Jahr","1987","Hessen","","","",""
"Mehrmals im Jahr","1987","Rheinland-Pfalz,Saarland","","","",""
"Mehrmals im Jahr","1987","Baden-Wuerttemberg","","","",""
"Mehrmals im Jahr","1987","Bayern","","","",""
"Mehrmals im Jahr","1987","Saarland","","","",""
"Mehrmals im Jahr","1987","Berlin","","","",""
"Mehrmals im Jahr","1987","Brandenburg","","","",""
"Mehrmals im Jahr","1987","Mecklenburg-Vorpommern","","","",""
"Mehrmals im Jahr","1987","Sachsen","","","",""
"Mehrmals im Jahr","1987","Sachsen-Anhalt","","","",""
"Mehrmals im Jahr","1987","Thueringen","","","",""
"Mindestens einmal im Monat","1987","Schleswig-Holstein","","","",""
"Mindestens einmal im Monat","1987","Hamburg","","","",""
"Mindestens einmal im Monat","1987","Niedersachsen","","","",""
"Mindestens einmal im Monat","1987","Bremen","","","",""
"Mindestens einmal im Monat","1987","Nordrhein-Westfalen","","","",""
"Mindestens einmal im Monat","1987","Hessen","","","",""
"Mindestens einmal im Monat","1987","Rheinland-Pfalz,Saarland","","","",""
"Mindestens einmal im Monat","1987","Baden-Wuerttemberg","","","",""
"Mindestens einmal im Monat","1987","Bayern","","","",""
"Mindestens einmal im Monat","1987","Saarland","","","",""
"Mindestens einmal im Monat","1987","Berlin","","","",""
"Mindestens einmal im Monat","1987","Brandenburg","","","",""
"Mindestens einmal im Monat","1987","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal im Monat","1987","Sachsen","","","",""
"Mindestens einmal im Monat","1987","Sachsen-Anhalt","","","",""
"Mindestens einmal im Monat","1987","Thueringen","","","",""
"Mindestens einmal die Woche","1987","Schleswig-Holstein","","","",""
"Mindestens einmal die Woche","1987","Hamburg","","","",""
"Mindestens einmal die Woche","1987","Niedersachsen","","","",""
"Mindestens einmal die Woche","1987","Bremen","","","",""
"Mindestens einmal die Woche","1987","Nordrhein-Westfalen","","","",""
"Mindestens einmal die Woche","1987","Hessen","","","",""
"Mindestens einmal die Woche","1987","Rheinland-Pfalz,Saarland","","","",""
"Mindestens einmal die Woche","1987","Baden-Wuerttemberg","","","",""
"Mindestens einmal die Woche","1987","Bayern","","","",""
"Mindestens einmal die Woche","1987","Saarland","","","",""
"Mindestens einmal die Woche","1987","Berlin","","","",""
"Mindestens einmal die Woche","1987","Brandenburg","","","",""
"Mindestens einmal die Woche","1987","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal die Woche","1987","Sachsen","","","",""
"Mindestens einmal die Woche","1987","Sachsen-Anhalt","","","",""
"Mindestens einmal die Woche","1987","Thueringen","","","",""
"Fast nie oder nie","1988","Schleswig-Holstein","147","","",""
"Fast nie oder nie","1988","Hamburg","102","","",""
"Fast nie oder nie","1988","Niedersachsen","556","0.556528374161235","0.526320727550956","0.586736020771513"
"Fast nie oder nie","1988","Bremen","59","0.634913928903534","0.539102507478473","0.730725350328595"
"Fast nie oder nie","1988","Nordrhein-Westfalen","1518","","",""
"Fast nie oder nie","1988","Hessen","635","0.6112851738407","0.580966447657191","0.64160390002421"
"Fast nie oder nie","1988","Rheinland-Pfalz,Saarland","454","0.634152922006847","0.599140054537742","0.669165789475952"
"Fast nie oder nie","1988","Baden-Wuerttemberg","1092","","",""
"Fast nie oder nie","1988","Bayern","828","0.526601847394985","0.502288483379257","0.550915211410712"
"Fast nie oder nie","1988","Saarland","","","",""
"Fast nie oder nie","1988","Berlin","208","","",""
"Fast nie oder nie","1988","Brandenburg","","","",""
"Fast nie oder nie","1988","Mecklenburg-Vorpommern","","","",""
"Fast nie oder nie","1988","Sachsen","","","",""
"Fast nie oder nie","1988","Sachsen-Anhalt","","","",""
"Fast nie oder nie","1988","Thueringen","","","",""
"Mehrmals im Jahr","1988","Schleswig-Holstein","49","0.155604479211594","0.115638674921399","0.195570283501789"
"Mehrmals im Jahr","1988","Hamburg","27","","",""
"Mehrmals im Jahr","1988","Niedersachsen","128","","",""
"Mehrmals im Jahr","1988","Bremen","17","","",""
"Mehrmals im Jahr","1988","Nordrhein-Westfalen","351","0.135161671713817","0.122202965886042","0.148120377541592"
"Mehrmals im Jahr","1988","Hessen","98","0.108173482495462","0.0888549530933275","0.127492011897597"
"Mehrmals im Jahr","1988","Rheinland-Pfalz,Saarland","89","0.109495928619257","0.0867973937331292","0.132194463505386"
"Mehrmals im Jahr","1988","Baden-Wuerttemberg","260","","",""
"Mehrmals im Jahr","1988","Bayern","269","","",""
"Mehrmals im Jahr","1988","Saarland","","","",""
"Mehrmals im Jahr","1988","Berlin","43","0.108150891090898","0.0745917463342395","0.141710035847557"
"Mehrmals im Jahr","1988","Brandenburg","","","",""
"Mehrmals im Jahr","1988","Mecklenburg-Vorpommern","","","",""
"Mehrmals im Jahr","1988","Sachsen","","","",""
"Mehrmals im Jahr","1988","Sachsen-Anhalt","","","",""
"Mehrmals im Jahr","1988","Thueringen","","","",""
"Mindestens einmal im Monat","1988","Schleswig-Holstein","17","","",""
"Mindestens einmal im Monat","1988","Hamburg","13","","",""
"Mindestens einmal im Monat","1988","Niedersachsen","45","0.0413338293756007","0.0292298872190418","0.0534377715321596"
"Mindestens einmal im Monat","1988","Bremen","2","","",""
"Mindestens einmal im Monat","1988","Nordrhein-Westfalen","129","","",""
"Mindestens einmal im Monat","1988","Hessen","49","0.0543199720752377","0.0402230160705142","0.0684169280799613"
"Mindestens einmal im Monat","1988","Rheinland-Pfalz,Saarland","41","0.0625343403522693","0.0449341300925306","0.0801345506120081"
"Mindestens einmal im Monat","1988","Baden-Wuerttemberg","110","","",""
"Mindestens einmal im Monat","1988","Bayern","103","","",""
"Mindestens einmal im Monat","1988","Saarland","","","",""
"Mindestens einmal im Monat","1988","Berlin","11","","",""
"Mindestens einmal im Monat","1988","Brandenburg","","","",""
"Mindestens einmal im Monat","1988","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal im Monat","1988","Sachsen","","","",""
"Mindestens einmal im Monat","1988","Sachsen-Anhalt","","","",""
"Mindestens einmal im Monat","1988","Thueringen","","","",""
"Mindestens einmal die Woche","1988","Schleswig-Holstein","103","","",""
"Mindestens einmal die Woche","1988","Hamburg","56","0.311326543739368","0.246830920606312","0.375822166872424"
"Mindestens einmal die Woche","1988","Niedersachsen","310","0.283149142720129","0.255754707748635","0.310543577691623"
"Mindestens einmal die Woche","1988","Bremen","19","","",""
"Mindestens einmal die Woche","1988","Nordrhein-Westfalen","676","0.257182036270198","0.240615607261982","0.273748465278415"
"Mindestens einmal die Woche","1988","Hessen","211","","",""
"Mindestens einmal die Woche","1988","Rheinland-Pfalz,Saarland","143","","",""
"Mindestens einmal die Woche","1988","Baden-Wuerttemberg","410","0.232094329347945","0.212970213273594","0.251218445422296"
"Mindestens einmal die Woche","1988","Bayern","420","0.253262221571205","0.23208544514848","0.274438997993931"
"Mindestens einmal die Woche","1988","Saarland","","","",""
"Mindestens einmal die Woche","1988","Berlin","67","0.210558003852638","0.16650290983734","0.254613097867936"
"Mindestens einmal die Woche","1988","Brandenburg","","","",""
"Mindestens einmal die Woche","1988","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal die Woche","1988","Sachsen","","","",""
"Mindestens einmal die Woche","1988","Sachsen-Anhalt","","","",""
"Mindestens einmal die Woche","1988","Thueringen","","","",""
"Fast nie oder nie","1989","Schleswig-Holstein","","","",""
"Fast nie oder nie","1989","Hamburg","","","",""
"Fast nie oder nie","1989","Niedersachsen","","","",""
"Fast nie oder nie","1989","Bremen","","","",""
"Fast nie oder nie","1989","Nordrhein-Westfalen","","","",""
"Fast nie oder nie","1989","Hessen","","","",""
"Fast nie oder nie","1989","Rheinland-Pfalz,Saarland","","","",""
"Fast nie oder nie","1989","Baden-Wuerttemberg","","","",""
"Fast nie oder nie","1989","Bayern","","","",""
"Fast nie oder nie","1989","Saarland","","","",""
"Fast nie oder nie","1989","Berlin","","","",""
"Fast nie oder nie","1989","Brandenburg","","","",""
"Fast nie oder nie","1989","Mecklenburg-Vorpommern","","","",""
"Fast nie oder nie","1989","Sachsen","","","",""
"Fast nie oder nie","1989","Sachsen-Anhalt","","","",""
"Fast nie oder nie","1989","Thueringen","","","",""
"Mehrmals im Jahr","1989","Schleswig-Holstein","","","",""
"Mehrmals im Jahr","1989","Hamburg","","","",""
"Mehrmals im Jahr","1989","Niedersachsen","","","",""
"Mehrmals im Jahr","1989","Bremen","","","",""
"Mehrmals im Jahr","1989","Nordrhein-Westfalen","","","",""
"Mehrmals im Jahr","1989","Hessen","","","",""
"Mehrmals im Jahr","1989","Rheinland-Pfalz,Saarland","","","",""
"Mehrmals im Jahr","1989","Baden-Wuerttemberg","","","",""
"Mehrmals im Jahr","1989","Bayern","","","",""
"Mehrmals im Jahr","1989","Saarland","","","",""
"Mehrmals im Jahr","1989","Berlin","","","",""
"Mehrmals im Jahr","1989","Brandenburg","","","",""
"Mehrmals im Jahr","1989","Mecklenburg-Vorpommern","","","",""
"Mehrmals im Jahr","1989","Sachsen","","","",""
"Mehrmals im Jahr","1989","Sachsen-Anhalt","","","",""
"Mehrmals im Jahr","1989","Thueringen","","","",""
"Mindestens einmal im Monat","1989","Schleswig-Holstein","","","",""
"Mindestens einmal im Monat","1989","Hamburg","","","",""
"Mindestens einmal im Monat","1989","Niedersachsen","","","",""
"Mindestens einmal im Monat","1989","Bremen","","","",""
"Mindestens einmal im Monat","1989","Nordrhein-Westfalen","","","",""
"Mindestens einmal im Monat","1989","Hessen","","","",""
"Mindestens einmal im Monat","1989","Rheinland-Pfalz,Saarland","","","",""
"Mindestens einmal im Monat","1989","Baden-Wuerttemberg","","","",""
"Mindestens einmal im Monat","1989","Bayern","","","",""
"Mindestens einmal im Monat","1989","Saarland","","","",""
"Mindestens einmal im Monat","1989","Berlin","","","",""
"Mindestens einmal im Monat","1989","Brandenburg","","","",""
"Mindestens einmal im Monat","1989","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal im Monat","1989","Sachsen","","","",""
"Mindestens einmal im Monat","1989","Sachsen-Anhalt","","","",""
"Mindestens einmal im Monat","1989","Thueringen","","","",""
"Mindestens einmal die Woche","1989","Schleswig-Holstein","","","",""
"Mindestens einmal die Woche","1989","Hamburg","","","",""
"Mindestens einmal die Woche","1989","Niedersachsen","","","",""
"Mindestens einmal die Woche","1989","Bremen","","","",""
"Mindestens einmal die Woche","1989","Nordrhein-Westfalen","","","",""
"Mindestens einmal die Woche","1989","Hessen","","","",""
"Mindestens einmal die Woche","1989","Rheinland-Pfalz,Saarland","","","",""
"Mindestens einmal die Woche","1989","Baden-Wuerttemberg","","","",""
"Mindestens einmal die Woche","1989","Bayern","","","",""
"Mindestens einmal die Woche","1989","Saarland","","","",""
"Mindestens einmal die Woche","1989","Berlin","","","",""
"Mindestens einmal die Woche","1989","Brandenburg","","","",""
"Mindestens einmal die Woche","1989","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal die Woche","1989","Sachsen","","","",""
"Mindestens einmal die Woche","1989","Sachsen-Anhalt","","","",""
"Mindestens einmal die Woche","1989","Thueringen","","","",""
"Fast nie oder nie","1990","Schleswig-Holstein","94","0.299498200363102","0.246038653517548","0.352957747208657"
"Fast nie oder nie","1990","Hamburg","78","0.464749817026266","0.38864815444163","0.540851479610902"
"Fast nie oder nie","1990","Niedersachsen","405","0.433613240259205","0.402458597753303","0.464767882765106"
"Fast nie oder nie","1990","Bremen","59","0.627273929431336","0.533437492348461","0.721110366514211"
"Fast nie oder nie","1990","Nordrhein-Westfalen","1145","","",""
"Fast nie oder nie","1990","Hessen","494","0.456550438394817","0.425316639289383","0.48778423750025"
"Fast nie oder nie","1990","Rheinland-Pfalz,Saarland","360","0.531788424194506","0.493976781505029","0.569600066883982"
"Fast nie oder nie","1990","Baden-Wuerttemberg","813","0.414032338653505","0.391118235254666","0.436946442052344"
"Fast nie oder nie","1990","Bayern","611","0.370433148378979","0.346688705154893","0.394177591603065"
"Fast nie oder nie","1990","Saarland","","","",""
"Fast nie oder nie","1990","Berlin","317","0.509935295476394","0.470458491618137","0.549412099334651"
"Fast nie oder nie","1990","Brandenburg","506","0.715688696520535","0.682461736841328","0.748915656199742"
"Fast nie oder nie","1990","Mecklenburg-Vorpommern","341","0.723922488733512","0.684258194617025","0.763586782849999"
"Fast nie oder nie","1990","Sachsen","860","0.701553095338208","0.676524908336936","0.72658128233948"
"Fast nie oder nie","1990","Sachsen-Anhalt","553","0.730841114527565","0.69977527773792","0.76190695131721"
"Fast nie oder nie","1990","Thueringen","519","0.736864081860554","0.704965137506664","0.768763026214444"
"Mehrmals im Jahr","1990","Schleswig-Holstein","70","0.271880124976376","0.21995067648782","0.323809573464932"
"Mehrmals im Jahr","1990","Hamburg","27","","",""
