"m11104","year","bildungsniveau","bula_h","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1984","Hauptschule","Hessen","496","0.739588025630025","0.707030919865653","0.772145131394397"
"Fast nie oder nie","1984","Hauptschule","Rheinland-Pfalz,Saarland","420","0.726358833686277","0.690415307697653","0.762302359674901"
"Fast nie oder nie","1984","Hauptschule","Baden-Wuerttemberg","977","0.753863172268002","0.73068670741757","0.777039637118433"
"Fast nie oder nie","1984","Hauptschule","Bayern","857","0.686958470265306","0.66131247892446","0.712604461606153"
"Fast nie oder nie","1984","Hauptschule","Saarland","","","",""
"Fast nie oder nie","1984","Hauptschule","Berlin","143","","",""
"Fast nie oder nie","1984","Hauptschule","Brandenburg","","","",""
"Fast nie oder nie","1984","Hauptschule","Mecklenburg-Vorpommern","","","",""
"Fast nie oder nie","1984","Hauptschule","Sachsen","","","",""
"Fast nie oder nie","1984","Hauptschule","Sachsen-Anhalt","","","",""
"Fast nie oder nie","1984","Hauptschule","Thueringen","","","",""
"Fast nie oder nie","1984","Realschule","Schleswig-Holstein","43","0.476279856417948","0.374224706857682","0.578335005978215"
"Fast nie oder nie","1984","Realschule","Hamburg","29","","",""
"Fast nie oder nie","1984","Realschule","Niedersachsen","103","","",""
"Fast nie oder nie","1984","Realschule","Bremen","14","","",""
"Fast nie oder nie","1984","Realschule","Nordrhein-Westfalen","205","","",""
"Fast nie oder nie","1984","Realschule","Hessen","89","0.508798645179892","0.437337179809046","0.580260110550738"
"Fast nie oder nie","1984","Realschule","Rheinland-Pfalz,Saarland","54","0.517588675928632","0.423781519376157","0.611395832481107"
"Fast nie oder nie","1984","Realschule","Baden-Wuerttemberg","131","","",""
"Fast nie oder nie","1984","Realschule","Bayern","163","","",""
"Fast nie oder nie","1984","Realschule","Saarland","","","",""
"Fast nie oder nie","1984","Realschule","Berlin","37","0.510444910485832","0.398057796550255","0.622832024421408"
"Fast nie oder nie","1984","Realschule","Brandenburg","","","",""
"Fast nie oder nie","1984","Realschule","Mecklenburg-Vorpommern","","","",""
"Fast nie oder nie","1984","Realschule","Sachsen","","","",""
"Fast nie oder nie","1984","Realschule","Sachsen-Anhalt","","","",""
"Fast nie oder nie","1984","Realschule","Thueringen","","","",""
"Fast nie oder nie","1984","(Fach-)Abitur","Schleswig-Holstein","6","0.212006005074212","0.0578353406310739","0.36617666951735"
"Fast nie oder nie","1984","(Fach-)Abitur","Hamburg","19","","",""
"Fast nie oder nie","1984","(Fach-)Abitur","Niedersachsen","44","0.553572501328492","0.443950615589276","0.663194387067709"
"Fast nie oder nie","1984","(Fach-)Abitur","Bremen","5","0.403468482496567","0.0994012679980908","0.707535696995044"
"Fast nie oder nie","1984","(Fach-)Abitur","Nordrhein-Westfalen","108","","",""
"Fast nie oder nie","1984","(Fach-)Abitur","Hessen","41","0.394897566146633","0.301397887138887","0.488397245154379"
"Fast nie oder nie","1984","(Fach-)Abitur","Rheinland-Pfalz,Saarland","11","","",""
"Fast nie oder nie","1984","(Fach-)Abitur","Baden-Wuerttemberg","73","0.488103435100612","0.403152275748768","0.573054594452456"
"Fast nie oder nie","1984","(Fach-)Abitur","Bayern","60","0.440164218836993","0.355799674623294","0.524528763050692"
"Fast nie oder nie","1984","(Fach-)Abitur","Saarland","","","",""
"Fast nie oder nie","1984","(Fach-)Abitur","Berlin","19","","",""
"Fast nie oder nie","1984","(Fach-)Abitur","Brandenburg","","","",""
"Fast nie oder nie","1984","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"Fast nie oder nie","1984","(Fach-)Abitur","Sachsen","","","",""
"Fast nie oder nie","1984","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"Fast nie oder nie","1984","(Fach-)Abitur","Thueringen","","","",""
"Fast nie oder nie","1984","AkademikerIn","Schleswig-Holstein","12","","",""
"Fast nie oder nie","1984","AkademikerIn","Hamburg","6","0.338013084671886","0.113151592031025","0.562874577312747"
"Fast nie oder nie","1984","AkademikerIn","Niedersachsen","30","0.42145928100435","0.31116639399628","0.53175216801242"
"Fast nie oder nie","1984","AkademikerIn","Bremen","","","",""
"Fast nie oder nie","1984","AkademikerIn","Nordrhein-Westfalen","88","0.400450323476699","0.336139722150649","0.46476092480275"
"Fast nie oder nie","1984","AkademikerIn","Hessen","42","0.464472757441377","0.363110208228597","0.565835306654156"
"Fast nie oder nie","1984","AkademikerIn","Rheinland-Pfalz,Saarland","18","","",""
"Fast nie oder nie","1984","AkademikerIn","Baden-Wuerttemberg","57","0.457137393722005","0.369807803527676","0.544466983916335"
"Fast nie oder nie","1984","AkademikerIn","Bayern","64","0.468482514923221","0.389153553559152","0.54781147628729"
"Fast nie oder nie","1984","AkademikerIn","Saarland","","","",""
"Fast nie oder nie","1984","AkademikerIn","Berlin","12","","",""
"Fast nie oder nie","1984","AkademikerIn","Brandenburg","","","",""
"Fast nie oder nie","1984","AkademikerIn","Mecklenburg-Vorpommern","","","",""
"Fast nie oder nie","1984","AkademikerIn","Sachsen","","","",""
"Fast nie oder nie","1984","AkademikerIn","Sachsen-Anhalt","","","",""
"Fast nie oder nie","1984","AkademikerIn","Thueringen","","","",""
"Mehrmals im Jahr","1984","(noch) kein Abschluss","Schleswig-Holstein","2","","",""
"Mehrmals im Jahr","1984","(noch) kein Abschluss","Hamburg","3","","",""
"Mehrmals im Jahr","1984","(noch) kein Abschluss","Niedersachsen","15","","",""
"Mehrmals im Jahr","1984","(noch) kein Abschluss","Bremen","","","",""
"Mehrmals im Jahr","1984","(noch) kein Abschluss","Nordrhein-Westfalen","46","0.161923463293654","0.125822829343613","0.198024097243696"
"Mehrmals im Jahr","1984","(noch) kein Abschluss","Hessen","13","","",""
"Mehrmals im Jahr","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","10","","",""
"Mehrmals im Jahr","1984","(noch) kein Abschluss","Baden-Wuerttemberg","39","0.150564820019446","0.111979865064767","0.189149774974125"
"Mehrmals im Jahr","1984","(noch) kein Abschluss","Bayern","21","","",""
"Mehrmals im Jahr","1984","(noch) kein Abschluss","Saarland","","","",""
"Mehrmals im Jahr","1984","(noch) kein Abschluss","Berlin","11","","",""
"Mehrmals im Jahr","1984","(noch) kein Abschluss","Brandenburg","","","",""
"Mehrmals im Jahr","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Mehrmals im Jahr","1984","(noch) kein Abschluss","Sachsen","","","",""
"Mehrmals im Jahr","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Mehrmals im Jahr","1984","(noch) kein Abschluss","Thueringen","","","",""
"Mehrmals im Jahr","1984","Hauptschule","Schleswig-Holstein","35","0.145937106073933","0.0997041275232496","0.192170084624616"
"Mehrmals im Jahr","1984","Hauptschule","Hamburg","24","","",""
"Mehrmals im Jahr","1984","Hauptschule","Niedersachsen","115","","",""
"Mehrmals im Jahr","1984","Hauptschule","Bremen","9","0.0819119949102685","0.0255685621633899","0.138255427657147"
"Mehrmals im Jahr","1984","Hauptschule","Nordrhein-Westfalen","293","","",""
"Mehrmals im Jahr","1984","Hauptschule","Hessen","107","","",""
"Mehrmals im Jahr","1984","Hauptschule","Rheinland-Pfalz,Saarland","75","0.119925914362273","0.0937338043428408","0.146118024381705"
"Mehrmals im Jahr","1984","Hauptschule","Baden-Wuerttemberg","200","","",""
"Mehrmals im Jahr","1984","Hauptschule","Bayern","212","","",""
"Mehrmals im Jahr","1984","Hauptschule","Saarland","","","",""
"Mehrmals im Jahr","1984","Hauptschule","Berlin","37","0.139063122874764","0.0915815986925068","0.186544647057021"
"Mehrmals im Jahr","1984","Hauptschule","Brandenburg","","","",""
"Mehrmals im Jahr","1984","Hauptschule","Mecklenburg-Vorpommern","","","",""
"Mehrmals im Jahr","1984","Hauptschule","Sachsen","","","",""
"Mehrmals im Jahr","1984","Hauptschule","Sachsen-Anhalt","","","",""
"Mehrmals im Jahr","1984","Hauptschule","Thueringen","","","",""
"Mehrmals im Jahr","1984","Realschule","Schleswig-Holstein","19","","",""
"Mehrmals im Jahr","1984","Realschule","Hamburg","8","0.130406377144461","0.0414095888242924","0.219403165464629"
"Mehrmals im Jahr","1984","Realschule","Niedersachsen","55","0.234129254661998","0.178799032550444","0.289459476773552"
"Mehrmals im Jahr","1984","Realschule","Bremen","3","","",""
"Mehrmals im Jahr","1984","Realschule","Nordrhein-Westfalen","118","","",""
"Mehrmals im Jahr","1984","Realschule","Hessen","41","0.19521982086658","0.138560709715603","0.251878932017556"
"Mehrmals im Jahr","1984","Realschule","Rheinland-Pfalz,Saarland","24","","",""
"Mehrmals im Jahr","1984","Realschule","Baden-Wuerttemberg","72","0.25459183043184","0.203566199763202","0.305617461100478"
"Mehrmals im Jahr","1984","Realschule","Bayern","103","","",""
"Mehrmals im Jahr","1984","Realschule","Saarland","","","",""
"Mehrmals im Jahr","1984","Realschule","Berlin","21","","",""
"Mehrmals im Jahr","1984","Realschule","Brandenburg","","","",""
"Mehrmals im Jahr","1984","Realschule","Mecklenburg-Vorpommern","","","",""
"Mehrmals im Jahr","1984","Realschule","Sachsen","","","",""
"Mehrmals im Jahr","1984","Realschule","Sachsen-Anhalt","","","",""
"Mehrmals im Jahr","1984","Realschule","Thueringen","","","",""
"Mehrmals im Jahr","1984","(Fach-)Abitur","Schleswig-Holstein","10","","",""
"Mehrmals im Jahr","1984","(Fach-)Abitur","Hamburg","15","","",""
"Mehrmals im Jahr","1984","(Fach-)Abitur","Niedersachsen","17","","",""
"Mehrmals im Jahr","1984","(Fach-)Abitur","Bremen","2","","",""
"Mehrmals im Jahr","1984","(Fach-)Abitur","Nordrhein-Westfalen","74","0.273247544908557","0.218765560521572","0.327729529295542"
"Mehrmals im Jahr","1984","(Fach-)Abitur","Hessen","28","","",""
"Mehrmals im Jahr","1984","(Fach-)Abitur","Rheinland-Pfalz,Saarland","12","","",""
"Mehrmals im Jahr","1984","(Fach-)Abitur","Baden-Wuerttemberg","30","0.253281999799587","0.179372077787227","0.327191921811948"
"Mehrmals im Jahr","1984","(Fach-)Abitur","Bayern","41","0.289252467326888","0.212194333533136","0.36631060112064"
"Mehrmals im Jahr","1984","(Fach-)Abitur","Saarland","","","",""
"Mehrmals im Jahr","1984","(Fach-)Abitur","Berlin","7","0.130506895232377","0.0189069789132861","0.242106811551467"
"Mehrmals im Jahr","1984","(Fach-)Abitur","Brandenburg","","","",""
"Mehrmals im Jahr","1984","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"Mehrmals im Jahr","1984","(Fach-)Abitur","Sachsen","","","",""
"Mehrmals im Jahr","1984","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"Mehrmals im Jahr","1984","(Fach-)Abitur","Thueringen","","","",""
"Mehrmals im Jahr","1984","AkademikerIn","Schleswig-Holstein","3","","",""
"Mehrmals im Jahr","1984","AkademikerIn","Hamburg","6","0.362842146148135","0.134279100624786","0.591405191671485"
"Mehrmals im Jahr","1984","AkademikerIn","Niedersachsen","18","","",""
"Mehrmals im Jahr","1984","AkademikerIn","Bremen","1","","",""
"Mehrmals im Jahr","1984","AkademikerIn","Nordrhein-Westfalen","62","0.268297325155186","0.210144455276991","0.32645019503338"
"Mehrmals im Jahr","1984","AkademikerIn","Hessen","24","","",""
"Mehrmals im Jahr","1984","AkademikerIn","Rheinland-Pfalz,Saarland","7","0.168563892890706","0.0462731573021431","0.290854628479269"
"Mehrmals im Jahr","1984","AkademikerIn","Baden-Wuerttemberg","36","0.297168434042157","0.217052287613679","0.377284580470635"
"Mehrmals im Jahr","1984","AkademikerIn","Bayern","48","0.279133293389865","0.207821788596658","0.350444798183072"
"Mehrmals im Jahr","1984","AkademikerIn","Saarland","","","",""
"Mehrmals im Jahr","1984","AkademikerIn","Berlin","14","","",""
"Mehrmals im Jahr","1984","AkademikerIn","Brandenburg","","","",""
"Mehrmals im Jahr","1984","AkademikerIn","Mecklenburg-Vorpommern","","","",""
"Mehrmals im Jahr","1984","AkademikerIn","Sachsen","","","",""
"Mehrmals im Jahr","1984","AkademikerIn","Sachsen-Anhalt","","","",""
"Mehrmals im Jahr","1984","AkademikerIn","Thueringen","","","",""
"Mindestens einmal im Monat","1984","(noch) kein Abschluss","Schleswig-Holstein","7","0.500032055089349","0.27520876761481","0.724855342563888"
"Mindestens einmal im Monat","1984","(noch) kein Abschluss","Hamburg","2","","",""
"Mindestens einmal im Monat","1984","(noch) kein Abschluss","Niedersachsen","18","","",""
"Mindestens einmal im Monat","1984","(noch) kein Abschluss","Bremen","","","",""
"Mindestens einmal im Monat","1984","(noch) kein Abschluss","Nordrhein-Westfalen","42","0.236708735139723","0.19505342388775","0.278364046391695"
"Mindestens einmal im Monat","1984","(noch) kein Abschluss","Hessen","15","","",""
"Mindestens einmal im Monat","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","11","","",""
"Mindestens einmal im Monat","1984","(noch) kein Abschluss","Baden-Wuerttemberg","27","","",""
"Mindestens einmal im Monat","1984","(noch) kein Abschluss","Bayern","16","","",""
"Mindestens einmal im Monat","1984","(noch) kein Abschluss","Saarland","","","",""
"Mindestens einmal im Monat","1984","(noch) kein Abschluss","Berlin","7","0.357619589697647","0.220592650605084","0.49464652879021"
"Mindestens einmal im Monat","1984","(noch) kein Abschluss","Brandenburg","","","",""
"Mindestens einmal im Monat","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal im Monat","1984","(noch) kein Abschluss","Sachsen","","","",""
"Mindestens einmal im Monat","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Mindestens einmal im Monat","1984","(noch) kein Abschluss","Thueringen","","","",""
"Mindestens einmal im Monat","1984","Hauptschule","Schleswig-Holstein","42","0.179723014944293","0.129441750233016","0.23000427965557"
"Mindestens einmal im Monat","1984","Hauptschule","Hamburg","21","","",""
"Mindestens einmal im Monat","1984","Hauptschule","Niedersachsen","107","","",""
"Mindestens einmal im Monat","1984","Hauptschule","Bremen","9","0.097884035544594","0.0368299807503691","0.158938090338819"
"Mindestens einmal im Monat","1984","Hauptschule","Nordrhein-Westfalen","226","","",""
"Mindestens einmal im Monat","1984","Hauptschule","Hessen","95","0.142552265920092","0.116615771841724","0.16848875999846"
"Mindestens einmal im Monat","1984","Hauptschule","Rheinland-Pfalz,Saarland","96","0.15371525195145","0.124636812995046","0.182793690907855"
"Mindestens einmal im Monat","1984","Hauptschule","Baden-Wuerttemberg","150","","",""
"Mindestens einmal im Monat","1984","Hauptschule","Bayern","187","","",""
"Mindestens einmal im Monat","1984","Hauptschule","Saarland","","","",""
"Mindestens einmal im Monat","1984","Hauptschule","Berlin","24","","",""
"Mindestens einmal im Monat","1984","Hauptschule","Brandenburg","","","",""
"Mindestens einmal im Monat","1984","Hauptschule","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal im Monat","1984","Hauptschule","Sachsen","","","",""
"Mindestens einmal im Monat","1984","Hauptschule","Sachsen-Anhalt","","","",""
"Mindestens einmal im Monat","1984","Hauptschule","Thueringen","","","",""
"Mindestens einmal im Monat","1984","Realschule","Schleswig-Holstein","30","0.317587948926099","0.222459694330687","0.412716203521511"
"Mindestens einmal im Monat","1984","Realschule","Hamburg","18","","",""
"Mindestens einmal im Monat","1984","Realschule","Niedersachsen","67","0.282982986866414","0.224125498511553","0.341840475221274"
"Mindestens einmal im Monat","1984","Realschule","Bremen","6","0.33082072298833","0.138532906476647","0.523108539500013"
"Mindestens einmal im Monat","1984","Realschule","Nordrhein-Westfalen","133","","",""
"Mindestens einmal im Monat","1984","Realschule","Hessen","58","0.295981533953528","0.230729583160716","0.361233484746341"
"Mindestens einmal im Monat","1984","Realschule","Rheinland-Pfalz,Saarland","31","0.263173067456374","0.180504900250108","0.345841234662641"
"Mindestens einmal im Monat","1984","Realschule","Baden-Wuerttemberg","77","0.269786694316525","0.217798562687573","0.321774825945477"
"Mindestens einmal im Monat","1984","Realschule","Bayern","96","0.258402877975505","0.213308074688076","0.303497681262935"
"Mindestens einmal im Monat","1984","Realschule","Saarland","","","",""
"Mindestens einmal im Monat","1984","Realschule","Berlin","18","","",""
"Mindestens einmal im Monat","1984","Realschule","Brandenburg","","","",""
"Mindestens einmal im Monat","1984","Realschule","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal im Monat","1984","Realschule","Sachsen","","","",""
"Mindestens einmal im Monat","1984","Realschule","Sachsen-Anhalt","","","",""
"Mindestens einmal im Monat","1984","Realschule","Thueringen","","","",""
"Mindestens einmal im Monat","1984","(Fach-)Abitur","Schleswig-Holstein","11","","",""
"Mindestens einmal im Monat","1984","(Fach-)Abitur","Hamburg","10","","",""
"Mindestens einmal im Monat","1984","(Fach-)Abitur","Niedersachsen","18","","",""
"Mindestens einmal im Monat","1984","(Fach-)Abitur","Bremen","3","","",""
"Mindestens einmal im Monat","1984","(Fach-)Abitur","Nordrhein-Westfalen","75","0.30457114826216","0.248304342396897","0.360837954127424"
"Mindestens einmal im Monat","1984","(Fach-)Abitur","Hessen","36","0.346471961932161","0.255455572880453","0.437488350983869"
"Mindestens einmal im Monat","1984","(Fach-)Abitur","Rheinland-Pfalz,Saarland","10","","",""
"Mindestens einmal im Monat","1984","(Fach-)Abitur","Baden-Wuerttemberg","30","0.2586145650998","0.184197800275779","0.333031329923821"
"Mindestens einmal im Monat","1984","(Fach-)Abitur","Bayern","32","0.270583313836118","0.195080937063273","0.346085690608964"
"Mindestens einmal im Monat","1984","(Fach-)Abitur","Saarland","","","",""
"Mindestens einmal im Monat","1984","(Fach-)Abitur","Berlin","9","0.288168249284054","0.138121769626568","0.43821472894154"
"Mindestens einmal im Monat","1984","(Fach-)Abitur","Brandenburg","","","",""
"Mindestens einmal im Monat","1984","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal im Monat","1984","(Fach-)Abitur","Sachsen","","","",""
"Mindestens einmal im Monat","1984","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"Mindestens einmal im Monat","1984","(Fach-)Abitur","Thueringen","","","",""
"Mindestens einmal im Monat","1984","AkademikerIn","Schleswig-Holstein","5","0.23933427071742","0.0523382075058437","0.426330333928996"
"Mindestens einmal im Monat","1984","AkademikerIn","Hamburg","5","0.299144769179979","0.0814848335226522","0.516804704837305"
"Mindestens einmal im Monat","1984","AkademikerIn","Niedersachsen","29","","",""
"Mindestens einmal im Monat","1984","AkademikerIn","Bremen","","","",""
"Mindestens einmal im Monat","1984","AkademikerIn","Nordrhein-Westfalen","73","0.331252351368115","0.26947827247737","0.39302643025886"
"Mindestens einmal im Monat","1984","AkademikerIn","Hessen","27","","",""
"Mindestens einmal im Monat","1984","AkademikerIn","Rheinland-Pfalz,Saarland","11","","",""
"Mindestens einmal im Monat","1984","AkademikerIn","Baden-Wuerttemberg","32","0.245694172235838","0.170225928444194","0.321162416027481"
"Mindestens einmal im Monat","1984","AkademikerIn","Bayern","40","0.252384191686914","0.183328956372414","0.321439427001415"
"Mindestens einmal im Monat","1984","AkademikerIn","Saarland","","","",""
"Mindestens einmal im Monat","1984","AkademikerIn","Berlin","11","","",""
"Mindestens einmal im Monat","1984","AkademikerIn","Brandenburg","","","",""
"Mindestens einmal im Monat","1984","AkademikerIn","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal im Monat","1984","AkademikerIn","Sachsen","","","",""
"Mindestens einmal im Monat","1984","AkademikerIn","Sachsen-Anhalt","","","",""
"Mindestens einmal im Monat","1984","AkademikerIn","Thueringen","","","",""
"Mindestens einmal die Woche","1984","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Mindestens einmal die Woche","1984","(noch) kein Abschluss","Hamburg","","","",""
"Mindestens einmal die Woche","1984","(noch) kein Abschluss","Niedersachsen","","","",""
"Mindestens einmal die Woche","1984","(noch) kein Abschluss","Bremen","","","",""
"Mindestens einmal die Woche","1984","(noch) kein Abschluss","Nordrhein-Westfalen","","","",""
"Mindestens einmal die Woche","1984","(noch) kein Abschluss","Hessen","","","",""
"Mindestens einmal die Woche","1984","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"Mindestens einmal die Woche","1984","(noch) kein Abschluss","Baden-Wuerttemberg","","","",""
"Mindestens einmal die Woche","1984","(noch) kein Abschluss","Bayern","","","",""
"Mindestens einmal die Woche","1984","(noch) kein Abschluss","Saarland","","","",""
"Mindestens einmal die Woche","1984","(noch) kein Abschluss","Berlin","","","",""
"Mindestens einmal die Woche","1984","(noch) kein Abschluss","Brandenburg","","","",""
"Mindestens einmal die Woche","1984","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal die Woche","1984","(noch) kein Abschluss","Sachsen","","","",""
"Mindestens einmal die Woche","1984","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Mindestens einmal die Woche","1984","(noch) kein Abschluss","Thueringen","","","",""
"Mindestens einmal die Woche","1984","Hauptschule","Schleswig-Holstein","","","",""
"Mindestens einmal die Woche","1984","Hauptschule","Hamburg","","","",""
"Mindestens einmal die Woche","1984","Hauptschule","Niedersachsen","","","",""
"Mindestens einmal die Woche","1984","Hauptschule","Bremen","","","",""
"Mindestens einmal die Woche","1984","Hauptschule","Nordrhein-Westfalen","","","",""
"Mindestens einmal die Woche","1984","Hauptschule","Hessen","","","",""
"Mindestens einmal die Woche","1984","Hauptschule","Rheinland-Pfalz,Saarland","","","",""
"Mindestens einmal die Woche","1984","Hauptschule","Baden-Wuerttemberg","","","",""
"Mindestens einmal die Woche","1984","Hauptschule","Bayern","","","",""
"Mindestens einmal die Woche","1984","Hauptschule","Saarland","","","",""
"Mindestens einmal die Woche","1984","Hauptschule","Berlin","","","",""
"Mindestens einmal die Woche","1984","Hauptschule","Brandenburg","","","",""
"Mindestens einmal die Woche","1984","Hauptschule","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal die Woche","1984","Hauptschule","Sachsen","","","",""
"Mindestens einmal die Woche","1984","Hauptschule","Sachsen-Anhalt","","","",""
"Mindestens einmal die Woche","1984","Hauptschule","Thueringen","","","",""
"Mindestens einmal die Woche","1984","Realschule","Schleswig-Holstein","","","",""
"Mindestens einmal die Woche","1984","Realschule","Hamburg","","","",""
"Mindestens einmal die Woche","1984","Realschule","Niedersachsen","","","",""
"Mindestens einmal die Woche","1984","Realschule","Bremen","","","",""
"Mindestens einmal die Woche","1984","Realschule","Nordrhein-Westfalen","","","",""
"Mindestens einmal die Woche","1984","Realschule","Hessen","","","",""
"Mindestens einmal die Woche","1984","Realschule","Rheinland-Pfalz,Saarland","","","",""
"Mindestens einmal die Woche","1984","Realschule","Baden-Wuerttemberg","","","",""
"Mindestens einmal die Woche","1984","Realschule","Bayern","","","",""
"Mindestens einmal die Woche","1984","Realschule","Saarland","","","",""
"Mindestens einmal die Woche","1984","Realschule","Berlin","","","",""
"Mindestens einmal die Woche","1984","Realschule","Brandenburg","","","",""
"Mindestens einmal die Woche","1984","Realschule","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal die Woche","1984","Realschule","Sachsen","","","",""
"Mindestens einmal die Woche","1984","Realschule","Sachsen-Anhalt","","","",""
"Mindestens einmal die Woche","1984","Realschule","Thueringen","","","",""
"Mindestens einmal die Woche","1984","(Fach-)Abitur","Schleswig-Holstein","","","",""
"Mindestens einmal die Woche","1984","(Fach-)Abitur","Hamburg","","","",""
"Mindestens einmal die Woche","1984","(Fach-)Abitur","Niedersachsen","","","",""
"Mindestens einmal die Woche","1984","(Fach-)Abitur","Bremen","","","",""
"Mindestens einmal die Woche","1984","(Fach-)Abitur","Nordrhein-Westfalen","","","",""
"Mindestens einmal die Woche","1984","(Fach-)Abitur","Hessen","","","",""
"Mindestens einmal die Woche","1984","(Fach-)Abitur","Rheinland-Pfalz,Saarland","","","",""
"Mindestens einmal die Woche","1984","(Fach-)Abitur","Baden-Wuerttemberg","","","",""
"Mindestens einmal die Woche","1984","(Fach-)Abitur","Bayern","","","",""
"Mindestens einmal die Woche","1984","(Fach-)Abitur","Saarland","","","",""
"Mindestens einmal die Woche","1984","(Fach-)Abitur","Berlin","","","",""
"Mindestens einmal die Woche","1984","(Fach-)Abitur","Brandenburg","","","",""
"Mindestens einmal die Woche","1984","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal die Woche","1984","(Fach-)Abitur","Sachsen","","","",""
"Mindestens einmal die Woche","1984","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"Mindestens einmal die Woche","1984","(Fach-)Abitur","Thueringen","","","",""
"Mindestens einmal die Woche","1984","AkademikerIn","Schleswig-Holstein","","","",""
"Mindestens einmal die Woche","1984","AkademikerIn","Hamburg","","","",""
"Mindestens einmal die Woche","1984","AkademikerIn","Niedersachsen","","","",""
"Mindestens einmal die Woche","1984","AkademikerIn","Bremen","","","",""
"Mindestens einmal die Woche","1984","AkademikerIn","Nordrhein-Westfalen","","","",""
"Mindestens einmal die Woche","1984","AkademikerIn","Hessen","","","",""
"Mindestens einmal die Woche","1984","AkademikerIn","Rheinland-Pfalz,Saarland","","","",""
"Mindestens einmal die Woche","1984","AkademikerIn","Baden-Wuerttemberg","","","",""
"Mindestens einmal die Woche","1984","AkademikerIn","Bayern","","","",""
"Mindestens einmal die Woche","1984","AkademikerIn","Saarland","","","",""
"Mindestens einmal die Woche","1984","AkademikerIn","Berlin","","","",""
"Mindestens einmal die Woche","1984","AkademikerIn","Brandenburg","","","",""
"Mindestens einmal die Woche","1984","AkademikerIn","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal die Woche","1984","AkademikerIn","Sachsen","","","",""
"Mindestens einmal die Woche","1984","AkademikerIn","Sachsen-Anhalt","","","",""
"Mindestens einmal die Woche","1984","AkademikerIn","Thueringen","","","",""
