"m11104","year","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1998","Staedtischer Raum","3827","0.411806893642083","0.401736375274627","0.421877412009538"
"Fast nie oder nie","1998","Laendlicher Raum","2057","","",""
"Mehrmals im Jahr","1998","Staedtischer Raum","1917","","",""
"Mehrmals im Jahr","1998","Laendlicher Raum","1274","","",""
"Mindestens einmal im Monat","1998","Staedtischer Raum","749","0.0817237131752036","0.0761183238165737","0.0873291025338334"
"Mindestens einmal im Monat","1998","Laendlicher Raum","353","0.0668249819192697","0.0598585324330778","0.0737914314054616"
"Mindestens einmal die Woche","1998","Staedtischer Raum","2682","","",""
"Mindestens einmal die Woche","1998","Laendlicher Raum","1252","","",""
"Fast nie oder nie","1999","Staedtischer Raum","4179","0.479050988837231","0.468600447625137","0.489501530049325"
"Fast nie oder nie","1999","Laendlicher Raum","2393","","",""
"Mehrmals im Jahr","1999","Staedtischer Raum","1729","","",""
"Mehrmals im Jahr","1999","Laendlicher Raum","1046","","",""
"Mindestens einmal im Monat","1999","Staedtischer Raum","621","0.0669326325956293","0.0617047508328271","0.0721605143584315"
"Mindestens einmal im Monat","1999","Laendlicher Raum","298","","",""
"Mindestens einmal die Woche","1999","Staedtischer Raum","2249","","",""
"Mindestens einmal die Woche","1999","Laendlicher Raum","1021","","",""
"Fast nie oder nie","2000","Staedtischer Raum","","","",""
"Fast nie oder nie","2000","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2000","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2000","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2000","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2000","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2000","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2000","Laendlicher Raum","","","",""
"Fast nie oder nie","2001","Staedtischer Raum","6786","0.486075501544429","0.477835985354122","0.494315017734737"
"Fast nie oder nie","2001","Laendlicher Raum","4046","0.5494277121103","0.538232029760139","0.56062339446046"
"Mehrmals im Jahr","2001","Staedtischer Raum","2353","","",""
"Mehrmals im Jahr","2001","Laendlicher Raum","1322","","",""
"Mindestens einmal im Monat","2001","Staedtischer Raum","934","0.06659994000148","0.0624896637118362","0.0707102162911238"
"Mindestens einmal im Monat","2001","Laendlicher Raum","428","0.0518065212636659","0.0468193561548287","0.056793686372503"
"Mindestens einmal die Woche","2001","Staedtischer Raum","4062","0.286877874084729","0.279421448855117","0.294334299314341"
"Mindestens einmal die Woche","2001","Laendlicher Raum","1791","","",""
"Fast nie oder nie","2002","Staedtischer Raum","","","",""
"Fast nie oder nie","2002","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2002","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2002","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2002","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2002","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2002","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2002","Laendlicher Raum","","","",""
"Fast nie oder nie","2003","Staedtischer Raum","5316","0.39416887457981","0.386240886361613","0.402096862798006"
"Fast nie oder nie","2003","Laendlicher Raum","2893","","",""
"Mehrmals im Jahr","2003","Staedtischer Raum","2662","","",""
"Mehrmals im Jahr","2003","Laendlicher Raum","1605","","",""
"Mindestens einmal im Monat","2003","Staedtischer Raum","1171","","",""
"Mindestens einmal im Monat","2003","Laendlicher Raum","554","0.0702788636588325","0.064468202776461","0.076089524541204"
"Mindestens einmal die Woche","2003","Staedtischer Raum","5446","0.345250596404154","0.337537108268693","0.352964084539616"
"Mindestens einmal die Woche","2003","Laendlicher Raum","2382","","",""
"Fast nie oder nie","2004","Staedtischer Raum","","","",""
"Fast nie oder nie","2004","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2004","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2004","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2004","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2004","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2004","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2004","Laendlicher Raum","","","",""
"Fast nie oder nie","2005","Staedtischer Raum","5370","0.421270920304197","0.412983126964584","0.42955871364381"
"Fast nie oder nie","2005","Laendlicher Raum","2954","","",""
"Mehrmals im Jahr","2005","Staedtischer Raum","2446","","",""
"Mehrmals im Jahr","2005","Laendlicher Raum","1420","","",""
"Mindestens einmal im Monat","2005","Staedtischer Raum","1114","","",""
"Mindestens einmal im Monat","2005","Laendlicher Raum","504","0.0735770799134283","0.0674274995557402","0.0797266602711164"
"Mindestens einmal die Woche","2005","Staedtischer Raum","4705","0.320045149654185","0.312215069950961","0.327875229357408"
"Mindestens einmal die Woche","2005","Laendlicher Raum","2046","","",""
"Fast nie oder nie","2006","Staedtischer Raum","","","",""
"Fast nie oder nie","2006","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2006","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2006","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2006","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2006","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2006","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2006","Laendlicher Raum","","","",""
"Fast nie oder nie","2007","Staedtischer Raum","5107","0.406181003473956","0.397843497569","0.414518509378912"
"Fast nie oder nie","2007","Laendlicher Raum","3040","0.442142207602869","0.430558229580995","0.453726185624743"
"Mehrmals im Jahr","2007","Staedtischer Raum","2258","","",""
"Mehrmals im Jahr","2007","Laendlicher Raum","1371","","",""
"Mindestens einmal im Monat","2007","Staedtischer Raum","1006","","",""
"Mindestens einmal im Monat","2007","Laendlicher Raum","492","0.0674851616558312","0.0616339338463215","0.073336389465341"
"Mindestens einmal die Woche","2007","Staedtischer Raum","4958","0.347491102780492","0.339407324922332","0.355574880638653"
"Mindestens einmal die Woche","2007","Laendlicher Raum","2158","","",""
"Fast nie oder nie","2008","Staedtischer Raum","3991","0.335825669655283","0.327567532051841","0.344083807258724"
"Fast nie oder nie","2008","Laendlicher Raum","2328","","",""
"Mehrmals im Jahr","2008","Staedtischer Raum","2256","","",""
"Mehrmals im Jahr","2008","Laendlicher Raum","1389","","",""
"Mindestens einmal im Monat","2008","Staedtischer Raum","998","0.0774579820345911","0.0727837497131833","0.0821322143559989"
"Mindestens einmal im Monat","2008","Laendlicher Raum","481","0.0764870141034741","0.0700972727421915","0.0828767554647567"
"Mindestens einmal die Woche","2008","Staedtischer Raum","5319","0.404571335641785","0.395989176751494","0.413153494532076"
"Mindestens einmal die Woche","2008","Laendlicher Raum","2448","","",""
"Fast nie oder nie","2009","Staedtischer Raum","4174","0.369024030531885","0.360240579654734","0.377807481409036"
"Fast nie oder nie","2009","Laendlicher Raum","2691","","",""
"Mehrmals im Jahr","2009","Staedtischer Raum","2028","","",""
"Mehrmals im Jahr","2009","Laendlicher Raum","1181","","",""
"Mindestens einmal im Monat","2009","Staedtischer Raum","861","0.0751936494282742","0.0703935810251219","0.0799937178314266"
"Mindestens einmal im Monat","2009","Laendlicher Raum","469","0.0800376681338487","0.0733503795934346","0.0867249566742628"
"Mindestens einmal die Woche","2009","Staedtischer Raum","4531","0.377351060408936","0.368527865831937","0.386174254985936"
"Mindestens einmal die Woche","2009","Laendlicher Raum","1984","","",""
"Fast nie oder nie","2010","Staedtischer Raum","","","",""
"Fast nie oder nie","2010","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2010","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2010","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2010","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2010","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2010","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2010","Laendlicher Raum","","","",""
"Fast nie oder nie","2011","Staedtischer Raum","6920","0.389846014592869","0.382734151893226","0.396957877292513"
"Fast nie oder nie","2011","Laendlicher Raum","4602","0.444040176531021","0.434394088499848","0.453686264562194"
"Mehrmals im Jahr","2011","Staedtischer Raum","2862","","",""
"Mehrmals im Jahr","2011","Laendlicher Raum","1721","","",""
"Mindestens einmal im Monat","2011","Staedtischer Raum","1207","","",""
"Mindestens einmal im Monat","2011","Laendlicher Raum","599","0.0581013130667485","0.0535596652579778","0.0626429608755193"
"Mindestens einmal die Woche","2011","Staedtischer Raum","7077","0.383385488122684","0.376295560628977","0.39047541561639"
"Mindestens einmal die Woche","2011","Laendlicher Raum","3270","0.32956551933235","0.320439793050914","0.338691245613786"
"Fast nie oder nie","2012","Staedtischer Raum","","","",""
"Fast nie oder nie","2012","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2012","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2012","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2012","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2012","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2012","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2012","Laendlicher Raum","","","",""
"Fast nie oder nie","2013","Staedtischer Raum","5134","0.313369449488527","0.306201186215464","0.32053771276159"
"Fast nie oder nie","2013","Laendlicher Raum","3294","0.345327657697057","0.335663121912303","0.354992193481811"
"Mehrmals im Jahr","2013","Staedtischer Raum","2150","","",""
"Mehrmals im Jahr","2013","Laendlicher Raum","1504","","",""
"Mindestens einmal im Monat","2013","Staedtischer Raum","801","0.0521829545813283","0.0487461831565355","0.0556197260061211"
"Mindestens einmal im Monat","2013","Laendlicher Raum","447","0.0508002698666924","0.0463368768168711","0.0552636629165137"
"Mindestens einmal die Woche","2013","Staedtischer Raum","8001","0.500395556392236","0.492668858584291","0.508122254200181"
"Mindestens einmal die Woche","2013","Laendlicher Raum","4053","0.441467963880189","0.431374808455881","0.451561119304496"
"Fast nie oder nie","2014","Staedtischer Raum","","","",""
"Fast nie oder nie","2014","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2014","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2014","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2014","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2014","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2014","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2014","Laendlicher Raum","","","",""
"Fast nie oder nie","2015","Staedtischer Raum","6383","0.360868913357682","0.35373187444023","0.368005952275134"
"Fast nie oder nie","2015","Laendlicher Raum","3963","0.410999538787785","0.400997730676256","0.421001346899313"
"Mehrmals im Jahr","2015","Staedtischer Raum","2326","","",""
"Mehrmals im Jahr","2015","Laendlicher Raum","1347","","",""
"Mindestens einmal im Monat","2015","Staedtischer Raum","930","0.0574234902490927","0.0539660756840788","0.0608809048141067"
"Mindestens einmal im Monat","2015","Laendlicher Raum","509","0.053496588353182","0.0489222933588993","0.0580708833474646"
"Mindestens einmal die Woche","2015","Staedtischer Raum","7755","0.455341891037738","0.447941082848579","0.462742699226898"
"Mindestens einmal die Woche","2015","Laendlicher Raum","3477","0.382518096091862","0.372638523798084","0.39239766838564"
"Fast nie oder nie","2016","Staedtischer Raum","","","",""
"Fast nie oder nie","2016","Laendlicher Raum","","","",""
"Mehrmals im Jahr","2016","Staedtischer Raum","","","",""
"Mehrmals im Jahr","2016","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","2016","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","2016","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","2016","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","2016","Laendlicher Raum","","","",""
"Fast nie oder nie","2017","Staedtischer Raum","7200","0.344354351824608","0.337738793301153","0.350969910348063"
"Fast nie oder nie","2017","Laendlicher Raum","4482","0.400708751174564","0.391385607210306","0.410031895138821"
"Mehrmals im Jahr","2017","Staedtischer Raum","2569","","",""
"Mehrmals im Jahr","2017","Laendlicher Raum","1514","","",""
"Mindestens einmal im Monat","2017","Staedtischer Raum","1017","","",""
"Mindestens einmal im Monat","2017","Laendlicher Raum","546","0.053337430132773","0.0490623657922212","0.0576124944733248"
"Mindestens einmal die Woche","2017","Staedtischer Raum","9031","0.478998633419316","0.472043336017417","0.485953930821215"
"Mindestens einmal die Woche","2017","Laendlicher Raum","4071","0.404321136203301","0.39498433038556","0.413657942021042"
"Fast nie oder nie","2018","Staedtischer Raum","1100","","",""
"Fast nie oder nie","2018","Laendlicher Raum","428","0.415166515375014","0.382079654281665","0.448253376468363"
"Mehrmals im Jahr","2018","Staedtischer Raum","392","0.155895729484595","0.141118679194132","0.170672779775058"
"Mehrmals im Jahr","2018","Laendlicher Raum","122","","",""
"Mindestens einmal im Monat","2018","Staedtischer Raum","143","","",""
"Mindestens einmal im Monat","2018","Laendlicher Raum","36","0.0477295220444545","0.0334141711872398","0.0620448729016693"
"Mindestens einmal die Woche","2018","Staedtischer Raum","680","0.325991885225223","0.306897373788633","0.345086396661813"
"Mindestens einmal die Woche","2018","Laendlicher Raum","266","","",""
"Fast nie oder nie","2019","Staedtischer Raum","5241","0.273735499437858","0.267332925047244","0.280138073828471"
"Fast nie oder nie","2019","Laendlicher Raum","3040","0.29717362968243","0.288063827875502","0.306283431489357"
"Mehrmals im Jahr","2019","Staedtischer Raum","2324","","",""
"Mehrmals im Jahr","2019","Laendlicher Raum","1388","","",""
"Mindestens einmal im Monat","2019","Staedtischer Raum","839","0.0462175526290534","0.0432026742403222","0.0492324310177846"
"Mindestens einmal im Monat","2019","Laendlicher Raum","478","0.0486177660136491","0.0443307531336766","0.0529047788936216"
"Mindestens einmal die Woche","2019","Staedtischer Raum","10226","","",""
"Mindestens einmal die Woche","2019","Laendlicher Raum","4762","0.504573532667669","0.494607286610691","0.514539778724648"
