"m11104","year","age_gr","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Mehrmals im Jahr","1986","35-65","Staedtischer Raum","413","0.102252210142459","0.0931571840580457","0.111347236226873"
"Mehrmals im Jahr","1986","35-65","Laendlicher Raum","122","","",""
"Mehrmals im Jahr","1986","66 +","Staedtischer Raum","14","","",""
"Mehrmals im Jahr","1986","66 +","Laendlicher Raum","3","","",""
"Mindestens einmal im Monat","1986","17-34","Staedtischer Raum","245","","",""
"Mindestens einmal im Monat","1986","17-34","Laendlicher Raum","57","0.0661223540038282","0.0493077651021586","0.0829369429054979"
"Mindestens einmal im Monat","1986","35-65","Staedtischer Raum","185","","",""
"Mindestens einmal im Monat","1986","35-65","Laendlicher Raum","59","0.0515557926711834","0.0386570984170212","0.0644544869253455"
"Mindestens einmal im Monat","1986","66 +","Staedtischer Raum","13","","",""
"Mindestens einmal im Monat","1986","66 +","Laendlicher Raum","5","0.0208699474218307","0.00359363359141778","0.0381462612522436"
"Mindestens einmal die Woche","1986","17-34","Staedtischer Raum","1175","","",""
"Mindestens einmal die Woche","1986","17-34","Laendlicher Raum","290","","",""
"Mindestens einmal die Woche","1986","35-65","Staedtischer Raum","768","0.214175186619552","0.20186008866069","0.226490284578413"
"Mindestens einmal die Woche","1986","35-65","Laendlicher Raum","223","","",""
"Mindestens einmal die Woche","1986","66 +","Staedtischer Raum","55","0.0685300083172485","0.0504240248929595","0.0866359917415375"
"Mindestens einmal die Woche","1986","66 +","Laendlicher Raum","21","","",""
"Fast nie oder nie","1987","17-34","Staedtischer Raum","","","",""
"Fast nie oder nie","1987","17-34","Laendlicher Raum","","","",""
"Fast nie oder nie","1987","35-65","Staedtischer Raum","","","",""
"Fast nie oder nie","1987","35-65","Laendlicher Raum","","","",""
"Fast nie oder nie","1987","66 +","Staedtischer Raum","","","",""
"Fast nie oder nie","1987","66 +","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1987","17-34","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1987","17-34","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1987","35-65","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1987","35-65","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1987","66 +","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1987","66 +","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1987","17-34","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1987","17-34","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1987","35-65","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1987","35-65","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1987","66 +","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1987","66 +","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1987","17-34","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1987","17-34","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1987","35-65","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1987","35-65","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1987","66 +","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1987","66 +","Laendlicher Raum","","","",""
"Fast nie oder nie","1988","17-34","Staedtischer Raum","1186","","",""
"Fast nie oder nie","1988","17-34","Laendlicher Raum","282","","",""
"Fast nie oder nie","1988","35-65","Staedtischer Raum","2631","","",""
"Fast nie oder nie","1988","35-65","Laendlicher Raum","628","0.583867015363307","0.553909591610206","0.613824439116408"
"Fast nie oder nie","1988","66 +","Staedtischer Raum","663","0.869094715496093","0.845192975517401","0.892996455474784"
"Fast nie oder nie","1988","66 +","Laendlicher Raum","209","","",""
"Mehrmals im Jahr","1988","17-34","Staedtischer Raum","547","0.193893070496119","0.179867087834166","0.207919053158071"
"Mehrmals im Jahr","1988","17-34","Laendlicher Raum","184","","",""
"Mehrmals im Jahr","1988","35-65","Staedtischer Raum","443","0.126486010677001","0.116160579835702","0.136811441518299"
"Mehrmals im Jahr","1988","35-65","Laendlicher Raum","125","","",""
"Mehrmals im Jahr","1988","66 +","Staedtischer Raum","17","","",""
"Mehrmals im Jahr","1988","66 +","Laendlicher Raum","15","","",""
"Mindestens einmal im Monat","1988","17-34","Staedtischer Raum","220","","",""
"Mindestens einmal im Monat","1988","17-34","Laendlicher Raum","59","0.0785571211132225","0.0596029586222779","0.097511283604167"
"Mindestens einmal im Monat","1988","35-65","Staedtischer Raum","168","","",""
"Mindestens einmal im Monat","1988","35-65","Laendlicher Raum","55","0.0541191007212823","0.0403683966761645","0.0678698047664"
"Mindestens einmal im Monat","1988","66 +","Staedtischer Raum","13","","",""
"Mindestens einmal im Monat","1988","66 +","Laendlicher Raum","5","0.0212523216031323","0.00348072721408553","0.0390239159921791"
"Mindestens einmal die Woche","1988","17-34","Staedtischer Raum","1099","","",""
"Mindestens einmal die Woche","1988","17-34","Laendlicher Raum","249","","",""
"Mindestens einmal die Woche","1988","35-65","Staedtischer Raum","739","0.219059895121507","0.206211694684716","0.231908095558298"
"Mindestens einmal die Woche","1988","35-65","Laendlicher Raum","232","","",""
"Mindestens einmal die Woche","1988","66 +","Staedtischer Raum","72","0.0922917920190102","0.0717814905388828","0.112802093499138"
"Mindestens einmal die Woche","1988","66 +","Laendlicher Raum","24","","",""
"Fast nie oder nie","1989","17-34","Staedtischer Raum","","","",""
"Fast nie oder nie","1989","17-34","Laendlicher Raum","","","",""
"Fast nie oder nie","1989","35-65","Staedtischer Raum","","","",""
"Fast nie oder nie","1989","35-65","Laendlicher Raum","","","",""
"Fast nie oder nie","1989","66 +","Staedtischer Raum","","","",""
"Fast nie oder nie","1989","66 +","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1989","17-34","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1989","17-34","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1989","35-65","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1989","35-65","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1989","66 +","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1989","66 +","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1989","17-34","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1989","17-34","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1989","35-65","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1989","35-65","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1989","66 +","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1989","66 +","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1989","17-34","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1989","17-34","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1989","35-65","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1989","35-65","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1989","66 +","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1989","66 +","Laendlicher Raum","","","",""
"Fast nie oder nie","1990","17-34","Staedtischer Raum","1117","","",""
"Fast nie oder nie","1990","17-34","Laendlicher Raum","812","0.364782772231024","0.342734111612892","0.386831432849156"
"Fast nie oder nie","1990","35-65","Staedtischer Raum","2479","","",""
"Fast nie oder nie","1990","35-65","Laendlicher Raum","1526","","",""
"Fast nie oder nie","1990","66 +","Staedtischer Raum","719","0.799699983316419","0.773494141065865","0.825905825566974"
"Fast nie oder nie","1990","66 +","Laendlicher Raum","451","0.827110718024131","0.794946967112828","0.859274468935434"
"Mehrmals im Jahr","1990","17-34","Staedtischer Raum","745","0.236189691010059","0.221952583405775","0.250426798614343"
"Mehrmals im Jahr","1990","17-34","Laendlicher Raum","417","0.245385545096854","0.225675348007273","0.265095742186435"
"Mehrmals im Jahr","1990","35-65","Staedtischer Raum","774","0.192542561162569","0.181070563828391","0.204014558496747"
"Mehrmals im Jahr","1990","35-65","Laendlicher Raum","376","0.187351004113882","0.17169458691848","0.203007421309284"
"Mehrmals im Jahr","1990","66 +","Staedtischer Raum","55","0.061476636196739","0.0457487021768336","0.0772045702166444"
"Mehrmals im Jahr","1990","66 +","Laendlicher Raum","29","","",""
"Mindestens einmal im Monat","1990","17-34","Staedtischer Raum","325","0.102784944992214","0.0926057936680473","0.112964096316381"
"Mindestens einmal im Monat","1990","17-34","Laendlicher Raum","127","","",""
"Mindestens einmal im Monat","1990","35-65","Staedtischer Raum","322","0.0818909107612023","0.0739131531071857","0.0898686684152189"
"Mindestens einmal im Monat","1990","35-65","Laendlicher Raum","136","","",""
"Mindestens einmal im Monat","1990","66 +","Staedtischer Raum","26","","",""
"Mindestens einmal im Monat","1990","66 +","Laendlicher Raum","9","0.0229404410059503","0.0102065176747846","0.0356743643371161"
"Mindestens einmal die Woche","1990","17-34","Staedtischer Raum","1232","","",""
"Mindestens einmal die Woche","1990","17-34","Laendlicher Raum","475","0.305755418643266","0.284652270414623","0.326858566871909"
"Mindestens einmal die Woche","1990","35-65","Staedtischer Raum","963","0.255091946981584","0.242409135001049","0.267774758962118"
"Mindestens einmal die Woche","1990","35-65","Laendlicher Raum","348","0.183464417286167","0.167934242206421","0.198994592365912"
"Mindestens einmal die Woche","1990","66 +","Staedtischer Raum","96","0.105032167235694","0.0849570096715501","0.125107324799838"
"Mindestens einmal die Woche","1990","66 +","Laendlicher Raum","42","0.0863686175305363","0.062475967657522","0.110261267403551"
"Fast nie oder nie","1991","17-34","Staedtischer Raum","","","",""
"Fast nie oder nie","1991","17-34","Laendlicher Raum","","","",""
"Fast nie oder nie","1991","35-65","Staedtischer Raum","","","",""
"Fast nie oder nie","1991","35-65","Laendlicher Raum","","","",""
"Fast nie oder nie","1991","66 +","Staedtischer Raum","","","",""
"Fast nie oder nie","1991","66 +","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1991","17-34","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1991","17-34","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1991","35-65","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1991","35-65","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1991","66 +","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1991","66 +","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1991","17-34","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1991","17-34","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1991","35-65","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1991","35-65","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1991","66 +","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1991","66 +","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1991","17-34","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1991","17-34","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1991","35-65","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1991","35-65","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1991","66 +","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1991","66 +","Laendlicher Raum","","","",""
"Fast nie oder nie","1992","17-34","Staedtischer Raum","1139","","",""
"Fast nie oder nie","1992","17-34","Laendlicher Raum","686","0.381099466552593","0.357764830642395","0.404434102462791"
"Fast nie oder nie","1992","35-65","Staedtischer Raum","2709","","",""
"Fast nie oder nie","1992","35-65","Laendlicher Raum","1532","","",""
"Fast nie oder nie","1992","66 +","Staedtischer Raum","751","0.843505338807985","0.819662424122711","0.867348253493259"
"Fast nie oder nie","1992","66 +","Laendlicher Raum","451","0.88003464510394","0.851639643017604","0.908429647190276"
"Mehrmals im Jahr","1992","17-34","Staedtischer Raum","665","0.220526187447532","0.206147756889745","0.23490461800532"
"Mehrmals im Jahr","1992","17-34","Laendlicher Raum","409","0.236412392159066","0.215998022030369","0.256826762287762"
"Mehrmals im Jahr","1992","35-65","Staedtischer Raum","666","0.160418185000246","0.149563313583094","0.171273056417397"
"Mehrmals im Jahr","1992","35-65","Laendlicher Raum","382","0.169290943894852","0.15399495849863","0.184586929291074"
"Mehrmals im Jahr","1992","66 +","Staedtischer Raum","26","","",""
"Mehrmals im Jahr","1992","66 +","Laendlicher Raum","14","","",""
"Mindestens einmal im Monat","1992","17-34","Staedtischer Raum","293","","",""
"Mindestens einmal im Monat","1992","17-34","Laendlicher Raum","129","","",""
"Mindestens einmal im Monat","1992","35-65","Staedtischer Raum","223","","",""
"Mindestens einmal im Monat","1992","35-65","Laendlicher Raum","93","0.0530569267265191","0.0439143396473078","0.0621995138057304"
"Mindestens einmal im Monat","1992","66 +","Staedtischer Raum","22","","",""
"Mindestens einmal im Monat","1992","66 +","Laendlicher Raum","1","","",""
"Mindestens einmal die Woche","1992","17-34","Staedtischer Raum","1097","","",""
"Mindestens einmal die Woche","1992","17-34","Laendlicher Raum","440","0.30829847357194","0.286110559039291","0.330486388104589"
"Mindestens einmal die Woche","1992","35-65","Staedtischer Raum","793","0.215121568742921","0.202967839754766","0.227275297731075"
"Mindestens einmal die Woche","1992","35-65","Laendlicher Raum","302","0.158017002733657","0.143139169195015","0.172894836272298"
"Mindestens einmal die Woche","1992","66 +","Staedtischer Raum","93","0.106391936144515","0.086157385719874","0.126626486569156"
"Mindestens einmal die Woche","1992","66 +","Laendlicher Raum","37","0.0883883269546011","0.0635817697809126","0.11319488412829"
"Fast nie oder nie","1993","17-34","Staedtischer Raum","","","",""
"Fast nie oder nie","1993","17-34","Laendlicher Raum","","","",""
"Fast nie oder nie","1993","35-65","Staedtischer Raum","","","",""
"Fast nie oder nie","1993","35-65","Laendlicher Raum","","","",""
"Fast nie oder nie","1993","66 +","Staedtischer Raum","","","",""
"Fast nie oder nie","1993","66 +","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1993","17-34","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1993","17-34","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1993","35-65","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1993","35-65","Laendlicher Raum","","","",""
"Mehrmals im Jahr","1993","66 +","Staedtischer Raum","","","",""
"Mehrmals im Jahr","1993","66 +","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1993","17-34","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1993","17-34","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1993","35-65","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1993","35-65","Laendlicher Raum","","","",""
"Mindestens einmal im Monat","1993","66 +","Staedtischer Raum","","","",""
"Mindestens einmal im Monat","1993","66 +","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1993","17-34","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1993","17-34","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1993","35-65","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1993","35-65","Laendlicher Raum","","","",""
"Mindestens einmal die Woche","1993","66 +","Staedtischer Raum","","","",""
"Mindestens einmal die Woche","1993","66 +","Laendlicher Raum","","","",""
"Fast nie oder nie","1994","17-34","Staedtischer Raum","1074","","",""
"Fast nie oder nie","1994","17-34","Laendlicher Raum","607","0.366835433757528","0.343079281684291","0.390591585830766"
"Fast nie oder nie","1994","35-65","Staedtischer Raum","2537","","",""
"Fast nie oder nie","1994","35-65","Laendlicher Raum","1510","","",""
"Fast nie oder nie","1994","66 +","Staedtischer Raum","802","0.860823599890102","0.838589828675392","0.883057371104813"
"Fast nie oder nie","1994","66 +","Laendlicher Raum","433","0.834650824447657","0.802282049516798","0.867019599378517"
"Mehrmals im Jahr","1994","17-34","Staedtischer Raum","761","0.244168273591143","0.229213644878854","0.259122902303433"
"Mehrmals im Jahr","1994","17-34","Laendlicher Raum","392","0.228576243394364","0.20787748925088","0.249274997537848"
"Mehrmals im Jahr","1994","35-65","Staedtischer Raum","703","0.180322705023588","0.168723224901141","0.191922185146034"
"Mehrmals im Jahr","1994","35-65","Laendlicher Raum","363","0.173908330827084","0.158260813188448","0.189555848465719"
"Mehrmals im Jahr","1994","66 +","Staedtischer Raum","26","","",""
"Mehrmals im Jahr","1994","66 +","Laendlicher Raum","29","","",""
"Mindestens einmal im Monat","1994","17-34","Staedtischer Raum","295","","",""
"Mindestens einmal im Monat","1994","17-34","Laendlicher Raum","140","","",""
"Mindestens einmal im Monat","1994","35-65","Staedtischer Raum","226","","",""
"Mindestens einmal im Monat","1994","35-65","Laendlicher Raum","93","0.0526722546885638","0.0434505285999978","0.0618939807771298"
"Mindestens einmal im Monat","1994","66 +","Staedtischer Raum","17","","",""
"Mindestens einmal im Monat","1994","66 +","Laendlicher Raum","3","","",""
"Mindestens einmal die Woche","1994","17-34","Staedtischer Raum","1040","","",""
"Mindestens einmal die Woche","1994","17-34","Laendlicher Raum","442","0.314370143323614","0.291485314767102","0.337254971880126"
"Mindestens einmal die Woche","1994","35-65","Staedtischer Raum","754","0.219309929119905","0.206825739951713","0.231794118288097"
"Mindestens einmal die Woche","1994","35-65","Laendlicher Raum","288","","",""
"Mindestens einmal die Woche","1994","66 +","Staedtischer Raum","86","0.0894712184120411","0.0711370268178648","0.107805410006217"
"Mindestens einmal die Woche","1994","66 +","Laendlicher Raum","41","0.0961016799186494","0.0704214970533688","0.12178186278393"
"Fast nie oder nie","1995","17-34","Staedtischer Raum","895","0.229659190726812","0.215209586154012","0.244108795299611"
"Fast nie oder nie","1995","17-34","Laendlicher Raum","395","0.223094507542644","0.202969978790012","0.243219036295275"
"Fast nie oder nie","1995","35-65","Staedtischer Raum","2182","","",""
"Fast nie oder nie","1995","35-65","Laendlicher Raum","1185","","",""
"Fast nie oder nie","1995","66 +","Staedtischer Raum","769","0.774621140213155","0.74860681740349","0.80063546302282"
"Fast nie oder nie","1995","66 +","Laendlicher Raum","405","0.774595664927548","0.738152082218951","0.811039247636145"
"Mehrmals im Jahr","1995","17-34","Staedtischer Raum","765","0.244219893975845","0.229460761131484","0.258979026820206"
"Mehrmals im Jahr","1995","17-34","Laendlicher Raum","495","0.280239183711604","0.258529389135347","0.30194897828786"
"Mehrmals im Jahr","1995","35-65","Staedtischer Raum","919","0.215315831087397","0.20317194084546","0.227459721329334"
"Mehrmals im Jahr","1995","35-65","Laendlicher Raum","637","0.266325357546897","0.248592452220774","0.284058262873021"
"Mehrmals im Jahr","1995","66 +","Staedtischer Raum","79","0.0834579524199019","0.06623842123493","0.100677483604874"
"Mehrmals im Jahr","1995","66 +","Laendlicher Raum","33","0.0766021837349223","0.0534059541375967","0.099798413332248"
"Mindestens einmal im Monat","1995","17-34","Staedtischer Raum","317","0.0996855478609965","0.0893938789700746","0.109977216751918"
"Mindestens einmal im Monat","1995","17-34","Laendlicher Raum","182","","",""
"Mindestens einmal im Monat","1995","35-65","Staedtischer Raum","287","","",""
"Mindestens einmal im Monat","1995","35-65","Laendlicher Raum","127","","",""
"Mindestens einmal im Monat","1995","66 +","Staedtischer Raum","25","","",""
"Mindestens einmal im Monat","1995","66 +","Laendlicher Raum","17","","",""
"Mindestens einmal die Woche","1995","17-34","Staedtischer Raum","1278","","",""
"Mindestens einmal die Woche","1995","17-34","Laendlicher Raum","572","0.393227094142802","0.369615136720017","0.416839051565587"
"Mindestens einmal die Woche","1995","35-65","Staedtischer Raum","1013","","",""
"Mindestens einmal die Woche","1995","35-65","Laendlicher Raum","438","0.216158313810441","0.199645463970866","0.232671163650017"
"Mindestens einmal die Woche","1995","66 +","Staedtischer Raum","118","","",""
"Mindestens einmal die Woche","1995","66 +","Laendlicher Raum","50","0.109932645261199","0.0826505841487908","0.137214706373606"
"Fast nie oder nie","1996","17-34","Staedtischer Raum","984","0.276842252222117","0.261214573679049","0.292469930765185"
"Fast nie oder nie","1996","17-34","Laendlicher Raum","502","0.294906977203408","0.272486137443344","0.317327816963473"
"Fast nie oder nie","1996","35-65","Staedtischer Raum","2338","","",""
"Fast nie oder nie","1996","35-65","Laendlicher Raum","1401","","",""
"Fast nie oder nie","1996","66 +","Staedtischer Raum","811","0.782008967201985","0.7566335731203","0.807384361283669"
"Fast nie oder nie","1996","66 +","Laendlicher Raum","421","0.791643675070766","0.756256894747584","0.827030455393947"
"Mehrmals im Jahr","1996","17-34","Staedtischer Raum","810","0.256953432203358","0.241691940375345","0.272214924031371"
"Mehrmals im Jahr","1996","17-34","Laendlicher Raum","461","0.278641115063743","0.256597417964216","0.300684812163269"
"Mehrmals im Jahr","1996","35-65","Staedtischer Raum","820","0.205133505070046","0.193041766306798","0.217225243833295"
"Mehrmals im Jahr","1996","35-65","Laendlicher Raum","507","0.209212319878817","0.192935987799309","0.225488651958326"
"Mehrmals im Jahr","1996","66 +","Staedtischer Raum","65","0.0671453163635927","0.0517636823045818","0.0825269504226035"
"Mehrmals im Jahr","1996","66 +","Laendlicher Raum","30","0.071838711346529","0.0493396797921895","0.0943377429008684"
"Mindestens einmal im Monat","1996","17-34","Staedtischer Raum","335","0.102151018288744","0.0915734762987578","0.112728560278731"
"Mindestens einmal im Monat","1996","17-34","Laendlicher Raum","149","","",""
"Mindestens einmal im Monat","1996","35-65","Staedtischer Raum","260","","",""
"Mindestens einmal im Monat","1996","35-65","Laendlicher Raum","125","","",""
"Mindestens einmal im Monat","1996","66 +","Staedtischer Raum","32","0.0380404550302336","0.0262836620686658","0.0497972479918015"
"Mindestens einmal im Monat","1996","66 +","Laendlicher Raum","16","","",""
"Mindestens einmal die Woche","1996","17-34","Staedtischer Raum","1020","","",""
"Mindestens einmal die Woche","1996","17-34","Laendlicher Raum","477","0.344395902260574","0.321032506816287","0.367759297704862"
"Mindestens einmal die Woche","1996","35-65","Staedtischer Raum","866","0.245929328578798","0.233033936628068","0.258824720529527"
"Mindestens einmal die Woche","1996","35-65","Laendlicher Raum","366","0.180240421650798","0.164858793281524","0.195622050020072"
"Mindestens einmal die Woche","1996","66 +","Staedtischer Raum","109","","",""
"Mindestens einmal die Woche","1996","66 +","Laendlicher Raum","39","0.0999210305859723","0.073790899276266","0.126051161895679"
"Fast nie oder nie","1997","17-34","Staedtischer Raum","962","0.281704130636315","0.265708458334492","0.297699802938139"
"Fast nie oder nie","1997","17-34","Laendlicher Raum","507","0.323340642694458","0.300031938587761","0.346649346801156"
"Fast nie oder nie","1997","35-65","Staedtischer Raum","2378","","",""
"Fast nie oder nie","1997","35-65","Laendlicher Raum","1405","","",""
"Fast nie oder nie","1997","66 +","Staedtischer Raum","825","0.811058085022737","0.786975383383955","0.835140786661519"
"Fast nie oder nie","1997","66 +","Laendlicher Raum","424","0.792617561446147","0.757567856592925","0.827667266299368"
"Mehrmals im Jahr","1997","17-34","Staedtischer Raum","730","0.25321905554074","0.237755868383895","0.268682242697586"
"Mehrmals im Jahr","1997","17-34","Laendlicher Raum","456","0.269706010699407","0.247590493013111","0.291821528385703"
"Mehrmals im Jahr","1997","35-65","Staedtischer Raum","728","0.186149201223171","0.174389041751159","0.197909360695182"
"Mehrmals im Jahr","1997","35-65","Laendlicher Raum","470","0.192476420892196","0.176590693915578","0.208362147868813"
"Mehrmals im Jahr","1997","66 +","Staedtischer Raum","50","0.0488028459697649","0.0355480540164585","0.0620576379230713"
"Mehrmals im Jahr","1997","66 +","Laendlicher Raum","38","0.0801001807466014","0.056633398344248","0.103566963148955"
"Mindestens einmal im Monat","1997","17-34","Staedtischer Raum","265","","",""
"Mindestens einmal im Monat","1997","17-34","Laendlicher Raum","138","","",""
"Mindestens einmal im Monat","1997","35-65","Staedtischer Raum","217","","",""
"Mindestens einmal im Monat","1997","35-65","Laendlicher Raum","113","","",""
"Mindestens einmal im Monat","1997","66 +","Staedtischer Raum","14","","",""
"Mindestens einmal im Monat","1997","66 +","Laendlicher Raum","10","","",""
"Mindestens einmal die Woche","1997","17-34","Staedtischer Raum","1081","","",""
"Mindestens einmal die Woche","1997","17-34","Laendlicher Raum","446","0.319420978562434","0.296186981447307","0.342654975677561"
"Mindestens einmal die Woche","1997","35-65","Staedtischer Raum","885","0.252535512956018","0.239408475117524","0.265662550794511"
"Mindestens einmal die Woche","1997","35-65","Laendlicher Raum","378","0.197837601572114","0.181785707309705","0.213889495834523"
"Mindestens einmal die Woche","1997","66 +","Staedtischer Raum","126","","",""
"Mindestens einmal die Woche","1997","66 +","Laendlicher Raum","42","0.106937614219851","0.0802215378710341","0.133653690568668"
"Fast nie oder nie","1998","17-34","Staedtischer Raum","790","0.214179755472458","0.199965506518427","0.22839400442649"
"Fast nie oder nie","1998","17-34","Laendlicher Raum","394","0.229911297644032","0.209490549790917","0.250332045497148"
"Fast nie oder nie","1998","35-65","Staedtischer Raum","2127","","",""
"Fast nie oder nie","1998","35-65","Laendlicher Raum","1193","","",""
