"m11104","year","age_gr","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Mindestens einmal im Monat","1988","66 +","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1988","17-34","Westdeutschland","1348","","",""
"Mindestens einmal die Woche","1988","17-34","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1988","35-65","Westdeutschland","971","0.221952850532432","0.210458450651692","0.233447250413172"
"Mindestens einmal die Woche","1988","35-65","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1988","66 +","Westdeutschland","96","0.0939095359736854","0.075990492248306","0.111828579699065"
"Mindestens einmal die Woche","1988","66 +","Ostdeutschland","","","",""
"Fast nie oder nie","1989","17-34","Westdeutschland","","","",""
"Fast nie oder nie","1989","17-34","Ostdeutschland","","","",""
"Fast nie oder nie","1989","35-65","Westdeutschland","","","",""
"Fast nie oder nie","1989","35-65","Ostdeutschland","","","",""
"Fast nie oder nie","1989","66 +","Westdeutschland","","","",""
"Fast nie oder nie","1989","66 +","Ostdeutschland","","","",""
"Mehrmals im Jahr","1989","17-34","Westdeutschland","","","",""
"Mehrmals im Jahr","1989","17-34","Ostdeutschland","","","",""
"Mehrmals im Jahr","1989","35-65","Westdeutschland","","","",""
"Mehrmals im Jahr","1989","35-65","Ostdeutschland","","","",""
"Mehrmals im Jahr","1989","66 +","Westdeutschland","","","",""
"Mehrmals im Jahr","1989","66 +","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1989","17-34","Westdeutschland","","","",""
"Mindestens einmal im Monat","1989","17-34","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1989","35-65","Westdeutschland","","","",""
"Mindestens einmal im Monat","1989","35-65","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1989","66 +","Westdeutschland","","","",""
"Mindestens einmal im Monat","1989","66 +","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1989","17-34","Westdeutschland","","","",""
"Mindestens einmal die Woche","1989","17-34","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1989","35-65","Westdeutschland","","","",""
"Mindestens einmal die Woche","1989","35-65","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1989","66 +","Westdeutschland","","","",""
"Mindestens einmal die Woche","1989","66 +","Ostdeutschland","","","",""
"Fast nie oder nie","1990","17-34","Westdeutschland","1019","","",""
"Fast nie oder nie","1990","17-34","Ostdeutschland","932","0.560308491078702","0.536452931523835","0.584164050633569"
"Fast nie oder nie","1990","35-65","Westdeutschland","2393","","",""
"Fast nie oder nie","1990","35-65","Ostdeutschland","1638","","",""
"Fast nie oder nie","1990","66 +","Westdeutschland","806","0.783815674591744","0.758688837072705","0.808942512110783"
"Fast nie oder nie","1990","66 +","Ostdeutschland","367","0.928665924590453","0.903442946142828","0.953888903038079"
"Mehrmals im Jahr","1990","17-34","Westdeutschland","819","0.246719519874349","0.232687690225628","0.26075134952307"
"Mehrmals im Jahr","1990","17-34","Ostdeutschland","354","0.211605122136719","0.191974369462189","0.231235874811248"
"Mehrmals im Jahr","1990","35-65","Westdeutschland","897","0.210370986352775","0.198771840779902","0.221970131925648"
"Mehrmals im Jahr","1990","35-65","Ostdeutschland","263","","",""
"Mehrmals im Jahr","1990","66 +","Westdeutschland","73","0.0702091619187248","0.0546133394067282","0.0858049844307214"
"Mehrmals im Jahr","1990","66 +","Ostdeutschland","11","","",""
"Mindestens einmal im Monat","1990","17-34","Westdeutschland","383","0.110857264280399","0.100638414571231","0.121076113989567"
"Mindestens einmal im Monat","1990","17-34","Ostdeutschland","70","0.0413225225753898","0.0317564947140027","0.0508885504367769"
"Mindestens einmal im Monat","1990","35-65","Westdeutschland","386","0.0899361965481374","0.0817943163484212","0.0980780767478535"
"Mindestens einmal im Monat","1990","35-65","Ostdeutschland","75","0.0316955688924387","0.0244146543315552","0.0389764834533221"
"Mindestens einmal im Monat","1990","66 +","Westdeutschland","33","0.0356541716535993","0.0243356335573885","0.0469727097498102"
"Mindestens einmal im Monat","1990","66 +","Ostdeutschland","2","","",""
"Mindestens einmal die Woche","1990","17-34","Westdeutschland","1405","","",""
"Mindestens einmal die Woche","1990","17-34","Ostdeutschland","307","0.18676386420919","0.168033046987044","0.205494681431335"
"Mindestens einmal die Woche","1990","35-65","Westdeutschland","1067","","",""
"Mindestens einmal die Woche","1990","35-65","Ostdeutschland","248","","",""
"Mindestens einmal die Woche","1990","66 +","Westdeutschland","119","","",""
"Mindestens einmal die Woche","1990","66 +","Ostdeutschland","20","","",""
"Fast nie oder nie","1991","17-34","Westdeutschland","","","",""
"Fast nie oder nie","1991","17-34","Ostdeutschland","","","",""
"Fast nie oder nie","1991","35-65","Westdeutschland","","","",""
"Fast nie oder nie","1991","35-65","Ostdeutschland","","","",""
"Fast nie oder nie","1991","66 +","Westdeutschland","","","",""
"Fast nie oder nie","1991","66 +","Ostdeutschland","","","",""
"Mehrmals im Jahr","1991","17-34","Westdeutschland","","","",""
"Mehrmals im Jahr","1991","17-34","Ostdeutschland","","","",""
"Mehrmals im Jahr","1991","35-65","Westdeutschland","","","",""
"Mehrmals im Jahr","1991","35-65","Ostdeutschland","","","",""
"Mehrmals im Jahr","1991","66 +","Westdeutschland","","","",""
"Mehrmals im Jahr","1991","66 +","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1991","17-34","Westdeutschland","","","",""
"Mindestens einmal im Monat","1991","17-34","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1991","35-65","Westdeutschland","","","",""
"Mindestens einmal im Monat","1991","35-65","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1991","66 +","Westdeutschland","","","",""
"Mindestens einmal im Monat","1991","66 +","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1991","17-34","Westdeutschland","","","",""
"Mindestens einmal die Woche","1991","17-34","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1991","35-65","Westdeutschland","","","",""
"Mindestens einmal die Woche","1991","35-65","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1991","66 +","Westdeutschland","","","",""
"Mindestens einmal die Woche","1991","66 +","Ostdeutschland","","","",""
"Fast nie oder nie","1992","17-34","Westdeutschland","1176","","",""
"Fast nie oder nie","1992","17-34","Ostdeutschland","677","0.495759412004082","0.469351412376983","0.522167411631181"
"Fast nie oder nie","1992","35-65","Westdeutschland","2736","","",""
"Fast nie oder nie","1992","35-65","Ostdeutschland","1542","","",""
"Fast nie oder nie","1992","66 +","Westdeutschland","853","0.840615515836918","0.818097154099149","0.863133877574686"
"Fast nie oder nie","1992","66 +","Ostdeutschland","356","0.924270907192909","0.897912229042602","0.950629585343215"
"Mehrmals im Jahr","1992","17-34","Westdeutschland","740","0.2211137163099","0.207441066845432","0.234786365774369"
"Mehrmals im Jahr","1992","17-34","Ostdeutschland","346","0.242856849332016","0.220208044047168","0.265505654616864"
"Mehrmals im Jahr","1992","35-65","Westdeutschland","702","0.167331155015655","0.156532583461184","0.178129726570127"
"Mehrmals im Jahr","1992","35-65","Ostdeutschland","354","0.147401874804541","0.132458663537424","0.162345086071658"
"Mehrmals im Jahr","1992","66 +","Westdeutschland","31","0.027523210416875","0.0174584315509262","0.0375879892828238"
"Mehrmals im Jahr","1992","66 +","Ostdeutschland","9","0.0221878446497833","0.00751285233038984","0.0368628369691767"
"Mindestens einmal im Monat","1992","17-34","Westdeutschland","337","0.0979259944568608","0.0881338482546614","0.10771814065906"
"Mindestens einmal im Monat","1992","17-34","Ostdeutschland","86","0.0609303799665243","0.0482962028899616","0.0735645570430871"
"Mindestens einmal im Monat","1992","35-65","Westdeutschland","259","","",""
"Mindestens einmal im Monat","1992","35-65","Ostdeutschland","57","0.0305192460057434","0.0232685993351104","0.0377698926763765"
"Mindestens einmal im Monat","1992","66 +","Westdeutschland","21","","",""
"Mindestens einmal im Monat","1992","66 +","Ostdeutschland","2","","",""
"Mindestens einmal die Woche","1992","17-34","Westdeutschland","1286","","",""
"Mindestens einmal die Woche","1992","17-34","Ostdeutschland","268","","",""
"Mindestens einmal die Woche","1992","35-65","Westdeutschland","893","0.224320447487386","0.212252946272623","0.236387948702149"
"Mindestens einmal die Woche","1992","35-65","Ostdeutschland","209","","",""
"Mindestens einmal die Woche","1992","66 +","Westdeutschland","110","","",""
"Mindestens einmal die Woche","1992","66 +","Ostdeutschland","20","","",""
"Fast nie oder nie","1993","17-34","Westdeutschland","","","",""
"Fast nie oder nie","1993","17-34","Ostdeutschland","","","",""
"Fast nie oder nie","1993","35-65","Westdeutschland","","","",""
"Fast nie oder nie","1993","35-65","Ostdeutschland","","","",""
"Fast nie oder nie","1993","66 +","Westdeutschland","","","",""
"Fast nie oder nie","1993","66 +","Ostdeutschland","","","",""
"Mehrmals im Jahr","1993","17-34","Westdeutschland","","","",""
"Mehrmals im Jahr","1993","17-34","Ostdeutschland","","","",""
"Mehrmals im Jahr","1993","35-65","Westdeutschland","","","",""
"Mehrmals im Jahr","1993","35-65","Ostdeutschland","","","",""
"Mehrmals im Jahr","1993","66 +","Westdeutschland","","","",""
"Mehrmals im Jahr","1993","66 +","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1993","17-34","Westdeutschland","","","",""
"Mindestens einmal im Monat","1993","17-34","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1993","35-65","Westdeutschland","","","",""
"Mindestens einmal im Monat","1993","35-65","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1993","66 +","Westdeutschland","","","",""
"Mindestens einmal im Monat","1993","66 +","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1993","17-34","Westdeutschland","","","",""
"Mindestens einmal die Woche","1993","17-34","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1993","35-65","Westdeutschland","","","",""
"Mindestens einmal die Woche","1993","35-65","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1993","66 +","Westdeutschland","","","",""
"Mindestens einmal die Woche","1993","66 +","Ostdeutschland","","","",""
"Fast nie oder nie","1994","17-34","Westdeutschland","1090","","",""
"Fast nie oder nie","1994","17-34","Ostdeutschland","591","0.487751744479017","0.460174042548576","0.515329446409458"
"Fast nie oder nie","1994","35-65","Westdeutschland","2534","","",""
"Fast nie oder nie","1994","35-65","Ostdeutschland","1513","","",""
"Fast nie oder nie","1994","66 +","Westdeutschland","886","0.836856616733449","0.814560351575217","0.859152881891681"
"Fast nie oder nie","1994","66 +","Ostdeutschland","349","0.923959882422492","0.897379308317713","0.950540456527271"
"Mehrmals im Jahr","1994","17-34","Westdeutschland","827","0.23924735638147","0.225091279415255","0.253403433347686"
"Mehrmals im Jahr","1994","17-34","Ostdeutschland","326","0.239571734895019","0.216023122133583","0.263120347656455"
"Mehrmals im Jahr","1994","35-65","Westdeutschland","754","0.188476157332815","0.176928212619832","0.200024102045797"
"Mehrmals im Jahr","1994","35-65","Ostdeutschland","312","0.139354814638221","0.12442873052876","0.154280898747682"
"Mehrmals im Jahr","1994","66 +","Westdeutschland","44","0.0466811204741077","0.0339516131871461","0.0594106277610693"
"Mehrmals im Jahr","1994","66 +","Ostdeutschland","11","","",""
"Mindestens einmal im Monat","1994","17-34","Westdeutschland","349","0.0934411909199049","0.0837836895164991","0.103098692323311"
"Mindestens einmal im Monat","1994","17-34","Ostdeutschland","86","0.0654433831627157","0.0517989941439112","0.0790877721815201"
"Mindestens einmal im Monat","1994","35-65","Westdeutschland","261","","",""
"Mindestens einmal im Monat","1994","35-65","Ostdeutschland","58","0.0294856713940208","0.0221948021389237","0.0367765406491178"
"Mindestens einmal im Monat","1994","66 +","Westdeutschland","15","","",""
"Mindestens einmal im Monat","1994","66 +","Ostdeutschland","5","0.0126100087078076","0.00142030819131162","0.0237997092243036"
"Mindestens einmal die Woche","1994","17-34","Westdeutschland","1223","","",""
"Mindestens einmal die Woche","1994","17-34","Ostdeutschland","259","","",""
"Mindestens einmal die Woche","1994","35-65","Westdeutschland","857","0.227725662586536","0.215342897512662","0.240108427660411"
"Mindestens einmal die Woche","1994","35-65","Ostdeutschland","185","","",""
"Mindestens einmal die Woche","1994","66 +","Westdeutschland","110","","",""
"Mindestens einmal die Woche","1994","66 +","Ostdeutschland","17","","",""
"Fast nie oder nie","1995","17-34","Westdeutschland","964","0.213473173057288","0.200237847701507","0.22670849841307"
"Fast nie oder nie","1995","17-34","Ostdeutschland","326","0.286629262551962","0.261224174157103","0.312034350946822"
"Fast nie oder nie","1995","35-65","Westdeutschland","2319","","",""
"Fast nie oder nie","1995","35-65","Ostdeutschland","1048","","",""
"Fast nie oder nie","1995","66 +","Westdeutschland","845","0.760520722557057","0.735277987061097","0.785763458053017"
"Fast nie oder nie","1995","66 +","Ostdeutschland","329","0.838112073369031","0.801924052350836","0.874300094387225"
"Mehrmals im Jahr","1995","17-34","Westdeutschland","867","0.241171072131364","0.227353213497034","0.254988930765694"
"Mehrmals im Jahr","1995","17-34","Ostdeutschland","393","0.317137230627988","0.290991960445952","0.343282500810024"
"Mehrmals im Jahr","1995","35-65","Westdeutschland","963","0.222404465731176","0.210566917979697","0.234242013482654"
"Mehrmals im Jahr","1995","35-65","Ostdeutschland","593","0.267578504333792","0.248400857282692","0.286756151384892"
"Mehrmals im Jahr","1995","66 +","Westdeutschland","80","0.0826216991409687","0.066337432172095","0.0989059661098424"
"Mehrmals im Jahr","1995","66 +","Ostdeutschland","32","0.0753839693942166","0.0494465499481401","0.101321388840293"
"Mindestens einmal im Monat","1995","17-34","Westdeutschland","374","0.100348110948811","0.0906430549040159","0.110053166993606"
"Mindestens einmal im Monat","1995","17-34","Ostdeutschland","125","","",""
"Mindestens einmal im Monat","1995","35-65","Westdeutschland","319","0.078419712749467","0.070767406802952","0.0860720186959821"
"Mindestens einmal im Monat","1995","35-65","Ostdeutschland","95","0.0453255968882314","0.0363142735121705","0.0543369202642923"
"Mindestens einmal im Monat","1995","66 +","Westdeutschland","34","0.0287923425500527","0.0189013136633389","0.0386833714367664"
"Mindestens einmal im Monat","1995","66 +","Ostdeutschland","8","0.0185552214405501","0.00529738795125861","0.0318130549298416"
"Mindestens einmal die Woche","1995","17-34","Westdeutschland","1477","","",""
"Mindestens einmal die Woche","1995","17-34","Ostdeutschland","373","0.293063014253972","0.267490486425304","0.31863554208264"
"Mindestens einmal die Woche","1995","35-65","Westdeutschland","1140","","",""
"Mindestens einmal die Woche","1995","35-65","Ostdeutschland","311","0.154282007453475","0.138633980145084","0.169930034761866"
"Mindestens einmal die Woche","1995","66 +","Westdeutschland","139","","",""
"Mindestens einmal die Woche","1995","66 +","Ostdeutschland","29","","",""
"Fast nie oder nie","1996","17-34","Westdeutschland","1059","","",""
"Fast nie oder nie","1996","17-34","Ostdeutschland","427","0.382172320631722","0.354505948689916","0.409838692573529"
"Fast nie oder nie","1996","35-65","Westdeutschland","2461","","",""
"Fast nie oder nie","1996","35-65","Ostdeutschland","1278","","",""
"Fast nie oder nie","1996","66 +","Westdeutschland","873","0.763478185706837","0.738490560757758","0.788465810655916"
"Fast nie oder nie","1996","66 +","Ostdeutschland","359","0.884334626444325","0.853452337606319","0.915216915282331"
"Mehrmals im Jahr","1996","17-34","Westdeutschland","925","0.25746436094739","0.243087379928884","0.271841341965897"
"Mehrmals im Jahr","1996","17-34","Ostdeutschland","346","0.290417478970691","0.264570978705133","0.316263979236249"
"Mehrmals im Jahr","1996","35-65","Westdeutschland","891","0.207109819223034","0.195433520271074","0.218786118174993"
"Mehrmals im Jahr","1996","35-65","Ostdeutschland","436","0.203560152561848","0.186155738376823","0.220964566746873"
"Mehrmals im Jahr","1996","66 +","Westdeutschland","74","0.074084896283878","0.0586841599946739","0.0894856325730822"
"Mehrmals im Jahr","1996","66 +","Ostdeutschland","21","","",""
"Mindestens einmal im Monat","1996","17-34","Westdeutschland","383","0.101632432035266","0.0916968416412678","0.111568022429265"
"Mindestens einmal im Monat","1996","17-34","Ostdeutschland","101","","",""
"Mindestens einmal im Monat","1996","35-65","Westdeutschland","289","","",""
"Mindestens einmal im Monat","1996","35-65","Ostdeutschland","96","0.0451472003097051","0.0361724957537618","0.0541219048656483"
"Mindestens einmal im Monat","1996","66 +","Westdeutschland","42","0.0432874062730214","0.0313210318096098","0.055253780736433"
"Mindestens einmal im Monat","1996","66 +","Ostdeutschland","6","0.0112679244029749","0.00107589290847496","0.0214599558974749"
"Mindestens einmal die Woche","1996","17-34","Westdeutschland","1186","","",""
"Mindestens einmal die Woche","1996","17-34","Ostdeutschland","311","0.256072561806922","0.231222027691872","0.280923095921972"
"Mindestens einmal die Woche","1996","35-65","Westdeutschland","986","0.25259201011146","0.240072509264609","0.26511151095831"
"Mindestens einmal die Woche","1996","35-65","Ostdeutschland","246","","",""
"Mindestens einmal die Woche","1996","66 +","Westdeutschland","122","","",""
"Mindestens einmal die Woche","1996","66 +","Ostdeutschland","26","","",""
"Fast nie oder nie","1997","17-34","Westdeutschland","1043","","",""
"Fast nie oder nie","1997","17-34","Ostdeutschland","426","0.387103289075788","0.359085164805173","0.415121413346402"
"Fast nie oder nie","1997","35-65","Westdeutschland","2492","","",""
"Fast nie oder nie","1997","35-65","Ostdeutschland","1291","","",""
"Fast nie oder nie","1997","66 +","Westdeutschland","886","0.794039333350358","0.770195278923743","0.817883387776972"
"Fast nie oder nie","1997","66 +","Ostdeutschland","363","0.856944847883076","0.823618068196824","0.890271627569328"
"Mehrmals im Jahr","1997","17-34","Westdeutschland","837","0.249856574583899","0.235357664799128","0.264355484368669"
"Mehrmals im Jahr","1997","17-34","Ostdeutschland","350","0.296037257692797","0.269778147561947","0.322296367823648"
"Mehrmals im Jahr","1997","35-65","Westdeutschland","809","0.187521084594814","0.176203112603823","0.198839056585805"
"Mehrmals im Jahr","1997","35-65","Ostdeutschland","389","0.190690209517818","0.173494801014377","0.207885618021259"
"Mehrmals im Jahr","1997","66 +","Westdeutschland","63","0.0591154252443316","0.0452099596353035","0.0730208908533597"
"Mehrmals im Jahr","1997","66 +","Ostdeutschland","25","","",""
"Mindestens einmal im Monat","1997","17-34","Westdeutschland","327","0.088720154435991","0.0791975700419214","0.0982427388300606"
"Mindestens einmal im Monat","1997","17-34","Ostdeutschland","76","0.0665099830665096","0.0521772095369774","0.0808427565960418"
"Mindestens einmal im Monat","1997","35-65","Westdeutschland","251","","",""
"Mindestens einmal im Monat","1997","35-65","Ostdeutschland","79","0.0349661724443249","0.0269256138970719","0.043006730991578"
"Mindestens einmal im Monat","1997","66 +","Westdeutschland","20","","",""
"Mindestens einmal im Monat","1997","66 +","Ostdeutschland","4","0.0100968568950035","0.000580852919408837","0.0196128608705982"
"Mindestens einmal die Woche","1997","17-34","Westdeutschland","1218","","",""
"Mindestens einmal die Woche","1997","17-34","Ostdeutschland","309","0.250349470164905","0.225430232876496","0.275268707453315"
"Mindestens einmal die Woche","1997","35-65","Westdeutschland","1017","","",""
"Mindestens einmal die Woche","1997","35-65","Ostdeutschland","246","","",""
"Mindestens einmal die Woche","1997","66 +","Westdeutschland","136","","",""
"Mindestens einmal die Woche","1997","66 +","Ostdeutschland","32","0.0773762994513338","0.0519442450528025","0.102808353849865"
