"m11104","year","regtyp","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Fast nie oder nie","1990","Staedtischer Raum","Westdeutschland","3406","0.429328495208138","0.418077380421283","0.440579609994992"
"Fast nie oder nie","1990","Staedtischer Raum","Ostdeutschland","909","0.664040471413853","0.639456574180352","0.688624368647353"
"Fast nie oder nie","1990","Laendlicher Raum","Westdeutschland","812","0.411423431689058","0.389665740468046","0.43318112291007"
"Fast nie oder nie","1990","Laendlicher Raum","Ostdeutschland","1977","","",""
"Mehrmals im Jahr","1990","Staedtischer Raum","Westdeutschland","1349","","",""
"Mehrmals im Jahr","1990","Staedtischer Raum","Ostdeutschland","225","","",""
"Mehrmals im Jahr","1990","Laendlicher Raum","Westdeutschland","440","0.226735997424144","0.208222394360621","0.245249600487666"
"Mehrmals im Jahr","1990","Laendlicher Raum","Ostdeutschland","382","0.121557466951362","0.109416899493224","0.133698034409501"
"Mindestens einmal im Monat","1990","Staedtischer Raum","Westdeutschland","618","0.0858360232946696","0.0794687359264934","0.0922033106628458"
"Mindestens einmal im Monat","1990","Staedtischer Raum","Ostdeutschland","55","0.0340234572706354","0.0245875755832773","0.0434593389579934"
"Mindestens einmal im Monat","1990","Laendlicher Raum","Westdeutschland","184","","",""
"Mindestens einmal im Monat","1990","Laendlicher Raum","Ostdeutschland","88","0.0291793814494484","0.0229262288917625","0.0354325340071344"
"Mindestens einmal die Woche","1990","Staedtischer Raum","Westdeutschland","2062","","",""
"Mindestens einmal die Woche","1990","Staedtischer Raum","Ostdeutschland","229","","",""
"Mindestens einmal die Woche","1990","Laendlicher Raum","Westdeutschland","529","0.269437287156735","0.249820656579203","0.289053917734267"
"Mindestens einmal die Woche","1990","Laendlicher Raum","Ostdeutschland","336","0.112993193458867","0.101231195340536","0.124755191577199"
"Fast nie oder nie","1991","Staedtischer Raum","Westdeutschland","","","",""
"Fast nie oder nie","1991","Staedtischer Raum","Ostdeutschland","","","",""
"Fast nie oder nie","1991","Laendlicher Raum","Westdeutschland","","","",""
"Fast nie oder nie","1991","Laendlicher Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","1991","Staedtischer Raum","Westdeutschland","","","",""
"Mehrmals im Jahr","1991","Staedtischer Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","1991","Laendlicher Raum","Westdeutschland","","","",""
"Mehrmals im Jahr","1991","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1991","Staedtischer Raum","Westdeutschland","","","",""
"Mindestens einmal im Monat","1991","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1991","Laendlicher Raum","Westdeutschland","","","",""
"Mindestens einmal im Monat","1991","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1991","Staedtischer Raum","Westdeutschland","","","",""
"Mindestens einmal die Woche","1991","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1991","Laendlicher Raum","Westdeutschland","","","",""
"Mindestens einmal die Woche","1991","Laendlicher Raum","Ostdeutschland","","","",""
"Fast nie oder nie","1992","Staedtischer Raum","Westdeutschland","3783","0.518800602041259","0.507236258010881","0.530364946071637"
"Fast nie oder nie","1992","Staedtischer Raum","Ostdeutschland","816","0.640475419397756","0.614450341980165","0.666500496815347"
"Fast nie oder nie","1992","Laendlicher Raum","Westdeutschland","975","0.508403495217173","0.48627108493705","0.530535905497297"
"Fast nie oder nie","1992","Laendlicher Raum","Ostdeutschland","1694","","",""
"Mehrmals im Jahr","1992","Staedtischer Raum","Westdeutschland","1114","","",""
"Mehrmals im Jahr","1992","Staedtischer Raum","Ostdeutschland","243","","",""
"Mehrmals im Jahr","1992","Laendlicher Raum","Westdeutschland","357","0.175118775365009","0.158292727485735","0.191944823244283"
"Mehrmals im Jahr","1992","Laendlicher Raum","Ostdeutschland","448","0.151836994899234","0.137814630939221","0.165859358859247"
"Mindestens einmal im Monat","1992","Staedtischer Raum","Westdeutschland","485","0.0694827232844634","0.0635975552675366","0.0753678913013903"
"Mindestens einmal im Monat","1992","Staedtischer Raum","Ostdeutschland","53","0.0419177837939154","0.0310490976277055","0.0527864699601253"
"Mindestens einmal im Monat","1992","Laendlicher Raum","Westdeutschland","132","","",""
"Mindestens einmal im Monat","1992","Laendlicher Raum","Ostdeutschland","91","0.0341490927070384","0.0270527038793846","0.0412454815346922"
"Mindestens einmal die Woche","1992","Staedtischer Raum","Westdeutschland","1789","","",""
"Mindestens einmal die Woche","1992","Staedtischer Raum","Ostdeutschland","194","","",""
"Mindestens einmal die Woche","1992","Laendlicher Raum","Westdeutschland","496","0.254681619230649","0.235393504866425","0.273969733594872"
"Mindestens einmal die Woche","1992","Laendlicher Raum","Ostdeutschland","283","","",""
"Fast nie oder nie","1993","Staedtischer Raum","Westdeutschland","","","",""
"Fast nie oder nie","1993","Staedtischer Raum","Ostdeutschland","","","",""
"Fast nie oder nie","1993","Laendlicher Raum","Westdeutschland","","","",""
"Fast nie oder nie","1993","Laendlicher Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","1993","Staedtischer Raum","Westdeutschland","","","",""
"Mehrmals im Jahr","1993","Staedtischer Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","1993","Laendlicher Raum","Westdeutschland","","","",""
"Mehrmals im Jahr","1993","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1993","Staedtischer Raum","Westdeutschland","","","",""
"Mindestens einmal im Monat","1993","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","1993","Laendlicher Raum","Westdeutschland","","","",""
"Mindestens einmal im Monat","1993","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1993","Staedtischer Raum","Westdeutschland","","","",""
"Mindestens einmal die Woche","1993","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","1993","Laendlicher Raum","Westdeutschland","","","",""
"Mindestens einmal die Woche","1993","Laendlicher Raum","Ostdeutschland","","","",""
"Fast nie oder nie","1994","Staedtischer Raum","Westdeutschland","3603","0.507361860729466","0.495676783574908","0.519046937884023"
"Fast nie oder nie","1994","Staedtischer Raum","Ostdeutschland","810","0.642594491389482","0.616432502768751","0.668756480010212"
"Fast nie oder nie","1994","Laendlicher Raum","Westdeutschland","907","0.486142300989177","0.463774312547667","0.508510289430688"
"Fast nie oder nie","1994","Laendlicher Raum","Ostdeutschland","1643","","",""
"Mehrmals im Jahr","1994","Staedtischer Raum","Westdeutschland","1253","","",""
"Mehrmals im Jahr","1994","Staedtischer Raum","Ostdeutschland","237","","",""
"Mehrmals im Jahr","1994","Laendlicher Raum","Westdeutschland","372","0.188085541419647","0.170596877455019","0.205574205384276"
"Mehrmals im Jahr","1994","Laendlicher Raum","Ostdeutschland","412","0.143218944024859","0.129271117241411","0.157166770808307"
"Mindestens einmal im Monat","1994","Staedtischer Raum","Westdeutschland","476","0.063026948491346","0.0573471183178618","0.0687067786648302"
"Mindestens einmal im Monat","1994","Staedtischer Raum","Ostdeutschland","62","0.0474833731094048","0.0358734672999017","0.0590932789189079"
"Mindestens einmal im Monat","1994","Laendlicher Raum","Westdeutschland","149","","",""
"Mindestens einmal im Monat","1994","Laendlicher Raum","Ostdeutschland","87","0.0327197586251552","0.0256361821359827","0.0398033351143277"
"Mindestens einmal die Woche","1994","Staedtischer Raum","Westdeutschland","1700","","",""
"Mindestens einmal die Woche","1994","Staedtischer Raum","Ostdeutschland","180","","",""
"Mindestens einmal die Woche","1994","Laendlicher Raum","Westdeutschland","490","0.253752012242986","0.234277341510871","0.273226682975101"
"Mindestens einmal die Woche","1994","Laendlicher Raum","Ostdeutschland","281","","",""
"Fast nie oder nie","1995","Staedtischer Raum","Westdeutschland","3317","0.427759951493725","0.41651474108755","0.4390051618999"
"Fast nie oder nie","1995","Staedtischer Raum","Ostdeutschland","529","0.47209672172488","0.443979740475672","0.500213702974087"
"Fast nie oder nie","1995","Laendlicher Raum","Westdeutschland","811","0.387551082649775","0.366639135424531","0.408463029875018"
"Fast nie oder nie","1995","Laendlicher Raum","Ostdeutschland","1174","","",""
"Mehrmals im Jahr","1995","Staedtischer Raum","Westdeutschland","1432","","",""
"Mehrmals im Jahr","1995","Staedtischer Raum","Ostdeutschland","331","0.260138687156762","0.235429773549739","0.284847600763785"
"Mehrmals im Jahr","1995","Laendlicher Raum","Westdeutschland","478","0.230879588766333","0.212791819891635","0.24896735764103"
"Mehrmals im Jahr","1995","Laendlicher Raum","Ostdeutschland","687","0.243397936637854","0.226408904331833","0.260386968943875"
"Mindestens einmal im Monat","1995","Staedtischer Raum","Westdeutschland","551","0.0758751496764866","0.0698565770534494","0.0818937222995238"
"Mindestens einmal im Monat","1995","Staedtischer Raum","Ostdeutschland","78","0.0623821260308621","0.0487608107834778","0.0760034412782465"
"Mindestens einmal im Monat","1995","Laendlicher Raum","Westdeutschland","176","","",""
"Mindestens einmal im Monat","1995","Laendlicher Raum","Ostdeutschland","150","","",""
"Mindestens einmal die Woche","1995","Staedtischer Raum","Westdeutschland","2136","","",""
"Mindestens einmal die Woche","1995","Staedtischer Raum","Ostdeutschland","273","","",""
"Mindestens einmal die Woche","1995","Laendlicher Raum","Westdeutschland","620","0.30632882325881","0.286542467325769","0.326115179191852"
"Mindestens einmal die Woche","1995","Laendlicher Raum","Ostdeutschland","440","0.167860588630197","0.153064434321479","0.182656742938916"
"Fast nie oder nie","1996","Staedtischer Raum","Westdeutschland","3485","0.469089171370311","0.457583616730979","0.480594726009644"
"Fast nie oder nie","1996","Staedtischer Raum","Ostdeutschland","648","0.563131316523894","0.535333213555219","0.590929419492568"
"Fast nie oder nie","1996","Laendlicher Raum","Westdeutschland","908","0.442739592685012","0.421310858424375","0.464168326945649"
"Fast nie oder nie","1996","Laendlicher Raum","Ostdeutschland","1416","","",""
"Mehrmals im Jahr","1996","Staedtischer Raum","Westdeutschland","1428","","",""
"Mehrmals im Jahr","1996","Staedtischer Raum","Ostdeutschland","267","","",""
"Mehrmals im Jahr","1996","Laendlicher Raum","Westdeutschland","462","0.208770488955729","0.191236568287672","0.226304409623786"
"Mehrmals im Jahr","1996","Laendlicher Raum","Ostdeutschland","536","0.198271133542784","0.182418973096377","0.214123293989192"
"Mindestens einmal im Monat","1996","Staedtischer Raum","Westdeutschland","549","0.0736327207129426","0.0676113399473619","0.0796541014785234"
"Mindestens einmal im Monat","1996","Staedtischer Raum","Ostdeutschland","78","0.0542154161812054","0.0415245175299772","0.0669063148324335"
"Mindestens einmal im Monat","1996","Laendlicher Raum","Westdeutschland","165","","",""
"Mindestens einmal im Monat","1996","Laendlicher Raum","Ostdeutschland","125","","",""
"Mindestens einmal die Woche","1996","Staedtischer Raum","Westdeutschland","1765","","",""
"Mindestens einmal die Woche","1996","Staedtischer Raum","Ostdeutschland","230","","",""
"Mindestens einmal die Woche","1996","Laendlicher Raum","Westdeutschland","529","0.269499946855007","0.250358149580904","0.288641744129109"
"Mindestens einmal die Woche","1996","Laendlicher Raum","Ostdeutschland","353","0.130164818805536","0.116786231785122","0.14354340582595"
"Fast nie oder nie","1997","Staedtischer Raum","Westdeutschland","3504","0.487512739700739","0.475862303285796","0.499163176115683"
"Fast nie oder nie","1997","Staedtischer Raum","Ostdeutschland","661","0.582792241504289","0.554776141489683","0.610808341518895"
"Fast nie oder nie","1997","Laendlicher Raum","Westdeutschland","917","0.466790883403948","0.44507231562366","0.488509451184236"
"Fast nie oder nie","1997","Laendlicher Raum","Ostdeutschland","1419","","",""
"Mehrmals im Jahr","1997","Staedtischer Raum","Westdeutschland","1276","","",""
"Mehrmals im Jahr","1997","Staedtischer Raum","Ostdeutschland","232","","",""
"Mehrmals im Jahr","1997","Laendlicher Raum","Westdeutschland","432","0.188296047214323","0.171276788164427","0.205315306264218"
"Mehrmals im Jahr","1997","Laendlicher Raum","Ostdeutschland","532","0.203757250325287","0.187642567900709","0.219871932749864"
"Mindestens einmal im Monat","1997","Staedtischer Raum","Westdeutschland","428","0.0579200739770816","0.05247547244191","0.0633646755122531"
"Mindestens einmal im Monat","1997","Staedtischer Raum","Ostdeutschland","68","0.0469086527919541","0.0348951859555884","0.0589221196283198"
"Mindestens einmal im Monat","1997","Laendlicher Raum","Westdeutschland","170","","",""
"Mindestens einmal im Monat","1997","Laendlicher Raum","Ostdeutschland","91","0.0362790841846032","0.0287983147387852","0.0437598536304212"
"Mindestens einmal die Woche","1997","Staedtischer Raum","Westdeutschland","1863","","",""
"Mindestens einmal die Woche","1997","Staedtischer Raum","Ostdeutschland","229","","",""
"Mindestens einmal die Woche","1997","Laendlicher Raum","Westdeutschland","508","0.272661936493121","0.253275337280098","0.292048535706145"
"Mindestens einmal die Woche","1997","Laendlicher Raum","Ostdeutschland","358","0.13268930258246","0.119117179878704","0.146261425286216"
"Fast nie oder nie","1998","Staedtischer Raum","Westdeutschland","3314","0.408497597609711","0.397680708595401","0.419314486624022"
"Fast nie oder nie","1998","Staedtischer Raum","Ostdeutschland","513","0.443987548829935","0.416355381691343","0.471619715968528"
"Fast nie oder nie","1998","Laendlicher Raum","Westdeutschland","878","0.379345648859278","0.359710846104731","0.398980451613825"
"Fast nie oder nie","1998","Laendlicher Raum","Ostdeutschland","1179","","",""
"Mehrmals im Jahr","1998","Staedtischer Raum","Westdeutschland","1580","","",""
"Mehrmals im Jahr","1998","Staedtischer Raum","Ostdeutschland","337","0.262112513323016","0.237654214697662","0.28657081194837"
"Mehrmals im Jahr","1998","Laendlicher Raum","Westdeutschland","574","0.235853781222142","0.218674944853186","0.253032617591098"
"Mehrmals im Jahr","1998","Laendlicher Raum","Ostdeutschland","700","0.253668308194","0.236911270096998","0.270425346291002"
"Mindestens einmal im Monat","1998","Staedtischer Raum","Westdeutschland","661","0.0832419964534612","0.0771630549707102","0.0893209379362123"
"Mindestens einmal im Monat","1998","Staedtischer Raum","Ostdeutschland","88","0.0669594399953013","0.0530585226459187","0.0808603573446839"
"Mindestens einmal im Monat","1998","Laendlicher Raum","Westdeutschland","192","","",""
"Mindestens einmal im Monat","1998","Laendlicher Raum","Ostdeutschland","161","","",""
"Mindestens einmal die Woche","1998","Staedtischer Raum","Westdeutschland","2378","","",""
"Mindestens einmal die Woche","1998","Staedtischer Raum","Ostdeutschland","304","0.226940497851747","0.203646192929189","0.250234802774305"
"Mindestens einmal die Woche","1998","Laendlicher Raum","Westdeutschland","702","0.310826411063214","0.292097722972271","0.329555099154157"
"Mindestens einmal die Woche","1998","Laendlicher Raum","Ostdeutschland","550","0.198377977172555","0.183020150645998","0.213735803699112"
"Fast nie oder nie","1999","Staedtischer Raum","Westdeutschland","3549","0.473895779560073","0.462638797846909","0.485152761273238"
"Fast nie oder nie","1999","Staedtischer Raum","Ostdeutschland","630","0.529948226514455","0.501941796996781","0.557954656032128"
"Fast nie oder nie","1999","Laendlicher Raum","Westdeutschland","959","0.445934642725758","0.425345552881278","0.466523732570238"
"Fast nie oder nie","1999","Laendlicher Raum","Ostdeutschland","1434","","",""
"Mehrmals im Jahr","1999","Staedtischer Raum","Westdeutschland","1479","","",""
"Mehrmals im Jahr","1999","Staedtischer Raum","Ostdeutschland","250","","",""
"Mehrmals im Jahr","1999","Laendlicher Raum","Westdeutschland","488","0.200849273674494","0.184254530853826","0.217444016495162"
"Mehrmals im Jahr","1999","Laendlicher Raum","Ostdeutschland","558","0.208206299659891","0.192350543395492","0.22406205592429"
"Mindestens einmal im Monat","1999","Staedtischer Raum","Westdeutschland","544","0.0670905943735468","0.0614503853014018","0.0727308034456919"
"Mindestens einmal im Monat","1999","Staedtischer Raum","Ostdeutschland","77","0.065373080359756","0.051502750381859","0.079243410337653"
"Mindestens einmal im Monat","1999","Laendlicher Raum","Westdeutschland","165","","",""
"Mindestens einmal im Monat","1999","Laendlicher Raum","Ostdeutschland","133","","",""
"Mindestens einmal die Woche","1999","Staedtischer Raum","Westdeutschland","1986","","",""
"Mindestens einmal die Woche","1999","Staedtischer Raum","Ostdeutschland","263","","",""
"Mindestens einmal die Woche","1999","Laendlicher Raum","Westdeutschland","627","0.283485022999891","0.264816982249448","0.302153063750335"
"Mindestens einmal die Woche","1999","Laendlicher Raum","Ostdeutschland","394","0.146106056615495","0.132312696225132","0.159899417005858"
"Fast nie oder nie","2000","Staedtischer Raum","Westdeutschland","","","",""
"Fast nie oder nie","2000","Staedtischer Raum","Ostdeutschland","","","",""
"Fast nie oder nie","2000","Laendlicher Raum","Westdeutschland","","","",""
"Fast nie oder nie","2000","Laendlicher Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","2000","Staedtischer Raum","Westdeutschland","","","",""
"Mehrmals im Jahr","2000","Staedtischer Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","2000","Laendlicher Raum","Westdeutschland","","","",""
"Mehrmals im Jahr","2000","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","2000","Staedtischer Raum","Westdeutschland","","","",""
"Mindestens einmal im Monat","2000","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","2000","Laendlicher Raum","Westdeutschland","","","",""
"Mindestens einmal im Monat","2000","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","2000","Staedtischer Raum","Westdeutschland","","","",""
"Mindestens einmal die Woche","2000","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","2000","Laendlicher Raum","Westdeutschland","","","",""
"Mindestens einmal die Woche","2000","Laendlicher Raum","Ostdeutschland","","","",""
"Fast nie oder nie","2001","Staedtischer Raum","Westdeutschland","5905","0.482190717420505","0.473396867332536","0.490984567508473"
"Fast nie oder nie","2001","Staedtischer Raum","Ostdeutschland","881","0.524555312034182","0.501036261155939","0.548074362912425"
"Fast nie oder nie","2001","Laendlicher Raum","Westdeutschland","1934","","",""
"Fast nie oder nie","2001","Laendlicher Raum","Ostdeutschland","2112","","",""
"Mehrmals im Jahr","2001","Staedtischer Raum","Westdeutschland","2026","","",""
"Mehrmals im Jahr","2001","Staedtischer Raum","Ostdeutschland","327","0.176010584488654","0.158075461619756","0.193945707357551"
"Mehrmals im Jahr","2001","Laendlicher Raum","Westdeutschland","650","0.156515876911232","0.145150323194201","0.167881430628264"
"Mehrmals im Jahr","2001","Laendlicher Raum","Ostdeutschland","672","0.163477475912547","0.151498601604229","0.175456350220866"
"Mindestens einmal im Monat","2001","Staedtischer Raum","Westdeutschland","834","0.0673685209362588","0.0629572040079672","0.0717798378645503"
"Mindestens einmal im Monat","2001","Staedtischer Raum","Ostdeutschland","100","","",""
"Mindestens einmal im Monat","2001","Laendlicher Raum","Westdeutschland","249","","",""
"Mindestens einmal im Monat","2001","Laendlicher Raum","Ostdeutschland","179","","",""
"Mindestens einmal die Woche","2001","Staedtischer Raum","Westdeutschland","3638","0.291565352997956","0.283566963059025","0.299563742936887"
"Mindestens einmal die Woche","2001","Staedtischer Raum","Ostdeutschland","424","0.240447160175857","0.220320905256291","0.260573415095423"
"Mindestens einmal die Woche","2001","Laendlicher Raum","Westdeutschland","1093","","",""
"Mindestens einmal die Woche","2001","Laendlicher Raum","Ostdeutschland","698","0.184102830505436","0.171548424408601","0.196657236602272"
"Fast nie oder nie","2002","Staedtischer Raum","Westdeutschland","","","",""
"Fast nie oder nie","2002","Staedtischer Raum","Ostdeutschland","","","",""
"Fast nie oder nie","2002","Laendlicher Raum","Westdeutschland","","","",""
"Fast nie oder nie","2002","Laendlicher Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","2002","Staedtischer Raum","Westdeutschland","","","",""
"Mehrmals im Jahr","2002","Staedtischer Raum","Ostdeutschland","","","",""
"Mehrmals im Jahr","2002","Laendlicher Raum","Westdeutschland","","","",""
"Mehrmals im Jahr","2002","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","2002","Staedtischer Raum","Westdeutschland","","","",""
"Mindestens einmal im Monat","2002","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal im Monat","2002","Laendlicher Raum","Westdeutschland","","","",""
"Mindestens einmal im Monat","2002","Laendlicher Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","2002","Staedtischer Raum","Westdeutschland","","","",""
"Mindestens einmal die Woche","2002","Staedtischer Raum","Ostdeutschland","","","",""
"Mindestens einmal die Woche","2002","Laendlicher Raum","Westdeutschland","","","",""
"Mindestens einmal die Woche","2002","Laendlicher Raum","Ostdeutschland","","","",""
"Fast nie oder nie","2003","Staedtischer Raum","Westdeutschland","4702","0.396201483027746","0.387739849270937","0.404663116784555"
"Fast nie oder nie","2003","Staedtischer Raum","Ostdeutschland","614","0.373741227746124","0.351138847744795","0.396343607747453"
"Fast nie oder nie","2003","Laendlicher Raum","Westdeutschland","1360","","",""
"Fast nie oder nie","2003","Laendlicher Raum","Ostdeutschland","1533","","",""
