"m11104","year","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Fast nie oder nie","2008","6319","0.344381173381163","0.337661783865408","0.351100562896917"
"Mehrmals im Jahr","2008","3645","0.189731277589792","0.184186700685985","0.195275854493598"
"Mindestens einmal im Monat","2008","1479","0.0771456371720945","0.0733724645146796","0.0809188098295093"
"Mindestens einmal die Woche","2008","7767","0.388741911856951","0.381848608342139","0.395635215371763"
"Fast nie oder nie","2009","6865","0.388955655344152","0.381817637718862","0.396093672969443"
"Mehrmals im Jahr","2009","3209","0.178525881368597","0.172918775685933","0.184132987051262"
"Mindestens einmal im Monat","2009","1330","0.0767679636829149","0.0728700102204242","0.0806659171454056"
"Mindestens einmal die Woche","2009","6515","0.355750499604336","0.348740935516139","0.362760063692532"
"Fast nie oder nie","2010","","","",""
"Mehrmals im Jahr","2010","","","",""
"Mindestens einmal im Monat","2010","","","",""
"Mindestens einmal die Woche","2010","","","",""
"Fast nie oder nie","2011","11522","0.407556182143744","0.401826972566507","0.41328539172098"
"Mehrmals im Jahr","2011","4583","0.161826651360219","0.157532579301002","0.166120723419436"
"Mindestens einmal im Monat","2011","1806","0.0648195629493235","0.0619489268862121","0.0676901990124349"
"Mindestens einmal die Woche","2011","10347","0.365797603546714","0.360181802053716","0.371413405039711"
"Fast nie oder nie","2012","","","",""
"Mehrmals im Jahr","2012","","","",""
"Mindestens einmal im Monat","2012","","","",""
"Mindestens einmal die Woche","2012","","","",""
"Fast nie oder nie","2013","8428","0.324237097452403","0.31847876697083","0.329995427933977"
"Mehrmals im Jahr","2013","3654","0.143693390615113","0.139378188859152","0.148008592371074"
"Mindestens einmal im Monat","2013","1248","0.0517127614270173","0.0489885746582103","0.0544369481958243"
"Mindestens einmal die Woche","2013","12054","0.480356750505467","0.474210607576958","0.486502893433976"
"Fast nie oder nie","2014","","","",""
"Mehrmals im Jahr","2014","","","",""
"Mindestens einmal im Monat","2014","","","",""
"Mindestens einmal die Woche","2014","","","",""
"Fast nie oder nie","2015","10346","0.377042518856953","0.371228209020346","0.38285682869356"
"Mehrmals im Jahr","2015","3673","0.134954118719196","0.13085503822012","0.139053199218273"
"Mindestens einmal im Monat","2015","1439","0.0561565568814379","0.0533945546714369","0.058918559091439"
"Mindestens einmal die Woche","2015","11232","0.431846805542413","0.425904275496355","0.43778933558847"
"Fast nie oder nie","2016","","","",""
"Mehrmals im Jahr","2016","","","",""
"Mindestens einmal im Monat","2016","","","",""
"Mindestens einmal die Woche","2016","","","",""
"Fast nie oder nie","2017","11682","0.362118402480963","0.356718418775529","0.367518386186396"
"Mehrmals im Jahr","2017","4083","0.130627940408775","0.126841614495022","0.134414266322528"
"Mindestens einmal im Monat","2017","1563","0.0517948867493239","0.0493049305631479","0.0542848429354999"
"Mindestens einmal die Woche","2017","13102","0.455458770360939","0.449863294412018","0.461054246309859"
"Fast nie oder nie","2018","1528","0.434625803153066","0.417361470148133","0.451890136157999"
"Mehrmals im Jahr","2018","514","0.157381622766187","0.144698782224647","0.170064463307728"
"Mindestens einmal im Monat","2018","179","0.0683984265784519","0.0596069419371301","0.0771899112197738"
"Mindestens einmal die Woche","2018","946","0.339594147502295","0.323100769420271","0.356087525584319"
"Fast nie oder nie","2019","8411","0.280374373132631","0.275191266737505","0.285557479527758"
"Mehrmals im Jahr","2019","3776","0.132170740433495","0.128262759272818","0.136078721594172"
"Mindestens einmal im Monat","2019","1340","0.0470302616581766","0.0445874166782441","0.0494731066381092"
"Mindestens einmal die Woche","2019","15324","0.540424624775697","0.534674019006483","0.546175230544911"
