"m11104","year","age_gr","bula_h","n","percent","lower_confidence","upper_confidence"
"Mehrmals im Jahr","1984","35-65","Niedersachsen","88","0.147813462382556","0.119854110746591","0.175772814018522"
"Mehrmals im Jahr","1984","35-65","Bremen","","","",""
"Mehrmals im Jahr","1984","35-65","Nordrhein-Westfalen","252","0.157828470713727","0.140253095067271","0.175403846360183"
"Mehrmals im Jahr","1984","35-65","Hessen","82","0.137687222760964","0.11071643998259","0.164658005539337"
"Mehrmals im Jahr","1984","35-65","Rheinland-Pfalz,Saarland","50","0.12042131626327","0.0892960927576428","0.151546539768896"
"Mehrmals im Jahr","1984","35-65","Baden-Wuerttemberg","159","0.158935507612561","0.137958778063209","0.179912237161913"
"Mehrmals im Jahr","1984","35-65","Bayern","182","0.173136994880852","0.150434290208406","0.195839699553299"
"Mehrmals im Jahr","1984","35-65","Berlin","45","0.192975646283076","0.140946520761126","0.245004771805026"
"Mehrmals im Jahr","1984","35-65","Brandenburg","","","",""
"Mehrmals im Jahr","1984","35-65","Mecklenburg-Vorpommern","","","",""
"Mehrmals im Jahr","1984","35-65","Sachsen","","","",""
"Mehrmals im Jahr","1984","35-65","Sachsen-Anhalt","","","",""
"Mehrmals im Jahr","1984","35-65","Thueringen","","","",""
"Mehrmals im Jahr","1984","66 +","Schleswig-Holstein","","","",""
"Mehrmals im Jahr","1984","66 +","Hamburg","","","",""
"Mehrmals im Jahr","1984","66 +","Niedersachsen","","","",""
"Mehrmals im Jahr","1984","66 +","Bremen","","","",""
"Mehrmals im Jahr","1984","66 +","Nordrhein-Westfalen","","","",""
"Mehrmals im Jahr","1984","66 +","Hessen","","","",""
"Mehrmals im Jahr","1984","66 +","Rheinland-Pfalz,Saarland","","","",""
"Mehrmals im Jahr","1984","66 +","Baden-Wuerttemberg","","","",""
"Mehrmals im Jahr","1984","66 +","Bayern","","","",""
"Mehrmals im Jahr","1984","66 +","Berlin","","","",""
"Mehrmals im Jahr","1984","66 +","Brandenburg","","","",""
"Mehrmals im Jahr","1984","66 +","Mecklenburg-Vorpommern","","","",""
"Mehrmals im Jahr","1984","66 +","Sachsen","","","",""
"Mehrmals im Jahr","1984","66 +","Sachsen-Anhalt","","","",""
"Mehrmals im Jahr","1984","66 +","Thueringen","","","",""
"Mindestens einmal im Monat","1984","17-34","Schleswig-Holstein","49","0.358070184994714","0.277494039029249","0.43864633096018"
"Mindestens einmal im Monat","1984","17-34","Hamburg","","","",""
"Mindestens einmal im Monat","1984","17-34","Niedersachsen","116","0.277224904997479","0.235494301277102","0.318955508717857"
"Mindestens einmal im Monat","1984","17-34","Bremen","","","",""
"Mindestens einmal im Monat","1984","17-34","Nordrhein-Westfalen","334","0.290971742665193","0.266069420719743","0.315874064610644"
"Mindestens einmal im Monat","1984","17-34","Hessen","143","0.331734850951529","0.29087159583675","0.372598106066308"
"Mindestens einmal im Monat","1984","17-34","Rheinland-Pfalz,Saarland","94","0.297211397588379","0.246740863690384","0.347681931486374"
"Mindestens einmal im Monat","1984","17-34","Baden-Wuerttemberg","190","0.259886607220426","0.230298447868122","0.28947476657273"
"Mindestens einmal im Monat","1984","17-34","Bayern","187","0.274921787647431","0.242947256173131","0.306896319121732"
"Mindestens einmal im Monat","1984","17-34","Berlin","39","0.355187005476208","0.275340856878109","0.435033154074307"
"Mindestens einmal im Monat","1984","17-34","Brandenburg","","","",""
"Mindestens einmal im Monat","1984","17-34","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal im Monat","1984","17-34","Sachsen","","","",""
"Mindestens einmal im Monat","1984","17-34","Sachsen-Anhalt","","","",""
"Mindestens einmal im Monat","1984","17-34","Thueringen","","","",""
"Mindestens einmal im Monat","1984","35-65","Schleswig-Holstein","46","0.241795090526051","0.18318286717489","0.300407313877213"
"Mindestens einmal im Monat","1984","35-65","Hamburg","","","",""
"Mindestens einmal im Monat","1984","35-65","Niedersachsen","115","0.192464582687933","0.1614076209388","0.223521544437065"
"Mindestens einmal im Monat","1984","35-65","Bremen","","","",""
"Mindestens einmal im Monat","1984","35-65","Nordrhein-Westfalen","201","0.140985598122995","0.124209179199614","0.157762017046376"
"Mindestens einmal im Monat","1984","35-65","Hessen","78","0.15341026624113","0.125201893658191","0.18161863882407"
"Mindestens einmal im Monat","1984","35-65","Rheinland-Pfalz,Saarland","63","0.163847373120538","0.128448782873132","0.199245963367943"
"Mindestens einmal im Monat","1984","35-65","Baden-Wuerttemberg","120","0.123465514102069","0.104591251149364","0.142339777054774"
"Mindestens einmal im Monat","1984","35-65","Bayern","169","0.174881755943202","0.152089032087384","0.19767447979902"
"Mindestens einmal im Monat","1984","35-65","Berlin","","","",""
"Mindestens einmal im Monat","1984","35-65","Brandenburg","","","",""
"Mindestens einmal im Monat","1984","35-65","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal im Monat","1984","35-65","Sachsen","","","",""
"Mindestens einmal im Monat","1984","35-65","Sachsen-Anhalt","","","",""
"Mindestens einmal im Monat","1984","35-65","Thueringen","","","",""
"Mindestens einmal im Monat","1984","66 +","Schleswig-Holstein","","","",""
"Mindestens einmal im Monat","1984","66 +","Hamburg","","","",""
"Mindestens einmal im Monat","1984","66 +","Niedersachsen","","","",""
"Mindestens einmal im Monat","1984","66 +","Bremen","","","",""
"Mindestens einmal im Monat","1984","66 +","Nordrhein-Westfalen","","","",""
"Mindestens einmal im Monat","1984","66 +","Hessen","","","",""
"Mindestens einmal im Monat","1984","66 +","Rheinland-Pfalz,Saarland","","","",""
"Mindestens einmal im Monat","1984","66 +","Baden-Wuerttemberg","","","",""
"Mindestens einmal im Monat","1984","66 +","Bayern","","","",""
"Mindestens einmal im Monat","1984","66 +","Berlin","","","",""
"Mindestens einmal im Monat","1984","66 +","Brandenburg","","","",""
"Mindestens einmal im Monat","1984","66 +","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal im Monat","1984","66 +","Sachsen","","","",""
"Mindestens einmal im Monat","1984","66 +","Sachsen-Anhalt","","","",""
"Mindestens einmal im Monat","1984","66 +","Thueringen","","","",""
"Mindestens einmal die Woche","1984","17-34","Schleswig-Holstein","","","",""
"Mindestens einmal die Woche","1984","17-34","Hamburg","","","",""
"Mindestens einmal die Woche","1984","17-34","Niedersachsen","","","",""
"Mindestens einmal die Woche","1984","17-34","Bremen","","","",""
"Mindestens einmal die Woche","1984","17-34","Nordrhein-Westfalen","","","",""
"Mindestens einmal die Woche","1984","17-34","Hessen","","","",""
"Mindestens einmal die Woche","1984","17-34","Rheinland-Pfalz,Saarland","","","",""
"Mindestens einmal die Woche","1984","17-34","Baden-Wuerttemberg","","","",""
"Mindestens einmal die Woche","1984","17-34","Bayern","","","",""
"Mindestens einmal die Woche","1984","17-34","Berlin","","","",""
"Mindestens einmal die Woche","1984","17-34","Brandenburg","","","",""
"Mindestens einmal die Woche","1984","17-34","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal die Woche","1984","17-34","Sachsen","","","",""
"Mindestens einmal die Woche","1984","17-34","Sachsen-Anhalt","","","",""
"Mindestens einmal die Woche","1984","17-34","Thueringen","","","",""
"Mindestens einmal die Woche","1984","35-65","Schleswig-Holstein","","","",""
"Mindestens einmal die Woche","1984","35-65","Hamburg","","","",""
"Mindestens einmal die Woche","1984","35-65","Niedersachsen","","","",""
"Mindestens einmal die Woche","1984","35-65","Bremen","","","",""
"Mindestens einmal die Woche","1984","35-65","Nordrhein-Westfalen","","","",""
"Mindestens einmal die Woche","1984","35-65","Hessen","","","",""
"Mindestens einmal die Woche","1984","35-65","Rheinland-Pfalz,Saarland","","","",""
"Mindestens einmal die Woche","1984","35-65","Baden-Wuerttemberg","","","",""
"Mindestens einmal die Woche","1984","35-65","Bayern","","","",""
"Mindestens einmal die Woche","1984","35-65","Berlin","","","",""
"Mindestens einmal die Woche","1984","35-65","Brandenburg","","","",""
"Mindestens einmal die Woche","1984","35-65","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal die Woche","1984","35-65","Sachsen","","","",""
"Mindestens einmal die Woche","1984","35-65","Sachsen-Anhalt","","","",""
"Mindestens einmal die Woche","1984","35-65","Thueringen","","","",""
"Mindestens einmal die Woche","1984","66 +","Schleswig-Holstein","","","",""
"Mindestens einmal die Woche","1984","66 +","Hamburg","","","",""
"Mindestens einmal die Woche","1984","66 +","Niedersachsen","","","",""
"Mindestens einmal die Woche","1984","66 +","Bremen","","","",""
"Mindestens einmal die Woche","1984","66 +","Nordrhein-Westfalen","","","",""
"Mindestens einmal die Woche","1984","66 +","Hessen","","","",""
"Mindestens einmal die Woche","1984","66 +","Rheinland-Pfalz,Saarland","","","",""
"Mindestens einmal die Woche","1984","66 +","Baden-Wuerttemberg","","","",""
"Mindestens einmal die Woche","1984","66 +","Bayern","","","",""
"Mindestens einmal die Woche","1984","66 +","Berlin","","","",""
"Mindestens einmal die Woche","1984","66 +","Brandenburg","","","",""
"Mindestens einmal die Woche","1984","66 +","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal die Woche","1984","66 +","Sachsen","","","",""
"Mindestens einmal die Woche","1984","66 +","Sachsen-Anhalt","","","",""
"Mindestens einmal die Woche","1984","66 +","Thueringen","","","",""
"Fast nie oder nie","1985","17-34","Schleswig-Holstein","51","0.377773989539741","0.292438957561792","0.463109021517691"
"Fast nie oder nie","1985","17-34","Hamburg","","","",""
"Fast nie oder nie","1985","17-34","Niedersachsen","147","0.343343412717568","0.296694656646763","0.389992168788373"
"Fast nie oder nie","1985","17-34","Bremen","","","",""
"Fast nie oder nie","1985","17-34","Nordrhein-Westfalen","486","0.372512381874465","0.344690145689142","0.400334618059788"
"Fast nie oder nie","1985","17-34","Hessen","189","0.331984823721435","0.28803257737038","0.37593707007249"
"Fast nie oder nie","1985","17-34","Rheinland-Pfalz,Saarland","98","0.307555882784359","0.254072427292452","0.361039338276266"
"Fast nie oder nie","1985","17-34","Baden-Wuerttemberg","348","0.376917409309687","0.343059773278582","0.410775045340791"
"Fast nie oder nie","1985","17-34","Bayern","259","0.344026246033195","0.308834720725037","0.379217771341353"
"Fast nie oder nie","1985","17-34","Berlin","46","0.284947621297663","0.20581700825428","0.364078234341046"
"Fast nie oder nie","1985","17-34","Brandenburg","","","",""
"Fast nie oder nie","1985","17-34","Mecklenburg-Vorpommern","","","",""
"Fast nie oder nie","1985","17-34","Sachsen","","","",""
"Fast nie oder nie","1985","17-34","Sachsen-Anhalt","","","",""
"Fast nie oder nie","1985","17-34","Thueringen","","","",""
"Fast nie oder nie","1985","35-65","Schleswig-Holstein","107","0.548111073965152","0.476588727100359","0.619633420829944"
"Fast nie oder nie","1985","35-65","Hamburg","88","0.539652011362459","0.458525254494114","0.620778768230804"
"Fast nie oder nie","1985","35-65","Niedersachsen","379","0.662925744461382","0.624119117338054","0.70173237158471"
"Fast nie oder nie","1985","35-65","Bremen","39","0.709852704447852","0.590989492522796","0.828715916372908"
"Fast nie oder nie","1985","35-65","Nordrhein-Westfalen","1029","0.638475112168474","0.614361945068503","0.662588279268445"
"Fast nie oder nie","1985","35-65","Hessen","428","0.698489426130829","0.661205830387983","0.735773021873675"
"Fast nie oder nie","1985","35-65","Rheinland-Pfalz,Saarland","280","0.706383077741185","0.660713489722722","0.752052665759647"
"Fast nie oder nie","1985","35-65","Baden-Wuerttemberg","754","0.649480845619251","0.620703205095155","0.678258486143348"
"Fast nie oder nie","1985","35-65","Bayern","609","0.602474901922275","0.571709207999284","0.633240595845266"
"Fast nie oder nie","1985","35-65","Berlin","135","0.642901974953681","0.576497217113521","0.709306732793842"
"Fast nie oder nie","1985","35-65","Brandenburg","","","",""
"Fast nie oder nie","1985","35-65","Mecklenburg-Vorpommern","","","",""
"Fast nie oder nie","1985","35-65","Sachsen","","","",""
"Fast nie oder nie","1985","35-65","Sachsen-Anhalt","","","",""
"Fast nie oder nie","1985","35-65","Thueringen","","","",""
"Fast nie oder nie","1985","66 +","Schleswig-Holstein","34","0.932538717980576","0.851720743764795","1.01335669219636"
"Fast nie oder nie","1985","66 +","Hamburg","33","0.799406341558237","0.67830029140276","0.920512391713713"
"Fast nie oder nie","1985","66 +","Niedersachsen","107","0.875770766345768","0.817479611374247","0.934061921317289"
"Fast nie oder nie","1985","66 +","Bremen","","","",""
"Fast nie oder nie","1985","66 +","Nordrhein-Westfalen","221","0.912569817881552","0.877127924087498","0.948011711675606"
"Fast nie oder nie","1985","66 +","Hessen","77","0.867229689841487","0.797125432967887","0.937333946715086"
"Fast nie oder nie","1985","66 +","Rheinland-Pfalz,Saarland","87","0.960187319423406","0.920016000796537","1.00035863805027"
"Fast nie oder nie","1985","66 +","Baden-Wuerttemberg","162","0.900596563157895","0.856764953655513","0.944428172660277"
"Fast nie oder nie","1985","66 +","Bayern","172","0.845730369288378","0.796041827121143","0.895418911455612"
"Fast nie oder nie","1985","66 +","Berlin","30","0.831241150209131","0.710558726231466","0.951923574186796"
"Fast nie oder nie","1985","66 +","Brandenburg","","","",""
"Fast nie oder nie","1985","66 +","Mecklenburg-Vorpommern","","","",""
"Fast nie oder nie","1985","66 +","Sachsen","","","",""
"Fast nie oder nie","1985","66 +","Sachsen-Anhalt","","","",""
"Fast nie oder nie","1985","66 +","Thueringen","","","",""
"Mehrmals im Jahr","1985","17-34","Schleswig-Holstein","","","",""
"Mehrmals im Jahr","1985","17-34","Hamburg","","","",""
"Mehrmals im Jahr","1985","17-34","Niedersachsen","86","0.217305329068575","0.176788268387582","0.257822389749569"
"Mehrmals im Jahr","1985","17-34","Bremen","","","",""
"Mehrmals im Jahr","1985","17-34","Nordrhein-Westfalen","224","0.200940755801131","0.177881642554062","0.2239998690482"
"Mehrmals im Jahr","1985","17-34","Hessen","83","0.195126917098671","0.158139748273287","0.232114085924056"
"Mehrmals im Jahr","1985","17-34","Rheinland-Pfalz,Saarland","62","0.227866530190664","0.179253629792801","0.276479430588528"
"Mehrmals im Jahr","1985","17-34","Baden-Wuerttemberg","129","0.174230909515071","0.147730496776168","0.200731322253973"
"Mehrmals im Jahr","1985","17-34","Bayern","150","0.215188398648054","0.18474513526626","0.245631662029848"
"Mehrmals im Jahr","1985","17-34","Berlin","","","",""
"Mehrmals im Jahr","1985","17-34","Brandenburg","","","",""
"Mehrmals im Jahr","1985","17-34","Mecklenburg-Vorpommern","","","",""
"Mehrmals im Jahr","1985","17-34","Sachsen","","","",""
"Mehrmals im Jahr","1985","17-34","Sachsen-Anhalt","","","",""
"Mehrmals im Jahr","1985","17-34","Thueringen","","","",""
"Mehrmals im Jahr","1985","35-65","Schleswig-Holstein","","","",""
"Mehrmals im Jahr","1985","35-65","Hamburg","","","",""
"Mehrmals im Jahr","1985","35-65","Niedersachsen","52","0.0936399707131018","0.0697237985997918","0.117556142826412"
"Mehrmals im Jahr","1985","35-65","Bremen","","","",""
"Mehrmals im Jahr","1985","35-65","Nordrhein-Westfalen","167","0.11408685689678","0.0981307642509325","0.130042949542628"
"Mehrmals im Jahr","1985","35-65","Hessen","46","0.0836741200015926","0.0611780242531746","0.106170215750011"
"Mehrmals im Jahr","1985","35-65","Rheinland-Pfalz,Saarland","38","0.103421381062391","0.0728851266720656","0.133957635452717"
"Mehrmals im Jahr","1985","35-65","Baden-Wuerttemberg","117","0.132917372214779","0.112441743408805","0.153393001020753"
"Mehrmals im Jahr","1985","35-65","Bayern","110","0.114699438674914","0.0946666700692015","0.134732207280626"
"Mehrmals im Jahr","1985","35-65","Berlin","","","",""
"Mehrmals im Jahr","1985","35-65","Brandenburg","","","",""
"Mehrmals im Jahr","1985","35-65","Mecklenburg-Vorpommern","","","",""
"Mehrmals im Jahr","1985","35-65","Sachsen","","","",""
"Mehrmals im Jahr","1985","35-65","Sachsen-Anhalt","","","",""
"Mehrmals im Jahr","1985","35-65","Thueringen","","","",""
"Mehrmals im Jahr","1985","66 +","Schleswig-Holstein","","","",""
"Mehrmals im Jahr","1985","66 +","Hamburg","","","",""
"Mehrmals im Jahr","1985","66 +","Niedersachsen","","","",""
"Mehrmals im Jahr","1985","66 +","Bremen","","","",""
"Mehrmals im Jahr","1985","66 +","Nordrhein-Westfalen","","","",""
"Mehrmals im Jahr","1985","66 +","Hessen","","","",""
"Mehrmals im Jahr","1985","66 +","Rheinland-Pfalz,Saarland","","","",""
"Mehrmals im Jahr","1985","66 +","Baden-Wuerttemberg","","","",""
"Mehrmals im Jahr","1985","66 +","Bayern","","","",""
"Mehrmals im Jahr","1985","66 +","Berlin","","","",""
"Mehrmals im Jahr","1985","66 +","Brandenburg","","","",""
"Mehrmals im Jahr","1985","66 +","Mecklenburg-Vorpommern","","","",""
"Mehrmals im Jahr","1985","66 +","Sachsen","","","",""
"Mehrmals im Jahr","1985","66 +","Sachsen-Anhalt","","","",""
"Mehrmals im Jahr","1985","66 +","Thueringen","","","",""
"Mindestens einmal im Monat","1985","17-34","Schleswig-Holstein","","","",""
"Mindestens einmal im Monat","1985","17-34","Hamburg","","","",""
"Mindestens einmal im Monat","1985","17-34","Niedersachsen","","","",""
"Mindestens einmal im Monat","1985","17-34","Bremen","","","",""
"Mindestens einmal im Monat","1985","17-34","Nordrhein-Westfalen","69","0.0625386303813195","0.0486048176424032","0.0764724431202359"
"Mindestens einmal im Monat","1985","17-34","Hessen","","","",""
"Mindestens einmal im Monat","1985","17-34","Rheinland-Pfalz,Saarland","","","",""
"Mindestens einmal im Monat","1985","17-34","Baden-Wuerttemberg","73","0.0990108096640779","0.078143722934522","0.119877896393634"
"Mindestens einmal im Monat","1985","17-34","Bayern","58","0.0783182252373193","0.0584151131112099","0.0982213373634286"
"Mindestens einmal im Monat","1985","17-34","Berlin","","","",""
"Mindestens einmal im Monat","1985","17-34","Brandenburg","","","",""
"Mindestens einmal im Monat","1985","17-34","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal im Monat","1985","17-34","Sachsen","","","",""
"Mindestens einmal im Monat","1985","17-34","Sachsen-Anhalt","","","",""
"Mindestens einmal im Monat","1985","17-34","Thueringen","","","",""
"Mindestens einmal im Monat","1985","35-65","Schleswig-Holstein","","","",""
"Mindestens einmal im Monat","1985","35-65","Hamburg","","","",""
"Mindestens einmal im Monat","1985","35-65","Niedersachsen","","","",""
"Mindestens einmal im Monat","1985","35-65","Bremen","","","",""
"Mindestens einmal im Monat","1985","35-65","Nordrhein-Westfalen","58","0.0438668863902324","0.0335881257277053","0.0541456470527596"
"Mindestens einmal im Monat","1985","35-65","Hessen","","","",""
"Mindestens einmal im Monat","1985","35-65","Rheinland-Pfalz,Saarland","","","",""
"Mindestens einmal im Monat","1985","35-65","Baden-Wuerttemberg","34","0.0383557439718319","0.0267722771688151","0.0499392107748487"
"Mindestens einmal im Monat","1985","35-65","Bayern","46","0.050044878633768","0.0363377552218504","0.0637520020456857"
"Mindestens einmal im Monat","1985","35-65","Berlin","","","",""
"Mindestens einmal im Monat","1985","35-65","Brandenburg","","","",""
"Mindestens einmal im Monat","1985","35-65","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal im Monat","1985","35-65","Sachsen","","","",""
"Mindestens einmal im Monat","1985","35-65","Sachsen-Anhalt","","","",""
"Mindestens einmal im Monat","1985","35-65","Thueringen","","","",""
"Mindestens einmal im Monat","1985","66 +","Schleswig-Holstein","","","",""
"Mindestens einmal im Monat","1985","66 +","Hamburg","","","",""
"Mindestens einmal im Monat","1985","66 +","Niedersachsen","","","",""
"Mindestens einmal im Monat","1985","66 +","Bremen","","","",""
"Mindestens einmal im Monat","1985","66 +","Nordrhein-Westfalen","","","",""
"Mindestens einmal im Monat","1985","66 +","Hessen","","","",""
"Mindestens einmal im Monat","1985","66 +","Rheinland-Pfalz,Saarland","","","",""
"Mindestens einmal im Monat","1985","66 +","Baden-Wuerttemberg","","","",""
"Mindestens einmal im Monat","1985","66 +","Bayern","","","",""
"Mindestens einmal im Monat","1985","66 +","Berlin","","","",""
"Mindestens einmal im Monat","1985","66 +","Brandenburg","","","",""
"Mindestens einmal im Monat","1985","66 +","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal im Monat","1985","66 +","Sachsen","","","",""
"Mindestens einmal im Monat","1985","66 +","Sachsen-Anhalt","","","",""
"Mindestens einmal im Monat","1985","66 +","Thueringen","","","",""
"Mindestens einmal die Woche","1985","17-34","Schleswig-Holstein","44","0.398343226577475","0.312176345769316","0.484510107385633"
"Mindestens einmal die Woche","1985","17-34","Hamburg","37","0.446219099074619","0.342358740127589","0.550079458021648"
"Mindestens einmal die Woche","1985","17-34","Niedersachsen","141","0.381891956983573","0.334160025528515","0.429623888438631"
"Mindestens einmal die Woche","1985","17-34","Bremen","","","",""
"Mindestens einmal die Woche","1985","17-34","Nordrhein-Westfalen","381","0.364008231943085","0.336319667081768","0.391696796804401"
"Mindestens einmal die Woche","1985","17-34","Hessen","141","0.412324783024435","0.366382010093492","0.458267555955379"
"Mindestens einmal die Woche","1985","17-34","Rheinland-Pfalz,Saarland","102","0.374249176069342","0.318164241704753","0.430334110433931"
"Mindestens einmal die Woche","1985","17-34","Baden-Wuerttemberg","237","0.349840871511165","0.316520807254765","0.383160935767565"
"Mindestens einmal die Woche","1985","17-34","Bayern","233","0.362467130081431","0.326856088527808","0.398078171635055"
"Mindestens einmal die Woche","1985","17-34","Berlin","45","0.444691670228931","0.357577325184227","0.531806015273634"
"Mindestens einmal die Woche","1985","17-34","Brandenburg","","","",""
"Mindestens einmal die Woche","1985","17-34","Mecklenburg-Vorpommern","","","",""
"Mindestens einmal die Woche","1985","17-34","Sachsen","","","",""
"Mindestens einmal die Woche","1985","17-34","Sachsen-Anhalt","","","",""
"Mindestens einmal die Woche","1985","17-34","Thueringen","","","",""
"Mindestens einmal die Woche","1985","35-65","Schleswig-Holstein","45","0.249097377185938","0.186943531253027","0.311251223118849"
"Mindestens einmal die Woche","1985","35-65","Hamburg","40","0.331322461421182","0.254710267897991","0.407934654944373"
"Mindestens einmal die Woche","1985","35-65","Niedersachsen","120","0.213186785972719","0.179564547297229","0.246809024648209"
"Mindestens einmal die Woche","1985","35-65","Bremen","","","",""
