"m11104","year","sampreg","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Mehrmals im Jahr","1992","Ostdeutschland","weiblich","340","0.137493891161671","0.122622990512429","0.152364791810914"
"Mindestens einmal im Monat","1992","Westdeutschland","maennlich","364","0.0835014996155356","0.0754116353650883","0.091591363865983"
"Mindestens einmal im Monat","1992","Westdeutschland","weiblich","253","0.0527209575222999","0.0462991268927555","0.0591427881518443"
"Mindestens einmal im Monat","1992","Ostdeutschland","maennlich","97","0.0523120596226095","0.0422096294327375","0.0624144898124815"
"Mindestens einmal im Monat","1992","Ostdeutschland","weiblich","48","0.0217053553484334","0.0154127170519223","0.0279979936449445"
"Mindestens einmal die Woche","1992","Westdeutschland","maennlich","1238","0.276648477575112","0.263566691001242","0.289730264148982"
"Mindestens einmal die Woche","1992","Westdeutschland","weiblich","1051","0.237986638981645","0.225749333009544","0.250223944953747"
"Mindestens einmal die Woche","1992","Ostdeutschland","maennlich","280","0.143468276044192","0.127562973385828","0.159373578702556"
"Mindestens einmal die Woche","1992","Ostdeutschland","weiblich","217","0.100364561046778","0.0873886472077474","0.113340474885809"
"Fast nie oder nie","1993","Westdeutschland","maennlich","","","",""
"Fast nie oder nie","1993","Westdeutschland","weiblich","","","",""
"Fast nie oder nie","1993","Ostdeutschland","maennlich","","","",""
"Fast nie oder nie","1993","Ostdeutschland","weiblich","","","",""
"Mehrmals im Jahr","1993","Westdeutschland","maennlich","","","",""
"Mehrmals im Jahr","1993","Westdeutschland","weiblich","","","",""
"Mehrmals im Jahr","1993","Ostdeutschland","maennlich","","","",""
"Mehrmals im Jahr","1993","Ostdeutschland","weiblich","","","",""
"Mindestens einmal im Monat","1993","Westdeutschland","maennlich","","","",""
"Mindestens einmal im Monat","1993","Westdeutschland","weiblich","","","",""
"Mindestens einmal im Monat","1993","Ostdeutschland","maennlich","","","",""
"Mindestens einmal im Monat","1993","Ostdeutschland","weiblich","","","",""
"Mindestens einmal die Woche","1993","Westdeutschland","maennlich","","","",""
"Mindestens einmal die Woche","1993","Westdeutschland","weiblich","","","",""
"Mindestens einmal die Woche","1993","Ostdeutschland","maennlich","","","",""
"Mindestens einmal die Woche","1993","Ostdeutschland","weiblich","","","",""
"Fast nie oder nie","1994","Westdeutschland","maennlich","1940","0.44768238700246","0.432910594176696","0.462454179828224"
"Fast nie oder nie","1994","Westdeutschland","weiblich","2570","0.553303669984576","0.538932278936978","0.567675061032174"
"Fast nie oder nie","1994","Ostdeutschland","maennlich","1069","0.635313811150344","0.612851594740942","0.657776027559746"
"Fast nie oder nie","1994","Ostdeutschland","weiblich","1384","0.74675282730861","0.727441400818495","0.766064253798725"
"Mehrmals im Jahr","1994","Westdeutschland","maennlich","854","0.204423677589229","0.19244358207401","0.216403773104449"
"Mehrmals im Jahr","1994","Westdeutschland","weiblich","771","0.153519241694269","0.143098448129582","0.163940035258957"
"Mehrmals im Jahr","1994","Ostdeutschland","maennlich","346","0.177201793605278","0.159382949613836","0.19502063759672"
"Mehrmals im Jahr","1994","Ostdeutschland","weiblich","303","0.129281085585785","0.114381983385774","0.144180187785795"
"Mindestens einmal im Monat","1994","Westdeutschland","maennlich","357","0.0723551998126198","0.0646589441116931","0.0800514555135465"
"Mindestens einmal im Monat","1994","Westdeutschland","weiblich","268","0.0583728625253767","0.0515955764528744","0.0651501485978791"
"Mindestens einmal im Monat","1994","Ostdeutschland","maennlich","88","0.0479349204947987","0.0379657706385037","0.0579040703510936"
"Mindestens einmal im Monat","1994","Ostdeutschland","weiblich","61","0.0287585094440613","0.0213368603827245","0.0361801585053982"
"Mindestens einmal die Woche","1994","Westdeutschland","maennlich","1202","0.275538735595691","0.26226623746706","0.288811233724322"
"Mindestens einmal die Woche","1994","Westdeutschland","weiblich","988","0.234804225795777","0.222551010200911","0.247057441390644"
"Mindestens einmal die Woche","1994","Ostdeutschland","maennlich","261","0.13954947474958","0.123378885126711","0.155720064372449"
"Mindestens einmal die Woche","1994","Ostdeutschland","weiblich","200","0.0952075776615443","0.0821739938215328","0.108241161501556"
"Fast nie oder nie","1995","Westdeutschland","maennlich","1775","0.36759540095133","0.353704386590771","0.381486415311888"
"Fast nie oder nie","1995","Westdeutschland","weiblich","2353","0.46553339334748","0.451556965381576","0.479509821313385"
"Fast nie oder nie","1995","Ostdeutschland","maennlich","738","0.45823510344211","0.434837378871678","0.481632828012542"
"Fast nie oder nie","1995","Ostdeutschland","weiblich","965","0.562110741585726","0.539919041987744","0.584302441183708"
"Mehrmals im Jahr","1995","Westdeutschland","maennlich","987","0.218715492110269","0.206805929954049","0.230625054266489"
"Mehrmals im Jahr","1995","Westdeutschland","weiblich","923","0.186218677740296","0.175311159163138","0.197126196317455"
"Mehrmals im Jahr","1995","Ostdeutschland","maennlich","507","0.267658837381127","0.246868021526226","0.288449653236027"
"Mehrmals im Jahr","1995","Ostdeutschland","weiblich","511","0.232002552085372","0.21312160625572","0.250883497915024"
"Mindestens einmal im Monat","1995","Westdeutschland","maennlich","405","0.0925103465747322","0.0841626354650076","0.100858057684457"
"Mindestens einmal im Monat","1995","Westdeutschland","weiblich","322","0.0600994416085449","0.0534400177852892","0.0667588654318005"
"Mindestens einmal im Monat","1995","Ostdeutschland","maennlich","131","0.0723853599596092","0.0602169682364334","0.0845537516827851"
"Mindestens einmal im Monat","1995","Ostdeutschland","weiblich","97","0.0445759871910395","0.0353450448601395","0.0538069295219395"
"Mindestens einmal die Woche","1995","Westdeutschland","maennlich","1461","0.321178760363669","0.307726274761579","0.33463124596576"
"Mindestens einmal die Woche","1995","Westdeutschland","weiblich","1295","0.288148487303678","0.275458436485202","0.300838538122155"
"Mindestens einmal die Woche","1995","Ostdeutschland","maennlich","366","0.201720699217154","0.18287654359086","0.220564854843448"
"Mindestens einmal die Woche","1995","Ostdeutschland","weiblich","347","0.161310719137863","0.144858304865027","0.177763133410698"
"Fast nie oder nie","1996","Westdeutschland","maennlich","1880","0.409717844178761","0.39536201096151","0.424073677396012"
"Fast nie oder nie","1996","Westdeutschland","weiblich","2513","0.512587930901036","0.498422485707156","0.526753376094917"
"Fast nie oder nie","1996","Ostdeutschland","maennlich","896","0.554458550102171","0.531125151675432","0.577791948528909"
"Fast nie oder nie","1996","Ostdeutschland","weiblich","1168","0.65281331564299","0.631462845649468","0.674163785636513"
"Mehrmals im Jahr","1996","Westdeutschland","maennlich","981","0.217234920319486","0.205197409838542","0.229272430800429"
"Mehrmals im Jahr","1996","Westdeutschland","weiblich","909","0.177555407379289","0.16672566372126","0.188385151037319"
"Mehrmals im Jahr","1996","Ostdeutschland","maennlich","426","0.229293867718424","0.209558736209192","0.249028999227656"
"Mehrmals im Jahr","1996","Ostdeutschland","weiblich","377","0.175003761355208","0.157963310418942","0.192044212291475"
"Mindestens einmal im Monat","1996","Westdeutschland","maennlich","395","0.0849757167722094","0.076835801854703","0.0931156316897159"
"Mindestens einmal im Monat","1996","Westdeutschland","weiblich","319","0.065466913007188","0.0584571041940964","0.0724767218202796"
"Mindestens einmal im Monat","1996","Ostdeutschland","maennlich","115","0.0537938674037925","0.0432023383765175","0.0643853964310675"
"Mindestens einmal im Monat","1996","Ostdeutschland","weiblich","88","0.0405933283799895","0.0317429853160095","0.0494436714439695"
"Mindestens einmal die Woche","1996","Westdeutschland","maennlich","1252","0.288071518729544","0.274851730984105","0.301291306474983"
"Mindestens einmal die Woche","1996","Westdeutschland","weiblich","1042","0.244389748712486","0.232211402572585","0.256568094852387"
"Mindestens einmal die Woche","1996","Ostdeutschland","maennlich","306","0.162453714775612","0.145136875378121","0.179770554173103"
"Mindestens einmal die Woche","1996","Ostdeutschland","weiblich","277","0.131589594621812","0.116429402983616","0.146749786260008"
"Fast nie oder nie","1997","Westdeutschland","maennlich","1929","0.439537524593586","0.424911988930323","0.454163060256848"
"Fast nie oder nie","1997","Westdeutschland","weiblich","2492","0.522862863191367","0.508545178570935","0.5371805478118"
"Fast nie oder nie","1997","Ostdeutschland","maennlich","928","0.565022717260824","0.541648210000856","0.588397224520791"
"Fast nie oder nie","1997","Ostdeutschland","weiblich","1152","0.656464238761528","0.634894257620322","0.678034219902735"
"Mehrmals im Jahr","1997","Westdeutschland","maennlich","875","0.193481003119254","0.181840627418038","0.205121378820471"
"Mehrmals im Jahr","1997","Westdeutschland","weiblich","834","0.170174743082357","0.159402698063628","0.180946788101086"
"Mehrmals im Jahr","1997","Ostdeutschland","maennlich","383","0.212843639909704","0.193544539529069","0.232142740290339"
"Mehrmals im Jahr","1997","Ostdeutschland","weiblich","381","0.184270500092269","0.166660504627949","0.201880495556589"
"Mindestens einmal im Monat","1997","Westdeutschland","maennlich","349","0.072682368058732","0.0650322290811182","0.0803325070363458"
"Mindestens einmal im Monat","1997","Westdeutschland","weiblich","249","0.0505446131145706","0.0442650127907549","0.0568242134383863"
"Mindestens einmal im Monat","1997","Ostdeutschland","maennlich","101","0.0532912963958371","0.0427008918659709","0.0638817009257033"
"Mindestens einmal im Monat","1997","Ostdeutschland","weiblich","58","0.0272717215394106","0.0198737901300475","0.0346696529487738"
"Mindestens einmal die Woche","1997","Westdeutschland","maennlich","1271","0.294299104228428","0.280870052821313","0.307728155635543"
"Mindestens einmal die Woche","1997","Westdeutschland","weiblich","1100","0.256417780611705","0.243900907489013","0.268934653734398"
"Mindestens einmal die Woche","1997","Ostdeutschland","maennlich","316","0.168842346433635","0.151179584489443","0.186505108377826"
"Mindestens einmal die Woche","1997","Ostdeutschland","weiblich","271","0.131993539606792","0.116619214193537","0.147367865020047"
"Fast nie oder nie","1998","Westdeutschland","maennlich","1825","0.357175805310245","0.343864894655242","0.370486715965248"
"Fast nie oder nie","1998","Westdeutschland","weiblich","2367","0.443576674687296","0.430202832227585","0.456950517147006"
"Fast nie oder nie","1998","Ostdeutschland","maennlich","735","0.419411864705663","0.396980131530861","0.441843597880465"
"Fast nie oder nie","1998","Ostdeutschland","weiblich","957","0.529162267841642","0.50713733400155","0.551187201681734"
"Mehrmals im Jahr","1998","Westdeutschland","maennlich","1107","0.216691420829602","0.205246627750292","0.228136213908913"
"Mehrmals im Jahr","1998","Westdeutschland","weiblich","1047","0.183447211539302","0.173028431258852","0.193865991819753"
"Mehrmals im Jahr","1998","Ostdeutschland","maennlich","532","0.288955284574391","0.268350305709137","0.309560263439644"
"Mehrmals im Jahr","1998","Ostdeutschland","weiblich","505","0.22558466326403","0.207141886644138","0.244027439883923"
"Mindestens einmal im Monat","1998","Westdeutschland","maennlich","461","0.0905072232795513","0.0825371577427545","0.0984772888163481"
"Mindestens einmal im Monat","1998","Westdeutschland","weiblich","392","0.0723260777932208","0.0653531636123535","0.079298991974088"
"Mindestens einmal im Monat","1998","Ostdeutschland","maennlich","125","0.0587380892123398","0.0480494222427787","0.0694267561819009"
"Mindestens einmal im Monat","1998","Ostdeutschland","weiblich","124","0.0611484794410378","0.0505760246577526","0.071720934224323"
"Mindestens einmal die Woche","1998","Westdeutschland","maennlich","1585","0.335625550580601","0.322507943635191","0.348743157526011"
"Mindestens einmal die Woche","1998","Westdeutschland","weiblich","1495","0.300650035980182","0.288306286545372","0.312993785414991"
"Mindestens einmal die Woche","1998","Ostdeutschland","maennlich","467","0.232894761507607","0.213680852465857","0.252108670549357"
"Mindestens einmal die Woche","1998","Ostdeutschland","weiblich","387","0.18410458945329","0.167003093538871","0.201206085367709"
"Fast nie oder nie","1999","Westdeutschland","maennlich","1962","0.421188630880817","0.407139908544523","0.435237353217112"
"Fast nie oder nie","1999","Westdeutschland","weiblich","2546","0.511080944778468","0.497296802522729","0.524865087034208"
"Fast nie oder nie","1999","Ostdeutschland","maennlich","928","0.542544882926731","0.519536647345835","0.565553118507627"
"Fast nie oder nie","1999","Ostdeutschland","weiblich","1136","0.609704070014557","0.587985673242769","0.631422466786345"
"Mehrmals im Jahr","1999","Westdeutschland","maennlich","1010","0.203944359375542","0.192479795357239","0.215408923393844"
"Mehrmals im Jahr","1999","Westdeutschland","weiblich","957","0.170675233554144","0.160300809625685","0.181049657482602"
"Mehrmals im Jahr","1999","Ostdeutschland","maennlich","409","0.221712075831568","0.202527329784791","0.240896821878346"
"Mehrmals im Jahr","1999","Ostdeutschland","weiblich","399","0.190754379577666","0.17326201008413","0.208246749071203"
"Mindestens einmal im Monat","1999","Westdeutschland","maennlich","391","0.0753571211368127","0.0678464430763471","0.0828677991972783"
"Mindestens einmal im Monat","1999","Westdeutschland","weiblich","318","0.0604802052005391","0.0539070177802347","0.0670533926208435"
"Mindestens einmal im Monat","1999","Ostdeutschland","maennlich","112","0.0577842036074062","0.0470078709030596","0.0685605363117528"
"Mindestens einmal im Monat","1999","Ostdeutschland","weiblich","98","0.0461362917453466","0.0367965318904214","0.0554760516002717"
"Mindestens einmal die Woche","1999","Westdeutschland","maennlich","1382","0.299509888606828","0.286477123441272","0.312542653772385"
"Mindestens einmal die Woche","1999","Westdeutschland","weiblich","1231","0.257763616466849","0.245702199044557","0.269825033889141"
"Mindestens einmal die Woche","1999","Ostdeutschland","maennlich","352","0.177958837634295","0.160294482104828","0.195623193163762"
"Mindestens einmal die Woche","1999","Ostdeutschland","weiblich","305","0.15340525866243","0.137360650639168","0.169449866685692"
"Fast nie oder nie","2000","Westdeutschland","maennlich","","","",""
"Fast nie oder nie","2000","Westdeutschland","weiblich","","","",""
"Fast nie oder nie","2000","Ostdeutschland","maennlich","","","",""
"Fast nie oder nie","2000","Ostdeutschland","weiblich","","","",""
"Mehrmals im Jahr","2000","Westdeutschland","maennlich","","","",""
"Mehrmals im Jahr","2000","Westdeutschland","weiblich","","","",""
"Mehrmals im Jahr","2000","Ostdeutschland","maennlich","","","",""
"Mehrmals im Jahr","2000","Ostdeutschland","weiblich","","","",""
"Mindestens einmal im Monat","2000","Westdeutschland","maennlich","","","",""
"Mindestens einmal im Monat","2000","Westdeutschland","weiblich","","","",""
"Mindestens einmal im Monat","2000","Ostdeutschland","maennlich","","","",""
"Mindestens einmal im Monat","2000","Ostdeutschland","weiblich","","","",""
"Mindestens einmal die Woche","2000","Westdeutschland","maennlich","","","",""
"Mindestens einmal die Woche","2000","Westdeutschland","weiblich","","","",""
"Mindestens einmal die Woche","2000","Ostdeutschland","maennlich","","","",""
"Mindestens einmal die Woche","2000","Ostdeutschland","weiblich","","","",""
"Fast nie oder nie","2001","Westdeutschland","maennlich","3532","0.452297974072607","0.441274360675048","0.463321587470167"
"Fast nie oder nie","2001","Westdeutschland","weiblich","4307","0.52338589741766","0.512766883740814","0.534004911094505"
"Fast nie oder nie","2001","Ostdeutschland","maennlich","1378","0.55163014995293","0.532524878828427","0.570735421077434"
"Fast nie oder nie","2001","Ostdeutschland","weiblich","1615","0.608287561940849","0.590174822549494","0.626400301332205"
"Mehrmals im Jahr","2001","Westdeutschland","maennlich","1380","0.176372701141209","0.167931183576136","0.184814218706283"
"Mehrmals im Jahr","2001","Westdeutschland","weiblich","1296","0.141311358954505","0.133905147232791","0.148717570676219"
"Mehrmals im Jahr","2001","Ostdeutschland","maennlich","513","0.181249296221473","0.166450546868674","0.196048045574272"
"Mehrmals im Jahr","2001","Ostdeutschland","weiblich","486","0.154606110359666","0.141191166216359","0.168021054502972"
"Mindestens einmal im Monat","2001","Westdeutschland","maennlich","588","0.0746340270259755","0.0688134682420997","0.0804545858098512"
"Mindestens einmal im Monat","2001","Westdeutschland","weiblich","495","0.0556393270935659","0.0507657301577254","0.0605129240294064"
"Mindestens einmal im Monat","2001","Ostdeutschland","maennlich","152","0.0552407496579337","0.0464646536584743","0.0640168456573932"
"Mindestens einmal im Monat","2001","Ostdeutschland","weiblich","127","0.0433442444209035","0.0357882861272352","0.0509002027145718"
"Mindestens einmal die Woche","2001","Westdeutschland","maennlich","2331","0.296695297760208","0.28657795248922","0.306812643031196"
"Mindestens einmal die Woche","2001","Westdeutschland","weiblich","2400","0.279663416534269","0.270120628156412","0.289206204912127"
"Mindestens einmal die Woche","2001","Ostdeutschland","maennlich","560","0.211879804167662","0.196181526132448","0.227578082202877"
