"m11104","year","bula_h","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Mehrmals im Jahr","1984","Bremen","weiblich","6","0.082074599997467","0.0168364381589869","0.147312761835947"
"Mehrmals im Jahr","1984","Nordrhein-Westfalen","maennlich","348","0.215948481868236","0.195697602940041","0.23619936079643"
"Mehrmals im Jahr","1984","Nordrhein-Westfalen","weiblich","252","","",""
"Mehrmals im Jahr","1984","Hessen","maennlich","109","","",""
"Mehrmals im Jahr","1984","Hessen","weiblich","105","","",""
"Mehrmals im Jahr","1984","Rheinland-Pfalz,Saarland","maennlich","74","0.170978691123247","0.134712515415288","0.207244866831206"
"Mehrmals im Jahr","1984","Rheinland-Pfalz,Saarland","weiblich","54","0.121924341707864","0.0911055703008736","0.152743113114855"
"Mehrmals im Jahr","1984","Baden-Wuerttemberg","maennlich","206","","",""
"Mehrmals im Jahr","1984","Baden-Wuerttemberg","weiblich","179","","",""
"Mehrmals im Jahr","1984","Bayern","maennlich","226","","",""
"Mehrmals im Jahr","1984","Bayern","weiblich","201","","",""
"Mehrmals im Jahr","1984","Saarland","maennlich","","","",""
"Mehrmals im Jahr","1984","Saarland","weiblich","","","",""
"Mehrmals im Jahr","1984","Berlin","maennlich","53","0.236246356835101","0.176318514160615","0.296174199509588"
"Mehrmals im Jahr","1984","Berlin","weiblich","39","0.158249160333323","0.108649476305642","0.207848844361005"
"Mehrmals im Jahr","1984","Brandenburg","maennlich","","","",""
"Mehrmals im Jahr","1984","Brandenburg","weiblich","","","",""
"Mehrmals im Jahr","1984","Mecklenburg-Vorpommern","maennlich","","","",""
"Mehrmals im Jahr","1984","Mecklenburg-Vorpommern","weiblich","","","",""
"Mehrmals im Jahr","1984","Sachsen","maennlich","","","",""
"Mehrmals im Jahr","1984","Sachsen","weiblich","","","",""
"Mehrmals im Jahr","1984","Sachsen-Anhalt","maennlich","","","",""
"Mehrmals im Jahr","1984","Sachsen-Anhalt","weiblich","","","",""
"Mehrmals im Jahr","1984","Thueringen","maennlich","","","",""
"Mehrmals im Jahr","1984","Thueringen","weiblich","","","",""
"Mindestens einmal im Monat","1984","Schleswig-Holstein","maennlich","54","0.274879616066179","0.211230333380148","0.33852889875221"
"Mindestens einmal im Monat","1984","Schleswig-Holstein","weiblich","41","0.204861766084282","0.148358724078415","0.26136480809015"
"Mindestens einmal im Monat","1984","Hamburg","maennlich","31","0.207735337213436","0.142154077262265","0.273316597164606"
"Mindestens einmal im Monat","1984","Hamburg","weiblich","25","","",""
"Mindestens einmal im Monat","1984","Niedersachsen","maennlich","135","","",""
"Mindestens einmal im Monat","1984","Niedersachsen","weiblich","105","","",""
"Mindestens einmal im Monat","1984","Bremen","maennlich","8","0.114197333036897","0.0356603364757471","0.192734329598046"
"Mindestens einmal im Monat","1984","Bremen","weiblich","10","","",""
"Mindestens einmal im Monat","1984","Nordrhein-Westfalen","maennlich","333","0.211789362115339","0.19168132321897","0.231897401011709"
"Mindestens einmal im Monat","1984","Nordrhein-Westfalen","weiblich","218","","",""
"Mindestens einmal im Monat","1984","Hessen","maennlich","150","","",""
"Mindestens einmal im Monat","1984","Hessen","weiblich","82","0.163321598985962","0.134129936746184","0.19251326122574"
"Mindestens einmal im Monat","1984","Rheinland-Pfalz,Saarland","maennlich","97","0.223451738596761","0.183325909843663","0.26357756734986"
"Mindestens einmal im Monat","1984","Rheinland-Pfalz,Saarland","weiblich","63","0.147558661946413","0.114153102593888","0.180964221298938"
"Mindestens einmal im Monat","1984","Baden-Wuerttemberg","maennlich","206","","",""
"Mindestens einmal im Monat","1984","Baden-Wuerttemberg","weiblich","111","","",""
"Mindestens einmal im Monat","1984","Bayern","maennlich","221","","",""
"Mindestens einmal im Monat","1984","Bayern","weiblich","151","","",""
"Mindestens einmal im Monat","1984","Saarland","maennlich","","","",""
"Mindestens einmal im Monat","1984","Saarland","weiblich","","","",""
"Mindestens einmal im Monat","1984","Berlin","maennlich","44","0.245504601977818","0.184785190600736","0.306224013354901"
"Mindestens einmal im Monat","1984","Berlin","weiblich","25","","",""
"Mindestens einmal im Monat","1984","Brandenburg","maennlich","","","",""
"Mindestens einmal im Monat","1984","Brandenburg","weiblich","","","",""
"Mindestens einmal im Monat","1984","Mecklenburg-Vorpommern","maennlich","","","",""
"Mindestens einmal im Monat","1984","Mecklenburg-Vorpommern","weiblich","","","",""
"Mindestens einmal im Monat","1984","Sachsen","maennlich","","","",""
"Mindestens einmal im Monat","1984","Sachsen","weiblich","","","",""
"Mindestens einmal im Monat","1984","Sachsen-Anhalt","maennlich","","","",""
"Mindestens einmal im Monat","1984","Sachsen-Anhalt","weiblich","","","",""
"Mindestens einmal im Monat","1984","Thueringen","maennlich","","","",""
"Mindestens einmal im Monat","1984","Thueringen","weiblich","","","",""
"Mindestens einmal die Woche","1984","Schleswig-Holstein","maennlich","","","",""
"Mindestens einmal die Woche","1984","Schleswig-Holstein","weiblich","","","",""
"Mindestens einmal die Woche","1984","Hamburg","maennlich","","","",""
"Mindestens einmal die Woche","1984","Hamburg","weiblich","","","",""
"Mindestens einmal die Woche","1984","Niedersachsen","maennlich","","","",""
"Mindestens einmal die Woche","1984","Niedersachsen","weiblich","","","",""
"Mindestens einmal die Woche","1984","Bremen","maennlich","","","",""
"Mindestens einmal die Woche","1984","Bremen","weiblich","","","",""
"Mindestens einmal die Woche","1984","Nordrhein-Westfalen","maennlich","","","",""
"Mindestens einmal die Woche","1984","Nordrhein-Westfalen","weiblich","","","",""
"Mindestens einmal die Woche","1984","Hessen","maennlich","","","",""
"Mindestens einmal die Woche","1984","Hessen","weiblich","","","",""
"Mindestens einmal die Woche","1984","Rheinland-Pfalz,Saarland","maennlich","","","",""
"Mindestens einmal die Woche","1984","Rheinland-Pfalz,Saarland","weiblich","","","",""
"Mindestens einmal die Woche","1984","Baden-Wuerttemberg","maennlich","","","",""
"Mindestens einmal die Woche","1984","Baden-Wuerttemberg","weiblich","","","",""
"Mindestens einmal die Woche","1984","Bayern","maennlich","","","",""
"Mindestens einmal die Woche","1984","Bayern","weiblich","","","",""
"Mindestens einmal die Woche","1984","Saarland","maennlich","","","",""
"Mindestens einmal die Woche","1984","Saarland","weiblich","","","",""
"Mindestens einmal die Woche","1984","Berlin","maennlich","","","",""
"Mindestens einmal die Woche","1984","Berlin","weiblich","","","",""
"Mindestens einmal die Woche","1984","Brandenburg","maennlich","","","",""
"Mindestens einmal die Woche","1984","Brandenburg","weiblich","","","",""
"Mindestens einmal die Woche","1984","Mecklenburg-Vorpommern","maennlich","","","",""
"Mindestens einmal die Woche","1984","Mecklenburg-Vorpommern","weiblich","","","",""
"Mindestens einmal die Woche","1984","Sachsen","maennlich","","","",""
"Mindestens einmal die Woche","1984","Sachsen","weiblich","","","",""
"Mindestens einmal die Woche","1984","Sachsen-Anhalt","maennlich","","","",""
"Mindestens einmal die Woche","1984","Sachsen-Anhalt","weiblich","","","",""
"Mindestens einmal die Woche","1984","Thueringen","maennlich","","","",""
"Mindestens einmal die Woche","1984","Thueringen","weiblich","","","",""
"Fast nie oder nie","1985","Schleswig-Holstein","maennlich","78","0.454018450163","0.378506516793868","0.529530383532132"
"Fast nie oder nie","1985","Schleswig-Holstein","weiblich","114","","",""
"Fast nie oder nie","1985","Hamburg","maennlich","66","0.46867024936635","0.384802614304053","0.552537884428647"
"Fast nie oder nie","1985","Hamburg","weiblich","82","0.56082038194709","0.478316634816174","0.643324129078006"
"Fast nie oder nie","1985","Niedersachsen","maennlich","282","","",""
"Fast nie oder nie","1985","Niedersachsen","weiblich","351","0.630875452402666","0.590943095979513","0.670807808825818"
"Fast nie oder nie","1985","Bremen","maennlich","33","0.717719207017916","0.596540000356193","0.838898413679639"
"Fast nie oder nie","1985","Bremen","weiblich","41","0.664965374332068","0.547476536256189","0.782454212407946"
"Fast nie oder nie","1985","Nordrhein-Westfalen","maennlich","769","0.525587863628336","0.499903705070866","0.551272022185806"
"Fast nie oder nie","1985","Nordrhein-Westfalen","weiblich","967","0.636834302287565","0.612308485596087","0.661360118979043"
"Fast nie oder nie","1985","Hessen","maennlich","322","0.555102342872892","0.513905989326338","0.596298696419446"
"Fast nie oder nie","1985","Hessen","weiblich","372","0.651731413524042","0.612059359421865","0.691403467626219"
"Fast nie oder nie","1985","Rheinland-Pfalz,Saarland","maennlich","208","","",""
"Fast nie oder nie","1985","Rheinland-Pfalz,Saarland","weiblich","257","","",""
"Fast nie oder nie","1985","Baden-Wuerttemberg","maennlich","558","0.526707282695798","0.495930580242314","0.557483985149282"
"Fast nie oder nie","1985","Baden-Wuerttemberg","weiblich","706","0.659937973908661","0.63073660964638","0.689139338170942"
"Fast nie oder nie","1985","Bayern","maennlich","444","0.503196720965869","0.470311350693676","0.536082091238062"
"Fast nie oder nie","1985","Bayern","weiblich","596","0.604385237501493","0.573879418921285","0.634891056081701"
"Fast nie oder nie","1985","Saarland","maennlich","","","",""
"Fast nie oder nie","1985","Saarland","weiblich","","","",""
"Fast nie oder nie","1985","Berlin","maennlich","84","0.475646274038327","0.401442209308473","0.549850338768181"
"Fast nie oder nie","1985","Berlin","weiblich","127","","",""
"Fast nie oder nie","1985","Brandenburg","maennlich","","","",""
"Fast nie oder nie","1985","Brandenburg","weiblich","","","",""
"Fast nie oder nie","1985","Mecklenburg-Vorpommern","maennlich","","","",""
"Fast nie oder nie","1985","Mecklenburg-Vorpommern","weiblich","","","",""
"Fast nie oder nie","1985","Sachsen","maennlich","","","",""
"Fast nie oder nie","1985","Sachsen","weiblich","","","",""
"Fast nie oder nie","1985","Sachsen-Anhalt","maennlich","","","",""
"Fast nie oder nie","1985","Sachsen-Anhalt","weiblich","","","",""
"Fast nie oder nie","1985","Thueringen","maennlich","","","",""
"Fast nie oder nie","1985","Thueringen","weiblich","","","",""
"Mehrmals im Jahr","1985","Schleswig-Holstein","maennlich","27","","",""
"Mehrmals im Jahr","1985","Schleswig-Holstein","weiblich","21","","",""
"Mehrmals im Jahr","1985","Hamburg","maennlich","12","","",""
"Mehrmals im Jahr","1985","Hamburg","weiblich","13","","",""
"Mehrmals im Jahr","1985","Niedersachsen","maennlich","72","0.127928921707731","0.0994927932348306","0.156365050180632"
"Mehrmals im Jahr","1985","Niedersachsen","weiblich","70","0.120635331621787","0.0936834911277712","0.147587172115802"
"Mehrmals im Jahr","1985","Bremen","maennlich","10","","",""
"Mehrmals im Jahr","1985","Bremen","weiblich","8","0.104256572220486","0.0281896608572036","0.180323483583769"
"Mehrmals im Jahr","1985","Nordrhein-Westfalen","maennlich","211","","",""
"Mehrmals im Jahr","1985","Nordrhein-Westfalen","weiblich","185","","",""
"Mehrmals im Jahr","1985","Hessen","maennlich","63","0.11399777713209","0.0876521959016884","0.140343358362491"
"Mehrmals im Jahr","1985","Hessen","weiblich","70","0.112650832462424","0.0863234498843269","0.138978215040522"
"Mehrmals im Jahr","1985","Rheinland-Pfalz,Saarland","maennlich","55","0.146274520967972","0.110603061406041","0.181945980529903"
"Mehrmals im Jahr","1985","Rheinland-Pfalz,Saarland","weiblich","47","0.11601361347722","0.0838996673121694","0.148127559642271"
"Mehrmals im Jahr","1985","Baden-Wuerttemberg","maennlich","144","","",""
"Mehrmals im Jahr","1985","Baden-Wuerttemberg","weiblich","105","","",""
"Mehrmals im Jahr","1985","Bayern","maennlich","125","","",""
"Mehrmals im Jahr","1985","Bayern","weiblich","142","","",""
"Mehrmals im Jahr","1985","Saarland","maennlich","","","",""
"Mehrmals im Jahr","1985","Saarland","weiblich","","","",""
"Mehrmals im Jahr","1985","Berlin","maennlich","33","0.161911949543683","0.107177879686166","0.2166460194012"
"Mehrmals im Jahr","1985","Berlin","weiblich","18","","",""
"Mehrmals im Jahr","1985","Brandenburg","maennlich","","","",""
"Mehrmals im Jahr","1985","Brandenburg","weiblich","","","",""
"Mehrmals im Jahr","1985","Mecklenburg-Vorpommern","maennlich","","","",""
"Mehrmals im Jahr","1985","Mecklenburg-Vorpommern","weiblich","","","",""
"Mehrmals im Jahr","1985","Sachsen","maennlich","","","",""
"Mehrmals im Jahr","1985","Sachsen","weiblich","","","",""
"Mehrmals im Jahr","1985","Sachsen-Anhalt","maennlich","","","",""
"Mehrmals im Jahr","1985","Sachsen-Anhalt","weiblich","","","",""
"Mehrmals im Jahr","1985","Thueringen","maennlich","","","",""
"Mehrmals im Jahr","1985","Thueringen","weiblich","","","",""
"Mindestens einmal im Monat","1985","Schleswig-Holstein","maennlich","11","","",""
"Mindestens einmal im Monat","1985","Schleswig-Holstein","weiblich","6","0.0361588949330823","0.00888657173136936","0.0634312181347953"
"Mindestens einmal im Monat","1985","Hamburg","maennlich","14","","",""
"Mindestens einmal im Monat","1985","Hamburg","weiblich","6","0.0541379929962833","0.0165191306810351","0.0917568553115314"
"Mindestens einmal im Monat","1985","Niedersachsen","maennlich","26","","",""
"Mindestens einmal im Monat","1985","Niedersachsen","weiblich","20","","",""
"Mindestens einmal im Monat","1985","Bremen","maennlich","5","0.0709520841993133","0.00183080107047995","0.140073367328147"
"Mindestens einmal im Monat","1985","Bremen","weiblich","4","0.0417276568046532","-0.00804705134237826","0.0915023649516847"
"Mindestens einmal im Monat","1985","Nordrhein-Westfalen","maennlich","77","0.0551450103429623","0.0434041350673235","0.066885885618601"
"Mindestens einmal im Monat","1985","Nordrhein-Westfalen","weiblich","51","0.034978946943916","0.0256091624373676","0.0443487314504645"
"Mindestens einmal im Monat","1985","Hessen","maennlich","28","","",""
"Mindestens einmal im Monat","1985","Hessen","weiblich","16","","",""
"Mindestens einmal im Monat","1985","Rheinland-Pfalz,Saarland","maennlich","23","","",""
"Mindestens einmal im Monat","1985","Rheinland-Pfalz,Saarland","weiblich","14","","",""
"Mindestens einmal im Monat","1985","Baden-Wuerttemberg","maennlich","72","0.0725718017432538","0.0565800288271691","0.0885635746593384"
"Mindestens einmal im Monat","1985","Baden-Wuerttemberg","weiblich","35","0.0356493235957256","0.0242201282684468","0.0470785189230045"
"Mindestens einmal im Monat","1985","Bayern","maennlich","65","0.0691480590946443","0.0524613033210158","0.0858348148682729"
"Mindestens einmal im Monat","1985","Bayern","weiblich","45","0.0459598645857431","0.0328962846338672","0.0590234445376189"
"Mindestens einmal im Monat","1985","Saarland","maennlich","","","",""
"Mindestens einmal im Monat","1985","Saarland","weiblich","","","",""
"Mindestens einmal im Monat","1985","Berlin","maennlich","12","","",""
"Mindestens einmal im Monat","1985","Berlin","weiblich","10","","",""
"Mindestens einmal im Monat","1985","Brandenburg","maennlich","","","",""
"Mindestens einmal im Monat","1985","Brandenburg","weiblich","","","",""
"Mindestens einmal im Monat","1985","Mecklenburg-Vorpommern","maennlich","","","",""
"Mindestens einmal im Monat","1985","Mecklenburg-Vorpommern","weiblich","","","",""
"Mindestens einmal im Monat","1985","Sachsen","maennlich","","","",""
"Mindestens einmal im Monat","1985","Sachsen","weiblich","","","",""
"Mindestens einmal im Monat","1985","Sachsen-Anhalt","maennlich","","","",""
"Mindestens einmal im Monat","1985","Sachsen-Anhalt","weiblich","","","",""
"Mindestens einmal im Monat","1985","Thueringen","maennlich","","","",""
"Mindestens einmal im Monat","1985","Thueringen","weiblich","","","",""
"Mindestens einmal die Woche","1985","Schleswig-Holstein","maennlich","51","0.321455469080147","0.250621848282024","0.392289089878271"
"Mindestens einmal die Woche","1985","Schleswig-Holstein","weiblich","39","0.20488355807651","0.145920396876136","0.263846719276884"
"Mindestens einmal die Woche","1985","Hamburg","maennlich","44","0.325048266751915","0.246327571223946","0.403768962279883"
"Mindestens einmal die Woche","1985","Hamburg","weiblich","38","0.293643580755108","0.217931898722108","0.369355262788107"
"Mindestens einmal die Woche","1985","Niedersachsen","maennlich","150","","",""
"Mindestens einmal die Woche","1985","Niedersachsen","weiblich","120","","",""
"Mindestens einmal die Woche","1985","Bremen","maennlich","5","0.0967904535146415","0.0171890586106299","0.176391848418653"
"Mindestens einmal die Woche","1985","Bremen","weiblich","9","0.189050396642793","0.0915878005152423","0.286512992770343"
"Mindestens einmal die Woche","1985","Nordrhein-Westfalen","maennlich","395","0.275510663873746","0.252530665788537","0.298490661958955"
"Mindestens einmal die Woche","1985","Nordrhein-Westfalen","weiblich","274","","",""
"Mindestens einmal die Woche","1985","Hessen","maennlich","146","","",""
"Mindestens einmal die Woche","1985","Hessen","weiblich","96","0.207458633040368","0.173693385773691","0.241223880307045"
"Mindestens einmal die Woche","1985","Rheinland-Pfalz,Saarland","maennlich","91","0.234369509156465","0.191609520483829","0.277129497829101"
"Mindestens einmal die Woche","1985","Rheinland-Pfalz,Saarland","weiblich","64","0.174586012344784","0.136518276726762","0.212653747962806"
"Mindestens einmal die Woche","1985","Baden-Wuerttemberg","maennlich","237","","",""
"Mindestens einmal die Woche","1985","Baden-Wuerttemberg","weiblich","165","","",""
"Mindestens einmal die Woche","1985","Bayern","maennlich","254","","",""
"Mindestens einmal die Woche","1985","Bayern","weiblich","204","","",""
"Mindestens einmal die Woche","1985","Saarland","maennlich","","","",""
"Mindestens einmal die Woche","1985","Saarland","weiblich","","","",""
"Mindestens einmal die Woche","1985","Berlin","maennlich","45","0.296232226291828","0.228389341559917","0.36407511102374"
"Mindestens einmal die Woche","1985","Berlin","weiblich","33","0.176720779543971","0.122196924731219","0.231244634356723"
"Mindestens einmal die Woche","1985","Brandenburg","maennlich","","","",""
"Mindestens einmal die Woche","1985","Brandenburg","weiblich","","","",""
"Mindestens einmal die Woche","1985","Mecklenburg-Vorpommern","maennlich","","","",""
"Mindestens einmal die Woche","1985","Mecklenburg-Vorpommern","weiblich","","","",""
"Mindestens einmal die Woche","1985","Sachsen","maennlich","","","",""
"Mindestens einmal die Woche","1985","Sachsen","weiblich","","","",""
"Mindestens einmal die Woche","1985","Sachsen-Anhalt","maennlich","","","",""
"Mindestens einmal die Woche","1985","Sachsen-Anhalt","weiblich","","","",""
"Mindestens einmal die Woche","1985","Thueringen","maennlich","","","",""
"Mindestens einmal die Woche","1985","Thueringen","weiblich","","","",""
"Fast nie oder nie","1986","Schleswig-Holstein","maennlich","78","0.492556763392598","0.414354352432692","0.570759174352504"
"Fast nie oder nie","1986","Schleswig-Holstein","weiblich","100","","",""
"Fast nie oder nie","1986","Hamburg","maennlich","67","0.515619508654094","0.428358383101898","0.60288063420629"
"Fast nie oder nie","1986","Hamburg","weiblich","76","0.607242940940507","0.521630609986565","0.69285527189445"
"Fast nie oder nie","1986","Niedersachsen","maennlich","280","","",""
"Fast nie oder nie","1986","Niedersachsen","weiblich","330","0.602344758614771","0.561845918634364","0.642843598595177"
"Fast nie oder nie","1986","Bremen","maennlich","36","0.762455361935486","0.644493147630968","0.880417576240004"
"Fast nie oder nie","1986","Bremen","weiblich","39","0.608742343717988","0.483144473576931","0.734340213859046"
"Fast nie oder nie","1986","Nordrhein-Westfalen","maennlich","713","0.495187135605375","0.469006577097887","0.521367694112863"
"Fast nie oder nie","1986","Nordrhein-Westfalen","weiblich","911","0.639060373227241","0.614141733491163","0.663979012963319"
"Fast nie oder nie","1986","Hessen","maennlich","289","","",""
"Fast nie oder nie","1986","Hessen","weiblich","361","0.676571846028871","0.636288171080856","0.716855520976885"
"Fast nie oder nie","1986","Rheinland-Pfalz,Saarland","maennlich","214","","",""
"Fast nie oder nie","1986","Rheinland-Pfalz,Saarland","weiblich","278","","",""
"Fast nie oder nie","1986","Baden-Wuerttemberg","maennlich","523","0.518465089945356","0.487449920344797","0.549480259545915"
"Fast nie oder nie","1986","Baden-Wuerttemberg","weiblich","661","0.641968451903573","0.61181368558253","0.672123218224616"
"Fast nie oder nie","1986","Bayern","maennlich","393","0.479309854924075","0.445506098099584","0.513113611748565"
"Fast nie oder nie","1986","Bayern","weiblich","537","0.606354220241817","0.574611554415813","0.638096886067821"
"Fast nie oder nie","1986","Saarland","maennlich","","","",""
"Fast nie oder nie","1986","Saarland","weiblich","","","",""
"Fast nie oder nie","1986","Berlin","maennlich","93","0.539636262946731","0.46536408557755","0.613908440315911"
"Fast nie oder nie","1986","Berlin","weiblich","118","","",""
"Fast nie oder nie","1986","Brandenburg","maennlich","","","",""
"Fast nie oder nie","1986","Brandenburg","weiblich","","","",""
"Fast nie oder nie","1986","Mecklenburg-Vorpommern","maennlich","","","",""
"Fast nie oder nie","1986","Mecklenburg-Vorpommern","weiblich","","","",""
"Fast nie oder nie","1986","Sachsen","maennlich","","","",""
"Fast nie oder nie","1986","Sachsen","weiblich","","","",""
"Fast nie oder nie","1986","Sachsen-Anhalt","maennlich","","","",""
"Fast nie oder nie","1986","Sachsen-Anhalt","weiblich","","","",""
"Fast nie oder nie","1986","Thueringen","maennlich","","","",""
"Fast nie oder nie","1986","Thueringen","weiblich","","","",""
"Mehrmals im Jahr","1986","Schleswig-Holstein","maennlich","24","","",""
"Mehrmals im Jahr","1986","Schleswig-Holstein","weiblich","19","","",""
"Mehrmals im Jahr","1986","Hamburg","maennlich","13","","",""
"Mehrmals im Jahr","1986","Hamburg","weiblich","14","","",""
"Mehrmals im Jahr","1986","Niedersachsen","maennlich","66","0.114361809089858","0.0874446250034289","0.141278993176288"
"Mehrmals im Jahr","1986","Niedersachsen","weiblich","70","0.111318955834218","0.0852919517204122","0.137345959948024"
"Mehrmals im Jahr","1986","Bremen","maennlich","8","0.152385108744647","0.0527680665800104","0.252002150909284"
"Mehrmals im Jahr","1986","Bremen","weiblich","5","0.103877508630636","0.0253578241852736","0.182397193075999"
"Mehrmals im Jahr","1986","Nordrhein-Westfalen","maennlich","184","","",""
"Mehrmals im Jahr","1986","Nordrhein-Westfalen","weiblich","168","","",""
"Mehrmals im Jahr","1986","Hessen","maennlich","55","0.116502332138434","0.0888740918535842","0.144130572423283"
"Mehrmals im Jahr","1986","Hessen","weiblich","47","0.0928153148488169","0.0678267745722536","0.11780385512538"
"Mehrmals im Jahr","1986","Rheinland-Pfalz,Saarland","maennlich","42","0.117628626078349","0.085064728068711","0.150192524087987"
"Mehrmals im Jahr","1986","Rheinland-Pfalz,Saarland","weiblich","35","0.0782361826326187","0.0514811020927218","0.104991263172516"
"Mehrmals im Jahr","1986","Baden-Wuerttemberg","maennlich","142","","",""
"Mehrmals im Jahr","1986","Baden-Wuerttemberg","weiblich","107","","",""
"Mehrmals im Jahr","1986","Bayern","maennlich","126","","",""
"Mehrmals im Jahr","1986","Bayern","weiblich","108","","",""
"Mehrmals im Jahr","1986","Saarland","maennlich","","","",""
"Mehrmals im Jahr","1986","Saarland","weiblich","","","",""
"Mehrmals im Jahr","1986","Berlin","maennlich","21","","",""
"Mehrmals im Jahr","1986","Berlin","weiblich","20","","",""
"Mehrmals im Jahr","1986","Brandenburg","maennlich","","","",""
"Mehrmals im Jahr","1986","Brandenburg","weiblich","","","",""
"Mehrmals im Jahr","1986","Mecklenburg-Vorpommern","maennlich","","","",""
"Mehrmals im Jahr","1986","Mecklenburg-Vorpommern","weiblich","","","",""
"Mehrmals im Jahr","1986","Sachsen","maennlich","","","",""
"Mehrmals im Jahr","1986","Sachsen","weiblich","","","",""
"Mehrmals im Jahr","1986","Sachsen-Anhalt","maennlich","","","",""
"Mehrmals im Jahr","1986","Sachsen-Anhalt","weiblich","","","",""
"Mehrmals im Jahr","1986","Thueringen","maennlich","","","",""
"Mehrmals im Jahr","1986","Thueringen","weiblich","","","",""
"Mindestens einmal im Monat","1986","Schleswig-Holstein","maennlich","11","","",""
"Mindestens einmal im Monat","1986","Schleswig-Holstein","weiblich","5","0.0323075258595883","0.00507981589192988","0.0595352358272466"
"Mindestens einmal im Monat","1986","Hamburg","maennlich","11","","",""
"Mindestens einmal im Monat","1986","Hamburg","weiblich","8","0.060319010368619","0.0185830502457572","0.102054970491481"
"Mindestens einmal im Monat","1986","Niedersachsen","maennlich","30","0.050625531923171","0.0320831927094065","0.0691678711369356"
"Mindestens einmal im Monat","1986","Niedersachsen","weiblich","27","","",""
"Mindestens einmal im Monat","1986","Bremen","maennlich","3","","",""
"Mindestens einmal im Monat","1986","Bremen","weiblich","3","","",""
"Mindestens einmal im Monat","1986","Nordrhein-Westfalen","maennlich","84","0.0568181371030958","0.0446962498859975","0.0689400243201941"
"Mindestens einmal im Monat","1986","Nordrhein-Westfalen","weiblich","60","0.0430315819743163","0.0325027895569402","0.0535603743916924"
"Mindestens einmal im Monat","1986","Hessen","maennlich","17","","",""
