"m11104","year","regtyp","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Mindestens einmal im Monat","1986","Laendlicher Raum","maennlich","65","0.0562464872157295","0.0425688262381903","0.0699241481932686"
"Mindestens einmal im Monat","1986","Laendlicher Raum","weiblich","56","0.0456157261469703","0.0335090701491677","0.0577223821447728"
"Mindestens einmal die Woche","1986","Staedtischer Raum","maennlich","1177","","",""
"Mindestens einmal die Woche","1986","Staedtischer Raum","weiblich","821","0.210268613585292","0.19787361894015","0.222663608230433"
"Mindestens einmal die Woche","1986","Laendlicher Raum","maennlich","307","0.2770061727855","0.250438907021195","0.303573438549806"
"Mindestens einmal die Woche","1986","Laendlicher Raum","weiblich","227","","",""
"Fast nie oder nie","1987","Staedtischer Raum","maennlich","","","",""
"Fast nie oder nie","1987","Staedtischer Raum","weiblich","","","",""
"Fast nie oder nie","1987","Laendlicher Raum","maennlich","","","",""
"Fast nie oder nie","1987","Laendlicher Raum","weiblich","","","",""
"Mehrmals im Jahr","1987","Staedtischer Raum","maennlich","","","",""
"Mehrmals im Jahr","1987","Staedtischer Raum","weiblich","","","",""
"Mehrmals im Jahr","1987","Laendlicher Raum","maennlich","","","",""
"Mehrmals im Jahr","1987","Laendlicher Raum","weiblich","","","",""
"Mindestens einmal im Monat","1987","Staedtischer Raum","maennlich","","","",""
"Mindestens einmal im Monat","1987","Staedtischer Raum","weiblich","","","",""
"Mindestens einmal im Monat","1987","Laendlicher Raum","maennlich","","","",""
"Mindestens einmal im Monat","1987","Laendlicher Raum","weiblich","","","",""
"Mindestens einmal die Woche","1987","Staedtischer Raum","maennlich","","","",""
"Mindestens einmal die Woche","1987","Staedtischer Raum","weiblich","","","",""
"Mindestens einmal die Woche","1987","Laendlicher Raum","maennlich","","","",""
"Mindestens einmal die Woche","1987","Laendlicher Raum","weiblich","","","",""
"Fast nie oder nie","1988","Staedtischer Raum","maennlich","2014","","",""
"Fast nie oder nie","1988","Staedtischer Raum","weiblich","2466","","",""
"Fast nie oder nie","1988","Laendlicher Raum","maennlich","501","0.50958433950592","0.478814919146856","0.540353759864984"
"Fast nie oder nie","1988","Laendlicher Raum","weiblich","618","0.598069295391313","0.568456101450412","0.627682489332213"
"Mehrmals im Jahr","1988","Staedtischer Raum","maennlich","544","0.144816434374999","0.133734721816591","0.155898146933406"
"Mehrmals im Jahr","1988","Staedtischer Raum","weiblich","463","0.117392327553739","0.107320986626053","0.127463668481426"
"Mehrmals im Jahr","1988","Laendlicher Raum","maennlich","159","","",""
"Mehrmals im Jahr","1988","Laendlicher Raum","weiblich","165","","",""
"Mindestens einmal im Monat","1988","Staedtischer Raum","maennlich","232","","",""
"Mindestens einmal im Monat","1988","Staedtischer Raum","weiblich","169","","",""
"Mindestens einmal im Monat","1988","Laendlicher Raum","maennlich","59","0.0511623579541128","0.0376010885924209","0.0647236273158047"
"Mindestens einmal im Monat","1988","Laendlicher Raum","weiblich","60","0.0599641028126021","0.045624015532258","0.0743041900929463"
"Mindestens einmal die Woche","1988","Staedtischer Raum","maennlich","1084","","",""
"Mindestens einmal die Woche","1988","Staedtischer Raum","weiblich","826","0.229209062384458","0.216057789663511","0.242360335105404"
"Mindestens einmal die Woche","1988","Laendlicher Raum","maennlich","295","","",""
"Mindestens einmal die Woche","1988","Laendlicher Raum","weiblich","210","","",""
"Fast nie oder nie","1989","Staedtischer Raum","maennlich","","","",""
"Fast nie oder nie","1989","Staedtischer Raum","weiblich","","","",""
"Fast nie oder nie","1989","Laendlicher Raum","maennlich","","","",""
"Fast nie oder nie","1989","Laendlicher Raum","weiblich","","","",""
"Mehrmals im Jahr","1989","Staedtischer Raum","maennlich","","","",""
"Mehrmals im Jahr","1989","Staedtischer Raum","weiblich","","","",""
"Mehrmals im Jahr","1989","Laendlicher Raum","maennlich","","","",""
"Mehrmals im Jahr","1989","Laendlicher Raum","weiblich","","","",""
"Mindestens einmal im Monat","1989","Staedtischer Raum","maennlich","","","",""
"Mindestens einmal im Monat","1989","Staedtischer Raum","weiblich","","","",""
"Mindestens einmal im Monat","1989","Laendlicher Raum","maennlich","","","",""
"Mindestens einmal im Monat","1989","Laendlicher Raum","weiblich","","","",""
"Mindestens einmal die Woche","1989","Staedtischer Raum","maennlich","","","",""
"Mindestens einmal die Woche","1989","Staedtischer Raum","weiblich","","","",""
"Mindestens einmal die Woche","1989","Laendlicher Raum","maennlich","","","",""
"Mindestens einmal die Woche","1989","Laendlicher Raum","weiblich","","","",""
"Fast nie oder nie","1990","Staedtischer Raum","maennlich","1844","","",""
"Fast nie oder nie","1990","Staedtischer Raum","weiblich","2471","","",""
"Fast nie oder nie","1990","Laendlicher Raum","maennlich","1207","","",""
"Fast nie oder nie","1990","Laendlicher Raum","weiblich","1582","","",""
"Mehrmals im Jahr","1990","Staedtischer Raum","maennlich","831","0.203811730319891","0.191828451246448","0.215795009393334"
"Mehrmals im Jahr","1990","Staedtischer Raum","weiblich","743","0.1682114358302","0.157297088330554","0.179125783329845"
"Mehrmals im Jahr","1990","Laendlicher Raum","maennlich","453","0.215836668269699","0.199049007948515","0.232624328590882"
"Mehrmals im Jahr","1990","Laendlicher Raum","weiblich","369","0.156423858482096","0.142013398536118","0.170834318428074"
"Mindestens einmal im Monat","1990","Staedtischer Raum","maennlich","388","0.0936033463549472","0.0849385565378668","0.102268136172028"
"Mindestens einmal im Monat","1990","Staedtischer Raum","weiblich","285","","",""
"Mindestens einmal im Monat","1990","Laendlicher Raum","maennlich","163","","",""
"Mindestens einmal im Monat","1990","Laendlicher Raum","weiblich","109","","",""
"Mindestens einmal die Woche","1990","Staedtischer Raum","maennlich","1278","","",""
"Mindestens einmal die Woche","1990","Staedtischer Raum","weiblich","1013","","",""
"Mindestens einmal die Woche","1990","Laendlicher Raum","maennlich","484","0.227020288956394","0.209926407918455","0.244114169994332"
"Mindestens einmal die Woche","1990","Laendlicher Raum","weiblich","381","0.189298815572129","0.173758187978844","0.204839443165415"
"Fast nie oder nie","1991","Staedtischer Raum","maennlich","","","",""
"Fast nie oder nie","1991","Staedtischer Raum","weiblich","","","",""
"Fast nie oder nie","1991","Laendlicher Raum","maennlich","","","",""
"Fast nie oder nie","1991","Laendlicher Raum","weiblich","","","",""
"Mehrmals im Jahr","1991","Staedtischer Raum","maennlich","","","",""
"Mehrmals im Jahr","1991","Staedtischer Raum","weiblich","","","",""
"Mehrmals im Jahr","1991","Laendlicher Raum","maennlich","","","",""
"Mehrmals im Jahr","1991","Laendlicher Raum","weiblich","","","",""
"Mindestens einmal im Monat","1991","Staedtischer Raum","maennlich","","","",""
"Mindestens einmal im Monat","1991","Staedtischer Raum","weiblich","","","",""
"Mindestens einmal im Monat","1991","Laendlicher Raum","maennlich","","","",""
"Mindestens einmal im Monat","1991","Laendlicher Raum","weiblich","","","",""
"Mindestens einmal die Woche","1991","Staedtischer Raum","maennlich","","","",""
"Mindestens einmal die Woche","1991","Staedtischer Raum","weiblich","","","",""
"Mindestens einmal die Woche","1991","Laendlicher Raum","maennlich","","","",""
"Mindestens einmal die Woche","1991","Laendlicher Raum","weiblich","","","",""
"Fast nie oder nie","1992","Staedtischer Raum","maennlich","2032","","",""
"Fast nie oder nie","1992","Staedtischer Raum","weiblich","2567","","",""
"Fast nie oder nie","1992","Laendlicher Raum","maennlich","1168","","",""
"Fast nie oder nie","1992","Laendlicher Raum","weiblich","1501","","",""
"Mehrmals im Jahr","1992","Staedtischer Raum","maennlich","707","0.169039970339001","0.157615196127157","0.180464744550845"
"Mehrmals im Jahr","1992","Staedtischer Raum","weiblich","650","0.144137700772454","0.133691847543221","0.154583554001687"
"Mehrmals im Jahr","1992","Laendlicher Raum","maennlich","435","0.19327989712458","0.176662113586137","0.209897680663024"
"Mehrmals im Jahr","1992","Laendlicher Raum","weiblich","370","0.139712204903538","0.125565237662166","0.153859172144909"
"Mindestens einmal im Monat","1992","Staedtischer Raum","maennlich","323","0.0840679157010631","0.0756090986699742","0.0925267327321521"
"Mindestens einmal im Monat","1992","Staedtischer Raum","weiblich","215","","",""
"Mindestens einmal im Monat","1992","Laendlicher Raum","maennlich","137","","",""
"Mindestens einmal im Monat","1992","Laendlicher Raum","weiblich","86","0.0383938947998365","0.0305532101854275","0.0462345794142455"
"Mindestens einmal die Woche","1992","Staedtischer Raum","maennlich","1072","","",""
"Mindestens einmal die Woche","1992","Staedtischer Raum","weiblich","911","0.226683851662871","0.21423176864175","0.239135934683991"
"Mindestens einmal die Woche","1992","Laendlicher Raum","maennlich","429","0.213395310332516","0.196153255728052","0.23063736493698"
"Mindestens einmal die Woche","1992","Laendlicher Raum","weiblich","350","0.175202271472077","0.159690268185109","0.190714274759045"
"Fast nie oder nie","1993","Staedtischer Raum","maennlich","","","",""
"Fast nie oder nie","1993","Staedtischer Raum","weiblich","","","",""
"Fast nie oder nie","1993","Laendlicher Raum","maennlich","","","",""
"Fast nie oder nie","1993","Laendlicher Raum","weiblich","","","",""
"Mehrmals im Jahr","1993","Staedtischer Raum","maennlich","","","",""
"Mehrmals im Jahr","1993","Staedtischer Raum","weiblich","","","",""
"Mehrmals im Jahr","1993","Laendlicher Raum","maennlich","","","",""
"Mehrmals im Jahr","1993","Laendlicher Raum","weiblich","","","",""
"Mindestens einmal im Monat","1993","Staedtischer Raum","maennlich","","","",""
"Mindestens einmal im Monat","1993","Staedtischer Raum","weiblich","","","",""
"Mindestens einmal im Monat","1993","Laendlicher Raum","maennlich","","","",""
"Mindestens einmal im Monat","1993","Laendlicher Raum","weiblich","","","",""
"Mindestens einmal die Woche","1993","Staedtischer Raum","maennlich","","","",""
"Mindestens einmal die Woche","1993","Staedtischer Raum","weiblich","","","",""
"Mindestens einmal die Woche","1993","Laendlicher Raum","maennlich","","","",""
"Mindestens einmal die Woche","1993","Laendlicher Raum","weiblich","","","",""
"Fast nie oder nie","1994","Staedtischer Raum","maennlich","1909","","",""
"Fast nie oder nie","1994","Staedtischer Raum","weiblich","2504","","",""
"Fast nie oder nie","1994","Laendlicher Raum","maennlich","1100","","",""
"Fast nie oder nie","1994","Laendlicher Raum","weiblich","1450","","",""
"Mehrmals im Jahr","1994","Staedtischer Raum","maennlich","782","0.200632186970966","0.188252527557056","0.213011846384877"
"Mehrmals im Jahr","1994","Staedtischer Raum","weiblich","708","0.150038912375263","0.139366444771297","0.160711379979229"
"Mehrmals im Jahr","1994","Laendlicher Raum","maennlich","418","0.195391074472124","0.178420612719026","0.212361536225223"
"Mehrmals im Jahr","1994","Laendlicher Raum","weiblich","366","0.145749421314694","0.131150098046625","0.160348744582762"
"Mindestens einmal im Monat","1994","Staedtischer Raum","maennlich","313","0.0699189413833746","0.0620359166981318","0.0778019660686174"
"Mindestens einmal im Monat","1994","Staedtischer Raum","weiblich","225","","",""
"Mindestens einmal im Monat","1994","Laendlicher Raum","maennlich","132","","",""
"Mindestens einmal im Monat","1994","Laendlicher Raum","weiblich","104","","",""
"Mindestens einmal die Woche","1994","Staedtischer Raum","maennlich","1016","","",""
"Mindestens einmal die Woche","1994","Staedtischer Raum","weiblich","864","0.228434022931","0.215887300271024","0.240980745590977"
"Mindestens einmal die Woche","1994","Laendlicher Raum","maennlich","447","0.226664381105081","0.208744937447673","0.24458382476249"
"Mindestens einmal die Woche","1994","Laendlicher Raum","weiblich","324","0.159814316069411","0.144653166101506","0.174975466037315"
"Fast nie oder nie","1995","Staedtischer Raum","maennlich","1650","","",""
"Fast nie oder nie","1995","Staedtischer Raum","weiblich","2196","","",""
"Fast nie oder nie","1995","Laendlicher Raum","maennlich","863","0.386697910075965","0.366375815333343","0.407020004818588"
"Fast nie oder nie","1995","Laendlicher Raum","weiblich","1122","","",""
"Mehrmals im Jahr","1995","Staedtischer Raum","maennlich","899","0.214033665748692","0.201576026581455","0.226491304915928"
"Mehrmals im Jahr","1995","Staedtischer Raum","weiblich","864","0.186166320425354","0.174772165809559","0.197560475041149"
"Mehrmals im Jahr","1995","Laendlicher Raum","maennlich","595","0.258158121480945","0.239896307849585","0.276419935112306"
"Mehrmals im Jahr","1995","Laendlicher Raum","weiblich","570","0.21473275400069","0.198059206192946","0.231406301808433"
"Mindestens einmal im Monat","1995","Staedtischer Raum","maennlich","352","0.0931667038320566","0.0843382057940331","0.10199520187008"
"Mindestens einmal im Monat","1995","Staedtischer Raum","weiblich","277","","",""
"Mindestens einmal im Monat","1995","Laendlicher Raum","maennlich","184","","",""
"Mindestens einmal im Monat","1995","Laendlicher Raum","weiblich","142","","",""
"Mindestens einmal die Woche","1995","Staedtischer Raum","maennlich","1263","","",""
"Mindestens einmal die Woche","1995","Staedtischer Raum","weiblich","1146","","",""
"Mindestens einmal die Woche","1995","Laendlicher Raum","maennlich","564","0.276162617192643","0.257505339042704","0.294819895342583"
"Mindestens einmal die Woche","1995","Laendlicher Raum","weiblich","496","0.226404463333688","0.20941148121813","0.243397445449245"
"Fast nie oder nie","1996","Staedtischer Raum","maennlich","1760","","",""
"Fast nie oder nie","1996","Staedtischer Raum","weiblich","2373","","",""
"Fast nie oder nie","1996","Laendlicher Raum","maennlich","1016","","",""
"Fast nie oder nie","1996","Laendlicher Raum","weiblich","1308","","",""
"Mehrmals im Jahr","1996","Staedtischer Raum","maennlich","879","0.217699066536634","0.205017502281006","0.230380630792262"
"Mehrmals im Jahr","1996","Staedtischer Raum","weiblich","816","0.172748641419272","0.161555861376471","0.183941421462073"
"Mehrmals im Jahr","1996","Laendlicher Raum","maennlich","528","0.223531794259095","0.206055364578146","0.241008223940044"
"Mehrmals im Jahr","1996","Laendlicher Raum","weiblich","470","0.186722379513264","0.170834508119131","0.202610250907397"
"Mindestens einmal im Monat","1996","Staedtischer Raum","maennlich","338","0.0794843389017278","0.0711721770138202","0.0877965007896355"
"Mindestens einmal im Monat","1996","Staedtischer Raum","weiblich","289","","",""
"Mindestens einmal im Monat","1996","Laendlicher Raum","maennlich","172","","",""
"Mindestens einmal im Monat","1996","Laendlicher Raum","weiblich","118","","",""
"Mindestens einmal die Woche","1996","Staedtischer Raum","maennlich","1091","","",""
"Mindestens einmal die Woche","1996","Staedtischer Raum","weiblich","904","0.234199615285604","0.221660618727523","0.246738611843684"
"Mindestens einmal die Woche","1996","Laendlicher Raum","maennlich","467","0.231940566277321","0.21423511528255","0.249646017272091"
"Mindestens einmal die Woche","1996","Laendlicher Raum","weiblich","415","0.197343921843151","0.181117425918456","0.213570417767846"
"Fast nie oder nie","1997","Staedtischer Raum","maennlich","1810","","",""
"Fast nie oder nie","1997","Staedtischer Raum","weiblich","2355","","",""
"Fast nie oder nie","1997","Laendlicher Raum","maennlich","1047","","",""
"Fast nie oder nie","1997","Laendlicher Raum","weiblich","1289","","",""
"Mehrmals im Jahr","1997","Staedtischer Raum","maennlich","772","0.192793007030133","0.180569328730131","0.205016685330135"
"Mehrmals im Jahr","1997","Staedtischer Raum","weiblich","736","0.168027502620476","0.156799875969213","0.179255129271739"
"Mehrmals im Jahr","1997","Laendlicher Raum","maennlich","486","0.206778426069407","0.189663392422709","0.223893459716105"
"Mehrmals im Jahr","1997","Laendlicher Raum","weiblich","478","0.182740565797178","0.166863895865697","0.198617235728659"
"Mindestens einmal im Monat","1997","Staedtischer Raum","maennlich","293","","",""
"Mindestens einmal im Monat","1997","Staedtischer Raum","weiblich","203","","",""
"Mindestens einmal im Monat","1997","Laendlicher Raum","maennlich","157","","",""
"Mindestens einmal im Monat","1997","Laendlicher Raum","weiblich","104","","",""
"Mindestens einmal die Woche","1997","Staedtischer Raum","maennlich","1126","","",""
"Mindestens einmal die Woche","1997","Staedtischer Raum","weiblich","966","0.249703494688966","0.236705628444021","0.262701360933912"
"Mindestens einmal die Woche","1997","Laendlicher Raum","maennlich","461","0.239080667099873","0.221055909849052","0.257105424350695"
"Mindestens einmal die Woche","1997","Laendlicher Raum","weiblich","405","0.195635324206783","0.179338158013651","0.211932490399914"
"Fast nie oder nie","1998","Staedtischer Raum","maennlich","1653","","",""
"Fast nie oder nie","1998","Staedtischer Raum","weiblich","2174","","",""
"Fast nie oder nie","1998","Laendlicher Raum","maennlich","907","0.382231253501728","0.362826606132541","0.401635900870915"
"Fast nie oder nie","1998","Laendlicher Raum","weiblich","1150","","",""
"Mehrmals im Jahr","1998","Staedtischer Raum","maennlich","978","0.215827641438051","0.203710404999842","0.227944877876261"
"Mehrmals im Jahr","1998","Staedtischer Raum","weiblich","939","0.176575284588346","0.165728141183597","0.187422427993095"
"Mehrmals im Jahr","1998","Laendlicher Raum","maennlich","661","0.262968132608167","0.245387909383055","0.280548355833279"
"Mehrmals im Jahr","1998","Laendlicher Raum","weiblich","613","0.224354116912588","0.208089485059403","0.240618748765773"
"Mindestens einmal im Monat","1998","Staedtischer Raum","maennlich","402","0.0911045511797623","0.0826289349139928","0.0995801674455318"
"Mindestens einmal im Monat","1998","Staedtischer Raum","weiblich","347","0.0729517305182837","0.0655538476949441","0.0803496133416233"
"Mindestens einmal im Monat","1998","Laendlicher Raum","maennlich","184","","",""
"Mindestens einmal im Monat","1998","Laendlicher Raum","weiblich","169","","",""
"Mindestens einmal die Woche","1998","Staedtischer Raum","maennlich","1395","","",""
"Mindestens einmal die Woche","1998","Staedtischer Raum","weiblich","1287","","",""
"Mindestens einmal die Woche","1998","Laendlicher Raum","maennlich","657","0.285111198728179","0.267082844776867","0.303139552679491"
"Mindestens einmal die Woche","1998","Laendlicher Raum","weiblich","595","0.245688554196295","0.228903865872236","0.262473242520354"
"Fast nie oder nie","1999","Staedtischer Raum","maennlich","1821","","",""
"Fast nie oder nie","1999","Staedtischer Raum","weiblich","2358","","",""
"Fast nie oder nie","1999","Laendlicher Raum","maennlich","1069","","",""
"Fast nie oder nie","1999","Laendlicher Raum","weiblich","1324","","",""
"Mehrmals im Jahr","1999","Staedtischer Raum","maennlich","885","0.203641427489498","0.191518604083553","0.215764250895444"
"Mehrmals im Jahr","1999","Staedtischer Raum","weiblich","844","0.166054284947264","0.155228436729427","0.1768801331651"
"Mehrmals im Jahr","1999","Laendlicher Raum","maennlich","534","0.215449157074332","0.198672429975208","0.232225884173457"
"Mehrmals im Jahr","1999","Laendlicher Raum","weiblich","512","0.192902075953373","0.177281105849363","0.208523046057383"
"Mindestens einmal im Monat","1999","Staedtischer Raum","maennlich","339","0.0736712820296699","0.0658071995352039","0.0815353645241359"
"Mindestens einmal im Monat","1999","Staedtischer Raum","weiblich","282","","",""
"Mindestens einmal im Monat","1999","Laendlicher Raum","maennlich","164","","",""
"Mindestens einmal im Monat","1999","Laendlicher Raum","weiblich","134","","",""
"Mindestens einmal die Woche","1999","Staedtischer Raum","maennlich","1194","","",""
"Mindestens einmal die Woche","1999","Staedtischer Raum","weiblich","1055","","",""
"Mindestens einmal die Woche","1999","Laendlicher Raum","maennlich","540","0.24329294017794","0.225784278934863","0.260801601421018"
"Mindestens einmal die Woche","1999","Laendlicher Raum","weiblich","481","0.214071773531749","0.197833210991168","0.230310336072331"
"Fast nie oder nie","2000","Staedtischer Raum","maennlich","","","",""
"Fast nie oder nie","2000","Staedtischer Raum","weiblich","","","",""
"Fast nie oder nie","2000","Laendlicher Raum","maennlich","","","",""
"Fast nie oder nie","2000","Laendlicher Raum","weiblich","","","",""
"Mehrmals im Jahr","2000","Staedtischer Raum","maennlich","","","",""
"Mehrmals im Jahr","2000","Staedtischer Raum","weiblich","","","",""
"Mehrmals im Jahr","2000","Laendlicher Raum","maennlich","","","",""
"Mehrmals im Jahr","2000","Laendlicher Raum","weiblich","","","",""
"Mindestens einmal im Monat","2000","Staedtischer Raum","maennlich","","","",""
"Mindestens einmal im Monat","2000","Staedtischer Raum","weiblich","","","",""
"Mindestens einmal im Monat","2000","Laendlicher Raum","maennlich","","","",""
"Mindestens einmal im Monat","2000","Laendlicher Raum","weiblich","","","",""
"Mindestens einmal die Woche","2000","Staedtischer Raum","maennlich","","","",""
"Mindestens einmal die Woche","2000","Staedtischer Raum","weiblich","","","",""
"Mindestens einmal die Woche","2000","Laendlicher Raum","maennlich","","","",""
"Mindestens einmal die Woche","2000","Laendlicher Raum","weiblich","","","",""
"Fast nie oder nie","2001","Staedtischer Raum","maennlich","3027","0.446708501952476","0.434844089895376","0.458572914009575"
"Fast nie oder nie","2001","Staedtischer Raum","weiblich","3759","0.522770073886132","0.511382136627176","0.534158011145088"
"Fast nie oder nie","2001","Laendlicher Raum","maennlich","1883","","",""
"Fast nie oder nie","2001","Laendlicher Raum","weiblich","2163","","",""
"Mehrmals im Jahr","2001","Staedtischer Raum","maennlich","1227","","",""
"Mehrmals im Jahr","2001","Staedtischer Raum","weiblich","1126","","",""
"Mehrmals im Jahr","2001","Laendlicher Raum","maennlich","666","0.170540217689564","0.158403399768576","0.182677035610551"
"Mehrmals im Jahr","2001","Laendlicher Raum","weiblich","656","0.148410960550558","0.137250677918499","0.159571243182618"
"Mindestens einmal im Monat","2001","Staedtischer Raum","maennlich","496","0.074820312096677","0.068541464866583","0.0810991593267711"
"Mindestens einmal im Monat","2001","Staedtischer Raum","weiblich","438","0.0589376075491848","0.0535681386382465","0.0643070764601232"
"Mindestens einmal im Monat","2001","Laendlicher Raum","maennlich","244","","",""
"Mindestens einmal im Monat","2001","Laendlicher Raum","weiblich","184","","",""
"Mindestens einmal die Woche","2001","Staedtischer Raum","maennlich","1995","","",""
"Mindestens einmal die Woche","2001","Staedtischer Raum","weiblich","2067","","",""
"Mindestens einmal die Woche","2001","Laendlicher Raum","maennlich","896","0.244222752712778","0.23035890653744","0.258086598888117"
"Mindestens einmal die Woche","2001","Laendlicher Raum","weiblich","895","0.234875960541756","0.221567973115311","0.248183947968202"
"Fast nie oder nie","2002","Staedtischer Raum","maennlich","","","",""
"Fast nie oder nie","2002","Staedtischer Raum","weiblich","","","",""
"Fast nie oder nie","2002","Laendlicher Raum","maennlich","","","",""
"Fast nie oder nie","2002","Laendlicher Raum","weiblich","","","",""
"Mehrmals im Jahr","2002","Staedtischer Raum","maennlich","","","",""
"Mehrmals im Jahr","2002","Staedtischer Raum","weiblich","","","",""
"Mehrmals im Jahr","2002","Laendlicher Raum","maennlich","","","",""
"Mehrmals im Jahr","2002","Laendlicher Raum","weiblich","","","",""
"Mindestens einmal im Monat","2002","Staedtischer Raum","maennlich","","","",""
"Mindestens einmal im Monat","2002","Staedtischer Raum","weiblich","","","",""
"Mindestens einmal im Monat","2002","Laendlicher Raum","maennlich","","","",""
"Mindestens einmal im Monat","2002","Laendlicher Raum","weiblich","","","",""
"Mindestens einmal die Woche","2002","Staedtischer Raum","maennlich","","","",""
"Mindestens einmal die Woche","2002","Staedtischer Raum","weiblich","","","",""
"Mindestens einmal die Woche","2002","Laendlicher Raum","maennlich","","","",""
"Mindestens einmal die Woche","2002","Laendlicher Raum","weiblich","","","",""
"Fast nie oder nie","2003","Staedtischer Raum","maennlich","2365","","",""
"Fast nie oder nie","2003","Staedtischer Raum","weiblich","2951","","",""
"Fast nie oder nie","2003","Laendlicher Raum","maennlich","1352","","",""
"Fast nie oder nie","2003","Laendlicher Raum","weiblich","1541","","",""
"Mehrmals im Jahr","2003","Staedtischer Raum","maennlich","1388","","",""
"Mehrmals im Jahr","2003","Staedtischer Raum","weiblich","1274","","",""
"Mehrmals im Jahr","2003","Laendlicher Raum","maennlich","810","0.213208754606115","0.199829586309397","0.226587922902833"
"Mehrmals im Jahr","2003","Laendlicher Raum","weiblich","795","0.190744111670637","0.178307830258976","0.203180393082298"
"Mindestens einmal im Monat","2003","Staedtischer Raum","maennlich","649","0.092627495844355","0.0858428375543841","0.0994121541343258"
"Mindestens einmal im Monat","2003","Staedtischer Raum","weiblich","522","0.0631875024725375","0.0577107038121726","0.0686643011329024"
"Mindestens einmal im Monat","2003","Laendlicher Raum","maennlich","281","","",""
"Mindestens einmal im Monat","2003","Laendlicher Raum","weiblich","273","","",""
"Mindestens einmal die Woche","2003","Staedtischer Raum","maennlich","2612","","",""
"Mindestens einmal die Woche","2003","Staedtischer Raum","weiblich","2834","","",""
"Mindestens einmal die Woche","2003","Laendlicher Raum","maennlich","1157","","",""
"Mindestens einmal die Woche","2003","Laendlicher Raum","weiblich","1225","","",""
"Fast nie oder nie","2004","Staedtischer Raum","maennlich","","","",""
"Fast nie oder nie","2004","Staedtischer Raum","weiblich","","","",""
"Fast nie oder nie","2004","Laendlicher Raum","maennlich","","","",""
"Fast nie oder nie","2004","Laendlicher Raum","weiblich","","","",""
"Mehrmals im Jahr","2004","Staedtischer Raum","maennlich","","","",""
"Mehrmals im Jahr","2004","Staedtischer Raum","weiblich","","","",""
"Mehrmals im Jahr","2004","Laendlicher Raum","maennlich","","","",""
"Mehrmals im Jahr","2004","Laendlicher Raum","weiblich","","","",""
"Mindestens einmal im Monat","2004","Staedtischer Raum","maennlich","","","",""
"Mindestens einmal im Monat","2004","Staedtischer Raum","weiblich","","","",""
"Mindestens einmal im Monat","2004","Laendlicher Raum","maennlich","","","",""
"Mindestens einmal im Monat","2004","Laendlicher Raum","weiblich","","","",""
"Mindestens einmal die Woche","2004","Staedtischer Raum","maennlich","","","",""
"Mindestens einmal die Woche","2004","Staedtischer Raum","weiblich","","","",""
"Mindestens einmal die Woche","2004","Laendlicher Raum","maennlich","","","",""
"Mindestens einmal die Woche","2004","Laendlicher Raum","weiblich","","","",""
