year,bula_h,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2000,Berlin,Yes,0.04543,50,708,0.03008,0.06078
2000,Berlin,No,0.66444,658,708,0.62964,0.69925
2000,Brandenburg,Yes,0.03214,44,962,0.02099,0.04330
2000,Brandenburg,No,0.78228,918,962,0.75619,0.80837
2000,Mecklenburg-Western Pomerania,No,0.76449,510,510,0.72763,0.80136
2000,Saxony,Yes,0.03541,66,1660,0.02651,0.04430
2000,Saxony,No,0.75095,1594,1660,0.73014,0.77176
2000,Saxony-Anhalt,No,0.81307,985,985,0.78871,0.83743
2000,Thuringa,Yes,0.03634,44,998,0.02472,0.04795
2000,Thuringa,No,0.77012,954,998,0.74401,0.79624
2001,Schleswig-Holstein,Yes,0.06328,46,547,0.04285,0.08370
2001,Schleswig-Holstein,No,0.64320,501,547,0.60302,0.68338
2001,Hamburg,No,0.68189,207,207,0.61829,0.74549
2001,Lower Saxony,Yes,0.07254,153,1635,0.05997,0.08512
2001,Lower Saxony,No,0.65277,1482,1635,0.62969,0.67585
2001,Bremen,No,0.74303,135,135,0.66904,0.81701
2001,North Rhine-Westphalia,Yes,0.09605,505,4013,0.08694,0.10517
2001,North Rhine-Westphalia,No,0.62100,3508,4013,0.60599,0.63601
2001,Hesse,Yes,0.06038,105,1284,0.04735,0.07342
2001,Hesse,No,0.64091,1179,1284,0.61466,0.66717
2001,"Rhineland-Palatinate, Saarland",Yes,0.04657,75,1168,0.03448,0.05866
2001,"Rhineland-Palatinate, Saarland",No,0.64625,1093,1168,0.61881,0.67368
2001,Baden-Wuerttemberg,Yes,0.09487,262,2278,0.08283,0.10690
2001,Baden-Wuerttemberg,No,0.59964,2016,2278,0.57951,0.61976
2001,Bavaria,Yes,0.08340,292,2613,0.07280,0.09400
2001,Bavaria,No,0.62945,2321,2613,0.61093,0.64798
2001,Berlin,Yes,0.05325,58,691,0.03650,0.07001
2001,Berlin,No,0.65159,633,691,0.61604,0.68715
2001,Brandenburg,Yes,0.03944,43,903,0.02674,0.05214
2001,Brandenburg,No,0.77582,860,903,0.74860,0.80304
2001,Mecklenburg-Western Pomerania,No,0.76560,459,459,0.72680,0.80440
2001,Saxony,Yes,0.03577,74,1539,0.02649,0.04506
2001,Saxony,No,0.75986,1465,1539,0.73851,0.78121
2001,Saxony-Anhalt,Yes,0.03095,36,960,0.01999,0.04192
2001,Saxony-Anhalt,No,0.81286,924,960,0.78818,0.83755
2001,Thuringa,No,0.80092,882,882,0.77455,0.82729
2002,Schleswig-Holstein,Yes,0.05975,63,586,0.04054,0.07895
2002,Schleswig-Holstein,No,0.64796,523,586,0.60925,0.68666
2002,Hamburg,No,0.72844,236,236,0.67157,0.78530
2002,Lower Saxony,Yes,0.07198,197,1670,0.05958,0.08438
2002,Lower Saxony,No,0.64792,1473,1670,0.62501,0.67084
2002,Bremen,No,0.77457,142,142,0.70560,0.84355
2002,North Rhine-Westphalia,Yes,0.09477,589,4025,0.08572,0.10382
2002,North Rhine-Westphalia,No,0.63632,3436,4025,0.62146,0.65119
2002,Hesse,Yes,0.06711,152,1338,0.05370,0.08052
2002,Hesse,No,0.63190,1186,1338,0.60604,0.65775
2002,"Rhineland-Palatinate, Saarland",Yes,0.05129,111,1156,0.03857,0.06401
2002,"Rhineland-Palatinate, Saarland",No,0.65224,1045,1156,0.62477,0.67971
2002,Baden-Wuerttemberg,Yes,0.10081,340,2363,0.08867,0.11296
2002,Baden-Wuerttemberg,No,0.60840,2023,2363,0.58872,0.62809
2002,Bavaria,Yes,0.10674,413,2629,0.09493,0.11854
2002,Bavaria,No,0.59982,2216,2629,0.58109,0.61855
2002,Berlin,Yes,0.04436,48,672,0.02878,0.05994
2002,Berlin,No,0.66864,624,672,0.63302,0.70425
2002,Brandenburg,Yes,0.05013,55,908,0.03592,0.06433
2002,Brandenburg,No,0.79234,853,908,0.76594,0.81874
2002,Mecklenburg-Western Pomerania,No,0.77861,443,443,0.73990,0.81731
2002,Saxony,Yes,0.03902,84,1526,0.02930,0.04874
2002,Saxony,No,0.77209,1442,1526,0.75104,0.79315
2002,Saxony-Anhalt,Yes,0.03644,46,912,0.02427,0.04861
2002,Saxony-Anhalt,No,0.80893,866,912,0.78340,0.83446
2002,Thuringa,Yes,0.02070,36,898,0.01138,0.03002
2002,Thuringa,No,0.78527,862,898,0.75840,0.81215
2003,Schleswig-Holstein,Yes,0.05264,52,550,0.03396,0.07132
2003,Schleswig-Holstein,No,0.65379,498,550,0.61399,0.69359
2003,Hamburg,No,0.70673,217,217,0.64602,0.76744
2003,Lower Saxony,Yes,0.07306,188,1618,0.06037,0.08574
2003,Lower Saxony,No,0.65605,1430,1618,0.63290,0.67920
2003,Bremen,No,0.75306,139,139,0.68111,0.82501
2003,North Rhine-Westphalia,Yes,0.10092,599,3854,0.09141,0.11044
2003,North Rhine-Westphalia,No,0.62586,3255,3854,0.61058,0.64114
2003,Hesse,Yes,0.06212,142,1222,0.04858,0.07566
2003,Hesse,No,0.63069,1080,1222,0.60362,0.65776
2003,"Rhineland-Palatinate, Saarland",Yes,0.06276,113,1138,0.04866,0.07686
2003,"Rhineland-Palatinate, Saarland",No,0.65066,1025,1138,0.62295,0.67837
2003,Baden-Wuerttemberg,Yes,0.09490,314,2265,0.08283,0.10698
2003,Baden-Wuerttemberg,No,0.60917,1951,2265,0.58907,0.62927
2003,Bavaria,Yes,0.09940,391,2521,0.08772,0.11108
2003,Bavaria,No,0.60373,2130,2521,0.58463,0.62283
2003,Berlin,Yes,0.05310,53,671,0.03612,0.07008
2003,Berlin,No,0.66716,618,671,0.63148,0.70284
2003,Brandenburg,Yes,0.04048,54,887,0.02750,0.05346
2003,Brandenburg,No,0.79301,833,887,0.76634,0.81969
2003,Mecklenburg-Western Pomerania,No,0.77717,450,450,0.73868,0.81567
2003,Saxony,Yes,0.04074,82,1485,0.03068,0.05079
2003,Saxony,No,0.76676,1403,1485,0.74524,0.78828
2003,Saxony-Anhalt,Yes,0.04781,52,880,0.03371,0.06192
2003,Saxony-Anhalt,No,0.79503,828,880,0.76835,0.82172
2003,Thuringa,Yes,0.02629,40,880,0.01572,0.03687
2003,Thuringa,No,0.78760,840,880,0.76056,0.81464
2004,Schleswig-Holstein,Yes,0.04793,49,544,0.02996,0.06590
2004,Schleswig-Holstein,No,0.66343,495,544,0.62368,0.70317
2004,Hamburg,No,0.69076,209,209,0.62795,0.75357
2004,Lower Saxony,Yes,0.07907,205,1596,0.06583,0.09231
2004,Lower Saxony,No,0.64773,1391,1596,0.62429,0.67118
2004,Bremen,No,0.72073,130,130,0.64330,0.79815
2004,North Rhine-Westphalia,Yes,0.10765,625,3744,0.09772,0.11757
2004,North Rhine-Westphalia,No,0.62437,3119,3744,0.60885,0.63988
2004,Hesse,Yes,0.06309,131,1166,0.04913,0.07705
2004,Hesse,No,0.62033,1035,1166,0.59246,0.64820
2004,"Rhineland-Palatinate, Saarland",Yes,0.06811,114,1098,0.05320,0.08302
2004,"Rhineland-Palatinate, Saarland",No,0.65919,984,1098,0.63114,0.68724
2004,Baden-Wuerttemberg,Yes,0.10394,331,2204,0.09120,0.11669
2004,Baden-Wuerttemberg,No,0.60646,1873,2204,0.58606,0.62686
2004,Bavaria,Yes,0.10845,390,2449,0.09613,0.12077
2004,Bavaria,No,0.59962,2059,2449,0.58021,0.61903
2004,Berlin,Yes,0.05190,54,663,0.03500,0.06879
2004,Berlin,No,0.67816,609,663,0.64257,0.71375
2004,Brandenburg,Yes,0.05804,62,842,0.04224,0.07384
2004,Brandenburg,No,0.76831,780,842,0.73980,0.79683
2004,Mecklenburg-Western Pomerania,No,0.77417,438,438,0.73497,0.81337
2004,Saxony,Yes,0.05107,111,1447,0.03973,0.06242
2004,Saxony,No,0.76237,1336,1447,0.74043,0.78431
2004,Saxony-Anhalt,Yes,0.03434,46,860,0.02216,0.04652
2004,Saxony-Anhalt,No,0.81471,814,860,0.78872,0.84069
2004,Thuringa,Yes,0.03439,52,872,0.02228,0.04649
2004,Thuringa,No,0.77604,820,872,0.74835,0.80373
2005,Schleswig-Holstein,Yes,0.04473,43,523,0.02700,0.06246
2005,Schleswig-Holstein,No,0.66859,480,523,0.62820,0.70897
2005,Hamburg,Yes,0.10721,32,242,0.06815,0.14627
2005,Hamburg,No,0.70227,210,242,0.64454,0.76000
2005,Lower Saxony,Yes,0.08985,212,1517,0.07545,0.10425
2005,Lower Saxony,No,0.64379,1305,1517,0.61968,0.66789
2005,Bremen,No,0.71436,112,112,0.63032,0.79839
2005,North Rhine-Westphalia,Yes,0.11551,614,3568,0.10502,0.12600
2005,North Rhine-Westphalia,No,0.61047,2954,3568,0.59447,0.62647
2005,Hesse,Yes,0.09248,156,1111,0.07544,0.10952
2005,Hesse,No,0.61684,955,1111,0.58824,0.64544
2005,"Rhineland-Palatinate, Saarland",Yes,0.08207,128,1036,0.06535,0.09879
2005,"Rhineland-Palatinate, Saarland",No,0.64077,908,1036,0.61154,0.67000
2005,Baden-Wuerttemberg,Yes,0.11147,334,2117,0.09806,0.12487
2005,Baden-Wuerttemberg,No,0.60650,1783,2117,0.58569,0.62732
2005,Bavaria,Yes,0.11112,397,2319,0.09832,0.12391
2005,Bavaria,No,0.59032,1922,2319,0.57030,0.61034
2005,Berlin,Yes,0.05359,50,628,0.03596,0.07121
2005,Berlin,No,0.69324,578,628,0.65714,0.72933
2005,Brandenburg,Yes,0.07486,71,819,0.05683,0.09290
2005,Brandenburg,No,0.73215,748,819,0.70180,0.76249
2005,Mecklenburg-Western Pomerania,No,0.79879,432,432,0.76094,0.83664
2005,Saxony,Yes,0.05961,129,1384,0.04714,0.07209
2005,Saxony,No,0.73454,1255,1384,0.71126,0.75781
2005,Saxony-Anhalt,Yes,0.04227,56,831,0.02858,0.05596
2005,Saxony-Anhalt,No,0.79460,775,831,0.76712,0.82209
2005,Thuringa,Yes,0.04403,62,823,0.03000,0.05805
2005,Thuringa,No,0.77268,761,823,0.74403,0.80133
2006,Schleswig-Holstein,Yes,0.07823,76,563,0.05603,0.10043
2006,Schleswig-Holstein,No,0.63746,487,563,0.59772,0.67721
2006,Hamburg,Yes,0.12456,40,253,0.08379,0.16533
2006,Hamburg,No,0.64403,213,253,0.58492,0.70315
2006,Lower Saxony,Yes,0.10029,262,1659,0.08583,0.11475
2006,Lower Saxony,No,0.61414,1397,1659,0.59071,0.63758
2006,Bremen,No,0.74542,109,109,0.66326,0.82758
2006,North Rhine-Westphalia,Yes,0.12241,714,3730,0.11189,0.13293
2006,North Rhine-Westphalia,No,0.59643,3016,3730,0.58068,0.61218
2006,Hesse,Yes,0.09752,207,1192,0.08067,0.11437
2006,Hesse,No,0.59357,985,1192,0.56568,0.62147
2006,"Rhineland-Palatinate, Saarland",Yes,0.08054,133,1073,0.06425,0.09684
2006,"Rhineland-Palatinate, Saarland",No,0.63492,940,1073,0.60609,0.66374
2006,Baden-Wuerttemberg,Yes,0.11829,417,2273,0.10501,0.13157
2006,Baden-Wuerttemberg,No,0.59527,1856,2273,0.57509,0.61545
2006,Bavaria,Yes,0.13495,523,2532,0.12164,0.14826
2006,Bavaria,No,0.56205,2009,2532,0.54272,0.58138
2006,Berlin,Yes,0.07975,71,641,0.05876,0.10074
2006,Berlin,No,0.67520,570,641,0.63891,0.71148
2006,Brandenburg,Yes,0.09451,95,874,0.07510,0.11391
2006,Brandenburg,No,0.71866,779,874,0.68883,0.74849
2006,Mecklenburg-Western Pomerania,Yes,0.04142,31,486,0.02368,0.05915
2006,Mecklenburg-Western Pomerania,No,0.75106,455,486,0.71258,0.78954
2006,Saxony,Yes,0.07272,143,1461,0.05940,0.08604
2006,Saxony,No,0.73930,1318,1461,0.71678,0.76182
2006,Saxony-Anhalt,Yes,0.05112,61,848,0.03629,0.06596
2006,Saxony-Anhalt,No,0.76757,787,848,0.73913,0.79602
2006,Thuringa,Yes,0.04793,75,869,0.03372,0.06214
2006,Thuringa,No,0.75061,794,869,0.72182,0.77939
2007,Schleswig-Holstein,Yes,0.09691,75,518,0.07141,0.12241
2007,Schleswig-Holstein,No,0.63004,443,518,0.58842,0.67166
2007,Hamburg,Yes,0.13976,46,243,0.09608,0.18345
2007,Hamburg,No,0.63788,197,243,0.57732,0.69843
2007,Lower Saxony,Yes,0.11845,267,1531,0.10226,0.13464
2007,Lower Saxony,No,0.60032,1264,1531,0.57578,0.62487
2007,Bremen,No,0.70132,107,107,0.61419,0.78845
2007,North Rhine-Westphalia,Yes,0.13130,706,3441,0.12001,0.14258
2007,North Rhine-Westphalia,No,0.58014,2735,3441,0.56365,0.59663
2007,Hesse,Yes,0.10845,216,1113,0.09018,0.12673
2007,Hesse,No,0.58121,897,1113,0.55221,0.61020
2007,"Rhineland-Palatinate, Saarland",Yes,0.09086,137,972,0.07278,0.10894
2007,"Rhineland-Palatinate, Saarland",No,0.60866,835,972,0.57797,0.63936
2007,Baden-Wuerttemberg,Yes,0.13415,416,2076,0.11948,0.14881
2007,Baden-Wuerttemberg,No,0.57713,1660,2076,0.55588,0.59839
2007,Bavaria,Yes,0.14077,506,2396,0.12685,0.15470
2007,Bavaria,No,0.55448,1890,2396,0.53458,0.57439
2007,Berlin,Yes,0.08769,87,620,0.06541,0.10998
2007,Berlin,No,0.67363,533,620,0.63669,0.71057
2007,Brandenburg,Yes,0.09974,97,792,0.07886,0.12062
2007,Brandenburg,No,0.70915,695,792,0.67750,0.74080
2007,Mecklenburg-Western Pomerania,Yes,0.04770,37,454,0.02808,0.06733
2007,Mecklenburg-Western Pomerania,No,0.75790,417,454,0.71845,0.79734
2007,Saxony,Yes,0.08433,161,1388,0.06970,0.09895
2007,Saxony,No,0.72979,1227,1388,0.70642,0.75316
2007,Saxony-Anhalt,Yes,0.05575,65,804,0.03988,0.07162
2007,Saxony-Anhalt,No,0.75748,739,804,0.72783,0.78712
2007,Thuringa,Yes,0.05797,77,839,0.04215,0.07379
2007,Thuringa,No,0.74921,762,839,0.71987,0.77856
2008,Schleswig-Holstein,Yes,0.12387,87,477,0.09427,0.15346
2008,Schleswig-Holstein,No,0.60401,390,477,0.56007,0.64795
2008,Hamburg,Yes,0.22957,62,232,0.17534,0.28381
2008,Hamburg,No,0.55482,170,232,0.49073,0.61891
2008,Lower Saxony,Yes,0.14213,309,1471,0.12428,0.15998
2008,Lower Saxony,No,0.59355,1162,1471,0.56844,0.61866
2008,Bremen,No,0.67609,94,94,0.58098,0.77120
2008,North Rhine-Westphalia,Yes,0.14633,715,3240,0.13415,0.15850
2008,North Rhine-Westphalia,No,0.58489,2525,3240,0.56792,0.60186
2008,Hesse,Yes,0.12082,222,1064,0.10123,0.14042
2008,Hesse,No,0.57065,842,1064,0.54090,0.60041
2008,"Rhineland-Palatinate, Saarland",Yes,0.08965,135,908,0.07106,0.10824
2008,"Rhineland-Palatinate, Saarland",No,0.61555,773,908,0.58389,0.64721
2008,Baden-Wuerttemberg,Yes,0.16871,478,1995,0.15227,0.18515
2008,Baden-Wuerttemberg,No,0.55557,1517,1995,0.53376,0.57738
2008,Bavaria,Yes,0.16933,540,2253,0.15384,0.18482
2008,Bavaria,No,0.54011,1713,2253,0.51953,0.56070
2008,Berlin,Yes,0.11960,110,598,0.09357,0.14563
2008,Berlin,No,0.65184,488,598,0.61363,0.69006
2008,Brandenburg,Yes,0.09980,97,759,0.07846,0.12114
2008,Brandenburg,No,0.70927,662,759,0.67694,0.74159
2008,Mecklenburg-Western Pomerania,Yes,0.07244,46,441,0.04822,0.09667
2008,Mecklenburg-Western Pomerania,No,0.75648,395,441,0.71638,0.79659
2008,Saxony,Yes,0.10354,193,1331,0.08716,0.11991
2008,Saxony,No,0.70890,1138,1331,0.68449,0.73332
2008,Saxony-Anhalt,Yes,0.08003,85,765,0.06079,0.09927
2008,Saxony-Anhalt,No,0.75999,680,765,0.72971,0.79028
2008,Thuringa,Yes,0.07815,87,813,0.05969,0.09661
2008,Thuringa,No,0.74682,726,813,0.71692,0.77673
2010,Schleswig-Holstein,Yes,0.16733,141,640,0.13839,0.19627
2010,Schleswig-Holstein,No,0.56438,499,640,0.52594,0.60283
2010,Hamburg,Yes,0.22225,82,316,0.17634,0.26816
2010,Hamburg,No,0.52577,234,316,0.47063,0.58092
2010,Lower Saxony,Yes,0.13442,393,1882,0.11900,0.14983
2010,Lower Saxony,No,0.59503,1489,1882,0.57284,0.61721
2010,Bremen,No,0.69579,122,122,0.61381,0.77776
2010,North Rhine-Westphalia,Yes,0.15137,898,4225,0.14056,0.16218
2010,North Rhine-Westphalia,No,0.57788,3327,4225,0.56299,0.59278
2010,Hesse,Yes,0.13761,312,1375,0.11939,0.15582
2010,Hesse,No,0.54865,1063,1375,0.52234,0.57496
2010,"Rhineland-Palatinate, Saarland",Yes,0.10687,208,1111,0.08870,0.12505
2010,"Rhineland-Palatinate, Saarland",No,0.59217,903,1111,0.56326,0.62108
2010,Baden-Wuerttemberg,Yes,0.18702,631,2455,0.17159,0.20244
2010,Baden-Wuerttemberg,No,0.53891,1824,2455,0.51918,0.55863
2010,Bavaria,Yes,0.18563,777,3039,0.17180,0.19945
2010,Bavaria,No,0.54064,2262,3039,0.52292,0.55836
2010,Berlin,Yes,0.12826,136,785,0.10486,0.15167
2010,Berlin,No,0.66215,649,785,0.62904,0.69526
2010,Brandenburg,Yes,0.10845,118,873,0.08781,0.12909
2010,Brandenburg,No,0.68579,755,873,0.65498,0.71661
2010,Mecklenburg-Western Pomerania,Yes,0.08095,57,534,0.05779,0.10411
2010,Mecklenburg-Western Pomerania,No,0.73801,477,534,0.70068,0.77534
2010,Saxony,Yes,0.11103,229,1556,0.09542,0.12665
2010,Saxony,No,0.69969,1327,1556,0.67691,0.72248
2010,Saxony-Anhalt,Yes,0.10497,108,853,0.08439,0.12555
2010,Saxony-Anhalt,No,0.72712,745,853,0.69721,0.75703
2010,Thuringa,Yes,0.08200,100,883,0.06390,0.10011
2010,Thuringa,No,0.73089,783,883,0.70162,0.76016
2011,Schleswig-Holstein,Yes,0.15634,126,569,0.12647,0.18621
2011,Schleswig-Holstein,No,0.49581,443,569,0.45469,0.53693
2011,Hamburg,Yes,0.17457,62,248,0.12723,0.22191
2011,Hamburg,No,0.48745,186,248,0.42512,0.54979
2011,Lower Saxony,Yes,0.13619,378,1618,0.11948,0.15291
2011,Lower Saxony,No,0.52041,1240,1618,0.49605,0.54476
2011,Bremen,No,0.60370,91,91,0.50264,0.70475
2011,North Rhine-Westphalia,Yes,0.14117,801,3440,0.12953,0.15281
2011,North Rhine-Westphalia,No,0.51940,2639,3440,0.50270,0.53610
2011,Hesse,Yes,0.14642,298,1133,0.12583,0.16702
2011,Hesse,No,0.46103,835,1133,0.43199,0.49006
2011,"Rhineland-Palatinate, Saarland",Yes,0.11514,194,997,0.09532,0.13497
2011,"Rhineland-Palatinate, Saarland",No,0.51263,803,997,0.48159,0.54367
2011,Baden-Wuerttemberg,Yes,0.18043,554,2055,0.16380,0.19706
2011,Baden-Wuerttemberg,No,0.45883,1501,2055,0.43728,0.48038
2011,Bavaria,Yes,0.14995,674,2628,0.13629,0.16360
2011,Bavaria,No,0.49456,1954,2628,0.47544,0.51368
2011,Berlin,Yes,0.15475,153,653,0.12699,0.18251
2011,Berlin,No,0.55833,500,653,0.52021,0.59644
2011,Brandenburg,Yes,0.11778,128,801,0.09544,0.14011
2011,Brandenburg,No,0.59774,673,801,0.56376,0.63172
2011,Mecklenburg-Western Pomerania,Yes,0.11199,58,469,0.08342,0.14056
2011,Mecklenburg-Western Pomerania,No,0.63641,411,469,0.59283,0.67999
2011,Saxony,Yes,0.09137,203,1298,0.07569,0.10705
2011,Saxony,No,0.64154,1095,1298,0.61544,0.66764
2011,Saxony-Anhalt,Yes,0.08454,100,797,0.06521,0.10386
2011,Saxony-Anhalt,No,0.65386,697,797,0.62081,0.68691
2011,Thuringa,Yes,0.09154,110,820,0.07179,0.11129
2011,Thuringa,No,0.64505,710,820,0.61228,0.67782
2012,Schleswig-Holstein,Yes,0.14178,179,871,0.11860,0.16496
2012,Schleswig-Holstein,No,0.59600,692,871,0.56339,0.62861
2012,Hamburg,Yes,0.18657,92,363,0.14644,0.22670
2012,Hamburg,No,0.54037,271,363,0.48904,0.59171
2012,Lower Saxony,Yes,0.16052,510,2212,0.14522,0.17582
2012,Lower Saxony,No,0.56742,1702,2212,0.54677,0.58808
2012,Bremen,Yes,0.12457,39,173,0.07522,0.17393
2012,Bremen,No,0.67839,134,173,0.60858,0.74820
2012,North Rhine-Westphalia,Yes,0.15608,1053,4691,0.14570,0.16647
2012,North Rhine-Westphalia,No,0.56328,3638,4691,0.54909,0.57748
2012,Hesse,Yes,0.14808,388,1574,0.13053,0.16564
2012,Hesse,No,0.52349,1186,1574,0.49881,0.54817
2012,"Rhineland-Palatinate, Saarland",Yes,0.14833,289,1323,0.12917,0.16749
2012,"Rhineland-Palatinate, Saarland",No,0.55167,1034,1323,0.52486,0.57848
2012,Baden-Wuerttemberg,Yes,0.20037,796,2833,0.18563,0.21511
2012,Baden-Wuerttemberg,No,0.52015,2037,2833,0.50175,0.53855
2012,Bavaria,Yes,0.18431,1034,3684,0.17179,0.19683
2012,Bavaria,No,0.54272,2650,3684,0.52663,0.55881
2012,Berlin,Yes,0.16974,189,879,0.14490,0.19457
2012,Berlin,No,0.58857,690,879,0.55602,0.62112
2012,Brandenburg,Yes,0.11980,162,1006,0.09973,0.13988
2012,Brandenburg,No,0.67268,844,1006,0.64367,0.70169
2012,Mecklenburg-Western Pomerania,Yes,0.10802,79,587,0.08288,0.13315
2012,Mecklenburg-Western Pomerania,No,0.70406,508,587,0.66710,0.74102
2012,Saxony,Yes,0.13276,297,1715,0.11670,0.14883
2012,Saxony,No,0.66852,1418,1715,0.64623,0.69080
2012,Saxony-Anhalt,Yes,0.09303,120,971,0.07475,0.11131
2012,Saxony-Anhalt,No,0.72838,851,971,0.70038,0.75637
2012,Thuringa,Yes,0.09491,125,994,0.07668,0.11314
2012,Thuringa,No,0.70222,869,994,0.67377,0.73066
2013,Schleswig-Holstein,Yes,0.16576,126,511,0.13348,0.19803
2013,Schleswig-Holstein,No,0.44652,385,511,0.40338,0.48967
2013,Hamburg,Yes,0.18013,66,254,0.13277,0.22748
2013,Hamburg,No,0.41419,188,254,0.35349,0.47489
2013,Lower Saxony,Yes,0.15432,382,1500,0.13603,0.17261
2013,Lower Saxony,No,0.46356,1118,1500,0.43832,0.48880
2013,Bremen,No,0.52454,81,81,0.41511,0.63398
2013,North Rhine-Westphalia,Yes,0.14550,815,3063,0.13301,0.15799
2013,North Rhine-Westphalia,No,0.43443,2248,3063,0.41687,0.45198
2013,Hesse,Yes,0.15675,318,1052,0.13477,0.17874
2013,Hesse,No,0.41247,734,1052,0.38271,0.44223
2013,"Rhineland-Palatinate, Saarland",Yes,0.13110,207,911,0.10917,0.15303
2013,"Rhineland-Palatinate, Saarland",No,0.46439,704,911,0.43198,0.49679
2013,Baden-Wuerttemberg,Yes,0.16401,520,1769,0.14674,0.18127
2013,Baden-Wuerttemberg,No,0.40901,1249,1769,0.38609,0.43193
2013,Bavaria,Yes,0.17415,733,2432,0.15908,0.18923
2013,Bavaria,No,0.41895,1699,2432,0.39934,0.43857
2013,Berlin,Yes,0.16254,166,645,0.13405,0.19104
2013,Berlin,No,0.47677,479,645,0.43819,0.51534
2013,Brandenburg,Yes,0.11103,126,722,0.08810,0.13396
2013,Brandenburg,No,0.58903,596,722,0.55311,0.62494
2013,Mecklenburg-Western Pomerania,Yes,0.10195,61,415,0.07280,0.13110
2013,Mecklenburg-Western Pomerania,No,0.64120,354,415,0.59500,0.68741
2013,Saxony,Yes,0.11855,229,1235,0.10051,0.13658
2013,Saxony,No,0.62304,1006,1235,0.59600,0.65008
2013,Saxony-Anhalt,Yes,0.09488,106,709,0.07330,0.11647
2013,Saxony-Anhalt,No,0.64401,603,709,0.60874,0.67928
2013,Thuringa,Yes,0.10396,108,744,0.08201,0.12591
2013,Thuringa,No,0.62159,636,744,0.58671,0.65646
2014,Schleswig-Holstein,Yes,0.19228,187,824,0.16536,0.21921
2014,Schleswig-Holstein,No,0.55259,637,824,0.51862,0.58657
2014,Hamburg,Yes,0.18407,79,374,0.14474,0.22340
2014,Hamburg,No,0.51995,295,374,0.46925,0.57066
2014,Lower Saxony,Yes,0.19339,532,2287,0.17720,0.20958
2014,Lower Saxony,No,0.54176,1755,2287,0.52134,0.56219
2014,Bremen,Yes,0.12841,35,198,0.08169,0.17513
2014,Bremen,No,0.68120,163,198,0.61613,0.74628
2014,North Rhine-Westphalia,Yes,0.15959,1038,4878,0.14932,0.16987
2014,North Rhine-Westphalia,No,0.55648,3840,4878,0.54253,0.57042
2014,Hesse,Yes,0.15749,398,1597,0.13962,0.17536
2014,Hesse,No,0.54374,1199,1597,0.51931,0.56818
2014,"Rhineland-Palatinate, Saarland",Yes,0.16558,306,1377,0.14594,0.18522
