year,age_gr,bula_h,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,30-45 y.,Baden-Wuerttemberg,Yes,0.07706,50,554,0.05483,0.09928
1999,30-45 y.,Baden-Wuerttemberg,No,0.78185,504,554,0.74743,0.81628
1999,30-45 y.,Bavaria,Yes,0.09662,63,559,0.07211,0.12114
1999,30-45 y.,Bavaria,No,0.74644,496,559,0.71034,0.78254
1999,30-45 y.,Berlin,No,0.82211,146,146,0.75986,0.88436
1999,30-45 y.,Brandenburg,No,0.89064,164,164,0.84273,0.93856
1999,30-45 y.,Mecklenburg-Western Pomerania,No,0.86059,111,111,0.79586,0.92532
1999,30-45 y.,Saxony,No,0.83650,329,329,0.79648,0.87653
1999,30-45 y.,Saxony-Anhalt,No,0.85796,180,180,0.80682,0.90910
1999,30-45 y.,Thuringa,No,0.90169,218,218,0.86208,0.94131
1999,46-65 y.,Schleswig-Holstein,No,0.82664,80,80,0.74316,0.91012
1999,46-65 y.,Hamburg,No,0.86262,46,46,0.76203,0.96320
1999,46-65 y.,Lower Saxony,No,0.77172,272,272,0.72174,0.82169
1999,46-65 y.,North Rhine-Westphalia,Yes,0.11628,76,722,0.09288,0.13968
1999,46-65 y.,North Rhine-Westphalia,No,0.73302,646,722,0.70073,0.76531
1999,46-65 y.,Hesse,No,0.76945,241,241,0.71616,0.82274
1999,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.77903,165,165,0.71553,0.84253
1999,46-65 y.,Baden-Wuerttemberg,Yes,0.10213,31,421,0.07317,0.13110
1999,46-65 y.,Baden-Wuerttemberg,No,0.76846,390,421,0.72812,0.80880
1999,46-65 y.,Bavaria,Yes,0.13983,60,428,0.10694,0.17273
1999,46-65 y.,Bavaria,No,0.66328,368,428,0.61846,0.70811
1999,46-65 y.,Berlin,No,0.76628,124,124,0.69149,0.84107
1999,46-65 y.,Brandenburg,No,0.91623,190,190,0.87674,0.95573
1999,46-65 y.,Mecklenburg-Western Pomerania,No,0.91903,122,122,0.87043,0.96764
1999,46-65 y.,Saxony,No,0.91299,342,342,0.88307,0.94291
1999,46-65 y.,Saxony-Anhalt,No,0.92747,229,229,0.89380,0.96114
1999,46-65 y.,Thuringa,No,0.96261,215,215,0.93719,0.98803
1999,66 and older,Schleswig-Holstein,No,0.91031,37,37,0.81697,1.00365
1999,66 and older,Lower Saxony,No,0.81875,119,119,0.74925,0.88826
1999,66 and older,North Rhine-Westphalia,Yes,0.10975,32,299,0.07426,0.14524
1999,66 and older,North Rhine-Westphalia,No,0.80008,267,299,0.75467,0.84549
1999,66 and older,Hesse,No,0.77141,105,105,0.69070,0.85212
1999,66 and older,"Rhineland-Palatinate, Saarland",No,0.77596,99,99,0.69341,0.85852
1999,66 and older,Baden-Wuerttemberg,No,0.80903,171,171,0.74994,0.86812
1999,66 and older,Bavaria,No,0.78805,216,216,0.73342,0.84268
1999,66 and older,Berlin,No,0.92443,61,61,0.85755,0.99131
1999,66 and older,Brandenburg,No,0.97597,71,71,0.94009,1.01185
1999,66 and older,Saxony,No,0.98652,148,148,0.96788,1.00516
1999,66 and older,Thuringa,No,0.97584,92,92,0.94429,1.00739
2000,17-29 y.,Schleswig-Holstein,No,0.81715,87,87,0.73546,0.89885
2000,17-29 y.,Hamburg,No,0.88607,42,42,0.78882,0.98333
2000,17-29 y.,Lower Saxony,No,0.83924,335,335,0.79984,0.87863
2000,17-29 y.,North Rhine-Westphalia,Yes,0.09427,87,850,0.07461,0.11392
2000,17-29 y.,North Rhine-Westphalia,No,0.81111,763,850,0.78478,0.83744
2000,17-29 y.,Hesse,No,0.83874,258,258,0.79377,0.88370
2000,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.81785,187,187,0.76238,0.87332
2000,17-29 y.,Baden-Wuerttemberg,Yes,0.07096,40,565,0.04977,0.09215
2000,17-29 y.,Baden-Wuerttemberg,No,0.81815,525,565,0.78632,0.84999
2000,17-29 y.,Bavaria,Yes,0.07257,43,561,0.05108,0.09405
2000,17-29 y.,Bavaria,No,0.81911,518,561,0.78723,0.85099
2000,17-29 y.,Berlin,No,0.81474,121,121,0.74523,0.88426
2000,17-29 y.,Brandenburg,No,0.90944,200,200,0.86957,0.94931
2000,17-29 y.,Mecklenburg-Western Pomerania,No,0.88844,115,115,0.83064,0.94623
2000,17-29 y.,Saxony,No,0.89109,305,305,0.85607,0.92611
2000,17-29 y.,Saxony-Anhalt,No,0.85411,189,189,0.80364,0.90457
2000,17-29 y.,Thuringa,No,0.85407,195,195,0.80439,0.90375
2000,30-45 y.,Schleswig-Holstein,No,0.75357,178,178,0.69008,0.81705
2000,30-45 y.,Hamburg,No,0.66439,61,61,0.54490,0.78387
2000,30-45 y.,Lower Saxony,Yes,0.08027,56,625,0.05895,0.10159
2000,30-45 y.,Lower Saxony,No,0.80147,569,625,0.77017,0.83277
2000,30-45 y.,Bremen,No,0.77713,42,42,0.64974,0.90452
2000,30-45 y.,North Rhine-Westphalia,Yes,0.11560,189,1484,0.09933,0.13187
2000,30-45 y.,North Rhine-Westphalia,No,0.75029,1295,1484,0.72826,0.77232
2000,30-45 y.,Hesse,Yes,0.08747,54,509,0.06290,0.11204
2000,30-45 y.,Hesse,No,0.76533,455,509,0.72847,0.80218
2000,30-45 y.,"Rhineland-Palatinate, Saarland",Yes,0.06080,32,503,0.03989,0.08170
2000,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.84544,471,503,0.81382,0.87706
2000,30-45 y.,Baden-Wuerttemberg,Yes,0.11305,109,937,0.09276,0.13333
2000,30-45 y.,Baden-Wuerttemberg,No,0.74455,828,937,0.71662,0.77249
2000,30-45 y.,Bavaria,Yes,0.11148,135,1013,0.09209,0.13087
2000,30-45 y.,Bavaria,No,0.72359,878,1013,0.69604,0.75115
2000,30-45 y.,Berlin,No,0.79768,222,222,0.74471,0.85064
2000,30-45 y.,Brandenburg,No,0.87061,264,264,0.83005,0.91118
2000,30-45 y.,Mecklenburg-Western Pomerania,No,0.86734,149,149,0.81268,0.92199
2000,30-45 y.,Saxony,Yes,0.06388,33,532,0.04308,0.08468
2000,30-45 y.,Saxony,No,0.83348,499,532,0.80179,0.86516
2000,30-45 y.,Saxony-Anhalt,No,0.89778,261,261,0.86096,0.93460
2000,30-45 y.,Thuringa,No,0.88093,300,300,0.84422,0.91764
2000,46-65 y.,Schleswig-Holstein,No,0.75803,176,176,0.69458,0.82149
2000,46-65 y.,Hamburg,No,0.82297,96,96,0.74622,0.89973
2000,46-65 y.,Lower Saxony,Yes,0.11132,60,525,0.08439,0.13825
2000,46-65 y.,Lower Saxony,No,0.76054,465,525,0.72399,0.79708
2000,46-65 y.,Bremen,No,0.93764,56,56,0.87374,1.00155
2000,46-65 y.,North Rhine-Westphalia,Yes,0.14000,226,1451,0.12214,0.15786
2000,46-65 y.,North Rhine-Westphalia,No,0.70350,1225,1451,0.67999,0.72701
2000,46-65 y.,Hesse,Yes,0.07965,38,471,0.05517,0.10412
2000,46-65 y.,Hesse,No,0.77114,433,471,0.73316,0.80912
2000,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.79045,324,324,0.74607,0.83484
2000,46-65 y.,Baden-Wuerttemberg,Yes,0.12353,85,742,0.09983,0.14722
2000,46-65 y.,Baden-Wuerttemberg,No,0.73008,657,742,0.69812,0.76205
2000,46-65 y.,Bavaria,Yes,0.13040,125,854,0.10780,0.15300
2000,46-65 y.,Bavaria,No,0.65922,729,854,0.62741,0.69103
2000,46-65 y.,Berlin,No,0.80260,221,221,0.75000,0.85519
2000,46-65 y.,Brandenburg,No,0.88147,295,295,0.84452,0.91842
2000,46-65 y.,Mecklenburg-Western Pomerania,No,0.88486,168,168,0.83645,0.93327
2000,46-65 y.,Saxony,No,0.89761,529,529,0.87175,0.92347
2000,46-65 y.,Saxony-Anhalt,No,0.93986,377,377,0.91583,0.96389
2000,46-65 y.,Thuringa,No,0.91475,305,305,0.88336,0.94614
2000,66 and older,Schleswig-Holstein,No,0.80656,96,96,0.72713,0.88599
2000,66 and older,Hamburg,No,0.92142,38,38,0.83472,1.00813
2000,66 and older,Lower Saxony,No,0.82344,260,260,0.77700,0.86988
2000,66 and older,Bremen,No,0.89124,37,37,0.78953,0.99294
2000,66 and older,North Rhine-Westphalia,Yes,0.11084,83,687,0.08735,0.13433
2000,66 and older,North Rhine-Westphalia,No,0.78691,604,687,0.75626,0.81755
2000,66 and older,Hesse,No,0.82182,200,200,0.76866,0.87499
2000,66 and older,"Rhineland-Palatinate, Saarland",No,0.81236,214,214,0.75993,0.86479
2000,66 and older,Baden-Wuerttemberg,No,0.80378,310,310,0.75950,0.84806
2000,66 and older,Bavaria,No,0.81299,407,407,0.77506,0.85092
2000,66 and older,Berlin,No,0.88292,94,94,0.81757,0.94827
2000,66 and older,Brandenburg,No,0.99637,159,159,0.98700,1.00575
2000,66 and older,Mecklenburg-Western Pomerania,No,0.97739,78,78,0.94419,1.01059
2000,66 and older,Saxony,No,0.98575,261,261,0.97134,1.00015
2000,66 and older,Saxony-Anhalt,No,0.99486,158,158,0.98368,1.00605
2000,66 and older,Thuringa,No,0.97514,154,154,0.95048,0.99981
2001,17-29 y.,Schleswig-Holstein,No,0.84127,79,79,0.76018,0.92237
2001,17-29 y.,Lower Saxony,No,0.84644,296,296,0.80530,0.88758
2001,17-29 y.,North Rhine-Westphalia,Yes,0.07191,57,742,0.05331,0.09051
2001,17-29 y.,North Rhine-Westphalia,No,0.83438,685,742,0.80762,0.86115
2001,17-29 y.,Hesse,No,0.83912,223,223,0.79079,0.88746
2001,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.83885,176,176,0.78438,0.89332
2001,17-29 y.,Baden-Wuerttemberg,Yes,0.11822,48,479,0.08928,0.14717
2001,17-29 y.,Baden-Wuerttemberg,No,0.76978,431,479,0.73204,0.80752
2001,17-29 y.,Bavaria,Yes,0.07260,43,509,0.05004,0.09517
2001,17-29 y.,Bavaria,No,0.82446,466,509,0.79138,0.85755
2001,17-29 y.,Berlin,No,0.83827,134,134,0.77569,0.90085
2001,17-29 y.,Brandenburg,No,0.87650,174,174,0.82747,0.92553
2001,17-29 y.,Mecklenburg-Western Pomerania,No,0.84219,91,91,0.76687,0.91751
2001,17-29 y.,Saxony,No,0.82589,266,266,0.78023,0.87155
2001,17-29 y.,Saxony-Anhalt,No,0.85828,180,180,0.80718,0.90937
2001,17-29 y.,Thuringa,No,0.89852,183,183,0.85464,0.94239
2001,30-45 y.,Schleswig-Holstein,No,0.70917,145,145,0.63499,0.78334
2001,30-45 y.,Hamburg,No,0.68436,56,56,0.56152,0.80719
2001,30-45 y.,Lower Saxony,Yes,0.10101,62,567,0.07619,0.12584
2001,30-45 y.,Lower Saxony,No,0.79275,505,567,0.75935,0.82614
2001,30-45 y.,Bremen,No,0.90399,39,39,0.81031,0.99766
2001,30-45 y.,North Rhine-Westphalia,Yes,0.14737,207,1365,0.12856,0.16618
2001,30-45 y.,North Rhine-Westphalia,No,0.71771,1158,1365,0.69382,0.74160
2001,30-45 y.,Hesse,Yes,0.07723,45,433,0.05205,0.10240
2001,30-45 y.,Hesse,No,0.75724,388,433,0.71681,0.79767
2001,30-45 y.,"Rhineland-Palatinate, Saarland",Yes,0.07313,33,457,0.04924,0.09703
2001,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.82488,424,457,0.78999,0.85976
2001,30-45 y.,Baden-Wuerttemberg,Yes,0.14195,111,821,0.11806,0.16584
2001,30-45 y.,Baden-Wuerttemberg,No,0.71475,710,821,0.68384,0.74565
2001,30-45 y.,Bavaria,Yes,0.11346,120,914,0.09289,0.13404
2001,30-45 y.,Bavaria,No,0.74145,794,914,0.71305,0.76985
2001,30-45 y.,Berlin,No,0.75927,201,201,0.70002,0.81853
2001,30-45 y.,Brandenburg,No,0.87328,236,236,0.83075,0.91581
2001,30-45 y.,Mecklenburg-Western Pomerania,No,0.86235,142,142,0.80548,0.91922
2001,30-45 y.,Saxony,No,0.83497,441,441,0.80029,0.86966
2001,30-45 y.,Saxony-Anhalt,No,0.88823,245,245,0.84869,0.92776
2001,30-45 y.,Thuringa,No,0.86968,262,262,0.82884,0.91053
2001,46-65 y.,Schleswig-Holstein,No,0.77074,180,180,0.70915,0.83232
2001,46-65 y.,Hamburg,No,0.82053,85,85,0.73846,0.90259
2001,46-65 y.,Lower Saxony,Yes,0.10273,53,479,0.07551,0.12995
2001,46-65 y.,Lower Saxony,No,0.76309,426,479,0.72497,0.80121
2001,46-65 y.,Bremen,No,0.80349,39,39,0.67715,0.92983
2001,46-65 y.,North Rhine-Westphalia,Yes,0.11835,174,1284,0.10068,0.13603
2001,46-65 y.,North Rhine-Westphalia,No,0.72437,1110,1284,0.69992,0.74882
2001,46-65 y.,Hesse,Yes,0.07498,32,409,0.04942,0.10053
2001,46-65 y.,Hesse,No,0.75278,377,409,0.71092,0.79464
2001,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.77265,299,299,0.72506,0.82024
2001,46-65 y.,Baden-Wuerttemberg,Yes,0.11704,73,660,0.09250,0.14159
2001,46-65 y.,Baden-Wuerttemberg,No,0.73485,587,660,0.70115,0.76855
2001,46-65 y.,Bavaria,Yes,0.11114,95,772,0.08896,0.13333
2001,46-65 y.,Bavaria,No,0.68392,677,772,0.65110,0.71674
2001,46-65 y.,Berlin,No,0.77024,215,215,0.71388,0.82660
2001,46-65 y.,Brandenburg,No,0.87776,293,293,0.84019,0.91533
2001,46-65 y.,Mecklenburg-Western Pomerania,No,0.90414,151,151,0.85703,0.95125
2001,46-65 y.,Saxony,No,0.91805,499,499,0.89396,0.94214
2001,46-65 y.,Saxony-Anhalt,No,0.94740,348,348,0.92391,0.97089
2001,46-65 y.,Thuringa,No,0.94525,298,298,0.91937,0.97112
2001,66 and older,Schleswig-Holstein,No,0.84054,97,97,0.76730,0.91377
2001,66 and older,Hamburg,No,0.89338,36,36,0.79113,0.99563
2001,66 and older,Lower Saxony,No,0.84668,255,255,0.80237,0.89099
2001,66 and older,North Rhine-Westphalia,Yes,0.09848,67,622,0.07505,0.12192
2001,66 and older,North Rhine-Westphalia,No,0.76664,555,622,0.73337,0.79991
2001,66 and older,Hesse,No,0.81662,191,191,0.76160,0.87165
2001,66 and older,"Rhineland-Palatinate, Saarland",No,0.82335,194,194,0.76954,0.87715
2001,66 and older,Baden-Wuerttemberg,No,0.79586,288,288,0.74923,0.84250
2001,66 and older,Bavaria,Yes,0.08224,34,418,0.05587,0.10861
2001,66 and older,Bavaria,No,0.78745,384,418,0.74819,0.82672
2001,66 and older,Berlin,No,0.91976,83,83,0.86096,0.97856
2001,66 and older,Brandenburg,No,0.97425,157,157,0.94940,0.99911
2001,66 and older,Mecklenburg-Western Pomerania,No,0.98227,75,75,0.95221,1.01234
2001,66 and older,Saxony,No,0.98292,259,259,0.96711,0.99873
2001,66 and older,Saxony-Anhalt,No,0.99371,151,151,0.98106,1.00636
2001,66 and older,Thuringa,No,0.98527,139,139,0.96518,1.00537
2002,17-29 y.,Schleswig-Holstein,No,0.84746,99,99,0.77628,0.91865
2002,17-29 y.,Hamburg,No,0.83616,44,44,0.72553,0.94679
2002,17-29 y.,Lower Saxony,No,0.83639,289,289,0.79366,0.87911
2002,17-29 y.,North Rhine-Westphalia,Yes,0.07389,71,709,0.05462,0.09315
2002,17-29 y.,North Rhine-Westphalia,No,0.81967,638,709,0.79136,0.84799
2002,17-29 y.,Hesse,No,0.88314,227,227,0.84126,0.92502
2002,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.84261,171,171,0.78787,0.89735
2002,17-29 y.,Baden-Wuerttemberg,Yes,0.10442,47,488,0.07726,0.13157
2002,17-29 y.,Baden-Wuerttemberg,No,0.81254,441,488,0.77788,0.84720
2002,17-29 y.,Bavaria,Yes,0.09409,50,502,0.06852,0.11965
2002,17-29 y.,Bavaria,No,0.81554,452,502,0.78158,0.84951
2002,17-29 y.,Berlin,No,0.86744,139,139,0.81087,0.92402
2002,17-29 y.,Brandenburg,No,0.84608,169,169,0.79152,0.90065
2002,17-29 y.,Mecklenburg-Western Pomerania,No,0.84663,82,82,0.76816,0.92511
2002,17-29 y.,Saxony,No,0.85870,266,266,0.81676,0.90064
2002,17-29 y.,Saxony-Anhalt,No,0.89731,159,159,0.84998,0.94464
2002,17-29 y.,Thuringa,No,0.87576,180,180,0.82744,0.92408
2002,30-45 y.,Schleswig-Holstein,No,0.74348,147,147,0.67264,0.81432
2002,30-45 y.,Hamburg,No,0.70329,56,56,0.58256,0.82402
2002,30-45 y.,Lower Saxony,Yes,0.09389,72,573,0.06999,0.11779
2002,30-45 y.,Lower Saxony,No,0.79171,501,573,0.75843,0.82499
2002,30-45 y.,Bremen,No,0.84977,33,33,0.72597,0.97357
2002,30-45 y.,North Rhine-Westphalia,Yes,0.12079,201,1339,0.10333,0.13825
2002,30-45 y.,North Rhine-Westphalia,No,0.75815,1138,1339,0.73520,0.78109
2002,30-45 y.,Hesse,Yes,0.09735,63,457,0.07014,0.12455
2002,30-45 y.,Hesse,No,0.75042,394,457,0.71070,0.79014
2002,30-45 y.,"Rhineland-Palatinate, Saarland",Yes,0.05124,34,410,0.02987,0.07261
2002,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.84849,376,410,0.81375,0.88324
2002,30-45 y.,Baden-Wuerttemberg,Yes,0.11628,124,856,0.09480,0.13777
2002,30-45 y.,Baden-Wuerttemberg,No,0.75592,732,856,0.72713,0.78472
2002,30-45 y.,Bavaria,Yes,0.14151,150,879,0.11845,0.16456
2002,30-45 y.,Bavaria,No,0.70722,729,879,0.67713,0.73732
2002,30-45 y.,Berlin,No,0.79954,187,187,0.74200,0.85708
2002,30-45 y.,Brandenburg,No,0.90503,229,229,0.86697,0.94308
2002,30-45 y.,Mecklenburg-Western Pomerania,No,0.88774,126,126,0.83240,0.94308
2002,30-45 y.,Saxony,Yes,0.05746,33,449,0.03591,0.07901
2002,30-45 y.,Saxony,No,0.85610,416,449,0.82360,0.88860
2002,30-45 y.,Saxony-Anhalt,No,0.83285,215,215,0.78286,0.88284
2002,30-45 y.,Thuringa,No,0.86872,243,243,0.82617,0.91127
2002,46-65 y.,Schleswig-Holstein,No,0.73487,176,176,0.66947,0.80027
2002,46-65 y.,Hamburg,No,0.88511,102,102,0.82291,0.94730
2002,46-65 y.,Lower Saxony,Yes,0.11086,75,500,0.08331,0.13841
2002,46-65 y.,Lower Saxony,No,0.74661,425,500,0.70844,0.78477
2002,46-65 y.,Bremen,No,0.92608,53,53,0.85496,0.99719
2002,46-65 y.,North Rhine-Westphalia,Yes,0.12337,234,1326,0.10566,0.14107
2002,46-65 y.,North Rhine-Westphalia,No,0.72994,1092,1326,0.70604,0.75385
2002,46-65 y.,Hesse,Yes,0.08220,54,418,0.05584,0.10856
2002,46-65 y.,Hesse,No,0.71774,364,418,0.67454,0.76094
2002,46-65 y.,"Rhineland-Palatinate, Saarland",Yes,0.06687,33,343,0.04040,0.09335
2002,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.78652,310,343,0.74309,0.82995
2002,46-65 y.,Baden-Wuerttemberg,Yes,0.15540,123,689,0.12833,0.18247
2002,46-65 y.,Baden-Wuerttemberg,No,0.69046,566,689,0.65591,0.72500
2002,46-65 y.,Bavaria,Yes,0.14676,154,812,0.12240,0.17111
2002,46-65 y.,Bavaria,No,0.64356,658,812,0.61060,0.67653
2002,46-65 y.,Berlin,No,0.74325,206,206,0.68345,0.80305
2002,46-65 y.,Brandenburg,No,0.88342,283,283,0.84596,0.92087
2002,46-65 y.,Mecklenburg-Western Pomerania,No,0.90473,158,158,0.85881,0.95066
2002,46-65 y.,Saxony,No,0.89543,489,489,0.86828,0.92258
2002,46-65 y.,Saxony-Anhalt,No,0.94007,332,332,0.91450,0.96564
2002,46-65 y.,Thuringa,No,0.91827,296,296,0.88700,0.94953
2002,66 and older,Schleswig-Holstein,No,0.85719,101,101,0.78862,0.92577
2002,66 and older,Hamburg,No,0.86264,34,34,0.74520,0.98009
2002,66 and older,Lower Saxony,No,0.83161,258,258,0.78586,0.87736
2002,66 and older,North Rhine-Westphalia,Yes,0.11686,83,651,0.09216,0.14156
2002,66 and older,North Rhine-Westphalia,No,0.77557,568,651,0.74350,0.80764
2002,66 and older,Hesse,No,0.83914,201,201,0.78822,0.89006
2002,66 and older,"Rhineland-Palatinate, Saarland",No,0.78824,188,188,0.72968,0.84679
2002,66 and older,Baden-Wuerttemberg,Yes,0.11127,46,330,0.07729,0.14525
2002,66 and older,Baden-Wuerttemberg,No,0.78875,284,330,0.74464,0.83286
2002,66 and older,Bavaria,Yes,0.10724,59,436,0.07816,0.13631
2002,66 and older,Bavaria,No,0.77612,377,436,0.73694,0.81529
2002,66 and older,Berlin,No,0.89224,92,92,0.82853,0.95595
2002,66 and older,Brandenburg,No,0.99464,172,172,0.98370,1.00558
2002,66 and older,Mecklenburg-Western Pomerania,No,0.97277,77,77,0.93618,1.00936
2002,66 and older,Saxony,No,0.98733,271,271,0.97400,1.00067
2002,66 and older,Thuringa,No,0.99564,143,143,0.98479,1.00648
2003,17-29 y.,Schleswig-Holstein,No,0.86800,91,91,0.79807,0.93794
2003,17-29 y.,Hamburg,No,0.78600,38,38,0.65385,0.91815
2003,17-29 y.,Lower Saxony,No,0.83274,267,267,0.78789,0.87759
2003,17-29 y.,North Rhine-Westphalia,Yes,0.09799,87,679,0.07561,0.12037
2003,17-29 y.,North Rhine-Westphalia,No,0.79545,592,679,0.76509,0.82582
2003,17-29 y.,Hesse,No,0.84230,200,200,0.79166,0.89293
2003,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.84984,183,183,0.79794,0.90174
2003,17-29 y.,Baden-Wuerttemberg,Yes,0.07079,37,458,0.04728,0.09431
2003,17-29 y.,Baden-Wuerttemberg,No,0.82298,421,458,0.78798,0.85797
2003,17-29 y.,Bavaria,Yes,0.08721,50,487,0.06212,0.11229
2003,17-29 y.,Bavaria,No,0.81257,437,487,0.77787,0.84726
2003,17-29 y.,Berlin,No,0.84307,144,144,0.78345,0.90268
2003,17-29 y.,Brandenburg,No,0.86972,159,159,0.81724,0.92221
2003,17-29 y.,Mecklenburg-Western Pomerania,No,0.89002,86,86,0.82351,0.95654
2003,17-29 y.,Saxony,No,0.83726,251,251,0.79150,0.88302
2003,17-29 y.,Saxony-Anhalt,No,0.84980,151,151,0.79263,0.90698
2003,17-29 y.,Thuringa,No,0.88700,183,183,0.84100,0.93299
2003,30-45 y.,Schleswig-Holstein,No,0.74228,130,130,0.66680,0.81776
2003,30-45 y.,Hamburg,No,0.76567,55,55,0.65269,0.87865
2003,30-45 y.,Lower Saxony,Yes,0.09698,63,552,0.07227,0.12169
2003,30-45 y.,Lower Saxony,No,0.78966,489,552,0.75563,0.82369
2003,30-45 y.,Bremen,No,0.72722,32,32,0.57044,0.88401
2003,30-45 y.,North Rhine-Westphalia,Yes,0.12630,197,1258,0.10793,0.14466
2003,30-45 y.,North Rhine-Westphalia,No,0.75386,1061,1258,0.73004,0.77767
2003,30-45 y.,Hesse,Yes,0.10428,59,417,0.07491,0.13365
2003,30-45 y.,Hesse,No,0.75377,358,417,0.71237,0.79517
2003,30-45 y.,"Rhineland-Palatinate, Saarland",Yes,0.08707,40,393,0.05916,0.11498
2003,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.80672,353,393,0.76763,0.84581
2003,30-45 y.,Baden-Wuerttemberg,Yes,0.12794,117,782,0.10452,0.15137
2003,30-45 y.,Baden-Wuerttemberg,No,0.73567,665,782,0.70475,0.76660
2003,30-45 y.,Bavaria,Yes,0.13410,137,837,0.11100,0.15720
2003,30-45 y.,Bavaria,No,0.71050,700,837,0.67976,0.74125
2003,30-45 y.,Berlin,No,0.78519,178,178,0.72468,0.84569
2003,30-45 y.,Brandenburg,No,0.90533,209,209,0.86555,0.94512
2003,30-45 y.,Mecklenburg-Western Pomerania,No,0.84146,129,129,0.77819,0.90474
2003,30-45 y.,Saxony,Yes,0.06526,33,417,0.04153,0.08900
2003,30-45 y.,Saxony,No,0.83253,384,417,0.79665,0.86841
2003,30-45 y.,Saxony-Anhalt,No,0.81160,195,195,0.75657,0.86662
2003,30-45 y.,Thuringa,No,0.82044,217,217,0.76926,0.87163
2003,46-65 y.,Schleswig-Holstein,No,0.75270,179,179,0.68932,0.81608
2003,46-65 y.,Hamburg,No,0.84956,90,90,0.77529,0.92384
2003,46-65 y.,Lower Saxony,Yes,0.09892,73,476,0.07207,0.12577
2003,46-65 y.,Lower Saxony,No,0.75640,403,476,0.71779,0.79500
2003,46-65 y.,Bremen,No,0.90453,48,48,0.82051,0.98854
2003,46-65 y.,North Rhine-Westphalia,Yes,0.13683,230,1250,0.11777,0.15589
2003,46-65 y.,North Rhine-Westphalia,No,0.71397,1020,1250,0.68891,0.73903
2003,46-65 y.,Hesse,Yes,0.06867,49,387,0.04344,0.09390
2003,46-65 y.,Hesse,No,0.71901,338,387,0.67417,0.76385
2003,46-65 y.,"Rhineland-Palatinate, Saarland",Yes,0.07753,34,326,0.04846,0.10661
2003,46-65 y.,"Rhineland-Palatinate, Saarland",No,0.76520,292,326,0.71911,0.81128
2003,46-65 y.,Baden-Wuerttemberg,Yes,0.13732,114,702,0.11184,0.16280
2003,46-65 y.,Baden-Wuerttemberg,No,0.73018,588,702,0.69732,0.76304
2003,46-65 y.,Bavaria,Yes,0.12520,138,759,0.10164,0.14876
2003,46-65 y.,Bavaria,No,0.65604,621,759,0.62222,0.68985
2003,46-65 y.,Berlin,No,0.74015,198,198,0.67891,0.80139
2003,46-65 y.,Brandenburg,No,0.88772,290,290,0.85132,0.92412
2003,46-65 y.,Mecklenburg-Western Pomerania,No,0.89446,156,156,0.84609,0.94283
2003,46-65 y.,Saxony,No,0.91213,497,497,0.88722,0.93705
