year,migback,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,No migration background,No,0.53795,12388,17079,0.53048,0.54543
2014,Direct migration background,Yes,0.08884,447,5028,0.08097,0.09670
2014,Direct migration background,No,0.83129,4581,5028,0.82094,0.84164
2014,Indirect migration background,Yes,0.08072,228,1608,0.06740,0.09404
2014,Indirect migration background,No,0.37828,1380,1608,0.35457,0.40199
2016,No migration background,Yes,0.17781,3762,15106,0.17171,0.18391
2016,No migration background,No,0.55692,11344,15106,0.54900,0.56484
2016,Direct migration background,Yes,0.08567,391,4723,0.07769,0.09365
2016,Direct migration background,No,0.78557,4332,4723,0.77386,0.79727
2016,Indirect migration background,Yes,0.07523,191,1374,0.06127,0.08918
2016,Indirect migration background,No,0.38535,1183,1374,0.35961,0.41110
2018,No migration background,Yes,0.18552,4180,16632,0.17961,0.19142
2018,No migration background,No,0.55388,12452,16632,0.54633,0.56144
2018,Direct migration background,Yes,0.09285,399,4353,0.08422,0.10147
2018,Direct migration background,No,0.76245,3954,4353,0.74981,0.77510
2018,Indirect migration background,Yes,0.08209,207,1513,0.06825,0.09592
2018,Indirect migration background,No,0.39756,1306,1513,0.37289,0.42223
2020,No migration background,Yes,0.18623,4169,15298,0.18006,0.19240
2020,No migration background,No,0.54553,11129,15298,0.53764,0.55342
2020,Direct migration background,Yes,0.09785,443,5300,0.08985,0.10585
2020,Direct migration background,No,0.75593,4857,5300,0.74437,0.76750
2020,Indirect migration background,Yes,0.07067,227,1401,0.05725,0.08410
2020,Indirect migration background,No,0.39423,1174,1401,0.36863,0.41983
