year,quintil_oecd_hh,sampreg,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,4th Quintile,West,Yes,0.94364,2080,2203,0.93401,0.95327
2016,4th Quintile,West,No,0.05415,123,2203,0.04470,0.06360
2016,4th Quintile,East,Yes,0.95673,433,433,0.93754,0.97592
2016,5th Quintile,West,Yes,0.95687,2321,2428,0.94878,0.96495
2016,5th Quintile,West,No,0.04184,107,2428,0.03387,0.04980
2016,5th Quintile,East,Yes,0.98047,318,318,0.96523,0.99570
2017,1st Quintile,West,Yes,0.84069,2061,2318,0.82579,0.85559
2017,1st Quintile,West,No,0.12326,257,2318,0.10987,0.13664
2017,1st Quintile,East,Yes,0.87023,803,878,0.84799,0.89247
2017,1st Quintile,East,No,0.10697,75,878,0.08652,0.12743
2017,2nd Quintile,West,Yes,0.92026,2174,2332,0.90926,0.93126
2017,2nd Quintile,West,No,0.07836,158,2332,0.06745,0.08927
2017,2nd Quintile,East,Yes,0.90420,836,902,0.88499,0.92342
2017,2nd Quintile,East,No,0.08832,66,902,0.06979,0.10685
2017,3rd Quintile,West,Yes,0.93319,2224,2363,0.92312,0.94326
2017,3rd Quintile,West,No,0.06603,139,2363,0.05601,0.07604
2017,3rd Quintile,East,Yes,0.94769,687,723,0.93145,0.96393
2017,3rd Quintile,East,No,0.05223,36,723,0.03600,0.06846
2017,4th Quintile,West,Yes,0.95135,2401,2515,0.94294,0.95976
2017,4th Quintile,West,No,0.04859,114,2515,0.04019,0.05700
2017,4th Quintile,East,Yes,0.88960,498,529,0.86287,0.91633
2017,4th Quintile,East,No,0.10026,31,529,0.07464,0.12588
2017,5th Quintile,West,Yes,0.96513,2628,2712,0.95823,0.97204
2017,5th Quintile,West,No,0.03342,84,2712,0.02666,0.04019
2017,5th Quintile,East,Yes,0.95409,362,362,0.93250,0.97568
2018,1st Quintile,West,Yes,0.86438,2143,2360,0.85057,0.87820
2018,1st Quintile,West,No,0.09644,217,2360,0.08453,0.10835
2018,1st Quintile,East,Yes,0.87693,863,941,0.85593,0.89794
2018,1st Quintile,East,No,0.09996,78,941,0.08078,0.11913
2018,2nd Quintile,West,Yes,0.92956,2187,2349,0.91921,0.93991
2018,2nd Quintile,West,No,0.06667,162,2349,0.05658,0.07676
2018,2nd Quintile,East,Yes,0.94368,887,944,0.92896,0.95839
2018,2nd Quintile,East,No,0.05426,57,944,0.03980,0.06871
2018,3rd Quintile,West,Yes,0.94371,2160,2262,0.93421,0.95321
2018,3rd Quintile,West,No,0.05425,102,2262,0.04491,0.06359
2018,3rd Quintile,East,Yes,0.94256,650,650,0.92466,0.96046
2018,4th Quintile,West,Yes,0.97199,2301,2383,0.96536,0.97861
2018,4th Quintile,West,No,0.02783,82,2383,0.02122,0.03443
2018,4th Quintile,East,Yes,0.95930,480,480,0.94161,0.97700
2018,5th Quintile,West,Yes,0.96902,2565,2649,0.96242,0.97562
2018,5th Quintile,West,No,0.03094,84,2649,0.02434,0.03753
2018,5th Quintile,East,Yes,0.96204,352,352,0.94205,0.98203
2019,1st Quintile,West,Yes,0.74051,1565,1711,0.71973,0.76128
2019,1st Quintile,West,No,0.08265,146,1711,0.06960,0.09570
2019,1st Quintile,East,Yes,0.78807,656,710,0.75799,0.81815
2019,1st Quintile,East,No,0.07651,54,710,0.05694,0.09607
2019,2nd Quintile,West,Yes,0.85670,1787,1888,0.84090,0.87251
2019,2nd Quintile,West,No,0.04807,101,1888,0.03842,0.05772
2019,2nd Quintile,East,Yes,0.86825,698,698,0.84314,0.89336
2019,3rd Quintile,West,Yes,0.86971,1806,1899,0.85457,0.88486
2019,3rd Quintile,West,No,0.04759,93,1899,0.03801,0.05717
2019,3rd Quintile,East,Yes,0.86527,587,587,0.83763,0.89292
2019,4th Quintile,West,Yes,0.88832,1943,2018,0.87457,0.90206
2019,4th Quintile,West,No,0.03360,75,2018,0.02573,0.04146
2019,4th Quintile,East,Yes,0.86546,423,423,0.83290,0.89802
2019,5th Quintile,West,Yes,0.85837,2186,2256,0.84398,0.87276
2019,5th Quintile,West,No,0.02604,70,2256,0.01946,0.03261
2019,5th Quintile,East,Yes,0.84858,333,333,0.81002,0.88714
2020,1st Quintile,West,Yes,0.84098,2234,2615,0.82697,0.85500
2020,1st Quintile,West,No,0.10480,381,2615,0.09306,0.11655
2020,1st Quintile,East,Yes,0.87465,732,814,0.85189,0.89741
2020,1st Quintile,East,No,0.09238,82,814,0.07248,0.11229
2020,2nd Quintile,West,Yes,0.93294,2230,2470,0.92308,0.94281
2020,2nd Quintile,West,No,0.06058,240,2470,0.05117,0.06999
2020,2nd Quintile,East,Yes,0.93801,815,860,0.92189,0.95414
2020,2nd Quintile,East,No,0.06067,45,860,0.04471,0.07664
2020,3rd Quintile,West,Yes,0.93778,2066,2223,0.92773,0.94782
2020,3rd Quintile,West,No,0.06112,157,2223,0.05116,0.07108
2020,3rd Quintile,East,Yes,0.96496,624,658,0.95090,0.97902
2020,3rd Quintile,East,No,0.03372,34,658,0.01992,0.04753
2020,4th Quintile,West,Yes,0.95061,2231,2343,0.94184,0.95939
2020,4th Quintile,West,No,0.04822,112,2343,0.03954,0.05689
2020,4th Quintile,East,Yes,0.94209,494,494,0.92147,0.96271
2020,5th Quintile,West,Yes,0.96498,3062,3170,0.95858,0.97138
2020,5th Quintile,West,No,0.03462,108,3170,0.02825,0.04099
2020,5th Quintile,East,Yes,0.96941,566,566,0.95521,0.98361
2021,1st Quintile,West,Yes,0.72769,1138,1294,0.70343,0.75196
2021,1st Quintile,West,No,0.09946,156,1294,0.08315,0.11577
2021,1st Quintile,East,Yes,0.82268,441,478,0.78840,0.85695
2021,1st Quintile,East,No,0.04643,37,478,0.02755,0.06531
2021,2nd Quintile,West,Yes,0.83551,1336,1456,0.81647,0.85456
2021,2nd Quintile,West,No,0.05994,120,1456,0.04774,0.07214
2021,2nd Quintile,East,Yes,0.85790,500,500,0.82727,0.88854
2021,3rd Quintile,West,Yes,0.85294,1328,1413,0.83447,0.87142
2021,3rd Quintile,West,No,0.05483,85,1413,0.04296,0.06671
2021,3rd Quintile,East,Yes,0.85144,413,413,0.81710,0.88578
2021,4th Quintile,West,Yes,0.86177,1468,1536,0.84451,0.87904
2021,4th Quintile,West,No,0.03071,68,1536,0.02208,0.03934
2021,4th Quintile,East,Yes,0.87143,346,346,0.83611,0.90675
2021,5th Quintile,West,Yes,0.87754,1992,2062,0.86339,0.89169
2021,5th Quintile,West,No,0.02927,70,2062,0.02199,0.03655
2021,5th Quintile,East,Yes,0.84536,368,368,0.80837,0.88235
2022,1st Quintile,West,Yes,0.84641,2948,3372,0.83424,0.85858
2022,1st Quintile,West,No,0.11710,424,3372,0.10625,0.12795
2022,1st Quintile,East,Yes,0.88183,1008,1120,0.86291,0.90074
2022,1st Quintile,East,No,0.09150,112,1120,0.07461,0.10840
2022,2nd Quintile,West,Yes,0.92054,2616,2870,0.91064,0.93043
2022,2nd Quintile,West,No,0.06226,254,2870,0.05341,0.07110
2022,2nd Quintile,East,Yes,0.92818,912,991,0.91210,0.94426
2022,2nd Quintile,East,No,0.05949,79,991,0.04476,0.07423
2022,3rd Quintile,West,Yes,0.93629,2403,2568,0.92684,0.94574
2022,3rd Quintile,West,No,0.05820,165,2568,0.04914,0.06726
2022,3rd Quintile,East,Yes,0.94792,767,817,0.93268,0.96317
2022,3rd Quintile,East,No,0.04901,50,817,0.03420,0.06382
2022,4th Quintile,West,Yes,0.95332,2648,2775,0.94547,0.96117
2022,4th Quintile,West,No,0.04276,127,2775,0.03523,0.05029
2022,4th Quintile,East,Yes,0.95694,609,609,0.94080,0.97307
2022,5th Quintile,West,Yes,0.96279,3141,3247,0.95627,0.96930
2022,5th Quintile,West,No,0.03452,106,3247,0.02824,0.04080
2022,5th Quintile,East,Yes,0.96957,564,564,0.95538,0.98376
