"pli0093_h","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Min 1x pro Woche","1993","(noch) kein Abschluss","maennlich","","","",""
"Min 1x pro Woche","1993","(noch) kein Abschluss","weiblich","","","",""
"Min 1x pro Woche","1993","Hauptschule","maennlich","","","",""
"Min 1x pro Woche","1993","Hauptschule","weiblich","","","",""
"Min 1x pro Woche","1993","Realschule","maennlich","","","",""
"Min 1x pro Woche","1993","Realschule","weiblich","","","",""
"Min 1x pro Woche","1993","(Fach-)Abitur","maennlich","","","",""
"Min 1x pro Woche","1993","(Fach-)Abitur","weiblich","","","",""
"Min 1x pro Woche","1993","AkademikerIn","maennlich","","","",""
"Min 1x pro Woche","1993","AkademikerIn","weiblich","","","",""
"Min 1x pro Monat","1993","(noch) kein Abschluss","maennlich","","","",""
"Min 1x pro Monat","1993","(noch) kein Abschluss","weiblich","","","",""
"Min 1x pro Monat","1993","Hauptschule","maennlich","","","",""
"Min 1x pro Monat","1993","Hauptschule","weiblich","","","",""
"Min 1x pro Monat","1993","Realschule","maennlich","","","",""
"Min 1x pro Monat","1993","Realschule","weiblich","","","",""
"Min 1x pro Monat","1993","(Fach-)Abitur","maennlich","","","",""
"Min 1x pro Monat","1993","(Fach-)Abitur","weiblich","","","",""
"Min 1x pro Monat","1993","AkademikerIn","maennlich","","","",""
"Min 1x pro Monat","1993","AkademikerIn","weiblich","","","",""
"Seltener","1993","(noch) kein Abschluss","maennlich","","","",""
"Seltener","1993","(noch) kein Abschluss","weiblich","","","",""
"Seltener","1993","Hauptschule","maennlich","","","",""
"Seltener","1993","Hauptschule","weiblich","","","",""
"Seltener","1993","Realschule","maennlich","","","",""
"Seltener","1993","Realschule","weiblich","","","",""
"Seltener","1993","(Fach-)Abitur","maennlich","","","",""
"Seltener","1993","(Fach-)Abitur","weiblich","","","",""
"Seltener","1993","AkademikerIn","maennlich","","","",""
"Seltener","1993","AkademikerIn","weiblich","","","",""
"Nie","1993","(noch) kein Abschluss","maennlich","","","",""
"Nie","1993","(noch) kein Abschluss","weiblich","","","",""
"Nie","1993","Hauptschule","maennlich","","","",""
"Nie","1993","Hauptschule","weiblich","","","",""
"Nie","1993","Realschule","maennlich","","","",""
"Nie","1993","Realschule","weiblich","","","",""
"Nie","1993","(Fach-)Abitur","maennlich","","","",""
"Nie","1993","(Fach-)Abitur","weiblich","","","",""
"Nie","1993","AkademikerIn","maennlich","","","",""
"Nie","1993","AkademikerIn","weiblich","","","",""
"Taeglich","1994","(noch) kein Abschluss","maennlich","","","",""
"Taeglich","1994","(noch) kein Abschluss","weiblich","","","",""
"Taeglich","1994","Hauptschule","maennlich","","","",""
"Taeglich","1994","Hauptschule","weiblich","","","",""
"Taeglich","1994","Realschule","maennlich","","","",""
"Taeglich","1994","Realschule","weiblich","","","",""
"Taeglich","1994","(Fach-)Abitur","maennlich","","","",""
"Taeglich","1994","(Fach-)Abitur","weiblich","","","",""
"Taeglich","1994","AkademikerIn","maennlich","","","",""
"Taeglich","1994","AkademikerIn","weiblich","","","",""
"Min 1x pro Woche","1994","(noch) kein Abschluss","maennlich","","","",""
"Min 1x pro Woche","1994","(noch) kein Abschluss","weiblich","","","",""
"Min 1x pro Woche","1994","Hauptschule","maennlich","","","",""
"Min 1x pro Woche","1994","Hauptschule","weiblich","","","",""
"Min 1x pro Woche","1994","Realschule","maennlich","","","",""
"Min 1x pro Woche","1994","Realschule","weiblich","","","",""
"Min 1x pro Woche","1994","(Fach-)Abitur","maennlich","","","",""
"Min 1x pro Woche","1994","(Fach-)Abitur","weiblich","","","",""
"Min 1x pro Woche","1994","AkademikerIn","maennlich","","","",""
"Min 1x pro Woche","1994","AkademikerIn","weiblich","","","",""
"Min 1x pro Monat","1994","(noch) kein Abschluss","maennlich","","","",""
"Min 1x pro Monat","1994","(noch) kein Abschluss","weiblich","","","",""
"Min 1x pro Monat","1994","Hauptschule","maennlich","","","",""
"Min 1x pro Monat","1994","Hauptschule","weiblich","","","",""
"Min 1x pro Monat","1994","Realschule","maennlich","","","",""
"Min 1x pro Monat","1994","Realschule","weiblich","","","",""
"Min 1x pro Monat","1994","(Fach-)Abitur","maennlich","","","",""
"Min 1x pro Monat","1994","(Fach-)Abitur","weiblich","","","",""
"Min 1x pro Monat","1994","AkademikerIn","maennlich","","","",""
"Min 1x pro Monat","1994","AkademikerIn","weiblich","","","",""
"Seltener","1994","(noch) kein Abschluss","maennlich","","","",""
"Seltener","1994","(noch) kein Abschluss","weiblich","","","",""
"Seltener","1994","Hauptschule","maennlich","","","",""
"Seltener","1994","Hauptschule","weiblich","","","",""
"Seltener","1994","Realschule","maennlich","","","",""
"Seltener","1994","Realschule","weiblich","","","",""
"Seltener","1994","(Fach-)Abitur","maennlich","","","",""
"Seltener","1994","(Fach-)Abitur","weiblich","","","",""
"Seltener","1994","AkademikerIn","maennlich","","","",""
"Seltener","1994","AkademikerIn","weiblich","","","",""
"Nie","1994","(noch) kein Abschluss","maennlich","","","",""
"Nie","1994","(noch) kein Abschluss","weiblich","","","",""
"Nie","1994","Hauptschule","maennlich","","","",""
"Nie","1994","Hauptschule","weiblich","","","",""
"Nie","1994","Realschule","maennlich","","","",""
"Nie","1994","Realschule","weiblich","","","",""
"Nie","1994","(Fach-)Abitur","maennlich","","","",""
"Nie","1994","(Fach-)Abitur","weiblich","","","",""
"Nie","1994","AkademikerIn","maennlich","","","",""
"Nie","1994","AkademikerIn","weiblich","","","",""
"Taeglich","1995","(noch) kein Abschluss","maennlich","14","","",""
"Taeglich","1995","(noch) kein Abschluss","weiblich","22","","",""
"Taeglich","1995","Hauptschule","maennlich","47","0.0166762363940011","0.0120654016816311","0.021287071106371"
"Taeglich","1995","Hauptschule","weiblich","54","0.0181487765168867","0.0134617664562253","0.0228357865775481"
"Taeglich","1995","Realschule","maennlich","30","0.0309995534729155","0.0217984509301172","0.0402006560157139"
"Taeglich","1995","Realschule","weiblich","51","0.0317023756744689","0.023460547278221","0.0399442040707167"
"Taeglich","1995","(Fach-)Abitur","maennlich","26","","",""
"Taeglich","1995","(Fach-)Abitur","weiblich","30","0.0679648758082149","0.0459040638752302","0.0900256877411997"
"Taeglich","1995","AkademikerIn","maennlich","32","0.0363167064021519","0.0244455153014506","0.0481878975028533"
"Taeglich","1995","AkademikerIn","weiblich","31","0.0533188609536812","0.0377015297547452","0.0689361921526172"
"Min 1x pro Woche","1995","(noch) kein Abschluss","maennlich","29","","",""
"Min 1x pro Woche","1995","(noch) kein Abschluss","weiblich","47","0.156753042538039","0.124396463203352","0.189109621872727"
"Min 1x pro Woche","1995","Hauptschule","maennlich","178","","",""
"Min 1x pro Woche","1995","Hauptschule","weiblich","163","","",""
"Min 1x pro Woche","1995","Realschule","maennlich","91","0.0772733085778256","0.0630973818861906","0.0914492352694607"
"Min 1x pro Woche","1995","Realschule","weiblich","175","","",""
"Min 1x pro Woche","1995","(Fach-)Abitur","maennlich","59","0.119342405717199","0.0923467335787596","0.146338077855638"
"Min 1x pro Woche","1995","(Fach-)Abitur","weiblich","81","0.195060026573945","0.160328091868253","0.229791961279638"
"Min 1x pro Woche","1995","AkademikerIn","maennlich","114","","",""
"Min 1x pro Woche","1995","AkademikerIn","weiblich","118","","",""
"Min 1x pro Monat","1995","(noch) kein Abschluss","maennlich","17","","",""
"Min 1x pro Monat","1995","(noch) kein Abschluss","weiblich","24","","",""
"Min 1x pro Monat","1995","Hauptschule","maennlich","184","","",""
"Min 1x pro Monat","1995","Hauptschule","weiblich","176","","",""
"Min 1x pro Monat","1995","Realschule","maennlich","107","","",""
"Min 1x pro Monat","1995","Realschule","weiblich","196","","",""
"Min 1x pro Monat","1995","(Fach-)Abitur","maennlich","64","0.112354158919171","0.086057071721346","0.138651246116996"
"Min 1x pro Monat","1995","(Fach-)Abitur","weiblich","63","0.149329180492376","0.118088808435489","0.180569552549262"
"Min 1x pro Monat","1995","AkademikerIn","maennlich","126","","",""
"Min 1x pro Monat","1995","AkademikerIn","weiblich","111","","",""
"Seltener","1995","(noch) kein Abschluss","maennlich","59","0.162730176025277","0.126143203102663","0.19931714894789"
"Seltener","1995","(noch) kein Abschluss","weiblich","77","0.162502448313755","0.129670326602326","0.195334570025184"
"Seltener","1995","Hauptschule","maennlich","708","0.248216696078541","0.232662624300863","0.263770767856219"
"Seltener","1995","Hauptschule","weiblich","732","0.234636809066465","0.219757552782012","0.249516065350918"
"Seltener","1995","Realschule","maennlich","481","0.361859364823369","0.33634831849118","0.387370411155558"
"Seltener","1995","Realschule","weiblich","646","0.389198896322116","0.366263358040661","0.412134434603571"
"Seltener","1995","(Fach-)Abitur","maennlich","187","","",""
"Seltener","1995","(Fach-)Abitur","weiblich","165","","",""
"Seltener","1995","AkademikerIn","maennlich","352","0.356600573465819","0.326205355853498","0.386995791078139"
"Seltener","1995","AkademikerIn","weiblich","298","","",""
"Nie","1995","(noch) kein Abschluss","maennlich","272","","",""
"Nie","1995","(noch) kein Abschluss","weiblich","315","0.550328443588784","0.506055753594581","0.594601133582987"
"Nie","1995","Hauptschule","maennlich","1846","","",""
"Nie","1995","Hauptschule","weiblich","1991","","",""
"Nie","1995","Realschule","maennlich","654","0.451516792460144","0.425097645884144","0.477935939036144"
"Nie","1995","Realschule","weiblich","668","0.364695501791463","0.34205273992535","0.387338263657576"
"Nie","1995","(Fach-)Abitur","maennlich","218","","",""
"Nie","1995","(Fach-)Abitur","weiblich","161","","",""
"Nie","1995","AkademikerIn","maennlich","330","0.321621099218469","0.291980816924269","0.351261381512668"
"Nie","1995","AkademikerIn","weiblich","237","","",""
"Taeglich","1996","(noch) kein Abschluss","maennlich","","","",""
"Taeglich","1996","(noch) kein Abschluss","weiblich","","","",""
"Taeglich","1996","Hauptschule","maennlich","","","",""
"Taeglich","1996","Hauptschule","weiblich","","","",""
"Taeglich","1996","Realschule","maennlich","","","",""
"Taeglich","1996","Realschule","weiblich","","","",""
"Taeglich","1996","(Fach-)Abitur","maennlich","","","",""
"Taeglich","1996","(Fach-)Abitur","weiblich","","","",""
"Taeglich","1996","AkademikerIn","maennlich","","","",""
"Taeglich","1996","AkademikerIn","weiblich","","","",""
"Min 1x pro Woche","1996","(noch) kein Abschluss","maennlich","","","",""
"Min 1x pro Woche","1996","(noch) kein Abschluss","weiblich","","","",""
"Min 1x pro Woche","1996","Hauptschule","maennlich","","","",""
"Min 1x pro Woche","1996","Hauptschule","weiblich","","","",""
"Min 1x pro Woche","1996","Realschule","maennlich","","","",""
"Min 1x pro Woche","1996","Realschule","weiblich","","","",""
"Min 1x pro Woche","1996","(Fach-)Abitur","maennlich","","","",""
"Min 1x pro Woche","1996","(Fach-)Abitur","weiblich","","","",""
"Min 1x pro Woche","1996","AkademikerIn","maennlich","","","",""
"Min 1x pro Woche","1996","AkademikerIn","weiblich","","","",""
"Min 1x pro Monat","1996","(noch) kein Abschluss","maennlich","","","",""
"Min 1x pro Monat","1996","(noch) kein Abschluss","weiblich","","","",""
"Min 1x pro Monat","1996","Hauptschule","maennlich","","","",""
"Min 1x pro Monat","1996","Hauptschule","weiblich","","","",""
"Min 1x pro Monat","1996","Realschule","maennlich","","","",""
"Min 1x pro Monat","1996","Realschule","weiblich","","","",""
"Min 1x pro Monat","1996","(Fach-)Abitur","maennlich","","","",""
"Min 1x pro Monat","1996","(Fach-)Abitur","weiblich","","","",""
"Min 1x pro Monat","1996","AkademikerIn","maennlich","","","",""
"Min 1x pro Monat","1996","AkademikerIn","weiblich","","","",""
"Seltener","1996","(noch) kein Abschluss","maennlich","","","",""
"Seltener","1996","(noch) kein Abschluss","weiblich","","","",""
"Seltener","1996","Hauptschule","maennlich","","","",""
"Seltener","1996","Hauptschule","weiblich","","","",""
"Seltener","1996","Realschule","maennlich","","","",""
"Seltener","1996","Realschule","weiblich","","","",""
"Seltener","1996","(Fach-)Abitur","maennlich","","","",""
"Seltener","1996","(Fach-)Abitur","weiblich","","","",""
"Seltener","1996","AkademikerIn","maennlich","","","",""
"Seltener","1996","AkademikerIn","weiblich","","","",""
"Nie","1996","(noch) kein Abschluss","maennlich","","","",""
"Nie","1996","(noch) kein Abschluss","weiblich","","","",""
"Nie","1996","Hauptschule","maennlich","","","",""
"Nie","1996","Hauptschule","weiblich","","","",""
"Nie","1996","Realschule","maennlich","","","",""
"Nie","1996","Realschule","weiblich","","","",""
"Nie","1996","(Fach-)Abitur","maennlich","","","",""
"Nie","1996","(Fach-)Abitur","weiblich","","","",""
"Nie","1996","AkademikerIn","maennlich","","","",""
"Nie","1996","AkademikerIn","weiblich","","","",""
"Taeglich","1997","(noch) kein Abschluss","maennlich","","","",""
"Taeglich","1997","(noch) kein Abschluss","weiblich","","","",""
"Taeglich","1997","Hauptschule","maennlich","","","",""
"Taeglich","1997","Hauptschule","weiblich","","","",""
"Taeglich","1997","Realschule","maennlich","","","",""
"Taeglich","1997","Realschule","weiblich","","","",""
"Taeglich","1997","(Fach-)Abitur","maennlich","","","",""
"Taeglich","1997","(Fach-)Abitur","weiblich","","","",""
"Taeglich","1997","AkademikerIn","maennlich","","","",""
"Taeglich","1997","AkademikerIn","weiblich","","","",""
"Min 1x pro Woche","1997","(noch) kein Abschluss","maennlich","","","",""
"Min 1x pro Woche","1997","(noch) kein Abschluss","weiblich","","","",""
"Min 1x pro Woche","1997","Hauptschule","maennlich","","","",""
"Min 1x pro Woche","1997","Hauptschule","weiblich","","","",""
"Min 1x pro Woche","1997","Realschule","maennlich","","","",""
"Min 1x pro Woche","1997","Realschule","weiblich","","","",""
"Min 1x pro Woche","1997","(Fach-)Abitur","maennlich","","","",""
"Min 1x pro Woche","1997","(Fach-)Abitur","weiblich","","","",""
"Min 1x pro Woche","1997","AkademikerIn","maennlich","","","",""
"Min 1x pro Woche","1997","AkademikerIn","weiblich","","","",""
"Min 1x pro Monat","1997","(noch) kein Abschluss","maennlich","","","",""
"Min 1x pro Monat","1997","(noch) kein Abschluss","weiblich","","","",""
"Min 1x pro Monat","1997","Hauptschule","maennlich","","","",""
"Min 1x pro Monat","1997","Hauptschule","weiblich","","","",""
"Min 1x pro Monat","1997","Realschule","maennlich","","","",""
"Min 1x pro Monat","1997","Realschule","weiblich","","","",""
"Min 1x pro Monat","1997","(Fach-)Abitur","maennlich","","","",""
"Min 1x pro Monat","1997","(Fach-)Abitur","weiblich","","","",""
"Min 1x pro Monat","1997","AkademikerIn","maennlich","","","",""
"Min 1x pro Monat","1997","AkademikerIn","weiblich","","","",""
"Seltener","1997","(noch) kein Abschluss","maennlich","","","",""
"Seltener","1997","(noch) kein Abschluss","weiblich","","","",""
"Seltener","1997","Hauptschule","maennlich","","","",""
"Seltener","1997","Hauptschule","weiblich","","","",""
"Seltener","1997","Realschule","maennlich","","","",""
"Seltener","1997","Realschule","weiblich","","","",""
"Seltener","1997","(Fach-)Abitur","maennlich","","","",""
"Seltener","1997","(Fach-)Abitur","weiblich","","","",""
"Seltener","1997","AkademikerIn","maennlich","","","",""
"Seltener","1997","AkademikerIn","weiblich","","","",""
"Nie","1997","(noch) kein Abschluss","maennlich","","","",""
"Nie","1997","(noch) kein Abschluss","weiblich","","","",""
"Nie","1997","Hauptschule","maennlich","","","",""
"Nie","1997","Hauptschule","weiblich","","","",""
"Nie","1997","Realschule","maennlich","","","",""
"Nie","1997","Realschule","weiblich","","","",""
"Nie","1997","(Fach-)Abitur","maennlich","","","",""
"Nie","1997","(Fach-)Abitur","weiblich","","","",""
"Nie","1997","AkademikerIn","maennlich","","","",""
"Nie","1997","AkademikerIn","weiblich","","","",""
"Taeglich","1998","(noch) kein Abschluss","maennlich","9","0.0497080694269229","0.0274416945196519","0.071974444334194"
"Taeglich","1998","(noch) kein Abschluss","weiblich","20","","",""
"Taeglich","1998","Hauptschule","maennlich","47","0.0171019654207023","0.0124586635072492","0.0217452673341555"
"Taeglich","1998","Hauptschule","weiblich","37","0.0106004873840836","0.00701328962170769","0.0141876851464595"
"Taeglich","1998","Realschule","maennlich","30","0.0205399391100012","0.0133976945602271","0.0276821836597753"
"Taeglich","1998","Realschule","weiblich","46","0.0247277784999948","0.0176760246919331","0.0317795323080565"
"Taeglich","1998","(Fach-)Abitur","maennlich","20","","",""
"Taeglich","1998","(Fach-)Abitur","weiblich","28","","",""
"Taeglich","1998","AkademikerIn","maennlich","38","0.0454998227202683","0.0330013967078566","0.0579982487326799"
"Taeglich","1998","AkademikerIn","weiblich","28","","",""
"Min 1x pro Woche","1998","(noch) kein Abschluss","maennlich","23","","",""
"Min 1x pro Woche","1998","(noch) kein Abschluss","weiblich","48","0.140036882728787","0.108080315594792","0.171993449862782"
"Min 1x pro Woche","1998","Hauptschule","maennlich","144","","",""
"Min 1x pro Woche","1998","Hauptschule","weiblich","150","","",""
"Min 1x pro Woche","1998","Realschule","maennlich","98","0.0761421079669802","0.0627867107573138","0.0894975051766466"
"Min 1x pro Woche","1998","Realschule","weiblich","194","","",""
"Min 1x pro Woche","1998","(Fach-)Abitur","maennlich","60","0.118264918761301","0.0914474661135351","0.145082371409066"
