"pli0093_h","year","bula_h","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nie","1995","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Nie","1995","Bayern","Westdeutschland","763","0.449880475098504","0.426049189773518","0.473711760423489"
"Nie","1995","Bayern","Ostdeutschland","","","",""
"Nie","1995","Saarland","Westdeutschland","","","",""
"Nie","1995","Saarland","Ostdeutschland","","","",""
"Nie","1995","Berlin","Westdeutschland","154","0.448969159010628","0.394128740846973","0.503809577174283"
"Nie","1995","Berlin","Ostdeutschland","108","0.459398152820772","0.396996163648046","0.521800141993497"
"Nie","1995","Brandenburg","Westdeutschland","","","",""
"Nie","1995","Brandenburg","Ostdeutschland","305","0.533928286320009","0.493504406350201","0.574352166289817"
"Nie","1995","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Nie","1995","Mecklenburg-Vorpommern","Ostdeutschland","190","0.50084834987238","0.452568171913906","0.549128527830854"
"Nie","1995","Sachsen","Westdeutschland","","","",""
"Nie","1995","Sachsen","Ostdeutschland","586","0.567924600646732","0.538543917979729","0.597305283313734"
"Nie","1995","Sachsen-Anhalt","Westdeutschland","","","",""
"Nie","1995","Sachsen-Anhalt","Ostdeutschland","382","0.612964958460152","0.576489918803914","0.64943999811639"
"Nie","1995","Thueringen","Westdeutschland","","","",""
"Nie","1995","Thueringen","Ostdeutschland","330","0.567880533971662","0.529739628902321","0.606021439041003"
"Taeglich","1996","Schleswig-Holstein","Westdeutschland","","","",""
"Taeglich","1996","Schleswig-Holstein","Ostdeutschland","","","",""
"Taeglich","1996","Hamburg","Westdeutschland","","","",""
"Taeglich","1996","Hamburg","Ostdeutschland","","","",""
"Taeglich","1996","Niedersachsen","Westdeutschland","","","",""
"Taeglich","1996","Niedersachsen","Ostdeutschland","","","",""
"Taeglich","1996","Bremen","Westdeutschland","","","",""
"Taeglich","1996","Bremen","Ostdeutschland","","","",""
"Taeglich","1996","Nordrhein-Westfalen","Westdeutschland","","","",""
"Taeglich","1996","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Taeglich","1996","Hessen","Westdeutschland","","","",""
"Taeglich","1996","Hessen","Ostdeutschland","","","",""
"Taeglich","1996","Rheinland-Pfalz,Saarland","Westdeutschland","","","",""
"Taeglich","1996","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Taeglich","1996","Baden-Wuerttemberg","Westdeutschland","","","",""
"Taeglich","1996","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Taeglich","1996","Bayern","Westdeutschland","","","",""
"Taeglich","1996","Bayern","Ostdeutschland","","","",""
"Taeglich","1996","Saarland","Westdeutschland","","","",""
"Taeglich","1996","Saarland","Ostdeutschland","","","",""
"Taeglich","1996","Berlin","Westdeutschland","","","",""
"Taeglich","1996","Berlin","Ostdeutschland","","","",""
"Taeglich","1996","Brandenburg","Westdeutschland","","","",""
"Taeglich","1996","Brandenburg","Ostdeutschland","","","",""
"Taeglich","1996","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Taeglich","1996","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Taeglich","1996","Sachsen","Westdeutschland","","","",""
"Taeglich","1996","Sachsen","Ostdeutschland","","","",""
"Taeglich","1996","Sachsen-Anhalt","Westdeutschland","","","",""
"Taeglich","1996","Sachsen-Anhalt","Ostdeutschland","","","",""
"Taeglich","1996","Thueringen","Westdeutschland","","","",""
"Taeglich","1996","Thueringen","Ostdeutschland","","","",""
"Min 1x pro Woche","1996","Schleswig-Holstein","Westdeutschland","","","",""
"Min 1x pro Woche","1996","Schleswig-Holstein","Ostdeutschland","","","",""
"Min 1x pro Woche","1996","Hamburg","Westdeutschland","","","",""
"Min 1x pro Woche","1996","Hamburg","Ostdeutschland","","","",""
"Min 1x pro Woche","1996","Niedersachsen","Westdeutschland","","","",""
"Min 1x pro Woche","1996","Niedersachsen","Ostdeutschland","","","",""
"Min 1x pro Woche","1996","Bremen","Westdeutschland","","","",""
"Min 1x pro Woche","1996","Bremen","Ostdeutschland","","","",""
"Min 1x pro Woche","1996","Nordrhein-Westfalen","Westdeutschland","","","",""
"Min 1x pro Woche","1996","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Min 1x pro Woche","1996","Hessen","Westdeutschland","","","",""
"Min 1x pro Woche","1996","Hessen","Ostdeutschland","","","",""
"Min 1x pro Woche","1996","Rheinland-Pfalz,Saarland","Westdeutschland","","","",""
"Min 1x pro Woche","1996","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Min 1x pro Woche","1996","Baden-Wuerttemberg","Westdeutschland","","","",""
"Min 1x pro Woche","1996","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Min 1x pro Woche","1996","Bayern","Westdeutschland","","","",""
"Min 1x pro Woche","1996","Bayern","Ostdeutschland","","","",""
"Min 1x pro Woche","1996","Saarland","Westdeutschland","","","",""
"Min 1x pro Woche","1996","Saarland","Ostdeutschland","","","",""
"Min 1x pro Woche","1996","Berlin","Westdeutschland","","","",""
"Min 1x pro Woche","1996","Berlin","Ostdeutschland","","","",""
"Min 1x pro Woche","1996","Brandenburg","Westdeutschland","","","",""
"Min 1x pro Woche","1996","Brandenburg","Ostdeutschland","","","",""
"Min 1x pro Woche","1996","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Min 1x pro Woche","1996","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Min 1x pro Woche","1996","Sachsen","Westdeutschland","","","",""
"Min 1x pro Woche","1996","Sachsen","Ostdeutschland","","","",""
"Min 1x pro Woche","1996","Sachsen-Anhalt","Westdeutschland","","","",""
"Min 1x pro Woche","1996","Sachsen-Anhalt","Ostdeutschland","","","",""
"Min 1x pro Woche","1996","Thueringen","Westdeutschland","","","",""
"Min 1x pro Woche","1996","Thueringen","Ostdeutschland","","","",""
"Min 1x pro Monat","1996","Schleswig-Holstein","Westdeutschland","","","",""
"Min 1x pro Monat","1996","Schleswig-Holstein","Ostdeutschland","","","",""
"Min 1x pro Monat","1996","Hamburg","Westdeutschland","","","",""
"Min 1x pro Monat","1996","Hamburg","Ostdeutschland","","","",""
"Min 1x pro Monat","1996","Niedersachsen","Westdeutschland","","","",""
"Min 1x pro Monat","1996","Niedersachsen","Ostdeutschland","","","",""
"Min 1x pro Monat","1996","Bremen","Westdeutschland","","","",""
"Min 1x pro Monat","1996","Bremen","Ostdeutschland","","","",""
"Min 1x pro Monat","1996","Nordrhein-Westfalen","Westdeutschland","","","",""
"Min 1x pro Monat","1996","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Min 1x pro Monat","1996","Hessen","Westdeutschland","","","",""
"Min 1x pro Monat","1996","Hessen","Ostdeutschland","","","",""
"Min 1x pro Monat","1996","Rheinland-Pfalz,Saarland","Westdeutschland","","","",""
"Min 1x pro Monat","1996","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Min 1x pro Monat","1996","Baden-Wuerttemberg","Westdeutschland","","","",""
"Min 1x pro Monat","1996","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Min 1x pro Monat","1996","Bayern","Westdeutschland","","","",""
"Min 1x pro Monat","1996","Bayern","Ostdeutschland","","","",""
"Min 1x pro Monat","1996","Saarland","Westdeutschland","","","",""
"Min 1x pro Monat","1996","Saarland","Ostdeutschland","","","",""
"Min 1x pro Monat","1996","Berlin","Westdeutschland","","","",""
"Min 1x pro Monat","1996","Berlin","Ostdeutschland","","","",""
"Min 1x pro Monat","1996","Brandenburg","Westdeutschland","","","",""
"Min 1x pro Monat","1996","Brandenburg","Ostdeutschland","","","",""
"Min 1x pro Monat","1996","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Min 1x pro Monat","1996","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Min 1x pro Monat","1996","Sachsen","Westdeutschland","","","",""
"Min 1x pro Monat","1996","Sachsen","Ostdeutschland","","","",""
"Min 1x pro Monat","1996","Sachsen-Anhalt","Westdeutschland","","","",""
"Min 1x pro Monat","1996","Sachsen-Anhalt","Ostdeutschland","","","",""
"Min 1x pro Monat","1996","Thueringen","Westdeutschland","","","",""
"Min 1x pro Monat","1996","Thueringen","Ostdeutschland","","","",""
"Seltener","1996","Schleswig-Holstein","Westdeutschland","","","",""
"Seltener","1996","Schleswig-Holstein","Ostdeutschland","","","",""
"Seltener","1996","Hamburg","Westdeutschland","","","",""
"Seltener","1996","Hamburg","Ostdeutschland","","","",""
"Seltener","1996","Niedersachsen","Westdeutschland","","","",""
"Seltener","1996","Niedersachsen","Ostdeutschland","","","",""
"Seltener","1996","Bremen","Westdeutschland","","","",""
"Seltener","1996","Bremen","Ostdeutschland","","","",""
"Seltener","1996","Nordrhein-Westfalen","Westdeutschland","","","",""
"Seltener","1996","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Seltener","1996","Hessen","Westdeutschland","","","",""
"Seltener","1996","Hessen","Ostdeutschland","","","",""
"Seltener","1996","Rheinland-Pfalz,Saarland","Westdeutschland","","","",""
"Seltener","1996","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Seltener","1996","Baden-Wuerttemberg","Westdeutschland","","","",""
"Seltener","1996","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Seltener","1996","Bayern","Westdeutschland","","","",""
"Seltener","1996","Bayern","Ostdeutschland","","","",""
"Seltener","1996","Saarland","Westdeutschland","","","",""
"Seltener","1996","Saarland","Ostdeutschland","","","",""
"Seltener","1996","Berlin","Westdeutschland","","","",""
"Seltener","1996","Berlin","Ostdeutschland","","","",""
"Seltener","1996","Brandenburg","Westdeutschland","","","",""
"Seltener","1996","Brandenburg","Ostdeutschland","","","",""
"Seltener","1996","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Seltener","1996","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Seltener","1996","Sachsen","Westdeutschland","","","",""
"Seltener","1996","Sachsen","Ostdeutschland","","","",""
"Seltener","1996","Sachsen-Anhalt","Westdeutschland","","","",""
"Seltener","1996","Sachsen-Anhalt","Ostdeutschland","","","",""
"Seltener","1996","Thueringen","Westdeutschland","","","",""
"Seltener","1996","Thueringen","Ostdeutschland","","","",""
"Nie","1996","Schleswig-Holstein","Westdeutschland","","","",""
"Nie","1996","Schleswig-Holstein","Ostdeutschland","","","",""
"Nie","1996","Hamburg","Westdeutschland","","","",""
"Nie","1996","Hamburg","Ostdeutschland","","","",""
"Nie","1996","Niedersachsen","Westdeutschland","","","",""
"Nie","1996","Niedersachsen","Ostdeutschland","","","",""
"Nie","1996","Bremen","Westdeutschland","","","",""
"Nie","1996","Bremen","Ostdeutschland","","","",""
"Nie","1996","Nordrhein-Westfalen","Westdeutschland","","","",""
"Nie","1996","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Nie","1996","Hessen","Westdeutschland","","","",""
"Nie","1996","Hessen","Ostdeutschland","","","",""
"Nie","1996","Rheinland-Pfalz,Saarland","Westdeutschland","","","",""
"Nie","1996","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Nie","1996","Baden-Wuerttemberg","Westdeutschland","","","",""
"Nie","1996","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Nie","1996","Bayern","Westdeutschland","","","",""
"Nie","1996","Bayern","Ostdeutschland","","","",""
"Nie","1996","Saarland","Westdeutschland","","","",""
"Nie","1996","Saarland","Ostdeutschland","","","",""
"Nie","1996","Berlin","Westdeutschland","","","",""
"Nie","1996","Berlin","Ostdeutschland","","","",""
"Nie","1996","Brandenburg","Westdeutschland","","","",""
"Nie","1996","Brandenburg","Ostdeutschland","","","",""
"Nie","1996","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Nie","1996","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Nie","1996","Sachsen","Westdeutschland","","","",""
"Nie","1996","Sachsen","Ostdeutschland","","","",""
"Nie","1996","Sachsen-Anhalt","Westdeutschland","","","",""
"Nie","1996","Sachsen-Anhalt","Ostdeutschland","","","",""
"Nie","1996","Thueringen","Westdeutschland","","","",""
"Nie","1996","Thueringen","Ostdeutschland","","","",""
"Taeglich","1997","Schleswig-Holstein","Westdeutschland","","","",""
"Taeglich","1997","Schleswig-Holstein","Ostdeutschland","","","",""
"Taeglich","1997","Hamburg","Westdeutschland","","","",""
"Taeglich","1997","Hamburg","Ostdeutschland","","","",""
"Taeglich","1997","Niedersachsen","Westdeutschland","","","",""
"Taeglich","1997","Niedersachsen","Ostdeutschland","","","",""
"Taeglich","1997","Bremen","Westdeutschland","","","",""
"Taeglich","1997","Bremen","Ostdeutschland","","","",""
"Taeglich","1997","Nordrhein-Westfalen","Westdeutschland","","","",""
"Taeglich","1997","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Taeglich","1997","Hessen","Westdeutschland","","","",""
"Taeglich","1997","Hessen","Ostdeutschland","","","",""
"Taeglich","1997","Rheinland-Pfalz,Saarland","Westdeutschland","","","",""
"Taeglich","1997","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Taeglich","1997","Baden-Wuerttemberg","Westdeutschland","","","",""
"Taeglich","1997","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Taeglich","1997","Bayern","Westdeutschland","","","",""
"Taeglich","1997","Bayern","Ostdeutschland","","","",""
"Taeglich","1997","Saarland","Westdeutschland","","","",""
"Taeglich","1997","Saarland","Ostdeutschland","","","",""
"Taeglich","1997","Berlin","Westdeutschland","","","",""
"Taeglich","1997","Berlin","Ostdeutschland","","","",""
"Taeglich","1997","Brandenburg","Westdeutschland","","","",""
"Taeglich","1997","Brandenburg","Ostdeutschland","","","",""
"Taeglich","1997","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Taeglich","1997","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Taeglich","1997","Sachsen","Westdeutschland","","","",""
"Taeglich","1997","Sachsen","Ostdeutschland","","","",""
"Taeglich","1997","Sachsen-Anhalt","Westdeutschland","","","",""
"Taeglich","1997","Sachsen-Anhalt","Ostdeutschland","","","",""
"Taeglich","1997","Thueringen","Westdeutschland","","","",""
"Taeglich","1997","Thueringen","Ostdeutschland","","","",""
"Min 1x pro Woche","1997","Schleswig-Holstein","Westdeutschland","","","",""
"Min 1x pro Woche","1997","Schleswig-Holstein","Ostdeutschland","","","",""
"Min 1x pro Woche","1997","Hamburg","Westdeutschland","","","",""
"Min 1x pro Woche","1997","Hamburg","Ostdeutschland","","","",""
"Min 1x pro Woche","1997","Niedersachsen","Westdeutschland","","","",""
"Min 1x pro Woche","1997","Niedersachsen","Ostdeutschland","","","",""
"Min 1x pro Woche","1997","Bremen","Westdeutschland","","","",""
"Min 1x pro Woche","1997","Bremen","Ostdeutschland","","","",""
"Min 1x pro Woche","1997","Nordrhein-Westfalen","Westdeutschland","","","",""
"Min 1x pro Woche","1997","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Min 1x pro Woche","1997","Hessen","Westdeutschland","","","",""
"Min 1x pro Woche","1997","Hessen","Ostdeutschland","","","",""
"Min 1x pro Woche","1997","Rheinland-Pfalz,Saarland","Westdeutschland","","","",""
"Min 1x pro Woche","1997","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Min 1x pro Woche","1997","Baden-Wuerttemberg","Westdeutschland","","","",""
"Min 1x pro Woche","1997","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Min 1x pro Woche","1997","Bayern","Westdeutschland","","","",""
"Min 1x pro Woche","1997","Bayern","Ostdeutschland","","","",""
"Min 1x pro Woche","1997","Saarland","Westdeutschland","","","",""
"Min 1x pro Woche","1997","Saarland","Ostdeutschland","","","",""
"Min 1x pro Woche","1997","Berlin","Westdeutschland","","","",""
"Min 1x pro Woche","1997","Berlin","Ostdeutschland","","","",""
"Min 1x pro Woche","1997","Brandenburg","Westdeutschland","","","",""
"Min 1x pro Woche","1997","Brandenburg","Ostdeutschland","","","",""
"Min 1x pro Woche","1997","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Min 1x pro Woche","1997","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Min 1x pro Woche","1997","Sachsen","Westdeutschland","","","",""
"Min 1x pro Woche","1997","Sachsen","Ostdeutschland","","","",""
"Min 1x pro Woche","1997","Sachsen-Anhalt","Westdeutschland","","","",""
"Min 1x pro Woche","1997","Sachsen-Anhalt","Ostdeutschland","","","",""
"Min 1x pro Woche","1997","Thueringen","Westdeutschland","","","",""
"Min 1x pro Woche","1997","Thueringen","Ostdeutschland","","","",""
"Min 1x pro Monat","1997","Schleswig-Holstein","Westdeutschland","","","",""
"Min 1x pro Monat","1997","Schleswig-Holstein","Ostdeutschland","","","",""
"Min 1x pro Monat","1997","Hamburg","Westdeutschland","","","",""
"Min 1x pro Monat","1997","Hamburg","Ostdeutschland","","","",""
"Min 1x pro Monat","1997","Niedersachsen","Westdeutschland","","","",""
"Min 1x pro Monat","1997","Niedersachsen","Ostdeutschland","","","",""
"Min 1x pro Monat","1997","Bremen","Westdeutschland","","","",""
"Min 1x pro Monat","1997","Bremen","Ostdeutschland","","","",""
"Min 1x pro Monat","1997","Nordrhein-Westfalen","Westdeutschland","","","",""
"Min 1x pro Monat","1997","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Min 1x pro Monat","1997","Hessen","Westdeutschland","","","",""
"Min 1x pro Monat","1997","Hessen","Ostdeutschland","","","",""
"Min 1x pro Monat","1997","Rheinland-Pfalz,Saarland","Westdeutschland","","","",""
"Min 1x pro Monat","1997","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Min 1x pro Monat","1997","Baden-Wuerttemberg","Westdeutschland","","","",""
"Min 1x pro Monat","1997","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Min 1x pro Monat","1997","Bayern","Westdeutschland","","","",""
"Min 1x pro Monat","1997","Bayern","Ostdeutschland","","","",""
"Min 1x pro Monat","1997","Saarland","Westdeutschland","","","",""
"Min 1x pro Monat","1997","Saarland","Ostdeutschland","","","",""
"Min 1x pro Monat","1997","Berlin","Westdeutschland","","","",""
"Min 1x pro Monat","1997","Berlin","Ostdeutschland","","","",""
"Min 1x pro Monat","1997","Brandenburg","Westdeutschland","","","",""
"Min 1x pro Monat","1997","Brandenburg","Ostdeutschland","","","",""
"Min 1x pro Monat","1997","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Min 1x pro Monat","1997","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Min 1x pro Monat","1997","Sachsen","Westdeutschland","","","",""
"Min 1x pro Monat","1997","Sachsen","Ostdeutschland","","","",""
"Min 1x pro Monat","1997","Sachsen-Anhalt","Westdeutschland","","","",""
"Min 1x pro Monat","1997","Sachsen-Anhalt","Ostdeutschland","","","",""
"Min 1x pro Monat","1997","Thueringen","Westdeutschland","","","",""
"Min 1x pro Monat","1997","Thueringen","Ostdeutschland","","","",""
"Seltener","1997","Schleswig-Holstein","Westdeutschland","","","",""
"Seltener","1997","Schleswig-Holstein","Ostdeutschland","","","",""
"Seltener","1997","Hamburg","Westdeutschland","","","",""
"Seltener","1997","Hamburg","Ostdeutschland","","","",""
"Seltener","1997","Niedersachsen","Westdeutschland","","","",""
"Seltener","1997","Niedersachsen","Ostdeutschland","","","",""
"Seltener","1997","Bremen","Westdeutschland","","","",""
"Seltener","1997","Bremen","Ostdeutschland","","","",""
"Seltener","1997","Nordrhein-Westfalen","Westdeutschland","","","",""
"Seltener","1997","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Seltener","1997","Hessen","Westdeutschland","","","",""
"Seltener","1997","Hessen","Ostdeutschland","","","",""
"Seltener","1997","Rheinland-Pfalz,Saarland","Westdeutschland","","","",""
"Seltener","1997","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Seltener","1997","Baden-Wuerttemberg","Westdeutschland","","","",""
"Seltener","1997","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Seltener","1997","Bayern","Westdeutschland","","","",""
"Seltener","1997","Bayern","Ostdeutschland","","","",""
"Seltener","1997","Saarland","Westdeutschland","","","",""
"Seltener","1997","Saarland","Ostdeutschland","","","",""
"Seltener","1997","Berlin","Westdeutschland","","","",""
"Seltener","1997","Berlin","Ostdeutschland","","","",""
"Seltener","1997","Brandenburg","Westdeutschland","","","",""
"Seltener","1997","Brandenburg","Ostdeutschland","","","",""
"Seltener","1997","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Seltener","1997","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Seltener","1997","Sachsen","Westdeutschland","","","",""
"Seltener","1997","Sachsen","Ostdeutschland","","","",""
"Seltener","1997","Sachsen-Anhalt","Westdeutschland","","","",""
"Seltener","1997","Sachsen-Anhalt","Ostdeutschland","","","",""
"Seltener","1997","Thueringen","Westdeutschland","","","",""
"Seltener","1997","Thueringen","Ostdeutschland","","","",""
"Nie","1997","Schleswig-Holstein","Westdeutschland","","","",""
"Nie","1997","Schleswig-Holstein","Ostdeutschland","","","",""
"Nie","1997","Hamburg","Westdeutschland","","","",""
"Nie","1997","Hamburg","Ostdeutschland","","","",""
"Nie","1997","Niedersachsen","Westdeutschland","","","",""
"Nie","1997","Niedersachsen","Ostdeutschland","","","",""
"Nie","1997","Bremen","Westdeutschland","","","",""
"Nie","1997","Bremen","Ostdeutschland","","","",""
"Nie","1997","Nordrhein-Westfalen","Westdeutschland","","","",""
"Nie","1997","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Nie","1997","Hessen","Westdeutschland","","","",""
"Nie","1997","Hessen","Ostdeutschland","","","",""
"Nie","1997","Rheinland-Pfalz,Saarland","Westdeutschland","","","",""
"Nie","1997","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Nie","1997","Baden-Wuerttemberg","Westdeutschland","","","",""
"Nie","1997","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Nie","1997","Bayern","Westdeutschland","","","",""
"Nie","1997","Bayern","Ostdeutschland","","","",""
"Nie","1997","Saarland","Westdeutschland","","","",""
"Nie","1997","Saarland","Ostdeutschland","","","",""
"Nie","1997","Berlin","Westdeutschland","","","",""
"Nie","1997","Berlin","Ostdeutschland","","","",""
"Nie","1997","Brandenburg","Westdeutschland","","","",""
"Nie","1997","Brandenburg","Ostdeutschland","","","",""
"Nie","1997","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Nie","1997","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Nie","1997","Sachsen","Westdeutschland","","","",""
"Nie","1997","Sachsen","Ostdeutschland","","","",""
"Nie","1997","Sachsen-Anhalt","Westdeutschland","","","",""
"Nie","1997","Sachsen-Anhalt","Ostdeutschland","","","",""
"Nie","1997","Thueringen","Westdeutschland","","","",""
"Nie","1997","Thueringen","Ostdeutschland","","","",""
"Taeglich","1998","Schleswig-Holstein","Westdeutschland","6","","",""
"Taeglich","1998","Schleswig-Holstein","Ostdeutschland","","","",""
"Taeglich","1998","Hamburg","Westdeutschland","6","","",""
"Taeglich","1998","Hamburg","Ostdeutschland","","","",""
"Taeglich","1998","Niedersachsen","Westdeutschland","26","","",""
"Taeglich","1998","Niedersachsen","Ostdeutschland","","","",""
"Taeglich","1998","Bremen","Westdeutschland","5","","",""
"Taeglich","1998","Bremen","Ostdeutschland","","","",""
"Taeglich","1998","Nordrhein-Westfalen","Westdeutschland","74","0.0288181405715745","0.0226358917064653","0.0350003894366836"
"Taeglich","1998","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Taeglich","1998","Hessen","Westdeutschland","28","","",""
"Taeglich","1998","Hessen","Ostdeutschland","","","",""
"Taeglich","1998","Rheinland-Pfalz,Saarland","Westdeutschland","21","","",""
"Taeglich","1998","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Taeglich","1998","Baden-Wuerttemberg","Westdeutschland","30","0.0251097133997011","0.0178697624951351","0.032349664304267"
"Taeglich","1998","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Taeglich","1998","Bayern","Westdeutschland","46","0.0247805792250283","0.017706286417891","0.0318548720321657"
"Taeglich","1998","Bayern","Ostdeutschland","","","",""
"Taeglich","1998","Saarland","Westdeutschland","","","",""
"Taeglich","1998","Saarland","Ostdeutschland","","","",""
"Taeglich","1998","Berlin","Westdeutschland","17","","",""
"Taeglich","1998","Berlin","Ostdeutschland","4","","",""
"Taeglich","1998","Brandenburg","Westdeutschland","","","",""
"Taeglich","1998","Brandenburg","Ostdeutschland","11","","",""
"Taeglich","1998","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Taeglich","1998","Mecklenburg-Vorpommern","Ostdeutschland","4","","",""
"Taeglich","1998","Sachsen","Westdeutschland","","","",""
"Taeglich","1998","Sachsen","Ostdeutschland","23","","",""
"Taeglich","1998","Sachsen-Anhalt","Westdeutschland","","","",""
"Taeglich","1998","Sachsen-Anhalt","Ostdeutschland","9","","",""
"Taeglich","1998","Thueringen","Westdeutschland","","","",""
"Taeglich","1998","Thueringen","Ostdeutschland","9","","",""
"Min 1x pro Woche","1998","Schleswig-Holstein","Westdeutschland","43","0.123900966982766","0.089235480282317","0.158566453683215"
"Min 1x pro Woche","1998","Schleswig-Holstein","Ostdeutschland","","","",""
"Min 1x pro Woche","1998","Hamburg","Westdeutschland","14","","",""
"Min 1x pro Woche","1998","Hamburg","Ostdeutschland","","","",""
"Min 1x pro Woche","1998","Niedersachsen","Westdeutschland","99","0.092546060230324","0.076046203292204","0.109045917168444"
"Min 1x pro Woche","1998","Niedersachsen","Ostdeutschland","","","",""
"Min 1x pro Woche","1998","Bremen","Westdeutschland","10","","",""
"Min 1x pro Woche","1998","Bremen","Ostdeutschland","","","",""
"Min 1x pro Woche","1998","Nordrhein-Westfalen","Westdeutschland","213","0.0840599000185435","0.0738059500059643","0.0943138500311227"
"Min 1x pro Woche","1998","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Min 1x pro Woche","1998","Hessen","Westdeutschland","70","0.0787243523709319","0.0614438400829919","0.0960048646588719"
"Min 1x pro Woche","1998","Hessen","Ostdeutschland","","","",""
"Min 1x pro Woche","1998","Rheinland-Pfalz,Saarland","Westdeutschland","53","0.0792088062878169","0.060471206527801","0.0979464060478328"
"Min 1x pro Woche","1998","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Min 1x pro Woche","1998","Baden-Wuerttemberg","Westdeutschland","153","0.0998593754733121","0.0859858615073959","0.113732889439228"
"Min 1x pro Woche","1998","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Min 1x pro Woche","1998","Bayern","Westdeutschland","179","0.104522464227283","0.0906002503305856","0.11844467812398"
"Min 1x pro Woche","1998","Bayern","Ostdeutschland","","","",""
"Min 1x pro Woche","1998","Saarland","Westdeutschland","","","",""
"Min 1x pro Woche","1998","Saarland","Ostdeutschland","","","",""
"Min 1x pro Woche","1998","Berlin","Westdeutschland","24","","",""
"Min 1x pro Woche","1998","Berlin","Ostdeutschland","24","","",""
"Min 1x pro Woche","1998","Brandenburg","Westdeutschland","","","",""
"Min 1x pro Woche","1998","Brandenburg","Ostdeutschland","43","0.0716866444218936","0.051364515983474","0.0920087728603132"
"Min 1x pro Woche","1998","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Min 1x pro Woche","1998","Mecklenburg-Vorpommern","Ostdeutschland","20","","",""
"Min 1x pro Woche","1998","Sachsen","Westdeutschland","","","",""
"Min 1x pro Woche","1998","Sachsen","Ostdeutschland","77","0.0601334931816614","0.0465113179294694","0.0737556684338534"
"Min 1x pro Woche","1998","Sachsen-Anhalt","Westdeutschland","","","",""
"Min 1x pro Woche","1998","Sachsen-Anhalt","Ostdeutschland","32","0.0335548472995221","0.0200594311975104","0.0470502634015337"
"Min 1x pro Woche","1998","Thueringen","Westdeutschland","","","",""
