"pli0093_h","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Min 1x pro Monat","1995","Staedtischer Raum","weiblich","395","0.0910851110520999","0.0826643339401422","0.0995058881640577"
"Min 1x pro Monat","1995","Laendlicher Raum","maennlich","148","0.0791975936125667","0.067936269739988","0.0904589174851455"
"Min 1x pro Monat","1995","Laendlicher Raum","weiblich","189","0.0845486851276961","0.0732860414911122","0.0958113287642799"
"Seltener","1995","Staedtischer Raum","maennlich","1103","0.277934173121243","0.264327495334297","0.29154085090819"
"Seltener","1995","Staedtischer Raum","weiblich","1204","0.272257427217093","0.259230390826681","0.285284463607506"
"Seltener","1995","Laendlicher Raum","maennlich","715","0.321590831057929","0.302112671614146","0.341068990501711"
"Seltener","1995","Laendlicher Raum","weiblich","763","0.300312564720291","0.281755551533448","0.318869577907133"
"Nie","1995","Staedtischer Raum","maennlich","2243","0.504305334714225","0.48911922146551","0.51949144796294"
"Nie","1995","Staedtischer Raum","weiblich","2328","0.500144703932006","0.485511586647661","0.51477782121635"
"Nie","1995","Laendlicher Raum","maennlich","1172","0.503496786512576","0.482646615736274","0.524346957288877"
"Nie","1995","Laendlicher Raum","weiblich","1155","0.510411462307024","0.490174509566155","0.530648415047893"
"Taeglich","1996","Staedtischer Raum","maennlich","","","",""
"Taeglich","1996","Staedtischer Raum","weiblich","","","",""
"Taeglich","1996","Laendlicher Raum","maennlich","","","",""
"Taeglich","1996","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Woche","1996","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Woche","1996","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Woche","1996","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Woche","1996","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Monat","1996","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Monat","1996","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Monat","1996","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Monat","1996","Laendlicher Raum","weiblich","","","",""
"Seltener","1996","Staedtischer Raum","maennlich","","","",""
"Seltener","1996","Staedtischer Raum","weiblich","","","",""
"Seltener","1996","Laendlicher Raum","maennlich","","","",""
"Seltener","1996","Laendlicher Raum","weiblich","","","",""
"Nie","1996","Staedtischer Raum","maennlich","","","",""
"Nie","1996","Staedtischer Raum","weiblich","","","",""
"Nie","1996","Laendlicher Raum","maennlich","","","",""
"Nie","1996","Laendlicher Raum","weiblich","","","",""
"Taeglich","1997","Staedtischer Raum","maennlich","","","",""
"Taeglich","1997","Staedtischer Raum","weiblich","","","",""
"Taeglich","1997","Laendlicher Raum","maennlich","","","",""
"Taeglich","1997","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Woche","1997","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Woche","1997","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Woche","1997","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Woche","1997","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Monat","1997","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Monat","1997","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Monat","1997","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Monat","1997","Laendlicher Raum","weiblich","","","",""
"Seltener","1997","Staedtischer Raum","maennlich","","","",""
"Seltener","1997","Staedtischer Raum","weiblich","","","",""
"Seltener","1997","Laendlicher Raum","maennlich","","","",""
"Seltener","1997","Laendlicher Raum","weiblich","","","",""
"Nie","1997","Staedtischer Raum","maennlich","","","",""
"Nie","1997","Staedtischer Raum","weiblich","","","",""
"Nie","1997","Laendlicher Raum","maennlich","","","",""
"Nie","1997","Laendlicher Raum","weiblich","","","",""
"Taeglich","1998","Staedtischer Raum","maennlich","110","0.0308253006654326","0.0257257040752617","0.0359248972556035"
"Taeglich","1998","Staedtischer Raum","weiblich","132","0.0288189432563809","0.0240618167242521","0.0335760697885098"
"Taeglich","1998","Laendlicher Raum","maennlich","42","0.0197526656569018","0.0142041052647022","0.0253012260491014"
"Taeglich","1998","Laendlicher Raum","weiblich","35","0.0133657280252084","0.00889457849777678","0.01783687755264"
"Min 1x pro Woche","1998","Staedtischer Raum","maennlich","302","0.0762298763546786","0.0684005266594622","0.0840592260498949"
"Min 1x pro Woche","1998","Staedtischer Raum","weiblich","434","0.0990201619890809","0.0905268920315516","0.10751343194661"
"Min 1x pro Woche","1998","Laendlicher Raum","maennlich","165","0.082088443990469","0.0711428066024489","0.0930340813784892"
"Min 1x pro Woche","1998","Laendlicher Raum","weiblich","197","0.0775134249421504","0.06710192559126","0.0879249242930408"
"Min 1x pro Monat","1998","Staedtischer Raum","maennlich","336","0.0821101408745247","0.0740103312437222","0.0902099505053272"
"Min 1x pro Monat","1998","Staedtischer Raum","weiblich","426","0.0913511704093473","0.0831587794513475","0.0995435613673471"
"Min 1x pro Monat","1998","Laendlicher Raum","maennlich","149","0.0629481284585335","0.0532637254611791","0.0726325314558878"
"Min 1x pro Monat","1998","Laendlicher Raum","weiblich","239","0.0959126383137045","0.0844472728236373","0.107378003803772"
"Seltener","1998","Staedtischer Raum","maennlich","1108","0.268088951421373","0.255019729369656","0.281158173473089"
"Seltener","1998","Staedtischer Raum","weiblich","1214","0.257588479778456","0.245153612765438","0.270023346791473"
"Seltener","1998","Laendlicher Raum","maennlich","680","0.266445495154831","0.248816806353008","0.284074183956654"
"Seltener","1998","Laendlicher Raum","weiblich","770","0.289138314065906","0.271486466778736","0.306790161353077"
"Nie","1998","Staedtischer Raum","maennlich","2557","0.542745730683991","0.528047731470274","0.557443729897709"
"Nie","1998","Staedtischer Raum","weiblich","2545","0.523221244566735","0.509019009113027","0.537423480020444"
"Nie","1998","Laendlicher Raum","maennlich","1380","0.568765266739264","0.549017270936329","0.5885132625422"
"Nie","1998","Laendlicher Raum","weiblich","1293","0.52406989465303","0.504624758851661","0.543515030454399"
"Taeglich","1999","Staedtischer Raum","maennlich","","","",""
"Taeglich","1999","Staedtischer Raum","weiblich","","","",""
"Taeglich","1999","Laendlicher Raum","maennlich","","","",""
"Taeglich","1999","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Woche","1999","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Woche","1999","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Woche","1999","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Woche","1999","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Monat","1999","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Monat","1999","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Monat","1999","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Monat","1999","Laendlicher Raum","weiblich","","","",""
"Seltener","1999","Staedtischer Raum","maennlich","","","",""
"Seltener","1999","Staedtischer Raum","weiblich","","","",""
"Seltener","1999","Laendlicher Raum","maennlich","","","",""
"Seltener","1999","Laendlicher Raum","weiblich","","","",""
"Nie","1999","Staedtischer Raum","maennlich","","","",""
"Nie","1999","Staedtischer Raum","weiblich","","","",""
"Nie","1999","Laendlicher Raum","maennlich","","","",""
"Nie","1999","Laendlicher Raum","weiblich","","","",""
"Taeglich","2000","Staedtischer Raum","maennlich","","","",""
"Taeglich","2000","Staedtischer Raum","weiblich","","","",""
"Taeglich","2000","Laendlicher Raum","maennlich","","","",""
"Taeglich","2000","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Woche","2000","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Woche","2000","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Woche","2000","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Woche","2000","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Monat","2000","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Monat","2000","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Monat","2000","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Monat","2000","Laendlicher Raum","weiblich","","","",""
"Seltener","2000","Staedtischer Raum","maennlich","","","",""
"Seltener","2000","Staedtischer Raum","weiblich","","","",""
"Seltener","2000","Laendlicher Raum","maennlich","","","",""
"Seltener","2000","Laendlicher Raum","weiblich","","","",""
"Nie","2000","Staedtischer Raum","maennlich","","","",""
"Nie","2000","Staedtischer Raum","weiblich","","","",""
"Nie","2000","Laendlicher Raum","maennlich","","","",""
"Nie","2000","Laendlicher Raum","weiblich","","","",""
"Taeglich","2001","Staedtischer Raum","maennlich","","","",""
"Taeglich","2001","Staedtischer Raum","weiblich","","","",""
"Taeglich","2001","Laendlicher Raum","maennlich","","","",""
"Taeglich","2001","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Woche","2001","Staedtischer Raum","maennlich","520","0.0797443697752818","0.0732746786426721","0.0862140609078916"
"Min 1x pro Woche","2001","Staedtischer Raum","weiblich","792","0.102848647166968","0.095915527850401","0.109781766483535"
"Min 1x pro Woche","2001","Laendlicher Raum","maennlich","231","0.0634448710242883","0.0555713112000881","0.0713184308484885"
"Min 1x pro Woche","2001","Laendlicher Raum","weiblich","328","0.0826137484840024","0.073958112762194","0.0912693842058108"
"Min 1x pro Monat","2001","Staedtischer Raum","maennlich","372","0.0582080478326324","0.0526162907615307","0.0637998049037341"
"Min 1x pro Monat","2001","Staedtischer Raum","weiblich","510","0.0707133192244095","0.0648624284291344","0.0765642100196847"
"Min 1x pro Monat","2001","Laendlicher Raum","maennlich","173","0.0503435036261312","0.043280959259663","0.0574060479925995"
"Min 1x pro Monat","2001","Laendlicher Raum","weiblich","235","0.0620836320804352","0.0544966805662434","0.069670583594627"
"Seltener","2001","Staedtischer Raum","maennlich","1578","0.237639096109104","0.227473834848714","0.247804357369494"
"Seltener","2001","Staedtischer Raum","weiblich","1731","0.224910438925054","0.215380781805212","0.234440096044897"
"Seltener","2001","Laendlicher Raum","maennlich","745","0.194167655416283","0.181391005658655","0.206944305173911"
"Seltener","2001","Laendlicher Raum","weiblich","905","0.216917714378037","0.203959418183532","0.229876010572542"
"Nie","2001","Staedtischer Raum","maennlich","4265","0.624408486282982","0.61284279555281","0.635974177013154"
"Nie","2001","Staedtischer Raum","weiblich","4341","0.601527594683568","0.590353214900397","0.612701974466739"
"Nie","2001","Laendlicher Raum","maennlich","2533","0.692043969933298","0.677132604982918","0.706955334883677"
"Nie","2001","Laendlicher Raum","weiblich","2418","0.638384905057526","0.623278494868438","0.653491315246613"
"Taeglich","2002","Staedtischer Raum","maennlich","","","",""
"Taeglich","2002","Staedtischer Raum","weiblich","","","",""
"Taeglich","2002","Laendlicher Raum","maennlich","","","",""
"Taeglich","2002","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Woche","2002","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Woche","2002","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Woche","2002","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Woche","2002","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Monat","2002","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Monat","2002","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Monat","2002","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Monat","2002","Laendlicher Raum","weiblich","","","",""
"Seltener","2002","Staedtischer Raum","maennlich","","","",""
"Seltener","2002","Staedtischer Raum","weiblich","","","",""
"Seltener","2002","Laendlicher Raum","maennlich","","","",""
"Seltener","2002","Laendlicher Raum","weiblich","","","",""
"Nie","2002","Staedtischer Raum","maennlich","","","",""
"Nie","2002","Staedtischer Raum","weiblich","","","",""
"Nie","2002","Laendlicher Raum","maennlich","","","",""
"Nie","2002","Laendlicher Raum","weiblich","","","",""
"Taeglich","2003","Staedtischer Raum","maennlich","204","0.028960825284871","0.0250334819955075","0.0328881685742344"
"Taeglich","2003","Staedtischer Raum","weiblich","229","0.025333900869137","0.0217957331882308","0.0288720685500433"
"Taeglich","2003","Laendlicher Raum","maennlich","77","0.0204617142153171","0.0158351394249984","0.0250882890056359"
"Taeglich","2003","Laendlicher Raum","weiblich","79","0.0180522111906001","0.0138373033568427","0.0222671190243575"
"Min 1x pro Woche","2003","Staedtischer Raum","maennlich","616","0.0826118460692474","0.0761646222120911","0.0890590699264038"
"Min 1x pro Woche","2003","Staedtischer Raum","weiblich","911","0.103274000904071","0.0964218829675922","0.11012611884055"
"Min 1x pro Woche","2003","Laendlicher Raum","maennlich","269","0.0708683533907032","0.0624825887427644","0.0792541180386421"
"Min 1x pro Woche","2003","Laendlicher Raum","weiblich","360","0.08116242767589","0.0725172172472923","0.0898076381044877"
"Min 1x pro Monat","2003","Staedtischer Raum","maennlich","588","0.0830788619870065","0.0766150861884973","0.0895426377855158"
"Min 1x pro Monat","2003","Staedtischer Raum","weiblich","762","0.0943451295103299","0.0877633920693248","0.100926866951335"
"Min 1x pro Monat","2003","Laendlicher Raum","maennlich","256","0.0664334035572159","0.0582949146543755","0.0745718924600562"
"Min 1x pro Monat","2003","Laendlicher Raum","weiblich","359","0.0862149480389208","0.0773292409792207","0.0951006550986209"
"Seltener","2003","Staedtischer Raum","maennlich","1681","0.234942014315819","0.225013082172816","0.244870946458821"
"Seltener","2003","Staedtischer Raum","weiblich","1920","0.24647201801172","0.236768416577374","0.256175619446066"
"Seltener","2003","Laendlicher Raum","maennlich","926","0.249332644060567","0.23519453887254","0.263470749248594"
"Seltener","2003","Laendlicher Raum","weiblich","1103","0.268541597649607","0.254510899480517","0.282572295818697"
"Nie","2003","Staedtischer Raum","maennlich","3915","0.570406452343057","0.558813444972486","0.581999459713627"
"Nie","2003","Staedtischer Raum","weiblich","3755","0.530574950704742","0.519337806636498","0.541812094772986"
"Nie","2003","Laendlicher Raum","maennlich","2069","0.592903884776197","0.576848582035001","0.608959187517392"
"Nie","2003","Laendlicher Raum","weiblich","1932","0.546028815444982","0.530267204397395","0.561790426492569"
"Taeglich","2004","Staedtischer Raum","maennlich","","","",""
"Taeglich","2004","Staedtischer Raum","weiblich","","","",""
"Taeglich","2004","Laendlicher Raum","maennlich","","","",""
"Taeglich","2004","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Woche","2004","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Woche","2004","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Woche","2004","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Woche","2004","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Monat","2004","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Monat","2004","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Monat","2004","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Monat","2004","Laendlicher Raum","weiblich","","","",""
"Seltener","2004","Staedtischer Raum","maennlich","","","",""
"Seltener","2004","Staedtischer Raum","weiblich","","","",""
"Seltener","2004","Laendlicher Raum","maennlich","","","",""
"Seltener","2004","Laendlicher Raum","weiblich","","","",""
"Nie","2004","Staedtischer Raum","maennlich","","","",""
"Nie","2004","Staedtischer Raum","weiblich","","","",""
"Nie","2004","Laendlicher Raum","maennlich","","","",""
"Nie","2004","Laendlicher Raum","weiblich","","","",""
"Taeglich","2005","Staedtischer Raum","maennlich","","","",""
"Taeglich","2005","Staedtischer Raum","weiblich","","","",""
"Taeglich","2005","Laendlicher Raum","maennlich","","","",""
"Taeglich","2005","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Woche","2005","Staedtischer Raum","maennlich","586","0.0863473147103031","0.0795159584544175","0.0931786709661886"
"Min 1x pro Woche","2005","Staedtischer Raum","weiblich","804","0.0992383817321792","0.0922858754859847","0.106190887978374"
"Min 1x pro Woche","2005","Laendlicher Raum","maennlich","245","0.0645421240860607","0.0561952293165024","0.0728890188556191"
"Min 1x pro Woche","2005","Laendlicher Raum","weiblich","361","0.0923813869942052","0.0829040377599851","0.101858736228425"
"Min 1x pro Monat","2005","Staedtischer Raum","maennlich","441","0.0620493240638684","0.0561818594827979","0.0679167886449389"
"Min 1x pro Monat","2005","Staedtischer Raum","weiblich","635","0.0783720655458238","0.072122424470315","0.0846217066213326"
"Min 1x pro Monat","2005","Laendlicher Raum","maennlich","192","0.0564986286513325","0.0486556431055013","0.0643416141971636"
"Min 1x pro Monat","2005","Laendlicher Raum","weiblich","284","0.0741861907111105","0.0656085804106279","0.082763801011593"
"Seltener","2005","Staedtischer Raum","maennlich","1822","0.272011507036855","0.261188502400415","0.282834511673296"
"Seltener","2005","Staedtischer Raum","weiblich","1980","0.271251091080405","0.260912262843221","0.281589919317589"
"Seltener","2005","Laendlicher Raum","maennlich","939","0.264977049891351","0.249985526265632","0.27996857351707"
"Seltener","2005","Laendlicher Raum","weiblich","1059","0.288196784872063","0.273372713856615","0.30302085588751"
"Nie","2005","Staedtischer Raum","maennlich","3645","0.579591854188973","0.567586122131936","0.59159758624601"
"Nie","2005","Staedtischer Raum","weiblich","3685","0.551138461641592","0.539572462086727","0.562704461196457"
"Nie","2005","Laendlicher Raum","maennlich","1953","0.613982197371256","0.597444587217584","0.630519807524927"
"Nie","2005","Laendlicher Raum","weiblich","1882","0.545235637422622","0.52893786393441","0.561533410910834"
"Taeglich","2006","Staedtischer Raum","maennlich","","","",""
"Taeglich","2006","Staedtischer Raum","weiblich","","","",""
"Taeglich","2006","Laendlicher Raum","maennlich","","","",""
"Taeglich","2006","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Woche","2006","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Woche","2006","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Woche","2006","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Woche","2006","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Monat","2006","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Monat","2006","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Monat","2006","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Monat","2006","Laendlicher Raum","weiblich","","","",""
"Seltener","2006","Staedtischer Raum","maennlich","","","",""
"Seltener","2006","Staedtischer Raum","weiblich","","","",""
"Seltener","2006","Laendlicher Raum","maennlich","","","",""
"Seltener","2006","Laendlicher Raum","weiblich","","","",""
"Nie","2006","Staedtischer Raum","maennlich","","","",""
"Nie","2006","Staedtischer Raum","weiblich","","","",""
"Nie","2006","Laendlicher Raum","maennlich","","","",""
"Nie","2006","Laendlicher Raum","weiblich","","","",""
"Taeglich","2007","Staedtischer Raum","maennlich","","","",""
"Taeglich","2007","Staedtischer Raum","weiblich","","","",""
"Taeglich","2007","Laendlicher Raum","maennlich","","","",""
"Taeglich","2007","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Woche","2007","Staedtischer Raum","maennlich","594","0.085666754964642","0.0787448332574524","0.0925886766718316"
"Min 1x pro Woche","2007","Staedtischer Raum","weiblich","880","0.111642038594468","0.104261413329888","0.119022663859048"
"Min 1x pro Woche","2007","Laendlicher Raum","maennlich","288","0.073871305848652","0.0650781237534708","0.0826644879438332"
"Min 1x pro Woche","2007","Laendlicher Raum","weiblich","385","0.102070386996839","0.0922409207702858","0.111899853223391"
"Min 1x pro Monat","2007","Staedtischer Raum","maennlich","455","0.066164632925857","0.0600168803305733","0.0723123855211406"
"Min 1x pro Monat","2007","Staedtischer Raum","weiblich","628","0.077261350119258","0.0710037792119393","0.0835189210265766"
"Min 1x pro Monat","2007","Laendlicher Raum","maennlich","215","0.0576845081661944","0.0498465981847325","0.0655224181476564"
"Min 1x pro Monat","2007","Laendlicher Raum","weiblich","314","0.0801499157071082","0.0713339687583213","0.0889658626558952"
"Seltener","2007","Staedtischer Raum","maennlich","1639","0.257701856823802","0.246884622684083","0.26851909096352"
