,Unnamed: 0,year,age_gr,bula_h,pli0093_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
118,118,1995,30-45 y.,Hesse,Seldom,0.44598,93,11707,0.38703,0.50608
119,119,1995,30-45 y.,Hesse,Never,0.41555,144,11707,0.36448,0.47612
120,120,1995,30-45 y.,"Rhineland-Palatinate, Saarland",Seldom,0.30157,62,11707,0.2559,0.3474
121,121,1995,30-45 y.,"Rhineland-Palatinate, Saarland",Never,0.69843,157,11707,0.62486,0.78107
122,122,1995,30-45 y.,Baden-Wuerttemberg,At least once per week,0.12457,59,11707,0.09961,0.14389
123,123,1995,30-45 y.,Baden-Wuerttemberg,At least once per month,0.09695,50,11707,0.07243,0.11928
124,124,1995,30-45 y.,Baden-Wuerttemberg,Seldom,0.33849,175,11707,0.29969,0.37364
125,125,1995,30-45 y.,Baden-Wuerttemberg,Never,0.43999,284,11707,0.37936,0.50232
126,126,1995,30-45 y.,Bavaria,At least once per week,0.13681,79,11707,0.12026,0.1601
127,127,1995,30-45 y.,Bavaria,At least once per month,0.11009,58,11707,0.08994,0.13163
128,128,1995,30-45 y.,Bavaria,Seldom,0.36252,189,11707,0.32308,0.40301
129,129,1995,30-45 y.,Bavaria,Never,0.39058,220,11707,0.35228,0.42831
130,130,1995,30-45 y.,Berlin,Seldom,0.47111,59,11707,0.39967,0.54784
131,131,1995,30-45 y.,Berlin,Never,0.52889,82,11707,0.46036,0.60725
132,132,1995,30-45 y.,Brandenburg,Seldom,0.46479,87,11707,0.41839,0.51215
133,133,1995,30-45 y.,Brandenburg,Never,0.53521,100,11707,0.4827,0.5892
134,134,1995,30-45 y.,Mecklenburg-Western Pomerania,Seldom,0.53661,67,11707,0.46754,0.60865
135,135,1995,30-45 y.,Mecklenburg-Western Pomerania,Never,0.46339,50,11707,0.40134,0.5314
136,136,1995,30-45 y.,Saxony,At least once per week,0.09101,33,11707,0.07757,0.1074
137,137,1995,30-45 y.,Saxony,Seldom,0.40339,135,11707,0.36045,0.44709
138,138,1995,30-45 y.,Saxony,Never,0.5056,187,11707,0.46624,0.54794
139,139,1995,30-45 y.,Saxony-Anhalt,Seldom,0.44164,87,11707,0.39711,0.48059
140,140,1995,30-45 y.,Saxony-Anhalt,Never,0.55836,106,11707,0.49797,0.62182
141,141,1995,30-45 y.,Thuringa,Seldom,0.48524,101,11707,0.43668,0.53417
142,142,1995,30-45 y.,Thuringa,Never,0.51476,101,11707,0.44907,0.58157
143,143,1995,46-65 y.,Schleswig-Holstein,Never,1.0,40,11707,0.80525,1.16966
144,144,1995,46-65 y.,Lower Saxony,At least once per week,0.12461,35,11707,0.10849,0.14221
145,145,1995,46-65 y.,Lower Saxony,At least once per month,0.11302,38,11707,0.09816,0.128
146,146,1995,46-65 y.,Lower Saxony,Seldom,0.29451,78,11707,0.25967,0.33625
147,147,1995,46-65 y.,Lower Saxony,Never,0.46786,165,11707,0.42717,0.51576
148,148,1995,46-65 y.,North Rhine-Westphalia,At least once per week,0.09197,57,11707,0.07644,0.10706
149,149,1995,46-65 y.,North Rhine-Westphalia,At least once per month,0.0865,46,11707,0.07118,0.10461
150,150,1995,46-65 y.,North Rhine-Westphalia,Seldom,0.25815,178,11707,0.23744,0.28151
