,Unnamed: 0,year,sampreg,sex,pli0093_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
156,156,2013,West,female,At least once per week,0.17778,2220,25407,0.171,0.18715
157,157,2013,West,female,At least once per month,0.10939,1258,25407,0.10336,0.11628
158,158,2013,West,female,Seldom,0.26191,2844,25407,0.24996,0.27341
159,159,2013,West,female,Never,0.45092,4486,25407,0.43831,0.46493
160,160,2013,East,male,At least once per week,0.10583,322,25407,0.09234,0.123
161,161,2013,East,male,At least once per month,0.0741,207,25407,0.0641,0.08611
162,162,2013,East,male,Seldom,0.28013,655,25407,0.25564,0.30419
163,163,2013,East,male,Never,0.53993,1409,25407,0.51114,0.56829
164,164,2013,East,female,At least once per week,0.15308,487,25407,0.14035,0.16763
165,165,2013,East,female,At least once per month,0.09853,297,25407,0.08295,0.11244
166,166,2013,East,female,Seldom,0.27442,849,25407,0.25426,0.2965
167,167,2013,East,female,Never,0.47397,1468,25407,0.44666,0.49936
168,168,2015,West,male,At least once per week,0.1105,1070,26686,0.10351,0.11816
169,169,2015,West,male,At least once per month,0.06718,651,26686,0.06085,0.07346
170,170,2015,West,male,Seldom,0.23175,2213,26686,0.21825,0.24582
171,171,2015,West,male,Never,0.59056,5872,26686,0.57317,0.60869
172,172,2015,West,female,At least once per week,0.14496,1662,26686,0.13757,0.15272
173,173,2015,West,female,At least once per month,0.08033,975,26686,0.07441,0.0871
174,174,2015,West,female,Seldom,0.23482,2759,26686,0.22365,0.2449
175,175,2015,West,female,Never,0.5399,6103,26686,0.52262,0.55646
176,176,2015,East,male,At least once per week,0.08381,215,26686,0.07061,0.09705
177,177,2015,East,male,At least once per month,0.0442,126,26686,0.03657,0.05413
178,178,2015,East,male,Seldom,0.22429,563,26686,0.20323,0.25203
179,179,2015,East,male,Never,0.64769,1550,26686,0.61198,0.68747
180,180,2015,East,female,At least once per week,0.12892,359,26686,0.11459,0.14254
181,181,2015,East,female,At least once per month,0.08858,243,26686,0.0762,0.10443
182,182,2015,East,female,Seldom,0.23248,674,26686,0.21146,0.25222
183,183,2015,East,female,Never,0.55002,1651,26686,0.52765,0.57805
184,184,2017,West,male,At least once per week,0.11982,1314,30417,0.11209,0.12765
185,185,2017,West,male,At least once per month,0.07191,823,30417,0.06686,0.07846
186,186,2017,West,male,Seldom,0.24283,2629,30417,0.23184,0.25305
187,187,2017,West,male,Never,0.56544,6816,30417,0.54726,0.58415
188,188,2017,West,female,At least once per week,0.15401,1975,30417,0.14631,0.16132
189,189,2017,West,female,At least once per month,0.09098,1106,30417,0.08431,0.09828
190,190,2017,West,female,Seldom,0.2524,3096,30417,0.24151,0.26209
191,191,2017,West,female,Never,0.5026,6508,30417,0.48802,0.52019
192,192,2017,East,male,At least once per week,0.1014,280,30417,0.08939,0.11623
193,193,2017,East,male,At least once per month,0.05031,160,30417,0.0406,0.05888
194,194,2017,East,male,Seldom,0.22315,628,30417,0.19991,0.24695
195,195,2017,East,male,Never,0.62513,1828,30417,0.5919,0.65692
196,196,2017,East,female,At least once per week,0.12999,425,30417,0.1137,0.14596
197,197,2017,East,female,At least once per month,0.11149,277,30417,0.09505,0.12676
198,198,2017,East,female,Seldom,0.24551,800,30417,0.22094,0.26906
199,199,2017,East,female,Never,0.513,1752,30417,0.48769,0.5423
200,200,2018,West,male,At least once per week,0.09712,92,3062,0.07771,0.11386
201,201,2018,West,male,At least once per month,0.07453,113,3062,0.06055,0.09115
202,202,2018,West,male,Seldom,0.19277,323,3062,0.17092,0.21917
203,203,2018,West,male,Never,0.63559,1073,3062,0.5926,0.67442
204,204,2018,West,female,At least once per week,0.08313,71,3062,0.05938,0.108
205,205,2018,West,female,At least once per month,0.05515,66,3062,0.0399,0.07261
206,206,2018,West,female,Seldom,0.17728,180,3062,0.14502,0.2092
207,207,2018,West,female,Never,0.68443,778,3062,0.62477,0.75015
208,208,2018,East,male,At least once per week,0.22562,41,3062,0.14867,0.31183
209,209,2018,East,male,Never,0.77438,194,3062,0.66773,0.88045
210,210,2018,East,female,Never,1.0,131,3062,0.83503,1.16356
211,211,2019,West,male,At least once per week,0.15315,1634,28661,0.14421,0.16479
212,212,2019,West,male,At least once per month,0.08038,968,28661,0.07381,0.08862
213,213,2019,West,male,Seldom,0.23229,2408,28661,0.22182,0.24501
214,214,2019,West,male,Never,0.53417,6152,28661,0.51137,0.55351
215,215,2019,West,female,At least once per week,0.1955,2281,28661,0.18514,0.2064
216,216,2019,West,female,At least once per month,0.10183,1229,28661,0.09335,0.10915
217,217,2019,West,female,Seldom,0.25127,2737,28661,0.23822,0.26237
218,218,2019,West,female,Never,0.4514,5297,28661,0.433,0.465
219,219,2019,East,male,At least once per week,0.11682,361,28661,0.10066,0.13062
220,220,2019,East,male,At least once per month,0.0617,192,28661,0.04839,0.07787
221,221,2019,East,male,Seldom,0.21469,635,28661,0.19263,0.23627
222,222,2019,East,male,Never,0.60679,1688,28661,0.57311,0.64152
223,223,2019,East,female,At least once per week,0.19085,548,28661,0.17235,0.20791
224,224,2019,East,female,At least once per month,0.09727,320,28661,0.08476,0.11073
225,225,2019,East,female,Seldom,0.25324,746,28661,0.23166,0.27765
226,226,2019,East,female,Never,0.45865,1465,28661,0.42339,0.49113
227,227,2021,West,male,At least once per week,0.17519,1201,17178,0.16237,0.18779
228,228,2021,West,male,At least once per month,0.1056,711,17178,0.09445,0.11591
229,229,2021,West,male,Seldom,0.2418,1508,17178,0.22566,0.25865
230,230,2021,West,male,Never,0.47741,2983,17178,0.45543,0.50245
231,231,2021,West,female,At least once per week,0.21141,1734,17178,0.19531,0.22509
232,232,2021,West,female,At least once per month,0.12842,1043,17178,0.11859,0.13786
233,233,2021,West,female,Seldom,0.24569,1690,17178,0.23006,0.2628
234,234,2021,West,female,Never,0.41448,2694,17178,0.39553,0.43279
235,235,2021,East,male,At least once per week,0.14329,272,17178,0.1227,0.16142
236,236,2021,East,male,At least once per month,0.09241,162,17178,0.07105,0.11215
237,237,2021,East,male,Seldom,0.22604,380,17178,0.19463,0.25946
238,238,2021,East,male,Never,0.53825,866,17178,0.49441,0.578
239,239,2021,East,female,At least once per week,0.18068,374,17178,0.16157,0.20852
240,240,2021,East,female,At least once per month,0.12558,253,17178,0.10473,0.14696
241,241,2021,East,female,Seldom,0.26373,489,17178,0.23819,0.29126
242,242,2021,East,female,Never,0.43001,818,17178,0.39581,0.46463
