,Unnamed: 0,year,regtyp,sampreg,hlc0083_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
47,47,2000,Rural regions,East,No,0.92604,1917,12950,0.90726,0.94763
48,48,2001,Urban regions,West,Yes,0.02778,197,11680,0.02522,0.03025
49,49,2001,Urban regions,West,No,0.97222,6615,11680,0.95735,0.98732
50,50,2001,Urban regions,East,Yes,0.06353,61,11680,0.05588,0.07096
51,51,2001,Urban regions,East,No,0.93647,894,11680,0.89877,0.97182
52,52,2001,Rural regions,West,Yes,0.02692,58,11680,0.02158,0.03084
53,53,2001,Rural regions,West,No,0.97308,1967,11680,0.94735,1.00089
54,54,2001,Rural regions,East,Yes,0.06527,118,11680,0.05739,0.07224
55,55,2001,Rural regions,East,No,0.93473,1770,11680,0.90887,0.96032
56,56,2002,Urban regions,West,Yes,0.0301,188,12212,0.02731,0.03305
57,57,2002,Urban regions,West,No,0.9699,7088,12212,0.95402,0.9859
58,58,2002,Urban regions,East,Yes,0.07298,61,12212,0.06051,0.08294
59,59,2002,Urban regions,East,No,0.92702,900,12212,0.88323,0.96487
60,60,2002,Rural regions,West,Yes,0.03531,65,12212,0.03078,0.04012
61,61,2002,Rural regions,West,No,0.96469,2029,12212,0.93329,0.99698
62,62,2002,Rural regions,East,Yes,0.05856,99,12212,0.0505,0.0662
63,63,2002,Rural regions,East,No,0.94144,1782,12212,0.91663,0.97355
64,64,2003,Urban regions,West,Yes,0.03463,201,11804,0.0323,0.03803
65,65,2003,Urban regions,West,No,0.96537,6809,11804,0.95083,0.98162
66,66,2003,Urban regions,East,Yes,0.08448,59,11804,0.07375,0.10006
67,67,2003,Urban regions,East,No,0.91552,899,11804,0.87254,0.95973
68,68,2003,Rural regions,West,Yes,0.03888,69,11804,0.03275,0.0442
69,69,2003,Rural regions,West,No,0.96112,1920,11804,0.92831,0.99479
70,70,2003,Rural regions,East,Yes,0.066,126,11804,0.05776,0.07312
71,71,2003,Rural regions,East,No,0.934,1721,11804,0.90241,0.96099
72,72,2004,Urban regions,West,Yes,0.03845,202,11543,0.03482,0.04258
73,73,2004,Urban regions,West,No,0.96155,6617,11543,0.94658,0.98401
74,74,2004,Urban regions,East,Yes,0.09884,69,11543,0.08215,0.11417
75,75,2004,Urban regions,East,No,0.90116,886,11543,0.85908,0.94436
76,76,2004,Rural regions,West,Yes,0.03639,66,11543,0.03154,0.04172
77,77,2004,Rural regions,West,No,0.96361,1897,11543,0.93048,0.99667
78,78,2004,Rural regions,East,Yes,0.08748,135,11543,0.07775,0.09755
79,79,2004,Rural regions,East,No,0.91252,1671,11543,0.8787,0.93624
80,80,2005,Urban regions,West,Yes,0.02756,159,11199,0.02483,0.03062
81,81,2005,Urban regions,West,No,0.97244,6441,11199,0.95388,0.9913
82,82,2005,Urban regions,East,Yes,0.07846,59,11199,0.06254,0.09208
83,83,2005,Urban regions,East,No,0.92154,881,11199,0.87947,0.97357
84,84,2005,Rural regions,West,Yes,0.02408,44,11199,0.01917,0.02976
85,85,2005,Rural regions,West,No,0.97592,1863,11199,0.93847,1.00717
86,86,2005,Rural regions,East,Yes,0.05576,94,11199,0.04796,0.06289
87,87,2005,Rural regions,East,No,0.94424,1658,11199,0.91259,0.97652
88,88,2006,Urban regions,West,Yes,0.02757,162,12265,0.02532,0.03021
89,89,2006,Urban regions,West,No,0.97243,6992,12265,0.95621,0.98988
90,90,2006,Urban regions,East,Yes,0.05192,46,12265,0.04142,0.0616
91,91,2006,Urban regions,East,No,0.94808,946,12265,0.8955,0.99047
92,92,2006,Rural regions,West,Yes,0.02143,42,12265,0.01773,0.02495
93,93,2006,Rural regions,West,No,0.97857,2141,12265,0.95268,1.00654
94,94,2006,Rural regions,East,Yes,0.05998,99,12265,0.05363,0.06814
95,95,2006,Rural regions,East,No,0.94002,1837,12265,0.90416,0.97337
96,96,2007,Urban regions,West,Yes,0.02769,143,11453,0.02498,0.03112
97,97,2007,Urban regions,West,No,0.97231,6501,11453,0.95254,0.98762
98,98,2007,Urban regions,East,Yes,0.04856,37,11453,0.03851,0.06164
99,99,2007,Urban regions,East,No,0.95144,906,11453,0.90552,0.99029
100,100,2007,Rural regions,West,Yes,0.01989,33,11453,0.01559,0.02408
101,101,2007,Rural regions,West,No,0.98011,2016,11453,0.95239,1.01571
102,102,2007,Rural regions,East,Yes,0.04926,83,11453,0.0418,0.05608
103,103,2007,Rural regions,East,No,0.95074,1734,11453,0.91447,0.98495
104,104,2008,Urban regions,West,Yes,0.02464,130,10792,0.02206,0.02812
105,105,2008,Urban regions,West,No,0.97536,6114,10792,0.95698,0.99586
106,106,2008,Urban regions,East,Yes,0.04834,35,10792,0.03616,0.06355
107,107,2008,Urban regions,East,No,0.95166,893,10792,0.89972,1.00737
108,108,2008,Rural regions,West,No,1.0,1897,10792,0.96309,1.03225
109,109,2008,Rural regions,East,Yes,0.04179,67,10792,0.03489,0.04867
110,110,2008,Rural regions,East,No,0.95821,1656,10792,0.92305,0.99068
111,111,2009,Urban regions,West,Yes,0.02294,114,10151,0.0203,0.02603
112,112,2009,Urban regions,West,No,0.97706,5671,10151,0.96018,0.99885
113,113,2009,Urban regions,East,Yes,0.0412,33,10151,0.03176,0.05277
114,114,2009,Urban regions,East,No,0.9588,865,10151,0.90412,1.01917
115,115,2009,Rural regions,West,No,1.0,1811,10151,0.96016,1.03833
116,116,2009,Rural regions,East,Yes,0.04969,73,10151,0.04096,0.06161
117,117,2009,Rural regions,East,No,0.95031,1584,10151,0.91363,0.9969
118,118,2010,Urban regions,West,Yes,0.0263,318,13397,0.02146,0.03081
119,119,2010,Urban regions,West,No,0.9737,7416,13397,0.95259,0.99242
120,120,2010,Urban regions,East,Yes,0.03966,64,13397,0.0259,0.058
121,121,2010,Urban regions,East,No,0.96034,1008,13397,0.89729,1.02822
122,122,2010,Rural regions,West,Yes,0.01545,111,13397,0.01104,0.02021
123,123,2010,Rural regions,West,No,0.98455,2511,13397,0.9358,1.0302
124,124,2010,Rural regions,East,Yes,0.04714,120,13397,0.03923,0.05637
125,125,2010,Rural regions,East,No,0.95286,1849,13397,0.90758,0.99667
126,126,2011,Urban regions,West,Yes,0.02317,347,16227,0.01944,0.02656
127,127,2011,Urban regions,West,No,0.97683,8850,16227,0.95853,0.99829
128,128,2011,Urban regions,East,Yes,0.03744,87,16227,0.02905,0.05009
129,129,2011,Urban regions,East,No,0.96256,1211,16227,0.91665,1.01087
130,130,2011,Rural regions,West,Yes,0.01874,144,16227,0.01504,0.02282
131,131,2011,Rural regions,West,No,0.98126,3245,16227,0.94546,1.0155
132,132,2011,Rural regions,East,Yes,0.04453,152,16227,0.0369,0.05353
133,133,2011,Rural regions,East,No,0.95547,2191,16227,0.91034,0.99562
134,134,2012,Urban regions,West,Yes,0.01967,270,15954,0.01647,0.02265
135,135,2012,Urban regions,West,No,0.98033,8678,15954,0.95928,1.0001
136,136,2012,Urban regions,East,Yes,0.02957,62,15954,0.0196,0.04078
137,137,2012,Urban regions,East,No,0.97043,1208,15954,0.9125,1.03319
138,138,2012,Rural regions,West,Yes,0.01509,110,15954,0.01192,0.01853
139,139,2012,Rural regions,West,No,0.98491,3290,15954,0.94796,1.01847
140,140,2012,Rural regions,East,Yes,0.04423,139,15954,0.03623,0.05272
141,141,2012,Rural regions,East,No,0.95577,2197,15954,0.91393,0.99505
142,142,2013,Urban regions,West,Yes,0.019,314,17515,0.01548,0.02255
143,143,2013,Urban regions,West,No,0.981,10014,17515,0.9597,1.00137
144,144,2013,Urban regions,East,Yes,0.0266,57,17515,0.01741,0.03894
145,145,2013,Urban regions,East,No,0.9734,1223,17515,0.9264,1.03575
146,146,2013,Rural regions,West,Yes,0.01648,117,17515,0.01319,0.02016
147,147,2013,Rural regions,West,No,0.98352,3512,17515,0.9447,1.0174
148,148,2013,Rural regions,East,Yes,0.03719,120,17515,0.02965,0.04685
149,149,2013,Rural regions,East,No,0.96281,2158,17515,0.92472,1.00986
150,150,2014,Urban regions,West,Yes,0.01589,200,15603,0.01291,0.01919
151,151,2014,Urban regions,West,No,0.98411,8848,15603,0.96346,1.0049
152,152,2014,Urban regions,East,Yes,0.02283,41,15603,0.01562,0.03188
153,153,2014,Urban regions,East,No,0.97717,1161,15603,0.92009,1.03264
154,154,2014,Rural regions,West,Yes,0.01455,85,15603,0.01062,0.01994
155,155,2014,Rural regions,West,No,0.98545,3144,15603,0.94191,1.02525
156,156,2014,Rural regions,East,Yes,0.03127,83,15603,0.02414,0.04174
157,157,2014,Rural regions,East,No,0.96873,2041,15603,0.92354,1.01201
158,158,2015,Urban regions,West,Yes,0.01623,195,14042,0.01265,0.02044
159,159,2015,Urban regions,West,No,0.98377,8059,14042,0.96012,1.01007
160,160,2015,Urban regions,East,No,1.0,1031,14042,0.94856,1.07006
161,161,2015,Rural regions,West,Yes,0.01491,72,14042,0.01035,0.02056
162,162,2015,Rural regions,West,No,0.98509,2909,14042,0.94622,1.02852
163,163,2015,Rural regions,East,Yes,0.02097,58,14042,0.01482,0.02791
164,164,2015,Rural regions,East,No,0.97903,1718,14042,0.93188,1.02257
165,165,2016,Urban regions,West,Yes,0.01504,282,16130,0.01223,0.01861
166,166,2016,Urban regions,West,No,0.98496,9128,16130,0.96238,1.01156
167,167,2016,Urban regions,East,Yes,0.01695,44,16130,0.01028,0.02577
168,168,2016,Urban regions,East,No,0.98305,1202,16130,0.91555,1.05974
169,169,2016,Rural regions,West,Yes,0.01268,96,16130,0.00851,0.01725
170,170,2016,Rural regions,West,No,0.98732,3223,16130,0.94654,1.01939
171,171,2016,Rural regions,East,Yes,0.02545,76,16130,0.01844,0.03364
172,172,2016,Rural regions,East,No,0.97455,2079,16130,0.92853,1.02353
173,173,2017,Urban regions,West,Yes,0.01319,331,18061,0.01091,0.01593
174,174,2017,Urban regions,West,No,0.98681,10164,18061,0.96483,1.01083
175,175,2017,Urban regions,East,Yes,0.03096,31,18061,0.01877,0.04607
176,176,2017,Urban regions,East,No,0.96904,1357,18061,0.90798,1.03441
177,177,2017,Rural regions,West,Yes,0.01209,133,18061,0.00813,0.01783
178,178,2017,Rural regions,West,No,0.98791,3693,18061,0.94952,1.02962
179,179,2017,Rural regions,East,Yes,0.02731,91,18061,0.02075,0.03429
180,180,2017,Rural regions,East,No,0.97269,2261,18061,0.92469,1.0203
181,181,2018,Urban regions,West,Yes,0.01498,421,17688,0.01161,0.01809
182,182,2018,Urban regions,West,No,0.98502,9980,17688,0.96668,1.00676
183,183,2018,Urban regions,East,Yes,0.02243,49,17688,0.01425,0.03224
184,184,2018,Urban regions,East,No,0.97757,1353,17688,0.91694,1.03821
185,185,2018,Rural regions,West,Yes,0.01939,158,17688,0.01337,0.02662
186,186,2018,Rural regions,West,No,0.98061,3396,17688,0.93732,1.01996
187,187,2018,Rural regions,East,Yes,0.02028,96,17688,0.01476,0.02683
188,188,2018,Rural regions,East,No,0.97972,2235,17688,0.93205,1.02649
189,189,2019,Urban regions,West,Yes,0.01508,260,17796,0.01199,0.01888
190,190,2019,Urban regions,West,No,0.98492,10209,17796,0.95884,1.00922
191,191,2019,Urban regions,East,No,1.0,1387,17796,0.92921,1.06865
192,192,2019,Rural regions,West,Yes,0.01661,98,17796,0.01025,0.02373
193,193,2019,Rural regions,West,No,0.98339,3453,17796,0.94102,1.02975
194,194,2019,Rural regions,East,Yes,0.02784,65,17796,0.02032,0.03894
195,195,2019,Rural regions,East,No,0.97216,2324,17796,0.91966,1.03098
196,196,2020,Urban regions,West,Yes,0.01358,324,19022,0.01098,0.0165
197,197,2020,Urban regions,West,No,0.98642,11330,19022,0.95479,1.01164
198,198,2020,Urban regions,East,Yes,0.02024,32,19022,0.00984,0.0299
199,199,2020,Urban regions,East,No,0.97976,1473,19022,0.89732,1.04953
200,200,2020,Rural regions,West,Yes,0.01226,101,19022,0.00719,0.01697
201,201,2020,Rural regions,West,No,0.98774,3490,19022,0.94982,1.02544
202,202,2020,Rural regions,East,Yes,0.01953,61,19022,0.01369,0.02668
203,203,2020,Rural regions,East,No,0.98047,2211,19022,0.93719,1.03168
204,204,2021,Urban regions,West,Yes,0.01558,279,12439,0.01215,0.01901
205,205,2021,Urban regions,West,No,0.98442,7237,12439,0.95498,1.01265
206,206,2021,Urban regions,East,No,1.0,998,12439,0.91587,1.084
207,207,2021,Rural regions,West,Yes,0.01645,61,12439,0.0091,0.02545
208,208,2021,Rural regions,West,No,0.98355,2319,12439,0.93485,1.03665
209,209,2021,Rural regions,East,Yes,0.02351,44,12439,0.01563,0.03451
210,210,2021,Rural regions,East,No,0.97649,1501,12439,0.91241,1.03291
