,Unnamed: 0,year,quintil_oecd_hh,hlc0083_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
135,135,2014,2nd Quintile,Yes,0.02014,112,15579,0.01501,0.02553
136,136,2014,2nd Quintile,No,0.97986,3167,15579,0.94002,1.02083
137,137,2014,3rd Quintile,No,1.0,3037,15579,0.96475,1.04157
138,138,2014,4th Quintile,No,1.0,2914,15579,0.96768,1.03774
139,139,2014,5th Quintile,No,1.0,2943,15579,0.95665,1.03717
140,140,2015,1st Quintile,Yes,0.06185,247,14035,0.0505,0.07524
141,141,2015,1st Quintile,No,0.93815,3060,14035,0.89908,0.9821
142,142,2015,2nd Quintile,Yes,0.00978,77,14035,0.00717,0.01234
143,143,2015,2nd Quintile,No,0.99022,3044,14035,0.95634,1.03439
144,144,2015,3rd Quintile,No,1.0,2682,14035,0.95254,1.04095
145,145,2015,4th Quintile,No,1.0,2424,14035,0.9655,1.04019
146,146,2015,5th Quintile,No,1.0,2501,14035,0.95367,1.0416
147,147,2016,1st Quintile,Yes,0.05563,401,16106,0.04447,0.06598
148,148,2016,1st Quintile,No,0.94437,4659,16106,0.90318,0.98444
149,149,2016,2nd Quintile,Yes,0.0171,77,16106,0.01128,0.024
150,150,2016,2nd Quintile,No,0.9829,2991,16106,0.94475,1.0172
151,151,2016,3rd Quintile,No,1.0,2697,16106,0.96282,1.04022
152,152,2016,4th Quintile,No,1.0,2606,16106,0.95935,1.04385
153,153,2016,5th Quintile,No,1.0,2675,16106,0.96327,1.04522
154,154,2017,1st Quintile,Yes,0.05589,462,17992,0.04669,0.06426
155,155,2017,1st Quintile,No,0.94411,5131,17992,0.90238,0.9841
156,156,2017,2nd Quintile,Yes,0.01643,100,17992,0.01213,0.0215
157,157,2017,2nd Quintile,No,0.98357,3200,17992,0.94279,1.02012
158,158,2017,3rd Quintile,No,1.0,3035,17992,0.96115,1.03556
159,159,2017,4th Quintile,No,1.0,2994,17992,0.95846,1.04018
160,160,2017,5th Quintile,No,1.0,3070,17992,0.96397,1.0337
161,161,2018,1st Quintile,Yes,0.06582,523,17500,0.05651,0.07845
162,162,2018,1st Quintile,No,0.93418,4733,17500,0.89553,0.97508
163,163,2018,2nd Quintile,Yes,0.01108,149,17500,0.00847,0.01552
164,164,2018,2nd Quintile,No,0.98892,3352,17500,0.95367,1.03061
165,165,2018,3rd Quintile,No,1.0,2923,17500,0.96017,1.04467
166,166,2018,4th Quintile,No,1.0,2840,17500,0.95799,1.04389
167,167,2018,5th Quintile,No,1.0,2980,17500,0.95897,1.03446
168,168,2019,1st Quintile,Yes,0.06822,366,18231,0.05665,0.08085
169,169,2019,1st Quintile,No,0.93178,4631,18231,0.88754,0.97719
170,170,2019,2nd Quintile,Yes,0.0099,71,18231,0.0072,0.01352
171,171,2019,2nd Quintile,No,0.9901,3027,18231,0.95423,1.02862
172,172,2019,3rd Quintile,No,1.0,2895,18231,0.9539,1.04234
173,173,2019,4th Quintile,No,1.0,2943,18231,0.95413,1.03981
174,174,2019,5th Quintile,No,1.0,4298,18231,0.95351,1.0416
175,175,2020,1st Quintile,Yes,0.05146,422,18809,0.04263,0.06271
176,176,2020,1st Quintile,No,0.94854,5601,18809,0.90633,0.99972
177,177,2020,2nd Quintile,Yes,0.01565,79,18809,0.01121,0.0199
178,178,2020,2nd Quintile,No,0.98435,3336,18809,0.93577,1.02255
179,179,2020,3rd Quintile,No,1.0,2905,18809,0.96768,1.04762
180,180,2020,4th Quintile,No,1.0,2789,18809,0.96006,1.04703
181,181,2020,5th Quintile,No,1.0,3677,18809,0.96146,1.04126
182,182,2021,1st Quintile,Yes,0.06431,314,12395,0.05048,0.07715
183,183,2021,1st Quintile,No,0.93569,2942,12395,0.88757,0.98723
184,184,2021,2nd Quintile,Yes,0.01193,68,12395,0.00714,0.01773
185,185,2021,2nd Quintile,No,0.98807,2291,12395,0.94258,1.04886
186,186,2021,3rd Quintile,No,1.0,2020,12395,0.95315,1.05071
187,187,2021,4th Quintile,No,1.0,2090,12395,0.95151,1.05227
188,188,2021,5th Quintile,No,1.0,2670,12395,0.94575,1.05248
