year,rentown,sampreg,hlc0083_h,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2008,Tenant,East,Yes,0.06416,95,10808,0,0.05274,0,0.07795
2008,Tenant,East,No,0.93584,1452,10808,0,0.90126,0,0.97501
2009,Owner,West,No,1.00000,3975,10163,0,0.97573,0,1.02853
2009,Owner,East,No,1.00000,1074,10163,0,0.93030,0,1.05567
2009,Tenant,West,Yes,0.03773,136,10163,0,0.03284,0,0.04252
2009,Tenant,West,No,0.96227,3507,10163,0,0.93841,0,0.98810
2009,Tenant,East,Yes,0.06554,96,10163,0,0.05662,0,0.07597
2009,Tenant,East,No,0.93446,1375,10163,0,0.89358,0,0.97499
2010,Owner,West,Yes,0.00256,43,13376,0,0.00197,0,0.00317
2010,Owner,West,No,0.99744,4886,13376,0,0.96408,0,1.03375
2010,Owner,East,No,1.00000,1165,13376,0,0.93750,0,1.06263
2010,Tenant,West,Yes,0.04285,386,13376,0,0.03690,0,0.05001
2010,Tenant,West,No,0.95715,5041,13376,0,0.92955,0,0.98882
2010,Tenant,East,Yes,0.06454,163,13376,0,0.05287,0,0.07648
2010,Tenant,East,No,0.93546,1692,13376,0,0.88494,0,0.98199
2011,Owner,West,Yes,0.00282,47,16208,0,0.00175,0,0.00438
2011,Owner,West,No,0.99718,6098,16208,0,0.96776,0,1.02545
2011,Owner,East,No,1.00000,1359,16208,0,0.95183,0,1.04866
2011,Tenant,West,Yes,0.03971,444,16208,0,0.03530,0,0.04543
2011,Tenant,West,No,0.96029,5997,16208,0,0.93560,0,0.98386
2011,Tenant,East,Yes,0.06076,220,16208,0,0.05167,0,0.07117
2011,Tenant,East,No,0.93924,2043,16208,0,0.90034,0,0.98224
2012,Owner,West,Yes,0.00212,41,15940,0,0.00157,0,0.00266
2012,Owner,West,No,0.99788,6059,15940,0,0.96772,0,1.02452
2012,Owner,East,No,1.00000,1321,15940,0,0.93895,0,1.04980
2012,Tenant,West,Yes,0.03370,339,15940,0,0.02871,0,0.03877
2012,Tenant,West,No,0.96630,5909,15940,0,0.94316,0,0.99607
2012,Tenant,East,Yes,0.05613,187,15940,0,0.04736,0,0.06707
2012,Tenant,East,No,0.94387,2084,15940,0,0.90500,0,0.98582
2013,Owner,West,Yes,0.00221,35,17501,0,0.00139,0,0.00315
2013,Owner,West,No,0.99779,6203,17501,0,0.97199,0,1.02476
2013,Owner,East,No,1.00000,1282,17501,0,0.93850,0,1.05720
2013,Tenant,West,Yes,0.03298,396,17501,0,0.02881,0,0.03825
2013,Tenant,West,No,0.96702,7323,17501,0,0.94213,0,0.99140
2013,Tenant,East,Yes,0.04965,163,17501,0,0.04034,0,0.06233
2013,Tenant,East,No,0.95035,2099,17501,0,0.90908,0,0.99110
2014,Owner,West,No,1.00000,5710,15568,0,0.97368,0,1.02308
2014,Owner,East,No,1.00000,1203,15568,0,0.95048,0,1.06479
2014,Tenant,West,Yes,0.02868,262,15568,0,0.02461,0,0.03407
2014,Tenant,West,No,0.97132,6282,15568,0,0.94710,0,0.99783
2014,Tenant,East,Yes,0.04035,112,15568,0,0.03094,0,0.04985
2014,Tenant,East,No,0.95965,1999,15568,0,0.92024,0,1.00711
2015,Owner,West,No,1.00000,4844,14039,0,0.97325,0,1.03034
2015,Owner,East,No,1.00000,979,14039,0,0.93432,0,1.07095
2015,Tenant,West,Yes,0.02927,248,14039,0,0.02381,0,0.03446
2015,Tenant,West,No,0.97073,6124,14039,0,0.93976,0,1.01026
2015,Tenant,East,Yes,0.02759,74,14039,0,0.02059,0,0.03577
2015,Tenant,East,No,0.97241,1770,14039,0,0.91735,0,1.02708
2016,Owner,West,No,1.00000,5040,14078,0,0.97480,0,1.02607
2016,Owner,East,No,1.00000,1122,14078,0,0.93192,0,1.06362
2016,Tenant,West,Yes,0.02651,215,14078,0,0.02226,0,0.03073
2016,Tenant,West,No,0.97349,5810,14078,0,0.94775,0,0.99584
2016,Tenant,East,Yes,0.03198,80,14078,0,0.02441,0,0.04069
2016,Tenant,East,No,0.96802,1811,14078,0,0.92255,0,1.01725
2017,Owner,West,No,1.00000,5644,17237,0,0.97909,0,1.02283
2017,Owner,East,No,1.00000,1278,17237,0,0.93422,0,1.06063
2017,Tenant,West,Yes,0.02376,402,17237,0,0.01956,0,0.02873
2017,Tenant,West,No,0.97624,7545,17237,0,0.94828,0,1.00167
2017,Tenant,East,Yes,0.04208,107,17237,0,0.03399,0,0.05317
2017,Tenant,East,No,0.95792,2261,17237,0,0.91686,0,1.00728
2018,Owner,West,No,1.00000,5423,17662,0,0.97268,0,1.02744
2018,Owner,East,No,1.00000,1229,17662,0,0.94132,0,1.06600
2018,Tenant,West,Yes,0.02898,560,17662,0,0.02452,0,0.03503
2018,Tenant,West,No,0.97102,7953,17662,0,0.94103,0,1.00434
2018,Tenant,East,Yes,0.03131,138,17662,0,0.02483,0,0.03975
2018,Tenant,East,No,0.96869,2359,17662,0,0.92479,0,1.01723
2019,Owner,West,No,1.00000,6254,18211,0,0.96956,0,1.03338
2019,Owner,East,No,1.00000,1524,18211,0,0.92888,0,1.06716
2019,Tenant,West,Yes,0.02947,356,18211,0,0.02390,0,0.03441
2019,Tenant,West,No,0.97053,7740,18211,0,0.94369,0,0.99933
2019,Tenant,East,Yes,0.03389,87,18211,0,0.02427,0,0.04226
2019,Tenant,East,No,0.96611,2250,18211,0,0.91009,0,1.02587
2020,Owner,West,No,1.00000,5478,19002,0,0.97069,0,1.02839
2020,Owner,East,No,1.00000,1330,19002,0,0.93818,0,1.06889
2020,Tenant,West,Yes,0.02477,413,19002,0,0.02049,0,0.03044
2020,Tenant,West,No,0.97523,9342,19002,0,0.94615,0,1.00918
2020,Tenant,East,Yes,0.02843,85,19002,0,0.02042,0,0.03733
2020,Tenant,East,No,0.97157,2354,19002,0,0.91817,0,1.02548
2021,Owner,West,No,1.00000,4104,12446,0,0.96009,0,1.04416
2021,Owner,East,No,1.00000,943,12446,0,0.91167,0,1.07798
2021,Tenant,West,Yes,0.02822,327,12446,0,0.02180,0,0.03386
2021,Tenant,West,No,0.97178,5450,12446,0,0.93283,0,1.01015
2021,Tenant,East,Yes,0.03763,66,12446,0,0.02531,0,0.05141
2021,Tenant,East,No,0.96237,1556,12446,0,0.89499,0,1.02402
