"hlc0083_h","year","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein","2001","1 Einkommensschwächstes Quintil","","","",""
"Nein","2001","2","7479","0.977999103802644","0.974711405478101","0.981286802127187"
"Nein","2001","3","6276","0.994495376001389","0.992669081719887","0.996321670282892"
"Nein","2001","4","4634","0.999421208422747","0.998728880641146","1.00011353620435"
"Nein","2001","5 Einkommensstärkstes Quintil","","","",""
"Ja","2002","1 Einkommensschwächstes Quintil","","","",""
"Ja","2002","2","137","","",""
"Ja","2002","3","45","0.00691943729371684","0.00481580176630437","0.0090230728211293"
"Ja","2002","4","18","","",""
"Ja","2002","5 Einkommensstärkstes Quintil","","","",""
"Nein","2002","1 Einkommensschwächstes Quintil","","","",""
"Nein","2002","2","6443","0.974309962509608","0.970487298876627","0.978132626142588"
"Nein","2002","3","5920","0.993080562706283","0.990976927178871","0.995184198233696"
"Nein","2002","4","5841","0.998119645221018","0.997010348976","0.999228941466037"
"Nein","2002","5 Einkommensstärkstes Quintil","","","",""
"Ja","2003","1 Einkommensschwächstes Quintil","","","",""
"Ja","2003","2","243","","",""
"Ja","2003","3","32","0.00411622438417092","0.0025137139460302","0.00571873482231164"
"Ja","2003","4","17","","",""
"Ja","2003","5 Einkommensstärkstes Quintil","","","",""
"Nein","2003","1 Einkommensschwächstes Quintil","","","",""
"Nein","2003","2","5883","0.967280212857186","0.962825281860901","0.971735143853471"
"Nein","2003","3","6100","0.995883775615829","0.994281265177688","0.99748628605397"
"Nein","2003","4","5821","0.997875537746018","0.996694459301338","0.999056616190698"
"Nein","2003","5 Einkommensstärkstes Quintil","","","",""
"Ja","2004","1 Einkommensschwächstes Quintil","","","",""
"Ja","2004","2","155","","",""
"Ja","2004","3","25","","",""
"Ja","2004","4","11","","",""
"Ja","2004","5 Einkommensstärkstes Quintil","","","",""
"Nein","2004","1 Einkommensschwächstes Quintil","","","",""
"Nein","2004","2","5768","0.973331393661055","0.969228334767545","0.977434452554566"
"Nein","2004","3","5862","0.992990422885314","0.990859245927178","0.99512159984345"
"Nein","2004","4","5676","0.997774930709227","0.996550329903533","0.998999531514921"
"Nein","2004","5 Einkommensstärkstes Quintil","","","",""
"Ja","2005","1 Einkommensschwächstes Quintil","","","",""
"Ja","2005","2","140","","",""
"Ja","2005","3","42","0.0108773899584688","0.00814577286098642","0.0136090070559512"
"Ja","2005","4","5","0.000686527953874272","-8.54549215443081e-06","0.00138160139990297"
"Ja","2005","5 Einkommensstärkstes Quintil","","","",""
"Nein","2005","1 Einkommensschwächstes Quintil","","","",""
"Nein","2005","2","5354","0.975317404501973","0.971214681808718","0.979420127195228"
"Nein","2005","3","5497","0.989122610041531","0.986390992944049","0.991854227139014"
"Nein","2005","4","5450","0.999313472046126","0.998618398600097","1.00000854549215"
"Nein","2005","5 Einkommensstärkstes Quintil","","","",""
"Ja","2006","1 Einkommensschwächstes Quintil","","","",""
"Ja","2006","2","164","","",""
"Ja","2006","3","35","0.00469041145832472","0.00294903769835801","0.00643178521829142"
"Ja","2006","4","1","","",""
"Ja","2006","5 Einkommensstärkstes Quintil","","","",""
"Nein","2006","1 Einkommensschwächstes Quintil","","","",""
"Nein","2006","2","5765","0.973761335872986","0.969692646924964","0.977830024821008"
"Nein","2006","3","5879","0.995309588541675","0.993568214781709","0.997050962301642"
"Nein","2006","4","6057","0.999711903959775","0.999284548228368","1.00013925969118"
"Nein","2006","5 Einkommensstärkstes Quintil","","","",""
"Ja","2007","1 Einkommensschwächstes Quintil","","","",""
"Ja","2007","2","170","","",""
"Ja","2007","3","35","0.00574307587213191","0.00376482269661853","0.00772132904764529"
"Ja","2007","4","","","",""
"Ja","2007","5 Einkommensstärkstes Quintil","","","",""
"Nein","2007","1 Einkommensschwächstes Quintil","","","",""
"Nein","2007","2","5243","0.969286259316628","0.964689820726664","0.973882697906591"
"Nein","2007","3","5570","0.994256924127868","0.992278670952355","0.996235177303381"
"Nein","2007","4","5736","1","1","1"
"Nein","2007","5 Einkommensstärkstes Quintil","","","",""
"Ja","2008","1 Einkommensschwächstes Quintil","","","",""
"Ja","2008","2","173","","",""
"Ja","2008","3","20","","",""
"Ja","2008","4","14","","",""
"Ja","2008","5 Einkommensstärkstes Quintil","","","",""
"Nein","2008","1 Einkommensschwächstes Quintil","","","",""
"Nein","2008","2","4503","0.967393626338501","0.96230308813357","0.972484164543432"
"Nein","2008","3","5379","0.996131009294874","0.994475054410966","0.997786964178781"
"Nein","2008","4","5534","0.998706382285766","0.997760576961584","0.999652187609948"
"Nein","2008","5 Einkommensstärkstes Quintil","","","",""
"Ja","2009","1 Einkommensschwächstes Quintil","","","",""
"Ja","2009","2","131","","",""
"Ja","2009","3","33","0.00412942602273546","0.00232909807355092","0.00592975397191999"
"Ja","2009","4","","","",""
"Ja","2009","5 Einkommensstärkstes Quintil","","","",""
"Nein","2009","1 Einkommensschwächstes Quintil","","","",""
"Nein","2009","2","4177","0.971272169978607","0.966284104711448","0.976260235245765"
"Nein","2009","3","4841","0.995870573977265","0.99407024602808","0.997670901926449"
"Nein","2009","4","5353","1","1","1"
"Nein","2009","5 Einkommensstärkstes Quintil","","","",""
"Ja","2010","1 Einkommensschwächstes Quintil","","","",""
"Ja","2010","2","797","0.0447613303175577","0.0402734264192758","0.0492492342158396"
"Ja","2010","3","130","","",""
"Ja","2010","4","9","0.00063229565361849","4.11378116067389e-05","0.00122345349563024"
"Ja","2010","5 Einkommensstärkstes Quintil","","","",""
"Nein","2010","1 Einkommensschwächstes Quintil","","","",""
"Nein","2010","2","7358","0.955238669682442","0.95075076578416","0.959726573580724"
"Nein","2010","3","6811","0.993590175836103","0.991712745758778","0.995467605913428"
"Nein","2010","4","6937","0.999367704346382","0.99877654650437","0.999958862188393"
"Nein","2010","5 Einkommensstärkstes Quintil","","","",""
"Ja","2011","1 Einkommensschwächstes Quintil","","","",""
"Ja","2011","2","980","0.0534359664876019","0.0488090391304422","0.0580628938447616"
"Ja","2011","3","134","","",""
"Ja","2011","4","12","","",""
"Ja","2011","5 Einkommensstärkstes Quintil","","","",""
"Nein","2011","1 Einkommensschwächstes Quintil","","","",""
"Nein","2011","2","8096","0.946564033512398","0.941937106155238","0.951190960869558"
"Nein","2011","3","8449","0.992724438144139","0.990926494147255","0.994522382141024"
"Nein","2011","4","8978","0.999428251321498","0.998934115156041","0.999922387486955"
"Nein","2011","5 Einkommensstärkstes Quintil","","","",""
"Ja","2012","1 Einkommensschwächstes Quintil","","","",""
"Ja","2012","2","961","0.0553079024255899","0.0504176844840078","0.0601981203671719"
"Ja","2012","3","94","0.00501368751405755","0.00352637881449291","0.00650099621362219"
"Ja","2012","4","10","","",""
"Ja","2012","5 Einkommensstärkstes Quintil","","","",""
"Nein","2012","1 Einkommensschwächstes Quintil","","","",""
"Nein","2012","2","7432","0.94469209757441","0.939801879632828","0.949582315515992"
"Nein","2012","3","8569","0.994986312485942","0.993499003786378","0.996473621185507"
"Nein","2012","4","9066","0.998475173745062","0.997672424947909","0.999277922542214"
"Nein","2012","5 Einkommensstärkstes Quintil","","","",""
"Ja","2013","1 Einkommensschwächstes Quintil","","","",""
"Ja","2013","2","1021","","",""
"Ja","2013","3","155","","",""
"Ja","2013","4","8","0.000396469504877525","1.19187214722215e-05","0.000781020288282829"
"Ja","2013","5 Einkommensstärkstes Quintil","","","",""
"Nein","2013","1 Einkommensschwächstes Quintil","","","",""
"Nein","2013","2","8450","0.942661523920631","0.937979311244614","0.947343736596648"
"Nein","2013","3","8992","0.99190241489591","0.990065787805932","0.993739041985888"
"Nein","2013","4","10287","","",""
"Nein","2013","5 Einkommensstärkstes Quintil","","","",""
"Ja","2014","1 Einkommensschwächstes Quintil","","","",""
"Ja","2014","2","687","0.0472459783358026","0.0425260642835249","0.0519658923880802"
"Ja","2014","3","141","","",""
"Ja","2014","4","9","0.00025043394015647","-6.7817181831144e-05","0.000568685062144085"
"Ja","2014","5 Einkommensstärkstes Quintil","","","",""
"Nein","2014","1 Einkommensschwächstes Quintil","","","",""
"Nein","2014","2","7075","0.952754021664198","0.94803410761192","0.957473935716475"
"Nein","2014","3","8021","0.991950351055747","0.990011773261001","0.993888928850493"
"Nein","2014","4","9487","0.999749566059844","0.999431314937856","1.00006781718183"
"Nein","2014","5 Einkommensstärkstes Quintil","","","",""
"Ja","2015","1 Einkommensschwächstes Quintil","","","",""
"Ja","2015","2","578","0.0504080724955317","0.0451991499367795","0.055616995054284"
"Ja","2015","3","137","","",""
"Ja","2015","4","5","0.000387292824229321","-3.09940507881035e-05","0.000805579699246745"
"Ja","2015","5 Einkommensstärkstes Quintil","","","",""
"Nein","2015","1 Einkommensschwächstes Quintil","","","",""
"Nein","2015","2","6199","0.949591927504468","0.944383004945716","0.95480085006322"
"Nein","2015","3","7155","0.992254558913488","0.990242413375278","0.994266704451697"
"Nein","2015","4","8495","0.999612707175771","0.999194420300753","1.00003099405079"
"Nein","2015","5 Einkommensstärkstes Quintil","","","",""
"Ja","2016","1 Einkommensschwächstes Quintil","","","",""
"Ja","2016","2","582","0.0539879468937708","0.0484481673828516","0.05952772640469"
"Ja","2016","3","151","","",""
"Ja","2016","4","12","","",""
"Ja","2016","5 Einkommensstärkstes Quintil","","","",""
"Nein","2016","1 Einkommensschwächstes Quintil","","","",""
"Nein","2016","2","5811","0.946012053106229","0.94047227359531","0.951551832617148"
"Nein","2016","3","6658","0.991006499252757","0.988764120019172","0.993248878486342"
"Nein","2016","4","9098","0.998393395548591","0.997570974465274","0.999215816631907"
"Nein","2016","5 Einkommensstärkstes Quintil","","","",""
"Ja","2017","1 Einkommensschwächstes Quintil","","","",""
"Ja","2017","2","624","0.0583451725196451","0.0526460686768462","0.064044276362444"
"Ja","2017","3","238","","",""
"Ja","2017","4","36","0.00409136190117354","0.00284076271807148","0.0053419610842756"
"Ja","2017","5 Einkommensstärkstes Quintil","","","",""
"Nein","2017","1 Einkommensschwächstes Quintil","","","",""
"Nein","2017","2","5874","0.941654827480355","0.935955723637556","0.947353931323154"
"Nein","2017","3","7048","0.983450588719699","0.980521240136617","0.986379937302781"
"Nein","2017","4","9972","0.995908638098826","0.994658038915724","0.997159237281929"
"Nein","2017","5 Einkommensstärkstes Quintil","","","",""
"Ja","2018","1 Einkommensschwächstes Quintil","","","",""
"Ja","2018","2","777","0.053755530311275","0.0481725999775838","0.0593384606449662"
"Ja","2018","3","335","0.0245381773112222","0.0209187758418577","0.0281575787805867"
"Ja","2018","4","19","","",""
"Ja","2018","5 Einkommensstärkstes Quintil","","","",""
"Nein","2018","1 Einkommensschwächstes Quintil","","","",""
"Nein","2018","2","5492","0.946244469688725","0.940661539355034","0.951827400022416"
"Nein","2018","3","6684","0.975461822688778","0.971842421219413","0.979081224158142"
"Nein","2018","4","10220","","",""
"Nein","2018","5 Einkommensstärkstes Quintil","","","",""
"Ja","2019","1 Einkommensschwächstes Quintil","","","",""
"Ja","2019","2","635","0.0716481908653376","0.0650834698508358","0.0782129118798395"
"Ja","2019","3","297","","",""
"Ja","2019","4","35","0.00327906805505591","0.00216677335893657","0.00439136275117525"
"Ja","2019","5 Einkommensstärkstes Quintil","","","",""
"Nein","2019","1 Einkommensschwächstes Quintil","","","",""
"Nein","2019","2","5294","0.928351809134662","0.92178708812016","0.934916530149164"
"Nein","2019","3","5951","0.978702177328643","0.975122280907346","0.98228207374994"
"Nein","2019","4","10113","","",""
"Nein","2019","5 Einkommensstärkstes Quintil","","","",""
"Ja","2020","1 Einkommensschwächstes Quintil","","","",""
"Ja","2020","2","784","0.0618275477173421","0.0562890430990887","0.0673660523355956"
"Ja","2020","3","451","0.0269120385748502","0.022941466655243","0.0308826104944575"
"Ja","2020","4","44","0.00179721627690952","0.000982322844233341","0.00261210970958571"
"Ja","2020","5 Einkommensstärkstes Quintil","","","",""
"Nein","2020","1 Einkommensschwächstes Quintil","","","",""
"Nein","2020","2","6480","0.938172452282658","0.932633947664404","0.943710956900911"
"Nein","2020","3","5930","0.97308796142515","0.969117389505542","0.977058533344757"
"Nein","2020","4","10334","","",""
"Nein","2020","5 Einkommensstärkstes Quintil","","","",""
