year,quintil_oecd,sex,plb0240,proportion,n,proportion_lower_confidence,proportion_upper_confidence
2001,5th Quintile,female,Part-time,0.4567901234567901,27798,0.4509342527742769,0.4626459941393033
2001,5th Quintile,female,Full-time,0.3004115226337449,27798,0.2950222654014227,0.3058007798660671
2001,5th Quintile,female,I'm not sure yet,0.14814814814814814,27798,0.1439719658749579,0.1523243304213384
2001,5th Quintile,female,Either,0.09465020576131687,27798,0.09120893946617584,0.0980914720564579
2002,1st Quintile,male,Full-time,0.7460732984293194,28961,0.7410603385503157,0.751086258308323
2002,1st Quintile,male,Either,0.15968586387434555,28961,0.1554669237162917,0.1639048040323994
2002,1st Quintile,male,Part-time,0.05235602094240838,28961,0.04979062020798777,0.05492142167682899
2002,1st Quintile,male,I'm not sure yet,0.041884816753926704,28961,0.03957761025872284,0.04419202324913057
2002,1st Quintile,female,Full-time,0.3767857142857143,28961,0.37120467334120943,0.3823667552302191
2002,1st Quintile,female,Part-time,0.3732142857142857,28961,0.3676438653632412,0.37878470606533027
2002,1st Quintile,female,Either,0.19285714285714287,28961,0.1883131005867969,0.19740118512748883
2002,1st Quintile,female,I'm not sure yet,0.05714285714285714,28961,0.05446952316687329,0.05981619111884099
2002,2nd Quintile,male,Full-time,0.7721518987341772,28961,0.7673210507291773,0.7769827467391771
2002,2nd Quintile,male,Either,0.11814345991561181,28961,0.11442594168248556,0.12186097814873807
2002,2nd Quintile,male,Part-time,0.05485232067510549,28961,0.05222993457747265,0.057474706772738325
2002,2nd Quintile,male,I'm not sure yet,0.05485232067510549,28961,0.05222993457747265,0.057474706772738325
2002,2nd Quintile,female,Part-time,0.43467336683417085,28961,0.4289640974762605,0.4403826361920812
2002,2nd Quintile,female,Full-time,0.2964824120603015,28961,0.2912224060330595,0.30174241808754354
2002,2nd Quintile,female,Either,0.18090452261306533,28961,0.17647107816824753,0.18533796705788314
2002,2nd Quintile,female,I'm not sure yet,0.08793969849246232,28961,0.08467792681640321,0.09120147016852143
2002,3rd Quintile,male,Full-time,0.7602040816326531,28961,0.7552866844693099,0.7651214787959962
2002,3rd Quintile,male,Either,0.10714285714285714,28961,0.10358062765074745,0.11070508663496682
2002,3rd Quintile,male,I'm not sure yet,0.07653061224489796,28961,0.07346880292869257,0.07959242156110335
2002,3rd Quintile,male,Part-time,0.05612244897959184,28961,0.05347165833012564,0.05877323962905803
2002,3rd Quintile,female,Part-time,0.45427728613569324,28961,0.4485427826512808,0.4600117896201057
2002,3rd Quintile,female,Full-time,0.2890855457227139,28961,0.2838643357906918,0.29430675565473596
2002,3rd Quintile,female,Either,0.168141592920354,28961,0.16383422887727223,0.17244895696343576
2002,3rd Quintile,female,I'm not sure yet,0.08849557522123894,28961,0.08522450804263945,0.09176664239983842
2002,4th Quintile,male,Full-time,0.7486033519553073,28961,0.7436069781863899,0.7535997257242246
2002,4th Quintile,male,I'm not sure yet,0.1005586592178771,28961,0.0970949178686375,0.1040224005671167
2002,4th Quintile,male,Either,0.08379888268156424,28961,0.08060761071570532,0.08699015464742316
2002,4th Quintile,male,Part-time,0.0670391061452514,28961,0.06415875708194296,0.06991945520855983
2002,4th Quintile,female,Part-time,0.4559386973180077,28961,0.4502024688553704,0.46167492578064495
2002,4th Quintile,female,Full-time,0.31417624521072796,28961,0.308830081804573,0.3195224086168829
2002,4th Quintile,female,Either,0.12643678160919541,28961,0.12260912313433421,0.13026444008405663
2002,4th Quintile,female,I'm not sure yet,0.10344827586206896,28961,0.09994076844565128,0.10695578327848665
2002,5th Quintile,male,Full-time,0.8260869565217391,28961,0.8217215141982361,0.8304523988452421
2002,5th Quintile,male,Part-time,0.07971014492753623,28961,0.0765907640091124,0.08282952584596005
2002,5th Quintile,male,Either,0.057971014492753624,28961,0.05527956101231545,0.060662467973191796
2002,5th Quintile,male,I'm not sure yet,0.036231884057971016,28961,0.034079691968440726,0.038384076147501306
2002,5th Quintile,female,Part-time,0.5,28961,0.49424136836268273,0.5057586316373173
2002,5th Quintile,female,Full-time,0.2698412698412698,28961,0.2647290193937292,0.2749535202888104
2002,5th Quintile,female,I'm not sure yet,0.12698412698412698,28961,0.12314939440344701,0.13081885956480693
