year,rentown,sampreg,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,Tenant,East,Yes,0.03351,66,2146,0.02589,0.04113
2014,Tenant,East,No,0.96649,2080,2146,0.95887,0.97411
2015,Owner,West,Yes,0.14708,1045,5543,0.13775,0.15640
2015,Owner,West,No,0.85292,4498,5543,0.84360,0.86225
2015,Owner,East,Yes,0.14135,159,1192,0.12156,0.16113
2015,Owner,East,No,0.85865,1033,1192,0.83887,0.87844
2015,Tenant,West,Yes,0.04360,289,6926,0.03879,0.04841
2015,Tenant,West,No,0.95640,6637,6926,0.95159,0.96121
2015,Tenant,East,Yes,0.04167,75,2084,0.03309,0.05025
2015,Tenant,East,No,0.95833,2009,2084,0.94975,0.96691
2016,Owner,West,Yes,0.14825,972,5144,0.13854,0.15796
2016,Owner,West,No,0.85175,4172,5144,0.84204,0.86146
2016,Owner,East,Yes,0.14796,159,1156,0.12749,0.16844
2016,Owner,East,No,0.85204,997,1156,0.83156,0.87251
2016,Tenant,West,Yes,0.03738,233,6074,0.03261,0.04215
2016,Tenant,West,No,0.96262,5841,6074,0.95785,0.96739
2016,Tenant,East,Yes,0.03646,59,1912,0.02806,0.04486
2016,Tenant,East,No,0.96354,1853,1912,0.95514,0.97194
2017,Owner,West,Yes,0.15729,1159,5746,0.14787,0.16670
2017,Owner,West,No,0.84271,4587,5746,0.83330,0.85213
2017,Owner,East,Yes,0.15452,191,1312,0.13496,0.17409
2017,Owner,East,No,0.84548,1121,1312,0.82591,0.86504
2017,Tenant,West,Yes,0.04065,272,6498,0.03585,0.04545
2017,Tenant,West,No,0.95935,6226,6498,0.95455,0.96415
2017,Tenant,East,Yes,0.03813,62,2098,0.02993,0.04633
2017,Tenant,East,No,0.96187,2036,2098,0.95367,0.97007
2018,Owner,West,Yes,0.15667,1107,5495,0.14706,0.16628
2018,Owner,West,No,0.84333,4388,5495,0.83372,0.85294
2018,Owner,East,Yes,0.16224,191,1252,0.14181,0.18267
2018,Owner,East,No,0.83776,1061,1252,0.81733,0.85819
2018,Tenant,West,Yes,0.04443,270,6506,0.03942,0.04943
2018,Tenant,West,No,0.95557,6236,6506,0.95057,0.96058
2018,Tenant,East,Yes,0.02854,70,2171,0.02153,0.03554
2018,Tenant,East,No,0.97146,2101,2171,0.96446,0.97847
2019,Owner,West,Yes,0.15998,981,4817,0.14962,0.17033
2019,Owner,West,No,0.84002,3836,4817,0.82967,0.85038
2019,Owner,East,Yes,0.16097,172,1117,0.13941,0.18253
2019,Owner,East,No,0.83903,945,1117,0.81747,0.86059
2019,Tenant,West,Yes,0.04648,216,4946,0.04061,0.05235
2019,Tenant,West,No,0.95352,4730,4946,0.94765,0.95939
2019,Tenant,East,Yes,0.02979,54,1727,0.02177,0.03781
2019,Tenant,East,No,0.97021,1673,1727,0.96219,0.97823
2020,Owner,West,Yes,0.18122,1272,5592,0.17112,0.19132
2020,Owner,West,No,0.81878,4320,5592,0.80868,0.82888
2020,Owner,East,Yes,0.16950,249,1353,0.14950,0.18950
2020,Owner,East,No,0.83050,1104,1353,0.81050,0.85050
2020,Tenant,West,Yes,0.05116,349,7231,0.04608,0.05623
2020,Tenant,West,No,0.94884,6882,7231,0.94377,0.95392
2020,Tenant,East,Yes,0.02846,69,2072,0.02130,0.03562
2020,Tenant,East,No,0.97154,2003,2072,0.96438,0.97870
2021,Owner,West,Yes,0.17328,858,3777,0.16121,0.18535
2021,Owner,West,No,0.82672,2919,3777,0.81465,0.83879
2021,Owner,East,Yes,0.18717,158,870,0.16124,0.21310
2021,Owner,East,No,0.81283,712,870,0.78690,0.83876
2021,Tenant,West,Yes,0.04952,206,3991,0.04279,0.05626
2021,Tenant,West,No,0.95048,3785,3991,0.94374,0.95721
2021,Tenant,East,Yes,0.02730,43,1303,0.01845,0.03615
2021,Tenant,East,No,0.97270,1260,1303,0.96385,0.98155
2022,Owner,West,Yes,0.23266,1865,6291,0.22222,0.24310
2022,Owner,West,No,0.76734,4426,6291,0.75690,0.77778
2022,Owner,East,Yes,0.19272,376,1545,0.17305,0.21240
2022,Owner,East,No,0.80728,1169,1545,0.78760,0.82695
2022,Tenant,West,Yes,0.06478,582,8705,0.05961,0.06995
2022,Tenant,West,No,0.93522,8123,8705,0.93005,0.94039
2022,Tenant,East,Yes,0.04271,139,2655,0.03502,0.05041
2022,Tenant,East,No,0.95729,2516,2655,0.94959,0.96498
