year,quintil_oecd_hh,rentown,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,4th Quintile,Owner,No,0.90125,1130,1262,0.88479,0.91772
2009,4th Quintile,Tenant,No,0.97005,767,767,0.95798,0.98212
2009,5th Quintile,Owner,Yes,0.10720,237,1786,0.09285,0.12155
2009,5th Quintile,Owner,No,0.89280,1549,1786,0.87845,0.90715
2009,5th Quintile,Tenant,No,0.98042,659,659,0.96984,0.99101
2010,1st Quintile,Owner,Yes,0.04786,35,457,0.02826,0.06745
2010,1st Quintile,Owner,No,0.95214,422,457,0.93255,0.97174
2010,1st Quintile,Tenant,Yes,0.01808,49,2682,0.01304,0.02312
2010,1st Quintile,Tenant,No,0.98192,2633,2682,0.97688,0.98696
2010,2nd Quintile,Owner,Yes,0.06581,120,1114,0.05125,0.08038
2010,2nd Quintile,Owner,No,0.93419,994,1114,0.91962,0.94875
2010,2nd Quintile,Tenant,Yes,0.02430,44,1799,0.01718,0.03141
2010,2nd Quintile,Tenant,No,0.97570,1755,1799,0.96859,0.98282
2010,3rd Quintile,Owner,Yes,0.09407,154,1328,0.07836,0.10977
2010,3rd Quintile,Owner,No,0.90593,1174,1328,0.89023,0.92164
2010,3rd Quintile,Tenant,Yes,0.02433,47,1220,0.01568,0.03298
2010,3rd Quintile,Tenant,No,0.97567,1173,1220,0.96702,0.98432
2010,4th Quintile,Owner,Yes,0.10751,215,1497,0.09182,0.12321
2010,4th Quintile,Owner,No,0.89249,1282,1497,0.87679,0.90818
2010,4th Quintile,Tenant,No,0.96932,927,927,0.95821,0.98043
2010,5th Quintile,Owner,Yes,0.11338,304,1917,0.09919,0.12758
2010,5th Quintile,Owner,No,0.88662,1613,1917,0.87242,0.90081
2010,5th Quintile,Tenant,Yes,0.03161,32,781,0.01933,0.04389
2010,5th Quintile,Tenant,No,0.96839,749,781,0.95611,0.98067
2011,1st Quintile,Owner,Yes,0.05970,47,585,0.04048,0.07892
2011,1st Quintile,Owner,No,0.94030,538,585,0.92108,0.95952
2011,1st Quintile,Tenant,Yes,0.01945,69,3114,0.01459,0.02430
2011,1st Quintile,Tenant,No,0.98055,3045,3114,0.97570,0.98541
2011,2nd Quintile,Owner,Yes,0.09527,171,1301,0.07931,0.11123
2011,2nd Quintile,Owner,No,0.90473,1130,1301,0.88877,0.92069
2011,2nd Quintile,Tenant,Yes,0.02843,61,2105,0.02133,0.03553
2011,2nd Quintile,Tenant,No,0.97157,2044,2105,0.96447,0.97867
2011,3rd Quintile,Owner,Yes,0.10459,236,1659,0.08986,0.11932
2011,3rd Quintile,Owner,No,0.89541,1423,1659,0.88068,0.91014
2011,3rd Quintile,Tenant,Yes,0.02856,56,1560,0.02029,0.03683
2011,3rd Quintile,Tenant,No,0.97144,1504,1560,0.96317,0.97971
2011,4th Quintile,Owner,Yes,0.13014,321,1871,0.11489,0.14539
2011,4th Quintile,Owner,No,0.86986,1550,1871,0.85461,0.88511
2011,4th Quintile,Tenant,Yes,0.03177,40,1187,0.02179,0.04175
2011,4th Quintile,Tenant,No,0.96823,1147,1187,0.95825,0.97821
2011,5th Quintile,Owner,Yes,0.13387,383,2292,0.11992,0.14781
2011,5th Quintile,Owner,No,0.86613,1909,2292,0.85219,0.88008
2011,5th Quintile,Tenant,Yes,0.03436,39,895,0.02242,0.04630
2011,5th Quintile,Tenant,No,0.96564,856,895,0.95370,0.97758
2012,1st Quintile,Owner,Yes,0.04749,45,532,0.02940,0.06559
2012,1st Quintile,Owner,No,0.95251,487,532,0.93441,0.97060
2012,1st Quintile,Tenant,Yes,0.01748,61,3062,0.01284,0.02212
2012,1st Quintile,Tenant,No,0.98252,3001,3062,0.97788,0.98716
2012,2nd Quintile,Owner,Yes,0.10793,173,1220,0.09051,0.12534
2012,2nd Quintile,Owner,No,0.89207,1047,1220,0.87466,0.90949
2012,2nd Quintile,Tenant,Yes,0.03118,73,2088,0.02372,0.03864
2012,2nd Quintile,Tenant,No,0.96882,2015,2088,0.96136,0.97628
2012,3rd Quintile,Owner,Yes,0.11189,260,1647,0.09666,0.12712
2012,3rd Quintile,Owner,No,0.88811,1387,1647,0.87288,0.90334
2012,3rd Quintile,Tenant,Yes,0.03819,67,1553,0.02866,0.04773
2012,3rd Quintile,Tenant,No,0.96181,1486,1553,0.95227,0.97134
2012,4th Quintile,Owner,Yes,0.13731,339,1900,0.12183,0.15279
2012,4th Quintile,Owner,No,0.86269,1561,1900,0.84721,0.87817
2012,4th Quintile,Tenant,Yes,0.04585,56,1128,0.03364,0.05807
2012,4th Quintile,Tenant,No,0.95415,1072,1128,0.94193,0.96636
2012,5th Quintile,Owner,Yes,0.14538,411,2291,0.13094,0.15981
2012,5th Quintile,Owner,No,0.85462,1880,2291,0.84019,0.86906
2012,5th Quintile,Tenant,Yes,0.03172,33,864,0.02002,0.04341
2012,5th Quintile,Tenant,No,0.96828,831,864,0.95659,0.97998
2013,1st Quintile,Owner,Yes,0.05135,48,578,0.03334,0.06936
2013,1st Quintile,Owner,No,0.94865,530,578,0.93064,0.96666
2013,1st Quintile,Tenant,Yes,0.01565,61,3658,0.01163,0.01967
2013,1st Quintile,Tenant,No,0.98435,3597,3658,0.98033,0.98837
2013,2nd Quintile,Owner,Yes,0.10391,162,1271,0.08712,0.12069
2013,2nd Quintile,Owner,No,0.89609,1109,1271,0.87931,0.91288
2013,2nd Quintile,Tenant,Yes,0.03838,92,2585,0.03097,0.04578
2013,2nd Quintile,Tenant,No,0.96162,2493,2585,0.95422,0.96903
2013,3rd Quintile,Owner,Yes,0.14576,297,1711,0.12903,0.16248
2013,3rd Quintile,Owner,No,0.85424,1414,1711,0.83752,0.87097
2013,3rd Quintile,Tenant,Yes,0.04406,62,1676,0.03423,0.05389
2013,3rd Quintile,Tenant,No,0.95594,1614,1676,0.94611,0.96577
2013,4th Quintile,Owner,Yes,0.12279,302,1825,0.10773,0.13785
2013,4th Quintile,Owner,No,0.87721,1523,1825,0.86215,0.89227
2013,4th Quintile,Tenant,Yes,0.05324,54,1289,0.04098,0.06550
2013,4th Quintile,Tenant,No,0.94676,1235,1289,0.93450,0.95902
2013,5th Quintile,Owner,Yes,0.15834,439,2322,0.14349,0.17319
2013,5th Quintile,Owner,No,0.84166,1883,2322,0.82681,0.85651
2013,5th Quintile,Tenant,Yes,0.04609,46,940,0.03268,0.05951
2013,5th Quintile,Tenant,No,0.95391,894,940,0.94049,0.96732
2014,1st Quintile,Owner,Yes,0.06483,45,502,0.04327,0.08640
2014,1st Quintile,Owner,No,0.93517,457,502,0.91360,0.95673
2014,1st Quintile,Tenant,Yes,0.02798,79,2947,0.02202,0.03394
2014,1st Quintile,Tenant,No,0.97202,2868,2947,0.96606,0.97798
2014,2nd Quintile,Owner,Yes,0.09734,141,1095,0.07977,0.11490
2014,2nd Quintile,Owner,No,0.90266,954,1095,0.88510,0.92023
2014,2nd Quintile,Tenant,Yes,0.04204,84,2217,0.03369,0.05040
2014,2nd Quintile,Tenant,No,0.95796,2133,2217,0.94960,0.96631
2014,3rd Quintile,Owner,Yes,0.13318,264,1577,0.11640,0.14995
2014,3rd Quintile,Owner,No,0.86682,1313,1577,0.85005,0.88360
2014,3rd Quintile,Tenant,Yes,0.04716,62,1530,0.03653,0.05778
2014,3rd Quintile,Tenant,No,0.95284,1468,1530,0.94222,0.96347
2014,4th Quintile,Owner,Yes,0.14605,312,1718,0.12935,0.16276
2014,4th Quintile,Owner,No,0.85395,1406,1718,0.83724,0.87065
2014,4th Quintile,Tenant,Yes,0.05120,65,1207,0.03876,0.06364
2014,4th Quintile,Tenant,No,0.94880,1142,1207,0.93636,0.96124
2014,5th Quintile,Owner,Yes,0.17740,438,2155,0.16127,0.19354
2014,5th Quintile,Owner,No,0.82260,1717,2155,0.80646,0.83873
2014,5th Quintile,Tenant,Yes,0.06464,51,863,0.04822,0.08105
2014,5th Quintile,Tenant,No,0.93536,812,863,0.91895,0.95178
2015,1st Quintile,Owner,Yes,0.06080,51,487,0.03956,0.08205
2015,1st Quintile,Owner,No,0.93920,436,487,0.91795,0.96044
2015,1st Quintile,Tenant,Yes,0.01934,62,3058,0.01446,0.02422
2015,1st Quintile,Tenant,No,0.98066,2996,3058,0.97578,0.98554
2015,2nd Quintile,Owner,Yes,0.10784,141,1088,0.08940,0.12628
2015,2nd Quintile,Owner,No,0.89216,947,1088,0.87372,0.91060
2015,2nd Quintile,Tenant,Yes,0.04255,91,2291,0.03429,0.05082
2015,2nd Quintile,Tenant,No,0.95745,2200,2291,0.94918,0.96571
2015,3rd Quintile,Owner,Yes,0.12932,235,1438,0.11197,0.14667
2015,3rd Quintile,Owner,No,0.87068,1203,1438,0.85333,0.88803
2015,3rd Quintile,Tenant,Yes,0.05431,82,1575,0.04312,0.06551
2015,3rd Quintile,Tenant,No,0.94569,1493,1575,0.93449,0.95688
2015,4th Quintile,Owner,Yes,0.15635,335,1648,0.13881,0.17389
2015,4th Quintile,Owner,No,0.84365,1313,1648,0.82611,0.86119
2015,4th Quintile,Tenant,Yes,0.05955,62,1181,0.04605,0.07305
2015,4th Quintile,Tenant,No,0.94045,1119,1181,0.92695,0.95395
2015,5th Quintile,Owner,Yes,0.19023,442,2074,0.17333,0.20712
2015,5th Quintile,Owner,No,0.80977,1632,2074,0.79288,0.82667
2015,5th Quintile,Tenant,Yes,0.06903,67,899,0.05245,0.08561
2015,5th Quintile,Tenant,No,0.93097,832,899,0.91439,0.94755
2016,1st Quintile,Owner,Yes,0.07702,42,396,0.05072,0.10331
2016,1st Quintile,Owner,No,0.92298,354,396,0.89669,0.94928
2016,1st Quintile,Tenant,Yes,0.02101,50,2693,0.01559,0.02643
2016,1st Quintile,Tenant,No,0.97899,2643,2693,0.97357,0.98441
2016,2nd Quintile,Owner,Yes,0.09317,127,1025,0.07537,0.11098
2016,2nd Quintile,Owner,No,0.90683,898,1025,0.88902,0.92463
2016,2nd Quintile,Tenant,Yes,0.04057,76,2012,0.03195,0.04920
2016,2nd Quintile,Tenant,No,0.95943,1936,2012,0.95080,0.96805
2016,3rd Quintile,Owner,Yes,0.14478,233,1341,0.12594,0.16362
2016,3rd Quintile,Owner,No,0.85522,1108,1341,0.83638,0.87406
2016,3rd Quintile,Tenant,Yes,0.03684,59,1399,0.02696,0.04671
2016,3rd Quintile,Tenant,No,0.96316,1340,1399,0.95329,0.97304
2016,4th Quintile,Owner,Yes,0.14062,300,1561,0.12337,0.15787
2016,4th Quintile,Owner,No,0.85938,1261,1561,0.84213,0.87663
2016,4th Quintile,Tenant,Yes,0.04251,55,1100,0.03058,0.05444
2016,4th Quintile,Tenant,No,0.95749,1045,1100,0.94556,0.96942
2016,5th Quintile,Owner,Yes,0.19944,429,1977,0.18182,0.21706
2016,5th Quintile,Owner,No,0.80056,1548,1977,0.78294,0.81818
2016,5th Quintile,Tenant,Yes,0.06890,52,777,0.05108,0.08672
2016,5th Quintile,Tenant,No,0.93110,725,777,0.91328,0.94892
2017,1st Quintile,Owner,Yes,0.08189,39,389,0.05461,0.10917
2017,1st Quintile,Owner,No,0.91811,350,389,0.89083,0.94539
2017,1st Quintile,Tenant,Yes,0.02672,59,2807,0.02076,0.03269
2017,1st Quintile,Tenant,No,0.97328,2748,2807,0.96731,0.97924
2017,2nd Quintile,Owner,Yes,0.11290,151,1099,0.09418,0.13162
2017,2nd Quintile,Owner,No,0.88710,948,1099,0.86838,0.90582
2017,2nd Quintile,Tenant,Yes,0.03836,67,2134,0.03021,0.04651
2017,2nd Quintile,Tenant,No,0.96164,2067,2134,0.95349,0.96979
2017,3rd Quintile,Owner,Yes,0.14456,293,1531,0.12694,0.16218
2017,3rd Quintile,Owner,No,0.85544,1238,1531,0.83782,0.87306
2017,3rd Quintile,Tenant,Yes,0.04630,72,1555,0.03585,0.05675
2017,3rd Quintile,Tenant,No,0.95370,1483,1555,0.94325,0.96415
2017,4th Quintile,Owner,Yes,0.15935,375,1796,0.14242,0.17628
2017,4th Quintile,Owner,No,0.84065,1421,1796,0.82372,0.85758
2017,4th Quintile,Tenant,Yes,0.05189,76,1246,0.03957,0.06421
2017,4th Quintile,Tenant,No,0.94811,1170,1246,0.93579,0.96043
2017,5th Quintile,Owner,Yes,0.19848,492,2243,0.18197,0.21499
2017,5th Quintile,Owner,No,0.80152,1751,2243,0.78501,0.81803
2017,5th Quintile,Tenant,Yes,0.05676,60,850,0.04120,0.07233
2017,5th Quintile,Tenant,No,0.94324,790,850,0.92767,0.95880
2018,1st Quintile,Owner,Yes,0.09516,46,381,0.06566,0.12467
2018,1st Quintile,Owner,No,0.90484,335,381,0.87533,0.93434
2018,1st Quintile,Tenant,Yes,0.01991,59,2925,0.01485,0.02498
2018,1st Quintile,Tenant,No,0.98009,2866,2925,0.97502,0.98515
2018,2nd Quintile,Owner,Yes,0.10238,154,1086,0.08434,0.12042
2018,2nd Quintile,Owner,No,0.89762,932,1086,0.87958,0.91566
2018,2nd Quintile,Tenant,Yes,0.03762,82,2207,0.02968,0.04556
2018,2nd Quintile,Tenant,No,0.96238,2125,2207,0.95444,0.97032
2018,3rd Quintile,Owner,Yes,0.14775,257,1401,0.12916,0.16634
2018,3rd Quintile,Owner,No,0.85225,1144,1401,0.83366,0.87084
2018,3rd Quintile,Tenant,Yes,0.04425,66,1536,0.03396,0.05453
2018,3rd Quintile,Tenant,No,0.95575,1470,1536,0.94547,0.96604
2018,4th Quintile,Owner,Yes,0.16118,350,1710,0.14375,0.17862
2018,4th Quintile,Owner,No,0.83882,1360,1710,0.82138,0.85625
2018,4th Quintile,Tenant,Yes,0.06183,67,1166,0.04800,0.07566
2018,4th Quintile,Tenant,No,0.93817,1099,1166,0.92434,0.95200
2018,5th Quintile,Owner,Yes,0.19991,491,2169,0.18308,0.21675
2018,5th Quintile,Owner,No,0.80009,1678,2169,0.78325,0.81692
2018,5th Quintile,Tenant,Yes,0.07820,65,838,0.06001,0.09639
2018,5th Quintile,Tenant,No,0.92180,773,838,0.90361,0.93999
2019,1st Quintile,Owner,Yes,0.12289,38,330,0.08741,0.15837
2019,1st Quintile,Owner,No,0.87711,292,330,0.84163,0.91259
2019,1st Quintile,Tenant,Yes,0.02139,47,2093,0.01519,0.02759
2019,1st Quintile,Tenant,No,0.97861,2046,2093,0.97241,0.98481
2019,2nd Quintile,Owner,Yes,0.10537,136,926,0.08559,0.12516
2019,2nd Quintile,Owner,No,0.89463,790,926,0.87484,0.91441
2019,2nd Quintile,Tenant,Yes,0.04884,60,1691,0.03856,0.05912
2019,2nd Quintile,Tenant,No,0.95116,1631,1691,0.94088,0.96144
2019,3rd Quintile,Owner,Yes,0.13908,210,1249,0.11988,0.15828
2019,3rd Quintile,Owner,No,0.86092,1039,1249,0.84172,0.88012
2019,3rd Quintile,Tenant,Yes,0.03407,53,1260,0.02405,0.04409
2019,3rd Quintile,Tenant,No,0.96593,1207,1260,0.95591,0.97595
2019,4th Quintile,Owner,Yes,0.17893,330,1520,0.15966,0.19821
2019,4th Quintile,Owner,No,0.82107,1190,1520,0.80179,0.84034
2019,4th Quintile,Tenant,Yes,0.05916,55,941,0.04407,0.07424
2019,4th Quintile,Tenant,No,0.94084,886,941,0.92576,0.95593
2019,5th Quintile,Owner,Yes,0.19526,439,1909,0.17747,0.21305
2019,5th Quintile,Owner,No,0.80474,1470,1909,0.78695,0.82253
2019,5th Quintile,Tenant,Yes,0.08790,55,685,0.06668,0.10912
2019,5th Quintile,Tenant,No,0.91210,630,685,0.89088,0.93332
2020,1st Quintile,Owner,Yes,0.09676,35,314,0.06400,0.12951
2020,1st Quintile,Owner,No,0.90324,279,314,0.87049,0.93600
2020,1st Quintile,Tenant,Yes,0.02620,89,3120,0.02060,0.03181
2020,1st Quintile,Tenant,No,0.97380,3031,3120,0.96819,0.97940
2020,2nd Quintile,Owner,Yes,0.11551,155,984,0.09553,0.13549
2020,2nd Quintile,Owner,No,0.88449,829,984,0.86451,0.90447
2020,2nd Quintile,Tenant,Yes,0.03209,82,2342,0.02495,0.03923
2020,2nd Quintile,Tenant,No,0.96791,2260,2342,0.96077,0.97505
2020,3rd Quintile,Owner,Yes,0.17639,252,1300,0.15567,0.19712
2020,3rd Quintile,Owner,No,0.82361,1048,1300,0.80288,0.84433
2020,3rd Quintile,Tenant,Yes,0.07498,99,1579,0.06199,0.08797
2020,3rd Quintile,Tenant,No,0.92502,1480,1579,0.91203,0.93801
2020,4th Quintile,Owner,Yes,0.19706,372,1616,0.17766,0.21646
2020,4th Quintile,Owner,No,0.80294,1244,1616,0.78354,0.82234
2020,4th Quintile,Tenant,Yes,0.06377,72,1237,0.05015,0.07739
2020,4th Quintile,Tenant,No,0.93623,1165,1237,0.92261,0.94985
2020,5th Quintile,Owner,Yes,0.21525,707,2729,0.19982,0.23067
2020,5th Quintile,Owner,No,0.78475,2022,2729,0.76933,0.80018
2020,5th Quintile,Tenant,Yes,0.06399,75,999,0.04881,0.07918
2020,5th Quintile,Tenant,No,0.93601,924,999,0.92082,0.95119
2021,1st Quintile,Owner,Yes,0.13389,37,246,0.09125,0.17654
2021,1st Quintile,Owner,No,0.86611,209,246,0.82346,0.90875
2021,1st Quintile,Tenant,Yes,0.02889,45,1530,0.02050,0.03729
2021,1st Quintile,Tenant,No,0.97111,1485,1530,0.96271,0.97950
2021,2nd Quintile,Owner,Yes,0.15122,122,644,0.12353,0.17891
2021,2nd Quintile,Owner,No,0.84878,522,644,0.82109,0.87647
2021,2nd Quintile,Tenant,Yes,0.02818,44,1331,0.01928,0.03707
2021,2nd Quintile,Tenant,No,0.97182,1287,1331,0.96293,0.98072
2021,3rd Quintile,Owner,Yes,0.14360,158,858,0.12012,0.16707
2021,3rd Quintile,Owner,No,0.85640,700,858,0.83293,0.87988
2021,3rd Quintile,Tenant,Yes,0.04844,50,989,0.03506,0.06183
2021,3rd Quintile,Tenant,No,0.95156,939,989,0.93817,0.96494
2021,4th Quintile,Owner,Yes,0.19945,261,1111,0.17594,0.22295
2021,4th Quintile,Owner,No,0.80055,850,1111,0.77705,0.82406
2021,4th Quintile,Tenant,Yes,0.07291,57,785,0.05471,0.09111
2021,4th Quintile,Tenant,No,0.92709,728,785,0.90889,0.94529
2021,5th Quintile,Owner,Yes,0.19857,438,1784,0.18005,0.21709
2021,5th Quintile,Owner,No,0.80143,1346,1784,0.78291,0.81995
2021,5th Quintile,Tenant,Yes,0.08573,53,646,0.06412,0.10733
2021,5th Quintile,Tenant,No,0.91427,593,646,0.89267,0.93588
2022,Not included in this version of the questionnaire,Tenant,No,0.94785,180,180,0.91528,0.98042
2022,1st Quintile,Owner,Yes,0.25616,294,992,0.22898,0.28334
2022,1st Quintile,Owner,No,0.74384,698,992,0.71666,0.77102
2022,1st Quintile,Tenant,Yes,0.03887,164,3518,0.03248,0.04526
2022,1st Quintile,Tenant,No,0.96113,3354,3518,0.95474,0.96752
2022,2nd Quintile,Owner,Yes,0.19842,272,1108,0.17492,0.22191
2022,2nd Quintile,Owner,No,0.80158,836,1108,0.77809,0.82508
2022,2nd Quintile,Tenant,Yes,0.05912,172,2754,0.05031,0.06793
2022,2nd Quintile,Tenant,No,0.94088,2582,2754,0.93207,0.94969
2022,3rd Quintile,Owner,Yes,0.19658,368,1405,0.17579,0.21737
2022,3rd Quintile,Owner,No,0.80342,1037,1405,0.78263,0.82421
2022,3rd Quintile,Tenant,Yes,0.06713,134,1986,0.05612,0.07814
2022,3rd Quintile,Tenant,No,0.93287,1852,1986,0.92186,0.94388
2022,4th Quintile,Owner,Yes,0.23879,505,1750,0.21881,0.25877
2022,4th Quintile,Owner,No,0.76121,1245,1750,0.74123,0.78119
2022,4th Quintile,Tenant,Yes,0.06946,115,1660,0.05722,0.08169
2022,4th Quintile,Tenant,No,0.93054,1545,1660,0.91831,0.94278
2022,5th Quintile,Owner,Yes,0.24426,801,2571,0.22765,0.26087
2022,5th Quintile,Owner,No,0.75574,1770,2571,0.73913,0.77235
2022,5th Quintile,Tenant,Yes,0.09218,126,1252,0.07615,0.10821
2022,5th Quintile,Tenant,No,0.90782,1126,1252,0.89179,0.92385
