"plb0196_h","year","bildungsniveau","regtyp","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Nein","1987","AkademikerIn","Laendlicher Raum","","","",""
"Ja","1988","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","1988","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","1988","Hauptschule","Staedtischer Raum","","","",""
"Ja","1988","Hauptschule","Laendlicher Raum","","","",""
"Ja","1988","Realschule","Staedtischer Raum","","","",""
"Ja","1988","Realschule","Laendlicher Raum","","","",""
"Ja","1988","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","1988","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","1988","AkademikerIn","Staedtischer Raum","","","",""
"Ja","1988","AkademikerIn","Laendlicher Raum","","","",""
"Nein","1988","(noch) kein Abschluss","Staedtischer Raum","287","1","1","1"
"Nein","1988","(noch) kein Abschluss","Laendlicher Raum","37","1","1","1"
"Nein","1988","Hauptschule","Staedtischer Raum","1793","1","1","1"
"Nein","1988","Hauptschule","Laendlicher Raum","529","1","1","1"
"Nein","1988","Realschule","Staedtischer Raum","552","1","1","1"
"Nein","1988","Realschule","Laendlicher Raum","167","1","1","1"
"Nein","1988","(Fach-)Abitur","Staedtischer Raum","216","1","1","1"
"Nein","1988","(Fach-)Abitur","Laendlicher Raum","35","1","1","1"
"Nein","1988","AkademikerIn","Staedtischer Raum","249","1","1","1"
"Nein","1988","AkademikerIn","Laendlicher Raum","61","1","1","1"
"Ja","1989","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","1989","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","1989","Hauptschule","Staedtischer Raum","","","",""
"Ja","1989","Hauptschule","Laendlicher Raum","","","",""
"Ja","1989","Realschule","Staedtischer Raum","","","",""
"Ja","1989","Realschule","Laendlicher Raum","","","",""
"Ja","1989","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","1989","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","1989","AkademikerIn","Staedtischer Raum","","","",""
"Ja","1989","AkademikerIn","Laendlicher Raum","","","",""
"Nein","1989","(noch) kein Abschluss","Staedtischer Raum","262","1","1","1"
"Nein","1989","(noch) kein Abschluss","Laendlicher Raum","42","1","1","1"
"Nein","1989","Hauptschule","Staedtischer Raum","1743","1","1","1"
"Nein","1989","Hauptschule","Laendlicher Raum","482","1","1","1"
"Nein","1989","Realschule","Staedtischer Raum","511","1","1","1"
"Nein","1989","Realschule","Laendlicher Raum","160","1","1","1"
"Nein","1989","(Fach-)Abitur","Staedtischer Raum","234","1","1","1"
"Nein","1989","(Fach-)Abitur","Laendlicher Raum","29","","",""
"Nein","1989","AkademikerIn","Staedtischer Raum","246","1","1","1"
"Nein","1989","AkademikerIn","Laendlicher Raum","49","1","1","1"
"Ja","1990","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","1990","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","1990","Hauptschule","Staedtischer Raum","","","",""
"Ja","1990","Hauptschule","Laendlicher Raum","","","",""
"Ja","1990","Realschule","Staedtischer Raum","","","",""
"Ja","1990","Realschule","Laendlicher Raum","","","",""
"Ja","1990","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","1990","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","1990","AkademikerIn","Staedtischer Raum","","","",""
"Ja","1990","AkademikerIn","Laendlicher Raum","","","",""
"Nein","1990","(noch) kein Abschluss","Staedtischer Raum","262","1","1","1"
"Nein","1990","(noch) kein Abschluss","Laendlicher Raum","38","1","1","1"
"Nein","1990","Hauptschule","Staedtischer Raum","1614","1","1","1"
"Nein","1990","Hauptschule","Laendlicher Raum","503","1","1","1"
"Nein","1990","Realschule","Staedtischer Raum","507","1","1","1"
"Nein","1990","Realschule","Laendlicher Raum","155","1","1","1"
"Nein","1990","(Fach-)Abitur","Staedtischer Raum","221","1","1","1"
"Nein","1990","(Fach-)Abitur","Laendlicher Raum","38","1","1","1"
"Nein","1990","AkademikerIn","Staedtischer Raum","224","1","1","1"
"Nein","1990","AkademikerIn","Laendlicher Raum","42","1","1","1"
"Ja","1991","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","1991","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","1991","Hauptschule","Staedtischer Raum","","","",""
"Ja","1991","Hauptschule","Laendlicher Raum","","","",""
"Ja","1991","Realschule","Staedtischer Raum","","","",""
"Ja","1991","Realschule","Laendlicher Raum","","","",""
"Ja","1991","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","1991","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","1991","AkademikerIn","Staedtischer Raum","","","",""
"Ja","1991","AkademikerIn","Laendlicher Raum","","","",""
"Nein","1991","(noch) kein Abschluss","Staedtischer Raum","262","1","1","1"
"Nein","1991","(noch) kein Abschluss","Laendlicher Raum","54","1","1","1"
"Nein","1991","Hauptschule","Staedtischer Raum","1785","1","1","1"
"Nein","1991","Hauptschule","Laendlicher Raum","915","1","1","1"
"Nein","1991","Realschule","Staedtischer Raum","725","1","1","1"
"Nein","1991","Realschule","Laendlicher Raum","716","1","1","1"
"Nein","1991","(Fach-)Abitur","Staedtischer Raum","255","1","1","1"
"Nein","1991","(Fach-)Abitur","Laendlicher Raum","67","1","1","1"
"Nein","1991","AkademikerIn","Staedtischer Raum","402","1","1","1"
"Nein","1991","AkademikerIn","Laendlicher Raum","321","1","1","1"
"Ja","1992","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","1992","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","1992","Hauptschule","Staedtischer Raum","","","",""
"Ja","1992","Hauptschule","Laendlicher Raum","","","",""
"Ja","1992","Realschule","Staedtischer Raum","","","",""
"Ja","1992","Realschule","Laendlicher Raum","","","",""
"Ja","1992","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","1992","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","1992","AkademikerIn","Staedtischer Raum","","","",""
"Ja","1992","AkademikerIn","Laendlicher Raum","","","",""
"Nein","1992","(noch) kein Abschluss","Staedtischer Raum","225","1","1","1"
"Nein","1992","(noch) kein Abschluss","Laendlicher Raum","59","1","1","1"
"Nein","1992","Hauptschule","Staedtischer Raum","1690","1","1","1"
"Nein","1992","Hauptschule","Laendlicher Raum","783","1","1","1"
"Nein","1992","Realschule","Staedtischer Raum","649","1","1","1"
"Nein","1992","Realschule","Laendlicher Raum","553","1","1","1"
"Nein","1992","(Fach-)Abitur","Staedtischer Raum","251","1","1","1"
"Nein","1992","(Fach-)Abitur","Laendlicher Raum","61","1","1","1"
"Nein","1992","AkademikerIn","Staedtischer Raum","363","1","1","1"
"Nein","1992","AkademikerIn","Laendlicher Raum","238","1","1","1"
"Ja","1993","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","1993","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","1993","Hauptschule","Staedtischer Raum","","","",""
"Ja","1993","Hauptschule","Laendlicher Raum","","","",""
"Ja","1993","Realschule","Staedtischer Raum","","","",""
"Ja","1993","Realschule","Laendlicher Raum","","","",""
"Ja","1993","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","1993","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","1993","AkademikerIn","Staedtischer Raum","","","",""
"Ja","1993","AkademikerIn","Laendlicher Raum","","","",""
"Nein","1993","(noch) kein Abschluss","Staedtischer Raum","231","1","1","1"
"Nein","1993","(noch) kein Abschluss","Laendlicher Raum","51","1","1","1"
"Nein","1993","Hauptschule","Staedtischer Raum","1673","1","1","1"
"Nein","1993","Hauptschule","Laendlicher Raum","699","1","1","1"
"Nein","1993","Realschule","Staedtischer Raum","683","1","1","1"
"Nein","1993","Realschule","Laendlicher Raum","562","1","1","1"
"Nein","1993","(Fach-)Abitur","Staedtischer Raum","266","1","1","1"
"Nein","1993","(Fach-)Abitur","Laendlicher Raum","76","1","1","1"
"Nein","1993","AkademikerIn","Staedtischer Raum","363","1","1","1"
"Nein","1993","AkademikerIn","Laendlicher Raum","218","1","1","1"
"Ja","1994","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","1994","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","1994","Hauptschule","Staedtischer Raum","","","",""
"Ja","1994","Hauptschule","Laendlicher Raum","","","",""
"Ja","1994","Realschule","Staedtischer Raum","","","",""
"Ja","1994","Realschule","Laendlicher Raum","","","",""
"Ja","1994","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","1994","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","1994","AkademikerIn","Staedtischer Raum","","","",""
"Ja","1994","AkademikerIn","Laendlicher Raum","","","",""
"Nein","1994","(noch) kein Abschluss","Staedtischer Raum","204","1","1","1"
"Nein","1994","(noch) kein Abschluss","Laendlicher Raum","54","1","1","1"
"Nein","1994","Hauptschule","Staedtischer Raum","1456","1","1","1"
"Nein","1994","Hauptschule","Laendlicher Raum","623","1","1","1"
"Nein","1994","Realschule","Staedtischer Raum","655","1","1","1"
"Nein","1994","Realschule","Laendlicher Raum","533","1","1","1"
"Nein","1994","(Fach-)Abitur","Staedtischer Raum","248","1","1","1"
"Nein","1994","(Fach-)Abitur","Laendlicher Raum","83","1","1","1"
"Nein","1994","AkademikerIn","Staedtischer Raum","374","1","1","1"
"Nein","1994","AkademikerIn","Laendlicher Raum","218","1","1","1"
"Ja","1995","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","1995","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","1995","Hauptschule","Staedtischer Raum","","","",""
"Ja","1995","Hauptschule","Laendlicher Raum","","","",""
"Ja","1995","Realschule","Staedtischer Raum","","","",""
"Ja","1995","Realschule","Laendlicher Raum","","","",""
"Ja","1995","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","1995","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","1995","AkademikerIn","Staedtischer Raum","","","",""
"Ja","1995","AkademikerIn","Laendlicher Raum","","","",""
"Nein","1995","(noch) kein Abschluss","Staedtischer Raum","177","1","1","1"
"Nein","1995","(noch) kein Abschluss","Laendlicher Raum","34","1","1","1"
"Nein","1995","Hauptschule","Staedtischer Raum","1374","1","1","1"
"Nein","1995","Hauptschule","Laendlicher Raum","651","1","1","1"
"Nein","1995","Realschule","Staedtischer Raum","618","1","1","1"
"Nein","1995","Realschule","Laendlicher Raum","588","1","1","1"
"Nein","1995","(Fach-)Abitur","Staedtischer Raum","274","1","1","1"
"Nein","1995","(Fach-)Abitur","Laendlicher Raum","93","1","1","1"
"Nein","1995","AkademikerIn","Staedtischer Raum","396","1","1","1"
"Nein","1995","AkademikerIn","Laendlicher Raum","240","1","1","1"
"Ja","1996","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","1996","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","1996","Hauptschule","Staedtischer Raum","","","",""
"Ja","1996","Hauptschule","Laendlicher Raum","","","",""
"Ja","1996","Realschule","Staedtischer Raum","","","",""
"Ja","1996","Realschule","Laendlicher Raum","","","",""
"Ja","1996","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","1996","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","1996","AkademikerIn","Staedtischer Raum","","","",""
"Ja","1996","AkademikerIn","Laendlicher Raum","","","",""
"Nein","1996","(noch) kein Abschluss","Staedtischer Raum","163","1","1","1"
"Nein","1996","(noch) kein Abschluss","Laendlicher Raum","31","1","1","1"
"Nein","1996","Hauptschule","Staedtischer Raum","1326","1","1","1"
"Nein","1996","Hauptschule","Laendlicher Raum","631","1","1","1"
"Nein","1996","Realschule","Staedtischer Raum","622","1","1","1"
"Nein","1996","Realschule","Laendlicher Raum","561","1","1","1"
"Nein","1996","(Fach-)Abitur","Staedtischer Raum","264","1","1","1"
"Nein","1996","(Fach-)Abitur","Laendlicher Raum","83","1","1","1"
"Nein","1996","AkademikerIn","Staedtischer Raum","394","1","1","1"
"Nein","1996","AkademikerIn","Laendlicher Raum","234","1","1","1"
"Ja","1997","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","1997","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","1997","Hauptschule","Staedtischer Raum","","","",""
"Ja","1997","Hauptschule","Laendlicher Raum","","","",""
"Ja","1997","Realschule","Staedtischer Raum","","","",""
"Ja","1997","Realschule","Laendlicher Raum","","","",""
"Ja","1997","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","1997","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","1997","AkademikerIn","Staedtischer Raum","","","",""
"Ja","1997","AkademikerIn","Laendlicher Raum","","","",""
"Nein","1997","(noch) kein Abschluss","Staedtischer Raum","36","1","1","1"
"Nein","1997","(noch) kein Abschluss","Laendlicher Raum","10","","",""
"Nein","1997","Hauptschule","Staedtischer Raum","379","1","1","1"
"Nein","1997","Hauptschule","Laendlicher Raum","211","1","1","1"
"Nein","1997","Realschule","Staedtischer Raum","219","1","1","1"
"Nein","1997","Realschule","Laendlicher Raum","222","1","1","1"
"Nein","1997","(Fach-)Abitur","Staedtischer Raum","77","1","1","1"
"Nein","1997","(Fach-)Abitur","Laendlicher Raum","34","1","1","1"
"Nein","1997","AkademikerIn","Staedtischer Raum","119","1","1","1"
"Nein","1997","AkademikerIn","Laendlicher Raum","75","1","1","1"
"Ja","1998","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","1998","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","1998","Hauptschule","Staedtischer Raum","","","",""
"Ja","1998","Hauptschule","Laendlicher Raum","","","",""
"Ja","1998","Realschule","Staedtischer Raum","","","",""
"Ja","1998","Realschule","Laendlicher Raum","","","",""
"Ja","1998","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","1998","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","1998","AkademikerIn","Staedtischer Raum","","","",""
"Ja","1998","AkademikerIn","Laendlicher Raum","","","",""
"Nein","1998","(noch) kein Abschluss","Staedtischer Raum","26","","",""
"Nein","1998","(noch) kein Abschluss","Laendlicher Raum","11","","",""
"Nein","1998","Hauptschule","Staedtischer Raum","376","1","1","1"
"Nein","1998","Hauptschule","Laendlicher Raum","223","1","1","1"
"Nein","1998","Realschule","Staedtischer Raum","226","1","1","1"
"Nein","1998","Realschule","Laendlicher Raum","256","1","1","1"
"Nein","1998","(Fach-)Abitur","Staedtischer Raum","79","1","1","1"
"Nein","1998","(Fach-)Abitur","Laendlicher Raum","26","","",""
"Nein","1998","AkademikerIn","Staedtischer Raum","123","1","1","1"
"Nein","1998","AkademikerIn","Laendlicher Raum","92","1","1","1"
"Ja","1999","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","1999","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","1999","Hauptschule","Staedtischer Raum","","","",""
"Ja","1999","Hauptschule","Laendlicher Raum","","","",""
"Ja","1999","Realschule","Staedtischer Raum","","","",""
"Ja","1999","Realschule","Laendlicher Raum","","","",""
"Ja","1999","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","1999","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","1999","AkademikerIn","Staedtischer Raum","","","",""
"Ja","1999","AkademikerIn","Laendlicher Raum","","","",""
"Nein","1999","(noch) kein Abschluss","Staedtischer Raum","29","","",""
"Nein","1999","(noch) kein Abschluss","Laendlicher Raum","6","","",""
"Nein","1999","Hauptschule","Staedtischer Raum","321","1","1","1"
"Nein","1999","Hauptschule","Laendlicher Raum","215","1","1","1"
"Nein","1999","Realschule","Staedtischer Raum","255","1","1","1"
"Nein","1999","Realschule","Laendlicher Raum","242","1","1","1"
"Nein","1999","(Fach-)Abitur","Staedtischer Raum","67","1","1","1"
"Nein","1999","(Fach-)Abitur","Laendlicher Raum","27","","",""
"Nein","1999","AkademikerIn","Staedtischer Raum","128","1","1","1"
"Nein","1999","AkademikerIn","Laendlicher Raum","79","1","1","1"
"Ja","2000","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","2000","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","2000","Hauptschule","Staedtischer Raum","","","",""
"Ja","2000","Hauptschule","Laendlicher Raum","","","",""
"Ja","2000","Realschule","Staedtischer Raum","","","",""
"Ja","2000","Realschule","Laendlicher Raum","","","",""
"Ja","2000","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","2000","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","2000","AkademikerIn","Staedtischer Raum","","","",""
"Ja","2000","AkademikerIn","Laendlicher Raum","","","",""
"Nein","2000","(noch) kein Abschluss","Staedtischer Raum","19","","",""
"Nein","2000","(noch) kein Abschluss","Laendlicher Raum","9","","",""
"Nein","2000","Hauptschule","Staedtischer Raum","608","1","1","1"
"Nein","2000","Hauptschule","Laendlicher Raum","313","1","1","1"
"Nein","2000","Realschule","Staedtischer Raum","464","1","1","1"
"Nein","2000","Realschule","Laendlicher Raum","421","1","1","1"
"Nein","2000","(Fach-)Abitur","Staedtischer Raum","181","1","1","1"
"Nein","2000","(Fach-)Abitur","Laendlicher Raum","62","1","1","1"
"Nein","2000","AkademikerIn","Staedtischer Raum","295","1","1","1"
"Nein","2000","AkademikerIn","Laendlicher Raum","136","1","1","1"
"Ja","2001","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","2001","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","2001","Hauptschule","Staedtischer Raum","","","",""
"Ja","2001","Hauptschule","Laendlicher Raum","","","",""
"Ja","2001","Realschule","Staedtischer Raum","","","",""
"Ja","2001","Realschule","Laendlicher Raum","","","",""
"Ja","2001","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","2001","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","2001","AkademikerIn","Staedtischer Raum","","","",""
"Ja","2001","AkademikerIn","Laendlicher Raum","","","",""
"Nein","2001","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nein","2001","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nein","2001","Hauptschule","Staedtischer Raum","","","",""
"Nein","2001","Hauptschule","Laendlicher Raum","","","",""
"Nein","2001","Realschule","Staedtischer Raum","","","",""
"Nein","2001","Realschule","Laendlicher Raum","","","",""
"Nein","2001","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nein","2001","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nein","2001","AkademikerIn","Staedtischer Raum","","","",""
"Nein","2001","AkademikerIn","Laendlicher Raum","","","",""
"Ja","2002","(noch) kein Abschluss","Staedtischer Raum","31","0.766644559571232","0.649406375450137","0.883882743692327"
"Ja","2002","(noch) kein Abschluss","Laendlicher Raum","6","","",""
"Ja","2002","Hauptschule","Staedtischer Raum","886","0.626600440617687","0.601042778599438","0.652158102635936"
"Ja","2002","Hauptschule","Laendlicher Raum","429","0.598757942756671","0.562653526288268","0.634862359225074"
"Ja","2002","Realschule","Staedtischer Raum","1090","0.720056589389513","0.697463597841199","0.742649580937827"
"Ja","2002","Realschule","Laendlicher Raum","744","0.664903337857065","0.637320678414116","0.692485997300014"
"Ja","2002","(Fach-)Abitur","Staedtischer Raum","489","0.718591694552212","0.684792746251423","0.752390642853001"
"Ja","2002","(Fach-)Abitur","Laendlicher Raum","162","0.709391852378651","0.649530166268204","0.769253538489099"
"Ja","2002","AkademikerIn","Staedtischer Raum","1269","0.789057374169765","0.768959778765282","0.809154969574248"
"Ja","2002","AkademikerIn","Laendlicher Raum","467","0.770208977364648","0.73701369813889","0.803404256590406"
"Nein","2002","(noch) kein Abschluss","Staedtischer Raum","19","","",""
"Nein","2002","(noch) kein Abschluss","Laendlicher Raum","7","","",""
"Nein","2002","Hauptschule","Staedtischer Raum","490","0.373399559382313","0.347841897364064","0.398957221400562"
"Nein","2002","Hauptschule","Laendlicher Raum","279","0.401242057243329","0.365137640774926","0.437346473711732"
"Nein","2002","Realschule","Staedtischer Raum","427","0.279943410610487","0.257350419062173","0.302536402158801"
"Nein","2002","Realschule","Laendlicher Raum","381","0.335096662142935","0.307514002699986","0.362679321585884"
"Nein","2002","(Fach-)Abitur","Staedtischer Raum","191","0.281408305447788","0.247609357146999","0.315207253748577"
"Nein","2002","(Fach-)Abitur","Laendlicher Raum","59","0.290608147621349","0.230746461510901","0.350469833731796"
"Nein","2002","AkademikerIn","Staedtischer Raum","314","0.210942625830235","0.190845030425752","0.231040221234718"
"Nein","2002","AkademikerIn","Laendlicher Raum","150","0.229791022635352","0.196595743409594","0.26298630186111"
"Ja","2003","(noch) kein Abschluss","Staedtischer Raum","21","","",""
"Ja","2003","(noch) kein Abschluss","Laendlicher Raum","5","","",""
"Ja","2003","Hauptschule","Staedtischer Raum","821","0.636871903950623","0.610557669840219","0.663186138061028"
"Ja","2003","Hauptschule","Laendlicher Raum","409","0.604431842475458","0.567461984299111","0.641401700651805"
"Ja","2003","Realschule","Staedtischer Raum","1043","0.719225386898323","0.696300017866457","0.74215075593019"
"Ja","2003","Realschule","Laendlicher Raum","730","0.671477391771309","0.643517738693121","0.699437044849497"
"Ja","2003","(Fach-)Abitur","Staedtischer Raum","504","0.69841761027183","0.664321561703102","0.732513658840557"
"Ja","2003","(Fach-)Abitur","Laendlicher Raum","153","0.767131627358544","0.711153775067718","0.823109479649369"
"Ja","2003","AkademikerIn","Staedtischer Raum","1150","0.809469635297642","0.78925590483378","0.829683365761504"
"Ja","2003","AkademikerIn","Laendlicher Raum","423","0.727225200597655","0.690821062659995","0.763629338535315"
"Nein","2003","(noch) kein Abschluss","Staedtischer Raum","13","","",""
"Nein","2003","(noch) kein Abschluss","Laendlicher Raum","2","","",""
"Nein","2003","Hauptschule","Staedtischer Raum","462","0.363128096049377","0.336813861938972","0.389442330159781"
"Nein","2003","Hauptschule","Laendlicher Raum","263","0.395568157524542","0.358598299348195","0.43253801570089"
"Nein","2003","Realschule","Staedtischer Raum","433","0.280774613101677","0.25784924406981","0.303699982133543"
"Nein","2003","Realschule","Laendlicher Raum","354","0.328522608228691","0.300562955150503","0.356482261306879"
"Nein","2003","(Fach-)Abitur","Staedtischer Raum","192","0.30158238972817","0.267486341159443","0.335678438296898"
"Nein","2003","(Fach-)Abitur","Laendlicher Raum","66","0.232868372641456","0.176890520350631","0.288846224932282"
"Nein","2003","AkademikerIn","Staedtischer Raum","300","0.190530364702358","0.170316634238496","0.21074409516622"
"Nein","2003","AkademikerIn","Laendlicher Raum","152","0.272774799402345","0.236370661464685","0.309178937340005"
"Ja","2004","(noch) kein Abschluss","Staedtischer Raum","20","","",""
"Ja","2004","(noch) kein Abschluss","Laendlicher Raum","5","","",""
"Ja","2004","Hauptschule","Staedtischer Raum","812","0.652855876267803","0.626120394482048","0.679591358053559"
"Ja","2004","Hauptschule","Laendlicher Raum","367","0.60788325548601","0.568785442557729","0.64698106841429"
"Ja","2004","Realschule","Staedtischer Raum","1033","0.720474654727314","0.697141632103886","0.743807677350742"
"Ja","2004","Realschule","Laendlicher Raum","746","0.695708426206126","0.668126929251629","0.723289923160623"
"Ja","2004","(Fach-)Abitur","Staedtischer Raum","484","0.745480408533845","0.712595482545826","0.778365334521865"
"Ja","2004","(Fach-)Abitur","Laendlicher Raum","143","0.729633034919547","0.669127935935801","0.790138133903293"
"Ja","2004","AkademikerIn","Staedtischer Raum","1068","0.744935333435462","0.722207321558675","0.767663345312248"
"Ja","2004","AkademikerIn","Laendlicher Raum","442","0.786635823395834","0.753120782242054","0.820150864549614"
"Nein","2004","(noch) kein Abschluss","Staedtischer Raum","12","","",""
"Nein","2004","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nein","2004","Hauptschule","Staedtischer Raum","406","0.347144123732197","0.320408641946442","0.373879605517953"
"Nein","2004","Hauptschule","Laendlicher Raum","232","0.39211674451399","0.35301893158571","0.431214557442271"
"Nein","2004","Realschule","Staedtischer Raum","388","0.279525345272686","0.256192322649258","0.302858367896114"
"Nein","2004","Realschule","Laendlicher Raum","323","0.304291573793874","0.276710076839377","0.331873070748371"
"Nein","2004","(Fach-)Abitur","Staedtischer Raum","190","0.254519591466155","0.221634665478135","0.287404517454174"
"Nein","2004","(Fach-)Abitur","Laendlicher Raum","64","0.270366965080453","0.209861866096707","0.330872064064199"
"Nein","2004","AkademikerIn","Staedtischer Raum","345","0.255064666564538","0.232336654687752","0.277792678441325"
"Nein","2004","AkademikerIn","Laendlicher Raum","132","0.213364176604166","0.179849135450386","0.246879217757946"
"Ja","2005","(noch) kein Abschluss","Staedtischer Raum","20","","",""
"Ja","2005","(noch) kein Abschluss","Laendlicher Raum","4","","",""
"Ja","2005","Hauptschule","Staedtischer Raum","756","0.687612032220347","0.660110645160783","0.71511341927991"
"Ja","2005","Hauptschule","Laendlicher Raum","339","0.605657908639378","0.565181279142373","0.646134538136383"
"Ja","2005","Realschule","Staedtischer Raum","966","0.728585921091843","0.704731766387871","0.752440075795816"
