year,sampreg,plb0196_h,proportion,n,lower_confidence,upper_confidence
2017,West,2.0,0.18623523369286082,31140,0.181911318847081,0.19055914853864064
2017,East,1.0,0.14791987673343607,31140,0.14397666359107347,0.15186308987579866
2017,East,2.0,0.054853620955315874,31140,0.05232462022213915,0.0573826216884926
2018,West,1.0,0.5941130143729081,29779,0.5885355332046759,0.5996904955411403
2018,West,2.0,0.2035833825556212,29779,0.1990099493989197,0.2081568157123227
2018,East,1.0,0.1406772986808427,29779,0.13672826198717167,0.14462633537451372
2018,East,2.0,0.06162630439062808,29779,0.05889498812255507,0.06435762065870108
2019,West,1.0,0.6050969287736877,29565,0.5995247523337099,0.6106691052136655
2019,West,2.0,0.1893922892615988,29565,0.18492593012168712,0.19385864840151046
2019,East,1.0,0.15377913308647354,29565,0.14966708959837918,0.1578911765745679
2019,East,2.0,0.051731648878240034,29565,0.04920694226116405,0.05425635549531602
2020,West,1.0,0.5143025078369906,29899,0.5086372459422431,0.5199677697317381
2020,West,2.0,0.2885971786833856,29899,0.2834611011407611,0.29373325622601004
2020,East,1.0,0.12490203761755486,29899,0.12115454455308101,0.12864953068202872
2020,East,2.0,0.07219827586206896,29899,0.06926455532802808,0.07513199639610985
2021,West,1.0,0.5850674915635545,19931,0.5782270641078054,0.5919079190193036
2021,West,2.0,0.21766029246344207,19931,0.21193129252405765,0.22338929240282648
2021,East,1.0,0.14102924634420697,19931,0.13619715308124802,0.1458613396071659
2021,East,2.0,0.0562429696287964,19931,0.053044400447791185,0.05944153880980162
