"plb0196_h","year","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Ja","2005","AkademikerIn","1398","0.773552625131267","0.754334877670318","0.792770372592216"
"Nein","2005","(noch) kein Abschluss","","","",""
"Nein","2005","Hauptschule","556","0.339021084443618","0.316187099419966","0.36185506946727"
"Nein","2005","Realschule","692","0.292273768936919","0.273774926660687","0.310772611213152"
"Nein","2005","(Fach-)Abitur","235","0.32099087874953","0.289344129767785","0.352637627731276"
"Nein","2005","AkademikerIn","424","0.226447374868733","0.207229627407784","0.245665122329682"
"Ja","2006","(noch) kein Abschluss","","","",""
"Ja","2006","Hauptschule","1220","0.668860949082679","0.647119676618506","0.690602221546851"
"Ja","2006","Realschule","1828","0.718750397732821","0.701258485497509","0.736242309968134"
"Ja","2006","(Fach-)Abitur","685","0.714259653008413","0.685394948068235","0.74312435794859"
"Ja","2006","AkademikerIn","1615","0.794014349791942","0.776434625456625","0.811594074127258"
"Nein","2006","(noch) kein Abschluss","","","",""
"Nein","2006","Hauptschule","580","0.331139050917321","0.309397778453149","0.352880323381494"
"Nein","2006","Realschule","710","0.281249602267179","0.263757690031866","0.298741514502492"
"Nein","2006","(Fach-)Abitur","256","0.285740346991587","0.25687564205141","0.314605051931765"
"Nein","2006","AkademikerIn","418","0.205985650208059","0.188405925872742","0.223565374543375"
"Ja","2007","(noch) kein Abschluss","","","",""
"Ja","2007","Hauptschule","1132","0.70111876537745","0.678772204645592","0.723465326109309"
"Ja","2007","Realschule","1739","0.737569302951327","0.719852951203466","0.755285654699189"
"Ja","2007","(Fach-)Abitur","671","0.779703250603972","0.752398062510637","0.807008438697308"
"Ja","2007","AkademikerIn","1513","0.789779073916045","0.771609894492298","0.807948253339792"
"Nein","2007","(noch) kein Abschluss","","","",""
"Nein","2007","Hauptschule","480","0.29888123462255","0.276534673890691","0.321227795354408"
"Nein","2007","Realschule","630","0.262430697048673","0.244714345300811","0.280147048796534"
"Nein","2007","(Fach-)Abitur","214","0.220296749396027","0.192991561302692","0.247601937489363"
"Nein","2007","AkademikerIn","419","0.210220926083955","0.192051746660208","0.228390105507702"
"Ja","2008","(noch) kein Abschluss","","","",""
"Ja","2008","Hauptschule","1058","0.679425444515997","0.656369593614218","0.702481295417777"
"Ja","2008","Realschule","1715","0.722532987960349","0.704529386456994","0.740536589463704"
"Ja","2008","(Fach-)Abitur","623","0.733608565834832","0.703976811909196","0.763240319760468"
"Ja","2008","AkademikerIn","1452","0.778360130578025","0.759463980088488","0.797256281067563"
"Nein","2008","(noch) kein Abschluss","","","",""
"Nein","2008","Hauptschule","516","0.320574555484003","0.297518704582223","0.343630406385782"
"Nein","2008","Realschule","661","0.277467012039651","0.259463410536296","0.295470613543005"
"Nein","2008","(Fach-)Abitur","232","0.266391434165168","0.236759680239532","0.296023188090804"
"Nein","2008","AkademikerIn","404","0.221639869421975","0.202743718932438","0.240536019911512"
"Ja","2009","(noch) kein Abschluss","","","",""
"Ja","2009","Hauptschule","842","0.648356118431681","0.622509419469114","0.674202817394248"
"Ja","2009","Realschule","1448","0.691609428609659","0.671795624501668","0.71142323271765"
"Ja","2009","(Fach-)Abitur","558","0.751278264730455","0.720883774538819","0.78167275492209"
"Ja","2009","AkademikerIn","1333","0.778935906052762","0.759296606473066","0.798575205632459"
"Nein","2009","(noch) kein Abschluss","","","",""
"Nein","2009","Hauptschule","469","0.351643881568319","0.325797182605752","0.377490580530886"
"Nein","2009","Realschule","639","0.308390571390341","0.28857676728235","0.328204375498332"
"Nein","2009","(Fach-)Abitur","219","0.248721735269545","0.21832724507791","0.279116225461181"
"Nein","2009","AkademikerIn","382","0.221064093947238","0.201424794367541","0.240703393526934"
"Ja","2010","(noch) kein Abschluss","33","0.772149938634867","0.658145485734365","0.886154391535368"
"Ja","2010","Hauptschule","1122","0.615055671965562","0.592676379841558","0.637434964089566"
"Ja","2010","Realschule","1959","0.662809782640182","0.645582935020067","0.680036630260297"
"Ja","2010","(Fach-)Abitur","808","0.704511739777602","0.677991216347007","0.731032263208197"
"Ja","2010","AkademikerIn","1766","0.764242926433872","0.746989129105967","0.781496723761777"
"Nein","2010","(noch) kein Abschluss","","","",""
"Nein","2010","Hauptschule","694","0.384944328034438","0.362565035910434","0.407323620158442"
"Nein","2010","Realschule","934","0.337190217359818","0.319963369739703","0.354417064979933"
"Nein","2010","(Fach-)Abitur","329","0.295488260222398","0.268967736791803","0.322008783652993"
"Nein","2010","AkademikerIn","559","0.235757073566128","0.218503276238223","0.253010870894033"
"Ja","2011","(noch) kein Abschluss","62","0.791829190615499","0.704484861345108","0.87917351988589"
"Ja","2011","Hauptschule","1472","0.664192234279234","0.64428492743461","0.684099541123858"
"Ja","2011","Realschule","2547","0.751404502294015","0.737053159310769","0.765755845277261"
"Ja","2011","(Fach-)Abitur","1043","0.755901183247735","0.733221403537171","0.778580962958299"
"Ja","2011","AkademikerIn","2185","0.789779157723891","0.774616142087878","0.804942173359904"
"Nein","2011","(noch) kein Abschluss","","","",""
"Nein","2011","Hauptschule","690","0.335807765720766","0.315900458876142","0.35571507256539"
"Nein","2011","Realschule","937","0.248595497705985","0.234244154722739","0.262946840689231"
"Nein","2011","(Fach-)Abitur","335","0.244098816752264","0.221419037041701","0.266778596462828"
"Nein","2011","AkademikerIn","589","0.210220842276109","0.195057826640096","0.225383857912122"
"Ja","2012","(noch) kein Abschluss","62","0.708146391569657","0.620350633006057","0.795942150133257"
"Ja","2012","Hauptschule","1463","0.640027759285248","0.620092499775694","0.659963018794802"
"Ja","2012","Realschule","2495","0.714644596394961","0.699774950634518","0.729514242155404"
"Ja","2012","(Fach-)Abitur","1108","0.749651316179459","0.727528061048597","0.771774571310322"
"Ja","2012","AkademikerIn","2158","0.779544936073084","0.764198159902299","0.794891712243868"
"Nein","2012","(noch) kein Abschluss","41","0.291853608430343","0.204057849866743","0.379649366993943"
"Nein","2012","Hauptschule","764","0.359972240714752","0.340036981205198","0.379907500224306"
"Nein","2012","Realschule","1048","0.285355403605039","0.270485757844596","0.300225049365482"
"Nein","2012","(Fach-)Abitur","365","0.250348683820541","0.228225428689678","0.272471938951403"
"Nein","2012","AkademikerIn","645","0.220455063926916","0.205108287756132","0.235801840097701"
"Ja","2013","(noch) kein Abschluss","89","0.660758365228238","0.58147835159929","0.740038378857185"
"Ja","2013","Hauptschule","1675","0.671683917174033","0.65316071360441","0.690207120743656"
"Ja","2013","Realschule","2468","0.716536197648985","0.701447251437077","0.731625143860892"
"Ja","2013","(Fach-)Abitur","1296","0.747590589643662","0.727301942119203","0.76787923716812"
"Ja","2013","AkademikerIn","2290","0.767727778804523","0.752581517209196","0.782874040399849"
"Nein","2013","(noch) kein Abschluss","48","0.339241634771762","0.259961621142815","0.41852164840071"
"Nein","2013","Hauptschule","794","0.328316082825967","0.309792879256344","0.34683928639559"
"Nein","2013","Realschule","959","0.283463802351015","0.268374856139108","0.298552748562923"
"Nein","2013","(Fach-)Abitur","465","0.252409410356338","0.23212076283188","0.272698057880797"
"Nein","2013","AkademikerIn","696","0.232272221195477","0.217125959600151","0.247418482790804"
"Ja","2014","(noch) kein Abschluss","66","0.771373104129798","0.68736747659034","0.855378731669255"
"Ja","2014","Hauptschule","1448","0.66092897846813","0.640886116303801","0.680971840632459"
"Ja","2014","Realschule","2213","0.721820773159689","0.706026291260809","0.737615255058569"
"Ja","2014","(Fach-)Abitur","1195","0.749460413653696","0.728404851459387","0.770515975848004"
"Ja","2014","AkademikerIn","2089","0.779042956516108","0.76359244598899","0.794493467043227"
"Nein","2014","(noch) kein Abschluss","30","0.228626895870202","0.144621268330744","0.31263252340966"
"Nein","2014","Hauptschule","695","0.33907102153187","0.319028159367541","0.359113883696199"
"Nein","2014","Realschule","879","0.278179226840311","0.262384744941431","0.293973708739191"
"Nein","2014","(Fach-)Abitur","432","0.250539586346304","0.229484024151996","0.271595148540613"
"Nein","2014","AkademikerIn","681","0.220957043483892","0.205506532956773","0.236407554011011"
"Ja","2015","(noch) kein Abschluss","67","0.776959711972018","0.696173189557866","0.85774623438617"
"Ja","2015","Hauptschule","1417","0.714345318256443","0.694336726564099","0.734353909948787"
"Ja","2015","Realschule","2164","0.758119377903752","0.742474505212922","0.773764250594583"
"Ja","2015","(Fach-)Abitur","1194","0.743171134852095","0.721546867866667","0.764795401837523"
"Ja","2015","AkademikerIn","2222","0.821052379941634","0.806697470058424","0.835407289824843"
"Nein","2015","(noch) kein Abschluss","35","0.223040288027982","0.14225376561383","0.303826810442134"
"Nein","2015","Hauptschule","541","0.285654681743557","0.265646090051213","0.305663273435901"
"Nein","2015","Realschule","714","0.241880622096248","0.226235749405417","0.257525494787078"
"Nein","2015","(Fach-)Abitur","374","0.256828865147905","0.235204598162476","0.278453132133333"
"Nein","2015","AkademikerIn","517","0.178947620058366","0.164592710175157","0.193302529941576"
"Ja","2016","(noch) kein Abschluss","67","0.659927135703011","0.56565220825857","0.754202063147453"
"Ja","2016","Hauptschule","1312","0.708723079173985","0.687756810362822","0.729689347985148"
"Ja","2016","Realschule","2032","0.752407169728517","0.736192820399373","0.768621519057661"
"Ja","2016","(Fach-)Abitur","1197","0.775925794185524","0.755140825533071","0.796710762837977"
"Ja","2016","AkademikerIn","2085","0.814331996691032","0.799442955597681","0.829221037784382"
"Nein","2016","(noch) kein Abschluss","30","0.340072864296989","0.245797936852547","0.43434779174143"
"Nein","2016","Hauptschule","492","0.291276920826015","0.270310652014852","0.312243189637178"
"Nein","2016","Realschule","690","0.247592830271483","0.231378480942339","0.263807179600627"
"Nein","2016","(Fach-)Abitur","349","0.224074205814476","0.203289237162023","0.244859174466929"
"Nein","2016","AkademikerIn","535","0.185668003308968","0.170778962215618","0.200557044402319"
"Ja","2017","(noch) kein Abschluss","76","0.620905521167737","0.534100677652073","0.707710364683401"
"Ja","2017","Hauptschule","1315","0.695860302080696","0.674981467247806","0.716739136913586"
"Ja","2017","Realschule","2245","0.767445188073777","0.752282345700689","0.782608030446865"
"Ja","2017","(Fach-)Abitur","1273","0.74833258629316","0.727678975503678","0.768986197082643"
"Ja","2017","AkademikerIn","2292","0.815044086827582","0.800751981103972","0.829336192551192"
"Nein","2017","(noch) kein Abschluss","44","0.379094478832263","0.292289635316599","0.465899322347927"
"Nein","2017","Hauptschule","550","0.304139697919304","0.283260863086414","0.325018532752194"
"Nein","2017","Realschule","737","0.232554811926223","0.217391969553135","0.247717654299311"
"Nein","2017","(Fach-)Abitur","423","0.25166741370684","0.231013802917357","0.272321024496322"
"Nein","2017","AkademikerIn","543","0.184955913172418","0.170663807448808","0.199248018896028"
"Ja","2018","(noch) kein Abschluss","99","0.625261591729509","0.545924723662299","0.704598459796719"
"Ja","2018","Hauptschule","1321","0.704190169898783","0.683812312732609","0.724568027064958"
"Ja","2018","Realschule","2216","0.755188949702009","0.739815576340978","0.77056232306304"
"Ja","2018","(Fach-)Abitur","1310","0.766331649632982","0.746640112862846","0.786023186403118"
"Ja","2018","AkademikerIn","2280","0.776975885841222","0.762067543417807","0.791884228264636"
"Nein","2018","(noch) kein Abschluss","44","0.374738408270491","0.295401540203281","0.454075276337701"
"Nein","2018","Hauptschule","606","0.295809830101217","0.275431972935042","0.316187687267391"
"Nein","2018","Realschule","789","0.244811050297991","0.22943767693696","0.260184423659022"
"Nein","2018","(Fach-)Abitur","464","0.233668350367018","0.213976813596882","0.253359887137154"
"Nein","2018","AkademikerIn","715","0.223024114158778","0.208115771735364","0.237932456582193"
"Ja","2019","(noch) kein Abschluss","108","0.784213799775886","0.720272920694548","0.848154678857223"
"Ja","2019","Hauptschule","1126","0.734765237229257","0.712872649499588","0.756657824958926"
"Ja","2019","Realschule","2047","0.76791806440648","0.752023758895182","0.783812369917778"
"Ja","2019","(Fach-)Abitur","1251","0.767656768245821","0.747303746669231","0.788009789822411"
"Ja","2019","AkademikerIn","2276","0.802429031140529","0.787902403355757","0.816955658925301"
"Nein","2019","(noch) kein Abschluss","51","0.215786200224114","0.151845321142777","0.279727079305452"
"Nein","2019","Hauptschule","436","0.265234762770743","0.243342175041074","0.287127350500412"
"Nein","2019","Realschule","663","0.23208193559352","0.216187630082222","0.247976241104818"
"Nein","2019","(Fach-)Abitur","403","0.232343231754179","0.211990210177589","0.252696253330769"
"Nein","2019","AkademikerIn","610","0.197570968859471","0.183044341074699","0.212097596644243"
"Ja","2020","(noch) kein Abschluss","107","0.60605159805533","0.536205260530677","0.675897935579983"
"Ja","2020","Hauptschule","995","0.605954954708364","0.582525996803563","0.629383912613166"
"Ja","2020","Realschule","1772","0.629566750941014","0.611657043341734","0.647476458540294"
"Ja","2020","(Fach-)Abitur","1243","0.672035140197739","0.651149635655751","0.692920644739727"
"Ja","2020","AkademikerIn","2198","0.697020091116647","0.68130525097092","0.712734931262374"
"Nein","2020","(noch) kein Abschluss","81","0.39394840194467","0.324102064420017","0.463794739469323"
"Nein","2020","Hauptschule","676","0.394045045291636","0.370616087386834","0.417474003196437"
"Nein","2020","Realschule","1021","0.370433249058986","0.352523541459706","0.388342956658266"
"Nein","2020","(Fach-)Abitur","698","0.327964859802261","0.307079355260273","0.348850364344249"
"Nein","2020","AkademikerIn","1087","0.302979908883353","0.287265068737626","0.31869474902908"
