"plb0196_h","year","bildungsniveau","sex","n","percent","lower_confidence","upper_confidence"
"Ja","2002","(Fach-)Abitur","weiblich","314","0.717454161766277","0.675337167673225","0.759571155859328"
"Ja","2002","AkademikerIn","maennlich","1074","0.805410566810911","0.784062184564972","0.82675894905685"
"Ja","2002","AkademikerIn","weiblich","662","0.752241412590957","0.723701894800031","0.780780930381883"
"Nein","2002","(noch) kein Abschluss","maennlich","","","",""
"Nein","2002","(noch) kein Abschluss","weiblich","","","",""
"Nein","2002","Hauptschule","maennlich","506","0.370534754307166","0.345236856962004","0.395832651652329"
"Nein","2002","Hauptschule","weiblich","263","0.40648020447012","0.369670922608507","0.443289486331733"
"Nein","2002","Realschule","maennlich","414","0.299019258973572","0.274642213529327","0.323396304417817"
"Nein","2002","Realschule","weiblich","394","0.306332753536226","0.281148381337041","0.331517125735412"
"Nein","2002","(Fach-)Abitur","maennlich","125","0.284228413014571","0.243099420077015","0.325357405952127"
"Nein","2002","(Fach-)Abitur","weiblich","125","0.282545838233723","0.240428844140672","0.324662832326775"
"Nein","2002","AkademikerIn","maennlich","247","0.194589433189089","0.17324105094315","0.215937815435027"
"Nein","2002","AkademikerIn","weiblich","217","0.247758587409043","0.219219069618117","0.276298105199969"
"Ja","2003","(noch) kein Abschluss","maennlich","","","",""
"Ja","2003","(noch) kein Abschluss","weiblich","","","",""
"Ja","2003","Hauptschule","maennlich","812","0.63394537674987","0.60762708571166","0.66026366778808"
"Ja","2003","Hauptschule","weiblich","418","0.61068318471181","0.573707227829275","0.647659141594345"
"Ja","2003","Realschule","maennlich","922","0.735630393380322","0.711471407457933","0.759789379302712"
"Ja","2003","Realschule","weiblich","851","0.659715987548983","0.633759711565021","0.685672263532944"
"Ja","2003","(Fach-)Abitur","maennlich","336","0.703514096246269","0.661317224001673","0.745710968490865"
"Ja","2003","(Fach-)Abitur","weiblich","321","0.722591552367929","0.68189778522707","0.763285319508788"
"Ja","2003","AkademikerIn","maennlich","969","0.819955843222836","0.79802395940323","0.841887727042442"
"Ja","2003","AkademikerIn","weiblich","604","0.741927277972381","0.712441361550544","0.771413194394219"
