"hlf0036","year","regtyp","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","2016","Städtischer Raum","Ostdeutschland","22","","",""
"Ja","2016","Ländlicher Raum","Westdeutschland","165","0.0476236866046185","0.0399683122141496","0.0552790609950875"
"Ja","2016","Ländlicher Raum","Ostdeutschland","63","0.0337195888932943","0.0256602400011575","0.041778937785431"
"Nein","2016","Städtischer Raum","Westdeutschland","7886","0.970698457894394","0.967039894360633","0.974357021428155"
"Nein","2016","Städtischer Raum","Ostdeutschland","1085","0.976578552718925","0.96766943421611","0.985487671221739"
"Nein","2016","Ländlicher Raum","Westdeutschland","2808","0.952376313395382","0.944720939004913","0.96003168778585"
"Nein","2016","Ländlicher Raum","Ostdeutschland","1864","0.966280411106706","0.958221062214569","0.974339759998843"
"Ja","2017","Städtischer Raum","Westdeutschland","350","0.0345960889430173","0.0308016034339293","0.0383905744521052"
"Ja","2017","Städtischer Raum","Ostdeutschland","26","","",""
"Ja","2017","Ländlicher Raum","Westdeutschland","205","0.0558263485376683","0.0479331693846487","0.0637195276906878"
"Ja","2017","Ländlicher Raum","Ostdeutschland","75","0.0292396914360977","0.0221396279923965","0.0363397548797989"
"Nein","2017","Städtischer Raum","Westdeutschland","8561","0.965403911056983","0.961609425547895","0.969198396566071"
"Nein","2017","Städtischer Raum","Ostdeutschland","1191","0.977080207734545","0.96867258436878","0.985487831100311"
"Nein","2017","Ländlicher Raum","Westdeutschland","3045","0.944173651462332","0.936280472309312","0.952066830615351"
"Nein","2017","Ländlicher Raum","Ostdeutschland","2088","0.970760308563902","0.963660245120201","0.977860372007603"
"Ja","2018","Städtischer Raum","Westdeutschland","337","0.0339747166992282","0.0301857259651443","0.037763707433312"
"Ja","2018","Städtischer Raum","Ostdeutschland","30","0.0245844205148818","0.0158842526170421","0.0332845884127214"
"Ja","2018","Ländlicher Raum","Westdeutschland","192","0.0600944762439184","0.051712067707872","0.0684768847799648"
"Ja","2018","Ländlicher Raum","Ostdeutschland","77","0.0370917424959381","0.0290640388063847","0.0451194461854915"
"Nein","2018","Städtischer Raum","Westdeutschland","8445","0.966025283300772","0.962236292566688","0.969814274034856"
"Nein","2018","Städtischer Raum","Ostdeutschland","1187","0.975415579485118","0.966715411587279","0.984115747382958"
"Nein","2018","Ländlicher Raum","Westdeutschland","2896","0.939905523756082","0.931523115220035","0.948287932292128"
"Nein","2018","Ländlicher Raum","Ostdeutschland","2052","0.962908257504062","0.954880553814509","0.970935961193615"
"Ja","2019","Städtischer Raum","Westdeutschland","","","",""
"Ja","2019","Städtischer Raum","Ostdeutschland","","","",""
"Ja","2019","Ländlicher Raum","Westdeutschland","","","",""
"Ja","2019","Ländlicher Raum","Ostdeutschland","","","",""
"Nein","2019","Städtischer Raum","Westdeutschland","","","",""
"Nein","2019","Städtischer Raum","Ostdeutschland","","","",""
"Nein","2019","Ländlicher Raum","Westdeutschland","","","",""
"Nein","2019","Ländlicher Raum","Ostdeutschland","","","",""
"Ja","2020","Städtischer Raum","Westdeutschland","344","0.0288102576451066","0.0254513688713496","0.0321691464188637"
"Ja","2020","Städtischer Raum","Ostdeutschland","33","0.0205121206448141","0.0127439701092193","0.0282802711804088"
"Ja","2020","Ländlicher Raum","Westdeutschland","190","0.0538408252898339","0.0459701637905425","0.0617114867891253"
"Ja","2020","Ländlicher Raum","Ostdeutschland","111","0.0444120101288132","0.0356364828920482","0.0531875373655782"
"Nein","2020","Städtischer Raum","Westdeutschland","9183","0.971189742354893","0.967830853581136","0.97454863112865"
"Nein","2020","Städtischer Raum","Ostdeutschland","1246","0.979487879355186","0.971719728819591","0.987256029890781"
"Nein","2020","Ländlicher Raum","Westdeutschland","2969","0.946159174710166","0.938288513210875","0.954029836209457"
"Nein","2020","Ländlicher Raum","Ostdeutschland","2006","0.955587989871187","0.946812462634422","0.964363517107952"
