"year","bildungsniveau","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2018","Realschule","80.33","77.5","6542","58","66","90","105","140","79.88","80.78","35","230","77","78"
"2019","(Fach-)Abitur","","","","","","","","","","","","","",""
"2019","(noch) kein Abschluss","","","","","","","","","","","","","",""
"2019","AkademikerIn","","","","","","","","","","","","","",""
"2019","Hauptschule","","","","","","","","","","","","","",""
"2019","Realschule","","","","","","","","","","","","","",""
"2020","(Fach-)Abitur","78.03","74.5","4405","58","65","88","100","135","77.51","78.55","38","200","74","75"
"2020","(noch) kein Abschluss","76.3","74.5","895","56","64","85","97","130","75.19","77.41","40","140","70","75"
"2020","AkademikerIn","77.98","75.5","7139","58","66","87","100","125","77.6","78.36","39","201","75","76"
"2020","Hauptschule","80.99","79.5","5849","60","68","90","104","140","80.5","81.48","37","202","80","80"
"2020","Realschule","80.91","79.5","6114","59","66","91","105","145","80.44","81.38","36","230","78","80"
