"year","age_gr","sex","mean","median","n","lower_confidence","upper_confidence"
"2015","66 +","weiblich","","","","",""
"2016","17-34","maennlich","83.1","79.5","2523","82.45","83.75"
"2016","17-34","weiblich","66.66","63.5","2926","66.11","67.21"
"2016","35-65","maennlich","88.74","85.5","6157","88.34","89.14"
"2016","35-65","weiblich","73.04","69.5","7501","72.67","73.41"
"2016","66 +","maennlich","83.55","81.5","2302","83.01","84.09"
"2016","66 +","weiblich","70.12","68.5","2363","69.57","70.67"
"2017","17-34","maennlich","","","","",""
"2017","17-34","weiblich","","","","",""
"2017","35-65","maennlich","","","","",""
"2017","35-65","weiblich","","","","",""
"2017","66 +","maennlich","","","","",""
"2017","66 +","weiblich","","","","",""
"2018","17-34","maennlich","83.27","79.5","3711","82.73","83.81"
"2018","17-34","weiblich","67.59","63.5","3686","67.09","68.09"
"2018","35-65","maennlich","89.17","85.5","7434","88.8","89.54"
"2018","35-65","weiblich","73.63","69.5","8435","73.28","73.98"
"2018","66 +","maennlich","84.09","82.5","2440","83.53","84.65"
"2018","66 +","weiblich","69.76","68.5","2509","69.22","70.3"
"2019","17-34","maennlich","","","","",""
"2019","17-34","weiblich","","","","",""
"2019","35-65","maennlich","","","","",""
"2019","35-65","weiblich","","","","",""
"2019","66 +","maennlich","","","","",""
"2019","66 +","weiblich","","","","",""
"2020","17-34","maennlich","85.07","81.5","3085","84.47","85.67"
"2020","17-34","weiblich","68.72","64.5","3108","68.18","69.26"
"2020","35-65","maennlich","89.34","85.5","6698","88.94","89.74"
"2020","35-65","weiblich","74.38","69.5","7588","74","74.76"
"2020","66 +","maennlich","84.54","82.5","2440","83.96","85.12"
"2020","66 +","weiblich","70.33","68.5","2449","69.75","70.91"
