"year","quintil_oecd","regtyp","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2010","2","Ländlicher Raum","77.36","76.5","1339","58","65","88","100","120","76.51","78.21","40","177","78","80"
"2010","2","Städtischer Raum","75.81","74.5","1972","56","64","85","95","125","75.11","76.51","36","167","74","75"
"2010","3","Ländlicher Raum","77.8","76.5","1199","60","68","88","99","120","76.95","78.65","40","137","76","79"
"2010","3","Städtischer Raum","77.55","74.5","1828","58","65","86","100","134","76.78","78.32","43","165","74","75"
"2010","4","Ländlicher Raum","78.62","77.5","1251","59","67","89","100","130","77.71","79.53","43","160","76","78"
"2010","4","Städtischer Raum","77.04","74.5","2526","58","65","86","98","125","76.42","77.66","38","175","75","76"
"2010","5 Einkommensstärkstes Quintil","Ländlicher Raum","79.49","77.5","957","59","67","90","100","128","78.44","80.54","44","179","75","78"
"2010","5 Einkommensstärkstes Quintil","Städtischer Raum","77.71","74.5","3037","58","65","88","100","131","77.12","78.3","43","197","75","76"
"2011","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2011","1 Einkommensschwächstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2011","2","Ländlicher Raum","","","","","","","","","","","","","",""
"2011","2","Städtischer Raum","","","","","","","","","","","","","",""
"2011","3","Ländlicher Raum","","","","","","","","","","","","","",""
"2011","3","Städtischer Raum","","","","","","","","","","","","","",""
"2011","4","Ländlicher Raum","","","","","","","","","","","","","",""
"2011","4","Städtischer Raum","","","","","","","","","","","","","",""
"2011","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2011","5 Einkommensstärkstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2012","1 Einkommensschwächstes Quintil","Ländlicher Raum","78.3","75.5","1194","58","65","88","100","130","77.28","79.32","35","170","75","78"
"2012","1 Einkommensschwächstes Quintil","Städtischer Raum","77","74.5","1646","57","65","86","100","132","76.16","77.84","37","190","74","75"
"2012","2","Ländlicher Raum","78.25","77.5","1587","58","66","90","100","125","77.46","79.04","40","169","77","80"
"2012","2","Städtischer Raum","76.15","74.5","2109","57","64","85","98","130","75.45","76.85","30","180","74","75"
"2012","3","Ländlicher Raum","78.8","77.5","1561","58","68","89","100","120","78.03","79.57","40","143","78","80"
"2012","3","Städtischer Raum","76.74","74.5","2196","57","65","86","100","127","76.06","77.42","40","166","74","75"
"2012","4","Ländlicher Raum","78.76","77.5","1646","59","66","89","100","130","77.97","79.55","40","165","76","78"
"2012","4","Städtischer Raum","76.97","74.5","3056","58","65","86","98","130","76.38","77.56","30","162","75","76"
"2012","5 Einkommensstärkstes Quintil","Ländlicher Raum","79.23","77.5","1357","60","67","90","100","125","78.35","80.11","42","169","76","79"
"2012","5 Einkommensstärkstes Quintil","Städtischer Raum","77.71","75.5","3872","58","65","88","100","126","77.19","78.23","39","225","75","76"
"2013","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2013","1 Einkommensschwächstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2013","2","Ländlicher Raum","","","","","","","","","","","","","",""
"2013","2","Städtischer Raum","","","","","","","","","","","","","",""
"2013","3","Ländlicher Raum","","","","","","","","","","","","","",""
"2013","3","Städtischer Raum","","","","","","","","","","","","","",""
"2013","4","Ländlicher Raum","","","","","","","","","","","","","",""
"2013","4","Städtischer Raum","","","","","","","","","","","","","",""
"2013","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2013","5 Einkommensstärkstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2014","1 Einkommensschwächstes Quintil","Ländlicher Raum","79.4","76.5","1546","58","67","90","102","130","78.47","80.33","35","200","75","77"
"2014","1 Einkommensschwächstes Quintil","Städtischer Raum","77.92","74.5","2563","56","65","88","100","140","77.2","78.64","36","190","75","75"
"2014","2","Ländlicher Raum","78.45","77.5","2082","57","66","90","100","130","77.69","79.21","35","180","76","78"
"2014","2","Städtischer Raum","77.41","74.5","3066","58","65","87","100","130","76.8","78.02","30","195","75","75"
"2014","3","Ländlicher Raum","78.15","76.5","1850","58","67","88","100","125","77.41","78.89","40","170","76","78"
"2014","3","Städtischer Raum","76.89","74.5","2942","57","65","86","97","126","76.29","77.49","43","225","75","76"
"2014","4","Ländlicher Raum","78.4","77.5","2189","59","67","89","100","130","77.71","79.09","42","185","76","78"
"2014","4","Städtischer Raum","76.73","74.5","3882","58","64","85","99","127","76.21","77.25","39","162","75","76"
"2014","5 Einkommensstärkstes Quintil","Ländlicher Raum","80.16","79.5","1679","60","68","90","103","130","79.34","80.98","44","152","77","79"
"2014","5 Einkommensstärkstes Quintil","Städtischer Raum","77.68","74.5","4914","58","65","88","100","126","77.23","78.13","30","175","75","75"
"2015","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2015","1 Einkommensschwächstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2015","2","Ländlicher Raum","","","","","","","","","","","","","",""
"2015","2","Städtischer Raum","","","","","","","","","","","","","",""
"2015","3","Ländlicher Raum","","","","","","","","","","","","","",""
"2015","3","Städtischer Raum","","","","","","","","","","","","","",""
"2015","4","Ländlicher Raum","","","","","","","","","","","","","",""
"2015","4","Städtischer Raum","","","","","","","","","","","","","",""
"2015","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2015","5 Einkommensstärkstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2016","1 Einkommensschwächstes Quintil","Ländlicher Raum","79.26","77.5","1241","56","66","90","103","143","78.17","80.35","36","180","75","78"
"2016","1 Einkommensschwächstes Quintil","Städtischer Raum","78.27","74.5","1946","57","65","87","100","141","77.43","79.11","37","190","74","75"
"2016","2","Ländlicher Raum","79.14","77.5","1560","58","66","90","102","130","78.23","80.05","40","230","75","78"
"2016","2","Städtischer Raum","78.57","74.5","2386","58","65","88","102","140","77.83","79.31","39","200","75","76"
"2016","3","Ländlicher Raum","78.74","77.5","1620","60","67","90","100","130","77.94","79.54","42","160","76","79"
"2016","3","Städtischer Raum","77.62","74.5","2456","57","65","88","100","135","76.91","78.33","43","215","75","76"
"2016","4","Ländlicher Raum","79.37","78.5","2131","59","68","90","100","130","78.64","80.1","40","190","78","80"
"2016","4","Städtischer Raum","77.6","74.5","3699","58","65","88","100","126","77.04","78.16","38","175","75","76"
"2016","5 Einkommensstärkstes Quintil","Ländlicher Raum","80.05","79.5","1834","60","68","90","103","122","79.28","80.82","40","155","77","79"
"2016","5 Einkommensstärkstes Quintil","Städtischer Raum","78.15","75.5","4899","58","65","88","100","128","77.69","78.61","30","180","75","76"
"2017","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2017","1 Einkommensschwächstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2017","2","Ländlicher Raum","","","","","","","","","","","","","",""
"2017","2","Städtischer Raum","","","","","","","","","","","","","",""
"2017","3","Ländlicher Raum","","","","","","","","","","","","","",""
"2017","3","Städtischer Raum","","","","","","","","","","","","","",""
"2017","4","Ländlicher Raum","","","","","","","","","","","","","",""
"2017","4","Städtischer Raum","","","","","","","","","","","","","",""
"2017","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2017","5 Einkommensstärkstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2018","1 Einkommensschwächstes Quintil","Ländlicher Raum","80.67","78.5","1750","59","67","90","105","138","79.76","81.58","37","230","75","77"
"2018","1 Einkommensschwächstes Quintil","Städtischer Raum","78.42","74.5","3517","58","65","86","101","150","77.86","78.98","36","188","75","75"
"2018","2","Ländlicher Raum","80.12","76.5","1373","57","65","90","105","150","79.14","81.1","35","187","75","78"
"2018","2","Städtischer Raum","78.18","74.5","2383","58","65","89","100","130","77.44","78.92","40","190","75","75"
"2018","3","Ländlicher Raum","79.68","78.5","1696","59","68","90","100","130","78.85","80.51","42","200","78","80"
"2018","3","Städtischer Raum","76.98","74.5","2492","56","65","87","99","130","76.29","77.67","40","181","75","76"
"2018","4","Ländlicher Raum","79.89","78.5","2368","58","67","90","103","130","79.19","80.59","41","185","78","80"
"2018","4","Städtischer Raum","77.8","74.5","4147","58","65","88","100","130","77.25","78.35","38","195","75","76"
"2018","5 Einkommensstärkstes Quintil","Ländlicher Raum","80.21","79.5","2473","60","68","90","102","125","79.55","80.87","35","154","78","79"
"2018","5 Einkommensstärkstes Quintil","Städtischer Raum","79.08","76.5","6016","58","66","89","102","134","78.64","79.52","30","182","75","77"
"2019","1 Einkommensschwächstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2019","1 Einkommensschwächstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2019","2","Ländlicher Raum","","","","","","","","","","","","","",""
"2019","2","Städtischer Raum","","","","","","","","","","","","","",""
"2019","3","Ländlicher Raum","","","","","","","","","","","","","",""
"2019","3","Städtischer Raum","","","","","","","","","","","","","",""
"2019","4","Ländlicher Raum","","","","","","","","","","","","","",""
"2019","4","Städtischer Raum","","","","","","","","","","","","","",""
"2019","5 Einkommensstärkstes Quintil","Ländlicher Raum","","","","","","","","","","","","","",""
"2019","5 Einkommensstärkstes Quintil","Städtischer Raum","","","","","","","","","","","","","",""
"2020","1 Einkommensschwächstes Quintil","Ländlicher Raum","81.26","79.5","795","57","68","91","106","140","79.72","82.8","38","230","75","80"
"2020","1 Einkommensschwächstes Quintil","Städtischer Raum","79.02","77.5","1426","57","65","90","100","150","78.03","80.01","36","182","75","76"
"2020","2","Ländlicher Raum","81.19","79.5","1044","60","67","90","105","145","80.05","82.33","40","160","78","80"
"2020","2","Städtischer Raum","78.57","75.5","1813","60","65","87","100","140","77.7","79.44","43","170","75","78"
"2020","3","Ländlicher Raum","80.11","79.5","1243","59","68","90","100","135","79.13","81.09","40","180","76","80"
"2020","3","Städtischer Raum","78.57","74.5","1968","56","64","89","103","150","77.75","79.39","37","180","75","78"
"2020","4","Ländlicher Raum","80.14","78.5","2359","60","68","90","103","135","79.42","80.86","40","186","78","80"
"2020","4","Städtischer Raum","79.1","76.5","4040","59","66","90","100","135","78.53","79.67","37","202","75","78"
"2020","5 Einkommensstärkstes Quintil","Ländlicher Raum","80.68","79.5","3137","60","68","91","104","128","80.07","81.29","42","189","78","80"
"2020","5 Einkommensstärkstes Quintil","Städtischer Raum","79.24","77.5","7550","58","66","90","101","130","78.85","79.63","39","201","76","77"
