year,sampreg,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1991,West,5 rooms,0.11013,526,4602,0.10108,0.11917
1991,West,6 rooms,0.06913,314,4602,0.06180,0.07646
1991,West,7 rooms,0.02585,126,4602,0.02126,0.03043
1991,West,8 rooms,0.01480,75,4602,0.01131,0.01829
1991,East,1 room,0.05854,61,1958,0.04814,0.06894
1991,East,2 rooms,0.28270,407,1958,0.26275,0.30265
1991,East,3 rooms,0.38265,818,1958,0.36111,0.40418
1991,East,4 rooms,0.17144,429,1958,0.15475,0.18814
1991,East,5 rooms,0.06438,169,1958,0.05350,0.07525
1991,East,6 rooms,0.02734,74,1958,0.02012,0.03457
1992,West,1 room,0.05090,200,4615,0.04456,0.05724
1992,West,2 rooms,0.21796,886,4615,0.20605,0.22988
1992,West,3 rooms,0.31548,1556,4615,0.30207,0.32889
1992,West,4 rooms,0.18662,929,4615,0.17538,0.19786
1992,West,5 rooms,0.10978,528,4615,0.10076,0.11880
1992,West,6 rooms,0.07000,316,4615,0.06263,0.07736
1992,West,7 rooms,0.02581,127,4615,0.02124,0.03039
1992,West,8 rooms,0.01444,73,4615,0.01100,0.01788
1992,East,1 room,0.06100,69,1913,0.05027,0.07173
1992,East,2 rooms,0.28201,395,1913,0.26184,0.30218
1992,East,3 rooms,0.37896,794,1913,0.35721,0.40071
1992,East,4 rooms,0.17251,419,1913,0.15558,0.18945
1992,East,5 rooms,0.06320,165,1913,0.05229,0.07410
1992,East,6 rooms,0.02767,71,1913,0.02032,0.03502
1993,West,1 room,0.05441,212,4647,0.04789,0.06093
1993,West,2 rooms,0.20424,864,4647,0.19265,0.21584
1993,West,3 rooms,0.32239,1582,4647,0.30895,0.33583
1993,West,4 rooms,0.19094,946,4647,0.17964,0.20225
1993,West,5 rooms,0.11067,534,4647,0.10165,0.11970
1993,West,6 rooms,0.06656,299,4647,0.05940,0.07373
1993,West,7 rooms,0.02985,137,4647,0.02496,0.03475
1993,West,8 rooms,0.01338,73,4647,0.01008,0.01668
1993,East,1 room,0.05488,62,1851,0.04450,0.06526
1993,East,2 rooms,0.27922,392,1851,0.25878,0.29966
1993,East,3 rooms,0.38322,775,1851,0.36107,0.40537
1993,East,4 rooms,0.16693,385,1851,0.14994,0.18393
1993,East,5 rooms,0.07342,171,1851,0.06154,0.08531
1993,East,6 rooms,0.02719,66,1851,0.01978,0.03460
1994,West,1 room,0.04956,193,4595,0.04329,0.05584
1994,West,2 rooms,0.21356,884,4595,0.20171,0.22541
1994,West,3 rooms,0.31006,1527,4595,0.29669,0.32344
1994,West,4 rooms,0.19103,941,4595,0.17966,0.20240
1994,West,5 rooms,0.11260,530,4595,0.10346,0.12174
1994,West,6 rooms,0.06825,305,4595,0.06095,0.07554
1994,West,7 rooms,0.03143,140,4595,0.02639,0.03648
1994,West,8 rooms,0.01456,75,4595,0.01110,0.01802
1994,East,1 room,0.06426,72,1825,0.05300,0.07551
1994,East,2 rooms,0.26995,379,1825,0.24958,0.29032
1994,East,3 rooms,0.38323,747,1825,0.36092,0.40554
1994,East,4 rooms,0.16790,387,1825,0.15075,0.18506
1994,East,5 rooms,0.07055,168,1825,0.05880,0.08230
1994,East,6 rooms,0.03013,72,1825,0.02228,0.03797
1995,West,1 room,0.05393,211,4827,0.04755,0.06030
1995,West,2 rooms,0.21638,943,4827,0.20476,0.22800
1995,West,3 rooms,0.30523,1605,4827,0.29224,0.31822
1995,West,4 rooms,0.18758,974,4827,0.17657,0.19860
1995,West,5 rooms,0.10975,531,4827,0.10093,0.11857
1995,West,6 rooms,0.07104,334,4827,0.06379,0.07828
1995,West,7 rooms,0.03155,146,4827,0.02661,0.03648
1995,West,8 rooms,0.01584,83,4827,0.01232,0.01936
1995,East,1 room,0.06700,75,1789,0.05541,0.07859
1995,East,2 rooms,0.26481,369,1789,0.24436,0.28526
1995,East,3 rooms,0.37514,721,1789,0.35270,0.39758
1995,East,4 rooms,0.17645,381,1789,0.15878,0.19412
1995,East,5 rooms,0.07210,170,1789,0.06011,0.08409
1995,East,6 rooms,0.03011,73,1789,0.02219,0.03803
1996,West,1 room,0.04955,188,4749,0.04338,0.05572
1996,West,2 rooms,0.22006,921,4749,0.20828,0.23185
1996,West,3 rooms,0.29559,1538,4749,0.28261,0.30857
1996,West,4 rooms,0.19328,989,4749,0.18204,0.20451
1996,West,5 rooms,0.11488,544,4749,0.10581,0.12395
1996,West,6 rooms,0.07178,340,4749,0.06444,0.07912
1996,West,7 rooms,0.03301,158,4749,0.02793,0.03810
1996,West,8 rooms,0.01367,71,4749,0.01037,0.01697
1996,East,1 room,0.06825,84,1797,0.05658,0.07991
1996,East,2 rooms,0.25535,368,1797,0.23518,0.27551
1996,East,3 rooms,0.37289,704,1797,0.35052,0.39525
1996,East,4 rooms,0.17537,381,1797,0.15779,0.19296
1996,East,5 rooms,0.07682,181,1797,0.06450,0.08913
1996,East,6 rooms,0.03306,79,1797,0.02479,0.04133
1997,West,1 room,0.04965,173,4682,0.04342,0.05587
1997,West,2 rooms,0.21402,875,4682,0.20227,0.22577
1997,West,3 rooms,0.30376,1531,4682,0.29058,0.31693
1997,West,4 rooms,0.18743,980,4682,0.17625,0.19861
1997,West,5 rooms,0.11733,555,4682,0.10811,0.12655
1997,West,6 rooms,0.07381,341,4682,0.06632,0.08130
1997,West,7 rooms,0.03410,155,4682,0.02890,0.03930
1997,West,8 rooms,0.01335,72,4682,0.01007,0.01664
1997,East,1 room,0.06566,81,1781,0.05415,0.07716
1997,East,2 rooms,0.25881,367,1781,0.23847,0.27916
1997,East,3 rooms,0.38805,706,1781,0.36541,0.41069
1997,East,4 rooms,0.16333,365,1781,0.14615,0.18050
1997,East,5 rooms,0.07299,178,1781,0.06091,0.08508
1997,East,6 rooms,0.03363,84,1781,0.02526,0.04201
1998,West,1 room,0.04379,190,5437,0.03835,0.04923
1998,West,2 rooms,0.21519,1011,5437,0.20426,0.22611
1998,West,3 rooms,0.29847,1704,5437,0.28630,0.31063
1998,West,4 rooms,0.20402,1196,5437,0.19330,0.21473
1998,West,5 rooms,0.11008,620,5437,0.10176,0.11840
1998,West,6 rooms,0.07187,415,5437,0.06501,0.07874
1998,West,7 rooms,0.03363,185,5437,0.02884,0.03842
1998,West,8 rooms,0.01277,83,5437,0.00979,0.01576
1998,West,9 rooms,0.00625,33,5437,0.00416,0.00835
1998,East,1 room,0.05672,84,1904,0.04633,0.06711
1998,East,2 rooms,0.25449,387,1904,0.23492,0.27406
1998,East,3 rooms,0.36559,732,1904,0.34396,0.38723
1998,East,4 rooms,0.17816,404,1904,0.16097,0.19535
1998,East,5 rooms,0.08430,200,1904,0.07182,0.09679
1998,East,6 rooms,0.03882,97,1904,0.03014,0.04750
1999,West,1 room,0.04232,170,5191,0.03684,0.04780
1999,West,2 rooms,0.21602,964,5191,0.20482,0.22722
1999,West,3 rooms,0.29492,1582,5191,0.28251,0.30732
1999,West,4 rooms,0.20329,1143,5191,0.19234,0.21424
1999,West,5 rooms,0.11012,609,5191,0.10161,0.11864
1999,West,6 rooms,0.07401,416,5191,0.06688,0.08113
1999,West,7 rooms,0.03327,185,5191,0.02839,0.03815
1999,West,8 rooms,0.01437,84,5191,0.01113,0.01761
1999,West,9 rooms,0.00739,38,5191,0.00506,0.00973
1999,East,1 room,0.05492,77,1901,0.04468,0.06517
1999,East,2 rooms,0.25416,364,1901,0.23459,0.27374
1999,East,3 rooms,0.36367,721,1901,0.34203,0.38530
1999,East,4 rooms,0.18155,410,1901,0.16421,0.19888
1999,East,5 rooms,0.08728,207,1901,0.07459,0.09997
1999,East,6 rooms,0.03498,91,1901,0.02672,0.04324
1999,East,7 rooms,0.01178,31,1901,0.00693,0.01663
2000,West,1 room,0.03856,277,9876,0.03477,0.04236
2000,West,2 rooms,0.20456,1636,9876,0.19661,0.21252
2000,West,3 rooms,0.29543,2859,9876,0.28643,0.30443
2000,West,4 rooms,0.19722,2103,9876,0.18938,0.20507
2000,West,5 rooms,0.12100,1351,9876,0.11457,0.12743
2000,West,6 rooms,0.07787,875,9876,0.07259,0.08316
2000,West,7 rooms,0.03530,420,9876,0.03166,0.03894
2000,West,8 rooms,0.01745,211,9876,0.01487,0.02003
2000,West,9 rooms,0.00632,74,9876,0.00475,0.00788
2000,West,10 or more rooms,0.00628,70,9876,0.00472,0.00783
2000,East,1 room,0.05704,129,3053,0.04881,0.06527
2000,East,2 rooms,0.24888,595,3053,0.23355,0.26422
2000,East,3 rooms,0.36585,1136,3053,0.34876,0.38294
2000,East,4 rooms,0.17658,626,3053,0.16305,0.19011
2000,East,5 rooms,0.08701,329,3053,0.07701,0.09700
2000,East,6 rooms,0.03596,146,3053,0.02935,0.04256
2000,East,7 rooms,0.01506,61,3053,0.01074,0.01938
2000,East,8 rooms,0.00735,31,3053,0.00432,0.01038
2001,West,1 room,0.03572,228,8837,0.03185,0.03959
2001,West,2 rooms,0.19861,1430,8837,0.19030,0.20693
2001,West,3 rooms,0.29786,2554,8837,0.28833,0.30740
2001,West,4 rooms,0.19926,1901,8837,0.19093,0.20759
2001,West,5 rooms,0.12108,1205,8837,0.11428,0.12788
2001,West,6 rooms,0.07890,794,8837,0.07327,0.08452
2001,West,7 rooms,0.03588,385,8837,0.03200,0.03976
2001,West,8 rooms,0.01893,197,8837,0.01609,0.02177
2001,West,9 rooms,0.00645,69,8837,0.00478,0.00812
2001,West,10 or more rooms,0.00731,74,8837,0.00553,0.00908
2001,East,1 room,0.05063,101,2792,0.04249,0.05876
2001,East,2 rooms,0.25215,558,2792,0.23604,0.26826
2001,East,3 rooms,0.36869,1041,2792,0.35079,0.38658
2001,East,4 rooms,0.18039,588,2792,0.16613,0.19466
2001,East,5 rooms,0.08346,306,2792,0.07320,0.09372
2001,East,6 rooms,0.03661,139,2792,0.02964,0.04358
2001,East,7 rooms,0.01428,59,2792,0.00988,0.01869
2002,West,1 room,0.03431,213,9370,0.03063,0.03800
2002,West,2 rooms,0.19903,1417,9370,0.19094,0.20711
2002,West,3 rooms,0.29445,2482,9370,0.28522,0.30368
2002,West,4 rooms,0.19986,1979,9370,0.19176,0.20796
2002,West,5 rooms,0.13389,1468,9370,0.12699,0.14078
2002,West,6 rooms,0.07456,907,9370,0.06924,0.07988
2002,West,7 rooms,0.03559,480,9370,0.03184,0.03934
2002,West,8 rooms,0.01584,238,9370,0.01331,0.01836
2002,West,9 rooms,0.00619,100,9370,0.00460,0.00778
2002,West,10 or more rooms,0.00629,86,9370,0.00469,0.00789
2002,East,1 room,0.04923,99,2800,0.04121,0.05724
2002,East,2 rooms,0.26053,545,2800,0.24427,0.27680
2002,East,3 rooms,0.36778,1024,2800,0.34992,0.38565
2002,East,4 rooms,0.17617,590,2800,0.16206,0.19028
2002,East,5 rooms,0.08922,331,2800,0.07866,0.09978
2002,East,6 rooms,0.03737,161,2800,0.03034,0.04439
2002,East,7 rooms,0.01205,50,2800,0.00800,0.01609
2003,West,1 room,0.03872,233,8999,0.03473,0.04270
2003,West,2 rooms,0.19459,1353,8999,0.18641,0.20277
2003,West,3 rooms,0.30166,2438,8999,0.29218,0.31115
2003,West,4 rooms,0.19245,1860,8999,0.18430,0.20059
2003,West,5 rooms,0.13342,1368,8999,0.12640,0.14045
2003,West,6 rooms,0.07565,879,8999,0.07018,0.08111
2003,West,7 rooms,0.03454,467,8999,0.03076,0.03831
2003,West,8 rooms,0.01766,235,8999,0.01494,0.02039
2003,West,9 rooms,0.00582,89,8999,0.00425,0.00739
2003,West,10 or more rooms,0.00549,77,8999,0.00396,0.00701
2003,East,1 room,0.05302,99,2757,0.04465,0.06138
2003,East,2 rooms,0.26214,553,2757,0.24572,0.27856
2003,East,3 rooms,0.35426,995,2757,0.33640,0.37212
2003,East,4 rooms,0.18699,593,2757,0.17244,0.20155
2003,East,5 rooms,0.08728,316,2757,0.07675,0.09782
2003,East,6 rooms,0.03369,147,2757,0.02695,0.04043
2003,East,7 rooms,0.01205,54,2757,0.00798,0.01612
2004,West,1 room,0.03737,221,8782,0.03340,0.04133
2004,West,2 rooms,0.19030,1277,8782,0.18209,0.19851
2004,West,3 rooms,0.30618,2399,8782,0.29654,0.31582
2004,West,4 rooms,0.18982,1812,8782,0.18162,0.19802
2004,West,5 rooms,0.13632,1362,8782,0.12915,0.14350
2004,West,6 rooms,0.07629,869,8782,0.07073,0.08184
2004,West,7 rooms,0.03543,440,8782,0.03156,0.03930
2004,West,8 rooms,0.01612,216,8782,0.01349,0.01876
2004,West,9 rooms,0.00608,96,8782,0.00445,0.00771
2004,West,10 or more rooms,0.00610,90,8782,0.00447,0.00772
2004,East,1 room,0.05550,103,2724,0.04690,0.06410
2004,East,2 rooms,0.26293,544,2724,0.24640,0.27947
2004,East,3 rooms,0.35119,954,2724,0.33326,0.36912
2004,East,4 rooms,0.18188,588,2724,0.16739,0.19637
2004,East,5 rooms,0.09198,324,2724,0.08113,0.10284
2004,East,6 rooms,0.03559,153,2724,0.02863,0.04255
2004,East,7 rooms,0.01354,58,2724,0.00920,0.01788
2005,West,1 room,0.03576,221,8507,0.03181,0.03970
2005,West,2 rooms,0.19394,1276,8507,0.18554,0.20234
2005,West,3 rooms,0.30232,2335,8507,0.29256,0.31208
2005,West,4 rooms,0.18996,1727,8507,0.18162,0.19830
2005,West,5 rooms,0.13708,1334,8507,0.12978,0.14439
2005,West,6 rooms,0.07540,804,8507,0.06979,0.08101
2005,West,7 rooms,0.03385,413,8507,0.03001,0.03769
2005,West,8 rooms,0.01953,228,8507,0.01659,0.02247
2005,West,9 rooms,0.00700,91,8507,0.00523,0.00877
2005,West,10 or more rooms,0.00516,78,8507,0.00363,0.00668
2005,East,1 room,0.04894,94,2651,0.04073,0.05716
2005,East,2 rooms,0.26188,536,2651,0.24514,0.27862
2005,East,3 rooms,0.35001,922,2651,0.33185,0.36817
2005,East,4 rooms,0.18738,585,2651,0.17252,0.20224
2005,East,5 rooms,0.10051,332,2651,0.08906,0.11196
2005,East,6 rooms,0.03100,137,2651,0.02440,0.03760
2005,East,7 rooms,0.01004,45,2651,0.00624,0.01383
2006,West,1 room,0.03521,233,9337,0.03147,0.03895
2006,West,2 rooms,0.19862,1405,9337,0.19053,0.20671
2006,West,3 rooms,0.30073,2501,9337,0.29143,0.31004
2006,West,4 rooms,0.19005,1919,9337,0.18210,0.19801
2006,West,5 rooms,0.13453,1476,9337,0.12761,0.14146
2006,West,6 rooms,0.07557,904,9337,0.07021,0.08093
2006,West,7 rooms,0.03552,479,9337,0.03176,0.03927
2006,West,8 rooms,0.01647,226,9337,0.01388,0.01905
2006,West,9 rooms,0.00790,108,9337,0.00610,0.00970
2006,West,10 or more rooms,0.00540,86,9337,0.00391,0.00689
2006,East,1 room,0.05454,101,2912,0.04629,0.06279
2006,East,2 rooms,0.27460,602,2912,0.25838,0.29081
2006,East,3 rooms,0.34529,1005,2912,0.32802,0.36256
2006,East,4 rooms,0.17983,627,2912,0.16587,0.19378
2006,East,5 rooms,0.09516,339,2912,0.08450,0.10582
2006,East,6 rooms,0.02632,136,2912,0.02050,0.03214
2006,East,7 rooms,0.01431,65,2912,0.00999,0.01862
2006,East,8 rooms,0.00651,37,2912,0.00359,0.00943
2007,West,1 room,0.03627,228,8693,0.03233,0.04020
2007,West,2 rooms,0.18900,1239,8693,0.18077,0.19723
2007,West,3 rooms,0.29567,2326,8693,0.28608,0.30527
2007,West,4 rooms,0.19468,1797,8693,0.18636,0.20301
2007,West,5 rooms,0.13329,1359,8693,0.12614,0.14044
2007,West,6 rooms,0.08107,881,8693,0.07533,0.08681
2007,West,7 rooms,0.03873,478,8693,0.03468,0.04279
2007,West,8 rooms,0.01757,215,8693,0.01481,0.02033
2007,West,9 rooms,0.00753,96,8693,0.00571,0.00935
2007,West,10 or more rooms,0.00619,74,8693,0.00454,0.00784
2007,East,1 room,0.04580,85,2713,0.03793,0.05367
2007,East,2 rooms,0.27485,563,2713,0.25805,0.29166
2007,East,3 rooms,0.33900,943,2713,0.32118,0.35681
2007,East,4 rooms,0.18770,598,2713,0.17300,0.20240
2007,East,5 rooms,0.08746,308,2713,0.07682,0.09809
2007,East,6 rooms,0.03691,152,2713,0.02981,0.04401
2007,East,7 rooms,0.01669,64,2713,0.01187,0.02152
2008,West,1 room,0.03536,209,8171,0.03136,0.03937
2008,West,2 rooms,0.18919,1168,8171,0.18069,0.19768
2008,West,3 rooms,0.28729,2132,8171,0.27748,0.29710
2008,West,4 rooms,0.19397,1716,8171,0.18539,0.20254
2008,West,5 rooms,0.14092,1308,8171,0.13337,0.14846
2008,West,6 rooms,0.08203,827,8171,0.07608,0.08798
2008,West,7 rooms,0.03935,436,8171,0.03514,0.04357
2008,West,8 rooms,0.01698,201,8171,0.01418,0.01979
2008,West,9 rooms,0.00769,100,8171,0.00580,0.00959
2008,West,10 or more rooms,0.00721,74,8171,0.00538,0.00905
2008,East,1 room,0.03989,76,2605,0.03237,0.04741
2008,East,2 rooms,0.26796,524,2605,0.25095,0.28497
2008,East,3 rooms,0.34753,936,2605,0.32924,0.36582
2008,East,4 rooms,0.19296,553,2605,0.17780,0.20811
2008,East,5 rooms,0.09564,324,2605,0.08434,0.10694
2008,East,6 rooms,0.03292,142,2605,0.02607,0.03977
2008,East,7 rooms,0.01076,50,2605,0.00679,0.01472
2009,West,1 room,0.03504,174,7622,0.03091,0.03917
2009,West,2 rooms,0.18320,1072,7622,0.17452,0.19189
2009,West,3 rooms,0.28796,2005,7622,0.27779,0.29813
2009,West,4 rooms,0.19288,1587,7622,0.18402,0.20174
2009,West,5 rooms,0.14746,1250,7622,0.13950,0.15542
2009,West,6 rooms,0.07888,758,7622,0.07283,0.08493
2009,West,7 rooms,0.04006,422,7622,0.03565,0.04446
2009,West,8 rooms,0.01813,183,7622,0.01513,0.02112
2009,West,9 rooms,0.00841,93,7622,0.00636,0.01046
2009,West,10 or more rooms,0.00800,78,7622,0.00600,0.01000
2009,East,1 room,0.03816,74,2510,0.03067,0.04566
2009,East,2 rooms,0.26640,504,2510,0.24910,0.28370
2009,East,3 rooms,0.34123,884,2510,0.32268,0.35978
2009,East,4 rooms,0.19873,549,2510,0.18311,0.21434
2009,East,5 rooms,0.08897,303,2510,0.07783,0.10011
2009,East,6 rooms,0.03527,141,2510,0.02805,0.04249
2009,East,7 rooms,0.01628,55,2510,0.01133,0.02123
2010,West,1 room,0.03040,153,10639,0.02714,0.03366
2010,West,2 rooms,0.17804,1179,10639,0.17077,0.18531
2010,West,3 rooms,0.30054,3067,10639,0.29182,0.30925
2010,West,4 rooms,0.19641,2405,10639,0.18886,0.20396
2010,West,5 rooms,0.14015,1680,10639,0.13356,0.14675
2010,West,6 rooms,0.08162,1087,10639,0.07641,0.08682
2010,West,7 rooms,0.03975,564,10639,0.03604,0.04346
2010,West,8 rooms,0.01809,267,10639,0.01556,0.02063
2010,West,9 rooms,0.00893,133,10639,0.00714,0.01072
2010,West,10 or more rooms,0.00607,104,10639,0.00460,0.00755
2010,East,1 room,0.04192,72,3141,0.03491,0.04893
2010,East,2 rooms,0.24760,492,3141,0.23250,0.26269
2010,East,3 rooms,0.35228,1156,3141,0.33557,0.36898
2010,East,4 rooms,0.19488,753,3141,0.18103,0.20874
2010,East,5 rooms,0.09299,382,3141,0.08283,0.10314
2010,East,6 rooms,0.04578,185,3141,0.03847,0.05309
2010,East,7 rooms,0.01357,67,3141,0.00952,0.01761
2010,East,8 rooms,0.00697,34,3141,0.00406,0.00989
2011,West,1 room,0.03288,216,12859,0.02980,0.03596
2011,West,2 rooms,0.18419,1517,12859,0.17749,0.19089
2011,West,3 rooms,0.29580,3548,12859,0.28791,0.30369
2011,West,4 rooms,0.18791,2729,12859,0.18116,0.19467
2011,West,5 rooms,0.14420,2092,12859,0.13812,0.15027
2011,West,6 rooms,0.08177,1383,12859,0.07703,0.08651
2011,West,7 rooms,0.03992,722,12859,0.03654,0.04331
2011,West,8 rooms,0.02047,373,12859,0.01802,0.02292
2011,West,9 rooms,0.00712,167,12859,0.00567,0.00857
2011,West,10 or more rooms,0.00574,112,12859,0.00443,0.00704
2011,East,1 room,0.05187,118,3720,0.04474,0.05900
2011,East,2 rooms,0.24679,593,3720,0.23294,0.26065
2011,East,3 rooms,0.35041,1366,3720,0.33507,0.36574
2011,East,4 rooms,0.18934,872,3720,0.17675,0.20193
2011,East,5 rooms,0.09282,417,3720,0.08349,0.10214
2011,East,6 rooms,0.04466,234,3720,0.03803,0.05130
2011,East,7 rooms,0.01277,77,3720,0.00917,0.01638
2011,East,8 rooms,0.00846,43,3720,0.00552,0.01140
2012,West,1 room,0.03261,239,12591,0.02951,0.03571
2012,West,2 rooms,0.18070,1490,12591,0.17398,0.18742
2012,West,3 rooms,0.29653,3450,12591,0.28855,0.30450
2012,West,4 rooms,0.19206,2675,12591,0.18518,0.19894
2012,West,5 rooms,0.14119,2020,12591,0.13511,0.14727
2012,West,6 rooms,0.08111,1357,12591,0.07634,0.08588
2012,West,7 rooms,0.04147,717,12591,0.03799,0.04495
2012,West,8 rooms,0.01956,357,12591,0.01715,0.02198
2012,West,9 rooms,0.00689,154,12591,0.00544,0.00833
2012,West,10 or more rooms,0.00788,132,12591,0.00634,0.00943
2012,East,1 room,0.05295,123,3692,0.04572,0.06017
2012,East,2 rooms,0.24694,591,3692,0.23303,0.26086
2012,East,3 rooms,0.34766,1330,3692,0.33230,0.36302
2012,East,4 rooms,0.19529,877,3692,0.18250,0.20808
2012,East,5 rooms,0.08959,432,3692,0.08037,0.09880
2012,East,6 rooms,0.04265,219,3692,0.03613,0.04917
2012,East,7 rooms,0.01451,78,3692,0.01065,0.01836
2012,East,8 rooms,0.00718,42,3692,0.00445,0.00990
2013,West,1 room,0.03502,327,14213,0.03199,0.03804
2013,West,2 rooms,0.18220,1817,14213,0.17586,0.18855
2013,West,3 rooms,0.29643,4115,14213,0.28892,0.30394
2013,West,4 rooms,0.18762,3033,14213,0.18120,0.19404
2013,West,5 rooms,0.14483,2176,14213,0.13904,0.15062
2013,West,6 rooms,0.08139,1404,14213,0.07690,0.08589
2013,West,7 rooms,0.04113,720,14213,0.03787,0.04440
2013,West,8 rooms,0.01852,350,14213,0.01631,0.02074
2013,West,9 rooms,0.00734,150,14213,0.00593,0.00874
2013,West,10 or more rooms,0.00551,121,14213,0.00430,0.00673
2013,East,1 room,0.05002,114,3634,0.04293,0.05711
2013,East,2 rooms,0.25270,613,3634,0.23856,0.26683
2013,East,3 rooms,0.34264,1288,3634,0.32721,0.35807
2013,East,4 rooms,0.19917,880,3634,0.18618,0.21215
2013,East,5 rooms,0.08745,416,3634,0.07827,0.09664
2013,East,6 rooms,0.04115,197,3634,0.03469,0.04760
2013,East,7 rooms,0.01333,83,3634,0.00960,0.01706
2013,East,8 rooms,0.01070,43,3634,0.00735,0.01404
2014,West,1 room,0.03439,270,12447,0.03119,0.03760
2014,West,2 rooms,0.18053,1551,12447,0.17378,0.18729
2014,West,3 rooms,0.29236,3527,12447,0.28437,0.30035
2014,West,4 rooms,0.19444,2633,12447,0.18749,0.20139
2014,West,5 rooms,0.14007,1952,12447,0.13398,0.14617
2014,West,6 rooms,0.08075,1257,12447,0.07596,0.08554
2014,West,7 rooms,0.04301,676,12447,0.03944,0.04657
2014,West,8 rooms,0.02024,328,12447,0.01777,0.02272
2014,West,9 rooms,0.00795,145,12447,0.00639,0.00951
2014,West,10 or more rooms,0.00625,108,12447,0.00486,0.00763
2014,East,1 room,0.04739,95,3360,0.04020,0.05457
2014,East,2 rooms,0.25962,575,3360,0.24479,0.27444
2014,East,3 rooms,0.35610,1210,3360,0.33991,0.37230
