year,hhtyp,sampreg,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1987,Couple with children,West,3 rooms,0.28869,759,2161,0.26958,0.30780
1987,Couple with children,West,4 rooms,0.28162,582,2161,0.26265,0.30059
1987,Couple with children,West,5 rooms,0.19489,356,2161,0.17818,0.21159
1987,Couple with children,West,6 rooms,0.10441,182,2161,0.09151,0.11730
1987,Couple with children,West,7 rooms,0.04965,86,2161,0.04049,0.05881
1987,Couple with children,West,8 rooms,0.02799,48,2161,0.02103,0.03494
1987,Other Combinations,West,3 rooms,0.36134,43,43,0.21606,0.50663
1988,Single-person household,West,1 room,0.15887,190,1007,0.13628,0.18146
1988,Single-person household,West,2 rooms,0.38390,392,1007,0.35385,0.41395
1988,Single-person household,West,3 rooms,0.31082,303,1007,0.28222,0.33942
1988,Single-person household,West,4 rooms,0.08767,89,1007,0.07019,0.10514
1988,Single-person household,West,5 rooms,0.03111,33,1007,0.02038,0.04184
1988,Couple without children,West,2 rooms,0.20845,284,1118,0.18462,0.23227
1988,Couple without children,West,3 rooms,0.40046,460,1118,0.37173,0.42920
1988,Couple without children,West,4 rooms,0.21088,226,1118,0.18696,0.23480
1988,Couple without children,West,5 rooms,0.08480,92,1118,0.06846,0.10114
1988,Couple without children,West,6 rooms,0.05481,56,1118,0.04146,0.06816
1988,Single parent,West,2 rooms,0.11993,39,235,0.07831,0.16156
1988,Single parent,West,3 rooms,0.40466,111,235,0.34177,0.46755
1988,Single parent,West,4 rooms,0.19850,53,235,0.14740,0.24961
1988,Single parent,West,5 rooms,0.12052,32,235,0.07880,0.16223
1988,Couple with children,West,2 rooms,0.03066,117,2055,0.02320,0.03811
1988,Couple with children,West,3 rooms,0.28505,719,2055,0.26552,0.30457
1988,Couple with children,West,4 rooms,0.28050,562,2055,0.26107,0.29993
1988,Couple with children,West,5 rooms,0.18971,329,2055,0.17275,0.20666
1988,Couple with children,West,6 rooms,0.11850,193,2055,0.10453,0.13248
1988,Couple with children,West,7 rooms,0.05219,86,2055,0.04257,0.06181
1988,Couple with children,West,8 rooms,0.02762,49,2055,0.02053,0.03471
1988,Other Combinations,West,3 rooms,0.41151,40,40,0.25706,0.56595
1989,Single-person household,West,1 room,0.14225,169,1012,0.12072,0.16379
1989,Single-person household,West,2 rooms,0.39513,410,1012,0.36499,0.42526
1989,Single-person household,West,3 rooms,0.30771,299,1012,0.27926,0.33616
1989,Single-person household,West,4 rooms,0.09173,92,1012,0.07393,0.10952
1989,Single-person household,West,5 rooms,0.03678,42,1012,0.02518,0.04839
1989,Couple without children,West,2 rooms,0.20590,275,1100,0.18199,0.22980
1989,Couple without children,West,3 rooms,0.39351,446,1100,0.36463,0.42239
1989,Couple without children,West,4 rooms,0.20858,228,1100,0.18456,0.23260
1989,Couple without children,West,5 rooms,0.08826,96,1100,0.07149,0.10503
1989,Couple without children,West,6 rooms,0.05493,55,1100,0.04146,0.06840
1989,Single parent,West,2 rooms,0.09823,31,180,0.05463,0.14183
1989,Single parent,West,3 rooms,0.36983,96,180,0.29911,0.44055
1989,Single parent,West,4 rooms,0.21612,53,180,0.15582,0.27642
1989,Couple with children,West,2 rooms,0.03302,116,1961,0.02511,0.04094
1989,Couple with children,West,3 rooms,0.26888,673,1961,0.24925,0.28851
1989,Couple with children,West,4 rooms,0.29359,545,1961,0.27343,0.31375
1989,Couple with children,West,5 rooms,0.19034,312,1961,0.17296,0.20772
1989,Couple with children,West,6 rooms,0.11622,186,1961,0.10203,0.13040
1989,Couple with children,West,7 rooms,0.05016,81,1961,0.04050,0.05983
1989,Couple with children,West,8 rooms,0.02909,48,1961,0.02165,0.03653
1989,Other Combinations,West,3 rooms,0.44028,39,39,0.28244,0.59812
1990,Single-person household,West,1 room,0.14568,163,976,0.12354,0.16783
1990,Single-person household,West,2 rooms,0.38601,381,976,0.35545,0.41657
1990,Single-person household,West,3 rooms,0.31870,303,976,0.28945,0.34795
1990,Single-person household,West,4 rooms,0.08688,87,976,0.06920,0.10456
1990,Single-person household,West,5 rooms,0.03827,42,976,0.02623,0.05032
1990,Single-person household,East,1 room,0.20168,57,299,0.15612,0.24724
1990,Single-person household,East,2 rooms,0.55967,182,299,0.50331,0.61604
1990,Single-person household,East,3 rooms,0.16885,60,299,0.12631,0.21138
1990,Couple without children,West,2 rooms,0.21767,287,1122,0.19352,0.24183
1990,Couple without children,West,3 rooms,0.37769,444,1122,0.34931,0.40607
1990,Couple without children,West,4 rooms,0.21003,232,1122,0.18618,0.23387
1990,Couple without children,West,5 rooms,0.08897,100,1122,0.07230,0.10563
1990,Couple without children,West,6 rooms,0.05571,59,1122,0.04228,0.06914
1990,Couple without children,East,2 rooms,0.26820,124,425,0.22603,0.31037
1990,Couple without children,East,3 rooms,0.47527,231,425,0.42773,0.52280
1990,Couple without children,East,4 rooms,0.13774,70,425,0.10493,0.17054
1990,Single parent,West,2 rooms,0.11039,33,208,0.06770,0.15309
1990,Single parent,West,3 rooms,0.33351,87,208,0.26929,0.39774
1990,Single parent,West,4 rooms,0.21910,56,208,0.16275,0.27544
1990,Single parent,West,5 rooms,0.13186,32,208,0.08577,0.17795
1990,Single parent,East,2 rooms,0.28242,33,96,0.19189,0.37295
1990,Single parent,East,3 rooms,0.47443,63,96,0.37402,0.57484
1990,Couple with children,West,2 rooms,0.03298,109,1912,0.02497,0.04099
1990,Couple with children,West,3 rooms,0.29235,684,1912,0.27196,0.31274
1990,Couple with children,West,4 rooms,0.27781,519,1912,0.25773,0.29789
1990,Couple with children,West,5 rooms,0.18922,297,1912,0.17166,0.20678
1990,Couple with children,West,6 rooms,0.11420,176,1912,0.09994,0.12846
1990,Couple with children,West,7 rooms,0.05070,84,1912,0.04086,0.06054
1990,Couple with children,West,8 rooms,0.02549,43,1912,0.01842,0.03255
1990,Couple with children,East,2 rooms,0.11849,116,1090,0.09929,0.13768
1990,Couple with children,East,3 rooms,0.45478,495,1090,0.42521,0.48436
1990,Couple with children,East,4 rooms,0.26218,309,1090,0.23606,0.28830
1990,Couple with children,East,5 rooms,0.10469,121,1090,0.08650,0.12287
1990,Couple with children,East,6 rooms,0.03837,49,1090,0.02696,0.04978
1990,Other Combinations,West,3 rooms,0.36342,31,31,0.19131,0.53554
1991,Single-person household,West,1 room,0.13054,149,980,0.10943,0.15164
1991,Single-person household,West,2 rooms,0.39702,394,980,0.36637,0.42767
1991,Single-person household,West,3 rooms,0.31757,303,980,0.28841,0.34673
1991,Single-person household,West,4 rooms,0.09400,96,980,0.07572,0.11228
1991,Single-person household,West,5 rooms,0.03380,38,980,0.02248,0.04512
1991,Single-person household,East,1 room,0.18051,46,261,0.13376,0.22726
1991,Single-person household,East,2 rooms,0.55201,154,261,0.49157,0.61246
1991,Single-person household,East,3 rooms,0.19113,61,261,0.14333,0.23892
1991,Couple without children,West,1 room,0.01714,31,1164,0.00968,0.02460
1991,Couple without children,West,2 rooms,0.21247,284,1164,0.18896,0.23598
1991,Couple without children,West,3 rooms,0.36809,449,1164,0.34038,0.39581
1991,Couple without children,West,4 rooms,0.20809,235,1164,0.18476,0.23142
1991,Couple without children,West,5 rooms,0.09615,106,1164,0.07921,0.11309
1991,Couple without children,West,6 rooms,0.05598,59,1164,0.04277,0.06919
1991,Couple without children,East,2 rooms,0.26368,113,399,0.22039,0.30697
1991,Couple without children,East,3 rooms,0.48869,218,399,0.43958,0.53780
1991,Couple without children,East,4 rooms,0.14164,68,399,0.10738,0.17590
1991,Single parent,West,2 rooms,0.10851,32,220,0.06732,0.14970
1991,Single parent,West,3 rooms,0.31304,87,220,0.25162,0.37446
1991,Single parent,West,4 rooms,0.23721,62,220,0.18087,0.29355
1991,Single parent,West,5 rooms,0.15188,39,220,0.10434,0.19941
1991,Single parent,East,2 rooms,0.30909,31,81,0.20783,0.41036
1991,Single parent,East,3 rooms,0.40178,50,81,0.29435,0.50921
1991,Couple with children,West,2 rooms,0.04461,135,1921,0.03538,0.05384
1991,Couple with children,West,3 rooms,0.27744,668,1921,0.25742,0.29747
1991,Couple with children,West,4 rooms,0.26669,503,1921,0.24691,0.28647
1991,Couple with children,West,5 rooms,0.19412,303,1921,0.17643,0.21182
1991,Couple with children,West,6 rooms,0.12175,184,1921,0.10712,0.13637
1991,Couple with children,West,7 rooms,0.05000,81,1921,0.04025,0.05974
1991,Couple with children,West,8 rooms,0.02901,47,1921,0.02151,0.03652
1991,Couple with children,East,2 rooms,0.10277,92,1021,0.08413,0.12140
1991,Couple with children,East,3 rooms,0.45619,459,1021,0.42562,0.48676
1991,Couple with children,East,4 rooms,0.26949,299,1021,0.24226,0.29672
1991,Couple with children,East,5 rooms,0.10883,121,1021,0.08971,0.12794
1991,Couple with children,East,6 rooms,0.04131,50,1021,0.02910,0.05352
1992,Single-person household,West,1 room,0.12259,146,976,0.10201,0.14318
1992,Single-person household,West,2 rooms,0.39114,393,976,0.36051,0.42177
1992,Single-person household,West,3 rooms,0.32340,302,976,0.29404,0.35276
1992,Single-person household,West,4 rooms,0.09652,93,976,0.07798,0.11505
1992,Single-person household,West,5 rooms,0.03808,42,976,0.02606,0.05009
1992,Single-person household,East,1 room,0.19850,56,271,0.15092,0.24608
1992,Single-person household,East,2 rooms,0.54162,154,271,0.48218,0.60105
1992,Single-person household,East,3 rooms,0.18176,61,271,0.13576,0.22776
1992,Couple without children,West,1 room,0.01724,34,1187,0.00983,0.02465
1992,Couple without children,West,2 rooms,0.21958,300,1187,0.19602,0.24314
1992,Couple without children,West,3 rooms,0.35820,444,1187,0.33091,0.38549
1992,Couple without children,West,4 rooms,0.20885,244,1187,0.18572,0.23199
1992,Couple without children,West,5 rooms,0.09519,106,1187,0.07849,0.11189
1992,Couple without children,West,6 rooms,0.05720,59,1187,0.04399,0.07042
1992,Couple without children,East,2 rooms,0.27002,121,416,0.22730,0.31273
1992,Couple without children,East,3 rooms,0.47879,218,416,0.43072,0.52685
1992,Couple without children,East,4 rooms,0.15653,77,416,0.12157,0.19149
1992,Single parent,West,2 rooms,0.14665,44,222,0.10001,0.19329
1992,Single parent,West,3 rooms,0.31222,87,222,0.25113,0.37332
1992,Single parent,West,4 rooms,0.21091,56,222,0.15712,0.26470
1992,Single parent,West,5 rooms,0.12826,35,222,0.08417,0.17234
1992,Single parent,East,2 rooms,0.31413,32,88,0.21659,0.41167
1992,Single parent,East,3 rooms,0.41933,56,88,0.31564,0.52303
1992,Couple with children,West,2 rooms,0.04173,128,1912,0.03277,0.05070
1992,Couple with children,West,3 rooms,0.27600,663,1912,0.25596,0.29604
1992,Couple with children,West,4 rooms,0.26563,494,1912,0.24583,0.28544
1992,Couple with children,West,5 rooms,0.19601,306,1912,0.17821,0.21381
1992,Couple with children,West,6 rooms,0.12406,189,1912,0.10928,0.13884
1992,Couple with children,West,7 rooms,0.05015,83,1912,0.04036,0.05994
1992,Couple with children,West,8 rooms,0.03050,49,1912,0.02279,0.03821
1992,Couple with children,East,2 rooms,0.09638,76,934,0.07745,0.11532
1992,Couple with children,East,3 rooms,0.44834,418,934,0.41643,0.48025
1992,Couple with children,East,4 rooms,0.27637,281,934,0.24768,0.30507
1992,Couple with children,East,5 rooms,0.10944,111,934,0.08941,0.12948
1992,Couple with children,East,6 rooms,0.04390,48,934,0.03075,0.05705
1992,Other Combinations,West,3 rooms,0.36665,33,33,0.19968,0.53361
1992,Other Combinations,East,3 rooms,0.47165,31,31,0.29302,0.65029
1993,Single-person household,West,1 room,0.13223,158,1027,0.11150,0.15296
1993,Single-person household,West,2 rooms,0.36223,384,1027,0.33282,0.39164
1993,Single-person household,West,3 rooms,0.32883,333,1027,0.30009,0.35758
1993,Single-person household,West,4 rooms,0.10458,107,1027,0.08586,0.12331
1993,Single-person household,West,5 rooms,0.04016,45,1027,0.02814,0.05217
1993,Single-person household,East,1 room,0.17882,51,272,0.13320,0.22445
1993,Single-person household,East,2 rooms,0.54521,157,272,0.48593,0.60450
1993,Single-person household,East,3 rooms,0.19378,64,272,0.14672,0.24084
1993,Couple without children,West,2 rooms,0.19992,286,1176,0.17705,0.22279
1993,Couple without children,West,3 rooms,0.36730,455,1176,0.33974,0.39486
1993,Couple without children,West,4 rooms,0.21968,258,1176,0.19600,0.24335
1993,Couple without children,West,5 rooms,0.09724,111,1176,0.08030,0.11418
1993,Couple without children,West,6 rooms,0.06249,66,1176,0.04865,0.07633
1993,Couple without children,East,2 rooms,0.26192,128,425,0.22006,0.30377
1993,Couple without children,East,3 rooms,0.48084,222,425,0.43328,0.52840
1993,Couple without children,East,4 rooms,0.15076,75,425,0.11670,0.18482
1993,Single parent,West,2 rooms,0.16506,49,185,0.11142,0.21871
1993,Single parent,West,3 rooms,0.34000,82,185,0.27155,0.40844
1993,Single parent,West,4 rooms,0.20652,54,185,0.14803,0.26501
1993,Single parent,East,3 rooms,0.46042,57,57,0.32987,0.59097
1993,Couple with children,West,2 rooms,0.03789,128,1868,0.02923,0.04655
1993,Couple with children,West,3 rooms,0.27427,642,1868,0.25403,0.29451
1993,Couple with children,West,4 rooms,0.26621,488,1868,0.24616,0.28626
1993,Couple with children,West,5 rooms,0.20598,310,1868,0.18763,0.22432
1993,Couple with children,West,6 rooms,0.11008,161,1868,0.09589,0.12428
1993,Couple with children,West,7 rooms,0.06191,88,1868,0.05098,0.07284
1993,Couple with children,West,8 rooms,0.02844,51,1868,0.02090,0.03598
1993,Couple with children,East,2 rooms,0.10020,65,873,0.08027,0.12013
1993,Couple with children,East,3 rooms,0.45161,399,873,0.41858,0.48464
1993,Couple with children,East,4 rooms,0.25757,250,873,0.22854,0.28659
1993,Couple with children,East,5 rooms,0.12160,115,873,0.09991,0.14329
1993,Couple with children,East,6 rooms,0.04677,44,873,0.03276,0.06079
1993,Other Combinations,West,3 rooms,0.38612,45,45,0.24226,0.52998
1994,Single-person household,West,1 room,0.12145,145,1012,0.10131,0.14159
1994,Single-person household,West,2 rooms,0.37592,394,1012,0.34606,0.40577
1994,Single-person household,West,3 rooms,0.31546,320,1012,0.28682,0.34411
1994,Single-person household,West,4 rooms,0.10446,101,1012,0.08561,0.12331
1994,Single-person household,West,5 rooms,0.04838,52,1012,0.03516,0.06161
1994,Single-person household,East,1 room,0.19282,58,286,0.14702,0.23862
1994,Single-person household,East,2 rooms,0.51554,158,286,0.45752,0.57356
1994,Single-person household,East,3 rooms,0.20629,70,286,0.15931,0.25326
1994,Couple without children,West,2 rooms,0.20237,300,1209,0.17971,0.22502
1994,Couple without children,West,3 rooms,0.35023,444,1209,0.32333,0.37714
1994,Couple without children,West,4 rooms,0.23190,282,1209,0.20810,0.25570
1994,Couple without children,West,5 rooms,0.10299,116,1209,0.08585,0.12013
1994,Couple without children,West,6 rooms,0.06232,67,1209,0.04869,0.07595
1994,Couple without children,East,2 rooms,0.24439,124,436,0.20401,0.28478
1994,Couple without children,East,3 rooms,0.48522,230,436,0.43825,0.53218
1994,Couple without children,East,4 rooms,0.15329,82,436,0.11943,0.18715
1994,Single parent,West,2 rooms,0.20526,53,185,0.14690,0.26362
1994,Single parent,West,3 rooms,0.28624,76,185,0.22093,0.35155
1994,Single parent,West,4 rooms,0.21952,56,185,0.15971,0.27933
1994,Single parent,East,3 rooms,0.50131,54,54,0.36670,0.63593
1994,Couple with children,West,2 rooms,0.03895,119,1814,0.03004,0.04786
1994,Couple with children,West,3 rooms,0.27363,630,1814,0.25311,0.29416
1994,Couple with children,West,4 rooms,0.25425,461,1814,0.23420,0.27429
1994,Couple with children,West,5 rooms,0.19785,293,1814,0.17951,0.21619
1994,Couple with children,West,6 rooms,0.11326,165,1814,0.09867,0.12784
1994,Couple with children,West,7 rooms,0.07043,95,1814,0.05865,0.08221
1994,Couple with children,West,8 rooms,0.03340,51,1814,0.02513,0.04167
1994,Couple with children,East,2 rooms,0.09175,62,826,0.07205,0.11145
1994,Couple with children,East,3 rooms,0.43617,358,826,0.40233,0.47001
1994,Couple with children,East,4 rooms,0.27741,251,826,0.24686,0.30797
1994,Couple with children,East,5 rooms,0.11688,107,826,0.09495,0.13880
1994,Couple with children,East,6 rooms,0.05128,48,826,0.03623,0.06633
1994,Other Combinations,West,3 rooms,0.37661,38,38,0.22049,0.53274
1995,Single-person household,West,1 room,0.12813,160,1043,0.10783,0.14842
1995,Single-person household,West,2 rooms,0.38521,426,1043,0.35566,0.41476
1995,Single-person household,West,3 rooms,0.29914,304,1043,0.27134,0.32695
1995,Single-person household,West,4 rooms,0.11003,106,1043,0.09103,0.12903
1995,Single-person household,West,5 rooms,0.04535,47,1043,0.03272,0.05799
1995,Single-person household,East,1 room,0.20757,66,296,0.16129,0.25385
1995,Single-person household,East,2 rooms,0.48155,152,296,0.42453,0.53857
1995,Single-person household,East,3 rooms,0.22434,78,296,0.17673,0.27194
1995,Couple without children,West,2 rooms,0.20010,320,1261,0.17801,0.22219
1995,Couple without children,West,3 rooms,0.34087,454,1261,0.31469,0.36704
1995,Couple without children,West,4 rooms,0.22151,282,1261,0.19858,0.24444
1995,Couple without children,West,5 rooms,0.10871,125,1261,0.09152,0.12590
1995,Couple without children,West,6 rooms,0.07256,80,1261,0.05823,0.08688
1995,Couple without children,East,2 rooms,0.25209,127,474,0.21296,0.29122
1995,Couple without children,East,3 rooms,0.45531,230,474,0.41043,0.50019
1995,Couple without children,East,4 rooms,0.18004,86,474,0.14541,0.21467
1995,Couple without children,East,5 rooms,0.06385,31,474,0.04182,0.08588
1995,Single parent,West,2 rooms,0.17804,52,191,0.12365,0.23244
1995,Single parent,West,3 rooms,0.29927,86,191,0.23416,0.36439
1995,Single parent,West,4 rooms,0.21241,53,191,0.15425,0.27057
1995,Single parent,East,3 rooms,0.46028,55,55,0.32734,0.59322
1995,Couple with children,West,2 rooms,0.04084,127,1934,0.03202,0.04966
1995,Couple with children,West,3 rooms,0.28689,703,1934,0.26673,0.30706
1995,Couple with children,West,4 rooms,0.24835,488,1934,0.22909,0.26761
1995,Couple with children,West,5 rooms,0.18491,287,1934,0.16760,0.20221
1995,Couple with children,West,6 rooms,0.11937,180,1934,0.10492,0.13383
1995,Couple with children,West,7 rooms,0.06488,94,1934,0.05390,0.07586
1995,Couple with children,West,8 rooms,0.03383,55,1934,0.02577,0.04188
1995,Couple with children,East,2 rooms,0.08300,55,778,0.06360,0.10240
1995,Couple with children,East,3 rooms,0.42857,327,778,0.39378,0.46337
1995,Couple with children,East,4 rooms,0.27594,236,778,0.24451,0.30737
1995,Couple with children,East,5 rooms,0.12747,111,778,0.10402,0.15092
1995,Couple with children,East,6 rooms,0.05399,49,778,0.03810,0.06988
1995,Other Combinations,West,3 rooms,0.30136,33,33,0.14238,0.46035
1996,Single-person household,West,1 room,0.11781,150,1053,0.09833,0.13730
1996,Single-person household,West,2 rooms,0.39760,441,1053,0.36803,0.42718
1996,Single-person household,West,3 rooms,0.29409,299,1053,0.26655,0.32162
1996,Single-person household,West,4 rooms,0.11375,118,1053,0.09456,0.13294
1996,Single-person household,West,5 rooms,0.04365,45,1053,0.03130,0.05600
1996,Single-person household,East,1 room,0.19843,69,303,0.15345,0.24341
1996,Single-person household,East,2 rooms,0.47728,157,303,0.42095,0.53362
1996,Single-person household,East,3 rooms,0.22204,77,303,0.17517,0.26892
1996,Couple without children,West,2 rooms,0.19316,308,1232,0.17111,0.21522
1996,Couple without children,West,3 rooms,0.32703,437,1232,0.30082,0.35324
1996,Couple without children,West,4 rooms,0.23270,281,1232,0.20909,0.25630
1996,Couple without children,West,5 rooms,0.11608,128,1232,0.09818,0.13397
1996,Couple without children,West,6 rooms,0.07069,78,1232,0.05637,0.08501
1996,Couple without children,East,2 rooms,0.24752,139,504,0.20980,0.28523
1996,Couple without children,East,3 rooms,0.45344,239,504,0.40993,0.49694
1996,Couple without children,East,4 rooms,0.17686,93,504,0.14352,0.21020
1996,Couple without children,East,5 rooms,0.05942,33,504,0.03876,0.08008
1996,Single parent,West,2 rooms,0.16325,52,235,0.11589,0.21061
1996,Single parent,West,3 rooms,0.32916,96,235,0.26895,0.38936
1996,Single parent,West,4 rooms,0.20446,54,235,0.15279,0.25614
1996,Single parent,West,5 rooms,0.10565,33,235,0.06626,0.14503
1996,Single parent,East,3 rooms,0.49766,56,56,0.36552,0.62980
1996,Couple with children,West,2 rooms,0.04154,106,1890,0.03254,0.05053
1996,Couple with children,West,3 rooms,0.27092,657,1890,0.25088,0.29096
1996,Couple with children,West,4 rooms,0.25478,492,1890,0.23513,0.27443
1996,Couple with children,West,5 rooms,0.19917,302,1890,0.18116,0.21718
1996,Couple with children,West,6 rooms,0.12185,188,1890,0.10710,0.13660
1996,Couple with children,West,7 rooms,0.06674,99,1890,0.05549,0.07800
1996,Couple with children,West,8 rooms,0.02683,46,1890,0.01954,0.03412
1996,Couple with children,East,2 rooms,0.06722,45,732,0.04907,0.08537
1996,Couple with children,East,3 rooms,0.40742,294,732,0.37180,0.44304
1996,Couple with children,East,4 rooms,0.28782,228,732,0.25500,0.32064
1996,Couple with children,East,5 rooms,0.14066,113,732,0.11546,0.16587
1996,Couple with children,East,6 rooms,0.06091,52,732,0.04357,0.07825
1996,Other Combinations,West,3 rooms,0.26616,31,31,0.10801,0.42431
1997,Single-person household,West,1 room,0.11362,132,1016,0.09409,0.13314
1997,Single-person household,West,2 rooms,0.39965,431,1016,0.36952,0.42979
1997,Single-person household,West,3 rooms,0.29917,301,1016,0.27100,0.32734
1997,Single-person household,West,4 rooms,0.10965,109,1016,0.09043,0.12887
1997,Single-person household,West,5 rooms,0.04052,43,1016,0.02839,0.05265
1997,Single-person household,East,1 room,0.18611,65,316,0.14313,0.22909
1997,Single-person household,East,2 rooms,0.49194,167,316,0.43673,0.54715
1997,Single-person household,East,3 rooms,0.23936,84,316,0.19224,0.28648
1997,Couple without children,West,2 rooms,0.17203,287,1262,0.15120,0.19286
1997,Couple without children,West,3 rooms,0.34663,457,1262,0.32036,0.37289
1997,Couple without children,West,4 rooms,0.22726,290,1262,0.20413,0.25039
1997,Couple without children,West,5 rooms,0.12293,142,1262,0.10481,0.14106
1997,Couple without children,West,6 rooms,0.07809,86,1262,0.06328,0.09290
