year,rentown,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1986,Tenant,1 room,0.09407,238,3164,0.08389,0.10424
1986,Tenant,2 rooms,0.29953,811,3164,0.28357,0.31549
1986,Tenant,3 rooms,0.39526,1361,3164,0.37823,0.41230
1986,Tenant,4 rooms,0.14519,544,3164,0.13291,0.15747
1986,Tenant,5 rooms,0.03972,153,3164,0.03291,0.04652
1986,Tenant,6 rooms,0.01658,57,3164,0.01213,0.02103
1987,Owner,2 rooms,0.06823,96,1780,0.05651,0.07995
1987,Owner,3 rooms,0.22084,371,1780,0.20156,0.24012
1987,Owner,4 rooms,0.26434,495,1780,0.24385,0.28483
1987,Owner,5 rooms,0.20331,404,1780,0.18461,0.22201
1987,Owner,6 rooms,0.12708,245,1780,0.11160,0.14256
1987,Owner,7 rooms,0.05388,108,1780,0.04338,0.06437
1987,Owner,8 rooms,0.03170,61,1780,0.02356,0.03984
1987,Tenant,1 room,0.09215,228,3106,0.08198,0.10233
1987,Tenant,2 rooms,0.29790,799,3106,0.28181,0.31399
1987,Tenant,3 rooms,0.39757,1338,3106,0.38036,0.41479
1987,Tenant,4 rooms,0.14628,533,3106,0.13385,0.15871
1987,Tenant,5 rooms,0.04080,157,3106,0.03384,0.04775
1987,Tenant,6 rooms,0.01487,51,3106,0.01061,0.01913
1988,Owner,2 rooms,0.06461,87,1698,0.05291,0.07631
1988,Owner,3 rooms,0.23261,364,1698,0.21251,0.25271
1988,Owner,4 rooms,0.25908,470,1698,0.23824,0.27993
1988,Owner,5 rooms,0.19273,365,1698,0.17396,0.21150
1988,Owner,6 rooms,0.13495,247,1698,0.11869,0.15121
1988,Owner,7 rooms,0.05521,108,1698,0.04434,0.06607
1988,Owner,8 rooms,0.02882,57,1698,0.02086,0.03678
1988,Tenant,1 room,0.08913,206,2979,0.07890,0.09937
1988,Tenant,2 rooms,0.29909,762,2979,0.28265,0.31553
1988,Tenant,3 rooms,0.39703,1290,2979,0.37946,0.41460
1988,Tenant,4 rooms,0.14024,499,2979,0.12777,0.15271
1988,Tenant,5 rooms,0.04480,161,2979,0.03737,0.05223
1988,Tenant,6 rooms,0.01856,61,2979,0.01371,0.02341
1989,Owner,2 rooms,0.06225,86,1667,0.05065,0.07385
1989,Owner,3 rooms,0.22500,339,1667,0.20494,0.24505
1989,Owner,4 rooms,0.26669,470,1667,0.24545,0.28792
1989,Owner,5 rooms,0.19696,360,1667,0.17786,0.21605
1989,Owner,6 rooms,0.13403,244,1667,0.11767,0.15038
1989,Owner,7 rooms,0.05518,106,1667,0.04422,0.06615
1989,Owner,8 rooms,0.03255,62,1667,0.02403,0.04107
1989,Tenant,1 room,0.08662,194,2897,0.07637,0.09686
1989,Tenant,2 rooms,0.30942,761,2897,0.29258,0.32626
1989,Tenant,3 rooms,0.38810,1239,2897,0.37035,0.40585
1989,Tenant,4 rooms,0.14310,485,2897,0.13034,0.15585
1989,Tenant,5 rooms,0.04459,157,2897,0.03707,0.05211
1989,Tenant,6 rooms,0.01886,61,2897,0.01391,0.02381
1990,Owner,2 rooms,0.07295,147,2312,0.06235,0.08356
1990,Owner,3 rooms,0.23724,533,2312,0.21990,0.25459
1990,Owner,4 rooms,0.26171,632,2312,0.24379,0.27963
1990,Owner,5 rooms,0.19546,496,2312,0.17929,0.21163
1990,Owner,6 rooms,0.12880,308,2312,0.11514,0.14246
1990,Owner,7 rooms,0.05439,132,2312,0.04514,0.06364
1990,Owner,8 rooms,0.02587,64,2312,0.01940,0.03234
1990,Tenant,1 room,0.08930,271,4341,0.08082,0.09779
1990,Tenant,2 rooms,0.31586,1142,4341,0.30203,0.32969
1990,Tenant,3 rooms,0.39445,1927,4341,0.37991,0.40899
1990,Tenant,4 rooms,0.13606,746,4341,0.12586,0.14626
1990,Tenant,5 rooms,0.04068,188,4341,0.03480,0.04655
1990,Tenant,6 rooms,0.01539,67,4341,0.01173,0.01905
1991,Owner,2 rooms,0.07100,144,2293,0.06048,0.08151
1991,Owner,3 rooms,0.23020,508,2293,0.21296,0.24743
1991,Owner,4 rooms,0.25446,608,2293,0.23663,0.27230
1991,Owner,5 rooms,0.20468,510,2293,0.18816,0.22120
1991,Owner,6 rooms,0.13715,325,2293,0.12307,0.15124
1991,Owner,7 rooms,0.05409,129,2293,0.04483,0.06335
1991,Owner,8 rooms,0.02805,69,2293,0.02129,0.03481
1991,Tenant,1 room,0.08333,250,4253,0.07502,0.09164
1991,Tenant,2 rooms,0.32602,1128,4253,0.31193,0.34011
1991,Tenant,3 rooms,0.38903,1872,4253,0.37438,0.40369
1991,Tenant,4 rooms,0.14043,755,4253,0.12999,0.15087
1991,Tenant,5 rooms,0.03859,185,4253,0.03280,0.04438
1991,Tenant,6 rooms,0.01497,63,4253,0.01132,0.01862
1992,Owner,2 rooms,0.07519,147,2292,0.06439,0.08599
1992,Owner,3 rooms,0.21637,484,2292,0.19951,0.23324
1992,Owner,4 rooms,0.26650,625,2292,0.24840,0.28461
1992,Owner,5 rooms,0.20300,509,2292,0.18653,0.21947
1992,Owner,6 rooms,0.13785,328,2292,0.12373,0.15197
1992,Owner,7 rooms,0.05360,130,2292,0.04438,0.06283
1992,Owner,8 rooms,0.02833,69,2292,0.02154,0.03513
1992,Tenant,1 room,0.08253,260,4226,0.07423,0.09083
1992,Tenant,2 rooms,0.32648,1134,4226,0.31234,0.34062
1992,Tenant,3 rooms,0.39662,1866,4226,0.38187,0.41137
1992,Tenant,4 rooms,0.13254,723,4226,0.12231,0.14276
1992,Tenant,5 rooms,0.03747,184,4226,0.03175,0.04320
1992,Tenant,6 rooms,0.01479,59,4226,0.01115,0.01843
1993,Owner,2 rooms,0.06903,140,2282,0.05862,0.07943
1993,Owner,3 rooms,0.21716,482,2282,0.20024,0.23408
1993,Owner,4 rooms,0.26299,608,2282,0.24492,0.28106
1993,Owner,5 rooms,0.21357,530,2282,0.19675,0.23039
1993,Owner,6 rooms,0.12988,308,2282,0.11608,0.14367
1993,Owner,7 rooms,0.06248,144,2282,0.05255,0.07242
1993,Owner,8 rooms,0.02605,70,2282,0.01952,0.03259
1993,Tenant,1 room,0.08511,264,4209,0.07668,0.09354
1993,Tenant,2 rooms,0.31295,1115,4209,0.29894,0.32696
1993,Tenant,3 rooms,0.40831,1875,4209,0.39345,0.42316
1993,Tenant,4 rooms,0.13778,723,4209,0.12736,0.14819
1993,Tenant,5 rooms,0.03374,175,4209,0.02828,0.03919
1993,Tenant,6 rooms,0.01417,57,4209,0.01060,0.01774
1994,Owner,2 rooms,0.06948,140,2285,0.05905,0.07991
1994,Owner,3 rooms,0.21259,473,2285,0.19581,0.22937
1994,Owner,4 rooms,0.25853,609,2285,0.24058,0.27649
1994,Owner,5 rooms,0.21489,531,2285,0.19804,0.23173
1994,Owner,6 rooms,0.13228,316,2285,0.11839,0.14618
1994,Owner,7 rooms,0.06420,146,2285,0.05415,0.07425
1994,Owner,8 rooms,0.02710,70,2285,0.02044,0.03376
1994,Tenant,1 room,0.08231,256,4125,0.07392,0.09069
1994,Tenant,2 rooms,0.32459,1123,4125,0.31030,0.33888
1994,Tenant,3 rooms,0.39619,1800,4125,0.38126,0.41112
1994,Tenant,4 rooms,0.13968,718,4125,0.12910,0.15026
1994,Tenant,5 rooms,0.03360,167,4125,0.02810,0.03910
1994,Tenant,6 rooms,0.01516,61,4125,0.01143,0.01889
1995,Owner,2 rooms,0.06885,137,2314,0.05853,0.07917
1995,Owner,3 rooms,0.20879,476,2314,0.19223,0.22535
1995,Owner,4 rooms,0.26151,609,2314,0.24360,0.27942
1995,Owner,5 rooms,0.21176,529,2314,0.19511,0.22841
1995,Owner,6 rooms,0.13480,334,2314,0.12089,0.14872
1995,Owner,7 rooms,0.06187,149,2314,0.05205,0.07168
1995,Owner,8 rooms,0.03071,80,2314,0.02368,0.03774
1995,Tenant,1 room,0.08947,274,4290,0.08092,0.09801
1995,Tenant,2 rooms,0.32844,1175,4290,0.31438,0.34249
1995,Tenant,3 rooms,0.39012,1850,4290,0.37552,0.40472
1995,Tenant,4 rooms,0.13542,746,4290,0.12518,0.14566
1995,Tenant,5 rooms,0.03100,172,4290,0.02581,0.03619
1995,Tenant,6 rooms,0.01651,73,4290,0.01270,0.02033
1996,Owner,2 rooms,0.06743,138,2342,0.05727,0.07759
1996,Owner,3 rooms,0.20774,466,2342,0.19130,0.22417
1996,Owner,4 rooms,0.25456,610,2342,0.23691,0.27220
1996,Owner,5 rooms,0.21644,546,2342,0.19976,0.23313
1996,Owner,6 rooms,0.13824,347,2342,0.12426,0.15222
1996,Owner,7 rooms,0.06549,162,2342,0.05547,0.07552
1996,Owner,8 rooms,0.02789,73,2342,0.02122,0.03456
1996,Tenant,1 room,0.08385,259,4197,0.07546,0.09223
1996,Tenant,2 rooms,0.33315,1151,4197,0.31889,0.34741
1996,Tenant,3 rooms,0.37803,1776,4197,0.36336,0.39270
1996,Tenant,4 rooms,0.14674,760,4197,0.13603,0.15744
1996,Tenant,5 rooms,0.03520,179,4197,0.02962,0.04077
1996,Tenant,6 rooms,0.01543,72,4197,0.01170,0.01916
1997,Owner,2 rooms,0.06521,128,2387,0.05530,0.07512
1997,Owner,3 rooms,0.20980,480,2387,0.19346,0.22614
1997,Owner,4 rooms,0.25461,640,2387,0.23713,0.27209
1997,Owner,5 rooms,0.21588,556,2387,0.19937,0.23239
1997,Owner,6 rooms,0.13853,348,2387,0.12467,0.15239
1997,Owner,7 rooms,0.06694,160,2387,0.05691,0.07697
1997,Owner,8 rooms,0.02738,75,2387,0.02083,0.03393
1997,Tenant,1 room,0.08235,237,4067,0.07390,0.09080
1997,Tenant,2 rooms,0.32924,1114,4067,0.31480,0.34369
1997,Tenant,3 rooms,0.39373,1757,4067,0.37871,0.40875
1997,Tenant,4 rooms,0.13422,705,4067,0.12374,0.14470
1997,Tenant,5 rooms,0.03651,177,4067,0.03074,0.04227
1997,Tenant,6 rooms,0.01733,77,4067,0.01332,0.02135
1998,Owner,2 rooms,0.06475,145,2856,0.05572,0.07378
1998,Owner,3 rooms,0.19145,516,2856,0.17702,0.20588
1998,Owner,4 rooms,0.27958,820,2856,0.26312,0.29604
1998,Owner,5 rooms,0.20245,625,2856,0.18771,0.21719
1998,Owner,6 rooms,0.13743,432,2856,0.12480,0.15006
1998,Owner,7 rooms,0.06471,186,2856,0.05569,0.07374
1998,Owner,8 rooms,0.02804,94,2856,0.02199,0.03410
1998,Owner,9 rooms,0.01328,38,2856,0.00908,0.01747
1998,Tenant,1 room,0.07188,255,4483,0.06432,0.07945
1998,Tenant,2 rooms,0.33157,1253,4483,0.31779,0.34535
1998,Tenant,3 rooms,0.39344,1920,4483,0.37914,0.40774
1998,Tenant,4 rooms,0.14366,780,4483,0.13339,0.15393
1998,Tenant,5 rooms,0.03811,195,4483,0.03251,0.04372
1998,Tenant,6 rooms,0.01620,80,4483,0.01251,0.01990
1999,Owner,2 rooms,0.06377,136,2813,0.05474,0.07280
1999,Owner,3 rooms,0.19019,506,2813,0.17568,0.20470
1999,Owner,4 rooms,0.27537,791,2813,0.25886,0.29188
1999,Owner,5 rooms,0.20139,626,2813,0.18657,0.21622
1999,Owner,6 rooms,0.13972,430,2813,0.12690,0.15253
1999,Owner,7 rooms,0.06484,189,2813,0.05574,0.07394
1999,Owner,8 rooms,0.02995,91,2813,0.02365,0.03625
1999,Owner,9 rooms,0.01544,44,2813,0.01088,0.02000
1999,Tenant,1 room,0.06961,229,4247,0.06195,0.07726
1999,Tenant,2 rooms,0.33515,1192,4247,0.32095,0.34935
1999,Tenant,3 rooms,0.39014,1797,4247,0.37547,0.40482
1999,Tenant,4 rooms,0.14574,762,4247,0.13513,0.15635
1999,Tenant,5 rooms,0.03871,190,4247,0.03291,0.04452
1999,Tenant,6 rooms,0.01554,77,4247,0.01182,0.01926
2000,Owner,2 rooms,0.05768,256,5804,0.05169,0.06368
2000,Owner,3 rooms,0.19232,1024,5804,0.18218,0.20246
2000,Owner,4 rooms,0.25709,1499,5804,0.24585,0.26834
2000,Owner,5 rooms,0.21206,1314,5804,0.20155,0.22258
2000,Owner,6 rooms,0.14570,893,5804,0.13662,0.15478
2000,Owner,7 rooms,0.06789,431,5804,0.06142,0.07436
2000,Owner,8 rooms,0.03567,227,5804,0.03090,0.04044
2000,Owner,9 rooms,0.01330,84,5804,0.01035,0.01625
2000,Owner,10 or more rooms,0.01311,76,5804,0.01018,0.01603
2000,Tenant,1 room,0.06841,385,7105,0.06254,0.07428
2000,Tenant,2 rooms,0.32399,1975,7105,0.31311,0.33488
2000,Tenant,3 rooms,0.39185,2971,7105,0.38050,0.40320
2000,Tenant,4 rooms,0.14772,1230,7105,0.13947,0.15597
2000,Tenant,5 rooms,0.04487,366,7105,0.04005,0.04968
2000,Tenant,6 rooms,0.01586,128,7105,0.01295,0.01876
2000,Tenant,7 rooms,0.00547,50,7105,0.00376,0.00719
2001,Owner,2 rooms,0.06072,236,5246,0.05426,0.06718
2001,Owner,3 rooms,0.18953,907,5246,0.17892,0.20013
2001,Owner,4 rooms,0.25923,1365,5246,0.24737,0.27109
2001,Owner,5 rooms,0.20880,1179,5246,0.19780,0.21980
2001,Owner,6 rooms,0.14461,805,5246,0.13509,0.15412
2001,Owner,7 rooms,0.06681,389,5246,0.06006,0.07357
2001,Owner,8 rooms,0.03720,208,5246,0.03208,0.04232
2001,Owner,9 rooms,0.01322,79,5246,0.01013,0.01631
2001,Owner,10 or more rooms,0.01445,78,5246,0.01122,0.01768
2001,Tenant,1 room,0.06259,308,6387,0.05665,0.06853
2001,Tenant,2 rooms,0.31630,1752,6387,0.30490,0.32771
2001,Tenant,3 rooms,0.39959,2688,6387,0.38757,0.41160
2001,Tenant,4 rooms,0.14950,1124,6387,0.14076,0.15825
2001,Tenant,5 rooms,0.04506,332,6387,0.03998,0.05015
2001,Tenant,6 rooms,0.01741,128,6387,0.01420,0.02062
2001,Tenant,7 rooms,0.00639,55,6387,0.00444,0.00835
2002,Owner,2 rooms,0.06034,228,5829,0.05423,0.06645
2002,Owner,3 rooms,0.19207,911,5829,0.18195,0.20218
2002,Owner,4 rooms,0.25919,1433,5829,0.24794,0.27044
2002,Owner,5 rooms,0.22624,1418,5829,0.21550,0.23698
2002,Owner,6 rooms,0.13599,914,5829,0.12719,0.14479
2002,Owner,7 rooms,0.06707,487,5829,0.06065,0.07349
2002,Owner,8 rooms,0.03043,245,5829,0.02602,0.03484
2002,Owner,9 rooms,0.01204,105,5829,0.00924,0.01484
2002,Owner,10 or more rooms,0.01206,88,5829,0.00926,0.01486
2002,Tenant,1 room,0.06123,297,6340,0.05533,0.06713
2002,Tenant,2 rooms,0.32191,1734,6340,0.31041,0.33342
2002,Tenant,3 rooms,0.39424,2595,6340,0.38221,0.40627
2002,Tenant,4 rooms,0.14814,1136,6340,0.13939,0.15688
2002,Tenant,5 rooms,0.05086,381,6340,0.04545,0.05626
2002,Tenant,6 rooms,0.01689,154,6340,0.01372,0.02007
2002,Tenant,7 rooms,0.00458,43,6340,0.00292,0.00624
2003,Owner,2 rooms,0.06013,232,5642,0.05393,0.06634
2003,Owner,3 rooms,0.19257,906,5642,0.18228,0.20286
2003,Owner,4 rooms,0.25363,1393,5642,0.24227,0.26498
2003,Owner,5 rooms,0.22951,1342,5642,0.21853,0.24048
2003,Owner,6 rooms,0.13669,879,5642,0.12773,0.14566
2003,Owner,7 rooms,0.06517,472,5642,0.05873,0.07161
2003,Owner,8 rooms,0.03449,245,5642,0.02973,0.03925
2003,Owner,9 rooms,0.01115,94,5642,0.00841,0.01389
2003,Owner,10 or more rooms,0.01051,79,5642,0.00785,0.01317
2003,Tenant,1 room,0.06724,315,6114,0.06096,0.07352
2003,Tenant,2 rooms,0.31514,1674,6114,0.30349,0.32679
2003,Tenant,3 rooms,0.39875,2527,6114,0.38648,0.41103
2003,Tenant,4 rooms,0.14577,1060,6114,0.13693,0.15462
2003,Tenant,5 rooms,0.04797,342,6114,0.04262,0.05333
2003,Tenant,6 rooms,0.01727,147,6114,0.01401,0.02054
2003,Tenant,7 rooms,0.00478,49,6114,0.00305,0.00651
2004,Owner,2 rooms,0.06075,233,5545,0.05446,0.06704
2004,Owner,3 rooms,0.19099,881,5545,0.18064,0.20134
2004,Owner,4 rooms,0.24724,1350,5545,0.23588,0.25859
2004,Owner,5 rooms,0.23161,1326,5545,0.22051,0.24272
2004,Owner,6 rooms,0.14288,896,5545,0.13367,0.15210
2004,Owner,7 rooms,0.06771,451,5545,0.06109,0.07432
2004,Owner,8 rooms,0.02996,222,5545,0.02548,0.03445
2004,Owner,9 rooms,0.01129,96,5545,0.00851,0.01407
2004,Owner,10 or more rooms,0.01179,90,5545,0.00895,0.01463
2004,Tenant,1 room,0.06614,308,5951,0.05983,0.07246
2004,Tenant,2 rooms,0.30775,1588,5951,0.29602,0.31947
2004,Tenant,3 rooms,0.40432,2472,5951,0.39185,0.41679
2004,Tenant,4 rooms,0.14555,1050,5951,0.13659,0.15451
2004,Tenant,5 rooms,0.05286,360,5951,0.04717,0.05854
2004,Tenant,6 rooms,0.01483,126,5951,0.01176,0.01791
2004,Tenant,7 rooms,0.00495,47,5951,0.00317,0.00673
2005,Owner,2 rooms,0.05866,224,5374,0.05238,0.06495
2005,Owner,3 rooms,0.19155,891,5374,0.18103,0.20208
2005,Owner,4 rooms,0.24712,1300,5374,0.23559,0.25866
2005,Owner,5 rooms,0.23788,1314,5374,0.22649,0.24926
2005,Owner,6 rooms,0.13498,816,5374,0.12584,0.14412
2005,Owner,7 rooms,0.06564,427,5374,0.05902,0.07226
2005,Owner,8 rooms,0.03548,229,5374,0.03054,0.04043
2005,Owner,9 rooms,0.01379,96,5374,0.01067,0.01691
2005,Owner,10 or more rooms,0.01041,77,5374,0.00769,0.01312
2005,Tenant,1 room,0.06247,304,5777,0.05623,0.06871
2005,Tenant,2 rooms,0.31300,1588,5777,0.30104,0.32496
2005,Tenant,3 rooms,0.39700,2365,5777,0.38439,0.40962
2005,Tenant,4 rooms,0.14811,1012,5777,0.13895,0.15727
2005,Tenant,5 rooms,0.05296,352,5777,0.04719,0.05874
2005,Tenant,6 rooms,0.01837,125,5777,0.01491,0.02183
2005,Tenant,7 rooms,0.00337,31,5777,0.00188,0.00487
2006,Owner,2 rooms,0.05999,262,5986,0.05397,0.06601
2006,Owner,3 rooms,0.19037,972,5986,0.18042,0.20031
2006,Owner,4 rooms,0.24954,1465,5986,0.23857,0.26050
2006,Owner,5 rooms,0.22905,1435,5986,0.21840,0.23970
2006,Owner,6 rooms,0.13933,915,5986,0.13056,0.14811
2006,Owner,7 rooms,0.06901,501,5986,0.06259,0.07543
2006,Owner,8 rooms,0.03180,245,5986,0.02735,0.03625
2006,Owner,9 rooms,0.01492,105,5986,0.01185,0.01799
2006,Owner,10 or more rooms,0.01021,86,5986,0.00766,0.01276
2006,Tenant,1 room,0.06235,317,6223,0.05634,0.06836
2006,Tenant,2 rooms,0.32168,1745,6223,0.31007,0.33328
2006,Tenant,3 rooms,0.39341,2533,6223,0.38128,0.40555
2006,Tenant,4 rooms,0.14426,1080,6223,0.13553,0.15299
2006,Tenant,5 rooms,0.05479,380,6223,0.04913,0.06044
2006,Tenant,6 rooms,0.01448,125,6223,0.01151,0.01745
2006,Tenant,7 rooms,0.00492,43,6223,0.00318,0.00666
2007,Owner,2 rooms,0.05411,223,5604,0.04819,0.06004
2007,Owner,3 rooms,0.19163,909,5604,0.18132,0.20193
2007,Owner,4 rooms,0.24791,1347,5604,0.23661,0.25922
2007,Owner,5 rooms,0.22429,1330,5604,0.21336,0.23521
2007,Owner,6 rooms,0.14376,900,5604,0.13457,0.15294
2007,Owner,7 rooms,0.07352,498,5604,0.06669,0.08035
2007,Owner,8 rooms,0.03224,219,5604,0.02762,0.03687
2007,Owner,9 rooms,0.01494,103,5604,0.01176,0.01811
2007,Owner,10 or more rooms,0.01180,75,5604,0.00897,0.01463
2007,Tenant,1 room,0.06194,297,5798,0.05573,0.06814
2007,Tenant,2 rooms,0.31693,1579,5798,0.30495,0.32891
2007,Tenant,3 rooms,0.38687,2360,5798,0.37433,0.39941
2007,Tenant,4 rooms,0.15299,1048,5798,0.14372,0.16225
2007,Tenant,5 rooms,0.05094,337,5798,0.04528,0.05660
2007,Tenant,6 rooms,0.02022,133,5798,0.01660,0.02385
2007,Tenant,7 rooms,0.00577,44,5798,0.00382,0.00772
2008,Owner,2 rooms,0.05523,211,5362,0.04912,0.06135
2008,Owner,3 rooms,0.17869,854,5362,0.16844,0.18895
2008,Owner,4 rooms,0.25318,1300,5362,0.24154,0.26482
2008,Owner,5 rooms,0.23523,1322,5362,0.22388,0.24659
2008,Owner,6 rooms,0.14253,843,5362,0.13317,0.15189
2008,Owner,7 rooms,0.06886,440,5362,0.06208,0.07564
2008,Owner,8 rooms,0.03250,217,5362,0.02776,0.03725
2008,Owner,9 rooms,0.01427,102,5362,0.01109,0.01744
2008,Owner,10 or more rooms,0.01320,73,5362,0.01015,0.01626
2008,Tenant,1 room,0.05930,268,5414,0.05301,0.06559
2008,Tenant,2 rooms,0.31865,1481,5414,0.30624,0.33107
2008,Tenant,3 rooms,0.39105,2214,5414,0.37805,0.40405
2008,Tenant,4 rooms,0.14791,969,5414,0.13845,0.15737
2008,Tenant,5 rooms,0.05313,310,5414,0.04715,0.05910
2008,Tenant,6 rooms,0.01909,126,5414,0.01544,0.02273
2008,Tenant,7 rooms,0.00712,46,5414,0.00488,0.00936
2009,Owner,2 rooms,0.05304,194,5053,0.04686,0.05922
2009,Owner,3 rooms,0.18597,790,5053,0.17525,0.19670
2009,Owner,4 rooms,0.25030,1243,5053,0.23836,0.26225
2009,Owner,5 rooms,0.23686,1246,5053,0.22514,0.24859
2009,Owner,6 rooms,0.13661,786,5053,0.12714,0.14608
2009,Owner,7 rooms,0.07050,430,5053,0.06344,0.07756
2009,Owner,8 rooms,0.03253,192,5053,0.02763,0.03742
2009,Owner,9 rooms,0.01527,96,5053,0.01189,0.01865
2009,Owner,10 or more rooms,0.01415,76,5053,0.01089,0.01741
2009,Tenant,1 room,0.06044,238,5079,0.05389,0.06700
2009,Tenant,2 rooms,0.31609,1382,5079,0.30330,0.32888
2009,Tenant,3 rooms,0.38805,2099,5079,0.37464,0.40145
2009,Tenant,4 rooms,0.14868,893,5079,0.13890,0.15847
2009,Tenant,5 rooms,0.05572,307,5079,0.04941,0.06203
2009,Tenant,6 rooms,0.01766,113,5079,0.01404,0.02128
2009,Tenant,7 rooms,0.00751,47,5079,0.00513,0.00988
2010,Owner,2 rooms,0.05281,187,6325,0.04729,0.05832
2010,Owner,3 rooms,0.19684,929,6325,0.18704,0.20664
2010,Owner,4 rooms,0.25131,1531,6325,0.24062,0.26200
2010,Owner,5 rooms,0.22629,1541,6325,0.21598,0.23661
2010,Owner,6 rooms,0.14361,1082,6325,0.13497,0.15226
2010,Owner,7 rooms,0.06861,553,6325,0.06238,0.07484
2010,Owner,8 rooms,0.03140,269,6325,0.02710,0.03569
2010,Owner,9 rooms,0.01565,133,6325,0.01259,0.01871
2010,Owner,10 or more rooms,0.01055,100,6325,0.00803,0.01307
2010,Tenant,1 room,0.05734,219,7445,0.05206,0.06263
2010,Tenant,2 rooms,0.30664,1484,7445,0.29617,0.31712
2010,Tenant,3 rooms,0.40504,3294,7445,0.39388,0.41619
2010,Tenant,4 rooms,0.14983,1627,7445,0.14172,0.15794
2010,Tenant,5 rooms,0.05193,521,7445,0.04689,0.05697
2010,Tenant,6 rooms,0.01748,190,7445,0.01450,0.02045
2010,Tenant,7 rooms,0.00668,78,7445,0.00483,0.00853
2010,Tenant,8 rooms,0.00317,32,7445,0.00189,0.00445
2011,Owner,2 rooms,0.05511,239,7712,0.05002,0.06020
2011,Owner,3 rooms,0.19689,1102,7712,0.18801,0.20576
2011,Owner,4 rooms,0.24867,1819,7712,0.23902,0.25832
2011,Owner,5 rooms,0.22605,1856,7712,0.21672,0.23539
2011,Owner,6 rooms,0.14407,1360,7712,0.13623,0.15191
2011,Owner,7 rooms,0.06689,689,7712,0.06131,0.07246
2011,Owner,8 rooms,0.03578,369,7712,0.03163,0.03992
2011,Owner,9 rooms,0.01255,161,7712,0.01006,0.01503
2011,Owner,10 or more rooms,0.01059,117,7712,0.00831,0.01288
2011,Tenant,1 room,0.06400,325,8857,0.05890,0.06910
2011,Tenant,2 rooms,0.31354,1871,8857,0.30388,0.32321
2011,Tenant,3 rooms,0.39715,3812,8857,0.38696,0.40734
2011,Tenant,4 rooms,0.13743,1782,8857,0.13026,0.14460
2011,Tenant,5 rooms,0.05823,653,8857,0.05336,0.06311
2011,Tenant,6 rooms,0.01702,257,8857,0.01432,0.01971
2011,Tenant,7 rooms,0.00816,110,8857,0.00629,0.01004
2011,Tenant,8 rooms,0.00359,47,8857,0.00234,0.00483
2012,Owner,2 rooms,0.05684,254,7587,0.05163,0.06205
2012,Owner,3 rooms,0.19510,1087,7587,0.18618,0.20402
2012,Owner,4 rooms,0.24577,1756,7587,0.23608,0.25546
2012,Owner,5 rooms,0.22616,1843,7587,0.21674,0.23557
2012,Owner,6 rooms,0.14137,1319,7587,0.13353,0.14921
2012,Owner,7 rooms,0.07043,688,7587,0.06467,0.07618
2012,Owner,8 rooms,0.03434,356,7587,0.03024,0.03843
2012,Owner,9 rooms,0.01293,160,7587,0.01039,0.01548
2012,Owner,10 or more rooms,0.01324,124,7587,0.01067,0.01581
2012,Tenant,1 room,0.06350,353,8685,0.05837,0.06863
