year,bula_h,hhtyp,hgroom,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1985,North Rhine-Westphalia,Couple with children,4 rooms,0.29226,183,609,0.25611,0.32841
1985,North Rhine-Westphalia,Couple with children,5 rooms,0.16818,99,609,0.13845,0.19791
1985,North Rhine-Westphalia,Couple with children,6 rooms,0.10008,50,609,0.07622,0.12393
1985,Hesse,Single-person household,2 rooms,0.37081,37,37,0.21302,0.52860
1985,Hesse,Couple without children,2 rooms,0.19305,34,90,0.11105,0.27505
1985,Hesse,Couple without children,3 rooms,0.40977,56,90,0.30760,0.51195
1985,Hesse,Couple with children,3 rooms,0.27899,88,186,0.21436,0.34362
1985,Hesse,Couple with children,4 rooms,0.32711,66,186,0.25951,0.39472
1985,Hesse,Couple with children,5 rooms,0.17470,32,186,0.11999,0.22942
1985,"Rhineland-Palatinate, Saarland",Couple with children,3 rooms,0.21827,35,66,0.11785,0.31869
1985,"Rhineland-Palatinate, Saarland",Couple with children,4 rooms,0.23218,31,66,0.12953,0.33482
1985,Baden-Wuerttemberg,Single-person household,1 room,0.14121,34,160,0.08708,0.19534
1985,Baden-Wuerttemberg,Single-person household,2 rooms,0.37351,63,160,0.29832,0.44870
1985,Baden-Wuerttemberg,Single-person household,3 rooms,0.38575,63,160,0.31008,0.46141
1985,Baden-Wuerttemberg,Couple without children,2 rooms,0.17296,39,146,0.11140,0.23452
1985,Baden-Wuerttemberg,Couple without children,3 rooms,0.39949,71,146,0.31976,0.47921
1985,Baden-Wuerttemberg,Couple without children,4 rooms,0.24013,36,146,0.17060,0.30966
1985,Baden-Wuerttemberg,Couple with children,3 rooms,0.25839,185,439,0.21740,0.29939
1985,Baden-Wuerttemberg,Couple with children,4 rooms,0.27509,124,439,0.23327,0.31691
1985,Baden-Wuerttemberg,Couple with children,5 rooms,0.21872,82,439,0.18001,0.25744
1985,Baden-Wuerttemberg,Couple with children,6 rooms,0.14774,48,439,0.11451,0.18097
1985,Bavaria,Single-person household,1 room,0.20469,38,147,0.13924,0.27014
1985,Bavaria,Single-person household,2 rooms,0.26824,48,147,0.19638,0.34011
1985,Bavaria,Single-person household,3 rooms,0.39026,61,147,0.31113,0.46939
1985,Bavaria,Couple without children,2 rooms,0.17890,48,183,0.12322,0.23458
1985,Bavaria,Couple without children,3 rooms,0.37734,81,183,0.30692,0.44776
1985,Bavaria,Couple without children,4 rooms,0.25593,54,183,0.19253,0.31933
1985,Bavaria,Couple with children,3 rooms,0.27981,132,331,0.23137,0.32824
1985,Bavaria,Couple with children,4 rooms,0.30785,125,331,0.25805,0.35765
1985,Bavaria,Couple with children,5 rooms,0.21230,74,331,0.16818,0.25642
1985,Berlin,Single-person household,2 rooms,0.57202,38,38,0.41259,0.73145
1986,Lower Saxony,Single-person household,2 rooms,0.41238,38,38,0.25376,0.57100
1986,Lower Saxony,Couple without children,3 rooms,0.38649,61,61,0.26327,0.50970
1986,Lower Saxony,Couple with children,3 rooms,0.19380,49,148,0.12990,0.25770
1986,Lower Saxony,Couple with children,4 rooms,0.29725,59,148,0.22337,0.37114
1986,Lower Saxony,Couple with children,5 rooms,0.20553,40,148,0.14021,0.27085
1986,North Rhine-Westphalia,Single-person household,1 room,0.16877,62,259,0.12307,0.21447
1986,North Rhine-Westphalia,Single-person household,2 rooms,0.46319,133,259,0.40234,0.52403
1986,North Rhine-Westphalia,Single-person household,3 rooms,0.25075,64,259,0.19786,0.30364
1986,North Rhine-Westphalia,Couple without children,2 rooms,0.24457,85,293,0.19527,0.29388
1986,North Rhine-Westphalia,Couple without children,3 rooms,0.46618,149,293,0.40896,0.52340
1986,North Rhine-Westphalia,Couple without children,4 rooms,0.19053,59,293,0.14548,0.23557
1986,North Rhine-Westphalia,Couple with children,2 rooms,0.04418,43,584,0.02750,0.06086
1986,North Rhine-Westphalia,Couple with children,3 rooms,0.30151,221,584,0.26426,0.33876
1986,North Rhine-Westphalia,Couple with children,4 rooms,0.30218,177,584,0.26490,0.33945
1986,North Rhine-Westphalia,Couple with children,5 rooms,0.17173,92,584,0.14111,0.20234
1986,North Rhine-Westphalia,Couple with children,6 rooms,0.10267,51,584,0.07803,0.12731
1986,Hesse,Single-person household,2 rooms,0.36694,35,35,0.20493,0.52895
1986,Hesse,Couple without children,2 rooms,0.18790,32,78,0.10064,0.27515
1986,Hesse,Couple without children,3 rooms,0.38527,46,78,0.27657,0.49397
1986,Hesse,Couple with children,3 rooms,0.29718,87,145,0.22254,0.37183
1986,Hesse,Couple with children,4 rooms,0.31004,58,145,0.23450,0.38558
1986,"Rhineland-Palatinate, Saarland",Couple with children,3 rooms,0.19286,32,64,0.09543,0.29029
1986,"Rhineland-Palatinate, Saarland",Couple with children,4 rooms,0.22397,32,64,0.12102,0.32692
1986,Baden-Wuerttemberg,Single-person household,1 room,0.15081,32,135,0.09022,0.21141
1986,Baden-Wuerttemberg,Single-person household,2 rooms,0.32771,53,135,0.24823,0.40718
1986,Baden-Wuerttemberg,Single-person household,3 rooms,0.36012,50,135,0.27884,0.44140
1986,Baden-Wuerttemberg,Couple without children,2 rooms,0.18411,42,155,0.12290,0.24533
1986,Baden-Wuerttemberg,Couple without children,3 rooms,0.39192,70,155,0.31481,0.46902
1986,Baden-Wuerttemberg,Couple without children,4 rooms,0.25638,43,155,0.18741,0.32534
1986,Baden-Wuerttemberg,Couple with children,2 rooms,0.03017,31,444,0.01424,0.04610
1986,Baden-Wuerttemberg,Couple with children,3 rooms,0.28435,177,444,0.24234,0.32636
1986,Baden-Wuerttemberg,Couple with children,4 rooms,0.25463,115,444,0.21406,0.29520
1986,Baden-Wuerttemberg,Couple with children,5 rooms,0.20910,75,444,0.17123,0.24698
1986,Baden-Wuerttemberg,Couple with children,6 rooms,0.14633,46,444,0.11342,0.17925
1986,Bavaria,Single-person household,1 room,0.20724,40,143,0.14057,0.27391
1986,Bavaria,Single-person household,2 rooms,0.27880,46,143,0.20505,0.35256
1986,Bavaria,Single-person household,3 rooms,0.35754,57,143,0.27871,0.43637
1986,Bavaria,Couple without children,2 rooms,0.18649,43,163,0.12651,0.24647
1986,Bavaria,Couple without children,3 rooms,0.36674,71,163,0.29253,0.44095
1986,Bavaria,Couple without children,4 rooms,0.24914,49,163,0.18254,0.31574
1986,Bavaria,Couple with children,3 rooms,0.30513,130,298,0.25276,0.35750
1986,Bavaria,Couple with children,4 rooms,0.29535,105,298,0.24347,0.34723
1986,Bavaria,Couple with children,5 rooms,0.18897,63,298,0.14445,0.23350
1986,Berlin,Single-person household,2 rooms,0.50405,35,35,0.33599,0.67211
1987,Lower Saxony,Single-person household,2 rooms,0.40767,41,73,0.29416,0.52118
1987,Lower Saxony,Single-person household,3 rooms,0.33543,32,73,0.22637,0.44449
1987,Lower Saxony,Couple without children,3 rooms,0.35799,53,86,0.25607,0.45991
1987,Lower Saxony,Couple without children,4 rooms,0.24541,33,86,0.15392,0.33689
1987,Lower Saxony,Couple with children,3 rooms,0.25406,58,152,0.18462,0.32349
1987,Lower Saxony,Couple with children,4 rooms,0.24474,51,152,0.17616,0.31331
1987,Lower Saxony,Couple with children,5 rooms,0.22398,43,152,0.15748,0.29047
1987,North Rhine-Westphalia,Single-person household,1 room,0.15518,55,262,0.11125,0.19911
1987,North Rhine-Westphalia,Single-person household,2 rooms,0.46322,136,262,0.40272,0.52371
1987,North Rhine-Westphalia,Single-person household,3 rooms,0.25724,71,262,0.20421,0.31028
1987,North Rhine-Westphalia,Couple without children,2 rooms,0.23781,80,273,0.18721,0.28840
1987,North Rhine-Westphalia,Couple without children,3 rooms,0.44729,137,273,0.38820,0.50638
1987,North Rhine-Westphalia,Couple without children,4 rooms,0.19130,56,273,0.14456,0.23805
1987,North Rhine-Westphalia,Couple with children,2 rooms,0.03592,37,569,0.02062,0.05122
1987,North Rhine-Westphalia,Couple with children,3 rooms,0.30538,215,569,0.26750,0.34326
1987,North Rhine-Westphalia,Couple with children,4 rooms,0.29268,166,569,0.25526,0.33010
1987,North Rhine-Westphalia,Couple with children,5 rooms,0.19649,105,569,0.16381,0.22916
1987,North Rhine-Westphalia,Couple with children,6 rooms,0.09276,46,569,0.06890,0.11662
1987,Hesse,Single-person household,2 rooms,0.39150,36,36,0.22979,0.55320
1987,Hesse,Couple without children,3 rooms,0.40047,45,45,0.25569,0.54526
1987,Hesse,Couple with children,3 rooms,0.28679,82,175,0.21959,0.35399
1987,Hesse,Couple with children,4 rooms,0.31162,62,175,0.24280,0.38043
1987,Hesse,Couple with children,5 rooms,0.18644,31,175,0.12857,0.24431
1987,"Rhineland-Palatinate, Saarland",Couple with children,3 rooms,0.18452,31,31,0.04571,0.32333
1987,Baden-Wuerttemberg,Single-person household,2 rooms,0.35944,59,108,0.26852,0.45036
1987,Baden-Wuerttemberg,Single-person household,3 rooms,0.35747,49,108,0.26666,0.44827
1987,Baden-Wuerttemberg,Couple without children,2 rooms,0.13789,34,153,0.08308,0.19271
1987,Baden-Wuerttemberg,Couple without children,3 rooms,0.42573,79,153,0.34712,0.50434
1987,Baden-Wuerttemberg,Couple without children,4 rooms,0.26253,40,153,0.19257,0.33248
1987,Baden-Wuerttemberg,Couple with children,2 rooms,0.03967,35,436,0.02133,0.05801
1987,Baden-Wuerttemberg,Couple with children,3 rooms,0.27607,175,436,0.23406,0.31809
1987,Baden-Wuerttemberg,Couple with children,4 rooms,0.26193,116,436,0.22062,0.30325
1987,Baden-Wuerttemberg,Couple with children,5 rooms,0.20309,69,436,0.16528,0.24089
1987,Baden-Wuerttemberg,Couple with children,6 rooms,0.12947,41,436,0.09792,0.16102
1987,Bavaria,Single-person household,1 room,0.23710,48,149,0.16858,0.30562
1987,Bavaria,Single-person household,2 rooms,0.26533,45,149,0.19420,0.33647
1987,Bavaria,Single-person household,3 rooms,0.33466,56,149,0.25864,0.41068
1987,Bavaria,Couple without children,2 rooms,0.20577,49,158,0.14254,0.26901
1987,Bavaria,Couple without children,3 rooms,0.33951,64,158,0.26543,0.41358
1987,Bavaria,Couple without children,4 rooms,0.22697,45,158,0.16145,0.29250
1987,Bavaria,Couple with children,3 rooms,0.29569,121,289,0.24298,0.34839
1987,Bavaria,Couple with children,4 rooms,0.30676,108,289,0.25350,0.36002
1987,Bavaria,Couple with children,5 rooms,0.19025,60,289,0.14492,0.23558
1987,Berlin,Single-person household,2 rooms,0.55158,36,36,0.38681,0.71635
1988,Lower Saxony,Single-person household,2 rooms,0.38597,37,68,0.26940,0.50254
1988,Lower Saxony,Single-person household,3 rooms,0.34212,31,68,0.22852,0.45572
1988,Lower Saxony,Couple without children,3 rooms,0.35838,54,54,0.22928,0.48748
1988,Lower Saxony,Couple with children,3 rooms,0.26949,55,141,0.19599,0.34299
1988,Lower Saxony,Couple with children,4 rooms,0.25096,50,141,0.17914,0.32278
1988,Lower Saxony,Couple with children,5 rooms,0.19836,36,141,0.13231,0.26442
1988,North Rhine-Westphalia,Single-person household,1 room,0.15546,50,240,0.10952,0.20140
1988,North Rhine-Westphalia,Single-person household,2 rooms,0.45107,120,240,0.38798,0.51415
1988,North Rhine-Westphalia,Single-person household,3 rooms,0.26763,70,240,0.21150,0.32376
1988,North Rhine-Westphalia,Couple without children,2 rooms,0.26278,88,271,0.21028,0.31528
1988,North Rhine-Westphalia,Couple without children,3 rooms,0.44913,134,271,0.38979,0.50846
1988,North Rhine-Westphalia,Couple without children,4 rooms,0.16409,49,271,0.11992,0.20827
1988,North Rhine-Westphalia,Single parent,3 rooms,0.53335,31,31,0.35483,0.71187
1988,North Rhine-Westphalia,Couple with children,2 rooms,0.03945,35,544,0.02308,0.05582
1988,North Rhine-Westphalia,Couple with children,3 rooms,0.30404,211,544,0.26535,0.34273
1988,North Rhine-Westphalia,Couple with children,4 rooms,0.29348,160,544,0.25518,0.33178
1988,North Rhine-Westphalia,Couple with children,5 rooms,0.18052,90,544,0.14817,0.21288
1988,North Rhine-Westphalia,Couple with children,6 rooms,0.09751,48,544,0.07256,0.12247
1988,Hesse,Single-person household,2 rooms,0.38829,33,33,0.21943,0.55715
1988,Hesse,Couple without children,3 rooms,0.40299,41,41,0.25098,0.55500
1988,Hesse,Couple with children,3 rooms,0.27599,76,138,0.20113,0.35084
1988,Hesse,Couple with children,4 rooms,0.33001,62,138,0.25127,0.40875
1988,"Rhineland-Palatinate, Saarland",Couple without children,3 rooms,0.34404,32,32,0.17681,0.51128
1988,"Rhineland-Palatinate, Saarland",Couple with children,4 rooms,0.23387,31,31,0.08240,0.38534
1988,Baden-Wuerttemberg,Single-person household,2 rooms,0.31339,55,110,0.22630,0.40047
1988,Baden-Wuerttemberg,Single-person household,3 rooms,0.38702,55,110,0.29558,0.47846
1988,Baden-Wuerttemberg,Couple without children,2 rooms,0.13940,41,158,0.08522,0.19357
1988,Baden-Wuerttemberg,Couple without children,3 rooms,0.39135,77,158,0.31501,0.46769
1988,Baden-Wuerttemberg,Couple without children,4 rooms,0.27652,40,158,0.20655,0.34648
1988,Baden-Wuerttemberg,Couple with children,3 rooms,0.26890,160,384,0.22449,0.31330
1988,Baden-Wuerttemberg,Couple with children,4 rooms,0.24125,109,384,0.19840,0.28410
1988,Baden-Wuerttemberg,Couple with children,5 rooms,0.21429,72,384,0.17319,0.25538
1988,Baden-Wuerttemberg,Couple with children,6 rooms,0.14012,43,384,0.10536,0.17489
1988,Bavaria,Single-person household,1 room,0.20908,42,149,0.14356,0.27459
1988,Bavaria,Single-person household,2 rooms,0.26039,47,149,0.18969,0.33110
1988,Bavaria,Single-person household,3 rooms,0.34567,60,149,0.26905,0.42230
1988,Bavaria,Couple without children,2 rooms,0.18126,41,141,0.11745,0.24508
1988,Bavaria,Couple without children,3 rooms,0.36979,62,141,0.28982,0.44976
1988,Bavaria,Couple without children,4 rooms,0.21758,38,141,0.14923,0.28593
1988,Bavaria,Couple with children,3 rooms,0.28911,121,309,0.23848,0.33974
1988,Bavaria,Couple with children,4 rooms,0.29333,100,309,0.24248,0.34418
1988,Bavaria,Couple with children,5 rooms,0.19064,55,309,0.14677,0.23451
1988,Bavaria,Couple with children,6 rooms,0.11286,33,309,0.07752,0.14820
1988,Berlin,Single-person household,2 rooms,0.57051,37,37,0.40881,0.73221
1989,Lower Saxony,Single-person household,2 rooms,0.39707,40,40,0.24350,0.55063
1989,Lower Saxony,Couple without children,3 rooms,0.34438,57,89,0.24510,0.44366
1989,Lower Saxony,Couple without children,4 rooms,0.24188,32,89,0.15241,0.33135
1989,Lower Saxony,Couple with children,3 rooms,0.23258,49,134,0.16078,0.30438
1989,Lower Saxony,Couple with children,4 rooms,0.30398,52,134,0.22581,0.38216
1989,Lower Saxony,Couple with children,5 rooms,0.20533,33,134,0.13668,0.27398
1989,North Rhine-Westphalia,Single-person household,1 room,0.14330,44,230,0.09792,0.18868
1989,North Rhine-Westphalia,Single-person household,2 rooms,0.46014,121,230,0.39558,0.52469
1989,North Rhine-Westphalia,Single-person household,3 rooms,0.26601,65,230,0.20878,0.32324
1989,North Rhine-Westphalia,Couple without children,2 rooms,0.27627,88,263,0.22212,0.33041
1989,North Rhine-Westphalia,Couple without children,3 rooms,0.42915,126,263,0.36921,0.48908
1989,North Rhine-Westphalia,Couple without children,4 rooms,0.15803,49,263,0.11386,0.20220
1989,North Rhine-Westphalia,Couple with children,2 rooms,0.03681,34,522,0.02064,0.05297
1989,North Rhine-Westphalia,Couple with children,3 rooms,0.30015,197,522,0.26080,0.33951
1989,North Rhine-Westphalia,Couple with children,4 rooms,0.30434,156,522,0.26483,0.34385
1989,North Rhine-Westphalia,Couple with children,5 rooms,0.17712,86,522,0.14434,0.20990
1989,North Rhine-Westphalia,Couple with children,6 rooms,0.10368,49,522,0.07750,0.12986
1989,Hesse,Single-person household,2 rooms,0.37638,35,35,0.21353,0.53923
1989,Hesse,Couple without children,2 rooms,0.19676,32,74,0.10556,0.28796
1989,Hesse,Couple without children,3 rooms,0.39613,42,74,0.28393,0.50833
1989,Hesse,Couple with children,3 rooms,0.28617,78,139,0.21076,0.36158
1989,Hesse,Couple with children,4 rooms,0.34944,61,139,0.26989,0.42900
1989,"Rhineland-Palatinate, Saarland",Couple with children,4 rooms,0.24944,31,31,0.09460,0.40428
1989,Baden-Wuerttemberg,Single-person household,2 rooms,0.31792,56,104,0.22799,0.40785
1989,Baden-Wuerttemberg,Single-person household,3 rooms,0.36550,48,104,0.27250,0.45850
1989,Baden-Wuerttemberg,Couple without children,3 rooms,0.40964,73,114,0.31897,0.50031
1989,Baden-Wuerttemberg,Couple without children,4 rooms,0.28491,41,114,0.20168,0.36813
1989,Baden-Wuerttemberg,Couple with children,3 rooms,0.24836,151,364,0.20391,0.29280
1989,Baden-Wuerttemberg,Couple with children,4 rooms,0.26340,108,364,0.21808,0.30871
1989,Baden-Wuerttemberg,Couple with children,5 rooms,0.22071,68,364,0.17804,0.26337
1989,Baden-Wuerttemberg,Couple with children,6 rooms,0.11778,37,364,0.08462,0.15094
1989,Bavaria,Single-person household,1 room,0.16826,36,151,0.10839,0.22812
1989,Bavaria,Single-person household,2 rooms,0.28854,52,151,0.21603,0.36105
1989,Bavaria,Single-person household,3 rooms,0.36942,63,151,0.29218,0.44666
1989,Bavaria,Couple without children,2 rooms,0.19530,42,146,0.13077,0.25983
1989,Bavaria,Couple without children,3 rooms,0.36758,63,146,0.28911,0.44606
1989,Bavaria,Couple without children,4 rooms,0.21960,41,146,0.15222,0.28698
1989,Bavaria,Couple with children,3 rooms,0.26863,112,290,0.21753,0.31974
1989,Bavaria,Couple with children,4 rooms,0.28016,91,290,0.22839,0.33194
1989,Bavaria,Couple with children,5 rooms,0.19371,55,290,0.14815,0.23928
1989,Bavaria,Couple with children,6 rooms,0.11414,32,290,0.07748,0.15081
1989,Berlin,Single-person household,2 rooms,0.58927,40,40,0.43486,0.74367
1990,Lower Saxony,Single-person household,2 rooms,0.39569,40,75,0.28427,0.50710
1990,Lower Saxony,Single-person household,3 rooms,0.35202,35,75,0.24320,0.46083
1990,Lower Saxony,Couple without children,3 rooms,0.32227,57,91,0.22571,0.41882
1990,Lower Saxony,Couple without children,4 rooms,0.26063,34,91,0.16994,0.35133
1990,Lower Saxony,Couple with children,3 rooms,0.26230,54,99,0.17521,0.34939
1990,Lower Saxony,Couple with children,4 rooms,0.26373,45,99,0.17649,0.35098
1990,North Rhine-Westphalia,Single-person household,1 room,0.13250,39,223,0.08790,0.17710
1990,North Rhine-Westphalia,Single-person household,2 rooms,0.47181,118,223,0.40614,0.53748
1990,North Rhine-Westphalia,Single-person household,3 rooms,0.27528,66,223,0.21652,0.33403
1990,North Rhine-Westphalia,Couple without children,2 rooms,0.28194,90,271,0.22827,0.33561
1990,North Rhine-Westphalia,Couple without children,3 rooms,0.44430,131,271,0.38503,0.50357
1990,North Rhine-Westphalia,Couple without children,4 rooms,0.15582,50,271,0.11256,0.19908
1990,North Rhine-Westphalia,Couple with children,3 rooms,0.32358,201,480,0.28169,0.36548
1990,North Rhine-Westphalia,Couple with children,4 rooms,0.28554,150,480,0.24509,0.32599
1990,North Rhine-Westphalia,Couple with children,5 rooms,0.18479,85,480,0.15003,0.21955
1990,North Rhine-Westphalia,Couple with children,6 rooms,0.10115,44,480,0.07415,0.12815
1990,Hesse,Single-person household,2 rooms,0.38958,31,62,0.26721,0.51196
1990,Hesse,Single-person household,3 rooms,0.36854,31,62,0.24748,0.48960
1990,Hesse,Couple without children,3 rooms,0.36493,42,42,0.21757,0.51230
1990,Hesse,Couple with children,3 rooms,0.32374,83,139,0.24567,0.40180
1990,Hesse,Couple with children,4 rooms,0.31879,56,139,0.24104,0.39654
1990,"Rhineland-Palatinate, Saarland",Couple with children,4 rooms,0.25252,33,33,0.10199,0.40305
1990,Baden-Wuerttemberg,Single-person household,2 rooms,0.26202,43,89,0.17015,0.35390
1990,Baden-Wuerttemberg,Single-person household,3 rooms,0.38898,46,89,0.28712,0.49084
1990,Baden-Wuerttemberg,Couple without children,2 rooms,0.13917,38,149,0.08340,0.19493
1990,Baden-Wuerttemberg,Couple without children,3 rooms,0.37759,71,149,0.29949,0.45570
1990,Baden-Wuerttemberg,Couple without children,4 rooms,0.26150,40,149,0.19070,0.33230
1990,Baden-Wuerttemberg,Couple with children,3 rooms,0.25666,149,352,0.21097,0.30236
1990,Baden-Wuerttemberg,Couple with children,4 rooms,0.27121,110,352,0.22469,0.31772
1990,Baden-Wuerttemberg,Couple with children,5 rooms,0.18579,57,352,0.14510,0.22648
1990,Baden-Wuerttemberg,Couple with children,6 rooms,0.13715,36,352,0.10116,0.17313
1990,Bavaria,Single-person household,1 room,0.17985,36,156,0.11939,0.24031
1990,Bavaria,Single-person household,2 rooms,0.29002,56,156,0.21859,0.36146
1990,Bavaria,Single-person household,3 rooms,0.35685,64,156,0.28143,0.43227
1990,Bavaria,Couple without children,2 rooms,0.19699,45,152,0.13355,0.26042
1990,Bavaria,Couple without children,3 rooms,0.35975,65,152,0.28320,0.43630
1990,Bavaria,Couple without children,4 rooms,0.21238,42,152,0.14715,0.27762
1990,Bavaria,Couple with children,3 rooms,0.27218,109,280,0.21995,0.32440
1990,Bavaria,Couple with children,4 rooms,0.25481,82,280,0.20368,0.30594
1990,Bavaria,Couple with children,5 rooms,0.22467,58,280,0.17569,0.27364
1990,Bavaria,Couple with children,6 rooms,0.11270,31,280,0.07559,0.14980
1990,Berlin,Single-person household,2 rooms,0.56378,55,55,0.43151,0.69605
1990,Berlin,Couple without children,3 rooms,0.48431,38,38,0.32328,0.64534
1990,Berlin,Couple with children,3 rooms,0.45575,59,104,0.35957,0.55193
1990,Berlin,Couple with children,4 rooms,0.36657,45,104,0.27351,0.45963
1990,Brandenburg,Couple without children,3 rooms,0.58886,44,44,0.44179,0.73593
1990,Brandenburg,Couple with children,3 rooms,0.53170,100,148,0.45103,0.61237
