year,age_gr,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1995,66 and older,West,856,6.638834075023612,6.482003118557452,6.795665031489773,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1995,66 and older,East,312,6.357397360384456,6.099563153210013,6.615231567558899,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1996,0-16 y.,West,,,,,,,,,,,,
1996,0-16 y.,East,,,,,,,,,,,,
1996,17-29 y.,West,1500,6.596360362819017,6.490492564337365,6.70222816130067,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1996,17-29 y.,East,493,6.4809338444755245,6.300338629806253,6.6615290591447955,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1996,30-45 y.,West,2334,6.376893150052389,6.294867375565527,6.458918924539251,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1996,30-45 y.,East,798,6.282291140971355,6.149042145244339,6.415540136698372,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0
1996,46-65 y.,West,1901,6.569560420906556,6.4778921506450065,6.661228691168105,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1996,46-65 y.,East,746,6.471862009717281,6.327613143443414,6.616110875991148,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1996,66 and older,West,878,6.59784188830326,6.447907260049791,6.747776516556729,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1996,66 and older,East,312,6.330509923283117,6.0826092080861045,6.578410638480129,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0
1997,0-16 y.,West,,,,,,,,,,,,
1997,0-16 y.,East,,,,,,,,,,,,
1997,17-29 y.,West,1412,6.743972113952723,6.6370748021952,6.850869425710246,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1997,17-29 y.,East,502,6.336066515737372,6.143923202432925,6.528209829041819,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1997,30-45 y.,West,2359,6.330493039375555,6.248711309265287,6.412274769485823,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1997,30-45 y.,East,773,6.31376928874559,6.177580012062002,6.449958565429178,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1997,46-65 y.,West,1873,6.492035167113818,6.401897308009182,6.582173026218455,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1997,46-65 y.,East,771,6.496640465347222,6.360611352274763,6.632669578419682,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1997,66 and older,West,859,6.529736183601167,6.376701102243127,6.682771264959207,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1997,66 and older,East,333,6.417608391277756,6.186884821579109,6.648331960976404,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1998,0-16 y.,West,,,,,,,,,,,,
1998,0-16 y.,East,,,,,,,,,,,,
1998,17-29 y.,West,1437,6.504520389901743,6.388492624453012,6.620548155350474,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1998,17-29 y.,East,566,6.506299315252383,6.34110956763959,6.6714890628651755,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1998,30-45 y.,West,2621,6.500030737909863,6.420712443777158,6.579349032042567,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1998,30-45 y.,East,850,6.491171839409021,6.361182217455287,6.621161461362755,5.0,7.0,8.0,0.5,10.0,7.0,7.0,8.0
1998,46-65 y.,West,2181,6.688644240003405,6.60430957779432,6.77297890221249,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1998,46-65 y.,East,854,6.480516619735662,6.347806286631427,6.613226952839896,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1998,66 and older,West,1016,6.572984808084475,6.433355519107661,6.712614097061289,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0
1998,66 and older,East,362,6.423240432103793,6.2089384588557675,6.637542405351818,5.0,6.0,8.0,0.5,10.0,6.0,5.0,6.0
1999,0-16 y.,West,,,,,,,,,,,,
1999,0-16 y.,East,,,,,,,,,,,,
