syear,quintil_oecd,sampreg,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
2017,2. Quintil,East,1.6798575716363466,1.5753468088906548,1.7843683343820385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,191.0
2017,3. Quintil,West,1.9767059479842368,1.7875448984422948,2.165866997526179,1.0,1.0,1.7797664312873613,1.0,2.9494160782184036,1.0,1.0,1.0,94.0
2017,3. Quintil,East,,,,,,,,,,,,
2017,4. Quintil,West,,,,,,,,,,,,
2017,4. Quintil,East,,,,,,,,,,,,
2017,5. Quintil,West,,,,,,,,,,,,
2017,5. Quintil,East,,,,,,,,,,,,
2018,2. Quintil,West,2.0154032442340233,1.9092100899995579,2.1215963984684887,1.0,1.0,2.0,1.0,3.5,1.0,1.0,1.0,275.0
2018,2. Quintil,East,2.1483041130234857,1.8499431833055138,2.446665042741458,1.0,1.0,2.0,1.0,3.5,1.0,0.0,1.0,41.0
2018,3. Quintil,West,1.9766213250174294,1.7463997953797556,2.206842854655103,1.0,1.0,3.0,1.0,6.0,1.0,0.0,1.0,47.0
2018,3. Quintil,East,,,,,,,,,,,,
2018,4. Quintil,West,,,,,,,,,,,,
2018,4. Quintil,East,,,,,,,,,,,,
2018,5. Quintil,West,,,,,,,,,,,,
2018,5. Quintil,East,,,,,,,,,,,,
2019,2. Quintil,West,2.303011769725847,2.1775178245999833,2.428505714851711,1.0,1.0,3.0,1.0,6.0,1.0,0.0,1.0,176.0
2019,2. Quintil,East,,,,,,,,,,,,
2019,3. Quintil,West,2.3543891030516293,2.097487927524574,2.6112902785786845,1.0,1.0,4.0,1.0,7.0,1.0,-2.0,1.0,46.0
2019,3. Quintil,East,,,,,,,,,,,,
2019,4. Quintil,West,,,,,,,,,,,,
2019,4. Quintil,East,,,,,,,,,,,,
2019,5. Quintil,West,,,,,,,,,,,,
2019,5. Quintil,East,,,,,,,,,,,,
2020,2. Quintil,West,2.866364407111364,2.8349304968162623,2.897798317406466,1.0,2.0,4.0,1.0,7.0,2.0,1.0,2.0,3188.0
2020,2. Quintil,East,3.1670409002553424,3.107022028127112,3.2270597723835728,2.0,3.0,4.0,1.0,7.0,3.0,3.0,4.0,866.0
2020,3. Quintil,West,2.867095035154572,2.8412311092669564,2.8929589610421877,1.0,3.0,4.0,1.0,7.0,3.0,3.0,4.0,3929.0
2020,3. Quintil,East,3.0688705088664077,3.0127049812323463,3.125036036500469,2.0,3.0,4.0,1.0,7.0,3.0,3.0,4.0,980.0
2020,4. Quintil,West,2.9302771249162514,2.9081617617046387,2.952392488127864,2.0,3.0,4.0,1.0,7.0,3.0,3.0,4.0,5274.0
2020,4. Quintil,East,2.859351297849412,2.820137480970541,2.898565114728283,2.0,2.0,4.0,1.0,7.0,2.0,1.0,2.0,1545.0
2020,5. Quintil,West,2.811340570785265,2.797088866228493,2.8255922753420366,2.0,2.0,4.0,1.0,7.0,2.0,1.0,2.0,11047.0
2020,5. Quintil,East,2.848807163432685,2.817899118046466,2.879715208818904,2.0,2.0,4.0,1.0,7.0,2.0,1.0,2.0,2418.0
2021,2. Quintil,West,2.3751180484436984,2.207714611187784,2.542521485699613,1.0,1.0,3.0,1.0,6.0,1.0,0.0,1.0,127.0
2021,2. Quintil,East,,,,,,,,,,,,
2021,3. Quintil,West,2.273353525988881,2.0483300299876066,2.4983770219901555,1.0,1.0,3.1633652301459825,1.0,6.408413075364956,1.0,1.0,1.0,74.0
2021,3. Quintil,East,,,,,,,,,,,,
2021,4. Quintil,West,,,,,,,,,,,,
2021,4. Quintil,East,,,,,,,,,,,,
2021,5. Quintil,West,,,,,,,,,,,,
2021,5. Quintil,East,,,,,,,,,,,,
