"plh0105","year","bildungsniveau","n","percent","lower_confidence","upper_confidence","NA"
"2 Wichtig","1992","(noch) kein Abschluss","140","0.603062721460118","0.541034214739219","0.665091228181017",""
"2 Wichtig","1992","Hauptschule","3430","0.651897029513615","0.639058813664565","0.664735245362665",""
"2 Wichtig","1992","Realschule","1929","0.646182945300889","0.629003910684306","0.663361979917472",""
"2 Wichtig","1992","(Fach-)Abitur","440","0.641687519216456","0.606064048026787","0.677310990406125",""
"2 Wichtig","1992","AkademikerIn","1087","0.656959929869287","0.633763992050506","0.680155867688068",""
"3 Weniger wichtig","1992","(noch) kein Abschluss","25","","","",""
"3 Weniger wichtig","1992","Hauptschule","602","0.117561704593255","0.108881370950952","0.126242038235559",""
"3 Weniger wichtig","1992","Realschule","262","0.0888562223057103","0.0786334424825202","0.0990790021289003",""
"3 Weniger wichtig","1992","(Fach-)Abitur","57","0.080413516578854","0.0602110550619867","0.100615978095721",""
"3 Weniger wichtig","1992","AkademikerIn","148","0.114143162928631","0.0986058185762987","0.129680507280963",""
"4 Ganz unwichtig","1992","(noch) kein Abschluss","6","","","",""
"4 Ganz unwichtig","1992","Hauptschule","70","0.0152914788169519","0.0119844353798947","0.018598522254009",""
"4 Ganz unwichtig","1992","Realschule","13","","","",""
"4 Ganz unwichtig","1992","(Fach-)Abitur","1","","","",""
"4 Ganz unwichtig","1992","AkademikerIn","3","","","",""
"1 Sehr wichtig","1993","(noch) kein Abschluss","","","","",""
"1 Sehr wichtig","1993","Hauptschule","","","","",""
"1 Sehr wichtig","1993","Realschule","","","","",""
"1 Sehr wichtig","1993","(Fach-)Abitur","","","","",""
"1 Sehr wichtig","1993","AkademikerIn","","","","",""
"2 Wichtig","1993","(noch) kein Abschluss","","","","",""
"2 Wichtig","1993","Hauptschule","","","","",""
"2 Wichtig","1993","Realschule","","","","",""
"2 Wichtig","1993","(Fach-)Abitur","","","","",""
"2 Wichtig","1993","AkademikerIn","","","","",""
"3 Weniger wichtig","1993","(noch) kein Abschluss","","","","",""
"3 Weniger wichtig","1993","Hauptschule","","","","",""
"3 Weniger wichtig","1993","Realschule","","","","",""
"3 Weniger wichtig","1993","(Fach-)Abitur","","","","",""
"3 Weniger wichtig","1993","AkademikerIn","","","","",""
"4 Ganz unwichtig","1993","(noch) kein Abschluss","","","","",""
"4 Ganz unwichtig","1993","Hauptschule","","","","",""
"4 Ganz unwichtig","1993","Realschule","","","","",""
"4 Ganz unwichtig","1993","(Fach-)Abitur","","","","",""
"4 Ganz unwichtig","1993","AkademikerIn","","","","",""
"1 Sehr wichtig","1994","(noch) kein Abschluss","","","","",""
"1 Sehr wichtig","1994","Hauptschule","","","","",""
"1 Sehr wichtig","1994","Realschule","","","","",""
"1 Sehr wichtig","1994","(Fach-)Abitur","","","","",""
"1 Sehr wichtig","1994","AkademikerIn","","","","",""
"2 Wichtig","1994","(noch) kein Abschluss","","","","",""
"2 Wichtig","1994","Hauptschule","","","","",""
"2 Wichtig","1994","Realschule","","","","",""
"2 Wichtig","1994","(Fach-)Abitur","","","","",""
"2 Wichtig","1994","AkademikerIn","","","","",""
"3 Weniger wichtig","1994","(noch) kein Abschluss","","","","",""
"3 Weniger wichtig","1994","Hauptschule","","","","",""
"3 Weniger wichtig","1994","Realschule","","","","",""
"3 Weniger wichtig","1994","(Fach-)Abitur","","","","",""
"3 Weniger wichtig","1994","AkademikerIn","","","","",""
"4 Ganz unwichtig","1994","(noch) kein Abschluss","","","","",""
"4 Ganz unwichtig","1994","Hauptschule","","","","",""
"4 Ganz unwichtig","1994","Realschule","","","","",""
"4 Ganz unwichtig","1994","(Fach-)Abitur","","","","",""
"4 Ganz unwichtig","1994","AkademikerIn","","","","",""
"1 Sehr wichtig","1995","(noch) kein Abschluss","112","0.29847944565774","0.250676553372658","0.346282337942822",""
"1 Sehr wichtig","1995","Hauptschule","1252","0.233617858558953","0.221984463728357","0.245251253389549",""
"1 Sehr wichtig","1995","Realschule","868","0.272817234586436","0.256822739705135","0.288811729467737",""
"1 Sehr wichtig","1995","(Fach-)Abitur","263","0.298559943814957","0.268324398443103","0.328795489186811",""
"1 Sehr wichtig","1995","AkademikerIn","452","0.252138857292589","0.231533082350217","0.27274463223496",""
"2 Wichtig","1995","(noch) kein Abschluss","205","0.588180942858685","0.536766462136934","0.639595423580437",""
"2 Wichtig","1995","Hauptschule","3319","0.659192881050024","0.64616147300194","0.672224289098109",""
"2 Wichtig","1995","Realschule","1902","0.661010085662254","0.644011598522708","0.6780085728018",""
"2 Wichtig","1995","(Fach-)Abitur","571","0.638342101555456","0.606596579266361","0.670087623844551",""
"2 Wichtig","1995","AkademikerIn","1112","0.641662280123594","0.618908262209535","0.664416298037653",""
"3 Weniger wichtig","1995","(noch) kein Abschluss","30","0.0928282145888504","0.0625129386773629","0.123143490500338",""
"3 Weniger wichtig","1995","Hauptschule","458","0.0953288711009858","0.0872548784259806","0.103402863775991",""
"3 Weniger wichtig","1995","Realschule","194","0.060922151162846","0.052332980094218","0.069511322231474",""
"3 Weniger wichtig","1995","(Fach-)Abitur","45","0.0606424437987693","0.0448732108514852","0.0764116767460533",""
"3 Weniger wichtig","1995","AkademikerIn","134","0.0995718035140873","0.0853632028834646","0.11378040414471",""
"4 Ganz unwichtig","1995","(noch) kein Abschluss","5","","","",""
"4 Ganz unwichtig","1995","Hauptschule","53","0.0118603892900369","0.00888400237176399","0.0148367762083097",""
"4 Ganz unwichtig","1995","Realschule","15","","","",""
"4 Ganz unwichtig","1995","(Fach-)Abitur","1","","","",""
"4 Ganz unwichtig","1995","AkademikerIn","8","","","",""
"1 Sehr wichtig","1996","(noch) kein Abschluss","","","","",""
"1 Sehr wichtig","1996","Hauptschule","","","","",""
"1 Sehr wichtig","1996","Realschule","","","","",""
"1 Sehr wichtig","1996","(Fach-)Abitur","","","","",""
"1 Sehr wichtig","1996","AkademikerIn","","","","",""
"2 Wichtig","1996","(noch) kein Abschluss","","","","",""
"2 Wichtig","1996","Hauptschule","","","","",""
"2 Wichtig","1996","Realschule","","","","",""
"2 Wichtig","1996","(Fach-)Abitur","","","","",""
"2 Wichtig","1996","AkademikerIn","","","","",""
"3 Weniger wichtig","1996","(noch) kein Abschluss","","","","",""
"3 Weniger wichtig","1996","Hauptschule","","","","",""
"3 Weniger wichtig","1996","Realschule","","","","",""
"3 Weniger wichtig","1996","(Fach-)Abitur","","","","",""
"3 Weniger wichtig","1996","AkademikerIn","","","","",""
"4 Ganz unwichtig","1996","(noch) kein Abschluss","","","","",""
"4 Ganz unwichtig","1996","Hauptschule","","","","",""
"4 Ganz unwichtig","1996","Realschule","","","","",""
"4 Ganz unwichtig","1996","(Fach-)Abitur","","","","",""
"4 Ganz unwichtig","1996","AkademikerIn","","","","",""
"1 Sehr wichtig","1997","(noch) kein Abschluss","","","","",""
"1 Sehr wichtig","1997","Hauptschule","","","","",""
"1 Sehr wichtig","1997","Realschule","","","","",""
"1 Sehr wichtig","1997","(Fach-)Abitur","","","","",""
"1 Sehr wichtig","1997","AkademikerIn","","","","",""
"2 Wichtig","1997","(noch) kein Abschluss","","","","",""
"2 Wichtig","1997","Hauptschule","","","","",""
"2 Wichtig","1997","Realschule","","","","",""
"2 Wichtig","1997","(Fach-)Abitur","","","","",""
"2 Wichtig","1997","AkademikerIn","","","","",""
"3 Weniger wichtig","1997","(noch) kein Abschluss","","","","",""
"3 Weniger wichtig","1997","Hauptschule","","","","",""
"3 Weniger wichtig","1997","Realschule","","","","",""
"3 Weniger wichtig","1997","(Fach-)Abitur","","","","",""
"3 Weniger wichtig","1997","AkademikerIn","","","","",""
"4 Ganz unwichtig","1997","(noch) kein Abschluss","","","","",""
"4 Ganz unwichtig","1997","Hauptschule","","","","",""
"4 Ganz unwichtig","1997","Realschule","","","","",""
"4 Ganz unwichtig","1997","(Fach-)Abitur","","","","",""
"4 Ganz unwichtig","1997","AkademikerIn","","","","",""
"1 Sehr wichtig","1998","(noch) kein Abschluss","","","","",""
"1 Sehr wichtig","1998","Hauptschule","","","","",""
"1 Sehr wichtig","1998","Realschule","","","","",""
"1 Sehr wichtig","1998","(Fach-)Abitur","","","","",""
"1 Sehr wichtig","1998","AkademikerIn","","","","",""
"2 Wichtig","1998","(noch) kein Abschluss","","","","",""
"2 Wichtig","1998","Hauptschule","","","","",""
"2 Wichtig","1998","Realschule","","","","",""
"2 Wichtig","1998","(Fach-)Abitur","","","","",""
"2 Wichtig","1998","AkademikerIn","","","","",""
"3 Weniger wichtig","1998","(noch) kein Abschluss","","","","",""
"3 Weniger wichtig","1998","Hauptschule","","","","",""
"3 Weniger wichtig","1998","Realschule","","","","",""
"3 Weniger wichtig","1998","(Fach-)Abitur","","","","",""
"3 Weniger wichtig","1998","AkademikerIn","","","","",""
"4 Ganz unwichtig","1998","(noch) kein Abschluss","","","","",""
"4 Ganz unwichtig","1998","Hauptschule","","","","",""
"4 Ganz unwichtig","1998","Realschule","","","","",""
"4 Ganz unwichtig","1998","(Fach-)Abitur","","","","",""
"4 Ganz unwichtig","1998","AkademikerIn","","","","",""
"1 Sehr wichtig","1999","(noch) kein Abschluss","","","","",""
"1 Sehr wichtig","1999","Hauptschule","","","","",""
"1 Sehr wichtig","1999","Realschule","","","","",""
"1 Sehr wichtig","1999","(Fach-)Abitur","","","","",""
"1 Sehr wichtig","1999","AkademikerIn","","","","",""
"2 Wichtig","1999","(noch) kein Abschluss","","","","",""
"2 Wichtig","1999","Hauptschule","","","","",""
"2 Wichtig","1999","Realschule","","","","",""
"2 Wichtig","1999","(Fach-)Abitur","","","","",""
"2 Wichtig","1999","AkademikerIn","","","","",""
"3 Weniger wichtig","1999","(noch) kein Abschluss","","","","",""
"3 Weniger wichtig","1999","Hauptschule","","","","",""
"3 Weniger wichtig","1999","Realschule","","","","",""
"3 Weniger wichtig","1999","(Fach-)Abitur","","","","",""
"3 Weniger wichtig","1999","AkademikerIn","","","","",""
"4 Ganz unwichtig","1999","(noch) kein Abschluss","","","","",""
"4 Ganz unwichtig","1999","Hauptschule","","","","",""
"4 Ganz unwichtig","1999","Realschule","","","","",""
"4 Ganz unwichtig","1999","(Fach-)Abitur","","","","",""
"4 Ganz unwichtig","1999","AkademikerIn","","","","",""
"1 Sehr wichtig","2000","(noch) kein Abschluss","","","","",""
"1 Sehr wichtig","2000","Hauptschule","","","","",""
"1 Sehr wichtig","2000","Realschule","","","","",""
"1 Sehr wichtig","2000","(Fach-)Abitur","","","","",""
"1 Sehr wichtig","2000","AkademikerIn","","","","",""
"2 Wichtig","2000","(noch) kein Abschluss","","","","",""
"2 Wichtig","2000","Hauptschule","","","","",""
"2 Wichtig","2000","Realschule","","","","",""
"2 Wichtig","2000","(Fach-)Abitur","","","","",""
"2 Wichtig","2000","AkademikerIn","","","","",""
"3 Weniger wichtig","2000","(noch) kein Abschluss","","","","",""
"3 Weniger wichtig","2000","Hauptschule","","","","",""
"3 Weniger wichtig","2000","Realschule","","","","",""
"3 Weniger wichtig","2000","(Fach-)Abitur","","","","",""
"3 Weniger wichtig","2000","AkademikerIn","","","","",""
"4 Ganz unwichtig","2000","(noch) kein Abschluss","","","","",""
"4 Ganz unwichtig","2000","Hauptschule","","","","",""
"4 Ganz unwichtig","2000","Realschule","","","","",""
"4 Ganz unwichtig","2000","(Fach-)Abitur","","","","",""
"4 Ganz unwichtig","2000","AkademikerIn","","","","",""
"1 Sehr wichtig","2001","(noch) kein Abschluss","","","","",""
"1 Sehr wichtig","2001","Hauptschule","","","","",""
"1 Sehr wichtig","2001","Realschule","","","","",""
"1 Sehr wichtig","2001","(Fach-)Abitur","","","","",""
"1 Sehr wichtig","2001","AkademikerIn","","","","",""
"2 Wichtig","2001","(noch) kein Abschluss","","","","",""
"2 Wichtig","2001","Hauptschule","","","","",""
"2 Wichtig","2001","Realschule","","","","",""
"2 Wichtig","2001","(Fach-)Abitur","","","","",""
"2 Wichtig","2001","AkademikerIn","","","","",""
"3 Weniger wichtig","2001","(noch) kein Abschluss","","","","",""
"3 Weniger wichtig","2001","Hauptschule","","","","",""
"3 Weniger wichtig","2001","Realschule","","","","",""
"3 Weniger wichtig","2001","(Fach-)Abitur","","","","",""
"3 Weniger wichtig","2001","AkademikerIn","","","","",""
"4 Ganz unwichtig","2001","(noch) kein Abschluss","","","","",""
"4 Ganz unwichtig","2001","Hauptschule","","","","",""
"4 Ganz unwichtig","2001","Realschule","","","","",""
"4 Ganz unwichtig","2001","(Fach-)Abitur","","","","",""
"4 Ganz unwichtig","2001","AkademikerIn","","","","",""
"1 Sehr wichtig","2002","(noch) kein Abschluss","","","","",""
"1 Sehr wichtig","2002","Hauptschule","","","","",""
"1 Sehr wichtig","2002","Realschule","","","","",""
"1 Sehr wichtig","2002","(Fach-)Abitur","","","","",""
"1 Sehr wichtig","2002","AkademikerIn","","","","",""
"2 Wichtig","2002","(noch) kein Abschluss","","","","",""
"2 Wichtig","2002","Hauptschule","","","","",""
"2 Wichtig","2002","Realschule","","","","",""
"2 Wichtig","2002","(Fach-)Abitur","","","","",""
"2 Wichtig","2002","AkademikerIn","","","","",""
"3 Weniger wichtig","2002","(noch) kein Abschluss","","","","",""
"3 Weniger wichtig","2002","Hauptschule","","","","",""
"3 Weniger wichtig","2002","Realschule","","","","",""
"3 Weniger wichtig","2002","(Fach-)Abitur","","","","",""
"3 Weniger wichtig","2002","AkademikerIn","","","","",""
"4 Ganz unwichtig","2002","(noch) kein Abschluss","","","","",""
"4 Ganz unwichtig","2002","Hauptschule","","","","",""
"4 Ganz unwichtig","2002","Realschule","","","","",""
"4 Ganz unwichtig","2002","(Fach-)Abitur","","","","",""
"4 Ganz unwichtig","2002","AkademikerIn","","","","",""
"1 Sehr wichtig","2003","(noch) kein Abschluss","","","","",""
"1 Sehr wichtig","2003","Hauptschule","","","","",""
"1 Sehr wichtig","2003","Realschule","","","","",""
"1 Sehr wichtig","2003","(Fach-)Abitur","","","","",""
"1 Sehr wichtig","2003","AkademikerIn","","","","",""
"2 Wichtig","2003","(noch) kein Abschluss","","","","",""
"2 Wichtig","2003","Hauptschule","","","","",""
"2 Wichtig","2003","Realschule","","","","",""
"2 Wichtig","2003","(Fach-)Abitur","","","","",""
"2 Wichtig","2003","AkademikerIn","","","","",""
"3 Weniger wichtig","2003","(noch) kein Abschluss","","","","",""
"3 Weniger wichtig","2003","Hauptschule","","","","",""
"3 Weniger wichtig","2003","Realschule","","","","",""
"3 Weniger wichtig","2003","(Fach-)Abitur","","","","",""
"3 Weniger wichtig","2003","AkademikerIn","","","","",""
"4 Ganz unwichtig","2003","(noch) kein Abschluss","","","","",""
"4 Ganz unwichtig","2003","Hauptschule","","","","",""
"4 Ganz unwichtig","2003","Realschule","","","","",""
"4 Ganz unwichtig","2003","(Fach-)Abitur","","","","",""
"4 Ganz unwichtig","2003","AkademikerIn","","","","",""
"1 Sehr wichtig","2004","(noch) kein Abschluss","337","0.342744197735101","0.311735815677933","0.373752579792269",""
"1 Sehr wichtig","2004","Hauptschule","1916","0.234203119631523","0.224937409604211","0.243468829658836",""
"1 Sehr wichtig","2004","Realschule","1503","0.267626412530744","0.256042406375451","0.279210418686036",""
"1 Sehr wichtig","2004","(Fach-)Abitur","754","0.300893295928717","0.282501759770947","0.319284832086488",""
"1 Sehr wichtig","2004","AkademikerIn","1041","0.245769098308154","0.232881050206773","0.258657146409534",""
"2 Wichtig","2004","(noch) kein Abschluss","461","0.516098510441471","0.483449380031493","0.54874764085145",""
"2 Wichtig","2004","Hauptschule","5361","0.668868015934058","0.658571356446626","0.679164675421491",""
"2 Wichtig","2004","Realschule","3664","0.645442932144666","0.632925940711769","0.657959923577563",""
"2 Wichtig","2004","(Fach-)Abitur","1473","0.624646497801443","0.605229708989341","0.644063286613545",""
"2 Wichtig","2004","AkademikerIn","2912","0.67157593680754","0.65751752057625","0.68563435303883",""
"3 Weniger wichtig","2004","(noch) kein Abschluss","94","0.12619027370889","0.104495845169147","0.147884702248633",""
"3 Weniger wichtig","2004","Hauptschule","690","0.0899926572052372","0.0837315439958474","0.0962537704146271",""
"3 Weniger wichtig","2004","Realschule","423","0.0823086144599944","0.0751174548248277","0.089499774095161",""
"3 Weniger wichtig","2004","(Fach-)Abitur","159","0.0734626717292646","0.0630009097239633","0.0839244337345658",""
"3 Weniger wichtig","2004","AkademikerIn","319","0.0772502615555555","0.0692581176724871","0.0852424054386239",""
"4 Ganz unwichtig","2004","(noch) kein Abschluss","8","","","",""
"4 Ganz unwichtig","2004","Hauptschule","58","0.00693620722918107","0.00512037728223099","0.00875203717613115",""
"4 Ganz unwichtig","2004","Realschule","21","","","",""
"4 Ganz unwichtig","2004","(Fach-)Abitur","3","","","",""
"4 Ganz unwichtig","2004","AkademikerIn","15","","","",""
"1 Sehr wichtig","2005","(noch) kein Abschluss","","","","",""
"1 Sehr wichtig","2005","Hauptschule","","","","",""
"1 Sehr wichtig","2005","Realschule","","","","",""
"1 Sehr wichtig","2005","(Fach-)Abitur","","","","",""
"1 Sehr wichtig","2005","AkademikerIn","","","","",""
"2 Wichtig","2005","(noch) kein Abschluss","","","","",""
"2 Wichtig","2005","Hauptschule","","","","",""
"2 Wichtig","2005","Realschule","","","","",""
"2 Wichtig","2005","(Fach-)Abitur","","","","",""
"2 Wichtig","2005","AkademikerIn","","","","",""
"3 Weniger wichtig","2005","(noch) kein Abschluss","","","","",""
"3 Weniger wichtig","2005","Hauptschule","","","","",""
"3 Weniger wichtig","2005","Realschule","","","","",""
"3 Weniger wichtig","2005","(Fach-)Abitur","","","","",""
"3 Weniger wichtig","2005","AkademikerIn","","","","",""
"4 Ganz unwichtig","2005","(noch) kein Abschluss","","","","",""
"4 Ganz unwichtig","2005","Hauptschule","","","","",""
"4 Ganz unwichtig","2005","Realschule","","","","",""
"4 Ganz unwichtig","2005","(Fach-)Abitur","","","","",""
"4 Ganz unwichtig","2005","AkademikerIn","","","","",""
"1 Sehr wichtig","2006","(noch) kein Abschluss","","","","",""
"1 Sehr wichtig","2006","Hauptschule","","","","",""
"1 Sehr wichtig","2006","Realschule","","","","",""
"1 Sehr wichtig","2006","(Fach-)Abitur","","","","",""
"1 Sehr wichtig","2006","AkademikerIn","","","","",""
"2 Wichtig","2006","(noch) kein Abschluss","","","","",""
"2 Wichtig","2006","Hauptschule","","","","",""
"2 Wichtig","2006","Realschule","","","","",""
"2 Wichtig","2006","(Fach-)Abitur","","","","",""
"2 Wichtig","2006","AkademikerIn","","","","",""
"3 Weniger wichtig","2006","(noch) kein Abschluss","","","","",""
"3 Weniger wichtig","2006","Hauptschule","","","","",""
"3 Weniger wichtig","2006","Realschule","","","","",""
"3 Weniger wichtig","2006","(Fach-)Abitur","","","","",""
"3 Weniger wichtig","2006","AkademikerIn","","","","",""
"4 Ganz unwichtig","2006","(noch) kein Abschluss","","","","",""
"4 Ganz unwichtig","2006","Hauptschule","","","","",""
"4 Ganz unwichtig","2006","Realschule","","","","",""
"4 Ganz unwichtig","2006","(Fach-)Abitur","","","","",""
"4 Ganz unwichtig","2006","AkademikerIn","","","","",""
"1 Sehr wichtig","2007","(noch) kein Abschluss","","","","",""
"1 Sehr wichtig","2007","Hauptschule","","","","",""
"1 Sehr wichtig","2007","Realschule","","","","",""
"1 Sehr wichtig","2007","(Fach-)Abitur","","","","",""
"1 Sehr wichtig","2007","AkademikerIn","","","","",""
"2 Wichtig","2007","(noch) kein Abschluss","","","","",""
"2 Wichtig","2007","Hauptschule","","","","",""
"2 Wichtig","2007","Realschule","","","","",""
"2 Wichtig","2007","(Fach-)Abitur","","","","",""
"2 Wichtig","2007","AkademikerIn","","","","",""
"3 Weniger wichtig","2007","(noch) kein Abschluss","","","","",""
"3 Weniger wichtig","2007","Hauptschule","","","","",""
"3 Weniger wichtig","2007","Realschule","","","","",""
"3 Weniger wichtig","2007","(Fach-)Abitur","","","","",""
"3 Weniger wichtig","2007","AkademikerIn","","","","",""
"4 Ganz unwichtig","2007","(noch) kein Abschluss","","","","",""
"4 Ganz unwichtig","2007","Hauptschule","","","","",""
"4 Ganz unwichtig","2007","Realschule","","","","",""
"4 Ganz unwichtig","2007","(Fach-)Abitur","","","","",""
"4 Ganz unwichtig","2007","AkademikerIn","","","","",""
"1 Sehr wichtig","2008","(noch) kein Abschluss","216","0.39499716366292","0.353842018141784","0.436152309184057",""
"1 Sehr wichtig","2008","Hauptschule","1514","0.220590568852576","0.210721469581685","0.230459668123466",""
"1 Sehr wichtig","2008","Realschule","1298","0.251411671452635","0.239515851477935","0.263307491427335",""
"1 Sehr wichtig","2008","(Fach-)Abitur","730","0.320191344114535","0.300552469799098","0.339830218429973",""
"1 Sehr wichtig","2008","AkademikerIn","1032","0.242741934061804","0.229750813565507","0.255733054558102",""
"2 Wichtig","2008","(noch) kein Abschluss","276","0.487344023485887","0.445263679397901","0.529424367573873",""
"2 Wichtig","2008","Hauptschule","4568","0.665339146450389","0.654107970931465","0.676570321969313",""
"2 Wichtig","2008","Realschule","3461","0.674469484099465","0.661620844558873","0.687318123640058",""
"2 Wichtig","2008","(Fach-)Abitur","1331","0.622340944273926","0.601933783275015","0.642748105272836",""
"2 Wichtig","2008","AkademikerIn","2861","0.69038560015344","0.676376549976114","0.704394650330766",""
"3 Weniger wichtig","2008","(noch) kein Abschluss","44","0.107355757515516","0.0812942026816281","0.133417312349404",""
"3 Weniger wichtig","2008","Hauptschule","639","0.102399423614365","0.0951835064961211","0.109615340732608",""
"3 Weniger wichtig","2008","Realschule","337","0.0714131127510491","0.0643518821483191","0.0784743433537792",""
"3 Weniger wichtig","2008","(Fach-)Abitur","105","0.0556031361614601","0.0459571782194706","0.0652490941034496",""
"3 Weniger wichtig","2008","AkademikerIn","286","0.0659192724473796","0.0584004355915859","0.0734381093031734",""
"4 Ganz unwichtig","2008","(noch) kein Abschluss","6","","","",""
"4 Ganz unwichtig","2008","Hauptschule","60","0.0116708610826708","0.00911461023938548","0.0142271119259562",""
"4 Ganz unwichtig","2008","Realschule","13","","","",""
"4 Ganz unwichtig","2008","(Fach-)Abitur","2","","","",""
"4 Ganz unwichtig","2008","AkademikerIn","5","","","",""
"1 Sehr wichtig","2009","(noch) kein Abschluss","","","","",""
"1 Sehr wichtig","2009","Hauptschule","","","","",""
"1 Sehr wichtig","2009","Realschule","","","","",""
"1 Sehr wichtig","2009","(Fach-)Abitur","","","","",""
"1 Sehr wichtig","2009","AkademikerIn","","","","",""
"2 Wichtig","2009","(noch) kein Abschluss","","","","",""
"2 Wichtig","2009","Hauptschule","","","","",""
"2 Wichtig","2009","Realschule","","","","",""
"2 Wichtig","2009","(Fach-)Abitur","","","","",""
"2 Wichtig","2009","AkademikerIn","","","","",""
"3 Weniger wichtig","2009","(noch) kein Abschluss","","","","",""
"3 Weniger wichtig","2009","Hauptschule","","","","",""
"3 Weniger wichtig","2009","Realschule","","","","",""
"3 Weniger wichtig","2009","(Fach-)Abitur","","","","",""
"3 Weniger wichtig","2009","AkademikerIn","","","","",""
"4 Ganz unwichtig","2009","(noch) kein Abschluss","","","","",""
"4 Ganz unwichtig","2009","Hauptschule","","","","",""
"4 Ganz unwichtig","2009","Realschule","","","","",""
"4 Ganz unwichtig","2009","(Fach-)Abitur","","","","",""
"4 Ganz unwichtig","2009","AkademikerIn","","","","",""
"1 Sehr wichtig","2010","(noch) kein Abschluss","206","0.559124070589306","0.507404042896136","0.610844098282476",""
"1 Sehr wichtig","2010","Hauptschule","928","0.475492046665327","0.452989317535499","0.497994775795155",""
"1 Sehr wichtig","2010","Realschule","1218","0.517161743437671","0.49686293079748","0.537460556077862",""
"1 Sehr wichtig","2010","(Fach-)Abitur","607","0.51208785948379","0.483260812821692","0.540914906145888",""
"1 Sehr wichtig","2010","AkademikerIn","770","0.497366269127701","0.472402465886678","0.522330072368723",""
"2 Wichtig","2010","(noch) kein Abschluss","141","0.425309412972096","0.37380837296509","0.476810452979103",""
"2 Wichtig","2010","Hauptschule","915","0.499995874838766","0.477466064833973","0.52252568484356",""
"2 Wichtig","2010","Realschule","1068","0.46626692829321","0.446002424854969","0.486531431731452",""
"2 Wichtig","2010","(Fach-)Abitur","520","0.464830308711094","0.436066256212318","0.49359436120987",""
