,Unnamed: 0,year,pgisced97,sex,pli0080,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
71,71,1995,Upper Secondary Level,female,At least once per week,0.39853,1360,12621,0.38418,0.41381
72,72,1995,Upper Secondary Level,female,At least once per month,0.31424,1030,12621,0.30213,0.32823
73,73,1995,Upper Secondary Level,female,Seldom,0.20689,677,12621,0.19352,0.22296
74,74,1995,Upper Secondary Level,female,Never,0.02983,90,12621,0.02498,0.03441
75,75,1995,Post-secondary Non-tertiary Level,male,At least once per week,0.53415,118,12621,0.47037,0.60606
76,76,1995,Post-secondary Non-tertiary Level,male,At least once per month,0.30086,75,12621,0.24953,0.34783
77,77,1995,Post-secondary Non-tertiary Level,male,Seldom,0.165,37,12621,0.12865,0.20303
78,78,1995,Post-secondary Non-tertiary Level,female,At least once per week,0.68259,121,12621,0.57897,0.82288
79,79,1995,Post-secondary Non-tertiary Level,female,At least once per month,0.31741,59,12621,0.25357,0.37804
80,80,1995,First Stage of Tertiary Education,male,At least once per week,0.33528,154,12621,0.29849,0.37013
81,81,1995,First Stage of Tertiary Education,male,At least once per month,0.37897,180,12621,0.33871,0.41562
82,82,1995,First Stage of Tertiary Education,male,Seldom,0.28575,123,12621,0.2485,0.32353
83,83,1995,First Stage of Tertiary Education,female,At least once per week,0.45467,118,12621,0.38811,0.52942
84,84,1995,First Stage of Tertiary Education,female,At least once per month,0.36015,100,12621,0.31914,0.40956
85,85,1995,First Stage of Tertiary Education,female,Seldom,0.18518,51,12621,0.14926,0.22396
86,86,1995,Second Stage of Tertiary Education,male,At least once per week,0.37451,313,12621,0.34513,0.40501
87,87,1995,Second Stage of Tertiary Education,male,At least once per month,0.38339,367,12621,0.35652,0.41552
88,88,1995,Second Stage of Tertiary Education,male,Seldom,0.2421,240,12621,0.21882,0.26515
89,89,1995,Second Stage of Tertiary Education,female,At least once per week,0.46036,308,12621,0.41878,0.50188
90,90,1995,Second Stage of Tertiary Education,female,At least once per month,0.33873,263,12621,0.30062,0.37638
91,91,1995,Second Stage of Tertiary Education,female,Seldom,0.20091,186,12621,0.18108,0.21899
92,92,1998,Pre-primary Level,male,Daily,0.32391,48,13315,0.26786,0.39423
93,93,1998,Pre-primary Level,male,At least once per week,0.67609,91,13315,0.59403,0.7998
94,94,1998,Pre-primary Level,female,Daily,0.31417,46,13315,0.26236,0.36379
95,95,1998,Pre-primary Level,female,At least once per week,0.68583,94,13315,0.61754,0.74932
96,96,1998,Primary Level,male,At least once per week,0.61232,86,13315,0.51237,0.73007
97,97,1998,Primary Level,male,At least once per month,0.38768,41,13315,0.31469,0.46751
98,98,1998,Primary Level,female,Daily,0.15065,43,13315,0.12005,0.19129
99,99,1998,Primary Level,female,At least once per week,0.48207,132,13315,0.40281,0.57311
100,100,1998,Primary Level,female,At least once per month,0.19839,48,13315,0.15444,0.25432
101,101,1998,Primary Level,female,Seldom,0.16889,32,13315,0.13223,0.20441
102,102,1998,Lower Secondary Level,male,Daily,0.16174,163,13315,0.13972,0.18947
103,103,1998,Lower Secondary Level,male,At least once per week,0.44607,428,13315,0.4114,0.48476
104,104,1998,Lower Secondary Level,male,At least once per month,0.21298,178,13315,0.19198,0.23887
105,105,1998,Lower Secondary Level,male,Seldom,0.17921,133,13315,0.15607,0.20224
106,106,1998,Lower Secondary Level,female,Daily,0.05949,118,13315,0.05154,0.06836
107,107,1998,Lower Secondary Level,female,At least once per week,0.42429,713,13315,0.40391,0.4502
108,108,1998,Lower Secondary Level,female,At least once per month,0.26191,411,13315,0.24356,0.27914
109,109,1998,Lower Secondary Level,female,Seldom,0.21298,306,13315,0.1981,0.22885
110,110,1998,Lower Secondary Level,female,Never,0.04133,60,13315,0.03491,0.04919
111,111,1998,Upper Secondary Level,male,Daily,0.052,184,13315,0.04655,0.05778
112,112,1998,Upper Secondary Level,male,At least once per week,0.39457,1409,13315,0.37773,0.41055
113,113,1998,Upper Secondary Level,male,At least once per month,0.29184,1052,13315,0.27904,0.30179
114,114,1998,Upper Secondary Level,male,Seldom,0.23701,784,13315,0.22459,0.24852
115,115,1998,Upper Secondary Level,male,Never,0.02458,69,13315,0.02117,0.02809
116,116,1998,Upper Secondary Level,female,Daily,0.05092,191,13315,0.04637,0.05638
117,117,1998,Upper Secondary Level,female,At least once per week,0.4177,1445,13315,0.40244,0.4352
118,118,1998,Upper Secondary Level,female,At least once per month,0.29925,1082,13315,0.28847,0.31286
119,119,1998,Upper Secondary Level,female,Seldom,0.20955,706,13315,0.19669,0.22368
120,120,1998,Upper Secondary Level,female,Never,0.02258,66,13315,0.01923,0.02621
121,121,1998,Post-secondary Non-tertiary Level,male,At least once per week,0.569,119,13315,0.48586,0.64767
122,122,1998,Post-secondary Non-tertiary Level,male,At least once per month,0.28522,77,13315,0.2428,0.33783
123,123,1998,Post-secondary Non-tertiary Level,male,Seldom,0.14578,31,13315,0.11481,0.19377
124,124,1998,Post-secondary Non-tertiary Level,female,At least once per week,0.56693,135,13315,0.48476,0.64362
125,125,1998,Post-secondary Non-tertiary Level,female,At least once per month,0.30104,76,13315,0.25691,0.3471
126,126,1998,Post-secondary Non-tertiary Level,female,Seldom,0.13204,38,13315,0.10657,0.16102
127,127,1998,First Stage of Tertiary Education,male,At least once per week,0.36566,169,13315,0.33139,0.40851
128,128,1998,First Stage of Tertiary Education,male,At least once per month,0.3712,177,13315,0.33184,0.40659
129,129,1998,First Stage of Tertiary Education,male,Seldom,0.26314,133,13315,0.23566,0.29513
130,130,1998,First Stage of Tertiary Education,female,At least once per week,0.43917,147,13315,0.38846,0.49514
131,131,1998,First Stage of Tertiary Education,female,At least once per month,0.30164,94,13315,0.25822,0.3451
132,132,1998,First Stage of Tertiary Education,female,Seldom,0.25919,65,13315,0.21916,0.30034
133,133,1998,Second Stage of Tertiary Education,male,At least once per week,0.38305,380,13315,0.36023,0.41434
134,134,1998,Second Stage of Tertiary Education,male,At least once per month,0.3917,421,13315,0.36419,0.42205
135,135,1998,Second Stage of Tertiary Education,male,Seldom,0.22524,240,13315,0.20618,0.24659
136,136,1998,Second Stage of Tertiary Education,female,At least once per week,0.44018,338,13315,0.40533,0.47913
137,137,1998,Second Stage of Tertiary Education,female,At least once per month,0.35556,316,13315,0.32924,0.38337
138,138,1998,Second Stage of Tertiary Education,female,Seldom,0.20426,200,13315,0.18706,0.22263
139,139,2003,Pre-primary Level,male,Daily,0.35931,93,21500,0.29905,0.41887
140,140,2003,Pre-primary Level,male,At least once per week,0.64069,163,21500,0.56632,0.71895
141,141,2003,Pre-primary Level,female,Daily,0.23098,77,21500,0.19032,0.29316
142,142,2003,Pre-primary Level,female,At least once per week,0.64716,190,21500,0.55238,0.73053
143,143,2003,Pre-primary Level,female,At least once per month,0.12185,35,21500,0.09244,0.15346
144,144,2003,Primary Level,male,At least once per week,1.0,46,21500,0.81765,1.17541
145,145,2003,Primary Level,female,At least once per week,0.41452,59,21500,0.33901,0.48016
146,146,2003,Primary Level,female,At least once per month,0.31082,45,21500,0.24514,0.37364
147,147,2003,Primary Level,female,Seldom,0.27467,33,21500,0.21141,0.34074
148,148,2003,Lower Secondary Level,male,Daily,0.10692,115,21500,0.0946,0.1226
149,149,2003,Lower Secondary Level,male,At least once per week,0.46932,435,21500,0.43648,0.50537
150,150,2003,Lower Secondary Level,male,At least once per month,0.19658,173,21500,0.17599,0.21782
151,151,2003,Lower Secondary Level,male,Seldom,0.17445,144,21500,0.15461,0.19459
152,152,2003,Lower Secondary Level,male,Never,0.05273,38,21500,0.04193,0.06412
153,153,2003,Lower Secondary Level,female,Daily,0.06706,123,21500,0.05898,0.07544
154,154,2003,Lower Secondary Level,female,At least once per week,0.42362,778,21500,0.40542,0.44182
155,155,2003,Lower Secondary Level,female,At least once per month,0.22494,433,21500,0.21068,0.23807
156,156,2003,Lower Secondary Level,female,Seldom,0.21186,365,21500,0.19939,0.22536
157,157,2003,Lower Secondary Level,female,Never,0.07251,117,21500,0.06588,0.08046
158,158,2003,Upper Secondary Level,male,Daily,0.03223,178,21500,0.02832,0.03565
159,159,2003,Upper Secondary Level,male,At least once per week,0.39263,2064,21500,0.37836,0.40445
160,160,2003,Upper Secondary Level,male,At least once per month,0.30105,1676,21500,0.29135,0.31062
161,161,2003,Upper Secondary Level,male,Seldom,0.23835,1210,21500,0.22882,0.24881
162,162,2003,Upper Secondary Level,male,Never,0.03573,176,21500,0.03246,0.03915
163,163,2003,Upper Secondary Level,female,Daily,0.03817,225,21500,0.03436,0.04173
164,164,2003,Upper Secondary Level,female,At least once per week,0.40882,2394,21500,0.39771,0.42247
165,165,2003,Upper Secondary Level,female,At least once per month,0.32454,1911,21500,0.31393,0.33519
166,166,2003,Upper Secondary Level,female,Seldom,0.19464,1078,21500,0.18837,0.20254
167,167,2003,Upper Secondary Level,female,Never,0.03383,152,21500,0.03078,0.03692
168,168,2003,Post-secondary Non-tertiary Level,male,At least once per week,0.50586,224,21500,0.44998,0.5669
169,169,2003,Post-secondary Non-tertiary Level,male,At least once per month,0.31136,147,21500,0.27012,0.35848
170,170,2003,Post-secondary Non-tertiary Level,male,Seldom,0.18278,82,21500,0.15115,0.21253
171,171,2003,Post-secondary Non-tertiary Level,female,At least once per week,0.5198,344,21500,0.46782,0.56367
172,172,2003,Post-secondary Non-tertiary Level,female,At least once per month,0.31266,203,21500,0.28002,0.35009
173,173,2003,Post-secondary Non-tertiary Level,female,Seldom,0.16754,93,21500,0.14479,0.19299
174,174,2003,First Stage of Tertiary Education,male,At least once per week,0.3835,339,21500,0.35246,0.4177
175,175,2003,First Stage of Tertiary Education,male,At least once per month,0.35494,366,21500,0.32427,0.38267
176,176,2003,First Stage of Tertiary Education,male,Seldom,0.26156,221,21500,0.23625,0.28484
177,177,2003,First Stage of Tertiary Education,female,At least once per week,0.44777,286,21500,0.41093,0.49548
178,178,2003,First Stage of Tertiary Education,female,At least once per month,0.36486,263,21500,0.33385,0.40376
179,179,2003,First Stage of Tertiary Education,female,Seldom,0.18737,115,21500,0.16042,0.2152
180,180,2003,Second Stage of Tertiary Education,male,Daily,0.0207,42,21500,0.01525,0.02663
181,181,2003,Second Stage of Tertiary Education,male,At least once per week,0.38644,895,21500,0.36132,0.41024
182,182,2003,Second Stage of Tertiary Education,male,At least once per month,0.40047,1024,21500,0.37721,0.42294
183,183,2003,Second Stage of Tertiary Education,male,Seldom,0.19239,461,21500,0.17535,0.20792
184,184,2003,Second Stage of Tertiary Education,female,Daily,0.02647,46,21500,0.0214,0.03183
185,185,2003,Second Stage of Tertiary Education,female,At least once per week,0.44431,816,21500,0.42059,0.47398
186,186,2003,Second Stage of Tertiary Education,female,At least once per month,0.36537,711,21500,0.34118,0.388
187,187,2003,Second Stage of Tertiary Education,female,Seldom,0.16385,296,21500,0.14629,0.18326
188,188,2008,Pre-primary Level,male,At least once per week,1.0,111,18451,0.84661,1.16302
189,189,2008,Pre-primary Level,female,At least once per week,1.0,113,18451,0.82451,1.15821
190,190,2008,Primary Level,female,At least once per week,1.0,45,18451,0.7836,1.2843
191,191,2008,Lower Secondary Level,male,Daily,0.10022,67,18451,0.07892,0.12381
192,192,2008,Lower Secondary Level,male,At least once per week,0.42364,275,18451,0.38396,0.46398
193,193,2008,Lower Secondary Level,male,At least once per month,0.21096,146,18451,0.18845,0.23569
194,194,2008,Lower Secondary Level,male,Seldom,0.20381,112,18451,0.1763,0.2269
195,195,2008,Lower Secondary Level,male,Never,0.06137,31,18451,0.04486,0.07839
196,196,2008,Lower Secondary Level,female,Daily,0.06313,75,18451,0.05512,0.07282
197,197,2008,Lower Secondary Level,female,At least once per week,0.39004,553,18451,0.36387,0.41298
198,198,2008,Lower Secondary Level,female,At least once per month,0.24055,348,18451,0.22382,0.25439
199,199,2008,Lower Secondary Level,female,Seldom,0.24647,316,18451,0.22775,0.26474
200,200,2008,Lower Secondary Level,female,Never,0.0598,81,18451,0.05249,0.06891
201,201,2008,Upper Secondary Level,male,Daily,0.03754,158,18451,0.03307,0.04269
202,202,2008,Upper Secondary Level,male,At least once per week,0.37222,1693,18451,0.35916,0.38587
203,203,2008,Upper Secondary Level,male,At least once per month,0.29774,1416,18451,0.28607,0.30921
204,204,2008,Upper Secondary Level,male,Seldom,0.25692,1156,18451,0.24401,0.26985
205,205,2008,Upper Secondary Level,male,Never,0.03558,165,18451,0.03251,0.04006
206,206,2008,Upper Secondary Level,female,Daily,0.03717,193,18451,0.03327,0.04226
207,207,2008,Upper Secondary Level,female,At least once per week,0.40044,2029,18451,0.38694,0.41392
208,208,2008,Upper Secondary Level,female,At least once per month,0.31463,1666,18451,0.30285,0.32787
209,209,2008,Upper Secondary Level,female,Seldom,0.21812,1081,18451,0.20846,0.22815
210,210,2008,Upper Secondary Level,female,Never,0.02964,133,18451,0.02657,0.03356
211,211,2008,Post-secondary Non-tertiary Level,male,At least once per week,0.42553,164,18451,0.36742,0.48857
212,212,2008,Post-secondary Non-tertiary Level,male,At least once per month,0.38571,168,18451,0.32981,0.44953
213,213,2008,Post-secondary Non-tertiary Level,male,Seldom,0.18876,76,18451,0.15554,0.23068
214,214,2008,Post-secondary Non-tertiary Level,female,At least once per week,0.48389,294,18451,0.4373,0.53191
215,215,2008,Post-secondary Non-tertiary Level,female,At least once per month,0.36765,231,18451,0.32782,0.41842
216,216,2008,Post-secondary Non-tertiary Level,female,Seldom,0.14846,102,18451,0.12554,0.1735
217,217,2008,First Stage of Tertiary Education,male,At least once per week,0.33496,265,18451,0.30182,0.37073
218,218,2008,First Stage of Tertiary Education,male,At least once per month,0.39591,318,18451,0.35385,0.44792
219,219,2008,First Stage of Tertiary Education,male,Seldom,0.26913,214,18451,0.24044,0.29652
220,220,2008,First Stage of Tertiary Education,female,At least once per week,0.44024,226,18451,0.39222,0.49393
221,221,2008,First Stage of Tertiary Education,female,At least once per month,0.34528,207,18451,0.29548,0.3951
222,222,2008,First Stage of Tertiary Education,female,Seldom,0.21448,125,18451,0.18216,0.24693
223,223,2008,Second Stage of Tertiary Education,male,At least once per week,0.37768,767,18451,0.34826,0.4062
224,224,2008,Second Stage of Tertiary Education,male,At least once per month,0.40667,963,18451,0.38049,0.43939
225,225,2008,Second Stage of Tertiary Education,male,Seldom,0.21565,495,18451,0.19814,0.23953
226,226,2008,Second Stage of Tertiary Education,female,Daily,0.03049,44,18451,0.02505,0.03567
227,227,2008,Second Stage of Tertiary Education,female,At least once per week,0.38888,734,18451,0.36466,0.41636
228,228,2008,Second Stage of Tertiary Education,female,At least once per month,0.40983,768,18451,0.3842,0.43806
229,229,2008,Second Stage of Tertiary Education,female,Seldom,0.1708,327,18451,0.15231,0.1879
230,230,2013,Pre-primary Level,male,Daily,0.18853,35,24695,0.10226,0.30655
231,231,2013,Pre-primary Level,male,At least once per week,0.63356,121,24695,0.50059,0.77523
232,232,2013,Pre-primary Level,male,At least once per month,0.17792,38,24695,0.11882,0.25359
233,233,2013,Pre-primary Level,female,Daily,0.13295,33,24695,0.08029,0.19912
234,234,2013,Pre-primary Level,female,At least once per week,0.72743,151,24695,0.5813,0.88744
235,235,2013,Pre-primary Level,female,At least once per month,0.13962,31,24695,0.09599,0.19463
236,236,2013,Primary Level,male,At least once per week,0.63791,59,24695,0.43308,0.96831
237,237,2013,Primary Level,male,Seldom,0.36209,31,24695,0.23512,0.49247
238,238,2013,Primary Level,female,At least once per week,0.58434,83,24695,0.44322,0.71833
239,239,2013,Primary Level,female,Seldom,0.41566,42,24695,0.30305,0.54868
240,240,2013,Lower Secondary Level,male,Daily,0.10619,90,24695,0.08352,0.13877
241,241,2013,Lower Secondary Level,male,At least once per week,0.38159,383,24695,0.33569,0.42769
242,242,2013,Lower Secondary Level,male,At least once per month,0.2544,194,24695,0.21502,0.29018
243,243,2013,Lower Secondary Level,male,Seldom,0.21081,156,24695,0.17476,0.25197
244,244,2013,Lower Secondary Level,male,Never,0.04701,46,24695,0.03814,0.05567
245,245,2013,Lower Secondary Level,female,Daily,0.05185,119,24695,0.04146,0.06269
246,246,2013,Lower Secondary Level,female,At least once per week,0.37656,669,24695,0.35147,0.40784
247,247,2013,Lower Secondary Level,female,At least once per month,0.2435,424,24695,0.2178,0.26646
248,248,2013,Lower Secondary Level,female,Seldom,0.25008,384,24695,0.23024,0.27217
249,249,2013,Lower Secondary Level,female,Never,0.07801,119,24695,0.06689,0.08882
250,250,2013,Upper Secondary Level,male,Daily,0.03818,193,24695,0.03229,0.04566
251,251,2013,Upper Secondary Level,male,At least once per week,0.33271,1820,24695,0.31534,0.35246
252,252,2013,Upper Secondary Level,male,At least once per month,0.30803,1697,24695,0.2926,0.32347
253,253,2013,Upper Secondary Level,male,Seldom,0.27166,1467,24695,0.25976,0.2881
254,254,2013,Upper Secondary Level,male,Never,0.04941,263,24695,0.04539,0.05449
255,255,2013,Upper Secondary Level,female,Daily,0.03697,305,24695,0.0327,0.04294
256,256,2013,Upper Secondary Level,female,At least once per week,0.36447,2714,24695,0.3504,0.37918
257,257,2013,Upper Secondary Level,female,At least once per month,0.33008,2236,24695,0.31579,0.34304
258,258,2013,Upper Secondary Level,female,Seldom,0.22722,1417,24695,0.21484,0.23745
259,259,2013,Upper Secondary Level,female,Never,0.04127,245,24695,0.03621,0.04642
260,260,2013,Post-secondary Non-tertiary Level,male,At least once per week,0.47866,243,24695,0.38948,0.56447
261,261,2013,Post-secondary Non-tertiary Level,male,At least once per month,0.33993,222,24695,0.28982,0.39278
262,262,2013,Post-secondary Non-tertiary Level,male,Seldom,0.18141,114,24695,0.14114,0.22929
263,263,2013,Post-secondary Non-tertiary Level,female,Daily,0.02535,35,24695,0.01441,0.04048
264,264,2013,Post-secondary Non-tertiary Level,female,At least once per week,0.44149,528,24695,0.39246,0.49576
265,265,2013,Post-secondary Non-tertiary Level,female,At least once per month,0.3739,408,24695,0.33475,0.42127
266,266,2013,Post-secondary Non-tertiary Level,female,Seldom,0.15925,178,24695,0.13255,0.18774
267,267,2013,First Stage of Tertiary Education,male,At least once per week,0.34339,324,24695,0.29691,0.38801
268,268,2013,First Stage of Tertiary Education,male,At least once per month,0.40525,400,24695,0.35512,0.4476
269,269,2013,First Stage of Tertiary Education,male,Seldom,0.25136,261,24695,0.22022,0.28359
270,270,2013,First Stage of Tertiary Education,female,At least once per week,0.3757,233,24695,0.33043,0.44419
271,271,2013,First Stage of Tertiary Education,female,At least once per month,0.41178,259,24695,0.34889,0.47601
272,272,2013,First Stage of Tertiary Education,female,Seldom,0.21252,119,24695,0.16786,0.2615
273,273,2013,Second Stage of Tertiary Education,male,Daily,0.01346,45,24695,0.01007,0.01896
274,274,2013,Second Stage of Tertiary Education,male,At least once per week,0.35586,1027,24695,0.32677,0.38531
275,275,2013,Second Stage of Tertiary Education,male,At least once per month,0.39294,1213,24695,0.36663,0.41646
276,276,2013,Second Stage of Tertiary Education,male,Seldom,0.21811,633,24695,0.19867,0.23682
277,277,2013,Second Stage of Tertiary Education,male,Never,0.01963,46,24695,0.01608,0.02403
278,278,2013,Second Stage of Tertiary Education,female,Daily,0.02017,64,24695,0.01482,0.02522
279,279,2013,Second Stage of Tertiary Education,female,At least once per week,0.39918,1203,24695,0.3719,0.42754
280,280,2013,Second Stage of Tertiary Education,female,At least once per month,0.40061,1110,24695,0.37539,0.42725
281,281,2013,Second Stage of Tertiary Education,female,Seldom,0.1662,428,24695,0.14905,0.18494
282,282,2013,Second Stage of Tertiary Education,female,Never,0.01383,37,24695,0.00979,0.01762
283,283,2019,Pre-primary Level,male,At least once per week,0.78297,86,24810,0.54932,1.04836
284,284,2019,Pre-primary Level,male,At least once per month,0.21703,36,24810,0.14637,0.31184
285,285,2019,Pre-primary Level,female,At least once per week,0.7006,97,24810,0.50007,0.89958
286,286,2019,Pre-primary Level,female,At least once per month,0.2994,40,24810,0.14669,0.47814
287,287,2019,Primary Level,male,At least once per week,0.45658,55,24810,0.31491,0.62214
288,288,2019,Primary Level,male,At least once per month,0.17659,36,24810,0.12575,0.23804
289,289,2019,Primary Level,male,Seldom,0.36683,50,24810,0.27093,0.4699
290,290,2019,Primary Level,female,At least once per week,0.52729,79,24810,0.39917,0.681
291,291,2019,Primary Level,female,At least once per month,0.22856,47,24810,0.16599,0.3015
292,292,2019,Primary Level,female,Seldom,0.24414,45,24810,0.17147,0.32892
293,293,2019,Lower Secondary Level,male,Daily,0.07096,88,24810,0.05496,0.08762
294,294,2019,Lower Secondary Level,male,At least once per week,0.33586,354,24810,0.29416,0.38766
295,295,2019,Lower Secondary Level,male,At least once per month,0.29203,261,24810,0.25723,0.32873
296,296,2019,Lower Secondary Level,male,Seldom,0.23299,225,24810,0.19587,0.27276
297,297,2019,Lower Secondary Level,male,Never,0.06816,64,24810,0.05068,0.08865
298,298,2019,Lower Secondary Level,female,Daily,0.05559,96,24810,0.04493,0.06613
299,299,2019,Lower Secondary Level,female,At least once per week,0.33855,509,24810,0.30011,0.38122
300,300,2019,Lower Secondary Level,female,At least once per month,0.27679,378,24810,0.24843,0.3087
301,301,2019,Lower Secondary Level,female,Seldom,0.24731,327,24810,0.2235,0.27932
302,302,2019,Lower Secondary Level,female,Never,0.08176,112,24810,0.06634,0.09674
303,303,2019,Upper Secondary Level,male,Daily,0.03508,188,24810,0.02957,0.04137
304,304,2019,Upper Secondary Level,male,At least once per week,0.33749,1717,24810,0.31756,0.35852
305,305,2019,Upper Secondary Level,male,At least once per month,0.30461,1579,24810,0.2877,0.32244
