year,age_gr,pgisced97,pli0080,proportion,n,lower_confidence,upper_confidence
1998,30-45 J.,higher education,Seltener,0.012598425196850394,18147,0.010975648769876735,0.014221201623824052
1998,18-29 J.,general elemantary,Taeglich,0.01177352830896138,18147,0.010204122667082633,0.013342933950840125
1998,66 und älter,general elemantary,Min 1x pro Monat,0.011623547056617924,18147,0.010064051341115142,0.013183042772120705
1998,30-45 J.,higher vocational,Min 1x pro Woche,0.01124859392575928,18147,0.00971416658478517,0.01278302126673339
1998,30-45 J.,general elemantary,Min 1x pro Monat,0.009823772028496438,18147,0.008388781490716807,0.011258762566276068
1998,30-45 J.,higher vocational,Min 1x pro Monat,0.009523809523809525,18147,0.008110683083551626,0.010936935964067423
1998,66 und älter,general elemantary,Seltener,0.009298837645294338,18147,0.007902342852749985,0.01069533243783869
1998,30-45 J.,vocational + Abi,Min 1x pro Woche,0.009073865766779153,18147,0.007694210865562007,0.010453520667996298
1998,46-65 J.,inadequately,Min 1x pro Woche,0.00862392200974878,18147,0.007278602998378299,0.009969241021119263
1998,18-29 J.,middle vocational,Seltener,0.00817397825271841,18147,0.00686392744306901,0.009484029062367812
1998,18-29 J.,in school,Min 1x pro Woche,0.007724034495688039,18147,0.006450261638787294,0.008997807352588783
1998,30-45 J.,middle vocational,Taeglich,0.007424071991001125,18147,0.006175088757882321,0.00867305522411993
1998,46-65 J.,higher vocational,Min 1x pro Monat,0.007349081364829396,18147,0.006106375196569126,0.008591787533089666
1998,18-29 J.,vocational + Abi,Min 1x pro Woche,0.006974128233970754,18147,0.00576331015250586,0.008184946315435647
1998,18-29 J.,higher education,Min 1x pro Woche,0.006749156355455568,18147,0.005557892766488069,0.007940419944423066
1998,46-65 J.,higher vocational,Seltener,0.006674165729283839,18147,0.005489494038974071,0.007858837419593609
1998,18-29 J.,general elemantary,Min 1x pro Monat,0.006374203224596925,18147,0.005216284615214475,0.007532121833979376
1998,30-45 J.,vocational + Abi,Min 1x pro Monat,0.006224221972253468,18147,0.005079920671769973,0.007368523272736963
1998,30-45 J.,general elemantary,Seltener,0.005999250093738283,18147,0.0048756921069731075,0.0071228080805034585
1998,46-65 J.,higher vocational,Min 1x pro Woche,0.00562429696287964,18147,0.004536211456401126,0.006712382469358153
1998,30-45 J.,higher vocational,Seltener,0.005474315710536183,18147,0.004400755087825586,0.00654787633324678
1998,18-29 J.,higher vocational,Min 1x pro Woche,0.005249343832020997,18147,0.004197955195355869,0.006300732468686125
1998,66 und älter,higher education,Min 1x pro Woche,0.00509936257967754,18147,0.0040630245088817294,0.0061357006504733505
1998,30-45 J.,inadequately,Min 1x pro Woche,0.004199475065616798,18147,0.0032585883632125765,0.00514036176802102
1998,46-65 J.,middle vocational,Taeglich,0.004199475065616798,18147,0.0032585883632125765,0.00514036176802102
1998,66 und älter,higher education,Min 1x pro Monat,0.004199475065616798,18147,0.0032585883632125765,0.00514036176802102
1998,46-65 J.,middle vocational,Nie,0.0040494938132733405,18147,0.0031254918372568934,0.004973495789289788
1998,18-29 J.,general elemantary,Seltener,0.0038245219347581554,18147,0.002926452008806584,0.004722591860709727
1998,66 und älter,higher education,Seltener,0.0037495313085864268,18147,0.002860276108961485,0.004638786508211369
1998,18-29 J.,in school,Taeglich,0.0037495313085864268,18147,0.002860276108961485,0.004638786508211369
1998,66 und älter,middle vocational,Nie,0.0034495688038995126,18147,0.0025964967828184106,0.004302640824980614
