"pli0080","year","age_gr","bildungsniveau","n","percent","lower_confidence","upper_confidence"
"Min 1x pro Woche","1992","17-34","AkademikerIn","","","",""
"Min 1x pro Woche","1992","35-65","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1992","35-65","Hauptschule","","","",""
"Min 1x pro Woche","1992","35-65","Realschule","","","",""
"Min 1x pro Woche","1992","35-65","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1992","35-65","AkademikerIn","","","",""
"Min 1x pro Woche","1992","66 +","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1992","66 +","Hauptschule","","","",""
"Min 1x pro Woche","1992","66 +","Realschule","","","",""
"Min 1x pro Woche","1992","66 +","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1992","66 +","AkademikerIn","","","",""
"Min 1x pro Monat","1992","17-34","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1992","17-34","Hauptschule","","","",""
"Min 1x pro Monat","1992","17-34","Realschule","","","",""
"Min 1x pro Monat","1992","17-34","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1992","17-34","AkademikerIn","","","",""
"Min 1x pro Monat","1992","35-65","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1992","35-65","Hauptschule","","","",""
"Min 1x pro Monat","1992","35-65","Realschule","","","",""
"Min 1x pro Monat","1992","35-65","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1992","35-65","AkademikerIn","","","",""
"Min 1x pro Monat","1992","66 +","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1992","66 +","Hauptschule","","","",""
"Min 1x pro Monat","1992","66 +","Realschule","","","",""
"Min 1x pro Monat","1992","66 +","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1992","66 +","AkademikerIn","","","",""
"Seltener","1992","17-34","(noch) kein Abschluss","","","",""
"Seltener","1992","17-34","Hauptschule","","","",""
"Seltener","1992","17-34","Realschule","","","",""
"Seltener","1992","17-34","(Fach-)Abitur","","","",""
"Seltener","1992","17-34","AkademikerIn","","","",""
"Seltener","1992","35-65","(noch) kein Abschluss","","","",""
"Seltener","1992","35-65","Hauptschule","","","",""
"Seltener","1992","35-65","Realschule","","","",""
"Seltener","1992","35-65","(Fach-)Abitur","","","",""
"Seltener","1992","35-65","AkademikerIn","","","",""
"Seltener","1992","66 +","(noch) kein Abschluss","","","",""
"Seltener","1992","66 +","Hauptschule","","","",""
"Seltener","1992","66 +","Realschule","","","",""
"Seltener","1992","66 +","(Fach-)Abitur","","","",""
"Seltener","1992","66 +","AkademikerIn","","","",""
"Nie","1992","17-34","(noch) kein Abschluss","","","",""
"Nie","1992","17-34","Hauptschule","","","",""
"Nie","1992","17-34","Realschule","","","",""
"Nie","1992","17-34","(Fach-)Abitur","","","",""
"Nie","1992","17-34","AkademikerIn","","","",""
"Nie","1992","35-65","(noch) kein Abschluss","","","",""
"Nie","1992","35-65","Hauptschule","","","",""
"Nie","1992","35-65","Realschule","","","",""
"Nie","1992","35-65","(Fach-)Abitur","","","",""
"Nie","1992","35-65","AkademikerIn","","","",""
"Nie","1992","66 +","(noch) kein Abschluss","","","",""
"Nie","1992","66 +","Hauptschule","","","",""
"Nie","1992","66 +","Realschule","","","",""
"Nie","1992","66 +","(Fach-)Abitur","","","",""
"Nie","1992","66 +","AkademikerIn","","","",""
"Taeglich","1993","17-34","(noch) kein Abschluss","","","",""
"Taeglich","1993","17-34","Hauptschule","","","",""
"Taeglich","1993","17-34","Realschule","","","",""
"Taeglich","1993","17-34","(Fach-)Abitur","","","",""
"Taeglich","1993","17-34","AkademikerIn","","","",""
"Taeglich","1993","35-65","(noch) kein Abschluss","","","",""
"Taeglich","1993","35-65","Hauptschule","","","",""
"Taeglich","1993","35-65","Realschule","","","",""
"Taeglich","1993","35-65","(Fach-)Abitur","","","",""
"Taeglich","1993","35-65","AkademikerIn","","","",""
"Taeglich","1993","66 +","(noch) kein Abschluss","","","",""
"Taeglich","1993","66 +","Hauptschule","","","",""
"Taeglich","1993","66 +","Realschule","","","",""
"Taeglich","1993","66 +","(Fach-)Abitur","","","",""
"Taeglich","1993","66 +","AkademikerIn","","","",""
"Min 1x pro Woche","1993","17-34","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1993","17-34","Hauptschule","","","",""
"Min 1x pro Woche","1993","17-34","Realschule","","","",""
"Min 1x pro Woche","1993","17-34","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1993","17-34","AkademikerIn","","","",""
"Min 1x pro Woche","1993","35-65","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1993","35-65","Hauptschule","","","",""
"Min 1x pro Woche","1993","35-65","Realschule","","","",""
"Min 1x pro Woche","1993","35-65","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1993","35-65","AkademikerIn","","","",""
"Min 1x pro Woche","1993","66 +","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1993","66 +","Hauptschule","","","",""
"Min 1x pro Woche","1993","66 +","Realschule","","","",""
"Min 1x pro Woche","1993","66 +","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1993","66 +","AkademikerIn","","","",""
"Min 1x pro Monat","1993","17-34","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1993","17-34","Hauptschule","","","",""
"Min 1x pro Monat","1993","17-34","Realschule","","","",""
"Min 1x pro Monat","1993","17-34","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1993","17-34","AkademikerIn","","","",""
"Min 1x pro Monat","1993","35-65","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1993","35-65","Hauptschule","","","",""
"Min 1x pro Monat","1993","35-65","Realschule","","","",""
"Min 1x pro Monat","1993","35-65","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1993","35-65","AkademikerIn","","","",""
"Min 1x pro Monat","1993","66 +","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1993","66 +","Hauptschule","","","",""
"Min 1x pro Monat","1993","66 +","Realschule","","","",""
"Min 1x pro Monat","1993","66 +","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1993","66 +","AkademikerIn","","","",""
"Seltener","1993","17-34","(noch) kein Abschluss","","","",""
"Seltener","1993","17-34","Hauptschule","","","",""
"Seltener","1993","17-34","Realschule","","","",""
"Seltener","1993","17-34","(Fach-)Abitur","","","",""
"Seltener","1993","17-34","AkademikerIn","","","",""
"Seltener","1993","35-65","(noch) kein Abschluss","","","",""
"Seltener","1993","35-65","Hauptschule","","","",""
"Seltener","1993","35-65","Realschule","","","",""
"Seltener","1993","35-65","(Fach-)Abitur","","","",""
"Seltener","1993","35-65","AkademikerIn","","","",""
"Seltener","1993","66 +","(noch) kein Abschluss","","","",""
"Seltener","1993","66 +","Hauptschule","","","",""
"Seltener","1993","66 +","Realschule","","","",""
"Seltener","1993","66 +","(Fach-)Abitur","","","",""
"Seltener","1993","66 +","AkademikerIn","","","",""
"Nie","1993","17-34","(noch) kein Abschluss","","","",""
"Nie","1993","17-34","Hauptschule","","","",""
"Nie","1993","17-34","Realschule","","","",""
"Nie","1993","17-34","(Fach-)Abitur","","","",""
"Nie","1993","17-34","AkademikerIn","","","",""
"Nie","1993","35-65","(noch) kein Abschluss","","","",""
"Nie","1993","35-65","Hauptschule","","","",""
"Nie","1993","35-65","Realschule","","","",""
"Nie","1993","35-65","(Fach-)Abitur","","","",""
"Nie","1993","35-65","AkademikerIn","","","",""
"Nie","1993","66 +","(noch) kein Abschluss","","","",""
"Nie","1993","66 +","Hauptschule","","","",""
"Nie","1993","66 +","Realschule","","","",""
"Nie","1993","66 +","(Fach-)Abitur","","","",""
"Nie","1993","66 +","AkademikerIn","","","",""
"Taeglich","1994","17-34","(noch) kein Abschluss","","","",""
"Taeglich","1994","17-34","Hauptschule","","","",""
"Taeglich","1994","17-34","Realschule","","","",""
"Taeglich","1994","17-34","(Fach-)Abitur","","","",""
"Taeglich","1994","17-34","AkademikerIn","","","",""
"Taeglich","1994","35-65","(noch) kein Abschluss","","","",""
"Taeglich","1994","35-65","Hauptschule","","","",""
"Taeglich","1994","35-65","Realschule","","","",""
"Taeglich","1994","35-65","(Fach-)Abitur","","","",""
"Taeglich","1994","35-65","AkademikerIn","","","",""
"Taeglich","1994","66 +","(noch) kein Abschluss","","","",""
"Taeglich","1994","66 +","Hauptschule","","","",""
"Taeglich","1994","66 +","Realschule","","","",""
"Taeglich","1994","66 +","(Fach-)Abitur","","","",""
"Taeglich","1994","66 +","AkademikerIn","","","",""
"Min 1x pro Woche","1994","17-34","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1994","17-34","Hauptschule","","","",""
"Min 1x pro Woche","1994","17-34","Realschule","","","",""
"Min 1x pro Woche","1994","17-34","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1994","17-34","AkademikerIn","","","",""
"Min 1x pro Woche","1994","35-65","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1994","35-65","Hauptschule","","","",""
"Min 1x pro Woche","1994","35-65","Realschule","","","",""
"Min 1x pro Woche","1994","35-65","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1994","35-65","AkademikerIn","","","",""
"Min 1x pro Woche","1994","66 +","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1994","66 +","Hauptschule","","","",""
"Min 1x pro Woche","1994","66 +","Realschule","","","",""
"Min 1x pro Woche","1994","66 +","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1994","66 +","AkademikerIn","","","",""
"Min 1x pro Monat","1994","17-34","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1994","17-34","Hauptschule","","","",""
"Min 1x pro Monat","1994","17-34","Realschule","","","",""
"Min 1x pro Monat","1994","17-34","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1994","17-34","AkademikerIn","","","",""
"Min 1x pro Monat","1994","35-65","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1994","35-65","Hauptschule","","","",""
"Min 1x pro Monat","1994","35-65","Realschule","","","",""
"Min 1x pro Monat","1994","35-65","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1994","35-65","AkademikerIn","","","",""
"Min 1x pro Monat","1994","66 +","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1994","66 +","Hauptschule","","","",""
"Min 1x pro Monat","1994","66 +","Realschule","","","",""
"Min 1x pro Monat","1994","66 +","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1994","66 +","AkademikerIn","","","",""
"Seltener","1994","17-34","(noch) kein Abschluss","","","",""
"Seltener","1994","17-34","Hauptschule","","","",""
"Seltener","1994","17-34","Realschule","","","",""
"Seltener","1994","17-34","(Fach-)Abitur","","","",""
"Seltener","1994","17-34","AkademikerIn","","","",""
"Seltener","1994","35-65","(noch) kein Abschluss","","","",""
"Seltener","1994","35-65","Hauptschule","","","",""
"Seltener","1994","35-65","Realschule","","","",""
"Seltener","1994","35-65","(Fach-)Abitur","","","",""
"Seltener","1994","35-65","AkademikerIn","","","",""
"Seltener","1994","66 +","(noch) kein Abschluss","","","",""
"Seltener","1994","66 +","Hauptschule","","","",""
"Seltener","1994","66 +","Realschule","","","",""
"Seltener","1994","66 +","(Fach-)Abitur","","","",""
"Seltener","1994","66 +","AkademikerIn","","","",""
"Nie","1994","17-34","(noch) kein Abschluss","","","",""
"Nie","1994","17-34","Hauptschule","","","",""
"Nie","1994","17-34","Realschule","","","",""
"Nie","1994","17-34","(Fach-)Abitur","","","",""
"Nie","1994","17-34","AkademikerIn","","","",""
"Nie","1994","35-65","(noch) kein Abschluss","","","",""
"Nie","1994","35-65","Hauptschule","","","",""
"Nie","1994","35-65","Realschule","","","",""
"Nie","1994","35-65","(Fach-)Abitur","","","",""
"Nie","1994","35-65","AkademikerIn","","","",""
"Nie","1994","66 +","(noch) kein Abschluss","","","",""
"Nie","1994","66 +","Hauptschule","","","",""
"Nie","1994","66 +","Realschule","","","",""
"Nie","1994","66 +","(Fach-)Abitur","","","",""
"Nie","1994","66 +","AkademikerIn","","","",""
"Taeglich","1995","17-34","(noch) kein Abschluss","93","0.213645922357653","0.174258478110743","0.253033366604564"
"Taeglich","1995","17-34","Hauptschule","183","0.114616871289692","0.098441850315015","0.13079189226437"
"Taeglich","1995","17-34","Realschule","140","0.0846527790966121","0.071143422851141","0.0981621353420833"
"Taeglich","1995","17-34","(Fach-)Abitur","84","0.133668238028689","0.108405062929667","0.15893141312771"
"Taeglich","1995","17-34","AkademikerIn","","","",""
"Taeglich","1995","35-65","(noch) kein Abschluss","38","0.0924751170979342","0.0647696700923785","0.12018056410349"
"Taeglich","1995","35-65","Hauptschule","129","0.0342774186048697","0.0282729357566881","0.0402819014530513"
"Taeglich","1995","35-65","Realschule","","","",""
"Taeglich","1995","35-65","(Fach-)Abitur","","","",""
"Taeglich","1995","35-65","AkademikerIn","","","",""
"Taeglich","1995","66 +","(noch) kein Abschluss","","","",""
"Taeglich","1995","66 +","Hauptschule","64","0.0610069272330164","0.0467654843731304","0.0752483700929025"
"Taeglich","1995","66 +","Realschule","","","",""
"Taeglich","1995","66 +","(Fach-)Abitur","","","",""
"Taeglich","1995","66 +","AkademikerIn","","","",""
"Min 1x pro Woche","1995","17-34","(noch) kein Abschluss","224","0.550275433356692","0.502471372132941","0.598079494580443"
"Min 1x pro Woche","1995","17-34","Hauptschule","807","0.519891669482635","0.494523974515319","0.545259364449952"
"Min 1x pro Woche","1995","17-34","Realschule","821","0.517207977425146","0.492956747977651","0.541459206872641"
"Min 1x pro Woche","1995","17-34","(Fach-)Abitur","413","0.600299786349138","0.56393483703645","0.636664735661826"
"Min 1x pro Woche","1995","17-34","AkademikerIn","211","0.493762080300394","0.446285492848166","0.541238667752622"
"Min 1x pro Woche","1995","35-65","(noch) kein Abschluss","222","0.475189899230012","0.427430578788752","0.522949219671272"
"Min 1x pro Woche","1995","35-65","Hauptschule","1210","0.326746677111767","0.311267773216932","0.342225581006601"
"Min 1x pro Woche","1995","35-65","Realschule","379","0.328728001359448","0.302953494235393","0.354502508483503"
"Min 1x pro Woche","1995","35-65","(Fach-)Abitur","129","0.400674594351376","0.347150737300813","0.454198451401939"
"Min 1x pro Woche","1995","35-65","AkademikerIn","358","0.361921060244124","0.334396919079532","0.389445201408717"
"Min 1x pro Woche","1995","66 +","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1995","66 +","Hauptschule","354","0.327678520192359","0.299750142949767","0.35560689743495"
"Min 1x pro Woche","1995","66 +","Realschule","64","0.354878840210244","0.28666415412071","0.423093526299778"
"Min 1x pro Woche","1995","66 +","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1995","66 +","AkademikerIn","52","0.353964749189647","0.277943603276958","0.429985895102337"
"Min 1x pro Monat","1995","17-34","(noch) kein Abschluss","60","0.13724749262022","0.104180343773107","0.170314641467334"
"Min 1x pro Monat","1995","17-34","Hauptschule","317","0.228676232501829","0.207351488415382","0.250000976588276"
"Min 1x pro Monat","1995","17-34","Realschule","420","0.251851336471456","0.230785088467539","0.272917584475372"
"Min 1x pro Monat","1995","17-34","(Fach-)Abitur","149","0.210188559741825","0.17994047025495","0.240436649228699"
"Min 1x pro Monat","1995","17-34","AkademikerIn","140","0.326081539281566","0.281566160382164","0.370596918180968"
"Min 1x pro Monat","1995","35-65","(noch) kein Abschluss","96","0.241545389909024","0.200611066161209","0.282479713656839"
"Min 1x pro Monat","1995","35-65","Hauptschule","1162","0.337128124401845","0.321526937132956","0.352729311670734"
"Min 1x pro Monat","1995","35-65","Realschule","483","0.373737260572637","0.347192168288882","0.400282352856392"
"Min 1x pro Monat","1995","35-65","(Fach-)Abitur","111","0.331897434192926","0.280464219152468","0.383330649233383"
"Min 1x pro Monat","1995","35-65","AkademikerIn","441","0.363768773834855","0.336214444695866","0.391323102973843"
"Min 1x pro Monat","1995","66 +","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1995","66 +","Hauptschule","315","0.28583388698086","0.258950146203404","0.312717627758315"
"Min 1x pro Monat","1995","66 +","Realschule","52","0.275857882407413","0.21213846566699","0.339577299147836"
