year,sampreg,sex,pli0080,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1998,West,female,Daily,0.05026,384,5327,0.04439,0.05613
1998,West,female,At least once per week,0.37391,2521,5327,0.36091,0.38690
1998,West,female,At least once per month,0.23014,1466,5327,0.21883,0.24144
1998,West,female,Seldom,0.15334,849,5327,0.14366,0.16301
1998,West,female,Never,0.01961,107,5327,0.01588,0.02333
1998,East,male,Daily,0.04850,122,1865,0.03875,0.05826
1998,East,male,At least once per week,0.26882,594,1865,0.24869,0.28894
1998,East,male,At least once per month,0.26814,598,1865,0.24803,0.28825
1998,East,male,Seldom,0.22633,515,1865,0.20734,0.24533
1998,East,male,Never,0.01962,36,1865,0.01332,0.02591
1998,East,female,Daily,0.04008,94,1987,0.03146,0.04871
1998,East,female,At least once per week,0.28537,643,1987,0.26551,0.30523
1998,East,female,At least once per month,0.26815,651,1987,0.24867,0.28763
1998,East,female,Seldom,0.21763,547,1987,0.19949,0.23578
1998,East,female,Never,0.02706,52,1987,0.01992,0.03419
2003,West,male,Daily,0.03511,372,8061,0.03109,0.03913
2003,West,male,At least once per week,0.34063,3371,8061,0.33028,0.35097
2003,West,male,At least once per month,0.24532,2603,8061,0.23593,0.25472
2003,West,male,Seldom,0.16735,1498,8061,0.15920,0.17550
2003,West,male,Never,0.02482,217,8061,0.02142,0.02821
2003,West,female,Daily,0.04053,438,8694,0.03638,0.04467
2003,West,female,At least once per week,0.36772,3991,8694,0.35759,0.37786
2003,West,female,At least once per month,0.24431,2658,8694,0.23527,0.25334
2003,West,female,Seldom,0.14719,1364,8694,0.13974,0.15464
2003,West,female,Never,0.02919,243,8694,0.02565,0.03273
2003,East,male,Daily,0.04082,130,2576,0.03318,0.04847
2003,East,male,At least once per week,0.29002,845,2576,0.27250,0.30755
2003,East,male,At least once per month,0.27762,856,2576,0.26032,0.29491
2003,East,male,Seldom,0.22145,671,2576,0.20541,0.23748
2003,East,male,Never,0.02828,74,2576,0.02188,0.03469
2003,East,female,Daily,0.03612,113,2750,0.02914,0.04309
2003,East,female,At least once per week,0.29695,946,2750,0.27987,0.31403
2003,East,female,At least once per month,0.29730,961,2750,0.28021,0.31438
2003,East,female,Seldom,0.19819,641,2750,0.18329,0.21309
2003,East,female,Never,0.04013,89,2750,0.03279,0.04746
2008,West,male,Daily,0.03183,245,6870,0.02768,0.03598
2008,West,male,At least once per week,0.32230,2656,6870,0.31124,0.33335
2008,West,male,At least once per month,0.25448,2286,6870,0.24418,0.26478
2008,West,male,Seldom,0.18578,1497,6870,0.17658,0.19497
2008,West,male,Never,0.02529,186,6870,0.02158,0.02901
2008,West,female,Daily,0.03776,316,7616,0.03348,0.04204
2008,West,female,At least once per week,0.35090,3280,7616,0.34018,0.36162
2008,West,female,At least once per month,0.25701,2408,7616,0.24719,0.26682
2008,West,female,Seldom,0.16564,1415,7616,0.15729,0.17399
2008,West,female,Never,0.02580,197,7616,0.02224,0.02936
2008,East,male,Daily,0.04430,96,2300,0.03589,0.05271
2008,East,male,At least once per week,0.28405,731,2300,0.26561,0.30248
2008,East,male,At least once per month,0.27848,783,2300,0.26016,0.29681
2008,East,male,Seldom,0.22403,605,2300,0.20698,0.24107
2008,East,male,Never,0.03692,85,2300,0.02921,0.04463
2008,East,female,Daily,0.03724,91,2451,0.02974,0.04474
2008,East,female,At least once per week,0.29849,800,2451,0.28037,0.31661
2008,East,female,At least once per month,0.29903,901,2451,0.28090,0.31716
2008,East,female,Seldom,0.20986,589,2451,0.19374,0.22599
2008,East,female,Never,0.03268,70,2451,0.02564,0.03972
2013,West,male,Daily,0.02866,363,8905,0.02520,0.03213
2013,West,male,At least once per week,0.27129,3354,8905,0.26206,0.28053
2013,West,male,At least once per month,0.23731,2933,8905,0.22847,0.24614
2013,West,male,Seldom,0.16886,1978,8905,0.16108,0.17665
2013,West,male,Never,0.02464,277,8905,0.02142,0.02786
2013,West,female,Daily,0.02966,504,10817,0.02647,0.03286
2013,West,female,At least once per week,0.30608,4717,10817,0.29739,0.31476
2013,West,female,At least once per month,0.23949,3404,10817,0.23145,0.24753
2013,West,female,Seldom,0.15208,1895,10817,0.14531,0.15885
2013,West,female,Never,0.02867,297,10817,0.02553,0.03182
2013,East,male,Daily,0.02956,89,2594,0.02304,0.03608
2013,East,male,At least once per week,0.24308,757,2594,0.22657,0.25959
2013,East,male,At least once per month,0.27970,891,2594,0.26243,0.29698
2013,East,male,Seldom,0.23237,716,2594,0.21611,0.24862
2013,East,male,Never,0.04734,141,2594,0.03917,0.05552
2013,East,female,Daily,0.02361,112,3092,0.01825,0.02896
2013,East,female,At least once per week,0.23957,977,3092,0.22452,0.25462
2013,East,female,At least once per month,0.32396,1133,3092,0.30747,0.34046
2013,East,female,Seldom,0.20849,705,3092,0.19417,0.22281
2013,East,female,Never,0.04301,165,3092,0.03586,0.05016
2019,West,male,Daily,0.02660,353,9570,0.02338,0.02982
2019,West,male,At least once per week,0.29782,3475,9570,0.28866,0.30698
2019,West,male,At least once per month,0.27230,3244,9570,0.26338,0.28122
2019,West,male,Seldom,0.18354,2114,9570,0.17578,0.19129
2019,West,male,Never,0.03651,384,9570,0.03276,0.04027
2019,West,female,Daily,0.03237,440,10466,0.02898,0.03577
2019,West,female,At least once per week,0.32969,4195,10466,0.32068,0.33870
2019,West,female,At least once per month,0.27746,3524,10466,0.26888,0.28604
2019,West,female,Seldom,0.15865,1913,10466,0.15165,0.16565
2019,West,female,Never,0.03699,394,10466,0.03338,0.04061
2019,East,male,Daily,0.03926,102,2636,0.03184,0.04667
2019,East,male,At least once per week,0.24460,765,2636,0.22819,0.26102
2019,East,male,At least once per month,0.25334,894,2636,0.23673,0.26995
2019,East,male,Seldom,0.24976,733,2636,0.23324,0.26629
2019,East,male,Never,0.04646,142,2636,0.03842,0.05449
2019,East,female,Daily,0.03648,111,2895,0.02965,0.04331
2019,East,female,At least once per week,0.26659,920,2895,0.25048,0.28270
2019,East,female,At least once per month,0.29616,1010,2895,0.27953,0.31280
2019,East,female,Seldom,0.19544,708,2895,0.18099,0.20988
2019,East,female,Never,0.04963,146,2895,0.04171,0.05754
2021,West,male,Daily,0.04503,330,6401,0.03995,0.05011
2021,West,male,At least once per week,0.36188,2841,6401,0.35011,0.37366
2021,West,male,At least once per month,0.21011,1767,6401,0.20013,0.22009
2021,West,male,Seldom,0.16373,1238,6401,0.15467,0.17280
2021,West,male,Never,0.02906,225,6401,0.02495,0.03318
2021,West,female,Daily,0.04755,391,7165,0.04262,0.05247
2021,West,female,At least once per week,0.36604,3295,7165,0.35488,0.37720
2021,West,female,At least once per month,0.21553,1920,7165,0.20601,0.22506
2021,West,female,Seldom,0.15351,1253,7165,0.14516,0.16185
2021,West,female,Never,0.04756,306,7165,0.04264,0.05249
2021,East,male,Daily,0.05184,100,1680,0.04123,0.06244
2021,East,male,At least once per week,0.36060,714,1680,0.33763,0.38357
2021,East,male,At least once per month,0.20326,474,1680,0.18402,0.22251
2021,East,male,Seldom,0.16872,326,1680,0.15080,0.18663
2021,East,male,Never,0.03817,66,1680,0.02901,0.04734
2021,East,female,Daily,0.04772,117,1937,0.03822,0.05721
2021,East,female,At least once per week,0.33867,803,1937,0.31759,0.35975
2021,East,female,At least once per month,0.25301,563,1937,0.23364,0.27237
2021,East,female,Seldom,0.16398,390,1937,0.14748,0.18047
2021,East,female,Never,0.03267,64,1937,0.02475,0.04059
