"year","hhtyp","regtyp","mean","median","n","lower_confidence","upper_confidence"
"2007","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1491.93","1330","2624","1460.35","1523.51"
"2007","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","1757.73","1528.33","5128","1719.53","1795.93"
"2007","1-Pers.- Haushalt","Laendlicher Raum","1286.53","1096.5","992","1226.52","1346.54"
"2007","1-Pers.- Haushalt","Staedtischer Raum","1531.64","1349.5","2126","1472.59","1590.69"
"2007","Alleinerziehende","Laendlicher Raum","977.59","863.07","653","937.62","1017.56"
"2007","Alleinerziehende","Staedtischer Raum","1036.46","875.36","1121","1000.27","1072.65"
"2007","Paar mit Kind(ern)","Laendlicher Raum","1248.21","1163.33","4639","1230.59","1265.83"
"2007","Paar mit Kind(ern)","Staedtischer Raum","1427.82","1260.03","8708","1408.81","1446.83"
"2007","Sonstige","Laendlicher Raum","1045.41","1021.74","253","987.32","1103.5"
"2007","Sonstige","Staedtischer Raum","1257.82","1116.67","371","1182.33","1333.31"
"2008","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1569.07","1326.67","2542","1490.8","1647.34"
"2008","(Ehe-)Paar ohne Kind(er)","Staedtischer Raum","1791.06","1523.33","4926","1755.95","1826.17"
"2008","1-Pers.- Haushalt","Laendlicher Raum","1259.51","1096","943","1205.41","1313.61"
"2008","1-Pers.- Haushalt","Staedtischer Raum","1526.69","1342.5","2054","1467.14","1586.24"
"2008","Alleinerziehende","Laendlicher Raum","991.58","902.38","642","953.14","1030.02"
"2008","Alleinerziehende","Staedtischer Raum","1041.26","928.21","1072","1004.4","1078.12"
"2008","Paar mit Kind(ern)","Laendlicher Raum","1309.16","1219.81","4190","1290.12","1328.2"
"2008","Paar mit Kind(ern)","Staedtischer Raum","1449.35","1284.52","7971","1429.59","1469.11"
"2008","Sonstige","Laendlicher Raum","1148.54","1107.42","246","1079.49","1217.59"
"2008","Sonstige","Staedtischer Raum","1396.55","1282.86","291","1321.8","1471.3"
"2009","(Ehe-)Paar ohne Kind(er)","Laendlicher Raum","1533.11","1333","2488","1498.79","1567.43"
