year,bula_h,regtyp,hlf0186,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2005,Schleswig-Holstein,Rural regions,No,0.31084,63,11023,0,0.26765,0,0.35429
2005,Hamburg,Urban regions,Yes,0.68262,128,11023,0,0.59387,0,0.77161
2005,Hamburg,Urban regions,No,0.31738,45,11023,0,0.25847,0,0.37051
2005,Lower Saxony,Urban regions,Yes,0.71473,343,11023,0,0.64956,0,0.76927
2005,Lower Saxony,Urban regions,No,0.28527,118,11023,0,0.24485,0,0.31667
2005,Lower Saxony,Rural regions,Yes,0.74588,359,11023,0,0.69491,0,0.81552
2005,Lower Saxony,Rural regions,No,0.25412,117,11023,0,0.21922,0,0.28925
2005,Bremen,Urban regions,Yes,1.00000,56,11023,0,0.80208,0,1.23926
2005,North Rhine-Westphalia,Urban regions,Yes,0.70935,1649,11023,0,0.68433,0,0.73321
2005,North Rhine-Westphalia,Urban regions,No,0.29065,640,11023,0,0.27655,0,0.30456
2005,North Rhine-Westphalia,Rural regions,Yes,1.00000,31,11023,0,0.77328,0,1.23148
2005,Hesse,Urban regions,Yes,0.69182,459,11023,0,0.64934,0,0.74203
2005,Hesse,Urban regions,No,0.30818,172,11023,0,0.27845,0,0.33941
2005,Hesse,Rural regions,Yes,1.00000,102,11023,0,0.88458,0,1.15227
2005,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.65909,344,11023,0,0.60762,0,0.71135
2005,"Rhineland-Palatinate, Saarland",Urban regions,No,0.34091,175,11023,0,0.29671,0,0.38271
2005,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.67544,109,11023,0,0.59338,0,0.75926
2005,"Rhineland-Palatinate, Saarland",Rural regions,No,0.32456,47,11023,0,0.26904,0,0.39763
2005,Baden-Wuerttemberg,Urban regions,Yes,0.70030,865,11023,0,0.66000,0,0.73740
2005,Baden-Wuerttemberg,Urban regions,No,0.29970,338,11023,0,0.27341,0,0.32581
2005,Baden-Wuerttemberg,Rural regions,Yes,0.66435,70,11023,0,0.55804,0,0.76828
2005,Baden-Wuerttemberg,Rural regions,No,0.33565,41,11023,0,0.23451,0,0.44514
